# _root_ Ha ezt a hitelező nem adja meg , és a bank beváltja a hitelekhez járó állami garanciát , az az érintett gazdáknak az állami agrártámogatásokból való kizárását jelenti .
#goldHeads=28,6,4,6,6,28,6,28,28,11,12,28,14,15,17,17,12,28,28,22,22,28,25,25,26,27,28,0,28,
#predictedHeads=28,6,4,6,6,9,6,9,0,11,12,9,14,15,17,17,12,12,28,22,22,28,25,25,26,27,28,12,9,
(12,17),(12,25),-0.0178247 # DEPENDENCYPART_SIBL
(12,17),(12,26),0.0732448 # DEPENDENCYPART_SIBL
(12,17),(12,27),-0.0178247 # DEPENDENCYPART_SIBL
(12,17),(12,28),-0.0350184 # DEPENDENCYPART_SIBL
(12,17),(12,29),8.57941e-05 # DEPENDENCYPART_SIBL
(12,18),(12,19),-0.00361742 # DEPENDENCYPART_SIBL
(12,18),(12,20),0.0711085 # DEPENDENCYPART_SIBL
(12,18),(12,21),0.0507601 # DEPENDENCYPART_SIBL
(12,18),(12,22),0.07652 # DEPENDENCYPART_SIBL
(12,18),(12,24),0.0602988 # DEPENDENCYPART_SIBL
(12,18),(12,25),0.07652 # DEPENDENCYPART_SIBL
(12,18),(12,26),0.147489 # DEPENDENCYPART_SIBL
(12,18),(12,27),0.07652 # DEPENDENCYPART_SIBL
(12,18),(12,28),0.159819 # DEPENDENCYPART_SIBL
(12,18),(12,29),0.0489202 # DEPENDENCYPART_SIBL
(12,19),(12,20),0.0668411 # DEPENDENCYPART_SIBL
(12,19),(12,21),0.0489821 # DEPENDENCYPART_SIBL
(12,19),(12,22),0.029936 # DEPENDENCYPART_SIBL
(12,19),(12,24),0.0524983 # DEPENDENCYPART_SIBL
(12,19),(12,25),0.029936 # DEPENDENCYPART_SIBL
(12,19),(12,26),0.0966626 # DEPENDENCYPART_SIBL
(12,19),(12,27),0.029936 # DEPENDENCYPART_SIBL
(12,19),(12,28),-0.0452431 # DEPENDENCYPART_SIBL
(12,19),(12,29),-0.00790367 # DEPENDENCYPART_SIBL
(12,20),(12,21),-0.00494181 # DEPENDENCYPART_SIBL
(12,20),(12,22),0.0520221 # DEPENDENCYPART_SIBL
(12,20),(12,24),-0.00129174 # DEPENDENCYPART_SIBL
(12,20),(12,25),0.0520221 # DEPENDENCYPART_SIBL
(12,20),(12,26),0.03701 # DEPENDENCYPART_SIBL
(12,20),(12,27),0.0520221 # DEPENDENCYPART_SIBL
(12,20),(12,28),-0.0128984 # DEPENDENCYPART_SIBL
(12,20),(12,29),-0.00660792 # DEPENDENCYPART_SIBL
(12,21),(12,22),-0.0259673 # DEPENDENCYPART_SIBL
(12,21),(12,24),-0.0367475 # DEPENDENCYPART_SIBL
(12,21),(12,25),-0.0259673 # DEPENDENCYPART_SIBL
(12,21),(12,26),0.00064911 # DEPENDENCYPART_SIBL
(12,21),(12,27),-0.0259673 # DEPENDENCYPART_SIBL
(12,21),(12,28),-0.0460268 # DEPENDENCYPART_SIBL
(12,21),(12,29),-0.0176554 # DEPENDENCYPART_SIBL
(12,22),(12,24),0.0262472 # DEPENDENCYPART_SIBL
(12,22),(12,25),-0.0191053 # DEPENDENCYPART_SIBL
(12,22),(12,26),0.072851 # DEPENDENCYPART_SIBL
(12,22),(12,27),-0.0191053 # DEPENDENCYPART_SIBL
(12,22),(12,28),-0.0354122 # DEPENDENCYPART_SIBL
(12,22),(12,29),-1.62179e-05 # DEPENDENCYPART_SIBL
(12,24),(12,25),-0.0239174 # DEPENDENCYPART_SIBL
(12,24),(12,26),0.00274073 # DEPENDENCYPART_SIBL
(12,24),(12,27),-0.0239174 # DEPENDENCYPART_SIBL
(12,24),(12,28),-0.0429485 # DEPENDENCYPART_SIBL
(12,24),(12,29),-0.0110597 # DEPENDENCYPART_SIBL
(12,25),(12,26),0.072851 # DEPENDENCYPART_SIBL
(12,25),(12,27),-0.0191053 # DEPENDENCYPART_SIBL
(12,25),(12,28),-0.0354122 # DEPENDENCYPART_SIBL
(12,25),(12,29),-1.62179e-05 # DEPENDENCYPART_SIBL
(12,26),(12,27),-0.0106929 # DEPENDENCYPART_SIBL
(12,26),(12,28),-0.0459615 # DEPENDENCYPART_SIBL
(12,26),(12,29),0.0159712 # DEPENDENCYPART_SIBL
(12,27),(12,28),-0.0354122 # DEPENDENCYPART_SIBL
(12,27),(12,29),-1.62179e-05 # DEPENDENCYPART_SIBL
(12,28),(12,29),5.42023e-05 # DEPENDENCYPART_SIBL
(14,10),(14,13),-0.662013 # DEPENDENCYPART_SIBL
(14,10),(14,28),0.00861495 # DEPENDENCYPART_SIBL
(14,13),(14,28),0.00861495 # DEPENDENCYPART_SIBL
(15,2),(15,4),0.0394315 # DEPENDENCYPART_SIBL
(15,2),(15,5),0.13711 # DEPENDENCYPART_SIBL
(15,2),(15,6),0.115768 # DEPENDENCYPART_SIBL
(15,2),(15,10),0.160857 # DEPENDENCYPART_SIBL
(15,2),(15,11),0.0340296 # DEPENDENCYPART_SIBL
(15,2),(15,12),0.115773 # DEPENDENCYPART_SIBL
(15,2),(15,13),0.160857 # DEPENDENCYPART_SIBL
(15,2),(15,14),0.0394315 # DEPENDENCYPART_SIBL
(15,2),(15,28),0.00788352 # DEPENDENCYPART_SIBL
(15,4),(15,5),0.23176 # DEPENDENCYPART_SIBL
(15,4),(15,6),0.147809 # DEPENDENCYPART_SIBL
(15,4),(15,10),-0.0411332 # DEPENDENCYPART_SIBL
(15,4),(15,11),0.048224 # DEPENDENCYPART_SIBL
(15,4),(15,12),0.147828 # DEPENDENCYPART_SIBL
(15,4),(15,13),-0.0411332 # DEPENDENCYPART_SIBL
(15,4),(15,14),0.0692576 # DEPENDENCYPART_SIBL
(15,4),(15,28),-0.000783665 # DEPENDENCYPART_SIBL
(15,5),(15,6),0.143861 # DEPENDENCYPART_SIBL
(15,5),(15,10),-0.116123 # DEPENDENCYPART_SIBL
(15,5),(15,11),0.111844 # DEPENDENCYPART_SIBL
(15,5),(15,12),0.143861 # DEPENDENCYPART_SIBL
(15,5),(15,13),-0.116123 # DEPENDENCYPART_SIBL
(15,5),(15,14),0.113644 # DEPENDENCYPART_SIBL
(15,5),(15,28),0.033195 # DEPENDENCYPART_SIBL
(15,6),(15,10),-0.0764141 # DEPENDENCYPART_SIBL
(15,6),(15,11),-0.00744141 # DEPENDENCYPART_SIBL
(15,6),(15,12),0.0732618 # DEPENDENCYPART_SIBL
(15,6),(15,13),-0.0764141 # DEPENDENCYPART_SIBL
(15,6),(15,14),-0.00343606 # DEPENDENCYPART_SIBL
(15,6),(15,28),0.0468968 # DEPENDENCYPART_SIBL
(15,10),(15,11),0.0560735 # DEPENDENCYPART_SIBL
(15,10),(15,12),0.144644 # DEPENDENCYPART_SIBL
(15,10),(15,13),-0.229757 # DEPENDENCYPART_SIBL
(15,10),(15,14),0.063975 # DEPENDENCYPART_SIBL
(15,10),(15,28),-0.00940286 # DEPENDENCYPART_SIBL
(15,11),(15,12),0.14739 # DEPENDENCYPART_SIBL
(15,11),(15,13),-0.0415471 # DEPENDENCYPART_SIBL
(15,11),(15,14),0.0687535 # DEPENDENCYPART_SIBL
(15,11),(15,28),0.00417145 # DEPENDENCYPART_SIBL
(15,12),(15,13),-0.0764141 # DEPENDENCYPART_SIBL
(15,12),(15,14),-0.0034159 # DEPENDENCYPART_SIBL
(15,12),(15,28),0.0477435 # DEPENDENCYPART_SIBL
(15,13),(15,14),0.063975 # DEPENDENCYPART_SIBL
(15,13),(15,28),-0.00940286 # DEPENDENCYPART_SIBL
(15,14),(15,28),-0.000783665 # DEPENDENCYPART_SIBL
(16,10),(16,11),0.0595753 # DEPENDENCYPART_SIBL
(16,10),(16,13),-0.230248 # DEPENDENCYPART_SIBL
(16,10),(16,14),0.0674768 # DEPENDENCYPART_SIBL
(16,10),(16,15),0.0641239 # DEPENDENCYPART_SIBL
(16,11),(16,13),-0.0403577 # DEPENDENCYPART_SIBL
(16,11),(16,14),0.0738424 # DEPENDENCYPART_SIBL
(16,11),(16,15),0.0329251 # DEPENDENCYPART_SIBL
(16,13),(16,14),0.0674768 # DEPENDENCYPART_SIBL
(16,13),(16,15),0.0641239 # DEPENDENCYPART_SIBL
(16,14),(16,15),0.0239154 # DEPENDENCYPART_SIBL
(17,2),(17,3),0.272143 # DEPENDENCYPART_SIBL
(17,2),(17,6),0.147312 # DEPENDENCYPART_SIBL
(17,2),(17,8),0.344735 # DEPENDENCYPART_SIBL
(17,2),(17,9),0.355612 # DEPENDENCYPART_SIBL
(17,2),(17,10),0.272143 # DEPENDENCYPART_SIBL
(17,2),(17,11),-0.00397626 # DEPENDENCYPART_SIBL
(17,2),(17,12),0.147359 # DEPENDENCYPART_SIBL
(17,2),(17,13),0.272143 # DEPENDENCYPART_SIBL
(17,2),(17,14),0.00615711 # DEPENDENCYPART_SIBL
(17,2),(17,15),0.144263 # DEPENDENCYPART_SIBL
(17,2),(17,16),0.125959 # DEPENDENCYPART_SIBL
(17,2),(17,18),-0.0273843 # DEPENDENCYPART_SIBL
(17,2),(17,22),0.00906005 # DEPENDENCYPART_SIBL
(17,2),(17,25),0.00906005 # DEPENDENCYPART_SIBL
(17,2),(17,27),0.00906005 # DEPENDENCYPART_SIBL
(17,2),(17,28),0.0281707 # DEPENDENCYPART_SIBL
(17,2),(17,29),0.0104946 # DEPENDENCYPART_SIBL
(17,3),(17,6),0.202493 # DEPENDENCYPART_SIBL
(17,3),(17,8),0.171926 # DEPENDENCYPART_SIBL
(17,3),(17,9),0.125073 # DEPENDENCYPART_SIBL
(17,3),(17,10),-0.666472 # DEPENDENCYPART_SIBL
(17,3),(17,11),-0.0085807 # DEPENDENCYPART_SIBL
(17,3),(17,12),0.202531 # DEPENDENCYPART_SIBL
(17,3),(17,13),-0.666472 # DEPENDENCYPART_SIBL
(17,3),(17,14),0.00853088 # DEPENDENCYPART_SIBL
(17,3),(17,15),0.176472 # DEPENDENCYPART_SIBL
(17,3),(17,16),0.110585 # DEPENDENCYPART_SIBL
(17,3),(17,18),-0.00907786 # DEPENDENCYPART_SIBL
(17,3),(17,22),-0.00331962 # DEPENDENCYPART_SIBL
(17,3),(17,25),-0.00331962 # DEPENDENCYPART_SIBL
(17,3),(17,27),-0.00331962 # DEPENDENCYPART_SIBL
(17,3),(17,28),0.00861495 # DEPENDENCYPART_SIBL
(17,3),(17,29),-0.0285178 # DEPENDENCYPART_SIBL
(17,6),(17,8),0.297478 # DEPENDENCYPART_SIBL
(17,6),(17,9),0.278485 # DEPENDENCYPART_SIBL
(17,6),(17,10),-0.353521 # DEPENDENCYPART_SIBL
(17,6),(17,11),-0.0593897 # DEPENDENCYPART_SIBL
(17,6),(17,12),0.0343839 # DEPENDENCYPART_SIBL
(17,6),(17,13),-0.353521 # DEPENDENCYPART_SIBL
(17,6),(17,14),-0.0504652 # DEPENDENCYPART_SIBL
(17,6),(17,15),-0.0656651 # DEPENDENCYPART_SIBL
(17,6),(17,16),-0.0775356 # DEPENDENCYPART_SIBL
(17,6),(17,18),-0.0142817 # DEPENDENCYPART_SIBL
(17,6),(17,22),-0.00666581 # DEPENDENCYPART_SIBL
(17,6),(17,25),-0.00666581 # DEPENDENCYPART_SIBL
(17,6),(17,27),-0.00666581 # DEPENDENCYPART_SIBL
(17,6),(17,28),0.0369703 # DEPENDENCYPART_SIBL
(17,6),(17,29),0.120363 # DEPENDENCYPART_SIBL
(17,8),(17,9),0.212664 # DEPENDENCYPART_SIBL
(17,8),(17,10),-0.415924 # DEPENDENCYPART_SIBL
(17,8),(17,11),0.0269663 # DEPENDENCYPART_SIBL
(17,8),(17,12),0.132323 # DEPENDENCYPART_SIBL
(17,8),(17,13),-0.415924 # DEPENDENCYPART_SIBL
(17,8),(17,14),0.0491207 # DEPENDENCYPART_SIBL
(17,8),(17,15),0.00861879 # DEPENDENCYPART_SIBL
(17,8),(17,16),-0.0049895 # DEPENDENCYPART_SIBL
(17,8),(17,18),-0.0346477 # DEPENDENCYPART_SIBL
(17,8),(17,22),-0.00844461 # DEPENDENCYPART_SIBL
(17,8),(17,25),-0.00844461 # DEPENDENCYPART_SIBL
(17,8),(17,27),-0.00844461 # DEPENDENCYPART_SIBL
(17,8),(17,28),-0.0366837 # DEPENDENCYPART_SIBL
(17,8),(17,29),0.0238545 # DEPENDENCYPART_SIBL
(17,9),(17,10),-0.390409 # DEPENDENCYPART_SIBL
(17,9),(17,11),0.0877531 # DEPENDENCYPART_SIBL
(17,9),(17,12),0.127293 # DEPENDENCYPART_SIBL
(17,9),(17,13),-0.390409 # DEPENDENCYPART_SIBL
(17,9),(17,14),0.0991693 # DEPENDENCYPART_SIBL
(17,9),(17,15),-0.00609283 # DEPENDENCYPART_SIBL
(17,9),(17,16),-0.0123238 # DEPENDENCYPART_SIBL
(17,9),(17,18),-0.0168208 # DEPENDENCYPART_SIBL
(17,9),(17,22),-0.00798823 # DEPENDENCYPART_SIBL
(17,9),(17,25),-0.00798823 # DEPENDENCYPART_SIBL
(17,9),(17,27),-0.00798823 # DEPENDENCYPART_SIBL
(17,9),(17,28),-0.0141117 # DEPENDENCYPART_SIBL
(17,9),(17,29),0.0197197 # DEPENDENCYPART_SIBL
(17,10),(17,11),-0.0085807 # DEPENDENCYPART_SIBL
(17,10),(17,12),0.202531 # DEPENDENCYPART_SIBL
(17,10),(17,13),-0.666472 # DEPENDENCYPART_SIBL
(17,10),(17,14),0.00853088 # DEPENDENCYPART_SIBL
(17,10),(17,15),0.176472 # DEPENDENCYPART_SIBL
(17,10),(17,16),0.110585 # DEPENDENCYPART_SIBL
(17,10),(17,18),-0.00907786 # DEPENDENCYPART_SIBL
(17,10),(17,22),-0.00331962 # DEPENDENCYPART_SIBL
(17,10),(17,25),-0.00331962 # DEPENDENCYPART_SIBL
(17,10),(17,27),-0.00331962 # DEPENDENCYPART_SIBL
(17,10),(17,28),0.00861495 # DEPENDENCYPART_SIBL
(17,10),(17,29),-0.0285178 # DEPENDENCYPART_SIBL
(17,11),(17,12),0.158561 # DEPENDENCYPART_SIBL
(17,11),(17,13),-0.311735 # DEPENDENCYPART_SIBL
(17,11),(17,14),-0.0143762 # DEPENDENCYPART_SIBL
(17,11),(17,15),0.0673402 # DEPENDENCYPART_SIBL
(17,11),(17,16),0.0542871 # DEPENDENCYPART_SIBL
(17,11),(17,18),-0.00152281 # DEPENDENCYPART_SIBL
(17,11),(17,22),-0.00145312 # DEPENDENCYPART_SIBL
(17,11),(17,25),-0.00145312 # DEPENDENCYPART_SIBL
(17,11),(17,27),-0.00145312 # DEPENDENCYPART_SIBL
(17,11),(17,28),0.00843153 # DEPENDENCYPART_SIBL
(17,11),(17,29),0.0334607 # DEPENDENCYPART_SIBL
(17,12),(17,13),-0.353507 # DEPENDENCYPART_SIBL
(17,12),(17,14),-0.0504307 # DEPENDENCYPART_SIBL
(17,12),(17,15),-0.0656507 # DEPENDENCYPART_SIBL
(17,12),(17,16),-0.0775212 # DEPENDENCYPART_SIBL
(17,12),(17,18),-0.0137764 # DEPENDENCYPART_SIBL
(17,12),(17,22),-0.00602675 # DEPENDENCYPART_SIBL
(17,12),(17,25),-0.00602675 # DEPENDENCYPART_SIBL
(17,12),(17,27),-0.00602675 # DEPENDENCYPART_SIBL
(17,12),(17,28),0.0379115 # DEPENDENCYPART_SIBL
(17,12),(17,29),0.121936 # DEPENDENCYPART_SIBL
(17,13),(17,14),0.00853088 # DEPENDENCYPART_SIBL
(17,13),(17,15),0.176472 # DEPENDENCYPART_SIBL
(17,13),(17,16),0.110585 # DEPENDENCYPART_SIBL
(17,13),(17,18),-0.00907786 # DEPENDENCYPART_SIBL
(17,13),(17,22),-0.00331962 # DEPENDENCYPART_SIBL
(17,13),(17,25),-0.00331962 # DEPENDENCYPART_SIBL
(17,13),(17,27),-0.00331962 # DEPENDENCYPART_SIBL
(17,13),(17,28),0.00861495 # DEPENDENCYPART_SIBL
(17,13),(17,29),-0.0285178 # DEPENDENCYPART_SIBL
(17,14),(17,15),0.0441156 # DEPENDENCYPART_SIBL
(17,14),(17,16),0.0310625 # DEPENDENCYPART_SIBL
(17,14),(17,18),-0.00283849 # DEPENDENCYPART_SIBL
(17,14),(17,22),0.00337853 # DEPENDENCYPART_SIBL
(17,14),(17,25),0.00337853 # DEPENDENCYPART_SIBL
(17,14),(17,27),0.00337853 # DEPENDENCYPART_SIBL
(17,14),(17,28),0.00386793 # DEPENDENCYPART_SIBL
(17,14),(17,29),0.041682 # DEPENDENCYPART_SIBL
(17,15),(17,16),0.0170666 # DEPENDENCYPART_SIBL
(17,15),(17,18),-0.0342836 # DEPENDENCYPART_SIBL
(17,15),(17,22),-0.00488069 # DEPENDENCYPART_SIBL
(17,15),(17,25),-0.00488069 # DEPENDENCYPART_SIBL
(17,15),(17,27),-0.00488069 # DEPENDENCYPART_SIBL
(17,15),(17,28),-0.0418822 # DEPENDENCYPART_SIBL
(17,15),(17,29),-0.00606663 # DEPENDENCYPART_SIBL
(17,16),(17,18),-0.0347977 # DEPENDENCYPART_SIBL
(17,16),(17,22),-0.00668251 # DEPENDENCYPART_SIBL
(17,16),(17,25),-0.00668251 # DEPENDENCYPART_SIBL
(17,16),(17,27),-0.00668251 # DEPENDENCYPART_SIBL
(17,16),(17,28),-0.0432452 # DEPENDENCYPART_SIBL
(17,16),(17,29),-0.00594409 # DEPENDENCYPART_SIBL
(17,18),(17,22),0.342981 # DEPENDENCYPART_SIBL
(17,18),(17,25),0.342981 # DEPENDENCYPART_SIBL
(17,18),(17,27),0.342981 # DEPENDENCYPART_SIBL
(17,18),(17,28),0.414553 # DEPENDENCYPART_SIBL
(17,18),(17,29),0.0787788 # DEPENDENCYPART_SIBL
(17,22),(17,25),0.00471392 # DEPENDENCYPART_SIBL
(17,22),(17,27),0.00471392 # DEPENDENCYPART_SIBL
(17,22),(17,28),0.056538 # DEPENDENCYPART_SIBL
(17,22),(17,29),0.0485651 # DEPENDENCYPART_SIBL
(17,25),(17,27),0.00471392 # DEPENDENCYPART_SIBL
(17,25),(17,28),0.056538 # DEPENDENCYPART_SIBL
(17,25),(17,29),0.0485651 # DEPENDENCYPART_SIBL
(17,27),(17,28),0.056538 # DEPENDENCYPART_SIBL
(17,27),(17,29),0.0485651 # DEPENDENCYPART_SIBL
(17,28),(17,29),0.207139 # DEPENDENCYPART_SIBL
(19,1),(19,6),0.326118 # DEPENDENCYPART_SIBL
(19,1),(19,8),0.376766 # DEPENDENCYPART_SIBL
(19,1),(19,9),-0.00134542 # DEPENDENCYPART_SIBL
(19,1),(19,11),0.0524487 # DEPENDENCYPART_SIBL
(19,1),(19,12),0.326536 # DEPENDENCYPART_SIBL
(19,1),(19,15),0.105361 # DEPENDENCYPART_SIBL
(19,1),(19,16),0.107124 # DEPENDENCYPART_SIBL
(19,1),(19,17),0.0548685 # DEPENDENCYPART_SIBL
(19,1),(19,18),0.376766 # DEPENDENCYPART_SIBL
(19,1),(19,21),0.0139858 # DEPENDENCYPART_SIBL
(19,1),(19,22),0.0840964 # DEPENDENCYPART_SIBL
(19,1),(19,24),0.013999 # DEPENDENCYPART_SIBL
(19,1),(19,25),0.0840964 # DEPENDENCYPART_SIBL
(19,1),(19,26),0.01264 # DEPENDENCYPART_SIBL
(19,1),(19,27),0.0840964 # DEPENDENCYPART_SIBL
(19,1),(19,28),0.00516011 # DEPENDENCYPART_SIBL
(19,1),(19,29),0.120011 # DEPENDENCYPART_SIBL
(19,6),(19,8),0.215747 # DEPENDENCYPART_SIBL
(19,6),(19,9),0.230029 # DEPENDENCYPART_SIBL
(19,6),(19,11),0.124469 # DEPENDENCYPART_SIBL
(19,6),(19,12),0.0833219 # DEPENDENCYPART_SIBL
(19,6),(19,15),0.122373 # DEPENDENCYPART_SIBL
(19,6),(19,16),0.122383 # DEPENDENCYPART_SIBL
(19,6),(19,17),0.124771 # DEPENDENCYPART_SIBL
(19,6),(19,18),0.215747 # DEPENDENCYPART_SIBL
(19,6),(19,21),-0.0160495 # DEPENDENCYPART_SIBL
(19,6),(19,22),0.0044717 # DEPENDENCYPART_SIBL
(19,6),(19,24),-0.0160787 # DEPENDENCYPART_SIBL
(19,6),(19,25),0.0044717 # DEPENDENCYPART_SIBL
(19,6),(19,26),-0.0200443 # DEPENDENCYPART_SIBL
(19,6),(19,27),0.0044717 # DEPENDENCYPART_SIBL
(19,6),(19,28),-0.00779464 # DEPENDENCYPART_SIBL
(19,6),(19,29),0.0501376 # DEPENDENCYPART_SIBL
(19,8),(19,9),0.31561 # DEPENDENCYPART_SIBL
(19,8),(19,11),0.175524 # DEPENDENCYPART_SIBL
(19,8),(19,12),0.248936 # DEPENDENCYPART_SIBL
(19,8),(19,15),0.165204 # DEPENDENCYPART_SIBL
(19,8),(19,16),0.165019 # DEPENDENCYPART_SIBL
(19,8),(19,17),0.188266 # DEPENDENCYPART_SIBL
(19,8),(19,18),0.036124 # DEPENDENCYPART_SIBL
(19,8),(19,21),-0.0136109 # DEPENDENCYPART_SIBL
(19,8),(19,22),0.0444788 # DEPENDENCYPART_SIBL
(19,8),(19,24),-0.0125608 # DEPENDENCYPART_SIBL
(19,8),(19,25),0.0444788 # DEPENDENCYPART_SIBL
(19,8),(19,26),-0.0165012 # DEPENDENCYPART_SIBL
(19,8),(19,27),0.0444788 # DEPENDENCYPART_SIBL
(19,8),(19,28),-0.0415003 # DEPENDENCYPART_SIBL
(19,8),(19,29),0.0386488 # DEPENDENCYPART_SIBL
(19,9),(19,11),0.157435 # DEPENDENCYPART_SIBL
(19,9),(19,12),0.175104 # DEPENDENCYPART_SIBL
(19,9),(19,15),0.128886 # DEPENDENCYPART_SIBL
(19,9),(19,16),0.132559 # DEPENDENCYPART_SIBL
(19,9),(19,17),0.160708 # DEPENDENCYPART_SIBL
(19,9),(19,18),-0.0185282 # DEPENDENCYPART_SIBL
(19,9),(19,21),0.027697 # DEPENDENCYPART_SIBL
(19,9),(19,22),0.0578882 # DEPENDENCYPART_SIBL
(19,9),(19,24),0.0277182 # DEPENDENCYPART_SIBL
(19,9),(19,25),0.0578882 # DEPENDENCYPART_SIBL
(19,9),(19,26),0.0262606 # DEPENDENCYPART_SIBL
(19,9),(19,27),0.0578882 # DEPENDENCYPART_SIBL
(19,9),(19,28),-0.00740535 # DEPENDENCYPART_SIBL
(19,9),(19,29),0.0806291 # DEPENDENCYPART_SIBL
(19,11),(19,12),0.108795 # DEPENDENCYPART_SIBL
(19,11),(19,15),0.145239 # DEPENDENCYPART_SIBL
(19,11),(19,16),0.144943 # DEPENDENCYPART_SIBL
(19,11),(19,17),0.123505 # DEPENDENCYPART_SIBL
(19,11),(19,18),0.151618 # DEPENDENCYPART_SIBL
(19,11),(19,21),0.0102306 # DEPENDENCYPART_SIBL
(19,11),(19,22),-0.00426289 # DEPENDENCYPART_SIBL
(19,11),(19,24),0.010487 # DEPENDENCYPART_SIBL
(19,11),(19,25),-0.00426289 # DEPENDENCYPART_SIBL
(19,11),(19,26),0.000204742 # DEPENDENCYPART_SIBL
(19,11),(19,27),-0.00426289 # DEPENDENCYPART_SIBL
(19,11),(19,28),-0.0127298 # DEPENDENCYPART_SIBL
(19,11),(19,29),0.030453 # DEPENDENCYPART_SIBL
(19,12),(19,15),0.122373 # DEPENDENCYPART_SIBL
(19,12),(19,16),0.122383 # DEPENDENCYPART_SIBL
(19,12),(19,17),0.124792 # DEPENDENCYPART_SIBL
(19,12),(19,18),0.219359 # DEPENDENCYPART_SIBL
(19,12),(19,21),-0.0160493 # DEPENDENCYPART_SIBL
(19,12),(19,22),0.00500397 # DEPENDENCYPART_SIBL
(19,12),(19,24),-0.0160785 # DEPENDENCYPART_SIBL
(19,12),(19,25),0.00500397 # DEPENDENCYPART_SIBL
(19,12),(19,26),-0.0200441 # DEPENDENCYPART_SIBL
(19,12),(19,27),0.00500397 # DEPENDENCYPART_SIBL
(19,12),(19,28),-0.00694791 # DEPENDENCYPART_SIBL
(19,12),(19,29),0.051603 # DEPENDENCYPART_SIBL
(19,15),(19,16),0.109069 # DEPENDENCYPART_SIBL
(19,15),(19,17),0.100993 # DEPENDENCYPART_SIBL
(19,15),(19,18),0.121152 # DEPENDENCYPART_SIBL
(19,15),(19,21),-0.00373277 # DEPENDENCYPART_SIBL
(19,15),(19,22),0.00684618 # DEPENDENCYPART_SIBL
(19,15),(19,24),-0.00376869 # DEPENDENCYPART_SIBL
(19,15),(19,25),0.00684618 # DEPENDENCYPART_SIBL
(19,15),(19,26),-0.004231 # DEPENDENCYPART_SIBL
(19,15),(19,27),0.00684618 # DEPENDENCYPART_SIBL
(19,15),(19,28),-0.0200125 # DEPENDENCYPART_SIBL
(19,15),(19,29),0.0388914 # DEPENDENCYPART_SIBL
(19,16),(19,17),0.100026 # DEPENDENCYPART_SIBL
(19,16),(19,18),0.122879 # DEPENDENCYPART_SIBL
(19,16),(19,21),-0.0044502 # DEPENDENCYPART_SIBL
(19,16),(19,22),0.0066328 # DEPENDENCYPART_SIBL
(19,16),(19,24),-0.00448613 # DEPENDENCYPART_SIBL
(19,16),(19,25),0.0066328 # DEPENDENCYPART_SIBL
(19,16),(19,26),-0.00494843 # DEPENDENCYPART_SIBL
(19,16),(19,27),0.0066328 # DEPENDENCYPART_SIBL
(19,16),(19,28),-0.0200303 # DEPENDENCYPART_SIBL
(19,16),(19,29),0.0403351 # DEPENDENCYPART_SIBL
(19,17),(19,18),0.145087 # DEPENDENCYPART_SIBL
(19,17),(19,21),0.0102705 # DEPENDENCYPART_SIBL
(19,17),(19,22),-0.00170345 # DEPENDENCYPART_SIBL
(19,17),(19,24),0.0105268 # DEPENDENCYPART_SIBL
(19,17),(19,25),-0.00170345 # DEPENDENCYPART_SIBL
(19,17),(19,26),0.000244601 # DEPENDENCYPART_SIBL
(19,17),(19,27),-0.00170345 # DEPENDENCYPART_SIBL
(19,17),(19,28),-0.0165459 # DEPENDENCYPART_SIBL
(19,17),(19,29),0.0421159 # DEPENDENCYPART_SIBL
(19,18),(19,21),-0.0136109 # DEPENDENCYPART_SIBL
(19,18),(19,22),0.0444788 # DEPENDENCYPART_SIBL
(19,18),(19,24),-0.0125608 # DEPENDENCYPART_SIBL
(19,18),(19,25),0.0444788 # DEPENDENCYPART_SIBL
(19,18),(19,26),-0.0165012 # DEPENDENCYPART_SIBL
(19,18),(19,27),0.0444788 # DEPENDENCYPART_SIBL
(19,18),(19,28),-0.0415003 # DEPENDENCYPART_SIBL
(19,18),(19,29),0.0386488 # DEPENDENCYPART_SIBL
(19,21),(19,22),0.0147776 # DEPENDENCYPART_SIBL
(19,21),(19,24),-0.00730801 # DEPENDENCYPART_SIBL
(19,21),(19,25),0.0147776 # DEPENDENCYPART_SIBL
(19,21),(19,26),-0.0113583 # DEPENDENCYPART_SIBL
(19,21),(19,27),0.0147776 # DEPENDENCYPART_SIBL
(19,21),(19,28),-0.0327504 # DEPENDENCYPART_SIBL
(19,21),(19,29),0.0140245 # DEPENDENCYPART_SIBL
(19,22),(19,24),0.0977933 # DEPENDENCYPART_SIBL
(19,22),(19,25),0.0147187 # DEPENDENCYPART_SIBL
(19,22),(19,26),0.0978621 # DEPENDENCYPART_SIBL
(19,22),(19,27),0.0147187 # DEPENDENCYPART_SIBL
(19,22),(19,28),-0.0268424 # DEPENDENCYPART_SIBL
(19,22),(19,29),0.0691787 # DEPENDENCYPART_SIBL
(19,24),(19,25),0.0142455 # DEPENDENCYPART_SIBL
(19,24),(19,26),-0.0117972 # DEPENDENCYPART_SIBL
(19,24),(19,27),0.0142455 # DEPENDENCYPART_SIBL
(19,24),(19,28),-0.0325407 # DEPENDENCYPART_SIBL
(19,24),(19,29),0.0158888 # DEPENDENCYPART_SIBL
(19,25),(19,26),0.0978621 # DEPENDENCYPART_SIBL
(19,25),(19,27),0.0147187 # DEPENDENCYPART_SIBL
