# _root_ Amikor Freit megválasztottuk , sokkal erőteljesebben felléphetett volna a hadsereggel és Pinochettel szemben , hiszen ma a demokrácia már nincs veszélyben .
#goldHeads=3,3,7,7,6,7,15,7,10,13,13,13,7,15,0,20,18,20,20,15,20,15,
#predictedHeads=3,3,7,7,6,7,15,7,10,13,13,13,7,15,0,20,18,20,20,15,20,15,
(5,7),(5,12),0.0160064 # DEPENDENCYPART_SIBL
(5,7),(5,13),0.0134587 # DEPENDENCYPART_SIBL
(5,7),(5,14),0.0880053 # DEPENDENCYPART_SIBL
(5,7),(5,15),0.0415817 # DEPENDENCYPART_SIBL
(5,7),(5,20),-0.0110974 # DEPENDENCYPART_SIBL
(5,7),(5,21),0.0160151 # DEPENDENCYPART_SIBL
(5,7),(5,22),0.0361716 # DEPENDENCYPART_SIBL
(5,10),(5,12),-0.00210204 # DEPENDENCYPART_SIBL
(5,10),(5,13),0.0709494 # DEPENDENCYPART_SIBL
(5,10),(5,14),0.0433896 # DEPENDENCYPART_SIBL
(5,10),(5,15),0.0108488 # DEPENDENCYPART_SIBL
(5,10),(5,20),0.0177137 # DEPENDENCYPART_SIBL
(5,10),(5,21),-0.00210204 # DEPENDENCYPART_SIBL
(5,10),(5,22),-0.00686861 # DEPENDENCYPART_SIBL
(5,12),(5,13),0.0709458 # DEPENDENCYPART_SIBL
(5,12),(5,14),0.0356933 # DEPENDENCYPART_SIBL
(5,12),(5,15),0.0108447 # DEPENDENCYPART_SIBL
(5,12),(5,20),0.0168904 # DEPENDENCYPART_SIBL
(5,12),(5,21),-0.00210572 # DEPENDENCYPART_SIBL
(5,12),(5,22),-0.00723143 # DEPENDENCYPART_SIBL
(5,13),(5,14),0.0159905 # DEPENDENCYPART_SIBL
(5,13),(5,15),0.011815 # DEPENDENCYPART_SIBL
(5,13),(5,20),-0.014289 # DEPENDENCYPART_SIBL
(5,13),(5,21),0.0267921 # DEPENDENCYPART_SIBL
(5,13),(5,22),0.0252865 # DEPENDENCYPART_SIBL
(5,14),(5,15),0.0770357 # DEPENDENCYPART_SIBL
(5,14),(5,20),0.214223 # DEPENDENCYPART_SIBL
(5,14),(5,21),-0.000240792 # DEPENDENCYPART_SIBL
(5,14),(5,22),0.0283796 # DEPENDENCYPART_SIBL
(5,15),(5,20),0.0321746 # DEPENDENCYPART_SIBL
(5,15),(5,21),-0.0144406 # DEPENDENCYPART_SIBL
(5,15),(5,22),-0.00946503 # DEPENDENCYPART_SIBL
(5,20),(5,21),0.0153237 # DEPENDENCYPART_SIBL
(5,20),(5,22),0.0130446 # DEPENDENCYPART_SIBL
(5,21),(5,22),-0.00686861 # DEPENDENCYPART_SIBL
(6,1),(6,2),0.204842 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.145414 # DEPENDENCYPART_SIBL
(6,1),(6,4),0.0558334 # DEPENDENCYPART_SIBL
(6,1),(6,5),0.0916045 # DEPENDENCYPART_SIBL
(6,1),(6,10),0.0613189 # DEPENDENCYPART_SIBL
(6,1),(6,20),0.00738444 # DEPENDENCYPART_SIBL
(6,1),(6,22),-0.000874108 # DEPENDENCYPART_SIBL
(6,2),(6,3),0.151693 # DEPENDENCYPART_SIBL
(6,2),(6,4),0.282618 # DEPENDENCYPART_SIBL
(6,2),(6,5),0.124887 # DEPENDENCYPART_SIBL
(6,2),(6,10),0.0205572 # DEPENDENCYPART_SIBL
(6,2),(6,20),0.00764037 # DEPENDENCYPART_SIBL
(6,2),(6,22),0.0621801 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.256209 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.050032 # DEPENDENCYPART_SIBL
(6,3),(6,10),0.0597654 # DEPENDENCYPART_SIBL
(6,3),(6,20),0.0456934 # DEPENDENCYPART_SIBL
(6,3),(6,22),0.125238 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.00822574 # DEPENDENCYPART_SIBL
(6,4),(6,10),0.0206321 # DEPENDENCYPART_SIBL
(6,4),(6,20),-0.0309668 # DEPENDENCYPART_SIBL
(6,4),(6,22),0.0204113 # DEPENDENCYPART_SIBL
(6,5),(6,10),0.0268055 # DEPENDENCYPART_SIBL
(6,5),(6,20),0.00379748 # DEPENDENCYPART_SIBL
(6,5),(6,22),0.0280396 # DEPENDENCYPART_SIBL
(6,10),(6,20),0.0361497 # DEPENDENCYPART_SIBL
(6,10),(6,22),0.0136211 # DEPENDENCYPART_SIBL
(6,20),(6,22),0.0539439 # DEPENDENCYPART_SIBL
(7,1),(7,2),0.173464 # DEPENDENCYPART_SIBL
(7,1),(7,3),0.0269378 # DEPENDENCYPART_SIBL
(7,1),(7,4),0.0763725 # DEPENDENCYPART_SIBL
(7,1),(7,5),-0.0411491 # DEPENDENCYPART_SIBL
(7,1),(7,6),0.0505106 # DEPENDENCYPART_SIBL
(7,1),(7,8),-0.02425 # DEPENDENCYPART_SIBL
(7,1),(7,9),-0.083589 # DEPENDENCYPART_SIBL
(7,1),(7,10),0.044872 # DEPENDENCYPART_SIBL
(7,1),(7,11),-0.0237261 # DEPENDENCYPART_SIBL
(7,1),(7,12),0.0489428 # DEPENDENCYPART_SIBL
(7,1),(7,13),0.0486427 # DEPENDENCYPART_SIBL
(7,1),(7,14),-0.0694103 # DEPENDENCYPART_SIBL
(7,1),(7,15),-0.0803723 # DEPENDENCYPART_SIBL
(7,1),(7,16),-0.0139331 # DEPENDENCYPART_SIBL
(7,1),(7,18),0.044872 # DEPENDENCYPART_SIBL
(7,1),(7,19),0.00291369 # DEPENDENCYPART_SIBL
(7,1),(7,20),-0.0365274 # DEPENDENCYPART_SIBL
(7,1),(7,21),0.044872 # DEPENDENCYPART_SIBL
(7,1),(7,22),-0.105674 # DEPENDENCYPART_SIBL
(7,2),(7,3),-0.00898354 # DEPENDENCYPART_SIBL
(7,2),(7,4),0.0956371 # DEPENDENCYPART_SIBL
(7,2),(7,5),-0.0949928 # DEPENDENCYPART_SIBL
(7,2),(7,6),-0.000608091 # DEPENDENCYPART_SIBL
(7,2),(7,8),0.0500305 # DEPENDENCYPART_SIBL
(7,2),(7,9),-0.0207151 # DEPENDENCYPART_SIBL
(7,2),(7,10),-0.0106718 # DEPENDENCYPART_SIBL
(7,2),(7,11),-0.0263338 # DEPENDENCYPART_SIBL
(7,2),(7,12),0.00797245 # DEPENDENCYPART_SIBL
(7,2),(7,13),0.0616649 # DEPENDENCYPART_SIBL
(7,2),(7,14),-0.00637658 # DEPENDENCYPART_SIBL
(7,2),(7,15),-0.0575713 # DEPENDENCYPART_SIBL
(7,2),(7,16),-0.0646929 # DEPENDENCYPART_SIBL
(7,2),(7,18),-0.0106718 # DEPENDENCYPART_SIBL
(7,2),(7,19),-0.0422554 # DEPENDENCYPART_SIBL
(7,2),(7,20),-0.00973224 # DEPENDENCYPART_SIBL
(7,2),(7,21),-0.0106718 # DEPENDENCYPART_SIBL
(7,2),(7,22),0.00695274 # DEPENDENCYPART_SIBL
(7,3),(7,4),0.0793449 # DEPENDENCYPART_SIBL
(7,3),(7,5),-0.071326 # DEPENDENCYPART_SIBL
(7,3),(7,6),-0.00480183 # DEPENDENCYPART_SIBL
(7,3),(7,8),0.0453079 # DEPENDENCYPART_SIBL
(7,3),(7,9),-0.0321 # DEPENDENCYPART_SIBL
(7,3),(7,10),-0.00872962 # DEPENDENCYPART_SIBL
(7,3),(7,11),-0.0229684 # DEPENDENCYPART_SIBL
(7,3),(7,12),-0.00139759 # DEPENDENCYPART_SIBL
(7,3),(7,13),-0.00593893 # DEPENDENCYPART_SIBL
(7,3),(7,14),0.00227714 # DEPENDENCYPART_SIBL
(7,3),(7,15),-0.0222381 # DEPENDENCYPART_SIBL
(7,3),(7,16),-0.0127118 # DEPENDENCYPART_SIBL
(7,3),(7,18),-0.00872941 # DEPENDENCYPART_SIBL
(7,3),(7,19),-0.0275531 # DEPENDENCYPART_SIBL
(7,3),(7,20),-0.0070155 # DEPENDENCYPART_SIBL
(7,3),(7,21),-0.00872941 # DEPENDENCYPART_SIBL
(7,3),(7,22),0.0157563 # DEPENDENCYPART_SIBL
(7,4),(7,5),-0.101077 # DEPENDENCYPART_SIBL
(7,4),(7,6),-0.00899597 # DEPENDENCYPART_SIBL
(7,4),(7,8),0.0185872 # DEPENDENCYPART_SIBL
(7,4),(7,9),-0.0116264 # DEPENDENCYPART_SIBL
(7,4),(7,10),-0.0180136 # DEPENDENCYPART_SIBL
(7,4),(7,11),-0.0227697 # DEPENDENCYPART_SIBL
(7,4),(7,12),0.0027559 # DEPENDENCYPART_SIBL
(7,4),(7,13),0.0592264 # DEPENDENCYPART_SIBL
(7,4),(7,14),-0.00490476 # DEPENDENCYPART_SIBL
(7,4),(7,15),-0.0270313 # DEPENDENCYPART_SIBL
(7,4),(7,16),-0.00237885 # DEPENDENCYPART_SIBL
(7,4),(7,18),-0.0180136 # DEPENDENCYPART_SIBL
(7,4),(7,19),-0.0344535 # DEPENDENCYPART_SIBL
(7,4),(7,20),-0.00202492 # DEPENDENCYPART_SIBL
(7,4),(7,21),-0.0180136 # DEPENDENCYPART_SIBL
(7,4),(7,22),0.0213227 # DEPENDENCYPART_SIBL
(7,5),(7,6),-0.0659633 # DEPENDENCYPART_SIBL
(7,5),(7,8),-0.102009 # DEPENDENCYPART_SIBL
(7,5),(7,9),-0.148299 # DEPENDENCYPART_SIBL
(7,5),(7,10),-0.09661 # DEPENDENCYPART_SIBL
(7,5),(7,11),-0.118222 # DEPENDENCYPART_SIBL
(7,5),(7,12),-0.0958002 # DEPENDENCYPART_SIBL
(7,5),(7,13),-0.0232888 # DEPENDENCYPART_SIBL
(7,5),(7,14),-0.12986 # DEPENDENCYPART_SIBL
(7,5),(7,15),-0.172716 # DEPENDENCYPART_SIBL
(7,5),(7,16),-0.101353 # DEPENDENCYPART_SIBL
(7,5),(7,18),-0.09661 # DEPENDENCYPART_SIBL
(7,5),(7,19),-0.0888085 # DEPENDENCYPART_SIBL
(7,5),(7,20),-0.10856 # DEPENDENCYPART_SIBL
(7,5),(7,21),-0.09661 # DEPENDENCYPART_SIBL
(7,5),(7,22),-0.114035 # DEPENDENCYPART_SIBL
(7,6),(7,8),0.0528848 # DEPENDENCYPART_SIBL
(7,6),(7,9),-0.00583005 # DEPENDENCYPART_SIBL
(7,6),(7,10),0.00929095 # DEPENDENCYPART_SIBL
(7,6),(7,11),-0.0374188 # DEPENDENCYPART_SIBL
(7,6),(7,12),0.0219659 # DEPENDENCYPART_SIBL
(7,6),(7,13),0.0429317 # DEPENDENCYPART_SIBL
(7,6),(7,14),0.0135504 # DEPENDENCYPART_SIBL
(7,6),(7,15),-0.0227743 # DEPENDENCYPART_SIBL
(7,6),(7,16),-0.0157738 # DEPENDENCYPART_SIBL
(7,6),(7,18),0.00929095 # DEPENDENCYPART_SIBL
(7,6),(7,19),-0.0218363 # DEPENDENCYPART_SIBL
(7,6),(7,20),0.00772358 # DEPENDENCYPART_SIBL
(7,6),(7,21),0.00929095 # DEPENDENCYPART_SIBL
(7,6),(7,22),0.0051115 # DEPENDENCYPART_SIBL
(7,8),(7,9),0.0334992 # DEPENDENCYPART_SIBL
(7,8),(7,10),0.0737462 # DEPENDENCYPART_SIBL
(7,8),(7,11),0.0681728 # DEPENDENCYPART_SIBL
(7,8),(7,12),0.0737374 # DEPENDENCYPART_SIBL
(7,8),(7,13),-0.0438993 # DEPENDENCYPART_SIBL
(7,8),(7,14),0.0110234 # DEPENDENCYPART_SIBL
(7,8),(7,15),0.0536849 # DEPENDENCYPART_SIBL
(7,8),(7,16),0.00882873 # DEPENDENCYPART_SIBL
(7,8),(7,18),0.0737403 # DEPENDENCYPART_SIBL
(7,8),(7,19),0.0359164 # DEPENDENCYPART_SIBL
(7,8),(7,20),0.0441908 # DEPENDENCYPART_SIBL
(7,8),(7,21),0.0737462 # DEPENDENCYPART_SIBL
(7,8),(7,22),-0.00999635 # DEPENDENCYPART_SIBL
(7,9),(7,10),0.0110333 # DEPENDENCYPART_SIBL
(7,9),(7,11),0.0339442 # DEPENDENCYPART_SIBL
(7,9),(7,12),0.0110333 # DEPENDENCYPART_SIBL
(7,9),(7,13),-0.0153701 # DEPENDENCYPART_SIBL
(7,9),(7,14),-0.00728509 # DEPENDENCYPART_SIBL
(7,9),(7,15),0.0370387 # DEPENDENCYPART_SIBL
(7,9),(7,16),-0.0314671 # DEPENDENCYPART_SIBL
(7,9),(7,18),0.0110246 # DEPENDENCYPART_SIBL
(7,9),(7,19),-0.0128302 # DEPENDENCYPART_SIBL
(7,9),(7,20),-0.00179782 # DEPENDENCYPART_SIBL
(7,9),(7,21),0.0110333 # DEPENDENCYPART_SIBL
(7,9),(7,22),-0.0284786 # DEPENDENCYPART_SIBL
(7,10),(7,11),0.0300045 # DEPENDENCYPART_SIBL
(7,10),(7,12),-0.0191053 # DEPENDENCYPART_SIBL
(7,10),(7,13),0.0017969 # DEPENDENCYPART_SIBL
(7,10),(7,14),0.0430489 # DEPENDENCYPART_SIBL
(7,10),(7,15),-0.0089766 # DEPENDENCYPART_SIBL
(7,10),(7,16),-0.0253565 # DEPENDENCYPART_SIBL
(7,10),(7,18),-0.0191121 # DEPENDENCYPART_SIBL
(7,10),(7,19),0.00324498 # DEPENDENCYPART_SIBL
(7,10),(7,20),0.0141335 # DEPENDENCYPART_SIBL
(7,10),(7,21),-0.0191053 # DEPENDENCYPART_SIBL
(7,10),(7,22),-1.62179e-05 # DEPENDENCYPART_SIBL
(7,11),(7,12),0.107612 # DEPENDENCYPART_SIBL
(7,11),(7,13),-0.0441774 # DEPENDENCYPART_SIBL
(7,11),(7,14),-0.00243477 # DEPENDENCYPART_SIBL
(7,11),(7,15),-0.00258661 # DEPENDENCYPART_SIBL
(7,11),(7,16),0.0228652 # DEPENDENCYPART_SIBL
(7,11),(7,18),0.107604 # DEPENDENCYPART_SIBL
(7,11),(7,19),0.0450151 # DEPENDENCYPART_SIBL
(7,11),(7,20),0.0860344 # DEPENDENCYPART_SIBL
(7,11),(7,21),0.107612 # DEPENDENCYPART_SIBL
(7,11),(7,22),0.00340412 # DEPENDENCYPART_SIBL
(7,12),(7,13),-0.00310659 # DEPENDENCYPART_SIBL
(7,12),(7,14),0.0227751 # DEPENDENCYPART_SIBL
(7,12),(7,15),-0.0138811 # DEPENDENCYPART_SIBL
(7,12),(7,16),-0.03026 # DEPENDENCYPART_SIBL
(7,12),(7,18),-0.0240156 # DEPENDENCYPART_SIBL
(7,12),(7,19),-0.00165853 # DEPENDENCYPART_SIBL
(7,12),(7,20),0.00759685 # DEPENDENCYPART_SIBL
(7,12),(7,21),-0.0240089 # DEPENDENCYPART_SIBL
(7,12),(7,22),-0.00561833 # DEPENDENCYPART_SIBL
(7,13),(7,14),0.0255019 # DEPENDENCYPART_SIBL
(7,13),(7,15),-0.0038824 # DEPENDENCYPART_SIBL
(7,13),(7,16),0.0265331 # DEPENDENCYPART_SIBL
(7,13),(7,18),0.0209805 # DEPENDENCYPART_SIBL
(7,13),(7,19),0.042862 # DEPENDENCYPART_SIBL
(7,13),(7,20),-0.0129138 # DEPENDENCYPART_SIBL
(7,13),(7,21),0.020985 # DEPENDENCYPART_SIBL
(7,13),(7,22),-0.0021887 # DEPENDENCYPART_SIBL
(7,14),(7,15),0.223287 # DEPENDENCYPART_SIBL
(7,14),(7,16),0.0427554 # DEPENDENCYPART_SIBL
(7,14),(7,18),0.0765154 # DEPENDENCYPART_SIBL
(7,14),(7,19),0.0907788 # DEPENDENCYPART_SIBL
(7,14),(7,20),0.236652 # DEPENDENCYPART_SIBL
(7,14),(7,21),0.07652 # DEPENDENCYPART_SIBL
(7,14),(7,22),0.0489202 # DEPENDENCYPART_SIBL
(7,15),(7,16),-0.011162 # DEPENDENCYPART_SIBL
(7,15),(7,18),0.0232499 # DEPENDENCYPART_SIBL
(7,15),(7,19),0.0102976 # DEPENDENCYPART_SIBL
(7,15),(7,20),0.0685803 # DEPENDENCYPART_SIBL
(7,15),(7,21),0.0232561 # DEPENDENCYPART_SIBL
(7,15),(7,22),-0.0100046 # DEPENDENCYPART_SIBL
(7,16),(7,18),0.0236892 # DEPENDENCYPART_SIBL
(7,16),(7,19),-0.031766 # DEPENDENCYPART_SIBL
(7,16),(7,20),0.0320596 # DEPENDENCYPART_SIBL
(7,16),(7,21),0.0236936 # DEPENDENCYPART_SIBL
(7,16),(7,22),-0.0248451 # DEPENDENCYPART_SIBL
(7,18),(7,19),0.00324068 # DEPENDENCYPART_SIBL
(7,18),(7,20),0.0141287 # DEPENDENCYPART_SIBL
(7,18),(7,21),-0.0191147 # DEPENDENCYPART_SIBL
(7,18),(7,22),-2.73232e-05 # DEPENDENCYPART_SIBL
(7,19),(7,20),0.0655193 # DEPENDENCYPART_SIBL
(7,19),(7,21),0.0518226 # DEPENDENCYPART_SIBL
(7,19),(7,22),-0.0080588 # DEPENDENCYPART_SIBL
(7,20),(7,21),0.0118571 # DEPENDENCYPART_SIBL
(7,20),(7,22),0.0136542 # DEPENDENCYPART_SIBL
(7,21),(7,22),-1.62179e-05 # DEPENDENCYPART_SIBL
(8,3),(8,4),0.103655 # DEPENDENCYPART_SIBL
(8,3),(8,5),-0.0488057 # DEPENDENCYPART_SIBL
(8,3),(8,6),0.0114049 # DEPENDENCYPART_SIBL
(8,3),(8,7),-0.0293303 # DEPENDENCYPART_SIBL
(8,3),(8,10),-0.00926709 # DEPENDENCYPART_SIBL
(8,3),(8,11),-0.0188554 # DEPENDENCYPART_SIBL
(8,3),(8,12),-0.00193506 # DEPENDENCYPART_SIBL
(8,3),(8,13),-0.0049134 # DEPENDENCYPART_SIBL
(8,3),(8,14),0.0188103 # DEPENDENCYPART_SIBL
(8,3),(8,15),-0.0176225 # DEPENDENCYPART_SIBL
(8,3),(8,18),-0.00926688 # DEPENDENCYPART_SIBL
(8,3),(8,20),0.0133309 # DEPENDENCYPART_SIBL
(8,3),(8,22),0.0244672 # DEPENDENCYPART_SIBL
(8,4),(8,5),-0.0784282 # DEPENDENCYPART_SIBL
(8,4),(8,6),0.00552771 # DEPENDENCYPART_SIBL
(8,4),(8,7),0.014308 # DEPENDENCYPART_SIBL
(8,4),(8,10),0.00416251 # DEPENDENCYPART_SIBL
(8,4),(8,11),0.00175587 # DEPENDENCYPART_SIBL
(8,4),(8,12),0.024932 # DEPENDENCYPART_SIBL
(8,4),(8,13),0.0800553 # DEPENDENCYPART_SIBL
(8,4),(8,14),0.0392243 # DEPENDENCYPART_SIBL
(8,4),(8,15),-0.00196062 # DEPENDENCYPART_SIBL
(8,4),(8,18),0.00416251 # DEPENDENCYPART_SIBL
(8,4),(8,20),0.0413155 # DEPENDENCYPART_SIBL
(8,4),(8,22),0.0585332 # DEPENDENCYPART_SIBL
(8,5),(8,6),-0.0551455 # DEPENDENCYPART_SIBL
(8,5),(8,7),-0.0805018 # DEPENDENCYPART_SIBL
(8,5),(8,10),-0.0668153 # DEPENDENCYPART_SIBL
(8,5),(8,11),-0.0843921 # DEPENDENCYPART_SIBL
(8,5),(8,12),-0.0660055 # DEPENDENCYPART_SIBL
(8,5),(8,13),0.00693231 # DEPENDENCYPART_SIBL
(8,5),(8,14),-0.0743412 # DEPENDENCYPART_SIBL
(8,5),(8,15),-0.138027 # DEPENDENCYPART_SIBL
(8,5),(8,18),-0.0668153 # DEPENDENCYPART_SIBL
(8,5),(8,20),-0.0555847 # DEPENDENCYPART_SIBL
(8,5),(8,22),-0.0676955 # DEPENDENCYPART_SIBL
(8,6),(8,7),-0.00404059 # DEPENDENCYPART_SIBL
(8,6),(8,10),0.0153204 # DEPENDENCYPART_SIBL
(8,6),(8,11),-0.0266039 # DEPENDENCYPART_SIBL
(8,6),(8,12),0.0279954 # DEPENDENCYPART_SIBL
(8,6),(8,13),0.0523194 # DEPENDENCYPART_SIBL
(8,6),(8,14),0.0381021 # DEPENDENCYPART_SIBL
(8,6),(8,15),-0.0114627 # DEPENDENCYPART_SIBL
(8,6),(8,18),0.0153204 # DEPENDENCYPART_SIBL
(8,6),(8,20),0.0324714 # DEPENDENCYPART_SIBL
(8,6),(8,22),0.0228285 # DEPENDENCYPART_SIBL
(8,7),(8,10),-0.00926709 # DEPENDENCYPART_SIBL
(8,7),(8,11),-0.0188554 # DEPENDENCYPART_SIBL
(8,7),(8,12),-0.00193506 # DEPENDENCYPART_SIBL
(8,7),(8,13),-0.0049134 # DEPENDENCYPART_SIBL
(8,7),(8,14),0.0188103 # DEPENDENCYPART_SIBL
(8,7),(8,15),-0.0176225 # DEPENDENCYPART_SIBL
(8,7),(8,18),-0.00926688 # DEPENDENCYPART_SIBL
(8,7),(8,20),0.0133309 # DEPENDENCYPART_SIBL
(8,7),(8,22),0.0244672 # DEPENDENCYPART_SIBL
(8,10),(8,11),0.0416789 # DEPENDENCYPART_SIBL
(8,10),(8,12),-0.0179628 # DEPENDENCYPART_SIBL
(8,10),(8,13),0.0186677 # DEPENDENCYPART_SIBL
(8,10),(8,14),0.0708222 # DEPENDENCYPART_SIBL
(8,10),(8,15),0.00390052 # DEPENDENCYPART_SIBL
(8,10),(8,18),-0.0179695 # DEPENDENCYPART_SIBL
(8,10),(8,20),0.0462712 # DEPENDENCYPART_SIBL
(8,10),(8,22),0.0239824 # DEPENDENCYPART_SIBL
(8,11),(8,12),0.1135 # DEPENDENCYPART_SIBL
(8,11),(8,13),-0.0258109 # DEPENDENCYPART_SIBL
(8,11),(8,14),0.0307841 # DEPENDENCYPART_SIBL
(8,11),(8,15),0.0130672 # DEPENDENCYPART_SIBL
(8,11),(8,18),0.113492 # DEPENDENCYPART_SIBL
(8,11),(8,20),0.127472 # DEPENDENCYPART_SIBL
(8,11),(8,22),0.0389513 # DEPENDENCYPART_SIBL
(8,12),(8,13),0.0137642 # DEPENDENCYPART_SIBL
(8,12),(8,14),0.0505485 # DEPENDENCYPART_SIBL
(8,12),(8,15),-0.00100396 # DEPENDENCYPART_SIBL
(8,12),(8,18),-0.0228731 # DEPENDENCYPART_SIBL
(8,12),(8,20),0.0397346 # DEPENDENCYPART_SIBL
(8,12),(8,22),0.0183803 # DEPENDENCYPART_SIBL
(8,13),(8,14),0.0421564 # DEPENDENCYPART_SIBL
(8,13),(8,15),0.000542704 # DEPENDENCYPART_SIBL
(8,13),(8,18),0.017134 # DEPENDENCYPART_SIBL
(8,13),(8,20),0.0103966 # DEPENDENCYPART_SIBL
(8,13),(8,22),0.0183833 # DEPENDENCYPART_SIBL
(8,14),(8,15),0.250117 # DEPENDENCYPART_SIBL
(8,14),(8,18),0.0897062 # DEPENDENCYPART_SIBL
(8,14),(8,20),0.29478 # DEPENDENCYPART_SIBL
(8,14),(8,22),0.0952354 # DEPENDENCYPART_SIBL
(8,15),(8,18),0.0303032 # DEPENDENCYPART_SIBL
(8,15),(8,20),0.110611 # DEPENDENCYPART_SIBL
(8,15),(8,22),0.0261502 # DEPENDENCYPART_SIBL
(8,18),(8,20),0.0462665 # DEPENDENCYPART_SIBL
(8,18),(8,22),0.0239713 # DEPENDENCYPART_SIBL
(8,20),(8,22),0.0543357 # DEPENDENCYPART_SIBL
(11,3),(11,4),0.437808 # DEPENDENCYPART_SIBL
(11,3),(11,5),-0.0475987 # DEPENDENCYPART_SIBL
(11,3),(11,6),-0.0168566 # DEPENDENCYPART_SIBL
(11,3),(11,7),0.0100343 # DEPENDENCYPART_SIBL
(11,3),(11,8),-0.0298021 # DEPENDENCYPART_SIBL
(11,3),(11,9),-0.01647 # DEPENDENCYPART_SIBL
(11,3),(11,10),0.00644051 # DEPENDENCYPART_SIBL
(11,3),(11,12),-0.0124633 # DEPENDENCYPART_SIBL
(11,3),(11,13),0.0231795 # DEPENDENCYPART_SIBL
(11,3),(11,14),0.0442454 # DEPENDENCYPART_SIBL
(11,3),(11,15),0.0534958 # DEPENDENCYPART_SIBL
(11,3),(11,16),0.0587102 # DEPENDENCYPART_SIBL
(11,3),(11,18),-0.0124636 # DEPENDENCYPART_SIBL
(11,3),(11,19),0.0553043 # DEPENDENCYPART_SIBL
(11,3),(11,20),0.193873 # DEPENDENCYPART_SIBL
(11,3),(11,21),-0.0124633 # DEPENDENCYPART_SIBL
(11,3),(11,22),0.183631 # DEPENDENCYPART_SIBL
(11,4),(11,5),-0.0439624 # DEPENDENCYPART_SIBL
(11,4),(11,6),0.0254623 # DEPENDENCYPART_SIBL
(11,4),(11,7),0.111924 # DEPENDENCYPART_SIBL
(11,4),(11,8),0.0608027 # DEPENDENCYPART_SIBL
(11,4),(11,9),0.00113436 # DEPENDENCYPART_SIBL
(11,4),(11,10),0.100392 # DEPENDENCYPART_SIBL
(11,4),(11,12),0.0285689 # DEPENDENCYPART_SIBL
(11,4),(11,13),0.0669199 # DEPENDENCYPART_SIBL
(11,4),(11,14),-0.00185448 # DEPENDENCYPART_SIBL
(11,4),(11,15),0.0117268 # DEPENDENCYPART_SIBL
(11,4),(11,16),0.0326114 # DEPENDENCYPART_SIBL
(11,4),(11,18),0.0218516 # DEPENDENCYPART_SIBL
(11,4),(11,19),0.0163015 # DEPENDENCYPART_SIBL
(11,4),(11,20),0.159076 # DEPENDENCYPART_SIBL
(11,4),(11,21),0.0218518 # DEPENDENCYPART_SIBL
(11,4),(11,22),0.198796 # DEPENDENCYPART_SIBL
(11,5),(11,6),-0.0283725 # DEPENDENCYPART_SIBL
(11,5),(11,7),-0.0152419 # DEPENDENCYPART_SIBL
(11,5),(11,8),-0.0411289 # DEPENDENCYPART_SIBL
(11,5),(11,9),-0.0839892 # DEPENDENCYPART_SIBL
(11,5),(11,10),-0.021823 # DEPENDENCYPART_SIBL
(11,5),(11,12),-0.0116799 # DEPENDENCYPART_SIBL
(11,5),(11,13),-0.0423205 # DEPENDENCYPART_SIBL
(11,5),(11,14),-0.0885085 # DEPENDENCYPART_SIBL
(11,5),(11,15),-0.0864014 # DEPENDENCYPART_SIBL
(11,5),(11,16),-0.066282 # DEPENDENCYPART_SIBL
(11,5),(11,18),-0.00841898 # DEPENDENCYPART_SIBL
(11,5),(11,19),-0.0580659 # DEPENDENCYPART_SIBL
(11,5),(11,20),-0.026274 # DEPENDENCYPART_SIBL
(11,5),(11,21),-0.00841873 # DEPENDENCYPART_SIBL
(11,5),(11,22),-0.0586474 # DEPENDENCYPART_SIBL
(11,6),(11,7),0.0652819 # DEPENDENCYPART_SIBL
(11,6),(11,8),0.0387782 # DEPENDENCYPART_SIBL
(11,6),(11,9),-0.161126 # DEPENDENCYPART_SIBL
(11,6),(11,10),0.0164925 # DEPENDENCYPART_SIBL
(11,6),(11,12),0.0116214 # DEPENDENCYPART_SIBL
(11,6),(11,13),-0.0123729 # DEPENDENCYPART_SIBL
(11,6),(11,14),-0.0113718 # DEPENDENCYPART_SIBL
(11,6),(11,15),-0.0159459 # DEPENDENCYPART_SIBL
(11,6),(11,16),-0.0141487 # DEPENDENCYPART_SIBL
(11,6),(11,18),0.00894967 # DEPENDENCYPART_SIBL
(11,6),(11,19),-0.0175241 # DEPENDENCYPART_SIBL
(11,6),(11,20),-0.0190318 # DEPENDENCYPART_SIBL
(11,6),(11,21),0.00894992 # DEPENDENCYPART_SIBL
(11,6),(11,22),0.0296997 # DEPENDENCYPART_SIBL
(11,7),(11,8),-0.0298021 # DEPENDENCYPART_SIBL
(11,7),(11,9),-0.01647 # DEPENDENCYPART_SIBL
(11,7),(11,10),0.00644051 # DEPENDENCYPART_SIBL
(11,7),(11,12),-0.0124633 # DEPENDENCYPART_SIBL
(11,7),(11,13),0.0231795 # DEPENDENCYPART_SIBL
(11,7),(11,14),0.0442454 # DEPENDENCYPART_SIBL
(11,7),(11,15),0.0534958 # DEPENDENCYPART_SIBL
(11,7),(11,16),0.0587102 # DEPENDENCYPART_SIBL
