# _root_ A kávéházak és a passzázsokból kialakított bevásárlóudvarok zsúfolásig tömve vannak , mintha csak azt szeretnék bizonyítani , hogy itt Argentínához és Uruguayhoz hasonlóan igen is erős középosztály van .
#goldHeads=2,9,9,5,6,7,9,9,10,0,10,10,16,16,10,15,15,15,28,23,23,23,28,25,28,27,28,14,10,
#predictedHeads=2,10,10,5,6,7,10,10,10,0,10,10,16,16,10,15,15,15,28,28,28,23,28,25,26,27,28,14,10,
(15,9),(15,21),-0.0283311 # DEPENDENCYPART_SIBL
(15,9),(15,22),-0.0167167 # DEPENDENCYPART_SIBL
(15,9),(15,23),-0.0112179 # DEPENDENCYPART_SIBL
(15,9),(15,24),-0.0662835 # DEPENDENCYPART_SIBL
(15,9),(15,25),-0.0162245 # DEPENDENCYPART_SIBL
(15,9),(15,26),-0.00972368 # DEPENDENCYPART_SIBL
(15,9),(15,27),-0.0167225 # DEPENDENCYPART_SIBL
(15,9),(15,28),0.0224064 # DEPENDENCYPART_SIBL
(15,9),(15,29),0.0162713 # DEPENDENCYPART_SIBL
(15,10),(15,11),0.122504 # DEPENDENCYPART_SIBL
(15,10),(15,12),0.0148464 # DEPENDENCYPART_SIBL
(15,10),(15,13),0.0321261 # DEPENDENCYPART_SIBL
(15,10),(15,14),-0.0133342 # DEPENDENCYPART_SIBL
(15,10),(15,16),0.0150393 # DEPENDENCYPART_SIBL
(15,10),(15,17),0.044345 # DEPENDENCYPART_SIBL
(15,10),(15,18),0.00210403 # DEPENDENCYPART_SIBL
(15,10),(15,19),-0.0188952 # DEPENDENCYPART_SIBL
(15,10),(15,20),0.0115394 # DEPENDENCYPART_SIBL
(15,10),(15,21),-0.00436842 # DEPENDENCYPART_SIBL
(15,10),(15,22),0.0115394 # DEPENDENCYPART_SIBL
(15,10),(15,23),-0.000564052 # DEPENDENCYPART_SIBL
(15,10),(15,24),-0.0170633 # DEPENDENCYPART_SIBL
(15,10),(15,25),0.041282 # DEPENDENCYPART_SIBL
(15,10),(15,26),0.000619814 # DEPENDENCYPART_SIBL
(15,10),(15,27),0.0115342 # DEPENDENCYPART_SIBL
(15,10),(15,28),0.0519325 # DEPENDENCYPART_SIBL
(15,10),(15,29),0.058314 # DEPENDENCYPART_SIBL
(15,11),(15,12),0.154993 # DEPENDENCYPART_SIBL
(15,11),(15,13),0.0131085 # DEPENDENCYPART_SIBL
(15,11),(15,14),0.0861686 # DEPENDENCYPART_SIBL
(15,11),(15,16),0.0898335 # DEPENDENCYPART_SIBL
(15,11),(15,17),0.0997038 # DEPENDENCYPART_SIBL
(15,11),(15,18),0.0868054 # DEPENDENCYPART_SIBL
(15,11),(15,19),0.012785 # DEPENDENCYPART_SIBL
(15,11),(15,20),0.0403191 # DEPENDENCYPART_SIBL
(15,11),(15,21),0.0628871 # DEPENDENCYPART_SIBL
(15,11),(15,22),0.0403191 # DEPENDENCYPART_SIBL
(15,11),(15,23),0.043715 # DEPENDENCYPART_SIBL
(15,11),(15,24),0.0819914 # DEPENDENCYPART_SIBL
(15,11),(15,25),0.13248 # DEPENDENCYPART_SIBL
(15,11),(15,26),0.0449909 # DEPENDENCYPART_SIBL
(15,11),(15,27),0.0403088 # DEPENDENCYPART_SIBL
(15,11),(15,28),0.15563 # DEPENDENCYPART_SIBL
(15,11),(15,29),0.126393 # DEPENDENCYPART_SIBL
(15,12),(15,13),-0.0173863 # DEPENDENCYPART_SIBL
(15,12),(15,14),0.0147938 # DEPENDENCYPART_SIBL
(15,12),(15,16),0.0521008 # DEPENDENCYPART_SIBL
(15,12),(15,17),0.0172921 # DEPENDENCYPART_SIBL
(15,12),(15,18),0.0309776 # DEPENDENCYPART_SIBL
(15,12),(15,19),-0.0117871 # DEPENDENCYPART_SIBL
(15,12),(15,20),-0.000335712 # DEPENDENCYPART_SIBL
(15,12),(15,21),0.0101181 # DEPENDENCYPART_SIBL
(15,12),(15,22),-0.000335712 # DEPENDENCYPART_SIBL
(15,12),(15,23),0.000573837 # DEPENDENCYPART_SIBL
(15,12),(15,24),-0.0126278 # DEPENDENCYPART_SIBL
(15,12),(15,25),0.0382854 # DEPENDENCYPART_SIBL
(15,12),(15,26),0.00183619 # DEPENDENCYPART_SIBL
(15,12),(15,27),-0.000339607 # DEPENDENCYPART_SIBL
(15,12),(15,28),0.0764522 # DEPENDENCYPART_SIBL
(15,12),(15,29),0.112042 # DEPENDENCYPART_SIBL
(15,13),(15,14),0.0180204 # DEPENDENCYPART_SIBL
(15,13),(15,16),-0.097974 # DEPENDENCYPART_SIBL
(15,13),(15,17),-0.0492513 # DEPENDENCYPART_SIBL
(15,13),(15,18),-0.048865 # DEPENDENCYPART_SIBL
(15,13),(15,19),-0.0774442 # DEPENDENCYPART_SIBL
(15,13),(15,20),0.000697973 # DEPENDENCYPART_SIBL
(15,13),(15,21),-0.0736761 # DEPENDENCYPART_SIBL
(15,13),(15,22),0.000697973 # DEPENDENCYPART_SIBL
(15,13),(15,23),-0.0459185 # DEPENDENCYPART_SIBL
(15,13),(15,24),-0.104713 # DEPENDENCYPART_SIBL
(15,13),(15,25),-0.0527132 # DEPENDENCYPART_SIBL
(15,13),(15,26),-0.0444243 # DEPENDENCYPART_SIBL
(15,13),(15,27),0.000691543 # DEPENDENCYPART_SIBL
(15,13),(15,28),-0.0348772 # DEPENDENCYPART_SIBL
(15,13),(15,29),-0.0336071 # DEPENDENCYPART_SIBL
(15,14),(15,16),-0.260156 # DEPENDENCYPART_SIBL
(15,14),(15,17),0.0101248 # DEPENDENCYPART_SIBL
(15,14),(15,18),-0.00171934 # DEPENDENCYPART_SIBL
(15,14),(15,19),-0.0807858 # DEPENDENCYPART_SIBL
(15,14),(15,20),-0.162659 # DEPENDENCYPART_SIBL
(15,14),(15,21),-0.107817 # DEPENDENCYPART_SIBL
(15,14),(15,22),-0.162659 # DEPENDENCYPART_SIBL
(15,14),(15,23),-0.100558 # DEPENDENCYPART_SIBL
(15,14),(15,24),-0.123163 # DEPENDENCYPART_SIBL
(15,14),(15,25),-0.0622556 # DEPENDENCYPART_SIBL
(15,14),(15,26),-0.0991123 # DEPENDENCYPART_SIBL
(15,14),(15,27),-0.162663 # DEPENDENCYPART_SIBL
(15,14),(15,28),-0.214923 # DEPENDENCYPART_SIBL
(15,14),(15,29),0.00854524 # DEPENDENCYPART_SIBL
(15,16),(15,17),0.0515447 # DEPENDENCYPART_SIBL
(15,16),(15,18),-0.0192641 # DEPENDENCYPART_SIBL
(15,16),(15,19),0.0128438 # DEPENDENCYPART_SIBL
(15,16),(15,20),0.00325779 # DEPENDENCYPART_SIBL
(15,16),(15,21),0.0520636 # DEPENDENCYPART_SIBL
(15,16),(15,22),0.00325779 # DEPENDENCYPART_SIBL
(15,16),(15,23),0.0155191 # DEPENDENCYPART_SIBL
(15,16),(15,24),-0.023541 # DEPENDENCYPART_SIBL
(15,16),(15,25),-0.0213066 # DEPENDENCYPART_SIBL
(15,16),(15,26),0.016513 # DEPENDENCYPART_SIBL
(15,16),(15,27),0.00325555 # DEPENDENCYPART_SIBL
(15,16),(15,28),0.010354 # DEPENDENCYPART_SIBL
(15,16),(15,29),0.0705258 # DEPENDENCYPART_SIBL
(15,17),(15,18),0.779811 # DEPENDENCYPART_SIBL
(15,17),(15,19),0.086079 # DEPENDENCYPART_SIBL
(15,17),(15,20),0.0668719 # DEPENDENCYPART_SIBL
(15,17),(15,21),0.0526254 # DEPENDENCYPART_SIBL
(15,17),(15,22),0.0668719 # DEPENDENCYPART_SIBL
(15,17),(15,23),0.0525459 # DEPENDENCYPART_SIBL
(15,17),(15,24),-0.0311004 # DEPENDENCYPART_SIBL
(15,17),(15,25),-0.240026 # DEPENDENCYPART_SIBL
(15,17),(15,26),0.0550133 # DEPENDENCYPART_SIBL
(15,17),(15,27),0.0668677 # DEPENDENCYPART_SIBL
(15,17),(15,28),0.212481 # DEPENDENCYPART_SIBL
(15,17),(15,29),0.0733089 # DEPENDENCYPART_SIBL
(15,18),(15,19),0.0116624 # DEPENDENCYPART_SIBL
(15,18),(15,20),-0.0330255 # DEPENDENCYPART_SIBL
(15,18),(15,21),-0.0457252 # DEPENDENCYPART_SIBL
(15,18),(15,22),-0.0330255 # DEPENDENCYPART_SIBL
(15,18),(15,23),0.0662929 # DEPENDENCYPART_SIBL
(15,18),(15,24),-0.0214738 # DEPENDENCYPART_SIBL
(15,18),(15,25),-0.0438906 # DEPENDENCYPART_SIBL
(15,18),(15,26),0.0680059 # DEPENDENCYPART_SIBL
(15,18),(15,27),-0.0330274 # DEPENDENCYPART_SIBL
(15,18),(15,28),0.0653357 # DEPENDENCYPART_SIBL
(15,18),(15,29),0.137178 # DEPENDENCYPART_SIBL
(15,19),(15,20),0.0187293 # DEPENDENCYPART_SIBL
(15,19),(15,21),-0.0421921 # DEPENDENCYPART_SIBL
(15,19),(15,22),0.0187293 # DEPENDENCYPART_SIBL
(15,19),(15,23),0.0507609 # DEPENDENCYPART_SIBL
(15,19),(15,24),-0.0293416 # DEPENDENCYPART_SIBL
(15,19),(15,25),0.0194744 # DEPENDENCYPART_SIBL
(15,19),(15,26),0.0512379 # DEPENDENCYPART_SIBL
(15,19),(15,27),0.018726 # DEPENDENCYPART_SIBL
(15,19),(15,28),0.00189854 # DEPENDENCYPART_SIBL
(15,19),(15,29),0.0126715 # DEPENDENCYPART_SIBL
(15,20),(15,21),0.0125848 # DEPENDENCYPART_SIBL
(15,20),(15,22),-0.0317042 # DEPENDENCYPART_SIBL
(15,20),(15,23),0.0161153 # DEPENDENCYPART_SIBL
(15,20),(15,24),-0.0319519 # DEPENDENCYPART_SIBL
(15,20),(15,25),0.0480145 # DEPENDENCYPART_SIBL
(15,20),(15,26),0.0187339 # DEPENDENCYPART_SIBL
(15,20),(15,27),-0.0317063 # DEPENDENCYPART_SIBL
(15,20),(15,28),0.0157514 # DEPENDENCYPART_SIBL
(15,20),(15,29),0.00740389 # DEPENDENCYPART_SIBL
(15,21),(15,22),0.0964911 # DEPENDENCYPART_SIBL
(15,21),(15,23),0.0220334 # DEPENDENCYPART_SIBL
(15,21),(15,24),-0.0165846 # DEPENDENCYPART_SIBL
(15,21),(15,25),-0.0198982 # DEPENDENCYPART_SIBL
(15,21),(15,26),0.0233995 # DEPENDENCYPART_SIBL
(15,21),(15,27),0.0964891 # DEPENDENCYPART_SIBL
(15,21),(15,28),-0.00949252 # DEPENDENCYPART_SIBL
(15,21),(15,29),0.023363 # DEPENDENCYPART_SIBL
(15,22),(15,23),0.0161153 # DEPENDENCYPART_SIBL
(15,22),(15,24),-0.0319519 # DEPENDENCYPART_SIBL
(15,22),(15,25),0.0480145 # DEPENDENCYPART_SIBL
(15,22),(15,26),0.0187339 # DEPENDENCYPART_SIBL
(15,22),(15,27),-0.0317063 # DEPENDENCYPART_SIBL
(15,22),(15,28),0.0157514 # DEPENDENCYPART_SIBL
(15,22),(15,29),0.00740389 # DEPENDENCYPART_SIBL
(15,23),(15,24),-0.037573 # DEPENDENCYPART_SIBL
(15,23),(15,25),-0.0392841 # DEPENDENCYPART_SIBL
(15,23),(15,26),-0.0356364 # DEPENDENCYPART_SIBL
(15,23),(15,27),-0.0290939 # DEPENDENCYPART_SIBL
(15,23),(15,28),-0.0347992 # DEPENDENCYPART_SIBL
(15,23),(15,29),0.010279 # DEPENDENCYPART_SIBL
(15,24),(15,25),-0.0507081 # DEPENDENCYPART_SIBL
(15,24),(15,26),-0.0194451 # DEPENDENCYPART_SIBL
(15,24),(15,27),-0.0518038 # DEPENDENCYPART_SIBL
(15,24),(15,28),-0.0515519 # DEPENDENCYPART_SIBL
(15,24),(15,29),-0.0439046 # DEPENDENCYPART_SIBL
(15,25),(15,26),0.123755 # DEPENDENCYPART_SIBL
(15,25),(15,27),0.0365937 # DEPENDENCYPART_SIBL
(15,25),(15,28),0.0155929 # DEPENDENCYPART_SIBL
(15,25),(15,29),0.0215528 # DEPENDENCYPART_SIBL
(15,26),(15,27),-0.0224575 # DEPENDENCYPART_SIBL
(15,26),(15,28),-0.0335863 # DEPENDENCYPART_SIBL
(15,26),(15,29),0.0176582 # DEPENDENCYPART_SIBL
(15,27),(15,28),0.0157505 # DEPENDENCYPART_SIBL
(15,27),(15,29),0.00740279 # DEPENDENCYPART_SIBL
(15,28),(15,29),0.110845 # DEPENDENCYPART_SIBL
(16,2),(16,3),0.146174 # DEPENDENCYPART_SIBL
(16,2),(16,5),-0.0187524 # DEPENDENCYPART_SIBL
(16,2),(16,6),0.00671586 # DEPENDENCYPART_SIBL
(16,2),(16,7),-0.0187524 # DEPENDENCYPART_SIBL
(16,2),(16,8),-0.0187524 # DEPENDENCYPART_SIBL
(16,2),(16,9),0.00827311 # DEPENDENCYPART_SIBL
(16,2),(16,10),0.00928407 # DEPENDENCYPART_SIBL
(16,2),(16,11),0.115765 # DEPENDENCYPART_SIBL
(16,2),(16,12),0.141001 # DEPENDENCYPART_SIBL
(16,2),(16,13),0.120272 # DEPENDENCYPART_SIBL
(16,2),(16,14),0.00317297 # DEPENDENCYPART_SIBL
(16,2),(16,15),-0.00829656 # DEPENDENCYPART_SIBL
(16,2),(16,17),-0.0101662 # DEPENDENCYPART_SIBL
(16,2),(16,18),-0.00585937 # DEPENDENCYPART_SIBL
(16,2),(16,19),-0.0160755 # DEPENDENCYPART_SIBL
(16,2),(16,20),-0.0230298 # DEPENDENCYPART_SIBL
(16,2),(16,21),-0.0292914 # DEPENDENCYPART_SIBL
(16,2),(16,22),-0.0230298 # DEPENDENCYPART_SIBL
(16,2),(16,23),-0.000922357 # DEPENDENCYPART_SIBL
(16,2),(16,24),-0.0617629 # DEPENDENCYPART_SIBL
(16,2),(16,25),0.00655925 # DEPENDENCYPART_SIBL
(16,2),(16,26),0.00117737 # DEPENDENCYPART_SIBL
(16,2),(16,27),-0.0230349 # DEPENDENCYPART_SIBL
(16,2),(16,28),0.0345205 # DEPENDENCYPART_SIBL
(16,2),(16,29),0.00398781 # DEPENDENCYPART_SIBL
(16,3),(16,5),0.0359982 # DEPENDENCYPART_SIBL
(16,3),(16,6),0.0104657 # DEPENDENCYPART_SIBL
(16,3),(16,7),0.0359982 # DEPENDENCYPART_SIBL
(16,3),(16,8),0.0359982 # DEPENDENCYPART_SIBL
(16,3),(16,9),-0.0412058 # DEPENDENCYPART_SIBL
(16,3),(16,10),0.0738146 # DEPENDENCYPART_SIBL
(16,3),(16,11),-0.010911 # DEPENDENCYPART_SIBL
(16,3),(16,12),0.00392027 # DEPENDENCYPART_SIBL
(16,3),(16,13),-0.0309506 # DEPENDENCYPART_SIBL
(16,3),(16,14),-0.0631508 # DEPENDENCYPART_SIBL
(16,3),(16,15),0.0615283 # DEPENDENCYPART_SIBL
(16,3),(16,17),-0.0232337 # DEPENDENCYPART_SIBL
(16,3),(16,18),0.0147672 # DEPENDENCYPART_SIBL
(16,3),(16,19),-0.0312134 # DEPENDENCYPART_SIBL
(16,3),(16,20),-0.0141721 # DEPENDENCYPART_SIBL
(16,3),(16,21),-0.0158562 # DEPENDENCYPART_SIBL
(16,3),(16,22),-0.0141721 # DEPENDENCYPART_SIBL
(16,3),(16,23),-0.0133799 # DEPENDENCYPART_SIBL
(16,3),(16,24),-0.0472987 # DEPENDENCYPART_SIBL
(16,3),(16,25),0.0101728 # DEPENDENCYPART_SIBL
(16,3),(16,26),-0.0121174 # DEPENDENCYPART_SIBL
(16,3),(16,27),-0.014176 # DEPENDENCYPART_SIBL
(16,3),(16,28),-0.0166611 # DEPENDENCYPART_SIBL
(16,3),(16,29),-0.00070356 # DEPENDENCYPART_SIBL
(16,5),(16,6),0.00671586 # DEPENDENCYPART_SIBL
(16,5),(16,7),-0.0187524 # DEPENDENCYPART_SIBL
(16,5),(16,8),-0.0187524 # DEPENDENCYPART_SIBL
(16,5),(16,9),0.00827311 # DEPENDENCYPART_SIBL
(16,5),(16,10),0.00928407 # DEPENDENCYPART_SIBL
(16,5),(16,11),0.115765 # DEPENDENCYPART_SIBL
(16,5),(16,12),0.141001 # DEPENDENCYPART_SIBL
(16,5),(16,13),0.120272 # DEPENDENCYPART_SIBL
(16,5),(16,14),0.00317297 # DEPENDENCYPART_SIBL
(16,5),(16,15),-0.00829656 # DEPENDENCYPART_SIBL
(16,5),(16,17),-0.0101662 # DEPENDENCYPART_SIBL
(16,5),(16,18),-0.00585937 # DEPENDENCYPART_SIBL
(16,5),(16,19),-0.0160755 # DEPENDENCYPART_SIBL
(16,5),(16,20),-0.0230298 # DEPENDENCYPART_SIBL
(16,5),(16,21),-0.0292914 # DEPENDENCYPART_SIBL
(16,5),(16,22),-0.0230298 # DEPENDENCYPART_SIBL
(16,5),(16,23),-0.000922357 # DEPENDENCYPART_SIBL
(16,5),(16,24),-0.0617629 # DEPENDENCYPART_SIBL
(16,5),(16,25),0.00655925 # DEPENDENCYPART_SIBL
(16,5),(16,26),0.00117737 # DEPENDENCYPART_SIBL
(16,5),(16,27),-0.0230349 # DEPENDENCYPART_SIBL
(16,5),(16,28),0.0345205 # DEPENDENCYPART_SIBL
(16,5),(16,29),0.00398781 # DEPENDENCYPART_SIBL
(16,6),(16,7),-0.00956845 # DEPENDENCYPART_SIBL
(16,6),(16,8),-0.00956845 # DEPENDENCYPART_SIBL
(16,6),(16,9),-0.022554 # DEPENDENCYPART_SIBL
(16,6),(16,10),0.00392185 # DEPENDENCYPART_SIBL
(16,6),(16,11),0.0553191 # DEPENDENCYPART_SIBL
(16,6),(16,12),0.130731 # DEPENDENCYPART_SIBL
(16,6),(16,13),0.0103257 # DEPENDENCYPART_SIBL
(16,6),(16,14),-0.00885761 # DEPENDENCYPART_SIBL
(16,6),(16,15),-0.00720673 # DEPENDENCYPART_SIBL
(16,6),(16,17),0.0122315 # DEPENDENCYPART_SIBL
(16,6),(16,18),0.0388643 # DEPENDENCYPART_SIBL
(16,6),(16,19),-0.0168339 # DEPENDENCYPART_SIBL
(16,6),(16,20),0.00452566 # DEPENDENCYPART_SIBL
(16,6),(16,21),-0.0374258 # DEPENDENCYPART_SIBL
(16,6),(16,22),0.00452566 # DEPENDENCYPART_SIBL
(16,6),(16,23),-0.0218172 # DEPENDENCYPART_SIBL
(16,6),(16,24),-0.0104623 # DEPENDENCYPART_SIBL
(16,6),(16,25),0.0401634 # DEPENDENCYPART_SIBL
(16,6),(16,26),-0.0206743 # DEPENDENCYPART_SIBL
(16,6),(16,27),0.00452078 # DEPENDENCYPART_SIBL
(16,6),(16,28),0.0165128 # DEPENDENCYPART_SIBL
(16,6),(16,29),0.00509098 # DEPENDENCYPART_SIBL
(16,7),(16,8),-0.0187524 # DEPENDENCYPART_SIBL
(16,7),(16,9),0.00827311 # DEPENDENCYPART_SIBL
(16,7),(16,10),0.00928407 # DEPENDENCYPART_SIBL
(16,7),(16,11),0.115765 # DEPENDENCYPART_SIBL
(16,7),(16,12),0.141001 # DEPENDENCYPART_SIBL
(16,7),(16,13),0.120272 # DEPENDENCYPART_SIBL
(16,7),(16,14),0.00317297 # DEPENDENCYPART_SIBL
(16,7),(16,15),-0.00829656 # DEPENDENCYPART_SIBL
(16,7),(16,17),-0.0101662 # DEPENDENCYPART_SIBL
(16,7),(16,18),-0.00585937 # DEPENDENCYPART_SIBL
(16,7),(16,19),-0.0160755 # DEPENDENCYPART_SIBL
(16,7),(16,20),-0.0230298 # DEPENDENCYPART_SIBL
(16,7),(16,21),-0.0292914 # DEPENDENCYPART_SIBL
(16,7),(16,22),-0.0230298 # DEPENDENCYPART_SIBL
(16,7),(16,23),-0.000922357 # DEPENDENCYPART_SIBL
(16,7),(16,24),-0.0617629 # DEPENDENCYPART_SIBL
(16,7),(16,25),0.00655925 # DEPENDENCYPART_SIBL
(16,7),(16,26),0.00117737 # DEPENDENCYPART_SIBL
(16,7),(16,27),-0.0230349 # DEPENDENCYPART_SIBL
(16,7),(16,28),0.0345205 # DEPENDENCYPART_SIBL
(16,7),(16,29),0.00398781 # DEPENDENCYPART_SIBL
(16,8),(16,9),0.00827311 # DEPENDENCYPART_SIBL
(16,8),(16,10),0.00928407 # DEPENDENCYPART_SIBL
(16,8),(16,11),0.115765 # DEPENDENCYPART_SIBL
(16,8),(16,12),0.141001 # DEPENDENCYPART_SIBL
(16,8),(16,13),0.120272 # DEPENDENCYPART_SIBL
(16,8),(16,14),0.00317297 # DEPENDENCYPART_SIBL
(16,8),(16,15),-0.00829656 # DEPENDENCYPART_SIBL
(16,8),(16,17),-0.0101662 # DEPENDENCYPART_SIBL
(16,8),(16,18),-0.00585937 # DEPENDENCYPART_SIBL
(16,8),(16,19),-0.0160755 # DEPENDENCYPART_SIBL
(16,8),(16,20),-0.0230298 # DEPENDENCYPART_SIBL
(16,8),(16,21),-0.0292914 # DEPENDENCYPART_SIBL
(16,8),(16,22),-0.0230298 # DEPENDENCYPART_SIBL
(16,8),(16,23),-0.000922357 # DEPENDENCYPART_SIBL
(16,8),(16,24),-0.0617629 # DEPENDENCYPART_SIBL
(16,8),(16,25),0.00655925 # DEPENDENCYPART_SIBL
(16,8),(16,26),0.00117737 # DEPENDENCYPART_SIBL
(16,8),(16,27),-0.0230349 # DEPENDENCYPART_SIBL
(16,8),(16,28),0.0345205 # DEPENDENCYPART_SIBL
(16,8),(16,29),0.00398781 # DEPENDENCYPART_SIBL
(16,9),(16,10),-0.0142662 # DEPENDENCYPART_SIBL
(16,9),(16,11),0.0432717 # DEPENDENCYPART_SIBL
(16,9),(16,12),0.0657206 # DEPENDENCYPART_SIBL
(16,9),(16,13),0.0351443 # DEPENDENCYPART_SIBL
(16,9),(16,14),-0.00949029 # DEPENDENCYPART_SIBL
(16,9),(16,15),-0.0250959 # DEPENDENCYPART_SIBL
(16,9),(16,17),-0.0238339 # DEPENDENCYPART_SIBL
(16,9),(16,18),0.0141916 # DEPENDENCYPART_SIBL
(16,9),(16,19),-0.0227659 # DEPENDENCYPART_SIBL
(16,9),(16,20),-0.00920709 # DEPENDENCYPART_SIBL
(16,9),(16,21),-0.0268324 # DEPENDENCYPART_SIBL
(16,9),(16,22),-0.00920709 # DEPENDENCYPART_SIBL
(16,9),(16,23),0.004896 # DEPENDENCYPART_SIBL
(16,9),(16,24),-0.0589186 # DEPENDENCYPART_SIBL
(16,9),(16,25),-0.00885964 # DEPENDENCYPART_SIBL
(16,9),(16,26),0.0063902 # DEPENDENCYPART_SIBL
(16,9),(16,27),-0.00921284 # DEPENDENCYPART_SIBL
(16,9),(16,28),0.0236566 # DEPENDENCYPART_SIBL
(16,9),(16,29),-0.000592764 # DEPENDENCYPART_SIBL
(16,10),(16,11),0.0971425 # DEPENDENCYPART_SIBL
(16,10),(16,12),0.0168746 # DEPENDENCYPART_SIBL
(16,10),(16,13),0.0266228 # DEPENDENCYPART_SIBL
(16,10),(16,14),-0.0398546 # DEPENDENCYPART_SIBL
(16,10),(16,15),-0.0366184 # DEPENDENCYPART_SIBL
(16,10),(16,17),0.0225002 # DEPENDENCYPART_SIBL
(16,10),(16,18),-0.00293887 # DEPENDENCYPART_SIBL
(16,10),(16,19),-0.019796 # DEPENDENCYPART_SIBL
(16,10),(16,20),0.0128547 # DEPENDENCYPART_SIBL
(16,10),(16,21),-0.0153427 # DEPENDENCYPART_SIBL
(16,10),(16,22),0.0128547 # DEPENDENCYPART_SIBL
(16,10),(16,23),0.00728447 # DEPENDENCYPART_SIBL
(16,10),(16,24),-0.0179773 # DEPENDENCYPART_SIBL
(16,10),(16,25),0.040368 # DEPENDENCYPART_SIBL
(16,10),(16,26),0.00846833 # DEPENDENCYPART_SIBL
(16,10),(16,27),0.0128496 # DEPENDENCYPART_SIBL
(16,10),(16,28),0.0404597 # DEPENDENCYPART_SIBL
(16,10),(16,29),0.0357409 # DEPENDENCYPART_SIBL
(16,11),(16,12),0.165859 # DEPENDENCYPART_SIBL
(16,11),(16,13),0.00412709 # DEPENDENCYPART_SIBL
(16,11),(16,14),0.0569143 # DEPENDENCYPART_SIBL
(16,11),(16,15),0.0227824 # DEPENDENCYPART_SIBL
(16,11),(16,17),0.000897793 # DEPENDENCYPART_SIBL
(16,11),(16,18),0.00911991 # DEPENDENCYPART_SIBL
(16,11),(16,19),-0.0428496 # DEPENDENCYPART_SIBL
(16,11),(16,20),-0.0165373 # DEPENDENCYPART_SIBL
(16,11),(16,21),-0.0161347 # DEPENDENCYPART_SIBL
(16,11),(16,22),-0.0165373 # DEPENDENCYPART_SIBL
(16,11),(16,23),0.00388267 # DEPENDENCYPART_SIBL
(16,11),(16,24),0.026337 # DEPENDENCYPART_SIBL
(16,11),(16,25),0.0768254 # DEPENDENCYPART_SIBL
(16,11),(16,26),0.00515863 # DEPENDENCYPART_SIBL
(16,11),(16,27),-0.0165476 # DEPENDENCYPART_SIBL
(16,11),(16,28),0.0722854 # DEPENDENCYPART_SIBL
(16,11),(16,29),0.027952 # DEPENDENCYPART_SIBL
(16,12),(16,13),0.00203271 # DEPENDENCYPART_SIBL
(16,12),(16,14),0.00850845 # DEPENDENCYPART_SIBL
(16,12),(16,15),0.12382 # DEPENDENCYPART_SIBL
(16,12),(16,17),0.00459135 # DEPENDENCYPART_SIBL
(16,12),(16,18),0.0327574 # DEPENDENCYPART_SIBL
(16,12),(16,19),-0.0121191 # DEPENDENCYPART_SIBL
(16,12),(16,20),-0.000753069 # DEPENDENCYPART_SIBL
(16,12),(16,21),0.00456072 # DEPENDENCYPART_SIBL
(16,12),(16,22),-0.000753069 # DEPENDENCYPART_SIBL
(16,12),(16,23),0.0125923 # DEPENDENCYPART_SIBL
(16,12),(16,24),-0.012973 # DEPENDENCYPART_SIBL
(16,12),(16,25),0.0379402 # DEPENDENCYPART_SIBL
(16,12),(16,26),0.0138547 # DEPENDENCYPART_SIBL
(16,12),(16,27),-0.000756963 # DEPENDENCYPART_SIBL
(16,12),(16,28),0.061583 # DEPENDENCYPART_SIBL
(16,12),(16,29),0.0794742 # DEPENDENCYPART_SIBL
(16,13),(16,14),0.00845552 # DEPENDENCYPART_SIBL
(16,13),(16,15),-0.028395 # DEPENDENCYPART_SIBL
(16,13),(16,17),-0.0275909 # DEPENDENCYPART_SIBL
(16,13),(16,18),-0.0110511 # DEPENDENCYPART_SIBL
(16,13),(16,19),-0.0488859 # DEPENDENCYPART_SIBL
(16,13),(16,20),0.0293843 # DEPENDENCYPART_SIBL
(16,13),(16,21),-0.0442123 # DEPENDENCYPART_SIBL
(16,13),(16,22),0.0293843 # DEPENDENCYPART_SIBL
(16,13),(16,23),-0.00862795 # DEPENDENCYPART_SIBL
(16,13),(16,24),-0.0761719 # DEPENDENCYPART_SIBL
(16,13),(16,25),-0.0241716 # DEPENDENCYPART_SIBL
(16,13),(16,26),-0.00713375 # DEPENDENCYPART_SIBL
(16,13),(16,27),0.0293779 # DEPENDENCYPART_SIBL
(16,13),(16,28),-0.0074892 # DEPENDENCYPART_SIBL
(16,13),(16,29),-0.0266518 # DEPENDENCYPART_SIBL
(16,14),(16,15),-0.0336303 # DEPENDENCYPART_SIBL
(16,14),(16,17),0.0117822 # DEPENDENCYPART_SIBL
(16,14),(16,18),0.0156668 # DEPENDENCYPART_SIBL
(16,14),(16,19),-0.0667703 # DEPENDENCYPART_SIBL
(16,14),(16,20),-0.149451 # DEPENDENCYPART_SIBL
(16,14),(16,21),-0.099563 # DEPENDENCYPART_SIBL
(16,14),(16,22),-0.149451 # DEPENDENCYPART_SIBL
(16,14),(16,23),-0.0777876 # DEPENDENCYPART_SIBL
(16,14),(16,24),-0.109164 # DEPENDENCYPART_SIBL
(16,14),(16,25),-0.0482565 # DEPENDENCYPART_SIBL
(16,14),(16,26),-0.0763422 # DEPENDENCYPART_SIBL
(16,14),(16,27),-0.149455 # DEPENDENCYPART_SIBL
(16,14),(16,28),-0.206539 # DEPENDENCYPART_SIBL
