# _root_ A marseille-i és a párizsi , a Gare_de_l'Esten működő toborzóirodákban manapság sokszor többen jelentkeznek egy-egy nap , mint ahányat egyáltalán felvehetnek .
#goldHeads=2,10,10,5,10,10,8,9,10,14,14,14,14,0,16,14,14,14,21,21,14,14,
#predictedHeads=2,10,14,10,10,10,8,9,10,14,14,13,14,0,0,14,14,14,21,21,14,14,
(5,2),(5,13),-0.00661515 # DEPENDENCYPART_SIBL
(5,2),(5,14),-0.0155444 # DEPENDENCYPART_SIBL
(5,2),(5,21),-0.0155444 # DEPENDENCYPART_SIBL
(5,2),(5,22),-0.00976971 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.115694 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.0132217 # DEPENDENCYPART_SIBL
(5,3),(5,8),0.0181571 # DEPENDENCYPART_SIBL
(5,3),(5,10),0.0181571 # DEPENDENCYPART_SIBL
(5,3),(5,12),0.00026607 # DEPENDENCYPART_SIBL
(5,3),(5,13),0.00166083 # DEPENDENCYPART_SIBL
(5,3),(5,14),-0.0289196 # DEPENDENCYPART_SIBL
(5,3),(5,21),-0.0289196 # DEPENDENCYPART_SIBL
(5,3),(5,22),0.00386746 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.000880212 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.0225869 # DEPENDENCYPART_SIBL
(5,4),(5,10),0.0225869 # DEPENDENCYPART_SIBL
(5,4),(5,12),-0.015516 # DEPENDENCYPART_SIBL
(5,4),(5,13),-0.015515 # DEPENDENCYPART_SIBL
(5,4),(5,14),-0.00548556 # DEPENDENCYPART_SIBL
(5,4),(5,21),-0.00548556 # DEPENDENCYPART_SIBL
(5,4),(5,22),-0.0375479 # DEPENDENCYPART_SIBL
(5,6),(5,8),0.162399 # DEPENDENCYPART_SIBL
(5,6),(5,10),0.162399 # DEPENDENCYPART_SIBL
(5,6),(5,12),0.136648 # DEPENDENCYPART_SIBL
(5,6),(5,13),0.135832 # DEPENDENCYPART_SIBL
(5,6),(5,14),0.377582 # DEPENDENCYPART_SIBL
(5,6),(5,21),0.377582 # DEPENDENCYPART_SIBL
(5,6),(5,22),0.0898977 # DEPENDENCYPART_SIBL
(5,8),(5,10),-0.000574103 # DEPENDENCYPART_SIBL
(5,8),(5,12),0.0272283 # DEPENDENCYPART_SIBL
(5,8),(5,13),0.0283577 # DEPENDENCYPART_SIBL
(5,8),(5,14),0.0437356 # DEPENDENCYPART_SIBL
(5,8),(5,21),0.0437356 # DEPENDENCYPART_SIBL
(5,8),(5,22),0.0136211 # DEPENDENCYPART_SIBL
(5,10),(5,12),0.0272283 # DEPENDENCYPART_SIBL
(5,10),(5,13),0.0283577 # DEPENDENCYPART_SIBL
(5,10),(5,14),0.0437356 # DEPENDENCYPART_SIBL
(5,10),(5,21),0.0437356 # DEPENDENCYPART_SIBL
(5,10),(5,22),0.0136211 # DEPENDENCYPART_SIBL
(5,12),(5,13),0.046307 # DEPENDENCYPART_SIBL
(5,12),(5,14),0.0569553 # DEPENDENCYPART_SIBL
(5,12),(5,21),0.0569553 # DEPENDENCYPART_SIBL
(5,12),(5,22),0.0454868 # DEPENDENCYPART_SIBL
(5,13),(5,14),0.0569171 # DEPENDENCYPART_SIBL
(5,13),(5,21),0.0569171 # DEPENDENCYPART_SIBL
(5,13),(5,22),0.041389 # DEPENDENCYPART_SIBL
(5,14),(5,21),0.0137052 # DEPENDENCYPART_SIBL
(5,14),(5,22),0.0759838 # DEPENDENCYPART_SIBL
(5,21),(5,22),0.0759838 # DEPENDENCYPART_SIBL
(8,1),(8,4),-0.662013 # DEPENDENCYPART_SIBL
(8,1),(8,7),-0.662013 # DEPENDENCYPART_SIBL
(8,1),(8,18),-0.0167399 # DEPENDENCYPART_SIBL
(8,4),(8,7),-0.662013 # DEPENDENCYPART_SIBL
(8,4),(8,18),-0.0167399 # DEPENDENCYPART_SIBL
(8,7),(8,18),-0.0167399 # DEPENDENCYPART_SIBL
(9,2),(9,3),0.384347 # DEPENDENCYPART_SIBL
(9,2),(9,4),-0.223813 # DEPENDENCYPART_SIBL
(9,2),(9,5),0.0490248 # DEPENDENCYPART_SIBL
(9,2),(9,6),0.261781 # DEPENDENCYPART_SIBL
(9,2),(9,7),-0.223813 # DEPENDENCYPART_SIBL
(9,2),(9,8),0.0166432 # DEPENDENCYPART_SIBL
(9,2),(9,11),-0.0163878 # DEPENDENCYPART_SIBL
(9,2),(9,12),-0.00674481 # DEPENDENCYPART_SIBL
(9,2),(9,13),-0.0066373 # DEPENDENCYPART_SIBL
(9,2),(9,18),0.00317383 # DEPENDENCYPART_SIBL
(9,3),(9,4),-0.113851 # DEPENDENCYPART_SIBL
(9,3),(9,5),0.0376733 # DEPENDENCYPART_SIBL
(9,3),(9,6),-0.0148257 # DEPENDENCYPART_SIBL
(9,3),(9,7),-0.113851 # DEPENDENCYPART_SIBL
(9,3),(9,8),0.103753 # DEPENDENCYPART_SIBL
(9,3),(9,11),-0.00456784 # DEPENDENCYPART_SIBL
(9,3),(9,12),0.000264438 # DEPENDENCYPART_SIBL
(9,3),(9,13),0.0016592 # DEPENDENCYPART_SIBL
(9,3),(9,18),-0.019094 # DEPENDENCYPART_SIBL
(9,4),(9,5),0.0643952 # DEPENDENCYPART_SIBL
(9,4),(9,6),0.0377184 # DEPENDENCYPART_SIBL
(9,4),(9,7),-0.230511 # DEPENDENCYPART_SIBL
(9,4),(9,8),0.0646173 # DEPENDENCYPART_SIBL
(9,4),(9,11),-0.0131279 # DEPENDENCYPART_SIBL
(9,4),(9,12),-0.0155161 # DEPENDENCYPART_SIBL
(9,4),(9,13),-0.0155152 # DEPENDENCYPART_SIBL
(9,4),(9,18),0.00828681 # DEPENDENCYPART_SIBL
(9,5),(9,6),0.258356 # DEPENDENCYPART_SIBL
(9,5),(9,7),-0.223894 # DEPENDENCYPART_SIBL
(9,5),(9,8),0.0145962 # DEPENDENCYPART_SIBL
(9,5),(9,11),-0.0163881 # DEPENDENCYPART_SIBL
(9,5),(9,12),-0.00706737 # DEPENDENCYPART_SIBL
(9,5),(9,13),-0.00695987 # DEPENDENCYPART_SIBL
(9,5),(9,18),0.00315694 # DEPENDENCYPART_SIBL
(9,6),(9,7),-0.132381 # DEPENDENCYPART_SIBL
(9,6),(9,8),0.0447596 # DEPENDENCYPART_SIBL
(9,6),(9,11),-0.0374026 # DEPENDENCYPART_SIBL
(9,6),(9,12),-0.00170527 # DEPENDENCYPART_SIBL
(9,6),(9,13),-0.0041783 # DEPENDENCYPART_SIBL
(9,6),(9,18),-0.00121162 # DEPENDENCYPART_SIBL
(9,7),(9,8),0.0646173 # DEPENDENCYPART_SIBL
(9,7),(9,11),-0.0131279 # DEPENDENCYPART_SIBL
(9,7),(9,12),-0.0155161 # DEPENDENCYPART_SIBL
(9,7),(9,13),-0.0155152 # DEPENDENCYPART_SIBL
(9,7),(9,18),0.00828681 # DEPENDENCYPART_SIBL
(9,8),(9,11),0.0312667 # DEPENDENCYPART_SIBL
(9,8),(9,12),0.021021 # DEPENDENCYPART_SIBL
(9,8),(9,13),0.0163681 # DEPENDENCYPART_SIBL
(9,8),(9,18),0.0111791 # DEPENDENCYPART_SIBL
(9,11),(9,12),0.0353225 # DEPENDENCYPART_SIBL
(9,11),(9,13),0.0342657 # DEPENDENCYPART_SIBL
(9,11),(9,18),-0.019365 # DEPENDENCYPART_SIBL
(9,12),(9,13),0.046307 # DEPENDENCYPART_SIBL
(9,12),(9,18),0.00268273 # DEPENDENCYPART_SIBL
(9,13),(9,18),-0.00094351 # DEPENDENCYPART_SIBL
(10,1),(10,2),0.155843 # DEPENDENCYPART_SIBL
(10,1),(10,3),0.138025 # DEPENDENCYPART_SIBL
(10,1),(10,4),-0.662013 # DEPENDENCYPART_SIBL
(10,1),(10,5),0.185233 # DEPENDENCYPART_SIBL
(10,1),(10,6),0.190771 # DEPENDENCYPART_SIBL
(10,1),(10,7),-0.662013 # DEPENDENCYPART_SIBL
(10,1),(10,8),0.0129962 # DEPENDENCYPART_SIBL
(10,1),(10,9),0.153668 # DEPENDENCYPART_SIBL
(10,1),(10,11),-0.0771741 # DEPENDENCYPART_SIBL
(10,1),(10,12),-0.0176303 # DEPENDENCYPART_SIBL
(10,1),(10,13),-0.0176286 # DEPENDENCYPART_SIBL
(10,1),(10,16),-0.0771774 # DEPENDENCYPART_SIBL
(10,1),(10,17),-0.00907785 # DEPENDENCYPART_SIBL
(10,2),(10,3),0.577907 # DEPENDENCYPART_SIBL
(10,2),(10,4),-0.662675 # DEPENDENCYPART_SIBL
(10,2),(10,5),0.0182898 # DEPENDENCYPART_SIBL
(10,2),(10,6),0.440921 # DEPENDENCYPART_SIBL
(10,2),(10,7),-0.662675 # DEPENDENCYPART_SIBL
(10,2),(10,8),-0.00307406 # DEPENDENCYPART_SIBL
(10,2),(10,9),-0.00512436 # DEPENDENCYPART_SIBL
(10,2),(10,11),-0.0391793 # DEPENDENCYPART_SIBL
(10,2),(10,12),0.0065439 # DEPENDENCYPART_SIBL
(10,2),(10,13),0.00665211 # DEPENDENCYPART_SIBL
(10,2),(10,16),-0.0390329 # DEPENDENCYPART_SIBL
(10,2),(10,17),-0.0329118 # DEPENDENCYPART_SIBL
(10,3),(10,4),-0.38659 # DEPENDENCYPART_SIBL
(10,3),(10,5),0.00955846 # DEPENDENCYPART_SIBL
(10,3),(10,6),-0.0394076 # DEPENDENCYPART_SIBL
(10,3),(10,7),-0.38659 # DEPENDENCYPART_SIBL
(10,3),(10,8),0.102991 # DEPENDENCYPART_SIBL
(10,3),(10,9),0.00999009 # DEPENDENCYPART_SIBL
(10,3),(10,11),-0.0270756 # DEPENDENCYPART_SIBL
(10,3),(10,12),0.0220697 # DEPENDENCYPART_SIBL
(10,3),(10,13),0.0234652 # DEPENDENCYPART_SIBL
(10,3),(10,16),-0.0278766 # DEPENDENCYPART_SIBL
(10,3),(10,17),-0.0168208 # DEPENDENCYPART_SIBL
(10,4),(10,5),0.185233 # DEPENDENCYPART_SIBL
(10,4),(10,6),0.190771 # DEPENDENCYPART_SIBL
(10,4),(10,7),-0.662013 # DEPENDENCYPART_SIBL
(10,4),(10,8),0.0129962 # DEPENDENCYPART_SIBL
(10,4),(10,9),0.153668 # DEPENDENCYPART_SIBL
(10,4),(10,11),-0.0771741 # DEPENDENCYPART_SIBL
(10,4),(10,12),-0.0176303 # DEPENDENCYPART_SIBL
(10,4),(10,13),-0.0176286 # DEPENDENCYPART_SIBL
(10,4),(10,16),-0.0771774 # DEPENDENCYPART_SIBL
(10,4),(10,17),-0.00907785 # DEPENDENCYPART_SIBL
(10,5),(10,6),0.429799 # DEPENDENCYPART_SIBL
(10,5),(10,7),-0.667112 # DEPENDENCYPART_SIBL
(10,5),(10,8),-0.0106593 # DEPENDENCYPART_SIBL
(10,5),(10,9),-0.0103089 # DEPENDENCYPART_SIBL
(10,5),(10,11),-0.0401041 # DEPENDENCYPART_SIBL
(10,5),(10,12),0.00497455 # DEPENDENCYPART_SIBL
(10,5),(10,13),0.00508277 # DEPENDENCYPART_SIBL
(10,5),(10,16),-0.0399577 # DEPENDENCYPART_SIBL
(10,5),(10,17),-0.0344719 # DEPENDENCYPART_SIBL
(10,6),(10,7),-0.408123 # DEPENDENCYPART_SIBL
(10,6),(10,8),0.0569251 # DEPENDENCYPART_SIBL
(10,6),(10,9),0.0463501 # DEPENDENCYPART_SIBL
(10,6),(10,11),-0.0717299 # DEPENDENCYPART_SIBL
(10,6),(10,12),0.0277182 # DEPENDENCYPART_SIBL
(10,6),(10,13),0.025245 # DEPENDENCYPART_SIBL
(10,6),(10,16),-0.0652035 # DEPENDENCYPART_SIBL
(10,6),(10,17),-0.0346477 # DEPENDENCYPART_SIBL
(10,7),(10,8),0.0129962 # DEPENDENCYPART_SIBL
(10,7),(10,9),0.153668 # DEPENDENCYPART_SIBL
(10,7),(10,11),-0.0771741 # DEPENDENCYPART_SIBL
(10,7),(10,12),-0.0176303 # DEPENDENCYPART_SIBL
(10,7),(10,13),-0.0176286 # DEPENDENCYPART_SIBL
(10,7),(10,16),-0.0771774 # DEPENDENCYPART_SIBL
(10,7),(10,17),-0.00907785 # DEPENDENCYPART_SIBL
(10,8),(10,9),0.0535341 # DEPENDENCYPART_SIBL
(10,8),(10,11),-0.0185047 # DEPENDENCYPART_SIBL
(10,8),(10,12),0.0605103 # DEPENDENCYPART_SIBL
(10,8),(10,13),0.055858 # DEPENDENCYPART_SIBL
(10,8),(10,16),-0.0164065 # DEPENDENCYPART_SIBL
(10,8),(10,17),-0.00283849 # DEPENDENCYPART_SIBL
(10,9),(10,11),-0.0432853 # DEPENDENCYPART_SIBL
(10,9),(10,12),0.00246195 # DEPENDENCYPART_SIBL
(10,9),(10,13),0.00257017 # DEPENDENCYPART_SIBL
(10,9),(10,16),-0.0431389 # DEPENDENCYPART_SIBL
(10,9),(10,17),-0.0458867 # DEPENDENCYPART_SIBL
(10,11),(10,12),0.0194413 # DEPENDENCYPART_SIBL
(10,11),(10,13),0.0183589 # DEPENDENCYPART_SIBL
(10,11),(10,16),0.00399213 # DEPENDENCYPART_SIBL
(10,11),(10,17),0.0515664 # DEPENDENCYPART_SIBL
(10,12),(10,13),0.0350673 # DEPENDENCYPART_SIBL
(10,12),(10,16),0.0154311 # DEPENDENCYPART_SIBL
(10,12),(10,17),0.0570564 # DEPENDENCYPART_SIBL
(10,13),(10,16),0.0154296 # DEPENDENCYPART_SIBL
(10,13),(10,17),0.0537634 # DEPENDENCYPART_SIBL
(10,16),(10,17),0.0542963 # DEPENDENCYPART_SIBL
(11,2),(11,3),0.244407 # DEPENDENCYPART_SIBL
(11,2),(11,5),0.081101 # DEPENDENCYPART_SIBL
(11,2),(11,6),0.231299 # DEPENDENCYPART_SIBL
(11,2),(11,8),0.0734424 # DEPENDENCYPART_SIBL
(11,2),(11,9),0.0723986 # DEPENDENCYPART_SIBL
(11,2),(11,10),0.0734424 # DEPENDENCYPART_SIBL
(11,2),(11,12),0.0320369 # DEPENDENCYPART_SIBL
(11,2),(11,13),0.0319568 # DEPENDENCYPART_SIBL
(11,2),(11,14),0.0150079 # DEPENDENCYPART_SIBL
(11,2),(11,16),0.0271316 # DEPENDENCYPART_SIBL
(11,2),(11,17),0.00999739 # DEPENDENCYPART_SIBL
(11,2),(11,18),0.0106322 # DEPENDENCYPART_SIBL
(11,2),(11,20),0.026843 # DEPENDENCYPART_SIBL
(11,2),(11,21),0.0150079 # DEPENDENCYPART_SIBL
(11,2),(11,22),0.0660655 # DEPENDENCYPART_SIBL
(11,3),(11,5),0.141496 # DEPENDENCYPART_SIBL
(11,3),(11,6),0.15657 # DEPENDENCYPART_SIBL
(11,3),(11,8),0.168197 # DEPENDENCYPART_SIBL
(11,3),(11,9),0.145408 # DEPENDENCYPART_SIBL
(11,3),(11,10),0.168197 # DEPENDENCYPART_SIBL
(11,3),(11,12),0.00390584 # DEPENDENCYPART_SIBL
(11,3),(11,13),0.00505768 # DEPENDENCYPART_SIBL
(11,3),(11,14),-0.0384135 # DEPENDENCYPART_SIBL
(11,3),(11,16),0.00400202 # DEPENDENCYPART_SIBL
(11,3),(11,17),-0.0224504 # DEPENDENCYPART_SIBL
(11,3),(11,18),-0.03253 # DEPENDENCYPART_SIBL
(11,3),(11,20),0.00465795 # DEPENDENCYPART_SIBL
(11,3),(11,21),-0.0384135 # DEPENDENCYPART_SIBL
(11,3),(11,22),0.0316013 # DEPENDENCYPART_SIBL
(11,5),(11,6),0.227956 # DEPENDENCYPART_SIBL
(11,5),(11,8),0.0715527 # DEPENDENCYPART_SIBL
(11,5),(11,9),0.0720249 # DEPENDENCYPART_SIBL
(11,5),(11,10),0.0715527 # DEPENDENCYPART_SIBL
(11,5),(11,12),0.0317145 # DEPENDENCYPART_SIBL
(11,5),(11,13),0.0316344 # DEPENDENCYPART_SIBL
(11,5),(11,14),0.0148817 # DEPENDENCYPART_SIBL
(11,5),(11,16),0.0271314 # DEPENDENCYPART_SIBL
(11,5),(11,17),0.00967869 # DEPENDENCYPART_SIBL
(11,5),(11,18),0.0106154 # DEPENDENCYPART_SIBL
(11,5),(11,20),0.0268428 # DEPENDENCYPART_SIBL
(11,5),(11,21),0.0148817 # DEPENDENCYPART_SIBL
(11,5),(11,22),0.0660616 # DEPENDENCYPART_SIBL
(11,6),(11,8),0.0281827 # DEPENDENCYPART_SIBL
(11,6),(11,9),0.0400473 # DEPENDENCYPART_SIBL
(11,6),(11,10),0.0281827 # DEPENDENCYPART_SIBL
(11,6),(11,12),0.0138666 # DEPENDENCYPART_SIBL
(11,6),(11,13),0.0112045 # DEPENDENCYPART_SIBL
(11,6),(11,14),0.00784994 # DEPENDENCYPART_SIBL
(11,6),(11,16),-0.0108077 # DEPENDENCYPART_SIBL
(11,6),(11,17),-0.0637354 # DEPENDENCYPART_SIBL
(11,6),(11,18),-0.0165098 # DEPENDENCYPART_SIBL
(11,6),(11,20),-0.00820359 # DEPENDENCYPART_SIBL
(11,6),(11,21),0.00784994 # DEPENDENCYPART_SIBL
(11,6),(11,22),0.0300778 # DEPENDENCYPART_SIBL
(11,8),(11,9),0.0664224 # DEPENDENCYPART_SIBL
(11,8),(11,10),0.072463 # DEPENDENCYPART_SIBL
(11,8),(11,12),0.0415043 # DEPENDENCYPART_SIBL
(11,8),(11,13),0.0366059 # DEPENDENCYPART_SIBL
(11,8),(11,14),0.0125813 # DEPENDENCYPART_SIBL
(11,8),(11,16),0.0425113 # DEPENDENCYPART_SIBL
(11,8),(11,17),0.00515743 # DEPENDENCYPART_SIBL
(11,8),(11,18),-0.00584376 # DEPENDENCYPART_SIBL
(11,8),(11,20),0.0448657 # DEPENDENCYPART_SIBL
(11,8),(11,21),0.0125813 # DEPENDENCYPART_SIBL
(11,8),(11,22),0.0259384 # DEPENDENCYPART_SIBL
(11,9),(11,10),0.0732886 # DEPENDENCYPART_SIBL
(11,9),(11,12),0.032029 # DEPENDENCYPART_SIBL
(11,9),(11,13),0.0319489 # DEPENDENCYPART_SIBL
(11,9),(11,14),0.0149955 # DEPENDENCYPART_SIBL
(11,9),(11,16),0.0271006 # DEPENDENCYPART_SIBL
(11,9),(11,17),0.00522095 # DEPENDENCYPART_SIBL
(11,9),(11,18),0.0106157 # DEPENDENCYPART_SIBL
(11,9),(11,20),0.026812 # DEPENDENCYPART_SIBL
(11,9),(11,21),0.0149955 # DEPENDENCYPART_SIBL
(11,9),(11,22),0.0660463 # DEPENDENCYPART_SIBL
(11,10),(11,12),0.0415043 # DEPENDENCYPART_SIBL
(11,10),(11,13),0.0366059 # DEPENDENCYPART_SIBL
(11,10),(11,14),0.0125813 # DEPENDENCYPART_SIBL
(11,10),(11,16),0.0425113 # DEPENDENCYPART_SIBL
(11,10),(11,17),0.00515743 # DEPENDENCYPART_SIBL
(11,10),(11,18),-0.00584376 # DEPENDENCYPART_SIBL
(11,10),(11,20),0.0448657 # DEPENDENCYPART_SIBL
(11,10),(11,21),0.0125813 # DEPENDENCYPART_SIBL
(11,10),(11,22),0.0259384 # DEPENDENCYPART_SIBL
(11,12),(11,13),0.0584111 # DEPENDENCYPART_SIBL
(11,12),(11,14),0.0369283 # DEPENDENCYPART_SIBL
(11,12),(11,16),0.065784 # DEPENDENCYPART_SIBL
(11,12),(11,17),0.0560944 # DEPENDENCYPART_SIBL
(11,12),(11,18),0.030101 # DEPENDENCYPART_SIBL
(11,12),(11,20),0.0656597 # DEPENDENCYPART_SIBL
(11,12),(11,21),0.0369283 # DEPENDENCYPART_SIBL
(11,12),(11,22),0.0958818 # DEPENDENCYPART_SIBL
(11,13),(11,14),0.0367388 # DEPENDENCYPART_SIBL
(11,13),(11,16),0.0657053 # DEPENDENCYPART_SIBL
(11,13),(11,17),0.0527213 # DEPENDENCYPART_SIBL
(11,13),(11,18),0.0263886 # DEPENDENCYPART_SIBL
(11,13),(11,20),0.0655811 # DEPENDENCYPART_SIBL
(11,13),(11,21),0.0367388 # DEPENDENCYPART_SIBL
(11,13),(11,22),0.0916767 # DEPENDENCYPART_SIBL
(11,14),(11,16),0.0742899 # DEPENDENCYPART_SIBL
(11,14),(11,17),0.0933888 # DEPENDENCYPART_SIBL
(11,14),(11,18),0.015912 # DEPENDENCYPART_SIBL
(11,14),(11,20),0.0743269 # DEPENDENCYPART_SIBL
(11,14),(11,21),0.00326973 # DEPENDENCYPART_SIBL
(11,14),(11,22),0.0545543 # DEPENDENCYPART_SIBL
(11,16),(11,17),0.0436243 # DEPENDENCYPART_SIBL
(11,16),(11,18),0.010488 # DEPENDENCYPART_SIBL
(11,16),(11,20),0.0548587 # DEPENDENCYPART_SIBL
(11,16),(11,21),0.0218742 # DEPENDENCYPART_SIBL
(11,16),(11,22),0.0472974 # DEPENDENCYPART_SIBL
(11,17),(11,18),0.158624 # DEPENDENCYPART_SIBL
(11,17),(11,20),0.161853 # DEPENDENCYPART_SIBL
(11,17),(11,21),0.230445 # DEPENDENCYPART_SIBL
(11,17),(11,22),0.0536824 # DEPENDENCYPART_SIBL
(11,18),(11,20),0.0627239 # DEPENDENCYPART_SIBL
(11,18),(11,21),-0.000198919 # DEPENDENCYPART_SIBL
(11,18),(11,22),-0.000212494 # DEPENDENCYPART_SIBL
(11,20),(11,21),0.0226928 # DEPENDENCYPART_SIBL
(11,20),(11,22),0.0468521 # DEPENDENCYPART_SIBL
(11,21),(11,22),0.0545543 # DEPENDENCYPART_SIBL
(12,6),(12,8),0.102127 # DEPENDENCYPART_SIBL
(12,6),(12,10),0.102127 # DEPENDENCYPART_SIBL
(12,6),(12,11),0.131161 # DEPENDENCYPART_SIBL
(12,6),(12,13),-0.0131478 # DEPENDENCYPART_SIBL
(12,6),(12,14),0.0143126 # DEPENDENCYPART_SIBL
(12,6),(12,17),-0.0027104 # DEPENDENCYPART_SIBL
(12,6),(12,21),0.0143126 # DEPENDENCYPART_SIBL
(12,6),(12,22),0.015403 # DEPENDENCYPART_SIBL
(12,8),(12,10),0.0695491 # DEPENDENCYPART_SIBL
(12,8),(12,11),0.170412 # DEPENDENCYPART_SIBL
(12,8),(12,13),0.0247112 # DEPENDENCYPART_SIBL
(12,8),(12,14),0.0677883 # DEPENDENCYPART_SIBL
(12,8),(12,17),0.0862859 # DEPENDENCYPART_SIBL
(12,8),(12,21),0.0677883 # DEPENDENCYPART_SIBL
(12,8),(12,22),0.0353036 # DEPENDENCYPART_SIBL
(12,10),(12,11),0.170412 # DEPENDENCYPART_SIBL
(12,10),(12,13),0.0247112 # DEPENDENCYPART_SIBL
(12,10),(12,14),0.0677883 # DEPENDENCYPART_SIBL
(12,10),(12,17),0.0862859 # DEPENDENCYPART_SIBL
(12,10),(12,21),0.0677883 # DEPENDENCYPART_SIBL
(12,10),(12,22),0.0353036 # DEPENDENCYPART_SIBL
(12,11),(12,13),-0.0120589 # DEPENDENCYPART_SIBL
(12,11),(12,14),0.0440584 # DEPENDENCYPART_SIBL
(12,11),(12,17),0.0582701 # DEPENDENCYPART_SIBL
(12,11),(12,21),0.0440584 # DEPENDENCYPART_SIBL
(12,11),(12,22),0.0720863 # DEPENDENCYPART_SIBL
(12,13),(12,14),0.0628917 # DEPENDENCYPART_SIBL
(12,13),(12,17),0.0404136 # DEPENDENCYPART_SIBL
(12,13),(12,21),0.0628917 # DEPENDENCYPART_SIBL
(12,13),(12,22),0.00885642 # DEPENDENCYPART_SIBL
(12,14),(12,17),0.0734268 # DEPENDENCYPART_SIBL
(12,14),(12,21),0.0280082 # DEPENDENCYPART_SIBL
(12,14),(12,22),0.110845 # DEPENDENCYPART_SIBL
(12,17),(12,21),0.354422 # DEPENDENCYPART_SIBL
(12,17),(12,22),0.0587087 # DEPENDENCYPART_SIBL
(12,21),(12,22),0.110845 # DEPENDENCYPART_SIBL
(13,6),(13,8),0.0991594 # DEPENDENCYPART_SIBL
(13,6),(13,10),0.0991594 # DEPENDENCYPART_SIBL
(13,6),(13,11),0.126503 # DEPENDENCYPART_SIBL
(13,6),(13,12),0.146546 # DEPENDENCYPART_SIBL
(13,6),(13,14),0.0104996 # DEPENDENCYPART_SIBL
(13,6),(13,17),-0.0107365 # DEPENDENCYPART_SIBL
(13,6),(13,21),0.0104996 # DEPENDENCYPART_SIBL
(13,6),(13,22),0.00739863 # DEPENDENCYPART_SIBL
(13,8),(13,10),0.0697596 # DEPENDENCYPART_SIBL
(13,8),(13,11),0.169614 # DEPENDENCYPART_SIBL
(13,8),(13,12),0.0726375 # DEPENDENCYPART_SIBL
(13,8),(13,14),0.0664766 # DEPENDENCYPART_SIBL
(13,8),(13,17),0.0825254 # DEPENDENCYPART_SIBL
(13,8),(13,21),0.0664766 # DEPENDENCYPART_SIBL
(13,8),(13,22),0.0316059 # DEPENDENCYPART_SIBL
(13,10),(13,11),0.169614 # DEPENDENCYPART_SIBL
(13,10),(13,12),0.0726375 # DEPENDENCYPART_SIBL
(13,10),(13,14),0.0664766 # DEPENDENCYPART_SIBL
(13,10),(13,17),0.0825254 # DEPENDENCYPART_SIBL
(13,10),(13,21),0.0664766 # DEPENDENCYPART_SIBL
(13,10),(13,22),0.0316059 # DEPENDENCYPART_SIBL
(13,11),(13,12),0.167577 # DEPENDENCYPART_SIBL
(13,11),(13,14),0.0397282 # DEPENDENCYPART_SIBL
(13,11),(13,17),0.052907 # DEPENDENCYPART_SIBL
(13,11),(13,21),0.0397282 # DEPENDENCYPART_SIBL
(13,11),(13,22),0.0667775 # DEPENDENCYPART_SIBL
(13,12),(13,14),0.0292416 # DEPENDENCYPART_SIBL
(13,12),(13,17),0.0240264 # DEPENDENCYPART_SIBL
(13,12),(13,21),0.0292416 # DEPENDENCYPART_SIBL
(13,12),(13,22),0.017423 # DEPENDENCYPART_SIBL
(13,14),(13,17),0.0733433 # DEPENDENCYPART_SIBL
(13,14),(13,21),0.0278955 # DEPENDENCYPART_SIBL
(13,14),(13,22),0.109536 # DEPENDENCYPART_SIBL
(13,17),(13,21),0.353113 # DEPENDENCYPART_SIBL
(13,17),(13,22),0.0544394 # DEPENDENCYPART_SIBL
(13,21),(13,22),0.109536 # DEPENDENCYPART_SIBL
(14,1),(14,2),-0.0164009 # DEPENDENCYPART_SIBL
(14,1),(14,3),0.038413 # DEPENDENCYPART_SIBL
(14,1),(14,4),-0.125584 # DEPENDENCYPART_SIBL
(14,1),(14,5),-0.00636588 # DEPENDENCYPART_SIBL
(14,1),(14,6),0.0102192 # DEPENDENCYPART_SIBL
(14,1),(14,7),-0.125584 # DEPENDENCYPART_SIBL
(14,1),(14,8),0.0174639 # DEPENDENCYPART_SIBL
(14,1),(14,9),-0.0185872 # DEPENDENCYPART_SIBL
(14,1),(14,10),0.0174639 # DEPENDENCYPART_SIBL
(14,1),(14,11),-0.044569 # DEPENDENCYPART_SIBL
(14,1),(14,12),-0.0350123 # DEPENDENCYPART_SIBL
(14,1),(14,13),-0.0282584 # DEPENDENCYPART_SIBL
(14,1),(14,16),-0.0104983 # DEPENDENCYPART_SIBL
(14,1),(14,17),-0.0377119 # DEPENDENCYPART_SIBL
(14,1),(14,18),-0.0130341 # DEPENDENCYPART_SIBL
(14,1),(14,19),-0.0218032 # DEPENDENCYPART_SIBL
(14,1),(14,20),-0.00496774 # DEPENDENCYPART_SIBL
(14,1),(14,21),-0.0134258 # DEPENDENCYPART_SIBL
(14,1),(14,22),-0.0634118 # DEPENDENCYPART_SIBL
(14,2),(14,3),0.154784 # DEPENDENCYPART_SIBL
(14,2),(14,4),-0.20149 # DEPENDENCYPART_SIBL
(14,2),(14,5),-0.0194379 # DEPENDENCYPART_SIBL
(14,2),(14,6),0.048812 # DEPENDENCYPART_SIBL
(14,2),(14,7),-0.20149 # DEPENDENCYPART_SIBL
