# _root_ Ám 1996-ban született egy újabb rendelet , amely alapján a díj magasabb lett , mint amennyit a szegedi orvosegyetem előzőleg kifizetett .
#goldHeads=3,3,0,6,6,3,3,9,13,11,13,13,3,13,13,21,19,19,21,21,13,3,
#predictedHeads=3,3,0,6,6,3,3,13,13,11,13,13,3,13,13,21,19,19,21,21,13,3,
(3,9),(3,10),0.0558571 # DEPENDENCYPART_SIBL
(3,9),(3,11),-0.0382645 # DEPENDENCYPART_SIBL
(3,9),(3,12),-0.00164932 # DEPENDENCYPART_SIBL
(3,9),(3,13),-0.000515036 # DEPENDENCYPART_SIBL
(3,9),(3,14),0.0125112 # DEPENDENCYPART_SIBL
(3,9),(3,15),0.01098 # DEPENDENCYPART_SIBL
(3,9),(3,16),0.0274902 # DEPENDENCYPART_SIBL
(3,9),(3,18),0.00433634 # DEPENDENCYPART_SIBL
(3,9),(3,19),-0.0364297 # DEPENDENCYPART_SIBL
(3,9),(3,20),-0.0263343 # DEPENDENCYPART_SIBL
(3,9),(3,21),-0.0290279 # DEPENDENCYPART_SIBL
(3,9),(3,22),-0.0232288 # DEPENDENCYPART_SIBL
(3,10),(3,11),0.00862347 # DEPENDENCYPART_SIBL
(3,10),(3,12),-0.0197399 # DEPENDENCYPART_SIBL
(3,10),(3,13),-0.00636053 # DEPENDENCYPART_SIBL
(3,10),(3,14),-0.0144618 # DEPENDENCYPART_SIBL
(3,10),(3,15),0.0434456 # DEPENDENCYPART_SIBL
(3,10),(3,16),-0.00550355 # DEPENDENCYPART_SIBL
(3,10),(3,18),-0.0158505 # DEPENDENCYPART_SIBL
(3,10),(3,19),0.00956818 # DEPENDENCYPART_SIBL
(3,10),(3,20),-0.0248998 # DEPENDENCYPART_SIBL
(3,10),(3,21),-0.0316156 # DEPENDENCYPART_SIBL
(3,10),(3,22),-0.0258197 # DEPENDENCYPART_SIBL
(3,11),(3,12),0.00694678 # DEPENDENCYPART_SIBL
(3,11),(3,13),0.00692959 # DEPENDENCYPART_SIBL
(3,11),(3,14),0.026841 # DEPENDENCYPART_SIBL
(3,11),(3,15),0.0179756 # DEPENDENCYPART_SIBL
(3,11),(3,16),0.0332249 # DEPENDENCYPART_SIBL
(3,11),(3,18),0.0129324 # DEPENDENCYPART_SIBL
(3,11),(3,19),-0.0284547 # DEPENDENCYPART_SIBL
(3,11),(3,20),-0.0199814 # DEPENDENCYPART_SIBL
(3,11),(3,21),-0.0215832 # DEPENDENCYPART_SIBL
(3,11),(3,22),-0.00587668 # DEPENDENCYPART_SIBL
(3,12),(3,13),-0.00695051 # DEPENDENCYPART_SIBL
(3,12),(3,14),-0.018721 # DEPENDENCYPART_SIBL
(3,12),(3,15),0.0201693 # DEPENDENCYPART_SIBL
(3,12),(3,16),-0.0196599 # DEPENDENCYPART_SIBL
(3,12),(3,18),-0.0437677 # DEPENDENCYPART_SIBL
(3,12),(3,19),-0.0270292 # DEPENDENCYPART_SIBL
(3,12),(3,20),-0.0304827 # DEPENDENCYPART_SIBL
(3,12),(3,21),-0.0319378 # DEPENDENCYPART_SIBL
(3,12),(3,22),-0.0120801 # DEPENDENCYPART_SIBL
(3,13),(3,14),0.130423 # DEPENDENCYPART_SIBL
(3,13),(3,15),0.0558756 # DEPENDENCYPART_SIBL
(3,13),(3,16),0.00624341 # DEPENDENCYPART_SIBL
(3,13),(3,18),0.0340495 # DEPENDENCYPART_SIBL
(3,13),(3,19),0.0304914 # DEPENDENCYPART_SIBL
(3,13),(3,20),0.0249309 # DEPENDENCYPART_SIBL
(3,13),(3,21),0.0457559 # DEPENDENCYPART_SIBL
(3,13),(3,22),0.0935961 # DEPENDENCYPART_SIBL
(3,14),(3,15),0.454266 # DEPENDENCYPART_SIBL
(3,14),(3,16),0.0342212 # DEPENDENCYPART_SIBL
(3,14),(3,18),0.0728779 # DEPENDENCYPART_SIBL
(3,14),(3,19),0.088959 # DEPENDENCYPART_SIBL
(3,14),(3,20),0.106643 # DEPENDENCYPART_SIBL
(3,14),(3,21),0.230365 # DEPENDENCYPART_SIBL
(3,14),(3,22),0.0771433 # DEPENDENCYPART_SIBL
(3,15),(3,16),0.0604277 # DEPENDENCYPART_SIBL
(3,15),(3,18),0.0802987 # DEPENDENCYPART_SIBL
(3,15),(3,19),0.0234423 # DEPENDENCYPART_SIBL
(3,15),(3,20),0.0313234 # DEPENDENCYPART_SIBL
(3,15),(3,21),0.00520863 # DEPENDENCYPART_SIBL
(3,15),(3,22),0.00781063 # DEPENDENCYPART_SIBL
(3,16),(3,18),0.0613327 # DEPENDENCYPART_SIBL
(3,16),(3,19),0.00960841 # DEPENDENCYPART_SIBL
(3,16),(3,20),0.0170629 # DEPENDENCYPART_SIBL
(3,16),(3,21),-0.0319785 # DEPENDENCYPART_SIBL
(3,16),(3,22),-0.00499483 # DEPENDENCYPART_SIBL
(3,18),(3,19),-0.0258677 # DEPENDENCYPART_SIBL
(3,18),(3,20),-0.0279023 # DEPENDENCYPART_SIBL
(3,18),(3,21),-0.0266831 # DEPENDENCYPART_SIBL
(3,18),(3,22),-0.0091428 # DEPENDENCYPART_SIBL
(3,19),(3,20),-0.0192359 # DEPENDENCYPART_SIBL
(3,19),(3,21),-0.0208376 # DEPENDENCYPART_SIBL
(3,19),(3,22),-0.00399424 # DEPENDENCYPART_SIBL
(3,20),(3,21),-0.0201919 # DEPENDENCYPART_SIBL
(3,20),(3,22),-0.00663183 # DEPENDENCYPART_SIBL
(3,21),(3,22),0.038831 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.0910811 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.0383919 # DEPENDENCYPART_SIBL
(5,1),(5,13),-0.00750134 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.037493 # DEPENDENCYPART_SIBL
(5,2),(5,13),-0.0215555 # DEPENDENCYPART_SIBL
(5,4),(5,13),0.00517383 # DEPENDENCYPART_SIBL
(6,1),(6,2),0.0176015 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.149915 # DEPENDENCYPART_SIBL
(6,1),(6,4),-0.304413 # DEPENDENCYPART_SIBL
(6,1),(6,5),-0.0347974 # DEPENDENCYPART_SIBL
(6,1),(6,7),-0.0201392 # DEPENDENCYPART_SIBL
(6,1),(6,8),0.0082488 # DEPENDENCYPART_SIBL
(6,1),(6,9),-0.0104064 # DEPENDENCYPART_SIBL
(6,1),(6,11),-0.00570561 # DEPENDENCYPART_SIBL
(6,1),(6,13),0.00697449 # DEPENDENCYPART_SIBL
(6,1),(6,21),0.0113747 # DEPENDENCYPART_SIBL
(6,1),(6,22),0.0997622 # DEPENDENCYPART_SIBL
(6,2),(6,3),0.0878952 # DEPENDENCYPART_SIBL
(6,2),(6,4),-0.301012 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.000225023 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.0273565 # DEPENDENCYPART_SIBL
(6,2),(6,8),-0.0071031 # DEPENDENCYPART_SIBL
(6,2),(6,9),0.0149769 # DEPENDENCYPART_SIBL
(6,2),(6,11),0.0172645 # DEPENDENCYPART_SIBL
(6,2),(6,13),-0.00379131 # DEPENDENCYPART_SIBL
(6,2),(6,21),0.000755975 # DEPENDENCYPART_SIBL
(6,2),(6,22),0.0196817 # DEPENDENCYPART_SIBL
(6,3),(6,4),-0.278129 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.069853 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.0212118 # DEPENDENCYPART_SIBL
(6,3),(6,8),0.00481095 # DEPENDENCYPART_SIBL
(6,3),(6,9),-0.0110201 # DEPENDENCYPART_SIBL
(6,3),(6,11),-0.0105763 # DEPENDENCYPART_SIBL
(6,3),(6,13),0.0281723 # DEPENDENCYPART_SIBL
(6,3),(6,21),0.0321802 # DEPENDENCYPART_SIBL
(6,3),(6,22),0.103153 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.23202 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.0903453 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.0323015 # DEPENDENCYPART_SIBL
(6,4),(6,9),-0.0201744 # DEPENDENCYPART_SIBL
(6,4),(6,11),-0.0176392 # DEPENDENCYPART_SIBL
(6,4),(6,13),-0.0361862 # DEPENDENCYPART_SIBL
(6,4),(6,21),-0.0311592 # DEPENDENCYPART_SIBL
(6,4),(6,22),-0.0954496 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.038313 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.00639034 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.00865047 # DEPENDENCYPART_SIBL
(6,5),(6,11),-0.00622679 # DEPENDENCYPART_SIBL
(6,5),(6,13),-0.0462853 # DEPENDENCYPART_SIBL
(6,5),(6,21),-0.0440085 # DEPENDENCYPART_SIBL
(6,5),(6,22),-0.0101105 # DEPENDENCYPART_SIBL
(6,7),(6,8),0.224638 # DEPENDENCYPART_SIBL
(6,7),(6,9),0.326333 # DEPENDENCYPART_SIBL
(6,7),(6,11),0.3425 # DEPENDENCYPART_SIBL
(6,7),(6,13),0.453953 # DEPENDENCYPART_SIBL
(6,7),(6,21),0.424809 # DEPENDENCYPART_SIBL
(6,7),(6,22),0.0787788 # DEPENDENCYPART_SIBL
(6,8),(6,9),0.0271589 # DEPENDENCYPART_SIBL
(6,8),(6,11),0.0298472 # DEPENDENCYPART_SIBL
(6,8),(6,13),0.0070233 # DEPENDENCYPART_SIBL
(6,8),(6,21),0.010704 # DEPENDENCYPART_SIBL
(6,8),(6,22),0.0967674 # DEPENDENCYPART_SIBL
(6,9),(6,11),-0.000935728 # DEPENDENCYPART_SIBL
(6,9),(6,13),0.0504523 # DEPENDENCYPART_SIBL
(6,9),(6,21),0.0532516 # DEPENDENCYPART_SIBL
(6,9),(6,22),0.0372017 # DEPENDENCYPART_SIBL
(6,11),(6,13),0.0548944 # DEPENDENCYPART_SIBL
(6,11),(6,21),0.0576936 # DEPENDENCYPART_SIBL
(6,11),(6,22),0.0479926 # DEPENDENCYPART_SIBL
(6,13),(6,21),0.0531257 # DEPENDENCYPART_SIBL
(6,13),(6,22),0.217169 # DEPENDENCYPART_SIBL
(6,21),(6,22),0.210656 # DEPENDENCYPART_SIBL
(8,9),(8,11),-0.00433197 # DEPENDENCYPART_SIBL
(8,9),(8,12),0.082184 # DEPENDENCYPART_SIBL
(8,9),(8,19),-0.0038786 # DEPENDENCYPART_SIBL
(8,11),(8,12),0.0888102 # DEPENDENCYPART_SIBL
(8,11),(8,19),0.00260993 # DEPENDENCYPART_SIBL
(8,12),(8,19),0.0133538 # DEPENDENCYPART_SIBL
(9,1),(9,2),0.0179644 # DEPENDENCYPART_SIBL
(9,1),(9,3),0.150273 # DEPENDENCYPART_SIBL
(9,1),(9,4),-0.304219 # DEPENDENCYPART_SIBL
(9,1),(9,5),-0.0379982 # DEPENDENCYPART_SIBL
(9,1),(9,6),-0.00455691 # DEPENDENCYPART_SIBL
(9,1),(9,7),0.0844908 # DEPENDENCYPART_SIBL
(9,1),(9,8),-0.0360694 # DEPENDENCYPART_SIBL
(9,1),(9,10),-0.0223566 # DEPENDENCYPART_SIBL
(9,1),(9,11),-0.00810992 # DEPENDENCYPART_SIBL
(9,1),(9,12),0.0252483 # DEPENDENCYPART_SIBL
(9,1),(9,14),-0.0274744 # DEPENDENCYPART_SIBL
(9,1),(9,19),-0.00871446 # DEPENDENCYPART_SIBL
(9,1),(9,21),0.0104109 # DEPENDENCYPART_SIBL
(9,1),(9,22),0.0979201 # DEPENDENCYPART_SIBL
(9,2),(9,3),0.0878572 # DEPENDENCYPART_SIBL
(9,2),(9,4),-0.301215 # DEPENDENCYPART_SIBL
(9,2),(9,5),-0.00374633 # DEPENDENCYPART_SIBL
(9,2),(9,6),-0.017962 # DEPENDENCYPART_SIBL
(9,2),(9,7),0.37183 # DEPENDENCYPART_SIBL
(9,2),(9,8),-0.00136232 # DEPENDENCYPART_SIBL
(9,2),(9,10),-0.0167864 # DEPENDENCYPART_SIBL
(9,2),(9,11),0.0151375 # DEPENDENCYPART_SIBL
(9,2),(9,12),-0.00631987 # DEPENDENCYPART_SIBL
(9,2),(9,14),-0.0343271 # DEPENDENCYPART_SIBL
(9,2),(9,19),0.0151389 # DEPENDENCYPART_SIBL
(9,2),(9,21),5.11695e-05 # DEPENDENCYPART_SIBL
(9,2),(9,22),0.0181015 # DEPENDENCYPART_SIBL
(9,3),(9,4),-0.278323 # DEPENDENCYPART_SIBL
(9,3),(9,5),-0.0733526 # DEPENDENCYPART_SIBL
(9,3),(9,6),-0.0586115 # DEPENDENCYPART_SIBL
(9,3),(9,7),0.297639 # DEPENDENCYPART_SIBL
(9,3),(9,8),-0.0292398 # DEPENDENCYPART_SIBL
(9,3),(9,10),-0.0213792 # DEPENDENCYPART_SIBL
(9,3),(9,11),-0.0127018 # DEPENDENCYPART_SIBL
(9,3),(9,12),0.0177127 # DEPENDENCYPART_SIBL
(9,3),(9,14),-0.0281816 # DEPENDENCYPART_SIBL
(9,3),(9,19),-0.0121894 # DEPENDENCYPART_SIBL
(9,3),(9,21),0.0314761 # DEPENDENCYPART_SIBL
(9,3),(9,22),0.101574 # DEPENDENCYPART_SIBL
(9,4),(9,5),0.225949 # DEPENDENCYPART_SIBL
(9,4),(9,6),0.0014979 # DEPENDENCYPART_SIBL
(9,4),(9,7),0.332021 # DEPENDENCYPART_SIBL
(9,4),(9,8),0.061126 # DEPENDENCYPART_SIBL
(9,4),(9,10),-0.0335302 # DEPENDENCYPART_SIBL
(9,4),(9,11),-0.0198019 # DEPENDENCYPART_SIBL
(9,4),(9,12),-0.0285141 # DEPENDENCYPART_SIBL
(9,4),(9,14),-0.0973505 # DEPENDENCYPART_SIBL
(9,4),(9,19),-0.0198006 # DEPENDENCYPART_SIBL
(9,4),(9,21),-0.0318931 # DEPENDENCYPART_SIBL
(9,4),(9,22),-0.0970576 # DEPENDENCYPART_SIBL
(9,5),(9,6),-0.00904386 # DEPENDENCYPART_SIBL
(9,5),(9,7),0.424488 # DEPENDENCYPART_SIBL
(9,5),(9,8),-0.0111061 # DEPENDENCYPART_SIBL
(9,5),(9,10),-0.0419514 # DEPENDENCYPART_SIBL
(9,5),(9,11),-0.00842606 # DEPENDENCYPART_SIBL
(9,5),(9,12),-0.00270114 # DEPENDENCYPART_SIBL
(9,5),(9,14),-0.0453443 # DEPENDENCYPART_SIBL
(9,5),(9,19),-0.00842453 # DEPENDENCYPART_SIBL
(9,5),(9,21),-0.0447658 # DEPENDENCYPART_SIBL
(9,5),(9,22),-0.011745 # DEPENDENCYPART_SIBL
(9,6),(9,7),0.623357 # DEPENDENCYPART_SIBL
(9,6),(9,8),0.0191731 # DEPENDENCYPART_SIBL
(9,6),(9,10),-0.0293567 # DEPENDENCYPART_SIBL
(9,6),(9,11),-0.00848879 # DEPENDENCYPART_SIBL
(9,6),(9,12),0.0324494 # DEPENDENCYPART_SIBL
(9,6),(9,14),-0.0187048 # DEPENDENCYPART_SIBL
(9,6),(9,19),-0.00756218 # DEPENDENCYPART_SIBL
(9,6),(9,21),0.000600324 # DEPENDENCYPART_SIBL
(9,6),(9,22),0.0307031 # DEPENDENCYPART_SIBL
(9,7),(9,8),-0.0862853 # DEPENDENCYPART_SIBL
(9,7),(9,10),-0.0413666 # DEPENDENCYPART_SIBL
(9,7),(9,11),-0.0148861 # DEPENDENCYPART_SIBL
(9,7),(9,12),-0.0086208 # DEPENDENCYPART_SIBL
(9,7),(9,14),-0.0451646 # DEPENDENCYPART_SIBL
(9,7),(9,19),-0.0123571 # DEPENDENCYPART_SIBL
(9,7),(9,21),-0.031349 # DEPENDENCYPART_SIBL
(9,7),(9,22),0.0204865 # DEPENDENCYPART_SIBL
(9,8),(9,10),-0.0224733 # DEPENDENCYPART_SIBL
(9,8),(9,11),0.0127231 # DEPENDENCYPART_SIBL
(9,8),(9,12),0.00551523 # DEPENDENCYPART_SIBL
(9,8),(9,14),-0.0151732 # DEPENDENCYPART_SIBL
(9,8),(9,19),0.0127371 # DEPENDENCYPART_SIBL
(9,8),(9,21),0.0531383 # DEPENDENCYPART_SIBL
(9,8),(9,22),-0.0280207 # DEPENDENCYPART_SIBL
(9,10),(9,11),0.0172136 # DEPENDENCYPART_SIBL
(9,10),(9,12),-0.0119324 # DEPENDENCYPART_SIBL
(9,10),(9,14),0.0116329 # DEPENDENCYPART_SIBL
(9,10),(9,19),0.0172149 # DEPENDENCYPART_SIBL
(9,10),(9,21),0.0176206 # DEPENDENCYPART_SIBL
(9,10),(9,22),0.0332518 # DEPENDENCYPART_SIBL
(9,11),(9,12),0.0588356 # DEPENDENCYPART_SIBL
(9,11),(9,14),0.0999136 # DEPENDENCYPART_SIBL
(9,11),(9,19),0.00303912 # DEPENDENCYPART_SIBL
(9,11),(9,21),0.0553321 # DEPENDENCYPART_SIBL
(9,11),(9,22),0.0434785 # DEPENDENCYPART_SIBL
(9,12),(9,14),0.0857788 # DEPENDENCYPART_SIBL
(9,12),(9,19),0.0550439 # DEPENDENCYPART_SIBL
(9,12),(9,21),0.0531389 # DEPENDENCYPART_SIBL
(9,12),(9,22),0.103353 # DEPENDENCYPART_SIBL
(9,14),(9,19),0.341769 # DEPENDENCYPART_SIBL
(9,14),(9,21),0.423402 # DEPENDENCYPART_SIBL
(9,14),(9,22),0.0756952 # DEPENDENCYPART_SIBL
(9,19),(9,21),0.0553335 # DEPENDENCYPART_SIBL
(9,19),(9,22),0.044051 # DEPENDENCYPART_SIBL
(9,21),(9,22),0.20634 # DEPENDENCYPART_SIBL
(11,4),(11,6),0.00692452 # DEPENDENCYPART_SIBL
(11,4),(11,8),0.0614669 # DEPENDENCYPART_SIBL
(11,4),(11,9),0.00534595 # DEPENDENCYPART_SIBL
(11,4),(11,10),-0.613906 # DEPENDENCYPART_SIBL
(11,4),(11,12),-0.0253919 # DEPENDENCYPART_SIBL
(11,4),(11,21),-0.0290322 # DEPENDENCYPART_SIBL
(11,6),(11,8),0.0150537 # DEPENDENCYPART_SIBL
(11,6),(11,9),-0.018452 # DEPENDENCYPART_SIBL
(11,6),(11,10),-0.318327 # DEPENDENCYPART_SIBL
(11,6),(11,12),0.042226 # DEPENDENCYPART_SIBL
(11,6),(11,21),0.00997265 # DEPENDENCYPART_SIBL
(11,8),(11,9),-0.0849609 # DEPENDENCYPART_SIBL
(11,8),(11,10),-0.103798 # DEPENDENCYPART_SIBL
(11,8),(11,12),0.00649145 # DEPENDENCYPART_SIBL
(11,8),(11,21),0.0539833 # DEPENDENCYPART_SIBL
(11,9),(11,10),-0.311141 # DEPENDENCYPART_SIBL
(11,9),(11,12),0.0403559 # DEPENDENCYPART_SIBL
(11,9),(11,21),0.00656181 # DEPENDENCYPART_SIBL
(11,10),(11,12),0.00747497 # DEPENDENCYPART_SIBL
(11,10),(11,21),0.0131846 # DEPENDENCYPART_SIBL
(11,12),(11,21),0.0538202 # DEPENDENCYPART_SIBL
(12,1),(12,2),0.0921654 # DEPENDENCYPART_SIBL
(12,1),(12,3),0.237137 # DEPENDENCYPART_SIBL
(12,1),(12,6),0.0546787 # DEPENDENCYPART_SIBL
(12,1),(12,7),0.159309 # DEPENDENCYPART_SIBL
(12,1),(12,8),0.0578094 # DEPENDENCYPART_SIBL
(12,1),(12,9),0.0547033 # DEPENDENCYPART_SIBL
(12,1),(12,10),-0.0764385 # DEPENDENCYPART_SIBL
(12,1),(12,11),0.0546359 # DEPENDENCYPART_SIBL
(12,1),(12,14),-0.0196149 # DEPENDENCYPART_SIBL
(12,1),(12,15),-0.00631868 # DEPENDENCYPART_SIBL
(12,1),(12,19),0.0185229 # DEPENDENCYPART_SIBL
(12,1),(12,21),-0.00651818 # DEPENDENCYPART_SIBL
(12,1),(12,22),0.0648406 # DEPENDENCYPART_SIBL
(12,2),(12,3),0.112987 # DEPENDENCYPART_SIBL
(12,2),(12,6),0.0421943 # DEPENDENCYPART_SIBL
(12,2),(12,7),0.215483 # DEPENDENCYPART_SIBL
(12,2),(12,8),0.0365144 # DEPENDENCYPART_SIBL
(12,2),(12,9),0.0441471 # DEPENDENCYPART_SIBL
(12,2),(12,10),-0.0738483 # DEPENDENCYPART_SIBL
(12,2),(12,11),0.0421802 # DEPENDENCYPART_SIBL
(12,2),(12,14),-0.0328184 # DEPENDENCYPART_SIBL
(12,2),(12,15),-0.0237884 # DEPENDENCYPART_SIBL
(12,2),(12,19),0.0161945 # DEPENDENCYPART_SIBL
(12,2),(12,21),-0.0203803 # DEPENDENCYPART_SIBL
(12,2),(12,22),-0.012913 # DEPENDENCYPART_SIBL
(12,3),(12,6),-0.0033264 # DEPENDENCYPART_SIBL
(12,3),(12,7),0.251921 # DEPENDENCYPART_SIBL
(12,3),(12,8),0.0327996 # DEPENDENCYPART_SIBL
(12,3),(12,9),-0.00240752 # DEPENDENCYPART_SIBL
(12,3),(12,10),-0.0769913 # DEPENDENCYPART_SIBL
(12,3),(12,11),-0.00333288 # DEPENDENCYPART_SIBL
(12,3),(12,14),0.0181589 # DEPENDENCYPART_SIBL
(12,3),(12,15),0.0469032 # DEPENDENCYPART_SIBL
(12,3),(12,19),0.0579765 # DEPENDENCYPART_SIBL
(12,3),(12,21),0.0481628 # DEPENDENCYPART_SIBL
(12,3),(12,22),0.113808 # DEPENDENCYPART_SIBL
(12,6),(12,7),0.285441 # DEPENDENCYPART_SIBL
(12,6),(12,8),0.02919 # DEPENDENCYPART_SIBL
(12,6),(12,9),0.0826997 # DEPENDENCYPART_SIBL
(12,6),(12,10),-0.0344525 # DEPENDENCYPART_SIBL
(12,6),(12,11),0.0792108 # DEPENDENCYPART_SIBL
(12,6),(12,14),0.0236721 # DEPENDENCYPART_SIBL
(12,6),(12,15),0.0130942 # DEPENDENCYPART_SIBL
(12,6),(12,19),0.0214497 # DEPENDENCYPART_SIBL
(12,6),(12,21),0.0125869 # DEPENDENCYPART_SIBL
(12,6),(12,22),0.0613737 # DEPENDENCYPART_SIBL
(12,7),(12,8),-0.0271893 # DEPENDENCYPART_SIBL
(12,7),(12,9),0.0281135 # DEPENDENCYPART_SIBL
(12,7),(12,10),-0.131699 # DEPENDENCYPART_SIBL
(12,7),(12,11),0.0480642 # DEPENDENCYPART_SIBL
(12,7),(12,14),-0.0441425 # DEPENDENCYPART_SIBL
(12,7),(12,15),-0.00129825 # DEPENDENCYPART_SIBL
(12,7),(12,19),0.0203788 # DEPENDENCYPART_SIBL
(12,7),(12,21),-0.0232556 # DEPENDENCYPART_SIBL
(12,7),(12,22),0.0202687 # DEPENDENCYPART_SIBL
(12,8),(12,9),0.0900741 # DEPENDENCYPART_SIBL
(12,8),(12,10),0.0399731 # DEPENDENCYPART_SIBL
(12,8),(12,11),0.065713 # DEPENDENCYPART_SIBL
(12,8),(12,14),0.0102359 # DEPENDENCYPART_SIBL
(12,8),(12,15),0.0133933 # DEPENDENCYPART_SIBL
(12,8),(12,19),0.102201 # DEPENDENCYPART_SIBL
(12,8),(12,21),0.0480006 # DEPENDENCYPART_SIBL
(12,8),(12,22),0.0192821 # DEPENDENCYPART_SIBL
(12,9),(12,10),-0.0246976 # DEPENDENCYPART_SIBL
(12,9),(12,11),0.0964056 # DEPENDENCYPART_SIBL
(12,9),(12,14),0.0238338 # DEPENDENCYPART_SIBL
(12,9),(12,15),0.0195791 # DEPENDENCYPART_SIBL
(12,9),(12,19),0.0224001 # DEPENDENCYPART_SIBL
(12,9),(12,21),0.00844258 # DEPENDENCYPART_SIBL
(12,9),(12,22),0.0649285 # DEPENDENCYPART_SIBL
(12,10),(12,11),0.0678986 # DEPENDENCYPART_SIBL
(12,10),(12,14),-0.00163088 # DEPENDENCYPART_SIBL
(12,10),(12,15),0.00828914 # DEPENDENCYPART_SIBL
(12,10),(12,19),0.0224998 # DEPENDENCYPART_SIBL
(12,10),(12,21),-0.00564008 # DEPENDENCYPART_SIBL
(12,10),(12,22),-0.0375591 # DEPENDENCYPART_SIBL
(12,11),(12,14),0.0193661 # DEPENDENCYPART_SIBL
(12,11),(12,15),0.0108439 # DEPENDENCYPART_SIBL
(12,11),(12,19),0.0198306 # DEPENDENCYPART_SIBL
(12,11),(12,21),0.0101923 # DEPENDENCYPART_SIBL
(12,11),(12,22),0.0617045 # DEPENDENCYPART_SIBL
(12,14),(12,15),0.205667 # DEPENDENCYPART_SIBL
(12,14),(12,19),0.162196 # DEPENDENCYPART_SIBL
(12,14),(12,21),0.376338 # DEPENDENCYPART_SIBL
(12,14),(12,22),0.0897129 # DEPENDENCYPART_SIBL
(12,15),(12,19),-0.0151548 # DEPENDENCYPART_SIBL
(12,15),(12,21),0.0215061 # DEPENDENCYPART_SIBL
(12,15),(12,22),-0.0130313 # DEPENDENCYPART_SIBL
(12,19),(12,21),0.0431148 # DEPENDENCYPART_SIBL
(12,19),(12,22),0.0136179 # DEPENDENCYPART_SIBL
(12,21),(12,22),0.0754568 # DEPENDENCYPART_SIBL
(13,1),(13,2),-0.0530056 # DEPENDENCYPART_SIBL
(13,1),(13,3),0.0795138 # DEPENDENCYPART_SIBL
(13,1),(13,4),-0.127285 # DEPENDENCYPART_SIBL
(13,1),(13,5),-0.0351122 # DEPENDENCYPART_SIBL
(13,1),(13,6),-0.0484784 # DEPENDENCYPART_SIBL
(13,1),(13,7),0.0752741 # DEPENDENCYPART_SIBL
(13,1),(13,8),-0.181464 # DEPENDENCYPART_SIBL
(13,1),(13,9),-0.0686649 # DEPENDENCYPART_SIBL
(13,1),(13,10),-0.127065 # DEPENDENCYPART_SIBL
(13,1),(13,11),-0.0483757 # DEPENDENCYPART_SIBL
(13,1),(13,12),-0.0230739 # DEPENDENCYPART_SIBL
(13,1),(13,14),-0.0168274 # DEPENDENCYPART_SIBL
(13,1),(13,15),-0.0222097 # DEPENDENCYPART_SIBL
(13,1),(13,16),-0.0259596 # DEPENDENCYPART_SIBL
(13,1),(13,17),-0.0472932 # DEPENDENCYPART_SIBL
(13,1),(13,18),-0.0254401 # DEPENDENCYPART_SIBL
(13,1),(13,19),-0.0443892 # DEPENDENCYPART_SIBL
(13,1),(13,20),-0.0243787 # DEPENDENCYPART_SIBL
(13,1),(13,21),-0.0252676 # DEPENDENCYPART_SIBL
(13,1),(13,22),0.031822 # DEPENDENCYPART_SIBL
(13,2),(13,3),-0.0188422 # DEPENDENCYPART_SIBL
(13,2),(13,4),-0.0824313 # DEPENDENCYPART_SIBL
(13,2),(13,5),-0.0196036 # DEPENDENCYPART_SIBL
(13,2),(13,6),0.0247627 # DEPENDENCYPART_SIBL
(13,2),(13,7),0.0499813 # DEPENDENCYPART_SIBL
(13,2),(13,8),-0.154569 # DEPENDENCYPART_SIBL
(13,2),(13,9),0.0165912 # DEPENDENCYPART_SIBL
(13,2),(13,10),-0.0685515 # DEPENDENCYPART_SIBL
(13,2),(13,11),0.0249113 # DEPENDENCYPART_SIBL
(13,2),(13,12),-0.0119666 # DEPENDENCYPART_SIBL
(13,2),(13,14),-0.0392554 # DEPENDENCYPART_SIBL
(13,2),(13,15),-0.0346534 # DEPENDENCYPART_SIBL
(13,2),(13,16),-0.00736673 # DEPENDENCYPART_SIBL
(13,2),(13,17),-0.00958139 # DEPENDENCYPART_SIBL
(13,2),(13,18),-0.0182823 # DEPENDENCYPART_SIBL
(13,2),(13,19),0.00436972 # DEPENDENCYPART_SIBL
(13,2),(13,20),0.0434072 # DEPENDENCYPART_SIBL
(13,2),(13,21),-0.0298548 # DEPENDENCYPART_SIBL
(13,2),(13,22),-0.00806418 # DEPENDENCYPART_SIBL
(13,3),(13,4),-0.0791147 # DEPENDENCYPART_SIBL
(13,3),(13,5),-0.0116382 # DEPENDENCYPART_SIBL
(13,3),(13,6),-0.0179584 # DEPENDENCYPART_SIBL
