# _root_ A junior lányok versenyén Mester_Orsolyáé ( 347 ) az első hely , a fiúk között Dienes_Miklósé ( 505 ) , aki mögött Varga_Zoltán a harmadik lett ( 495 ) .
#goldHeads=3,3,4,5,0,7,5,7,11,11,5,5,14,15,16,5,18,16,18,16,22,26,26,25,26,16,28,26,28,5,
#predictedHeads=3,3,4,5,0,7,5,7,11,11,15,15,14,15,16,26,18,16,18,26,22,26,26,25,26,0,28,26,28,26,
(15,11),(15,14),-0.0943621 # DEPENDENCYPART_SIBL
(15,11),(15,16),-0.0238502 # DEPENDENCYPART_SIBL
(15,11),(15,17),-0.068886 # DEPENDENCYPART_SIBL
(15,11),(15,18),-0.0229541 # DEPENDENCYPART_SIBL
(15,11),(15,19),-0.0721975 # DEPENDENCYPART_SIBL
(15,11),(15,20),-0.0571865 # DEPENDENCYPART_SIBL
(15,11),(15,23),-0.0238502 # DEPENDENCYPART_SIBL
(15,11),(15,26),-0.00147983 # DEPENDENCYPART_SIBL
(15,11),(15,29),-0.0721975 # DEPENDENCYPART_SIBL
(15,12),(15,13),-0.125075 # DEPENDENCYPART_SIBL
(15,12),(15,14),-0.0221933 # DEPENDENCYPART_SIBL
(15,12),(15,16),-0.043705 # DEPENDENCYPART_SIBL
(15,12),(15,17),-0.0966641 # DEPENDENCYPART_SIBL
(15,12),(15,18),-0.0211902 # DEPENDENCYPART_SIBL
(15,12),(15,19),-0.00745931 # DEPENDENCYPART_SIBL
(15,12),(15,20),-0.10279 # DEPENDENCYPART_SIBL
(15,12),(15,23),-0.043705 # DEPENDENCYPART_SIBL
(15,12),(15,26),-0.0249349 # DEPENDENCYPART_SIBL
(15,12),(15,29),-0.00745931 # DEPENDENCYPART_SIBL
(15,13),(15,14),-0.0561342 # DEPENDENCYPART_SIBL
(15,13),(15,16),-0.00662215 # DEPENDENCYPART_SIBL
(15,13),(15,17),-0.0552399 # DEPENDENCYPART_SIBL
(15,13),(15,18),-0.0185877 # DEPENDENCYPART_SIBL
(15,13),(15,19),-0.0562073 # DEPENDENCYPART_SIBL
(15,13),(15,20),-0.0493968 # DEPENDENCYPART_SIBL
(15,13),(15,23),-0.00662215 # DEPENDENCYPART_SIBL
(15,13),(15,26),-0.00187049 # DEPENDENCYPART_SIBL
(15,13),(15,29),-0.0562073 # DEPENDENCYPART_SIBL
(15,14),(15,16),-0.0238444 # DEPENDENCYPART_SIBL
(15,14),(15,17),-0.068886 # DEPENDENCYPART_SIBL
(15,14),(15,18),-0.0229541 # DEPENDENCYPART_SIBL
(15,14),(15,19),-0.0721975 # DEPENDENCYPART_SIBL
(15,14),(15,20),-0.0571865 # DEPENDENCYPART_SIBL
(15,14),(15,23),-0.0238444 # DEPENDENCYPART_SIBL
(15,14),(15,26),-0.00147768 # DEPENDENCYPART_SIBL
(15,14),(15,29),-0.0721975 # DEPENDENCYPART_SIBL
(15,16),(15,17),0.0856931 # DEPENDENCYPART_SIBL
(15,16),(15,18),0.0772508 # DEPENDENCYPART_SIBL
(15,16),(15,19),0.120366 # DEPENDENCYPART_SIBL
(15,16),(15,20),0.1504 # DEPENDENCYPART_SIBL
(15,16),(15,23),0.103192 # DEPENDENCYPART_SIBL
(15,16),(15,26),0.0930888 # DEPENDENCYPART_SIBL
(15,16),(15,29),0.120366 # DEPENDENCYPART_SIBL
(15,17),(15,18),0.0537097 # DEPENDENCYPART_SIBL
(15,17),(15,19),0.046601 # DEPENDENCYPART_SIBL
(15,17),(15,20),0.00188129 # DEPENDENCYPART_SIBL
(15,17),(15,23),0.039217 # DEPENDENCYPART_SIBL
(15,17),(15,26),0.196984 # DEPENDENCYPART_SIBL
(15,17),(15,29),0.046601 # DEPENDENCYPART_SIBL
(15,18),(15,19),0.0325249 # DEPENDENCYPART_SIBL
(15,18),(15,20),0.0722326 # DEPENDENCYPART_SIBL
(15,18),(15,23),0.0388413 # DEPENDENCYPART_SIBL
(15,18),(15,26),0.0519875 # DEPENDENCYPART_SIBL
(15,18),(15,29),0.0325249 # DEPENDENCYPART_SIBL
(15,19),(15,20),0.00215895 # DEPENDENCYPART_SIBL
(15,19),(15,23),0.0453351 # DEPENDENCYPART_SIBL
(15,19),(15,26),0.159533 # DEPENDENCYPART_SIBL
(15,19),(15,29),0.0119048 # DEPENDENCYPART_SIBL
(15,20),(15,23),0.125385 # DEPENDENCYPART_SIBL
(15,20),(15,26),0.328904 # DEPENDENCYPART_SIBL
(15,20),(15,29),-0.0135752 # DEPENDENCYPART_SIBL
(15,23),(15,26),0.0930888 # DEPENDENCYPART_SIBL
(15,23),(15,29),0.120366 # DEPENDENCYPART_SIBL
(15,26),(15,29),0.137251 # DEPENDENCYPART_SIBL
(16,3),(16,4),-0.00750407 # DEPENDENCYPART_SIBL
(16,3),(16,5),-0.00750407 # DEPENDENCYPART_SIBL
(16,3),(16,6),0.185919 # DEPENDENCYPART_SIBL
(16,3),(16,8),0.402973 # DEPENDENCYPART_SIBL
(16,3),(16,9),-0.262768 # DEPENDENCYPART_SIBL
(16,3),(16,10),0.122614 # DEPENDENCYPART_SIBL
(16,3),(16,11),-0.00751167 # DEPENDENCYPART_SIBL
(16,3),(16,12),0.651409 # DEPENDENCYPART_SIBL
(16,3),(16,13),-0.310776 # DEPENDENCYPART_SIBL
(16,3),(16,14),-0.00750407 # DEPENDENCYPART_SIBL
(16,3),(16,15),0.0690768 # DEPENDENCYPART_SIBL
(16,3),(16,17),-0.0688913 # DEPENDENCYPART_SIBL
(16,3),(16,18),0.0565451 # DEPENDENCYPART_SIBL
(16,3),(16,19),-0.08177 # DEPENDENCYPART_SIBL
(16,3),(16,20),-0.00907398 # DEPENDENCYPART_SIBL
(16,3),(16,22),0.0212271 # DEPENDENCYPART_SIBL
(16,3),(16,23),-0.00182674 # DEPENDENCYPART_SIBL
(16,3),(16,26),0.0146992 # DEPENDENCYPART_SIBL
(16,3),(16,27),-0.0688913 # DEPENDENCYPART_SIBL
(16,3),(16,28),0.0565451 # DEPENDENCYPART_SIBL
(16,3),(16,29),-0.08177 # DEPENDENCYPART_SIBL
(16,3),(16,30),0.0381362 # DEPENDENCYPART_SIBL
(16,4),(16,5),-0.018106 # DEPENDENCYPART_SIBL
(16,4),(16,6),0.17901 # DEPENDENCYPART_SIBL
(16,4),(16,8),0.396063 # DEPENDENCYPART_SIBL
(16,4),(16,9),-0.269111 # DEPENDENCYPART_SIBL
(16,4),(16,10),0.116264 # DEPENDENCYPART_SIBL
(16,4),(16,11),-0.0181136 # DEPENDENCYPART_SIBL
(16,4),(16,12),0.641687 # DEPENDENCYPART_SIBL
(16,4),(16,13),-0.317123 # DEPENDENCYPART_SIBL
(16,4),(16,14),-0.018106 # DEPENDENCYPART_SIBL
(16,4),(16,15),0.0627263 # DEPENDENCYPART_SIBL
(16,4),(16,17),-0.0657147 # DEPENDENCYPART_SIBL
(16,4),(16,18),0.0566582 # DEPENDENCYPART_SIBL
(16,4),(16,19),-0.0785934 # DEPENDENCYPART_SIBL
(16,4),(16,20),-0.00283849 # DEPENDENCYPART_SIBL
(16,4),(16,22),0.021339 # DEPENDENCYPART_SIBL
(16,4),(16,23),0.00337853 # DEPENDENCYPART_SIBL
(16,4),(16,26),0.0151334 # DEPENDENCYPART_SIBL
(16,4),(16,27),-0.0657147 # DEPENDENCYPART_SIBL
(16,4),(16,28),0.0566582 # DEPENDENCYPART_SIBL
(16,4),(16,29),-0.0785934 # DEPENDENCYPART_SIBL
(16,4),(16,30),0.041682 # DEPENDENCYPART_SIBL
(16,5),(16,6),0.17901 # DEPENDENCYPART_SIBL
(16,5),(16,8),0.396063 # DEPENDENCYPART_SIBL
(16,5),(16,9),-0.269111 # DEPENDENCYPART_SIBL
(16,5),(16,10),0.116264 # DEPENDENCYPART_SIBL
(16,5),(16,11),-0.0181136 # DEPENDENCYPART_SIBL
(16,5),(16,12),0.641687 # DEPENDENCYPART_SIBL
(16,5),(16,13),-0.317123 # DEPENDENCYPART_SIBL
(16,5),(16,14),-0.018106 # DEPENDENCYPART_SIBL
(16,5),(16,15),0.0627263 # DEPENDENCYPART_SIBL
(16,5),(16,17),-0.0657147 # DEPENDENCYPART_SIBL
(16,5),(16,18),0.0566582 # DEPENDENCYPART_SIBL
(16,5),(16,19),-0.0785934 # DEPENDENCYPART_SIBL
(16,5),(16,20),-0.00283849 # DEPENDENCYPART_SIBL
(16,5),(16,22),0.021339 # DEPENDENCYPART_SIBL
(16,5),(16,23),0.00337853 # DEPENDENCYPART_SIBL
(16,5),(16,26),0.0151334 # DEPENDENCYPART_SIBL
(16,5),(16,27),-0.0657147 # DEPENDENCYPART_SIBL
(16,5),(16,28),0.0566582 # DEPENDENCYPART_SIBL
(16,5),(16,29),-0.0785934 # DEPENDENCYPART_SIBL
(16,5),(16,30),0.041682 # DEPENDENCYPART_SIBL
(16,6),(16,8),0.379507 # DEPENDENCYPART_SIBL
(16,6),(16,9),-0.301499 # DEPENDENCYPART_SIBL
(16,6),(16,10),0.0152743 # DEPENDENCYPART_SIBL
(16,6),(16,11),0.0294764 # DEPENDENCYPART_SIBL
(16,6),(16,12),-0.029019 # DEPENDENCYPART_SIBL
(16,6),(16,13),-0.382693 # DEPENDENCYPART_SIBL
(16,6),(16,14),0.0294833 # DEPENDENCYPART_SIBL
(16,6),(16,15),0.0116809 # DEPENDENCYPART_SIBL
(16,6),(16,17),0.0515723 # DEPENDENCYPART_SIBL
(16,6),(16,18),0.0183846 # DEPENDENCYPART_SIBL
(16,6),(16,19),0.374455 # DEPENDENCYPART_SIBL
(16,6),(16,20),0.0354812 # DEPENDENCYPART_SIBL
(16,6),(16,22),0.0141181 # DEPENDENCYPART_SIBL
(16,6),(16,23),-0.00576129 # DEPENDENCYPART_SIBL
(16,6),(16,26),0.00137254 # DEPENDENCYPART_SIBL
(16,6),(16,27),0.0515723 # DEPENDENCYPART_SIBL
(16,6),(16,28),0.0183846 # DEPENDENCYPART_SIBL
(16,6),(16,29),0.374455 # DEPENDENCYPART_SIBL
(16,6),(16,30),-0.0295239 # DEPENDENCYPART_SIBL
(16,8),(16,9),-0.329905 # DEPENDENCYPART_SIBL
(16,8),(16,10),0.0131337 # DEPENDENCYPART_SIBL
(16,8),(16,11),-0.0766598 # DEPENDENCYPART_SIBL
(16,8),(16,12),-0.1269 # DEPENDENCYPART_SIBL
(16,8),(16,13),-0.413819 # DEPENDENCYPART_SIBL
(16,8),(16,14),-0.0766529 # DEPENDENCYPART_SIBL
(16,8),(16,15),-0.0399367 # DEPENDENCYPART_SIBL
(16,8),(16,17),-0.107565 # DEPENDENCYPART_SIBL
(16,8),(16,18),-0.022539 # DEPENDENCYPART_SIBL
(16,8),(16,19),0.010229 # DEPENDENCYPART_SIBL
(16,8),(16,20),-0.103508 # DEPENDENCYPART_SIBL
(16,8),(16,22),-0.0297544 # DEPENDENCYPART_SIBL
(16,8),(16,23),-0.09591 # DEPENDENCYPART_SIBL
(16,8),(16,26),-0.0376835 # DEPENDENCYPART_SIBL
(16,8),(16,27),-0.107565 # DEPENDENCYPART_SIBL
(16,8),(16,28),-0.022539 # DEPENDENCYPART_SIBL
(16,8),(16,29),0.010229 # DEPENDENCYPART_SIBL
(16,8),(16,30),-0.0840498 # DEPENDENCYPART_SIBL
(16,9),(16,10),0.357756 # DEPENDENCYPART_SIBL
(16,9),(16,11),0.00085437 # DEPENDENCYPART_SIBL
(16,9),(16,12),0.213182 # DEPENDENCYPART_SIBL
(16,9),(16,13),-0.542227 # DEPENDENCYPART_SIBL
(16,9),(16,14),0.000855746 # DEPENDENCYPART_SIBL
(16,9),(16,15),0.0293259 # DEPENDENCYPART_SIBL
(16,9),(16,17),-0.0874489 # DEPENDENCYPART_SIBL
(16,9),(16,18),-0.0198246 # DEPENDENCYPART_SIBL
(16,9),(16,19),-0.0979903 # DEPENDENCYPART_SIBL
(16,9),(16,20),-0.0165824 # DEPENDENCYPART_SIBL
(16,9),(16,22),-0.0191092 # DEPENDENCYPART_SIBL
(16,9),(16,23),-0.00571552 # DEPENDENCYPART_SIBL
(16,9),(16,26),-0.0168167 # DEPENDENCYPART_SIBL
(16,9),(16,27),-0.0874489 # DEPENDENCYPART_SIBL
(16,9),(16,28),-0.0198246 # DEPENDENCYPART_SIBL
(16,9),(16,29),-0.0979903 # DEPENDENCYPART_SIBL
(16,9),(16,30),-0.0202729 # DEPENDENCYPART_SIBL
(16,10),(16,11),0.0104275 # DEPENDENCYPART_SIBL
(16,10),(16,12),0.528908 # DEPENDENCYPART_SIBL
(16,10),(16,13),-0.343642 # DEPENDENCYPART_SIBL
(16,10),(16,14),0.0104275 # DEPENDENCYPART_SIBL
(16,10),(16,15),0.0849981 # DEPENDENCYPART_SIBL
(16,10),(16,17),-0.0374139 # DEPENDENCYPART_SIBL
(16,10),(16,18),0.0130282 # DEPENDENCYPART_SIBL
(16,10),(16,19),-0.0495275 # DEPENDENCYPART_SIBL
(16,10),(16,20),-0.0148303 # DEPENDENCYPART_SIBL
(16,10),(16,22),-0.0077267 # DEPENDENCYPART_SIBL
(16,10),(16,23),0.00776751 # DEPENDENCYPART_SIBL
(16,10),(16,26),0.00162692 # DEPENDENCYPART_SIBL
(16,10),(16,27),-0.0374139 # DEPENDENCYPART_SIBL
(16,10),(16,28),0.0130282 # DEPENDENCYPART_SIBL
(16,10),(16,29),-0.0495275 # DEPENDENCYPART_SIBL
(16,10),(16,30),0.0267382 # DEPENDENCYPART_SIBL
(16,11),(16,12),0.641498 # DEPENDENCYPART_SIBL
(16,11),(16,13),-0.317163 # DEPENDENCYPART_SIBL
(16,11),(16,14),-0.0181661 # DEPENDENCYPART_SIBL
(16,11),(16,15),0.0626857 # DEPENDENCYPART_SIBL
(16,11),(16,17),-0.0657166 # DEPENDENCYPART_SIBL
(16,11),(16,18),0.0566563 # DEPENDENCYPART_SIBL
(16,11),(16,19),-0.0785953 # DEPENDENCYPART_SIBL
(16,11),(16,20),-0.00284037 # DEPENDENCYPART_SIBL
(16,11),(16,22),0.0213371 # DEPENDENCYPART_SIBL
(16,11),(16,23),0.0033693 # DEPENDENCYPART_SIBL
(16,11),(16,26),0.0151294 # DEPENDENCYPART_SIBL
(16,11),(16,27),-0.0657166 # DEPENDENCYPART_SIBL
(16,11),(16,28),0.0566563 # DEPENDENCYPART_SIBL
(16,11),(16,29),-0.0785953 # DEPENDENCYPART_SIBL
(16,11),(16,30),0.0416707 # DEPENDENCYPART_SIBL
(16,12),(16,13),-0.408123 # DEPENDENCYPART_SIBL
(16,12),(16,14),0.0569251 # DEPENDENCYPART_SIBL
(16,12),(16,15),-0.0438817 # DEPENDENCYPART_SIBL
(16,12),(16,17),-0.105794 # DEPENDENCYPART_SIBL
(16,12),(16,18),0.0254865 # DEPENDENCYPART_SIBL
(16,12),(16,19),-0.0292323 # DEPENDENCYPART_SIBL
(16,12),(16,20),-0.0346477 # DEPENDENCYPART_SIBL
(16,12),(16,22),-0.0159656 # DEPENDENCYPART_SIBL
(16,12),(16,23),-0.00844461 # DEPENDENCYPART_SIBL
(16,12),(16,26),-0.0378718 # DEPENDENCYPART_SIBL
(16,12),(16,27),-0.105794 # DEPENDENCYPART_SIBL
(16,12),(16,28),0.0254865 # DEPENDENCYPART_SIBL
(16,12),(16,29),-0.0292323 # DEPENDENCYPART_SIBL
(16,12),(16,30),0.0238545 # DEPENDENCYPART_SIBL
(16,13),(16,14),0.0129962 # DEPENDENCYPART_SIBL
(16,13),(16,15),0.0431936 # DEPENDENCYPART_SIBL
(16,13),(16,17),-0.0761411 # DEPENDENCYPART_SIBL
(16,13),(16,18),-0.0176286 # DEPENDENCYPART_SIBL
(16,13),(16,19),-0.0857761 # DEPENDENCYPART_SIBL
(16,13),(16,20),-0.00907785 # DEPENDENCYPART_SIBL
(16,13),(16,22),-0.00911572 # DEPENDENCYPART_SIBL
(16,13),(16,23),-0.00331961 # DEPENDENCYPART_SIBL
(16,13),(16,26),0.00187139 # DEPENDENCYPART_SIBL
(16,13),(16,27),-0.0761411 # DEPENDENCYPART_SIBL
(16,13),(16,28),-0.0176286 # DEPENDENCYPART_SIBL
(16,13),(16,29),-0.0857761 # DEPENDENCYPART_SIBL
(16,13),(16,30),-0.0285178 # DEPENDENCYPART_SIBL
(16,14),(16,15),0.0627263 # DEPENDENCYPART_SIBL
(16,14),(16,17),-0.0657147 # DEPENDENCYPART_SIBL
(16,14),(16,18),0.0566582 # DEPENDENCYPART_SIBL
(16,14),(16,19),-0.0785934 # DEPENDENCYPART_SIBL
(16,14),(16,20),-0.00283849 # DEPENDENCYPART_SIBL
(16,14),(16,22),0.021339 # DEPENDENCYPART_SIBL
(16,14),(16,23),0.00337853 # DEPENDENCYPART_SIBL
(16,14),(16,26),0.0151334 # DEPENDENCYPART_SIBL
(16,14),(16,27),-0.0657147 # DEPENDENCYPART_SIBL
(16,14),(16,28),0.0566582 # DEPENDENCYPART_SIBL
(16,14),(16,29),-0.0785934 # DEPENDENCYPART_SIBL
(16,14),(16,30),0.041682 # DEPENDENCYPART_SIBL
(16,15),(16,17),0.00663612 # DEPENDENCYPART_SIBL
(16,15),(16,18),0.0641905 # DEPENDENCYPART_SIBL
(16,15),(16,19),0.0101409 # DEPENDENCYPART_SIBL
(16,15),(16,20),0.0419364 # DEPENDENCYPART_SIBL
(16,15),(16,22),0.0278253 # DEPENDENCYPART_SIBL
(16,15),(16,23),0.0446142 # DEPENDENCYPART_SIBL
(16,15),(16,26),0.0357804 # DEPENDENCYPART_SIBL
(16,15),(16,27),0.00663612 # DEPENDENCYPART_SIBL
(16,15),(16,28),0.0641905 # DEPENDENCYPART_SIBL
(16,15),(16,29),0.0101409 # DEPENDENCYPART_SIBL
(16,15),(16,30),0.10914 # DEPENDENCYPART_SIBL
(16,17),(16,18),0.0378028 # DEPENDENCYPART_SIBL
(16,17),(16,19),0.0878173 # DEPENDENCYPART_SIBL
(16,17),(16,20),-0.0261999 # DEPENDENCYPART_SIBL
(16,17),(16,22),0.0137754 # DEPENDENCYPART_SIBL
(16,17),(16,23),0.0741756 # DEPENDENCYPART_SIBL
(16,17),(16,26),0.213851 # DEPENDENCYPART_SIBL
(16,17),(16,27),-0.0183949 # DEPENDENCYPART_SIBL
(16,17),(16,28),0.0378028 # DEPENDENCYPART_SIBL
(16,17),(16,29),0.0878173 # DEPENDENCYPART_SIBL
(16,17),(16,30),0.0332239 # DEPENDENCYPART_SIBL
(16,18),(16,19),0.0613647 # DEPENDENCYPART_SIBL
(16,18),(16,20),0.0570569 # DEPENDENCYPART_SIBL
(16,18),(16,22),0.0276649 # DEPENDENCYPART_SIBL
(16,18),(16,23),0.025387 # DEPENDENCYPART_SIBL
(16,18),(16,26),0.0495163 # DEPENDENCYPART_SIBL
(16,18),(16,27),0.0307262 # DEPENDENCYPART_SIBL
(16,18),(16,28),0.0353539 # DEPENDENCYPART_SIBL
(16,18),(16,29),0.0613647 # DEPENDENCYPART_SIBL
(16,18),(16,30),0.120833 # DEPENDENCYPART_SIBL
(16,19),(16,20),-0.0375148 # DEPENDENCYPART_SIBL
(16,19),(16,22),0.00837811 # DEPENDENCYPART_SIBL
(16,19),(16,23),0.0637232 # DEPENDENCYPART_SIBL
(16,19),(16,26),0.169548 # DEPENDENCYPART_SIBL
(16,19),(16,27),-0.0364973 # DEPENDENCYPART_SIBL
(16,19),(16,28),0.0417741 # DEPENDENCYPART_SIBL
(16,19),(16,29),0.0393349 # DEPENDENCYPART_SIBL
(16,19),(16,30),0.0285417 # DEPENDENCYPART_SIBL
(16,20),(16,22),0.0812915 # DEPENDENCYPART_SIBL
(16,20),(16,23),0.342981 # DEPENDENCYPART_SIBL
(16,20),(16,26),0.453953 # DEPENDENCYPART_SIBL
(16,20),(16,27),-0.0167394 # DEPENDENCYPART_SIBL
(16,20),(16,28),0.16283 # DEPENDENCYPART_SIBL
(16,20),(16,29),0.0670589 # DEPENDENCYPART_SIBL
(16,20),(16,30),0.0787788 # DEPENDENCYPART_SIBL
(16,22),(16,23),0.102514 # DEPENDENCYPART_SIBL
(16,22),(16,26),0.0675897 # DEPENDENCYPART_SIBL
(16,22),(16,27),0.100037 # DEPENDENCYPART_SIBL
(16,22),(16,28),0.0833474 # DEPENDENCYPART_SIBL
(16,22),(16,29),0.138889 # DEPENDENCYPART_SIBL
(16,22),(16,30),0.159342 # DEPENDENCYPART_SIBL
(16,23),(16,26),0.0548958 # DEPENDENCYPART_SIBL
(16,23),(16,27),0.0365003 # DEPENDENCYPART_SIBL
(16,23),(16,28),0.0309029 # DEPENDENCYPART_SIBL
(16,23),(16,29),0.13015 # DEPENDENCYPART_SIBL
(16,23),(16,30),0.0485651 # DEPENDENCYPART_SIBL
(16,26),(16,27),0.151497 # DEPENDENCYPART_SIBL
(16,26),(16,28),0.0497513 # DEPENDENCYPART_SIBL
(16,26),(16,29),0.220563 # DEPENDENCYPART_SIBL
(16,26),(16,30),0.217169 # DEPENDENCYPART_SIBL
(16,27),(16,28),0.0378028 # DEPENDENCYPART_SIBL
(16,27),(16,29),0.0878173 # DEPENDENCYPART_SIBL
(16,27),(16,30),0.0332239 # DEPENDENCYPART_SIBL
(16,28),(16,29),0.0613647 # DEPENDENCYPART_SIBL
(16,28),(16,30),0.120833 # DEPENDENCYPART_SIBL
(16,29),(16,30),0.0285417 # DEPENDENCYPART_SIBL
(18,8),(18,12),0.0480918 # DEPENDENCYPART_SIBL
(18,8),(18,14),0.0646038 # DEPENDENCYPART_SIBL
(18,8),(18,15),0.0869755 # DEPENDENCYPART_SIBL
(18,8),(18,16),0.0646038 # DEPENDENCYPART_SIBL
(18,8),(18,17),0.00635185 # DEPENDENCYPART_SIBL
(18,8),(18,19),0.237224 # DEPENDENCYPART_SIBL
(18,8),(18,20),-0.0170929 # DEPENDENCYPART_SIBL
(18,8),(18,23),-0.0517131 # DEPENDENCYPART_SIBL
(18,8),(18,26),0.0227474 # DEPENDENCYPART_SIBL
(18,8),(18,27),0.0181736 # DEPENDENCYPART_SIBL
(18,8),(18,28),-0.0260164 # DEPENDENCYPART_SIBL
(18,8),(18,29),0.237224 # DEPENDENCYPART_SIBL
(18,8),(18,30),-0.0445578 # DEPENDENCYPART_SIBL
(18,12),(18,14),0.102178 # DEPENDENCYPART_SIBL
(18,12),(18,15),0.0592057 # DEPENDENCYPART_SIBL
(18,12),(18,16),0.102178 # DEPENDENCYPART_SIBL
(18,12),(18,17),-0.00708093 # DEPENDENCYPART_SIBL
(18,12),(18,19),0.197569 # DEPENDENCYPART_SIBL
(18,12),(18,20),-0.00268289 # DEPENDENCYPART_SIBL
(18,12),(18,23),-0.0115497 # DEPENDENCYPART_SIBL
(18,12),(18,26),0.00518608 # DEPENDENCYPART_SIBL
(18,12),(18,27),0.00493524 # DEPENDENCYPART_SIBL
(18,12),(18,28),-0.0128627 # DEPENDENCYPART_SIBL
(18,12),(18,29),0.197569 # DEPENDENCYPART_SIBL
(18,12),(18,30),0.0154377 # DEPENDENCYPART_SIBL
(18,14),(18,15),0.0845177 # DEPENDENCYPART_SIBL
(18,14),(18,16),0.0698106 # DEPENDENCYPART_SIBL
(18,14),(18,17),0.0891428 # DEPENDENCYPART_SIBL
(18,14),(18,19),0.0989249 # DEPENDENCYPART_SIBL
(18,14),(18,20),0.0864785 # DEPENDENCYPART_SIBL
(18,14),(18,23),0.0227659 # DEPENDENCYPART_SIBL
(18,14),(18,26),0.0765118 # DEPENDENCYPART_SIBL
(18,14),(18,27),0.0433208 # DEPENDENCYPART_SIBL
(18,14),(18,28),0.0257208 # DEPENDENCYPART_SIBL
(18,14),(18,29),0.0989249 # DEPENDENCYPART_SIBL
(18,14),(18,30),0.0355016 # DEPENDENCYPART_SIBL
(18,15),(18,16),0.115562 # DEPENDENCYPART_SIBL
(18,15),(18,17),0.0539409 # DEPENDENCYPART_SIBL
(18,15),(18,19),0.122651 # DEPENDENCYPART_SIBL
(18,15),(18,20),0.0649792 # DEPENDENCYPART_SIBL
(18,15),(18,23),0.0496283 # DEPENDENCYPART_SIBL
(18,15),(18,26),0.03913 # DEPENDENCYPART_SIBL
(18,15),(18,27),0.0599333 # DEPENDENCYPART_SIBL
(18,15),(18,28),0.0180249 # DEPENDENCYPART_SIBL
(18,15),(18,29),0.122651 # DEPENDENCYPART_SIBL
(18,15),(18,30),0.0631473 # DEPENDENCYPART_SIBL
(18,16),(18,17),0.0891428 # DEPENDENCYPART_SIBL
(18,16),(18,19),0.0989249 # DEPENDENCYPART_SIBL
(18,16),(18,20),0.0864785 # DEPENDENCYPART_SIBL
(18,16),(18,23),0.0227659 # DEPENDENCYPART_SIBL
(18,16),(18,26),0.0765118 # DEPENDENCYPART_SIBL
(18,16),(18,27),0.0433208 # DEPENDENCYPART_SIBL
(18,16),(18,28),0.0257208 # DEPENDENCYPART_SIBL
(18,16),(18,29),0.0989249 # DEPENDENCYPART_SIBL
(18,16),(18,30),0.0355016 # DEPENDENCYPART_SIBL
(18,17),(18,19),0.614397 # DEPENDENCYPART_SIBL
(18,17),(18,20),0.112271 # DEPENDENCYPART_SIBL
(18,17),(18,23),0.00339793 # DEPENDENCYPART_SIBL
(18,17),(18,26),0.0402161 # DEPENDENCYPART_SIBL
(18,17),(18,27),0.175702 # DEPENDENCYPART_SIBL
(18,17),(18,28),-0.00529401 # DEPENDENCYPART_SIBL
(18,17),(18,29),0.614397 # DEPENDENCYPART_SIBL
(18,17),(18,30),-0.0342956 # DEPENDENCYPART_SIBL
(18,19),(18,20),-0.0346083 # DEPENDENCYPART_SIBL
(18,19),(18,23),-0.0178695 # DEPENDENCYPART_SIBL
(18,19),(18,26),0.202637 # DEPENDENCYPART_SIBL
(18,19),(18,27),-0.0362275 # DEPENDENCYPART_SIBL
(18,19),(18,28),0.0483508 # DEPENDENCYPART_SIBL
(18,19),(18,29),-0.0188566 # DEPENDENCYPART_SIBL
(18,19),(18,30),0.0614574 # DEPENDENCYPART_SIBL
(18,20),(18,23),0.0559459 # DEPENDENCYPART_SIBL
(18,20),(18,26),0.382591 # DEPENDENCYPART_SIBL
(18,20),(18,27),-0.0551424 # DEPENDENCYPART_SIBL
(18,20),(18,28),0.0797829 # DEPENDENCYPART_SIBL
(18,20),(18,29),-0.0400992 # DEPENDENCYPART_SIBL
(18,20),(18,30),0.058709 # DEPENDENCYPART_SIBL
(18,23),(18,26),0.0445471 # DEPENDENCYPART_SIBL
(18,23),(18,27),0.0104441 # DEPENDENCYPART_SIBL
(18,23),(18,28),0.00527307 # DEPENDENCYPART_SIBL
(18,23),(18,29),0.0462922 # DEPENDENCYPART_SIBL
(18,23),(18,30),-0.00651562 # DEPENDENCYPART_SIBL
(18,26),(18,27),0.0672936 # DEPENDENCYPART_SIBL
(18,26),(18,28),0.013687 # DEPENDENCYPART_SIBL
(18,26),(18,29),0.0991393 # DEPENDENCYPART_SIBL
(18,26),(18,30),0.122616 # DEPENDENCYPART_SIBL
(18,27),(18,28),0.0629239 # DEPENDENCYPART_SIBL
(18,27),(18,29),0.0489244 # DEPENDENCYPART_SIBL
(18,27),(18,30),0.101593 # DEPENDENCYPART_SIBL
(18,28),(18,29),0.00753108 # DEPENDENCYPART_SIBL
(18,28),(18,30),0.0160164 # DEPENDENCYPART_SIBL
(18,29),(18,30),0.0614574 # DEPENDENCYPART_SIBL
(22,3),(22,4),-0.107698 # DEPENDENCYPART_SIBL
(22,3),(22,5),-0.107698 # DEPENDENCYPART_SIBL
(22,3),(22,6),0.139561 # DEPENDENCYPART_SIBL
(22,3),(22,8),0.183586 # DEPENDENCYPART_SIBL
(22,3),(22,11),-0.107706 # DEPENDENCYPART_SIBL
(22,3),(22,12),0.348925 # DEPENDENCYPART_SIBL
(22,3),(22,14),-0.107698 # DEPENDENCYPART_SIBL
