# _root_ Amiből még olyan következtetést is le lehet vonni , hogy nem is maga a szabadság olyan fontos és nélkülözhetetlen az emberfajtának , hanem a szabadság utáni vágy : a szabadság szivárványos képe .
#goldHeads=8,8,4,8,8,7,0,7,7,7,12,3,12,15,13,17,19,19,12,21,12,3,3,25,26,27,3,27,30,32,32,27,7,
#predictedHeads=7,7,4,8,7,7,0,7,7,7,12,23,15,15,12,17,19,19,23,21,26,23,7,25,26,27,23,27,30,32,32,27,7,
(8,11),(8,19),0.0789895 # DEPENDENCYPART_SIBL
(8,11),(8,22),0.00764475 # DEPENDENCYPART_SIBL
(8,11),(8,23),-0.00148354 # DEPENDENCYPART_SIBL
(8,11),(8,27),0.0333089 # DEPENDENCYPART_SIBL
(8,11),(8,28),0.0592756 # DEPENDENCYPART_SIBL
(8,11),(8,32),0.0316457 # DEPENDENCYPART_SIBL
(8,11),(8,33),-0.00234336 # DEPENDENCYPART_SIBL
(8,12),(8,13),0.144913 # DEPENDENCYPART_SIBL
(8,12),(8,16),0.0559761 # DEPENDENCYPART_SIBL
(8,12),(8,17),0.152544 # DEPENDENCYPART_SIBL
(8,12),(8,18),0.0560532 # DEPENDENCYPART_SIBL
(8,12),(8,19),0.153072 # DEPENDENCYPART_SIBL
(8,12),(8,22),0.0920865 # DEPENDENCYPART_SIBL
(8,12),(8,23),0.0708265 # DEPENDENCYPART_SIBL
(8,12),(8,27),0.0638491 # DEPENDENCYPART_SIBL
(8,12),(8,28),0.137558 # DEPENDENCYPART_SIBL
(8,12),(8,32),0.0621859 # DEPENDENCYPART_SIBL
(8,12),(8,33),0.00353052 # DEPENDENCYPART_SIBL
(8,13),(8,16),0.026256 # DEPENDENCYPART_SIBL
(8,13),(8,17),0.0723197 # DEPENDENCYPART_SIBL
(8,13),(8,18),-0.00211721 # DEPENDENCYPART_SIBL
(8,13),(8,19),0.0727737 # DEPENDENCYPART_SIBL
(8,13),(8,22),0.00405658 # DEPENDENCYPART_SIBL
(8,13),(8,23),0.0703343 # DEPENDENCYPART_SIBL
(8,13),(8,27),0.00717115 # DEPENDENCYPART_SIBL
(8,13),(8,28),0.0255366 # DEPENDENCYPART_SIBL
(8,13),(8,32),0.0037611 # DEPENDENCYPART_SIBL
(8,13),(8,33),0.00621593 # DEPENDENCYPART_SIBL
(8,16),(8,17),-0.0130788 # DEPENDENCYPART_SIBL
(8,16),(8,18),-0.0954531 # DEPENDENCYPART_SIBL
(8,16),(8,19),-0.0126298 # DEPENDENCYPART_SIBL
(8,16),(8,22),-0.072295 # DEPENDENCYPART_SIBL
(8,16),(8,23),-0.0813741 # DEPENDENCYPART_SIBL
(8,16),(8,27),-0.0487113 # DEPENDENCYPART_SIBL
(8,16),(8,28),-0.00465327 # DEPENDENCYPART_SIBL
(8,16),(8,32),-0.0503745 # DEPENDENCYPART_SIBL
(8,16),(8,33),-0.0777099 # DEPENDENCYPART_SIBL
(8,17),(8,18),-0.0140932 # DEPENDENCYPART_SIBL
(8,17),(8,19),-0.0319007 # DEPENDENCYPART_SIBL
(8,17),(8,22),0.0133508 # DEPENDENCYPART_SIBL
(8,17),(8,23),0.029239 # DEPENDENCYPART_SIBL
(8,17),(8,27),-0.0212156 # DEPENDENCYPART_SIBL
(8,17),(8,28),0.0325793 # DEPENDENCYPART_SIBL
(8,17),(8,32),-0.0246596 # DEPENDENCYPART_SIBL
(8,17),(8,33),0.00345515 # DEPENDENCYPART_SIBL
(8,18),(8,19),0.0299393 # DEPENDENCYPART_SIBL
(8,18),(8,22),-0.00243603 # DEPENDENCYPART_SIBL
(8,18),(8,23),0.027006 # DEPENDENCYPART_SIBL
(8,18),(8,27),0.107603 # DEPENDENCYPART_SIBL
(8,18),(8,28),-0.00357856 # DEPENDENCYPART_SIBL
(8,18),(8,32),0.10151 # DEPENDENCYPART_SIBL
(8,18),(8,33),0.0034006 # DEPENDENCYPART_SIBL
(8,19),(8,22),-0.000360748 # DEPENDENCYPART_SIBL
(8,19),(8,23),0.023759 # DEPENDENCYPART_SIBL
(8,19),(8,27),-0.0236273 # DEPENDENCYPART_SIBL
(8,19),(8,28),0.0153579 # DEPENDENCYPART_SIBL
(8,19),(8,32),-0.0270714 # DEPENDENCYPART_SIBL
(8,19),(8,33),-0.0109017 # DEPENDENCYPART_SIBL
(8,22),(8,23),0.363957 # DEPENDENCYPART_SIBL
(8,22),(8,27),0.0764876 # DEPENDENCYPART_SIBL
(8,22),(8,28),-0.0238664 # DEPENDENCYPART_SIBL
(8,22),(8,32),0.067082 # DEPENDENCYPART_SIBL
(8,22),(8,33),0.0488968 # DEPENDENCYPART_SIBL
(8,23),(8,27),0.0479339 # DEPENDENCYPART_SIBL
(8,23),(8,28),-0.0228366 # DEPENDENCYPART_SIBL
(8,23),(8,32),0.041841 # DEPENDENCYPART_SIBL
(8,23),(8,33),0.000572394 # DEPENDENCYPART_SIBL
(8,27),(8,28),0.0161269 # DEPENDENCYPART_SIBL
(8,27),(8,32),-0.0255503 # DEPENDENCYPART_SIBL
(8,27),(8,33),-1.98462e-05 # DEPENDENCYPART_SIBL
(8,28),(8,32),-0.0323645 # DEPENDENCYPART_SIBL
(8,28),(8,33),0.425653 # DEPENDENCYPART_SIBL
(8,32),(8,33),-0.00903881 # DEPENDENCYPART_SIBL
(10,1),(10,2),0.0524217 # DEPENDENCYPART_SIBL
(10,1),(10,3),-0.0689743 # DEPENDENCYPART_SIBL
(10,1),(10,4),0.011436 # DEPENDENCYPART_SIBL
(10,1),(10,5),0.118603 # DEPENDENCYPART_SIBL
(10,1),(10,7),0.00980524 # DEPENDENCYPART_SIBL
(10,1),(10,8),0.016498 # DEPENDENCYPART_SIBL
(10,1),(10,9),0.310808 # DEPENDENCYPART_SIBL
(10,1),(10,11),0.0852185 # DEPENDENCYPART_SIBL
(10,1),(10,12),0.0584319 # DEPENDENCYPART_SIBL
(10,1),(10,13),0.037913 # DEPENDENCYPART_SIBL
(10,1),(10,18),0.0271678 # DEPENDENCYPART_SIBL
(10,1),(10,23),0.0969286 # DEPENDENCYPART_SIBL
(10,1),(10,28),0.0581428 # DEPENDENCYPART_SIBL
(10,1),(10,33),0.0450801 # DEPENDENCYPART_SIBL
(10,2),(10,3),0.0032261 # DEPENDENCYPART_SIBL
(10,2),(10,4),0.0755305 # DEPENDENCYPART_SIBL
(10,2),(10,5),0.159911 # DEPENDENCYPART_SIBL
(10,2),(10,7),0.0292672 # DEPENDENCYPART_SIBL
(10,2),(10,8),0.0368709 # DEPENDENCYPART_SIBL
(10,2),(10,9),0.299502 # DEPENDENCYPART_SIBL
(10,2),(10,11),-0.000657246 # DEPENDENCYPART_SIBL
(10,2),(10,12),-0.0565062 # DEPENDENCYPART_SIBL
(10,2),(10,13),-0.0153012 # DEPENDENCYPART_SIBL
(10,2),(10,18),0.0354822 # DEPENDENCYPART_SIBL
(10,2),(10,23),0.062829 # DEPENDENCYPART_SIBL
(10,2),(10,28),-0.0388766 # DEPENDENCYPART_SIBL
(10,2),(10,33),-0.013873 # DEPENDENCYPART_SIBL
(10,3),(10,4),-0.0117142 # DEPENDENCYPART_SIBL
(10,3),(10,5),0.101819 # DEPENDENCYPART_SIBL
(10,3),(10,7),0.0115503 # DEPENDENCYPART_SIBL
(10,3),(10,8),0.0182411 # DEPENDENCYPART_SIBL
(10,3),(10,9),0.341123 # DEPENDENCYPART_SIBL
(10,3),(10,11),0.0945004 # DEPENDENCYPART_SIBL
(10,3),(10,12),0.0667743 # DEPENDENCYPART_SIBL
(10,3),(10,13),0.0430552 # DEPENDENCYPART_SIBL
(10,3),(10,18),0.0306835 # DEPENDENCYPART_SIBL
(10,3),(10,23),0.0973158 # DEPENDENCYPART_SIBL
(10,3),(10,28),0.0739243 # DEPENDENCYPART_SIBL
(10,3),(10,33),0.0386814 # DEPENDENCYPART_SIBL
(10,4),(10,5),0.0119847 # DEPENDENCYPART_SIBL
(10,4),(10,7),0.0318896 # DEPENDENCYPART_SIBL
(10,4),(10,8),0.030814 # DEPENDENCYPART_SIBL
(10,4),(10,9),0.389874 # DEPENDENCYPART_SIBL
(10,4),(10,11),0.0314501 # DEPENDENCYPART_SIBL
(10,4),(10,12),-0.000441571 # DEPENDENCYPART_SIBL
(10,4),(10,13),-0.0104722 # DEPENDENCYPART_SIBL
(10,4),(10,18),0.0436853 # DEPENDENCYPART_SIBL
(10,4),(10,23),0.0484193 # DEPENDENCYPART_SIBL
(10,4),(10,28),-0.00805818 # DEPENDENCYPART_SIBL
(10,4),(10,33),0.13343 # DEPENDENCYPART_SIBL
(10,5),(10,7),0.0537533 # DEPENDENCYPART_SIBL
(10,5),(10,8),0.0674078 # DEPENDENCYPART_SIBL
(10,5),(10,9),0.164619 # DEPENDENCYPART_SIBL
(10,5),(10,11),0.00405379 # DEPENDENCYPART_SIBL
(10,5),(10,12),-0.0359065 # DEPENDENCYPART_SIBL
(10,5),(10,13),-0.0133316 # DEPENDENCYPART_SIBL
(10,5),(10,18),0.04517 # DEPENDENCYPART_SIBL
(10,5),(10,23),0.0755507 # DEPENDENCYPART_SIBL
(10,5),(10,28),-0.00384703 # DEPENDENCYPART_SIBL
(10,5),(10,33),0.0482174 # DEPENDENCYPART_SIBL
(10,7),(10,8),-0.010981 # DEPENDENCYPART_SIBL
(10,7),(10,9),0.463605 # DEPENDENCYPART_SIBL
(10,7),(10,11),-0.0132571 # DEPENDENCYPART_SIBL
(10,7),(10,12),-0.04716 # DEPENDENCYPART_SIBL
(10,7),(10,13),-0.0858285 # DEPENDENCYPART_SIBL
(10,7),(10,18),-0.0537363 # DEPENDENCYPART_SIBL
(10,7),(10,23),0.00760499 # DEPENDENCYPART_SIBL
(10,7),(10,28),-0.141365 # DEPENDENCYPART_SIBL
(10,7),(10,33),0.0340612 # DEPENDENCYPART_SIBL
(10,8),(10,9),0.433239 # DEPENDENCYPART_SIBL
(10,8),(10,11),-0.00412745 # DEPENDENCYPART_SIBL
(10,8),(10,12),-0.0332083 # DEPENDENCYPART_SIBL
(10,8),(10,13),-0.070233 # DEPENDENCYPART_SIBL
(10,8),(10,18),-0.0309494 # DEPENDENCYPART_SIBL
(10,8),(10,23),0.027339 # DEPENDENCYPART_SIBL
(10,8),(10,28),-0.109287 # DEPENDENCYPART_SIBL
(10,8),(10,33),0.0402406 # DEPENDENCYPART_SIBL
(10,9),(10,11),0.12063 # DEPENDENCYPART_SIBL
(10,9),(10,12),0.0768402 # DEPENDENCYPART_SIBL
(10,9),(10,13),0.037039 # DEPENDENCYPART_SIBL
(10,9),(10,18),0.0928697 # DEPENDENCYPART_SIBL
(10,9),(10,23),0.203253 # DEPENDENCYPART_SIBL
(10,9),(10,28),0.0152889 # DEPENDENCYPART_SIBL
(10,9),(10,33),0.213472 # DEPENDENCYPART_SIBL
(10,11),(10,12),-0.00449214 # DEPENDENCYPART_SIBL
(10,11),(10,13),0.0711746 # DEPENDENCYPART_SIBL
(10,11),(10,18),-0.0655592 # DEPENDENCYPART_SIBL
(10,11),(10,23),-0.0731281 # DEPENDENCYPART_SIBL
(10,11),(10,28),0.0805434 # DEPENDENCYPART_SIBL
(10,11),(10,33),0.0238569 # DEPENDENCYPART_SIBL
(10,12),(10,13),0.091368 # DEPENDENCYPART_SIBL
(10,12),(10,18),-0.0454673 # DEPENDENCYPART_SIBL
(10,12),(10,23),-0.0585933 # DEPENDENCYPART_SIBL
(10,12),(10,28),0.0935062 # DEPENDENCYPART_SIBL
(10,12),(10,33),-0.0170065 # DEPENDENCYPART_SIBL
(10,13),(10,18),-0.0508041 # DEPENDENCYPART_SIBL
(10,13),(10,23),-0.0330998 # DEPENDENCYPART_SIBL
(10,13),(10,28),0.0063759 # DEPENDENCYPART_SIBL
(10,13),(10,33),0.0365408 # DEPENDENCYPART_SIBL
(10,18),(10,23),-0.0964549 # DEPENDENCYPART_SIBL
(10,18),(10,28),-0.0104057 # DEPENDENCYPART_SIBL
(10,18),(10,33),0.0554381 # DEPENDENCYPART_SIBL
(10,23),(10,28),0.00285318 # DEPENDENCYPART_SIBL
(10,23),(10,33),0.0755747 # DEPENDENCYPART_SIBL
(10,28),(10,33),0.406105 # DEPENDENCYPART_SIBL
(11,10),(11,33),0.132256 # DEPENDENCYPART_SIBL
(12,8),(12,9),0.356712 # DEPENDENCYPART_SIBL
(12,8),(12,10),0.00753311 # DEPENDENCYPART_SIBL
(12,8),(12,11),0.204027 # DEPENDENCYPART_SIBL
(12,8),(12,15),0.0979843 # DEPENDENCYPART_SIBL
(12,8),(12,16),-0.0259606 # DEPENDENCYPART_SIBL
(12,8),(12,32),0.0947114 # DEPENDENCYPART_SIBL
(12,9),(12,10),-0.00621613 # DEPENDENCYPART_SIBL
(12,9),(12,11),0.115368 # DEPENDENCYPART_SIBL
(12,9),(12,15),0.0791398 # DEPENDENCYPART_SIBL
(12,9),(12,16),-0.0504697 # DEPENDENCYPART_SIBL
(12,9),(12,32),0.0738321 # DEPENDENCYPART_SIBL
(12,10),(12,11),0.180878 # DEPENDENCYPART_SIBL
(12,10),(12,15),0.123151 # DEPENDENCYPART_SIBL
(12,10),(12,16),-0.00287295 # DEPENDENCYPART_SIBL
(12,10),(12,32),0.12144 # DEPENDENCYPART_SIBL
(12,11),(12,15),0.255687 # DEPENDENCYPART_SIBL
(12,11),(12,16),0.0228753 # DEPENDENCYPART_SIBL
(12,11),(12,32),0.255222 # DEPENDENCYPART_SIBL
(12,15),(12,16),0.100819 # DEPENDENCYPART_SIBL
(12,15),(12,32),0.00769991 # DEPENDENCYPART_SIBL
(12,16),(12,32),0.00700885 # DEPENDENCYPART_SIBL
(13,7),(13,8),0.0516377 # DEPENDENCYPART_SIBL
(13,7),(13,10),0.0797651 # DEPENDENCYPART_SIBL
(13,7),(13,15),0.03821 # DEPENDENCYPART_SIBL
(13,7),(13,17),0.00377601 # DEPENDENCYPART_SIBL
(13,7),(13,21),0.0383678 # DEPENDENCYPART_SIBL
(13,7),(13,25),0.03821 # DEPENDENCYPART_SIBL
(13,7),(13,27),0.0383678 # DEPENDENCYPART_SIBL
(13,7),(13,30),0.03821 # DEPENDENCYPART_SIBL
(13,7),(13,32),0.036569 # DEPENDENCYPART_SIBL
(13,7),(13,33),0.0678805 # DEPENDENCYPART_SIBL
(13,8),(13,10),0.0821512 # DEPENDENCYPART_SIBL
(13,8),(13,15),0.0382872 # DEPENDENCYPART_SIBL
(13,8),(13,17),0.00675684 # DEPENDENCYPART_SIBL
(13,8),(13,21),0.038445 # DEPENDENCYPART_SIBL
(13,8),(13,25),0.0382872 # DEPENDENCYPART_SIBL
(13,8),(13,27),0.038445 # DEPENDENCYPART_SIBL
(13,8),(13,30),0.0382872 # DEPENDENCYPART_SIBL
(13,8),(13,32),0.0366461 # DEPENDENCYPART_SIBL
(13,8),(13,33),0.0640536 # DEPENDENCYPART_SIBL
(13,10),(13,15),0.0508607 # DEPENDENCYPART_SIBL
(13,10),(13,17),0.00852738 # DEPENDENCYPART_SIBL
(13,10),(13,21),0.0512384 # DEPENDENCYPART_SIBL
(13,10),(13,25),0.0508607 # DEPENDENCYPART_SIBL
(13,10),(13,27),0.0512384 # DEPENDENCYPART_SIBL
(13,10),(13,30),0.0508607 # DEPENDENCYPART_SIBL
(13,10),(13,32),0.0507526 # DEPENDENCYPART_SIBL
(13,10),(13,33),0.0880702 # DEPENDENCYPART_SIBL
(13,15),(13,17),0.112142 # DEPENDENCYPART_SIBL
(13,15),(13,21),0.00859945 # DEPENDENCYPART_SIBL
(13,15),(13,25),0.0101097 # DEPENDENCYPART_SIBL
(13,15),(13,27),0.00859945 # DEPENDENCYPART_SIBL
(13,15),(13,30),0.0101097 # DEPENDENCYPART_SIBL
(13,15),(13,32),0.00704826 # DEPENDENCYPART_SIBL
(13,15),(13,33),0.099727 # DEPENDENCYPART_SIBL
(13,17),(13,21),0.0231977 # DEPENDENCYPART_SIBL
(13,17),(13,25),0.0229292 # DEPENDENCYPART_SIBL
(13,17),(13,27),0.0231977 # DEPENDENCYPART_SIBL
(13,17),(13,30),0.0229292 # DEPENDENCYPART_SIBL
(13,17),(13,32),0.0231636 # DEPENDENCYPART_SIBL
(13,17),(13,33),0.0893714 # DEPENDENCYPART_SIBL
(13,21),(13,25),0.0105997 # DEPENDENCYPART_SIBL
(13,21),(13,27),0.00908939 # DEPENDENCYPART_SIBL
(13,21),(13,30),0.0105997 # DEPENDENCYPART_SIBL
(13,21),(13,32),0.00753821 # DEPENDENCYPART_SIBL
(13,21),(13,33),0.101883 # DEPENDENCYPART_SIBL
(13,25),(13,27),0.00859945 # DEPENDENCYPART_SIBL
(13,25),(13,30),0.0101097 # DEPENDENCYPART_SIBL
(13,25),(13,32),0.00704826 # DEPENDENCYPART_SIBL
(13,25),(13,33),0.099727 # DEPENDENCYPART_SIBL
(13,27),(13,30),0.0105997 # DEPENDENCYPART_SIBL
(13,27),(13,32),0.00753821 # DEPENDENCYPART_SIBL
(13,27),(13,33),0.101883 # DEPENDENCYPART_SIBL
(13,30),(13,32),0.00704826 # DEPENDENCYPART_SIBL
(13,30),(13,33),0.099727 # DEPENDENCYPART_SIBL
(13,32),(13,33),0.115418 # DEPENDENCYPART_SIBL
(15,3),(15,12),0.0343751 # DEPENDENCYPART_SIBL
(15,3),(15,13),-0.0570772 # DEPENDENCYPART_SIBL
(15,3),(15,14),0.0523293 # DEPENDENCYPART_SIBL
(15,12),(15,13),-0.0137537 # DEPENDENCYPART_SIBL
(15,12),(15,14),-0.444733 # DEPENDENCYPART_SIBL
(15,13),(15,14),-0.0551349 # DEPENDENCYPART_SIBL
(16,7),(16,8),0.130282 # DEPENDENCYPART_SIBL
(16,7),(16,10),0.0864753 # DEPENDENCYPART_SIBL
(16,7),(16,11),0.196152 # DEPENDENCYPART_SIBL
(16,7),(16,12),0.150158 # DEPENDENCYPART_SIBL
(16,7),(16,15),0.117695 # DEPENDENCYPART_SIBL
(16,7),(16,17),0.0845389 # DEPENDENCYPART_SIBL
(16,7),(16,19),0.0810802 # DEPENDENCYPART_SIBL
(16,7),(16,21),0.102019 # DEPENDENCYPART_SIBL
(16,7),(16,27),0.102019 # DEPENDENCYPART_SIBL
(16,7),(16,30),0.101861 # DEPENDENCYPART_SIBL
(16,7),(16,32),0.0985886 # DEPENDENCYPART_SIBL
(16,7),(16,33),0.141897 # DEPENDENCYPART_SIBL
(16,8),(16,10),0.071775 # DEPENDENCYPART_SIBL
(16,8),(16,11),0.176888 # DEPENDENCYPART_SIBL
(16,8),(16,12),0.132586 # DEPENDENCYPART_SIBL
(16,8),(16,15),0.118286 # DEPENDENCYPART_SIBL
(16,8),(16,17),0.0812418 # DEPENDENCYPART_SIBL
(16,8),(16,19),0.0777831 # DEPENDENCYPART_SIBL
(16,8),(16,21),0.0944997 # DEPENDENCYPART_SIBL
(16,8),(16,27),0.0944997 # DEPENDENCYPART_SIBL
(16,8),(16,30),0.0943419 # DEPENDENCYPART_SIBL
(16,8),(16,32),0.091069 # DEPENDENCYPART_SIBL
(16,8),(16,33),0.124333 # DEPENDENCYPART_SIBL
(16,10),(16,11),0.130809 # DEPENDENCYPART_SIBL
(16,10),(16,12),0.104691 # DEPENDENCYPART_SIBL
(16,10),(16,15),0.0390275 # DEPENDENCYPART_SIBL
(16,10),(16,17),0.0224738 # DEPENDENCYPART_SIBL
(16,10),(16,19),0.0193051 # DEPENDENCYPART_SIBL
(16,10),(16,21),0.041521 # DEPENDENCYPART_SIBL
(16,10),(16,27),0.041521 # DEPENDENCYPART_SIBL
(16,10),(16,30),0.0411433 # DEPENDENCYPART_SIBL
(16,10),(16,32),0.0394326 # DEPENDENCYPART_SIBL
(16,10),(16,33),0.0735549 # DEPENDENCYPART_SIBL
(16,11),(16,12),0.22506 # DEPENDENCYPART_SIBL
(16,11),(16,15),0.186107 # DEPENDENCYPART_SIBL
(16,11),(16,17),0.0911637 # DEPENDENCYPART_SIBL
(16,11),(16,19),0.0863777 # DEPENDENCYPART_SIBL
(16,11),(16,21),0.122104 # DEPENDENCYPART_SIBL
(16,11),(16,27),0.122104 # DEPENDENCYPART_SIBL
(16,11),(16,30),0.123646 # DEPENDENCYPART_SIBL
(16,11),(16,32),0.123181 # DEPENDENCYPART_SIBL
(16,11),(16,33),0.192296 # DEPENDENCYPART_SIBL
(16,12),(16,15),0.17957 # DEPENDENCYPART_SIBL
(16,12),(16,17),0.0877251 # DEPENDENCYPART_SIBL
(16,12),(16,19),0.0829469 # DEPENDENCYPART_SIBL
(16,12),(16,21),0.126341 # DEPENDENCYPART_SIBL
(16,12),(16,27),0.126341 # DEPENDENCYPART_SIBL
(16,12),(16,30),0.127884 # DEPENDENCYPART_SIBL
(16,12),(16,32),0.127419 # DEPENDENCYPART_SIBL
(16,12),(16,33),0.129785 # DEPENDENCYPART_SIBL
(16,15),(16,17),0.0899622 # DEPENDENCYPART_SIBL
(16,15),(16,19),0.0887541 # DEPENDENCYPART_SIBL
(16,15),(16,21),0.0622491 # DEPENDENCYPART_SIBL
(16,15),(16,27),0.0622491 # DEPENDENCYPART_SIBL
(16,15),(16,30),0.0634614 # DEPENDENCYPART_SIBL
(16,15),(16,32),0.0587241 # DEPENDENCYPART_SIBL
(16,15),(16,33),-0.0125538 # DEPENDENCYPART_SIBL
(16,17),(16,19),0.0128424 # DEPENDENCYPART_SIBL
(16,17),(16,21),0.0126648 # DEPENDENCYPART_SIBL
(16,17),(16,27),0.0126648 # DEPENDENCYPART_SIBL
(16,17),(16,30),0.0123963 # DEPENDENCYPART_SIBL
(16,17),(16,32),0.0125114 # DEPENDENCYPART_SIBL
(16,17),(16,33),-0.0168705 # DEPENDENCYPART_SIBL
(16,19),(16,21),0.0133151 # DEPENDENCYPART_SIBL
(16,19),(16,27),0.0133151 # DEPENDENCYPART_SIBL
(16,19),(16,30),0.0130467 # DEPENDENCYPART_SIBL
(16,19),(16,32),0.0131617 # DEPENDENCYPART_SIBL
(16,19),(16,33),-0.0283767 # DEPENDENCYPART_SIBL
(16,21),(16,27),-0.00209668 # DEPENDENCYPART_SIBL
(16,21),(16,30),-0.000586374 # DEPENDENCYPART_SIBL
(16,21),(16,32),-0.00376725 # DEPENDENCYPART_SIBL
(16,21),(16,33),-0.0279771 # DEPENDENCYPART_SIBL
(16,27),(16,30),-0.000586374 # DEPENDENCYPART_SIBL
(16,27),(16,32),-0.00376725 # DEPENDENCYPART_SIBL
(16,27),(16,33),-0.0279771 # DEPENDENCYPART_SIBL
(16,30),(16,32),-0.00426181 # DEPENDENCYPART_SIBL
(16,30),(16,33),-0.0301374 # DEPENDENCYPART_SIBL
(16,32),(16,33),-0.0297821 # DEPENDENCYPART_SIBL
(17,3),(17,11),0.135826 # DEPENDENCYPART_SIBL
(17,3),(17,12),0.153225 # DEPENDENCYPART_SIBL
(17,3),(17,13),-0.00686843 # DEPENDENCYPART_SIBL
(17,3),(17,14),0.0758833 # DEPENDENCYPART_SIBL
(17,3),(17,15),0.0310837 # DEPENDENCYPART_SIBL
(17,3),(17,16),0.0450302 # DEPENDENCYPART_SIBL
(17,11),(17,12),0.261148 # DEPENDENCYPART_SIBL
(17,11),(17,13),0.0756706 # DEPENDENCYPART_SIBL
(17,11),(17,14),-0.106431 # DEPENDENCYPART_SIBL
(17,11),(17,15),0.130544 # DEPENDENCYPART_SIBL
(17,11),(17,16),0.0203444 # DEPENDENCYPART_SIBL
(17,12),(17,13),0.0599135 # DEPENDENCYPART_SIBL
(17,12),(17,14),-0.112515 # DEPENDENCYPART_SIBL
(17,12),(17,15),0.127583 # DEPENDENCYPART_SIBL
(17,12),(17,16),-0.0313696 # DEPENDENCYPART_SIBL
(17,13),(17,14),0.0426616 # DEPENDENCYPART_SIBL
(17,13),(17,15),0.0657171 # DEPENDENCYPART_SIBL
(17,13),(17,16),0.0582899 # DEPENDENCYPART_SIBL
(17,14),(17,15),0.0715806 # DEPENDENCYPART_SIBL
(17,14),(17,16),-0.039394 # DEPENDENCYPART_SIBL
(17,15),(17,16),0.0921038 # DEPENDENCYPART_SIBL
(18,2),(18,3),-0.0130973 # DEPENDENCYPART_SIBL
(18,2),(18,5),0.182002 # DEPENDENCYPART_SIBL
(18,2),(18,7),0.00356399 # DEPENDENCYPART_SIBL
(18,2),(18,8),0.0121813 # DEPENDENCYPART_SIBL
(18,2),(18,9),0.192797 # DEPENDENCYPART_SIBL
(18,2),(18,10),0.22258 # DEPENDENCYPART_SIBL
(18,2),(18,11),0.00483901 # DEPENDENCYPART_SIBL
(18,2),(18,12),0.091553 # DEPENDENCYPART_SIBL
(18,2),(18,13),0.0381179 # DEPENDENCYPART_SIBL
(18,2),(18,14),-0.069688 # DEPENDENCYPART_SIBL
(18,2),(18,15),0.0394853 # DEPENDENCYPART_SIBL
(18,2),(18,16),-0.05372 # DEPENDENCYPART_SIBL
(18,2),(18,17),-0.037804 # DEPENDENCYPART_SIBL
(18,2),(18,19),0.0407301 # DEPENDENCYPART_SIBL
(18,2),(18,21),0.0266487 # DEPENDENCYPART_SIBL
(18,2),(18,22),-0.0546713 # DEPENDENCYPART_SIBL
(18,2),(18,23),0.00879789 # DEPENDENCYPART_SIBL
(18,2),(18,25),0.0281534 # DEPENDENCYPART_SIBL
(18,2),(18,27),0.0266487 # DEPENDENCYPART_SIBL
(18,2),(18,28),-0.0470084 # DEPENDENCYPART_SIBL
(18,2),(18,32),0.0251592 # DEPENDENCYPART_SIBL
(18,3),(18,5),0.139008 # DEPENDENCYPART_SIBL
(18,3),(18,7),0.0161459 # DEPENDENCYPART_SIBL
(18,3),(18,8),0.0243638 # DEPENDENCYPART_SIBL
(18,3),(18,9),0.315955 # DEPENDENCYPART_SIBL
(18,3),(18,10),0.150622 # DEPENDENCYPART_SIBL
(18,3),(18,11),0.0198478 # DEPENDENCYPART_SIBL
(18,3),(18,12),0.0750217 # DEPENDENCYPART_SIBL
(18,3),(18,13),-0.0428888 # DEPENDENCYPART_SIBL
(18,3),(18,14),0.16165 # DEPENDENCYPART_SIBL
(18,3),(18,15),-0.0192186 # DEPENDENCYPART_SIBL
(18,3),(18,16),0.00661943 # DEPENDENCYPART_SIBL
(18,3),(18,17),0.00701539 # DEPENDENCYPART_SIBL
(18,3),(18,19),0.0214472 # DEPENDENCYPART_SIBL
(18,3),(18,21),0.0479613 # DEPENDENCYPART_SIBL
(18,3),(18,22),0.0124196 # DEPENDENCYPART_SIBL
(18,3),(18,23),0.0264392 # DEPENDENCYPART_SIBL
(18,3),(18,25),0.0477132 # DEPENDENCYPART_SIBL
(18,3),(18,27),0.0479613 # DEPENDENCYPART_SIBL
(18,3),(18,28),0.0280123 # DEPENDENCYPART_SIBL
(18,3),(18,32),0.0438562 # DEPENDENCYPART_SIBL
(18,5),(18,7),-0.00185794 # DEPENDENCYPART_SIBL
(18,5),(18,8),0.0156274 # DEPENDENCYPART_SIBL
(18,5),(18,9),0.0456468 # DEPENDENCYPART_SIBL
(18,5),(18,10),0.101474 # DEPENDENCYPART_SIBL
(18,5),(18,11),-0.106115 # DEPENDENCYPART_SIBL
(18,5),(18,12),-0.0915316 # DEPENDENCYPART_SIBL
(18,5),(18,13),-0.0625192 # DEPENDENCYPART_SIBL
(18,5),(18,14),-0.0655222 # DEPENDENCYPART_SIBL
(18,5),(18,15),-0.0685172 # DEPENDENCYPART_SIBL
(18,5),(18,16),-0.0975142 # DEPENDENCYPART_SIBL
(18,5),(18,17),0.00345296 # DEPENDENCYPART_SIBL
(18,5),(18,19),-0.00272384 # DEPENDENCYPART_SIBL
(18,5),(18,21),-0.0343361 # DEPENDENCYPART_SIBL
(18,5),(18,22),-0.0124678 # DEPENDENCYPART_SIBL
(18,5),(18,23),0.0235728 # DEPENDENCYPART_SIBL
(18,5),(18,25),-0.0347517 # DEPENDENCYPART_SIBL
