# _root_ Érdekes helyzet volt : a vezetőség nem nagyon éreztette , hogy szükség van rám , és én se nagyon forszíroztam a dolgot .
#goldHeads=2,3,0,3,6,9,9,9,16,9,9,13,9,13,16,3,20,20,20,16,22,20,3,
#predictedHeads=2,3,16,3,6,9,9,9,16,9,9,13,9,13,16,0,20,20,20,16,22,20,16,
(7,4),(7,23),0.0294785 # DEPENDENCYPART_SIBL
(7,6),(7,9),0.0332525 # DEPENDENCYPART_SIBL
(7,6),(7,10),0.0305067 # DEPENDENCYPART_SIBL
(7,6),(7,11),0.0413256 # DEPENDENCYPART_SIBL
(7,6),(7,12),0.198345 # DEPENDENCYPART_SIBL
(7,6),(7,13),0.0644149 # DEPENDENCYPART_SIBL
(7,6),(7,16),0.0660153 # DEPENDENCYPART_SIBL
(7,6),(7,20),0.0332525 # DEPENDENCYPART_SIBL
(7,6),(7,23),0.101678 # DEPENDENCYPART_SIBL
(7,9),(7,10),0.0832049 # DEPENDENCYPART_SIBL
(7,9),(7,11),-0.00350529 # DEPENDENCYPART_SIBL
(7,9),(7,12),0.00374122 # DEPENDENCYPART_SIBL
(7,9),(7,13),-0.0208039 # DEPENDENCYPART_SIBL
(7,9),(7,16),0.0307975 # DEPENDENCYPART_SIBL
(7,9),(7,20),-0.0197833 # DEPENDENCYPART_SIBL
(7,9),(7,23),0.0567861 # DEPENDENCYPART_SIBL
(7,10),(7,11),0.333512 # DEPENDENCYPART_SIBL
(7,10),(7,12),-0.00547747 # DEPENDENCYPART_SIBL
(7,10),(7,13),0.247219 # DEPENDENCYPART_SIBL
(7,10),(7,16),0.0394483 # DEPENDENCYPART_SIBL
(7,10),(7,20),0.212649 # DEPENDENCYPART_SIBL
(7,10),(7,23),0.087121 # DEPENDENCYPART_SIBL
(7,11),(7,12),-0.0500056 # DEPENDENCYPART_SIBL
(7,11),(7,13),0.01455 # DEPENDENCYPART_SIBL
(7,11),(7,16),-0.0158572 # DEPENDENCYPART_SIBL
(7,11),(7,20),0.0307467 # DEPENDENCYPART_SIBL
(7,11),(7,23),0.103598 # DEPENDENCYPART_SIBL
(7,12),(7,13),0.027985 # DEPENDENCYPART_SIBL
(7,12),(7,16),0.0293156 # DEPENDENCYPART_SIBL
(7,12),(7,20),0.00494148 # DEPENDENCYPART_SIBL
(7,12),(7,23),0.0325904 # DEPENDENCYPART_SIBL
(7,13),(7,16),0.0228032 # DEPENDENCYPART_SIBL
(7,13),(7,20),-0.0093105 # DEPENDENCYPART_SIBL
(7,13),(7,23),0.0948651 # DEPENDENCYPART_SIBL
(7,16),(7,20),0.0067035 # DEPENDENCYPART_SIBL
(7,16),(7,23),0.0666401 # DEPENDENCYPART_SIBL
(7,20),(7,23),0.0567861 # DEPENDENCYPART_SIBL
(8,3),(8,4),0.252341 # DEPENDENCYPART_SIBL
(8,3),(8,6),0.113802 # DEPENDENCYPART_SIBL
(8,3),(8,7),0.176855 # DEPENDENCYPART_SIBL
(8,3),(8,10),-0.00872684 # DEPENDENCYPART_SIBL
(8,3),(8,12),0.0953132 # DEPENDENCYPART_SIBL
(8,3),(8,14),0.0178736 # DEPENDENCYPART_SIBL
(8,3),(8,20),0.0275639 # DEPENDENCYPART_SIBL
(8,3),(8,22),0.0974997 # DEPENDENCYPART_SIBL
(8,4),(8,6),0.00105565 # DEPENDENCYPART_SIBL
(8,4),(8,7),0.023784 # DEPENDENCYPART_SIBL
(8,4),(8,10),-0.0603901 # DEPENDENCYPART_SIBL
(8,4),(8,12),-0.00451513 # DEPENDENCYPART_SIBL
(8,4),(8,14),-0.00421663 # DEPENDENCYPART_SIBL
(8,4),(8,20),-0.00222129 # DEPENDENCYPART_SIBL
(8,4),(8,22),-0.0121491 # DEPENDENCYPART_SIBL
(8,6),(8,7),0.16336 # DEPENDENCYPART_SIBL
(8,6),(8,10),0.00444715 # DEPENDENCYPART_SIBL
(8,6),(8,12),0.0961343 # DEPENDENCYPART_SIBL
(8,6),(8,14),0.0417646 # DEPENDENCYPART_SIBL
(8,6),(8,20),0.0125229 # DEPENDENCYPART_SIBL
(8,6),(8,22),0.0923046 # DEPENDENCYPART_SIBL
(8,7),(8,10),0.0838792 # DEPENDENCYPART_SIBL
(8,7),(8,12),0.163306 # DEPENDENCYPART_SIBL
(8,7),(8,14),0.0384901 # DEPENDENCYPART_SIBL
(8,7),(8,20),0.118079 # DEPENDENCYPART_SIBL
(8,7),(8,22),0.143689 # DEPENDENCYPART_SIBL
(8,10),(8,12),0.0024499 # DEPENDENCYPART_SIBL
(8,10),(8,14),0.161175 # DEPENDENCYPART_SIBL
(8,10),(8,20),0.2307 # DEPENDENCYPART_SIBL
(8,10),(8,22),0.00293729 # DEPENDENCYPART_SIBL
(8,12),(8,14),0.0865214 # DEPENDENCYPART_SIBL
(8,12),(8,20),0.0336963 # DEPENDENCYPART_SIBL
(8,12),(8,22),-0.00120426 # DEPENDENCYPART_SIBL
(8,14),(8,20),0.0223368 # DEPENDENCYPART_SIBL
(8,14),(8,22),0.0438141 # DEPENDENCYPART_SIBL
(8,20),(8,22),0.0160259 # DEPENDENCYPART_SIBL
(9,1),(9,2),-0.00151802 # DEPENDENCYPART_SIBL
(9,1),(9,3),-0.00785392 # DEPENDENCYPART_SIBL
(9,1),(9,4),-0.0411806 # DEPENDENCYPART_SIBL
(9,1),(9,5),-0.201654 # DEPENDENCYPART_SIBL
(9,1),(9,6),-0.0161904 # DEPENDENCYPART_SIBL
(9,1),(9,7),-0.0238382 # DEPENDENCYPART_SIBL
(9,1),(9,8),-0.0833331 # DEPENDENCYPART_SIBL
(9,1),(9,10),0.0238886 # DEPENDENCYPART_SIBL
(9,1),(9,11),0.0388073 # DEPENDENCYPART_SIBL
(9,1),(9,12),0.0542158 # DEPENDENCYPART_SIBL
(9,1),(9,13),0.0195827 # DEPENDENCYPART_SIBL
(9,1),(9,14),0.0120806 # DEPENDENCYPART_SIBL
(9,1),(9,15),0.0238886 # DEPENDENCYPART_SIBL
(9,1),(9,16),-0.0374828 # DEPENDENCYPART_SIBL
(9,1),(9,17),0.0220746 # DEPENDENCYPART_SIBL
(9,1),(9,18),0.00278015 # DEPENDENCYPART_SIBL
(9,1),(9,19),-0.0214996 # DEPENDENCYPART_SIBL
(9,1),(9,20),0.00096807 # DEPENDENCYPART_SIBL
(9,1),(9,22),0.0075516 # DEPENDENCYPART_SIBL
(9,1),(9,23),0.00632538 # DEPENDENCYPART_SIBL
(9,2),(9,3),-0.0163093 # DEPENDENCYPART_SIBL
(9,2),(9,4),-0.0193403 # DEPENDENCYPART_SIBL
(9,2),(9,5),-0.0698614 # DEPENDENCYPART_SIBL
(9,2),(9,6),-0.0365681 # DEPENDENCYPART_SIBL
(9,2),(9,7),0.0264338 # DEPENDENCYPART_SIBL
(9,2),(9,8),-0.0918743 # DEPENDENCYPART_SIBL
(9,2),(9,10),-0.0181177 # DEPENDENCYPART_SIBL
(9,2),(9,11),-0.0137866 # DEPENDENCYPART_SIBL
(9,2),(9,12),0.0319133 # DEPENDENCYPART_SIBL
(9,2),(9,13),0.0335489 # DEPENDENCYPART_SIBL
(9,2),(9,14),-0.00505267 # DEPENDENCYPART_SIBL
(9,2),(9,15),-0.0181177 # DEPENDENCYPART_SIBL
(9,2),(9,16),-0.0382439 # DEPENDENCYPART_SIBL
(9,2),(9,17),-0.0360791 # DEPENDENCYPART_SIBL
(9,2),(9,18),-0.00931215 # DEPENDENCYPART_SIBL
(9,2),(9,19),-0.052105 # DEPENDENCYPART_SIBL
(9,2),(9,20),-0.0204496 # DEPENDENCYPART_SIBL
(9,2),(9,22),-0.0265709 # DEPENDENCYPART_SIBL
(9,2),(9,23),-0.0126273 # DEPENDENCYPART_SIBL
(9,3),(9,4),0.0649983 # DEPENDENCYPART_SIBL
(9,3),(9,5),-0.0560418 # DEPENDENCYPART_SIBL
(9,3),(9,6),-0.0236892 # DEPENDENCYPART_SIBL
(9,3),(9,7),0.0138203 # DEPENDENCYPART_SIBL
(9,3),(9,8),-0.0616341 # DEPENDENCYPART_SIBL
(9,3),(9,10),0.0163203 # DEPENDENCYPART_SIBL
(9,3),(9,11),-0.00224253 # DEPENDENCYPART_SIBL
(9,3),(9,12),0.0618873 # DEPENDENCYPART_SIBL
(9,3),(9,13),0.0150489 # DEPENDENCYPART_SIBL
(9,3),(9,14),0.016725 # DEPENDENCYPART_SIBL
(9,3),(9,15),0.0163203 # DEPENDENCYPART_SIBL
(9,3),(9,16),-0.00998123 # DEPENDENCYPART_SIBL
(9,3),(9,17),-0.017488 # DEPENDENCYPART_SIBL
(9,3),(9,18),0.00171776 # DEPENDENCYPART_SIBL
(9,3),(9,19),-0.0167721 # DEPENDENCYPART_SIBL
(9,3),(9,20),-0.0199966 # DEPENDENCYPART_SIBL
(9,3),(9,22),0.0153465 # DEPENDENCYPART_SIBL
(9,3),(9,23),0.0360938 # DEPENDENCYPART_SIBL
(9,4),(9,5),-0.094496 # DEPENDENCYPART_SIBL
(9,4),(9,6),-0.0742086 # DEPENDENCYPART_SIBL
(9,4),(9,7),-0.0718575 # DEPENDENCYPART_SIBL
(9,4),(9,8),-0.145601 # DEPENDENCYPART_SIBL
(9,4),(9,10),-0.0482493 # DEPENDENCYPART_SIBL
(9,4),(9,11),-0.0173471 # DEPENDENCYPART_SIBL
(9,4),(9,12),-0.066114 # DEPENDENCYPART_SIBL
(9,4),(9,13),0.0451423 # DEPENDENCYPART_SIBL
(9,4),(9,14),-0.0175308 # DEPENDENCYPART_SIBL
(9,4),(9,15),-0.0482493 # DEPENDENCYPART_SIBL
(9,4),(9,16),-0.0468537 # DEPENDENCYPART_SIBL
(9,4),(9,17),-0.0408196 # DEPENDENCYPART_SIBL
(9,4),(9,18),-0.0558771 # DEPENDENCYPART_SIBL
(9,4),(9,19),-0.0773904 # DEPENDENCYPART_SIBL
(9,4),(9,20),-0.0152756 # DEPENDENCYPART_SIBL
(9,4),(9,22),-0.132468 # DEPENDENCYPART_SIBL
(9,4),(9,23),-0.0209921 # DEPENDENCYPART_SIBL
(9,5),(9,6),0.0160642 # DEPENDENCYPART_SIBL
(9,5),(9,7),-0.0582499 # DEPENDENCYPART_SIBL
(9,5),(9,8),-0.106156 # DEPENDENCYPART_SIBL
(9,5),(9,10),-0.0377119 # DEPENDENCYPART_SIBL
(9,5),(9,11),-0.0259395 # DEPENDENCYPART_SIBL
(9,5),(9,12),0.0238992 # DEPENDENCYPART_SIBL
(9,5),(9,13),0.0175368 # DEPENDENCYPART_SIBL
(9,5),(9,14),0.0132006 # DEPENDENCYPART_SIBL
(9,5),(9,15),-0.0377119 # DEPENDENCYPART_SIBL
(9,5),(9,16),-0.0309529 # DEPENDENCYPART_SIBL
(9,5),(9,17),-0.02127 # DEPENDENCYPART_SIBL
(9,5),(9,18),0.00111342 # DEPENDENCYPART_SIBL
(9,5),(9,19),-0.0199066 # DEPENDENCYPART_SIBL
(9,5),(9,20),-0.0134258 # DEPENDENCYPART_SIBL
(9,5),(9,22),-0.0261301 # DEPENDENCYPART_SIBL
(9,5),(9,23),-0.0634118 # DEPENDENCYPART_SIBL
(9,6),(9,7),0.0267395 # DEPENDENCYPART_SIBL
(9,6),(9,8),-0.0910071 # DEPENDENCYPART_SIBL
(9,6),(9,10),-0.00644697 # DEPENDENCYPART_SIBL
(9,6),(9,11),-0.00296895 # DEPENDENCYPART_SIBL
(9,6),(9,12),0.047208 # DEPENDENCYPART_SIBL
(9,6),(9,13),0.0382391 # DEPENDENCYPART_SIBL
(9,6),(9,14),0.00751379 # DEPENDENCYPART_SIBL
(9,6),(9,15),-0.00644697 # DEPENDENCYPART_SIBL
(9,6),(9,16),-0.026401 # DEPENDENCYPART_SIBL
(9,6),(9,17),-0.0269689 # DEPENDENCYPART_SIBL
(9,6),(9,18),0.00325432 # DEPENDENCYPART_SIBL
(9,6),(9,19),-0.0395385 # DEPENDENCYPART_SIBL
(9,6),(9,20),-0.0157594 # DEPENDENCYPART_SIBL
(9,6),(9,22),-0.0112762 # DEPENDENCYPART_SIBL
(9,6),(9,23),0.00687801 # DEPENDENCYPART_SIBL
(9,7),(9,8),-0.133212 # DEPENDENCYPART_SIBL
(9,7),(9,10),-0.00959942 # DEPENDENCYPART_SIBL
(9,7),(9,11),0.033164 # DEPENDENCYPART_SIBL
(9,7),(9,12),0.0874258 # DEPENDENCYPART_SIBL
(9,7),(9,13),0.131627 # DEPENDENCYPART_SIBL
(9,7),(9,14),0.057258 # DEPENDENCYPART_SIBL
(9,7),(9,15),-0.00959942 # DEPENDENCYPART_SIBL
(9,7),(9,16),-0.0112051 # DEPENDENCYPART_SIBL
(9,7),(9,17),0.0338773 # DEPENDENCYPART_SIBL
(9,7),(9,18),0.0640671 # DEPENDENCYPART_SIBL
(9,7),(9,19),0.0135791 # DEPENDENCYPART_SIBL
(9,7),(9,20),0.0599421 # DEPENDENCYPART_SIBL
(9,7),(9,22),-0.00264958 # DEPENDENCYPART_SIBL
(9,7),(9,23),-0.00775645 # DEPENDENCYPART_SIBL
(9,8),(9,10),-0.152882 # DEPENDENCYPART_SIBL
(9,8),(9,11),-0.0757103 # DEPENDENCYPART_SIBL
(9,8),(9,12),-0.0452526 # DEPENDENCYPART_SIBL
(9,8),(9,13),-0.0786895 # DEPENDENCYPART_SIBL
(9,8),(9,14),-0.0783582 # DEPENDENCYPART_SIBL
(9,8),(9,15),-0.152882 # DEPENDENCYPART_SIBL
(9,8),(9,16),-0.119164 # DEPENDENCYPART_SIBL
(9,8),(9,17),-0.0739821 # DEPENDENCYPART_SIBL
(9,8),(9,18),-0.0770379 # DEPENDENCYPART_SIBL
(9,8),(9,19),-0.117929 # DEPENDENCYPART_SIBL
(9,8),(9,20),-0.138538 # DEPENDENCYPART_SIBL
(9,8),(9,22),-0.133148 # DEPENDENCYPART_SIBL
(9,8),(9,23),-0.156258 # DEPENDENCYPART_SIBL
(9,10),(9,11),0.81544 # DEPENDENCYPART_SIBL
(9,10),(9,12),0.0720313 # DEPENDENCYPART_SIBL
(9,10),(9,13),0.214474 # DEPENDENCYPART_SIBL
(9,10),(9,14),0.0970727 # DEPENDENCYPART_SIBL
(9,10),(9,15),-0.0129099 # DEPENDENCYPART_SIBL
(9,10),(9,16),0.0709146 # DEPENDENCYPART_SIBL
(9,10),(9,17),0.00575822 # DEPENDENCYPART_SIBL
(9,10),(9,18),0.12764 # DEPENDENCYPART_SIBL
(9,10),(9,19),0.0668243 # DEPENDENCYPART_SIBL
(9,10),(9,20),0.194562 # DEPENDENCYPART_SIBL
(9,10),(9,22),0.0738675 # DEPENDENCYPART_SIBL
(9,10),(9,23),0.0489202 # DEPENDENCYPART_SIBL
(9,11),(9,12),-0.0156428 # DEPENDENCYPART_SIBL
(9,11),(9,13),0.0798897 # DEPENDENCYPART_SIBL
(9,11),(9,14),0.0250157 # DEPENDENCYPART_SIBL
(9,11),(9,15),-0.0390228 # DEPENDENCYPART_SIBL
(9,11),(9,16),-0.0156822 # DEPENDENCYPART_SIBL
(9,11),(9,17),0.0557375 # DEPENDENCYPART_SIBL
(9,11),(9,18),0.0351741 # DEPENDENCYPART_SIBL
(9,11),(9,19),0.00239249 # DEPENDENCYPART_SIBL
(9,11),(9,20),0.108302 # DEPENDENCYPART_SIBL
(9,11),(9,22),-0.0147256 # DEPENDENCYPART_SIBL
(9,11),(9,23),0.124079 # DEPENDENCYPART_SIBL
(9,12),(9,13),0.0704901 # DEPENDENCYPART_SIBL
(9,12),(9,14),0.0374125 # DEPENDENCYPART_SIBL
(9,12),(9,15),0.119479 # DEPENDENCYPART_SIBL
(9,12),(9,16),0.0865975 # DEPENDENCYPART_SIBL
(9,12),(9,17),0.0706686 # DEPENDENCYPART_SIBL
(9,12),(9,18),0.0738771 # DEPENDENCYPART_SIBL
(9,12),(9,19),0.0178418 # DEPENDENCYPART_SIBL
(9,12),(9,20),0.0312121 # DEPENDENCYPART_SIBL
(9,12),(9,22),0.0157329 # DEPENDENCYPART_SIBL
(9,12),(9,23),0.0716371 # DEPENDENCYPART_SIBL
(9,13),(9,14),0.00912035 # DEPENDENCYPART_SIBL
(9,13),(9,15),0.0471953 # DEPENDENCYPART_SIBL
(9,13),(9,16),0.0316745 # DEPENDENCYPART_SIBL
(9,13),(9,17),-0.0327276 # DEPENDENCYPART_SIBL
(9,13),(9,18),0.0259081 # DEPENDENCYPART_SIBL
(9,13),(9,19),-0.0045269 # DEPENDENCYPART_SIBL
(9,13),(9,20),-0.000518797 # DEPENDENCYPART_SIBL
(9,13),(9,22),-0.0115148 # DEPENDENCYPART_SIBL
(9,13),(9,23),0.0511971 # DEPENDENCYPART_SIBL
(9,14),(9,15),0.00848062 # DEPENDENCYPART_SIBL
(9,14),(9,16),-0.0216843 # DEPENDENCYPART_SIBL
(9,14),(9,17),0.0135297 # DEPENDENCYPART_SIBL
(9,14),(9,18),0.00956365 # DEPENDENCYPART_SIBL
(9,14),(9,19),-0.0361312 # DEPENDENCYPART_SIBL
(9,14),(9,20),-0.0277387 # DEPENDENCYPART_SIBL
(9,14),(9,22),0.0299998 # DEPENDENCYPART_SIBL
(9,14),(9,23),-0.0152626 # DEPENDENCYPART_SIBL
(9,15),(9,16),0.0709146 # DEPENDENCYPART_SIBL
(9,15),(9,17),0.00575822 # DEPENDENCYPART_SIBL
(9,15),(9,18),0.12764 # DEPENDENCYPART_SIBL
(9,15),(9,19),0.0668243 # DEPENDENCYPART_SIBL
(9,15),(9,20),0.194562 # DEPENDENCYPART_SIBL
(9,15),(9,22),0.0738675 # DEPENDENCYPART_SIBL
(9,15),(9,23),0.0489202 # DEPENDENCYPART_SIBL
(9,16),(9,17),0.0653407 # DEPENDENCYPART_SIBL
(9,16),(9,18),0.0604225 # DEPENDENCYPART_SIBL
(9,16),(9,19),0.0243202 # DEPENDENCYPART_SIBL
(9,16),(9,20),0.0220002 # DEPENDENCYPART_SIBL
(9,16),(9,22),0.107233 # DEPENDENCYPART_SIBL
(9,16),(9,23),0.00340412 # DEPENDENCYPART_SIBL
(9,17),(9,18),0.0661341 # DEPENDENCYPART_SIBL
(9,17),(9,19),0.0264734 # DEPENDENCYPART_SIBL
(9,17),(9,20),-0.024409 # DEPENDENCYPART_SIBL
(9,17),(9,22),0.0184378 # DEPENDENCYPART_SIBL
(9,17),(9,23),0.000580314 # DEPENDENCYPART_SIBL
(9,18),(9,19),-0.00111232 # DEPENDENCYPART_SIBL
(9,18),(9,20),-6.58069e-05 # DEPENDENCYPART_SIBL
(9,18),(9,22),0.0770199 # DEPENDENCYPART_SIBL
(9,18),(9,23),0.0374748 # DEPENDENCYPART_SIBL
(9,19),(9,20),-0.0381131 # DEPENDENCYPART_SIBL
(9,19),(9,22),0.0189102 # DEPENDENCYPART_SIBL
(9,19),(9,23),-0.0310257 # DEPENDENCYPART_SIBL
(9,20),(9,22),-0.00475799 # DEPENDENCYPART_SIBL
(9,20),(9,23),0.0178063 # DEPENDENCYPART_SIBL
(9,22),(9,23),0.00511391 # DEPENDENCYPART_SIBL
(11,1),(11,2),-0.00479527 # DEPENDENCYPART_SIBL
(11,1),(11,3),0.00626367 # DEPENDENCYPART_SIBL
(11,1),(11,4),0.0374699 # DEPENDENCYPART_SIBL
(11,1),(11,6),-0.0182117 # DEPENDENCYPART_SIBL
(11,1),(11,7),-0.0334352 # DEPENDENCYPART_SIBL
(11,1),(11,8),-0.0219866 # DEPENDENCYPART_SIBL
(11,1),(11,9),0.029273 # DEPENDENCYPART_SIBL
(11,1),(11,10),0.331301 # DEPENDENCYPART_SIBL
(11,1),(11,12),0.00626528 # DEPENDENCYPART_SIBL
(11,1),(11,13),0.241182 # DEPENDENCYPART_SIBL
(11,1),(11,15),0.0525508 # DEPENDENCYPART_SIBL
(11,1),(11,16),0.0638788 # DEPENDENCYPART_SIBL
(11,1),(11,17),0.0478285 # DEPENDENCYPART_SIBL
(11,1),(11,19),0.0700594 # DEPENDENCYPART_SIBL
(11,1),(11,20),0.164349 # DEPENDENCYPART_SIBL
(11,1),(11,23),0.129807 # DEPENDENCYPART_SIBL
(11,2),(11,3),0.0265788 # DEPENDENCYPART_SIBL
(11,2),(11,4),0.109831 # DEPENDENCYPART_SIBL
(11,2),(11,6),-0.0126678 # DEPENDENCYPART_SIBL
(11,2),(11,7),0.0071682 # DEPENDENCYPART_SIBL
(11,2),(11,8),-0.00735534 # DEPENDENCYPART_SIBL
(11,2),(11,9),0.0369432 # DEPENDENCYPART_SIBL
(11,2),(11,10),0.394477 # DEPENDENCYPART_SIBL
(11,2),(11,12),0.0800187 # DEPENDENCYPART_SIBL
(11,2),(11,13),0.230987 # DEPENDENCYPART_SIBL
(11,2),(11,15),-0.0196454 # DEPENDENCYPART_SIBL
(11,2),(11,16),0.0394629 # DEPENDENCYPART_SIBL
(11,2),(11,17),-0.000458415 # DEPENDENCYPART_SIBL
(11,2),(11,19),0.0140525 # DEPENDENCYPART_SIBL
(11,2),(11,20),0.123394 # DEPENDENCYPART_SIBL
(11,2),(11,23),0.131324 # DEPENDENCYPART_SIBL
(11,3),(11,4),0.162246 # DEPENDENCYPART_SIBL
(11,3),(11,6),0.00739575 # DEPENDENCYPART_SIBL
(11,3),(11,7),-0.0226654 # DEPENDENCYPART_SIBL
(11,3),(11,8),-0.0214676 # DEPENDENCYPART_SIBL
(11,3),(11,9),0.0110967 # DEPENDENCYPART_SIBL
(11,3),(11,10),0.502893 # DEPENDENCYPART_SIBL
(11,3),(11,12),-0.0886243 # DEPENDENCYPART_SIBL
(11,3),(11,13),0.201706 # DEPENDENCYPART_SIBL
(11,3),(11,15),-0.0377774 # DEPENDENCYPART_SIBL
(11,3),(11,16),-0.0105956 # DEPENDENCYPART_SIBL
(11,3),(11,17),-0.0579304 # DEPENDENCYPART_SIBL
(11,3),(11,19),-0.0119766 # DEPENDENCYPART_SIBL
(11,3),(11,20),0.0857263 # DEPENDENCYPART_SIBL
(11,3),(11,23),0.0385759 # DEPENDENCYPART_SIBL
(11,4),(11,6),0.00824654 # DEPENDENCYPART_SIBL
(11,4),(11,7),-0.0423695 # DEPENDENCYPART_SIBL
(11,4),(11,8),-0.0303949 # DEPENDENCYPART_SIBL
(11,4),(11,9),0.157616 # DEPENDENCYPART_SIBL
(11,4),(11,10),0.132309 # DEPENDENCYPART_SIBL
(11,4),(11,12),-0.0845142 # DEPENDENCYPART_SIBL
(11,4),(11,13),0.406821 # DEPENDENCYPART_SIBL
(11,4),(11,15),-0.0354987 # DEPENDENCYPART_SIBL
(11,4),(11,16),0.0455511 # DEPENDENCYPART_SIBL
(11,4),(11,17),0.000578174 # DEPENDENCYPART_SIBL
(11,4),(11,19),0.0437229 # DEPENDENCYPART_SIBL
(11,4),(11,20),0.240232 # DEPENDENCYPART_SIBL
(11,4),(11,23),0.121598 # DEPENDENCYPART_SIBL
(11,6),(11,7),0.00160137 # DEPENDENCYPART_SIBL
(11,6),(11,8),-0.0111874 # DEPENDENCYPART_SIBL
(11,6),(11,9),0.0326341 # DEPENDENCYPART_SIBL
(11,6),(11,10),0.389865 # DEPENDENCYPART_SIBL
(11,6),(11,12),0.0850053 # DEPENDENCYPART_SIBL
(11,6),(11,13),0.221543 # DEPENDENCYPART_SIBL
(11,6),(11,15),-0.0210293 # DEPENDENCYPART_SIBL
(11,6),(11,16),0.0436799 # DEPENDENCYPART_SIBL
(11,6),(11,17),-0.00173986 # DEPENDENCYPART_SIBL
(11,6),(11,19),0.0144992 # DEPENDENCYPART_SIBL
(11,6),(11,20),0.11395 # DEPENDENCYPART_SIBL
(11,6),(11,23),0.133413 # DEPENDENCYPART_SIBL
(11,7),(11,8),-0.026533 # DEPENDENCYPART_SIBL
(11,7),(11,9),0.0210247 # DEPENDENCYPART_SIBL
(11,7),(11,10),0.38192 # DEPENDENCYPART_SIBL
(11,7),(11,12),0.0441992 # DEPENDENCYPART_SIBL
(11,7),(11,13),0.372706 # DEPENDENCYPART_SIBL
(11,7),(11,15),-0.0410074 # DEPENDENCYPART_SIBL
(11,7),(11,16),0.0382331 # DEPENDENCYPART_SIBL
(11,7),(11,17),0.00746038 # DEPENDENCYPART_SIBL
(11,7),(11,19),0.00651453 # DEPENDENCYPART_SIBL
(11,7),(11,20),0.232427 # DEPENDENCYPART_SIBL
(11,7),(11,23),0.0833736 # DEPENDENCYPART_SIBL
(11,8),(11,9),0.0290822 # DEPENDENCYPART_SIBL
(11,8),(11,10),0.281182 # DEPENDENCYPART_SIBL
(11,8),(11,12),-0.00247726 # DEPENDENCYPART_SIBL
(11,8),(11,13),0.260083 # DEPENDENCYPART_SIBL
(11,8),(11,15),-0.0790612 # DEPENDENCYPART_SIBL
(11,8),(11,16),0.0171066 # DEPENDENCYPART_SIBL
(11,8),(11,17),-0.0130101 # DEPENDENCYPART_SIBL
(11,8),(11,19),-0.010489 # DEPENDENCYPART_SIBL
(11,8),(11,20),0.12676 # DEPENDENCYPART_SIBL
(11,8),(11,23),-0.020206 # DEPENDENCYPART_SIBL
(11,9),(11,10),0.434738 # DEPENDENCYPART_SIBL
(11,9),(11,12),-0.126294 # DEPENDENCYPART_SIBL
(11,9),(11,13),0.217488 # DEPENDENCYPART_SIBL
(11,9),(11,15),-0.0949829 # DEPENDENCYPART_SIBL
(11,9),(11,16),-0.0296426 # DEPENDENCYPART_SIBL
(11,9),(11,17),-0.0674091 # DEPENDENCYPART_SIBL
(11,9),(11,19),-0.0220072 # DEPENDENCYPART_SIBL
(11,9),(11,20),0.098539 # DEPENDENCYPART_SIBL
(11,9),(11,23),0.042562 # DEPENDENCYPART_SIBL
(11,10),(11,12),0.042781 # DEPENDENCYPART_SIBL
(11,10),(11,13),0.486228 # DEPENDENCYPART_SIBL
(11,10),(11,15),0.00885234 # DEPENDENCYPART_SIBL
(11,10),(11,16),0.0928697 # DEPENDENCYPART_SIBL
(11,10),(11,17),0.0399784 # DEPENDENCYPART_SIBL
(11,10),(11,19),0.102793 # DEPENDENCYPART_SIBL
(11,10),(11,20),0.297142 # DEPENDENCYPART_SIBL
(11,10),(11,23),0.213472 # DEPENDENCYPART_SIBL
(11,12),(11,13),-0.0104544 # DEPENDENCYPART_SIBL
(11,12),(11,15),0.0341767 # DEPENDENCYPART_SIBL
(11,12),(11,16),-0.0398742 # DEPENDENCYPART_SIBL
(11,12),(11,17),0.058444 # DEPENDENCYPART_SIBL
(11,12),(11,19),-0.0197749 # DEPENDENCYPART_SIBL
(11,12),(11,20),-0.0337495 # DEPENDENCYPART_SIBL
(11,12),(11,23),0.0207058 # DEPENDENCYPART_SIBL
(11,13),(11,15),0.177811 # DEPENDENCYPART_SIBL
(11,13),(11,16),-0.0480678 # DEPENDENCYPART_SIBL
(11,13),(11,17),0.102902 # DEPENDENCYPART_SIBL
(11,13),(11,19),0.0630694 # DEPENDENCYPART_SIBL
(11,13),(11,20),0.0115951 # DEPENDENCYPART_SIBL
(11,13),(11,23),0.105079 # DEPENDENCYPART_SIBL
(11,15),(11,16),-0.0317467 # DEPENDENCYPART_SIBL
(11,15),(11,17),0.156823 # DEPENDENCYPART_SIBL
(11,15),(11,19),0.117083 # DEPENDENCYPART_SIBL
(11,15),(11,20),0.227816 # DEPENDENCYPART_SIBL
(11,15),(11,23),0.0259896 # DEPENDENCYPART_SIBL
(11,16),(11,17),0.0348844 # DEPENDENCYPART_SIBL
(11,16),(11,19),-0.010588 # DEPENDENCYPART_SIBL
(11,16),(11,20),-0.0347373 # DEPENDENCYPART_SIBL
(11,16),(11,23),0.0554381 # DEPENDENCYPART_SIBL
(11,17),(11,19),-0.00309113 # DEPENDENCYPART_SIBL
(11,17),(11,20),-0.0376706 # DEPENDENCYPART_SIBL
(11,17),(11,23),0.00719028 # DEPENDENCYPART_SIBL
(11,19),(11,20),-0.0440432 # DEPENDENCYPART_SIBL
