# _root_ A Hexa és a RO-LA mellett már akad más támogatónk is , de mi azt szeretnénk , ha tovább bővülne ez a kör .
#goldHeads=2,6,6,5,6,8,8,13,10,8,8,13,0,16,16,13,16,16,20,15,23,23,20,13,
#predictedHeads=2,8,6,5,6,8,8,13,10,8,8,13,0,16,16,13,16,16,20,15,23,23,20,13,
(13,18),(13,19),-0.0414116 # DEPENDENCYPART_SIBL
(13,18),(13,20),-0.0499466 # DEPENDENCYPART_SIBL
(13,18),(13,21),0.04126 # DEPENDENCYPART_SIBL
(13,18),(13,23),-0.0551257 # DEPENDENCYPART_SIBL
(13,18),(13,24),0.0263312 # DEPENDENCYPART_SIBL
(13,19),(13,20),-0.0185519 # DEPENDENCYPART_SIBL
(13,19),(13,21),0.0508152 # DEPENDENCYPART_SIBL
(13,19),(13,23),-0.00236463 # DEPENDENCYPART_SIBL
(13,19),(13,24),0.055711 # DEPENDENCYPART_SIBL
(13,20),(13,21),0.134231 # DEPENDENCYPART_SIBL
(13,20),(13,23),0.114659 # DEPENDENCYPART_SIBL
(13,20),(13,24),0.211434 # DEPENDENCYPART_SIBL
(13,21),(13,23),0.0288246 # DEPENDENCYPART_SIBL
(13,21),(13,24),0.103496 # DEPENDENCYPART_SIBL
(13,23),(13,24),0.000430906 # DEPENDENCYPART_SIBL
(14,8),(14,12),0.218839 # DEPENDENCYPART_SIBL
(14,8),(14,13),0.141807 # DEPENDENCYPART_SIBL
(14,8),(14,16),-0.0020493 # DEPENDENCYPART_SIBL
(14,8),(14,17),0.0059961 # DEPENDENCYPART_SIBL
(14,8),(14,20),-0.0020493 # DEPENDENCYPART_SIBL
(14,8),(14,23),0.0167493 # DEPENDENCYPART_SIBL
(14,8),(14,24),0.0566403 # DEPENDENCYPART_SIBL
(14,12),(14,13),0.385691 # DEPENDENCYPART_SIBL
(14,12),(14,16),0.00289659 # DEPENDENCYPART_SIBL
(14,12),(14,17),0.0113859 # DEPENDENCYPART_SIBL
(14,12),(14,20),0.00289659 # DEPENDENCYPART_SIBL
(14,12),(14,23),0.0827791 # DEPENDENCYPART_SIBL
(14,12),(14,24),0.0729381 # DEPENDENCYPART_SIBL
(14,13),(14,16),0.00579643 # DEPENDENCYPART_SIBL
(14,13),(14,17),0.0124126 # DEPENDENCYPART_SIBL
(14,13),(14,20),0.00579643 # DEPENDENCYPART_SIBL
(14,13),(14,23),0.0203804 # DEPENDENCYPART_SIBL
(14,13),(14,24),0.162768 # DEPENDENCYPART_SIBL
(14,16),(14,17),0.0386978 # DEPENDENCYPART_SIBL
(14,16),(14,20),-0.00895321 # DEPENDENCYPART_SIBL
(14,16),(14,23),-0.00779865 # DEPENDENCYPART_SIBL
(14,16),(14,24),0.00264598 # DEPENDENCYPART_SIBL
(14,17),(14,20),0.0761198 # DEPENDENCYPART_SIBL
(14,17),(14,23),0.00829407 # DEPENDENCYPART_SIBL
(14,17),(14,24),0.0551226 # DEPENDENCYPART_SIBL
(14,20),(14,23),-0.00401992 # DEPENDENCYPART_SIBL
(14,20),(14,24),0.00557098 # DEPENDENCYPART_SIBL
(14,23),(14,24),0.101332 # DEPENDENCYPART_SIBL
(15,8),(15,10),0.0764985 # DEPENDENCYPART_SIBL
(15,8),(15,11),0.0704512 # DEPENDENCYPART_SIBL
(15,8),(15,12),0.195964 # DEPENDENCYPART_SIBL
(15,8),(15,13),0.139783 # DEPENDENCYPART_SIBL
(15,8),(15,16),-0.0137916 # DEPENDENCYPART_SIBL
(15,8),(15,17),-0.0170354 # DEPENDENCYPART_SIBL
(15,8),(15,18),-0.0146088 # DEPENDENCYPART_SIBL
(15,8),(15,19),-0.0047872 # DEPENDENCYPART_SIBL
(15,8),(15,20),-0.0137916 # DEPENDENCYPART_SIBL
(15,8),(15,21),-0.0191639 # DEPENDENCYPART_SIBL
(15,8),(15,23),0.0125585 # DEPENDENCYPART_SIBL
(15,8),(15,24),0.0391718 # DEPENDENCYPART_SIBL
(15,10),(15,11),0.212431 # DEPENDENCYPART_SIBL
(15,10),(15,12),0.181387 # DEPENDENCYPART_SIBL
(15,10),(15,13),0.207783 # DEPENDENCYPART_SIBL
(15,10),(15,16),-0.0176426 # DEPENDENCYPART_SIBL
(15,10),(15,17),-0.015177 # DEPENDENCYPART_SIBL
(15,10),(15,18),-0.0554819 # DEPENDENCYPART_SIBL
(15,10),(15,19),-0.0320216 # DEPENDENCYPART_SIBL
(15,10),(15,20),-0.0176426 # DEPENDENCYPART_SIBL
(15,10),(15,21),-0.027418 # DEPENDENCYPART_SIBL
(15,10),(15,23),-0.00368614 # DEPENDENCYPART_SIBL
(15,10),(15,24),0.017195 # DEPENDENCYPART_SIBL
(15,11),(15,12),0.0159134 # DEPENDENCYPART_SIBL
(15,11),(15,13),0.0510619 # DEPENDENCYPART_SIBL
(15,11),(15,16),-0.0145639 # DEPENDENCYPART_SIBL
(15,11),(15,17),-0.00132309 # DEPENDENCYPART_SIBL
(15,11),(15,18),-0.0450394 # DEPENDENCYPART_SIBL
(15,11),(15,19),-0.0292886 # DEPENDENCYPART_SIBL
(15,11),(15,20),-0.0145639 # DEPENDENCYPART_SIBL
(15,11),(15,21),-0.0278273 # DEPENDENCYPART_SIBL
(15,11),(15,23),-0.00515922 # DEPENDENCYPART_SIBL
(15,11),(15,24),0.0446163 # DEPENDENCYPART_SIBL
(15,12),(15,13),0.390922 # DEPENDENCYPART_SIBL
(15,12),(15,16),-0.0232549 # DEPENDENCYPART_SIBL
(15,12),(15,17),-0.0287686 # DEPENDENCYPART_SIBL
(15,12),(15,18),-0.0318648 # DEPENDENCYPART_SIBL
(15,12),(15,19),-0.0230089 # DEPENDENCYPART_SIBL
(15,12),(15,20),-0.0232549 # DEPENDENCYPART_SIBL
(15,12),(15,21),-0.014965 # DEPENDENCYPART_SIBL
(15,12),(15,23),0.0483221 # DEPENDENCYPART_SIBL
(15,12),(15,24),0.0393365 # DEPENDENCYPART_SIBL
(15,13),(15,16),-0.00958211 # DEPENDENCYPART_SIBL
(15,13),(15,17),-0.0245137 # DEPENDENCYPART_SIBL
(15,13),(15,18),-0.0546645 # DEPENDENCYPART_SIBL
(15,13),(15,19),-0.0334279 # DEPENDENCYPART_SIBL
(15,13),(15,20),-0.00958211 # DEPENDENCYPART_SIBL
(15,13),(15,21),-0.0365978 # DEPENDENCYPART_SIBL
(15,13),(15,23),0.000277786 # DEPENDENCYPART_SIBL
(15,13),(15,24),0.140016 # DEPENDENCYPART_SIBL
(15,16),(15,17),0.0287059 # DEPENDENCYPART_SIBL
(15,16),(15,18),-0.0339604 # DEPENDENCYPART_SIBL
(15,16),(15,19),-0.0268655 # DEPENDENCYPART_SIBL
(15,16),(15,20),-0.0309379 # DEPENDENCYPART_SIBL
(15,16),(15,21),8.33265e-05 # DEPENDENCYPART_SIBL
(15,16),(15,23),-0.0120457 # DEPENDENCYPART_SIBL
(15,16),(15,24),-0.0305759 # DEPENDENCYPART_SIBL
(15,17),(15,18),0.0220324 # DEPENDENCYPART_SIBL
(15,17),(15,19),-0.0420832 # DEPENDENCYPART_SIBL
(15,17),(15,20),0.0100385 # DEPENDENCYPART_SIBL
(15,17),(15,21),-0.0117319 # DEPENDENCYPART_SIBL
(15,17),(15,23),-0.0253991 # DEPENDENCYPART_SIBL
(15,17),(15,24),-0.00874835 # DEPENDENCYPART_SIBL
(15,18),(15,19),0.0361331 # DEPENDENCYPART_SIBL
(15,18),(15,20),0.0975764 # DEPENDENCYPART_SIBL
(15,18),(15,21),0.0618524 # DEPENDENCYPART_SIBL
(15,18),(15,23),0.0523059 # DEPENDENCYPART_SIBL
(15,18),(15,24),-0.00683553 # DEPENDENCYPART_SIBL
(15,19),(15,20),-0.0218829 # DEPENDENCYPART_SIBL
(15,19),(15,21),0.0337458 # DEPENDENCYPART_SIBL
(15,19),(15,23),0.117915 # DEPENDENCYPART_SIBL
(15,19),(15,24),0.0309842 # DEPENDENCYPART_SIBL
(15,20),(15,21),0.00593332 # DEPENDENCYPART_SIBL
(15,20),(15,23),-0.00491512 # DEPENDENCYPART_SIBL
(15,20),(15,24),-0.0247259 # DEPENDENCYPART_SIBL
(15,21),(15,23),0.0408482 # DEPENDENCYPART_SIBL
(15,21),(15,24),-0.0397642 # DEPENDENCYPART_SIBL
(15,23),(15,24),0.0432512 # DEPENDENCYPART_SIBL
(16,1),(16,2),0.0174639 # DEPENDENCYPART_SIBL
(16,1),(16,3),0.038413 # DEPENDENCYPART_SIBL
(16,1),(16,4),-0.125584 # DEPENDENCYPART_SIBL
(16,1),(16,5),0.0174639 # DEPENDENCYPART_SIBL
(16,1),(16,6),0.0193542 # DEPENDENCYPART_SIBL
(16,1),(16,7),-0.00794899 # DEPENDENCYPART_SIBL
(16,1),(16,8),0.0244766 # DEPENDENCYPART_SIBL
(16,1),(16,9),-0.113216 # DEPENDENCYPART_SIBL
(16,1),(16,10),0.0174639 # DEPENDENCYPART_SIBL
(16,1),(16,11),0.0806165 # DEPENDENCYPART_SIBL
(16,1),(16,12),0.0102192 # DEPENDENCYPART_SIBL
(16,1),(16,13),0.0926702 # DEPENDENCYPART_SIBL
(16,1),(16,14),-0.097351 # DEPENDENCYPART_SIBL
(16,1),(16,15),-0.065363 # DEPENDENCYPART_SIBL
(16,1),(16,17),-0.0398844 # DEPENDENCYPART_SIBL
(16,1),(16,18),-0.0443012 # DEPENDENCYPART_SIBL
(16,1),(16,19),-1.13746e-05 # DEPENDENCYPART_SIBL
(16,1),(16,20),-0.012371 # DEPENDENCYPART_SIBL
(16,1),(16,21),-0.0268887 # DEPENDENCYPART_SIBL
(16,1),(16,22),0.0223062 # DEPENDENCYPART_SIBL
(16,1),(16,23),-0.0227514 # DEPENDENCYPART_SIBL
(16,1),(16,24),-0.0626694 # DEPENDENCYPART_SIBL
(16,2),(16,3),0.129349 # DEPENDENCYPART_SIBL
(16,2),(16,4),-0.0619144 # DEPENDENCYPART_SIBL
(16,2),(16,5),-0.0309984 # DEPENDENCYPART_SIBL
(16,2),(16,6),0.0230507 # DEPENDENCYPART_SIBL
(16,2),(16,7),0.0700844 # DEPENDENCYPART_SIBL
(16,2),(16,8),-0.0118505 # DEPENDENCYPART_SIBL
(16,2),(16,9),-0.0947723 # DEPENDENCYPART_SIBL
(16,2),(16,10),-0.0309984 # DEPENDENCYPART_SIBL
(16,2),(16,11),0.0881556 # DEPENDENCYPART_SIBL
(16,2),(16,12),0.0956371 # DEPENDENCYPART_SIBL
(16,2),(16,13),0.0491184 # DEPENDENCYPART_SIBL
(16,2),(16,14),-0.0923593 # DEPENDENCYPART_SIBL
(16,2),(16,15),-0.00343691 # DEPENDENCYPART_SIBL
(16,2),(16,17),-0.00854907 # DEPENDENCYPART_SIBL
(16,2),(16,18),-0.0529494 # DEPENDENCYPART_SIBL
(16,2),(16,19),-0.0145215 # DEPENDENCYPART_SIBL
(16,2),(16,20),-0.0146334 # DEPENDENCYPART_SIBL
(16,2),(16,21),-0.0126128 # DEPENDENCYPART_SIBL
(16,2),(16,22),-0.0207151 # DEPENDENCYPART_SIBL
(16,2),(16,23),-0.008912 # DEPENDENCYPART_SIBL
(16,2),(16,24),0.00769507 # DEPENDENCYPART_SIBL
(16,3),(16,4),-0.1201 # DEPENDENCYPART_SIBL
(16,3),(16,5),0.0241498 # DEPENDENCYPART_SIBL
(16,3),(16,6),-0.0694646 # DEPENDENCYPART_SIBL
(16,3),(16,7),-0.019323 # DEPENDENCYPART_SIBL
(16,3),(16,8),0.0590107 # DEPENDENCYPART_SIBL
(16,3),(16,9),-0.133193 # DEPENDENCYPART_SIBL
(16,3),(16,10),0.0241498 # DEPENDENCYPART_SIBL
(16,3),(16,11),0.0172819 # DEPENDENCYPART_SIBL
(16,3),(16,12),-0.0199348 # DEPENDENCYPART_SIBL
(16,3),(16,13),0.000241785 # DEPENDENCYPART_SIBL
(16,3),(16,14),-0.16073 # DEPENDENCYPART_SIBL
(16,3),(16,15),-0.0659809 # DEPENDENCYPART_SIBL
(16,3),(16,17),-0.0277808 # DEPENDENCYPART_SIBL
(16,3),(16,18),-0.0650536 # DEPENDENCYPART_SIBL
(16,3),(16,19),0.00568427 # DEPENDENCYPART_SIBL
(16,3),(16,20),-0.0484029 # DEPENDENCYPART_SIBL
(16,3),(16,21),-0.0290806 # DEPENDENCYPART_SIBL
(16,3),(16,22),-0.0463679 # DEPENDENCYPART_SIBL
(16,3),(16,23),-0.0104897 # DEPENDENCYPART_SIBL
(16,3),(16,24),-0.00316276 # DEPENDENCYPART_SIBL
(16,4),(16,5),0.0174639 # DEPENDENCYPART_SIBL
(16,4),(16,6),0.0193542 # DEPENDENCYPART_SIBL
(16,4),(16,7),-0.00794899 # DEPENDENCYPART_SIBL
(16,4),(16,8),0.0244766 # DEPENDENCYPART_SIBL
(16,4),(16,9),-0.113216 # DEPENDENCYPART_SIBL
(16,4),(16,10),0.0174639 # DEPENDENCYPART_SIBL
(16,4),(16,11),0.0806165 # DEPENDENCYPART_SIBL
(16,4),(16,12),0.0102192 # DEPENDENCYPART_SIBL
(16,4),(16,13),0.0926702 # DEPENDENCYPART_SIBL
(16,4),(16,14),-0.097351 # DEPENDENCYPART_SIBL
(16,4),(16,15),-0.065363 # DEPENDENCYPART_SIBL
(16,4),(16,17),-0.0398844 # DEPENDENCYPART_SIBL
(16,4),(16,18),-0.0443012 # DEPENDENCYPART_SIBL
(16,4),(16,19),-1.13746e-05 # DEPENDENCYPART_SIBL
(16,4),(16,20),-0.012371 # DEPENDENCYPART_SIBL
(16,4),(16,21),-0.0268887 # DEPENDENCYPART_SIBL
(16,4),(16,22),0.0223062 # DEPENDENCYPART_SIBL
(16,4),(16,23),-0.0227514 # DEPENDENCYPART_SIBL
(16,4),(16,24),-0.0626694 # DEPENDENCYPART_SIBL
(16,5),(16,6),0.0230507 # DEPENDENCYPART_SIBL
(16,5),(16,7),0.0700844 # DEPENDENCYPART_SIBL
(16,5),(16,8),-0.0118505 # DEPENDENCYPART_SIBL
(16,5),(16,9),-0.0947723 # DEPENDENCYPART_SIBL
(16,5),(16,10),-0.0309984 # DEPENDENCYPART_SIBL
(16,5),(16,11),0.0881556 # DEPENDENCYPART_SIBL
(16,5),(16,12),0.0956371 # DEPENDENCYPART_SIBL
(16,5),(16,13),0.0491184 # DEPENDENCYPART_SIBL
(16,5),(16,14),-0.0923593 # DEPENDENCYPART_SIBL
(16,5),(16,15),-0.00343691 # DEPENDENCYPART_SIBL
(16,5),(16,17),-0.00854907 # DEPENDENCYPART_SIBL
(16,5),(16,18),-0.0529494 # DEPENDENCYPART_SIBL
(16,5),(16,19),-0.0145215 # DEPENDENCYPART_SIBL
(16,5),(16,20),-0.0146334 # DEPENDENCYPART_SIBL
(16,5),(16,21),-0.0126128 # DEPENDENCYPART_SIBL
(16,5),(16,22),-0.0207151 # DEPENDENCYPART_SIBL
(16,5),(16,23),-0.008912 # DEPENDENCYPART_SIBL
(16,5),(16,24),0.00769507 # DEPENDENCYPART_SIBL
(16,6),(16,7),0.108037 # DEPENDENCYPART_SIBL
(16,6),(16,8),-0.0348506 # DEPENDENCYPART_SIBL
(16,6),(16,9),-0.0526616 # DEPENDENCYPART_SIBL
(16,6),(16,10),0.0686667 # DEPENDENCYPART_SIBL
(16,6),(16,11),0.0906618 # DEPENDENCYPART_SIBL
(16,6),(16,12),0.0661899 # DEPENDENCYPART_SIBL
(16,6),(16,13),0.0496911 # DEPENDENCYPART_SIBL
(16,6),(16,14),-0.0489967 # DEPENDENCYPART_SIBL
(16,6),(16,15),0.0155891 # DEPENDENCYPART_SIBL
(16,6),(16,17),0.00116982 # DEPENDENCYPART_SIBL
(16,6),(16,18),-0.027523 # DEPENDENCYPART_SIBL
(16,6),(16,19),-0.00313538 # DEPENDENCYPART_SIBL
(16,6),(16,20),-0.0522831 # DEPENDENCYPART_SIBL
(16,6),(16,21),-0.0313713 # DEPENDENCYPART_SIBL
(16,6),(16,22),-0.0316979 # DEPENDENCYPART_SIBL
(16,6),(16,23),-0.00207629 # DEPENDENCYPART_SIBL
(16,6),(16,24),0.0228465 # DEPENDENCYPART_SIBL
(16,7),(16,8),-0.0208414 # DEPENDENCYPART_SIBL
(16,7),(16,9),-0.0667417 # DEPENDENCYPART_SIBL
(16,7),(16,10),0.0462061 # DEPENDENCYPART_SIBL
(16,7),(16,11),0.141956 # DEPENDENCYPART_SIBL
(16,7),(16,12),0.0481706 # DEPENDENCYPART_SIBL
(16,7),(16,13),0.0169685 # DEPENDENCYPART_SIBL
(16,7),(16,14),-0.0894684 # DEPENDENCYPART_SIBL
(16,7),(16,15),-0.0358498 # DEPENDENCYPART_SIBL
(16,7),(16,17),0.00779734 # DEPENDENCYPART_SIBL
(16,7),(16,18),0.00890751 # DEPENDENCYPART_SIBL
(16,7),(16,19),0.0232375 # DEPENDENCYPART_SIBL
(16,7),(16,20),-0.0203613 # DEPENDENCYPART_SIBL
(16,7),(16,21),0.00746305 # DEPENDENCYPART_SIBL
(16,7),(16,22),-0.054042 # DEPENDENCYPART_SIBL
(16,7),(16,23),0.0624204 # DEPENDENCYPART_SIBL
(16,7),(16,24),0.0501906 # DEPENDENCYPART_SIBL
(16,8),(16,9),-0.087404 # DEPENDENCYPART_SIBL
(16,8),(16,10),-0.034929 # DEPENDENCYPART_SIBL
(16,8),(16,11),-0.019666 # DEPENDENCYPART_SIBL
(16,8),(16,12),0.0636899 # DEPENDENCYPART_SIBL
(16,8),(16,13),0.0267208 # DEPENDENCYPART_SIBL
(16,8),(16,14),-0.0869684 # DEPENDENCYPART_SIBL
(16,8),(16,15),-0.0429552 # DEPENDENCYPART_SIBL
(16,8),(16,17),-0.012299 # DEPENDENCYPART_SIBL
(16,8),(16,18),-0.033525 # DEPENDENCYPART_SIBL
(16,8),(16,19),0.0002984 # DEPENDENCYPART_SIBL
(16,8),(16,20),-0.0205934 # DEPENDENCYPART_SIBL
(16,8),(16,21),-0.0342651 # DEPENDENCYPART_SIBL
(16,8),(16,22),-0.0396941 # DEPENDENCYPART_SIBL
(16,8),(16,23),-0.0188495 # DEPENDENCYPART_SIBL
(16,8),(16,24),0.00156985 # DEPENDENCYPART_SIBL
(16,9),(16,10),-0.0416023 # DEPENDENCYPART_SIBL
(16,9),(16,11),0.131526 # DEPENDENCYPART_SIBL
(16,9),(16,12),0.101133 # DEPENDENCYPART_SIBL
(16,9),(16,13),0.0321022 # DEPENDENCYPART_SIBL
(16,9),(16,14),-0.200117 # DEPENDENCYPART_SIBL
(16,9),(16,15),-0.120199 # DEPENDENCYPART_SIBL
(16,9),(16,17),-0.0880552 # DEPENDENCYPART_SIBL
(16,9),(16,18),-0.140277 # DEPENDENCYPART_SIBL
(16,9),(16,19),-0.0301889 # DEPENDENCYPART_SIBL
(16,9),(16,20),-0.0959719 # DEPENDENCYPART_SIBL
(16,9),(16,21),-0.0560549 # DEPENDENCYPART_SIBL
(16,9),(16,22),-0.0509897 # DEPENDENCYPART_SIBL
(16,9),(16,23),-0.0450089 # DEPENDENCYPART_SIBL
(16,9),(16,24),-0.0674208 # DEPENDENCYPART_SIBL
(16,10),(16,11),0.0881556 # DEPENDENCYPART_SIBL
(16,10),(16,12),0.0956371 # DEPENDENCYPART_SIBL
(16,10),(16,13),0.0491184 # DEPENDENCYPART_SIBL
(16,10),(16,14),-0.0923593 # DEPENDENCYPART_SIBL
(16,10),(16,15),-0.00343691 # DEPENDENCYPART_SIBL
(16,10),(16,17),-0.00854907 # DEPENDENCYPART_SIBL
(16,10),(16,18),-0.0529494 # DEPENDENCYPART_SIBL
(16,10),(16,19),-0.0145215 # DEPENDENCYPART_SIBL
(16,10),(16,20),-0.0146334 # DEPENDENCYPART_SIBL
(16,10),(16,21),-0.0126128 # DEPENDENCYPART_SIBL
(16,10),(16,22),-0.0207151 # DEPENDENCYPART_SIBL
(16,10),(16,23),-0.008912 # DEPENDENCYPART_SIBL
(16,10),(16,24),0.00769507 # DEPENDENCYPART_SIBL
(16,11),(16,12),-0.0348034 # DEPENDENCYPART_SIBL
(16,11),(16,13),0.00110732 # DEPENDENCYPART_SIBL
(16,11),(16,14),-0.145855 # DEPENDENCYPART_SIBL
(16,11),(16,15),-0.0404941 # DEPENDENCYPART_SIBL
(16,11),(16,17),0.0197888 # DEPENDENCYPART_SIBL
(16,11),(16,18),-0.0347638 # DEPENDENCYPART_SIBL
(16,11),(16,19),-0.00820528 # DEPENDENCYPART_SIBL
(16,11),(16,20),-0.00140976 # DEPENDENCYPART_SIBL
(16,11),(16,21),-0.0236014 # DEPENDENCYPART_SIBL
(16,11),(16,22),-0.0335502 # DEPENDENCYPART_SIBL
(16,11),(16,23),-0.0418098 # DEPENDENCYPART_SIBL
(16,11),(16,24),0.0301283 # DEPENDENCYPART_SIBL
(16,12),(16,13),0.252808 # DEPENDENCYPART_SIBL
(16,12),(16,14),-0.0315631 # DEPENDENCYPART_SIBL
(16,12),(16,15),0.0433929 # DEPENDENCYPART_SIBL
(16,12),(16,17),-0.00707725 # DEPENDENCYPART_SIBL
(16,12),(16,18),-0.0174083 # DEPENDENCYPART_SIBL
(16,12),(16,19),-0.00396078 # DEPENDENCYPART_SIBL
(16,12),(16,20),-0.00402678 # DEPENDENCYPART_SIBL
(16,12),(16,21),-0.0128919 # DEPENDENCYPART_SIBL
(16,12),(16,22),-0.0116264 # DEPENDENCYPART_SIBL
(16,12),(16,23),-0.0162538 # DEPENDENCYPART_SIBL
(16,12),(16,24),0.022065 # DEPENDENCYPART_SIBL
(16,13),(16,14),-0.110362 # DEPENDENCYPART_SIBL
(16,13),(16,15),-0.0108744 # DEPENDENCYPART_SIBL
(16,13),(16,17),-0.00382262 # DEPENDENCYPART_SIBL
(16,13),(16,18),-0.012409 # DEPENDENCYPART_SIBL
(16,13),(16,19),0.0108384 # DEPENDENCYPART_SIBL
(16,13),(16,20),0.0405232 # DEPENDENCYPART_SIBL
(16,13),(16,21),-0.0110854 # DEPENDENCYPART_SIBL
(16,13),(16,22),-0.00878471 # DEPENDENCYPART_SIBL
(16,13),(16,23),0.00708731 # DEPENDENCYPART_SIBL
(16,13),(16,24),0.20808 # DEPENDENCYPART_SIBL
(16,14),(16,15),-0.119424 # DEPENDENCYPART_SIBL
(16,14),(16,17),-0.103716 # DEPENDENCYPART_SIBL
(16,14),(16,18),-0.119831 # DEPENDENCYPART_SIBL
(16,14),(16,19),-0.0166145 # DEPENDENCYPART_SIBL
(16,14),(16,20),-0.0795806 # DEPENDENCYPART_SIBL
(16,14),(16,21),-0.0585253 # DEPENDENCYPART_SIBL
(16,14),(16,22),-0.0466128 # DEPENDENCYPART_SIBL
(16,14),(16,23),-0.0406133 # DEPENDENCYPART_SIBL
(16,14),(16,24),-0.0564589 # DEPENDENCYPART_SIBL
(16,15),(16,17),-0.00443341 # DEPENDENCYPART_SIBL
(16,15),(16,18),-0.181483 # DEPENDENCYPART_SIBL
(16,15),(16,19),-0.0555113 # DEPENDENCYPART_SIBL
(16,15),(16,20),-0.263514 # DEPENDENCYPART_SIBL
(16,15),(16,21),-0.0954283 # DEPENDENCYPART_SIBL
(16,15),(16,22),-0.084168 # DEPENDENCYPART_SIBL
(16,15),(16,23),-0.153819 # DEPENDENCYPART_SIBL
(16,15),(16,24),-0.0116211 # DEPENDENCYPART_SIBL
(16,17),(16,18),0.29207 # DEPENDENCYPART_SIBL
(16,17),(16,19),0.0735061 # DEPENDENCYPART_SIBL
(16,17),(16,20),0.172809 # DEPENDENCYPART_SIBL
(16,17),(16,21),0.0133703 # DEPENDENCYPART_SIBL
(16,17),(16,22),0.112874 # DEPENDENCYPART_SIBL
(16,17),(16,23),0.0674355 # DEPENDENCYPART_SIBL
(16,17),(16,24),0.0550913 # DEPENDENCYPART_SIBL
(16,18),(16,19),0.037166 # DEPENDENCYPART_SIBL
(16,18),(16,20),0.0637772 # DEPENDENCYPART_SIBL
(16,18),(16,21),0.11641 # DEPENDENCYPART_SIBL
(16,18),(16,22),0.0780297 # DEPENDENCYPART_SIBL
(16,18),(16,23),0.0486781 # DEPENDENCYPART_SIBL
(16,18),(16,24),0.0249719 # DEPENDENCYPART_SIBL
(16,19),(16,20),-0.0167883 # DEPENDENCYPART_SIBL
(16,19),(16,21),0.0332331 # DEPENDENCYPART_SIBL
(16,19),(16,22),0.0530902 # DEPENDENCYPART_SIBL
(16,19),(16,23),0.0301082 # DEPENDENCYPART_SIBL
(16,19),(16,24),0.0418617 # DEPENDENCYPART_SIBL
(16,20),(16,21),-0.00773601 # DEPENDENCYPART_SIBL
(16,20),(16,22),0.028242 # DEPENDENCYPART_SIBL
(16,20),(16,23),0.00108838 # DEPENDENCYPART_SIBL
(16,20),(16,24),0.0366375 # DEPENDENCYPART_SIBL
(16,21),(16,22),0.0981005 # DEPENDENCYPART_SIBL
(16,21),(16,23),0.026579 # DEPENDENCYPART_SIBL
(16,21),(16,24),0.0321885 # DEPENDENCYPART_SIBL
(16,22),(16,23),0.0133368 # DEPENDENCYPART_SIBL
(16,22),(16,24),-0.0134517 # DEPENDENCYPART_SIBL
(16,23),(16,24),0.0270239 # DEPENDENCYPART_SIBL
(18,2),(18,3),0.168156 # DEPENDENCYPART_SIBL
(18,2),(18,5),0.0150096 # DEPENDENCYPART_SIBL
(18,2),(18,6),0.0506863 # DEPENDENCYPART_SIBL
(18,2),(18,7),0.122709 # DEPENDENCYPART_SIBL
(18,2),(18,8),0.100811 # DEPENDENCYPART_SIBL
(18,2),(18,9),0.0224475 # DEPENDENCYPART_SIBL
(18,2),(18,10),0.0150096 # DEPENDENCYPART_SIBL
(18,2),(18,11),0.156344 # DEPENDENCYPART_SIBL
(18,2),(18,12),0.407695 # DEPENDENCYPART_SIBL
(18,2),(18,13),0.159832 # DEPENDENCYPART_SIBL
(18,2),(18,15),0.032672 # DEPENDENCYPART_SIBL
(18,2),(18,16),0.0999435 # DEPENDENCYPART_SIBL
(18,2),(18,17),0.407695 # DEPENDENCYPART_SIBL
(18,2),(18,19),0.0175381 # DEPENDENCYPART_SIBL
(18,2),(18,20),0.0491073 # DEPENDENCYPART_SIBL
(18,2),(18,23),0.0954257 # DEPENDENCYPART_SIBL
(18,2),(18,24),0.0508233 # DEPENDENCYPART_SIBL
(18,3),(18,5),0.0365844 # DEPENDENCYPART_SIBL
(18,3),(18,6),-0.000923332 # DEPENDENCYPART_SIBL
(18,3),(18,7),-0.0106174 # DEPENDENCYPART_SIBL
(18,3),(18,8),0.1001 # DEPENDENCYPART_SIBL
(18,3),(18,9),-0.0210122 # DEPENDENCYPART_SIBL
(18,3),(18,10),0.0365844 # DEPENDENCYPART_SIBL
(18,3),(18,11),0.0515752 # DEPENDENCYPART_SIBL
(18,3),(18,12),0.119571 # DEPENDENCYPART_SIBL
(18,3),(18,13),0.0956191 # DEPENDENCYPART_SIBL
(18,3),(18,15),-0.00454584 # DEPENDENCYPART_SIBL
(18,3),(18,16),0.101108 # DEPENDENCYPART_SIBL
(18,3),(18,17),0.119571 # DEPENDENCYPART_SIBL
(18,3),(18,19),0.0165016 # DEPENDENCYPART_SIBL
(18,3),(18,20),0.00936773 # DEPENDENCYPART_SIBL
(18,3),(18,23),-0.0543134 # DEPENDENCYPART_SIBL
(18,3),(18,24),0.00894924 # DEPENDENCYPART_SIBL
(18,5),(18,6),0.0506863 # DEPENDENCYPART_SIBL
(18,5),(18,7),0.122709 # DEPENDENCYPART_SIBL
(18,5),(18,8),0.100811 # DEPENDENCYPART_SIBL
(18,5),(18,9),0.0224475 # DEPENDENCYPART_SIBL
(18,5),(18,10),0.0150096 # DEPENDENCYPART_SIBL
(18,5),(18,11),0.156344 # DEPENDENCYPART_SIBL
(18,5),(18,12),0.407695 # DEPENDENCYPART_SIBL
(18,5),(18,13),0.159832 # DEPENDENCYPART_SIBL
