# _root_ A kft. másik társtulajdonosa Rózsavölgyi_Sándor , aki korábban maga is futballozott , később pedig a játékvezetésre adta a fejét .
#goldHeads=2,4,4,5,0,5,11,11,11,11,5,5,17,17,16,17,5,19,17,5,
#predictedHeads=2,4,4,5,11,11,11,11,11,11,0,11,17,17,16,17,11,19,17,11,
(9,11),(9,12),0.0577566 # DEPENDENCYPART_SIBL
(9,11),(9,16),-0.00829261 # DEPENDENCYPART_SIBL
(9,11),(9,17),0.00846188 # DEPENDENCYPART_SIBL
(9,11),(9,19),-0.0082928 # DEPENDENCYPART_SIBL
(9,11),(9,20),0.0410999 # DEPENDENCYPART_SIBL
(9,12),(9,16),0.000280675 # DEPENDENCYPART_SIBL
(9,12),(9,17),0.0880753 # DEPENDENCYPART_SIBL
(9,12),(9,19),6.23312e-05 # DEPENDENCYPART_SIBL
(9,12),(9,20),0.0871352 # DEPENDENCYPART_SIBL
(9,16),(9,17),0.0104466 # DEPENDENCYPART_SIBL
(9,16),(9,19),0.00907217 # DEPENDENCYPART_SIBL
(9,16),(9,20),0.101883 # DEPENDENCYPART_SIBL
(9,17),(9,19),-0.0117449 # DEPENDENCYPART_SIBL
(9,17),(9,20),0.0328632 # DEPENDENCYPART_SIBL
(9,19),(9,20),0.103443 # DEPENDENCYPART_SIBL
(10,2),(10,3),-0.00796892 # DEPENDENCYPART_SIBL
(10,2),(10,4),0.0552006 # DEPENDENCYPART_SIBL
(10,2),(10,5),0.0536145 # DEPENDENCYPART_SIBL
(10,2),(10,6),0.216062 # DEPENDENCYPART_SIBL
(10,2),(10,7),-0.0350956 # DEPENDENCYPART_SIBL
(10,2),(10,8),0.111168 # DEPENDENCYPART_SIBL
(10,2),(10,9),-0.0117609 # DEPENDENCYPART_SIBL
(10,2),(10,11),0.0265337 # DEPENDENCYPART_SIBL
(10,2),(10,12),0.106547 # DEPENDENCYPART_SIBL
(10,2),(10,13),-0.00577905 # DEPENDENCYPART_SIBL
(10,2),(10,14),0.025049 # DEPENDENCYPART_SIBL
(10,2),(10,17),0.0179617 # DEPENDENCYPART_SIBL
(10,2),(10,19),0.164277 # DEPENDENCYPART_SIBL
(10,2),(10,20),0.0788592 # DEPENDENCYPART_SIBL
(10,3),(10,4),0.134801 # DEPENDENCYPART_SIBL
(10,3),(10,5),0.135373 # DEPENDENCYPART_SIBL
(10,3),(10,6),0.256349 # DEPENDENCYPART_SIBL
(10,3),(10,7),-0.00997681 # DEPENDENCYPART_SIBL
(10,3),(10,8),0.168872 # DEPENDENCYPART_SIBL
(10,3),(10,9),-0.00262828 # DEPENDENCYPART_SIBL
(10,3),(10,11),0.177145 # DEPENDENCYPART_SIBL
(10,3),(10,12),0.173556 # DEPENDENCYPART_SIBL
(10,3),(10,13),0.0622297 # DEPENDENCYPART_SIBL
(10,3),(10,14),0.0703452 # DEPENDENCYPART_SIBL
(10,3),(10,17),0.172281 # DEPENDENCYPART_SIBL
(10,3),(10,19),0.15724 # DEPENDENCYPART_SIBL
(10,3),(10,20),0.070967 # DEPENDENCYPART_SIBL
(10,4),(10,5),0.0533777 # DEPENDENCYPART_SIBL
(10,4),(10,6),0.215926 # DEPENDENCYPART_SIBL
(10,4),(10,7),-0.0351293 # DEPENDENCYPART_SIBL
(10,4),(10,8),0.111163 # DEPENDENCYPART_SIBL
(10,4),(10,9),-0.0117946 # DEPENDENCYPART_SIBL
(10,4),(10,11),0.0262775 # DEPENDENCYPART_SIBL
(10,4),(10,12),0.10627 # DEPENDENCYPART_SIBL
(10,4),(10,13),-0.00579272 # DEPENDENCYPART_SIBL
(10,4),(10,14),0.0267055 # DEPENDENCYPART_SIBL
(10,4),(10,17),0.0177055 # DEPENDENCYPART_SIBL
(10,4),(10,19),0.165766 # DEPENDENCYPART_SIBL
(10,4),(10,20),0.0802499 # DEPENDENCYPART_SIBL
(10,5),(10,6),0.216062 # DEPENDENCYPART_SIBL
(10,5),(10,7),-0.0350956 # DEPENDENCYPART_SIBL
(10,5),(10,8),0.111168 # DEPENDENCYPART_SIBL
(10,5),(10,9),-0.0117609 # DEPENDENCYPART_SIBL
(10,5),(10,11),0.0265337 # DEPENDENCYPART_SIBL
(10,5),(10,12),0.106547 # DEPENDENCYPART_SIBL
(10,5),(10,13),-0.00577905 # DEPENDENCYPART_SIBL
(10,5),(10,14),0.025049 # DEPENDENCYPART_SIBL
(10,5),(10,17),0.0179617 # DEPENDENCYPART_SIBL
(10,5),(10,19),0.164277 # DEPENDENCYPART_SIBL
(10,5),(10,20),0.0788592 # DEPENDENCYPART_SIBL
(10,6),(10,7),-0.0751188 # DEPENDENCYPART_SIBL
(10,6),(10,8),0.0344269 # DEPENDENCYPART_SIBL
(10,6),(10,9),-0.0372378 # DEPENDENCYPART_SIBL
(10,6),(10,11),0.107848 # DEPENDENCYPART_SIBL
(10,6),(10,12),0.0532847 # DEPENDENCYPART_SIBL
(10,6),(10,13),-0.016442 # DEPENDENCYPART_SIBL
(10,6),(10,14),0.0283471 # DEPENDENCYPART_SIBL
(10,6),(10,17),0.0851735 # DEPENDENCYPART_SIBL
(10,6),(10,19),0.0711423 # DEPENDENCYPART_SIBL
(10,6),(10,20),0.0859528 # DEPENDENCYPART_SIBL
(10,7),(10,8),0.167313 # DEPENDENCYPART_SIBL
(10,7),(10,9),-0.0212708 # DEPENDENCYPART_SIBL
(10,7),(10,11),0.183012 # DEPENDENCYPART_SIBL
(10,7),(10,12),0.166635 # DEPENDENCYPART_SIBL
(10,7),(10,13),0.0638005 # DEPENDENCYPART_SIBL
(10,7),(10,14),0.0645116 # DEPENDENCYPART_SIBL
(10,7),(10,17),0.178148 # DEPENDENCYPART_SIBL
(10,7),(10,19),0.166573 # DEPENDENCYPART_SIBL
(10,7),(10,20),0.0228554 # DEPENDENCYPART_SIBL
(10,8),(10,9),0.046691 # DEPENDENCYPART_SIBL
(10,8),(10,11),0.0606816 # DEPENDENCYPART_SIBL
(10,8),(10,12),0.102718 # DEPENDENCYPART_SIBL
(10,8),(10,13),-0.00213565 # DEPENDENCYPART_SIBL
(10,8),(10,14),0.0659492 # DEPENDENCYPART_SIBL
(10,8),(10,17),0.051506 # DEPENDENCYPART_SIBL
(10,8),(10,19),0.178069 # DEPENDENCYPART_SIBL
(10,8),(10,20),0.0581074 # DEPENDENCYPART_SIBL
(10,9),(10,11),0.170086 # DEPENDENCYPART_SIBL
(10,9),(10,12),0.173757 # DEPENDENCYPART_SIBL
(10,9),(10,13),0.0656236 # DEPENDENCYPART_SIBL
(10,9),(10,14),0.0688459 # DEPENDENCYPART_SIBL
(10,9),(10,17),0.165223 # DEPENDENCYPART_SIBL
(10,9),(10,19),0.157968 # DEPENDENCYPART_SIBL
(10,9),(10,20),0.0761677 # DEPENDENCYPART_SIBL
(10,11),(10,12),0.107783 # DEPENDENCYPART_SIBL
(10,11),(10,13),0.00800965 # DEPENDENCYPART_SIBL
(10,11),(10,14),-0.0346158 # DEPENDENCYPART_SIBL
(10,11),(10,17),-0.00118316 # DEPENDENCYPART_SIBL
(10,11),(10,19),0.0493519 # DEPENDENCYPART_SIBL
(10,11),(10,20),0.0584056 # DEPENDENCYPART_SIBL
(10,12),(10,13),0.11842 # DEPENDENCYPART_SIBL
(10,12),(10,14),0.0518146 # DEPENDENCYPART_SIBL
(10,12),(10,17),0.329398 # DEPENDENCYPART_SIBL
(10,12),(10,19),0.108773 # DEPENDENCYPART_SIBL
(10,12),(10,20),0.0480349 # DEPENDENCYPART_SIBL
(10,13),(10,14),-0.0696834 # DEPENDENCYPART_SIBL
(10,13),(10,17),-0.022182 # DEPENDENCYPART_SIBL
(10,13),(10,19),-0.0207632 # DEPENDENCYPART_SIBL
(10,13),(10,20),-0.0349447 # DEPENDENCYPART_SIBL
(10,14),(10,17),-0.0256673 # DEPENDENCYPART_SIBL
(10,14),(10,19),-0.0453293 # DEPENDENCYPART_SIBL
(10,14),(10,20),0.0349017 # DEPENDENCYPART_SIBL
(10,17),(10,19),0.0468238 # DEPENDENCYPART_SIBL
(10,17),(10,20),0.0473878 # DEPENDENCYPART_SIBL
(10,19),(10,20),0.0440937 # DEPENDENCYPART_SIBL
(11,1),(11,2),0.0174639 # DEPENDENCYPART_SIBL
(11,1),(11,3),-0.0883506 # DEPENDENCYPART_SIBL
(11,1),(11,4),0.0185118 # DEPENDENCYPART_SIBL
(11,1),(11,5),0.0174639 # DEPENDENCYPART_SIBL
(11,1),(11,6),0.0102192 # DEPENDENCYPART_SIBL
(11,1),(11,7),-0.166129 # DEPENDENCYPART_SIBL
(11,1),(11,8),-0.0283719 # DEPENDENCYPART_SIBL
(11,1),(11,9),-0.0467014 # DEPENDENCYPART_SIBL
(11,1),(11,10),0.0806165 # DEPENDENCYPART_SIBL
(11,1),(11,12),-0.0377119 # DEPENDENCYPART_SIBL
(11,1),(11,13),-0.0285181 # DEPENDENCYPART_SIBL
(11,1),(11,14),-0.0499639 # DEPENDENCYPART_SIBL
(11,1),(11,15),0.0223062 # DEPENDENCYPART_SIBL
(11,1),(11,16),-0.0245112 # DEPENDENCYPART_SIBL
(11,1),(11,17),-0.0128324 # DEPENDENCYPART_SIBL
(11,1),(11,18),0.0223062 # DEPENDENCYPART_SIBL
(11,1),(11,19),-0.0222489 # DEPENDENCYPART_SIBL
(11,1),(11,20),-0.0634118 # DEPENDENCYPART_SIBL
(11,2),(11,3),-0.0833739 # DEPENDENCYPART_SIBL
(11,2),(11,4),-0.0267486 # DEPENDENCYPART_SIBL
(11,2),(11,5),-0.0309984 # DEPENDENCYPART_SIBL
(11,2),(11,6),0.0956371 # DEPENDENCYPART_SIBL
(11,2),(11,7),-0.183376 # DEPENDENCYPART_SIBL
(11,2),(11,8),0.0271659 # DEPENDENCYPART_SIBL
(11,2),(11,9),-0.0715521 # DEPENDENCYPART_SIBL
(11,2),(11,10),0.0881556 # DEPENDENCYPART_SIBL
(11,2),(11,12),-0.00637658 # DEPENDENCYPART_SIBL
(11,2),(11,13),-0.0384496 # DEPENDENCYPART_SIBL
(11,2),(11,14),-0.0573111 # DEPENDENCYPART_SIBL
(11,2),(11,15),-0.0207151 # DEPENDENCYPART_SIBL
(11,2),(11,16),-0.0106718 # DEPENDENCYPART_SIBL
(11,2),(11,17),-0.0167241 # DEPENDENCYPART_SIBL
(11,2),(11,18),-0.0207151 # DEPENDENCYPART_SIBL
(11,2),(11,19),-0.0174258 # DEPENDENCYPART_SIBL
(11,2),(11,20),0.00695274 # DEPENDENCYPART_SIBL
(11,3),(11,4),-0.0429425 # DEPENDENCYPART_SIBL
(11,3),(11,5),-0.0428704 # DEPENDENCYPART_SIBL
(11,3),(11,6),0.0626211 # DEPENDENCYPART_SIBL
(11,3),(11,7),-0.265659 # DEPENDENCYPART_SIBL
(11,3),(11,8),0.0174221 # DEPENDENCYPART_SIBL
(11,3),(11,9),-0.178582 # DEPENDENCYPART_SIBL
(11,3),(11,10),0.134025 # DEPENDENCYPART_SIBL
(11,3),(11,12),-0.0730724 # DEPENDENCYPART_SIBL
(11,3),(11,13),-0.0608902 # DEPENDENCYPART_SIBL
(11,3),(11,14),-0.0767135 # DEPENDENCYPART_SIBL
(11,3),(11,15),-0.0420652 # DEPENDENCYPART_SIBL
(11,3),(11,16),-0.0494314 # DEPENDENCYPART_SIBL
(11,3),(11,17),-0.0804636 # DEPENDENCYPART_SIBL
(11,3),(11,18),-0.0420652 # DEPENDENCYPART_SIBL
(11,3),(11,19),-0.0443547 # DEPENDENCYPART_SIBL
(11,3),(11,20),-0.0393511 # DEPENDENCYPART_SIBL
(11,4),(11,5),-0.0319066 # DEPENDENCYPART_SIBL
(11,4),(11,6),0.0949247 # DEPENDENCYPART_SIBL
(11,4),(11,7),-0.183878 # DEPENDENCYPART_SIBL
(11,4),(11,8),0.0267145 # DEPENDENCYPART_SIBL
(11,4),(11,9),-0.0720544 # DEPENDENCYPART_SIBL
(11,4),(11,10),0.0874432 # DEPENDENCYPART_SIBL
(11,4),(11,12),-0.0061714 # DEPENDENCYPART_SIBL
(11,4),(11,13),-0.0377508 # DEPENDENCYPART_SIBL
(11,4),(11,14),-0.0532718 # DEPENDENCYPART_SIBL
(11,4),(11,15),-0.0200162 # DEPENDENCYPART_SIBL
(11,4),(11,16),-0.0069321 # DEPENDENCYPART_SIBL
(11,4),(11,17),-0.0165033 # DEPENDENCYPART_SIBL
(11,4),(11,18),-0.0200162 # DEPENDENCYPART_SIBL
(11,4),(11,19),-0.0136861 # DEPENDENCYPART_SIBL
(11,4),(11,20),0.0104792 # DEPENDENCYPART_SIBL
(11,5),(11,6),0.0956371 # DEPENDENCYPART_SIBL
(11,5),(11,7),-0.183376 # DEPENDENCYPART_SIBL
(11,5),(11,8),0.0271659 # DEPENDENCYPART_SIBL
(11,5),(11,9),-0.0715521 # DEPENDENCYPART_SIBL
(11,5),(11,10),0.0881556 # DEPENDENCYPART_SIBL
(11,5),(11,12),-0.00637658 # DEPENDENCYPART_SIBL
(11,5),(11,13),-0.0384496 # DEPENDENCYPART_SIBL
(11,5),(11,14),-0.0573111 # DEPENDENCYPART_SIBL
(11,5),(11,15),-0.0207151 # DEPENDENCYPART_SIBL
(11,5),(11,16),-0.0106718 # DEPENDENCYPART_SIBL
(11,5),(11,17),-0.0167241 # DEPENDENCYPART_SIBL
(11,5),(11,18),-0.0207151 # DEPENDENCYPART_SIBL
(11,5),(11,19),-0.0174258 # DEPENDENCYPART_SIBL
(11,5),(11,20),0.00695274 # DEPENDENCYPART_SIBL
(11,6),(11,7),-0.17947 # DEPENDENCYPART_SIBL
(11,6),(11,8),-0.0426944 # DEPENDENCYPART_SIBL
(11,6),(11,9),-0.0405189 # DEPENDENCYPART_SIBL
(11,6),(11,10),0.0292562 # DEPENDENCYPART_SIBL
(11,6),(11,12),-0.00490476 # DEPENDENCYPART_SIBL
(11,6),(11,13),-0.0508729 # DEPENDENCYPART_SIBL
(11,6),(11,14),-0.0283193 # DEPENDENCYPART_SIBL
(11,6),(11,15),-0.0116264 # DEPENDENCYPART_SIBL
(11,6),(11,16),-0.0180136 # DEPENDENCYPART_SIBL
(11,6),(11,17),-0.0134025 # DEPENDENCYPART_SIBL
(11,6),(11,18),-0.0116264 # DEPENDENCYPART_SIBL
(11,6),(11,19),-0.00664812 # DEPENDENCYPART_SIBL
(11,6),(11,20),0.0213227 # DEPENDENCYPART_SIBL
(11,7),(11,8),0.101192 # DEPENDENCYPART_SIBL
(11,7),(11,9),-0.131018 # DEPENDENCYPART_SIBL
(11,7),(11,10),0.170489 # DEPENDENCYPART_SIBL
(11,7),(11,12),-0.0423257 # DEPENDENCYPART_SIBL
(11,7),(11,13),-0.00861453 # DEPENDENCYPART_SIBL
(11,7),(11,14),-0.038211 # DEPENDENCYPART_SIBL
(11,7),(11,15),0.00417432 # DEPENDENCYPART_SIBL
(11,7),(11,16),0.0130116 # DEPENDENCYPART_SIBL
(11,7),(11,17),-0.00247803 # DEPENDENCYPART_SIBL
(11,7),(11,18),0.00417432 # DEPENDENCYPART_SIBL
(11,7),(11,19),0.0180883 # DEPENDENCYPART_SIBL
(11,7),(11,20),-0.0711187 # DEPENDENCYPART_SIBL
(11,8),(11,9),-0.0436332 # DEPENDENCYPART_SIBL
(11,8),(11,10),0.192344 # DEPENDENCYPART_SIBL
(11,8),(11,12),-0.014004 # DEPENDENCYPART_SIBL
(11,8),(11,13),-0.0505534 # DEPENDENCYPART_SIBL
(11,8),(11,14),-0.0330157 # DEPENDENCYPART_SIBL
(11,8),(11,15),-0.069183 # DEPENDENCYPART_SIBL
(11,8),(11,16),0.0606262 # DEPENDENCYPART_SIBL
(11,8),(11,17),-0.0311523 # DEPENDENCYPART_SIBL
(11,8),(11,18),-0.069183 # DEPENDENCYPART_SIBL
(11,8),(11,19),0.0629696 # DEPENDENCYPART_SIBL
(11,8),(11,20),-0.0187293 # DEPENDENCYPART_SIBL
(11,9),(11,10),0.199603 # DEPENDENCYPART_SIBL
(11,9),(11,12),-0.0674152 # DEPENDENCYPART_SIBL
(11,9),(11,13),-0.039509 # DEPENDENCYPART_SIBL
(11,9),(11,14),-0.0657046 # DEPENDENCYPART_SIBL
(11,9),(11,15),-0.0313029 # DEPENDENCYPART_SIBL
(11,9),(11,16),-0.0323152 # DEPENDENCYPART_SIBL
(11,9),(11,17),-0.07125 # DEPENDENCYPART_SIBL
(11,9),(11,18),-0.0313029 # DEPENDENCYPART_SIBL
(11,9),(11,19),-0.0272385 # DEPENDENCYPART_SIBL
(11,9),(11,20),-0.0168422 # DEPENDENCYPART_SIBL
(11,10),(11,12),0.0219613 # DEPENDENCYPART_SIBL
(11,10),(11,13),-0.0543948 # DEPENDENCYPART_SIBL
(11,10),(11,14),-0.0187328 # DEPENDENCYPART_SIBL
(11,10),(11,15),-0.0335502 # DEPENDENCYPART_SIBL
(11,10),(11,16),-0.0435696 # DEPENDENCYPART_SIBL
(11,10),(11,17),-0.00124891 # DEPENDENCYPART_SIBL
(11,10),(11,18),-0.0335502 # DEPENDENCYPART_SIBL
(11,10),(11,19),-0.0413998 # DEPENDENCYPART_SIBL
(11,10),(11,20),0.029386 # DEPENDENCYPART_SIBL
(11,12),(11,13),0.0954182 # DEPENDENCYPART_SIBL
(11,12),(11,14),0.238947 # DEPENDENCYPART_SIBL
(11,12),(11,15),0.124212 # DEPENDENCYPART_SIBL
(11,12),(11,16),0.07652 # DEPENDENCYPART_SIBL
(11,12),(11,17),0.188998 # DEPENDENCYPART_SIBL
(11,12),(11,18),0.124212 # DEPENDENCYPART_SIBL
(11,12),(11,19),0.0756785 # DEPENDENCYPART_SIBL
(11,12),(11,20),0.0489202 # DEPENDENCYPART_SIBL
(11,13),(11,14),-0.0626869 # DEPENDENCYPART_SIBL
(11,13),(11,15),0.0326846 # DEPENDENCYPART_SIBL
(11,13),(11,16),0.0279247 # DEPENDENCYPART_SIBL
(11,13),(11,17),-0.0479393 # DEPENDENCYPART_SIBL
(11,13),(11,18),0.0326846 # DEPENDENCYPART_SIBL
(11,13),(11,19),0.027434 # DEPENDENCYPART_SIBL
(11,13),(11,20),-0.042417 # DEPENDENCYPART_SIBL
(11,14),(11,15),0.04565 # DEPENDENCYPART_SIBL
(11,14),(11,16),0.00725645 # DEPENDENCYPART_SIBL
(11,14),(11,17),-0.0335867 # DEPENDENCYPART_SIBL
(11,14),(11,18),0.04565 # DEPENDENCYPART_SIBL
(11,14),(11,19),0.00663354 # DEPENDENCYPART_SIBL
(11,14),(11,20),0.0159931 # DEPENDENCYPART_SIBL
(11,15),(11,16),0.0110333 # DEPENDENCYPART_SIBL
(11,15),(11,17),-0.0366967 # DEPENDENCYPART_SIBL
(11,15),(11,18),0.0888948 # DEPENDENCYPART_SIBL
(11,15),(11,19),0.0106284 # DEPENDENCYPART_SIBL
(11,15),(11,20),-0.0284786 # DEPENDENCYPART_SIBL
(11,16),(11,17),-0.0226118 # DEPENDENCYPART_SIBL
(11,16),(11,18),0.0707783 # DEPENDENCYPART_SIBL
(11,16),(11,19),-0.0195446 # DEPENDENCYPART_SIBL
(11,16),(11,20),-1.62179e-05 # DEPENDENCYPART_SIBL
(11,17),(11,18),0.0259656 # DEPENDENCYPART_SIBL
(11,17),(11,19),-0.00664579 # DEPENDENCYPART_SIBL
(11,17),(11,20),0.00988499 # DEPENDENCYPART_SIBL
(11,18),(11,19),0.0106284 # DEPENDENCYPART_SIBL
(11,18),(11,20),-0.0284786 # DEPENDENCYPART_SIBL
(11,19),(11,20),0.00562323 # DEPENDENCYPART_SIBL
(13,2),(13,4),0.0616045 # DEPENDENCYPART_SIBL
(13,2),(13,5),0.0600077 # DEPENDENCYPART_SIBL
(13,2),(13,6),0.242257 # DEPENDENCYPART_SIBL
(13,2),(13,8),0.131117 # DEPENDENCYPART_SIBL
(13,2),(13,10),0.129113 # DEPENDENCYPART_SIBL
(13,2),(13,11),0.0927909 # DEPENDENCYPART_SIBL
(13,2),(13,12),0.242257 # DEPENDENCYPART_SIBL
(13,2),(13,14),-0.0149611 # DEPENDENCYPART_SIBL
(13,2),(13,16),0.0850075 # DEPENDENCYPART_SIBL
(13,2),(13,17),0.00299294 # DEPENDENCYPART_SIBL
(13,2),(13,19),0.0804991 # DEPENDENCYPART_SIBL
(13,2),(13,20),0.0163649 # DEPENDENCYPART_SIBL
(13,4),(13,5),0.0597788 # DEPENDENCYPART_SIBL
(13,4),(13,6),0.242126 # DEPENDENCYPART_SIBL
(13,4),(13,8),0.131117 # DEPENDENCYPART_SIBL
(13,4),(13,10),0.128983 # DEPENDENCYPART_SIBL
(13,4),(13,11),0.0927833 # DEPENDENCYPART_SIBL
(13,4),(13,12),0.242126 # DEPENDENCYPART_SIBL
(13,4),(13,14),-0.0132909 # DEPENDENCYPART_SIBL
(13,4),(13,16),0.0865128 # DEPENDENCYPART_SIBL
(13,4),(13,17),0.00275227 # DEPENDENCYPART_SIBL
(13,4),(13,19),0.0820044 # DEPENDENCYPART_SIBL
(13,4),(13,20),0.0177736 # DEPENDENCYPART_SIBL
(13,5),(13,6),0.242257 # DEPENDENCYPART_SIBL
(13,5),(13,8),0.131117 # DEPENDENCYPART_SIBL
(13,5),(13,10),0.129113 # DEPENDENCYPART_SIBL
(13,5),(13,11),0.0927909 # DEPENDENCYPART_SIBL
(13,5),(13,12),0.242257 # DEPENDENCYPART_SIBL
(13,5),(13,14),-0.0149611 # DEPENDENCYPART_SIBL
(13,5),(13,16),0.0850075 # DEPENDENCYPART_SIBL
(13,5),(13,17),0.00299294 # DEPENDENCYPART_SIBL
(13,5),(13,19),0.0804991 # DEPENDENCYPART_SIBL
(13,5),(13,20),0.0163649 # DEPENDENCYPART_SIBL
(13,6),(13,8),0.0221409 # DEPENDENCYPART_SIBL
(13,6),(13,10),0.0385107 # DEPENDENCYPART_SIBL
(13,6),(13,11),0.177097 # DEPENDENCYPART_SIBL
(13,6),(13,12),0.0932205 # DEPENDENCYPART_SIBL
(13,6),(13,14),-0.032817 # DEPENDENCYPART_SIBL
(13,6),(13,16),0.03884 # DEPENDENCYPART_SIBL
(13,6),(13,17),-0.00819753 # DEPENDENCYPART_SIBL
(13,6),(13,19),0.0433913 # DEPENDENCYPART_SIBL
(13,6),(13,20),0.0220295 # DEPENDENCYPART_SIBL
(13,8),(13,10),0.187876 # DEPENDENCYPART_SIBL
(13,8),(13,11),0.099231 # DEPENDENCYPART_SIBL
(13,8),(13,12),0.0806185 # DEPENDENCYPART_SIBL
(13,8),(13,14),0.0227274 # DEPENDENCYPART_SIBL
(13,8),(13,16),0.163028 # DEPENDENCYPART_SIBL
(13,8),(13,17),0.0140021 # DEPENDENCYPART_SIBL
(13,8),(13,19),0.163068 # DEPENDENCYPART_SIBL
(13,8),(13,20),0.116638 # DEPENDENCYPART_SIBL
(13,10),(13,11),0.225157 # DEPENDENCYPART_SIBL
(13,10),(13,12),0.189122 # DEPENDENCYPART_SIBL
(13,10),(13,14),0.0221104 # DEPENDENCYPART_SIBL
(13,10),(13,16),0.0690564 # DEPENDENCYPART_SIBL
(13,10),(13,17),0.0104645 # DEPENDENCYPART_SIBL
(13,10),(13,19),0.0690097 # DEPENDENCYPART_SIBL
(13,10),(13,20),0.109303 # DEPENDENCYPART_SIBL
(13,11),(13,12),0.447701 # DEPENDENCYPART_SIBL
(13,11),(13,14),0.0206916 # DEPENDENCYPART_SIBL
(13,11),(13,16),0.0874145 # DEPENDENCYPART_SIBL
(13,11),(13,17),0.041772 # DEPENDENCYPART_SIBL
(13,11),(13,19),0.088017 # DEPENDENCYPART_SIBL
(13,11),(13,20),0.123596 # DEPENDENCYPART_SIBL
(13,12),(13,14),-0.032817 # DEPENDENCYPART_SIBL
(13,12),(13,16),0.03884 # DEPENDENCYPART_SIBL
(13,12),(13,17),-0.00819753 # DEPENDENCYPART_SIBL
(13,12),(13,19),0.0433913 # DEPENDENCYPART_SIBL
(13,12),(13,20),0.0220295 # DEPENDENCYPART_SIBL
(13,14),(13,16),-0.0300865 # DEPENDENCYPART_SIBL
(13,14),(13,17),-0.00746626 # DEPENDENCYPART_SIBL
(13,14),(13,19),-0.0301955 # DEPENDENCYPART_SIBL
(13,14),(13,20),0.0133874 # DEPENDENCYPART_SIBL
(13,16),(13,17),0.0254725 # DEPENDENCYPART_SIBL
(13,16),(13,19),0.00419444 # DEPENDENCYPART_SIBL
(13,16),(13,20),0.0146007 # DEPENDENCYPART_SIBL
(13,17),(13,19),0.0170528 # DEPENDENCYPART_SIBL
(13,17),(13,20),0.04183 # DEPENDENCYPART_SIBL
(13,19),(13,20),0.0161608 # DEPENDENCYPART_SIBL
(14,2),(14,3),0.0411907 # DEPENDENCYPART_SIBL
(14,2),(14,4),0.0596438 # DEPENDENCYPART_SIBL
(14,2),(14,5),0.0580523 # DEPENDENCYPART_SIBL
(14,2),(14,6),0.363494 # DEPENDENCYPART_SIBL
(14,2),(14,8),0.113622 # DEPENDENCYPART_SIBL
(14,2),(14,9),0.0373987 # DEPENDENCYPART_SIBL
(14,2),(14,10),0.122058 # DEPENDENCYPART_SIBL
(14,2),(14,11),0.0688409 # DEPENDENCYPART_SIBL
(14,2),(14,12),0.363494 # DEPENDENCYPART_SIBL
(14,2),(14,13),0.0825386 # DEPENDENCYPART_SIBL
(14,2),(14,15),0.0158906 # DEPENDENCYPART_SIBL
(14,2),(14,16),0.189231 # DEPENDENCYPART_SIBL
(14,2),(14,17),0.00618603 # DEPENDENCYPART_SIBL
(14,2),(14,19),0.184723 # DEPENDENCYPART_SIBL
(14,2),(14,20),-0.0155339 # DEPENDENCYPART_SIBL
(14,3),(14,4),0.0328805 # DEPENDENCYPART_SIBL
(14,3),(14,5),0.0334478 # DEPENDENCYPART_SIBL
(14,3),(14,6),0.27932 # DEPENDENCYPART_SIBL
(14,3),(14,8),0.0642566 # DEPENDENCYPART_SIBL
(14,3),(14,9),-0.0347339 # DEPENDENCYPART_SIBL
(14,3),(14,10),0.149007 # DEPENDENCYPART_SIBL
(14,3),(14,11),0.0251298 # DEPENDENCYPART_SIBL
(14,3),(14,12),0.27932 # DEPENDENCYPART_SIBL
(14,3),(14,13),0.0440606 # DEPENDENCYPART_SIBL
(14,3),(14,15),0.0279452 # DEPENDENCYPART_SIBL
(14,3),(14,16),0.0959176 # DEPENDENCYPART_SIBL
(14,3),(14,17),0.11373 # DEPENDENCYPART_SIBL
(14,3),(14,19),0.0973246 # DEPENDENCYPART_SIBL
(14,3),(14,20),-0.0203327 # DEPENDENCYPART_SIBL
(14,4),(14,5),0.0578194 # DEPENDENCYPART_SIBL
(14,4),(14,6),0.363361 # DEPENDENCYPART_SIBL
(14,4),(14,8),0.113619 # DEPENDENCYPART_SIBL
(14,4),(14,9),0.0373689 # DEPENDENCYPART_SIBL
(14,4),(14,10),0.121925 # DEPENDENCYPART_SIBL
(14,4),(14,11),0.0688294 # DEPENDENCYPART_SIBL
(14,4),(14,12),0.363361 # DEPENDENCYPART_SIBL
(14,4),(14,13),0.0825357 # DEPENDENCYPART_SIBL
(14,4),(14,15),0.0158838 # DEPENDENCYPART_SIBL
(14,4),(14,16),0.190728 # DEPENDENCYPART_SIBL
(14,4),(14,17),0.00593761 # DEPENDENCYPART_SIBL
(14,4),(14,19),0.18622 # DEPENDENCYPART_SIBL
(14,4),(14,20),-0.014135 # DEPENDENCYPART_SIBL
(14,5),(14,6),0.363494 # DEPENDENCYPART_SIBL
(14,5),(14,8),0.113622 # DEPENDENCYPART_SIBL
(14,5),(14,9),0.0373987 # DEPENDENCYPART_SIBL
(14,5),(14,10),0.122058 # DEPENDENCYPART_SIBL
(14,5),(14,11),0.0688409 # DEPENDENCYPART_SIBL
(14,5),(14,12),0.363494 # DEPENDENCYPART_SIBL
(14,5),(14,13),0.0825386 # DEPENDENCYPART_SIBL
