# _root_ A társadalmi munkákat halmozó Kukorelli a Magyar_Politikatudományi_Társaság , a Független_Jogász_Fórum és a Népfőiskolai_Társaság tagja , emellett több tanácsadó testület és kodifikációs bizottság munkájában is közreműködik .
#goldHeads=5,3,4,5,0,7,14,14,10,14,14,13,14,5,5,25,19,19,23,23,22,23,25,25,5,5,
#predictedHeads=3,3,4,5,25,7,25,25,10,14,14,13,14,25,25,25,19,19,25,25,22,23,25,25,0,25,
(19,22),(19,23),0.004345 # DEPENDENCYPART_SIBL
(20,4),(20,5),-0.0142338 # DEPENDENCYPART_SIBL
(20,4),(20,8),0.298983 # DEPENDENCYPART_SIBL
(20,4),(20,11),0.194764 # DEPENDENCYPART_SIBL
(20,4),(20,13),-0.0142338 # DEPENDENCYPART_SIBL
(20,4),(20,15),0.298983 # DEPENDENCYPART_SIBL
(20,4),(20,16),-0.0136014 # DEPENDENCYPART_SIBL
(20,4),(20,17),-0.0159997 # DEPENDENCYPART_SIBL
(20,4),(20,18),0.0130972 # DEPENDENCYPART_SIBL
(20,4),(20,19),-0.014253 # DEPENDENCYPART_SIBL
(20,4),(20,21),0.0853312 # DEPENDENCYPART_SIBL
(20,4),(20,22),0.00894813 # DEPENDENCYPART_SIBL
(20,4),(20,23),0.00894752 # DEPENDENCYPART_SIBL
(20,4),(20,24),-0.00764662 # DEPENDENCYPART_SIBL
(20,4),(20,25),0.00509443 # DEPENDENCYPART_SIBL
(20,4),(20,26),0.0296997 # DEPENDENCYPART_SIBL
(20,5),(20,8),0.375892 # DEPENDENCYPART_SIBL
(20,5),(20,11),0.161179 # DEPENDENCYPART_SIBL
(20,5),(20,13),0.00574894 # DEPENDENCYPART_SIBL
(20,5),(20,15),0.375892 # DEPENDENCYPART_SIBL
(20,5),(20,16),0.0426249 # DEPENDENCYPART_SIBL
(20,5),(20,17),-0.0297192 # DEPENDENCYPART_SIBL
(20,5),(20,18),0.00190322 # DEPENDENCYPART_SIBL
(20,5),(20,19),0.00211856 # DEPENDENCYPART_SIBL
(20,5),(20,21),0.0259515 # DEPENDENCYPART_SIBL
(20,5),(20,22),0.233085 # DEPENDENCYPART_SIBL
(20,5),(20,23),0.233818 # DEPENDENCYPART_SIBL
(20,5),(20,24),-0.00470338 # DEPENDENCYPART_SIBL
(20,5),(20,25),-0.000171722 # DEPENDENCYPART_SIBL
(20,5),(20,26),-0.00815188 # DEPENDENCYPART_SIBL
(20,8),(20,11),0.182278 # DEPENDENCYPART_SIBL
(20,8),(20,13),0.0324195 # DEPENDENCYPART_SIBL
(20,8),(20,15),0.0345787 # DEPENDENCYPART_SIBL
(20,8),(20,16),-0.0243869 # DEPENDENCYPART_SIBL
(20,8),(20,17),0.0284607 # DEPENDENCYPART_SIBL
(20,8),(20,18),0.0254623 # DEPENDENCYPART_SIBL
(20,8),(20,19),0.0293506 # DEPENDENCYPART_SIBL
(20,8),(20,21),0.0701818 # DEPENDENCYPART_SIBL
(20,8),(20,22),0.0218505 # DEPENDENCYPART_SIBL
(20,8),(20,23),0.0218518 # DEPENDENCYPART_SIBL
(20,8),(20,24),0.0297933 # DEPENDENCYPART_SIBL
(20,8),(20,25),0.195911 # DEPENDENCYPART_SIBL
(20,8),(20,26),0.198796 # DEPENDENCYPART_SIBL
(20,11),(20,13),0.00250116 # DEPENDENCYPART_SIBL
(20,11),(20,15),0.0476828 # DEPENDENCYPART_SIBL
(20,11),(20,16),-0.0476164 # DEPENDENCYPART_SIBL
(20,11),(20,17),0.0185488 # DEPENDENCYPART_SIBL
(20,11),(20,18),0.0277794 # DEPENDENCYPART_SIBL
(20,11),(20,19),0.00545621 # DEPENDENCYPART_SIBL
(20,11),(20,21),0.0178158 # DEPENDENCYPART_SIBL
(20,11),(20,22),-0.0118434 # DEPENDENCYPART_SIBL
(20,11),(20,23),-0.0118434 # DEPENDENCYPART_SIBL
(20,11),(20,24),-0.0140482 # DEPENDENCYPART_SIBL
(20,11),(20,25),-0.0104737 # DEPENDENCYPART_SIBL
(20,11),(20,26),0.039344 # DEPENDENCYPART_SIBL
(20,13),(20,15),0.375892 # DEPENDENCYPART_SIBL
(20,13),(20,16),0.0426249 # DEPENDENCYPART_SIBL
(20,13),(20,17),-0.0297192 # DEPENDENCYPART_SIBL
(20,13),(20,18),0.00190322 # DEPENDENCYPART_SIBL
(20,13),(20,19),0.00211856 # DEPENDENCYPART_SIBL
(20,13),(20,21),0.0259515 # DEPENDENCYPART_SIBL
(20,13),(20,22),0.233085 # DEPENDENCYPART_SIBL
(20,13),(20,23),0.233818 # DEPENDENCYPART_SIBL
(20,13),(20,24),-0.00470338 # DEPENDENCYPART_SIBL
(20,13),(20,25),-0.000171722 # DEPENDENCYPART_SIBL
(20,13),(20,26),-0.00815188 # DEPENDENCYPART_SIBL
(20,15),(20,16),-0.0243869 # DEPENDENCYPART_SIBL
(20,15),(20,17),0.0284607 # DEPENDENCYPART_SIBL
(20,15),(20,18),0.0254623 # DEPENDENCYPART_SIBL
(20,15),(20,19),0.0293506 # DEPENDENCYPART_SIBL
(20,15),(20,21),0.0701818 # DEPENDENCYPART_SIBL
(20,15),(20,22),0.0218505 # DEPENDENCYPART_SIBL
(20,15),(20,23),0.0218518 # DEPENDENCYPART_SIBL
(20,15),(20,24),0.0297933 # DEPENDENCYPART_SIBL
(20,15),(20,25),0.195911 # DEPENDENCYPART_SIBL
(20,15),(20,26),0.198796 # DEPENDENCYPART_SIBL
(20,16),(20,17),0.0341993 # DEPENDENCYPART_SIBL
(20,16),(20,18),-0.0239429 # DEPENDENCYPART_SIBL
(20,16),(20,19),-0.026463 # DEPENDENCYPART_SIBL
(20,16),(20,21),0.0196404 # DEPENDENCYPART_SIBL
(20,16),(20,22),0.00903867 # DEPENDENCYPART_SIBL
(20,16),(20,23),0.00973927 # DEPENDENCYPART_SIBL
(20,16),(20,24),-0.0633489 # DEPENDENCYPART_SIBL
(20,16),(20,25),-0.0170594 # DEPENDENCYPART_SIBL
(20,16),(20,26),-0.0300247 # DEPENDENCYPART_SIBL
(20,17),(20,18),0.0278353 # DEPENDENCYPART_SIBL
(20,17),(20,19),-0.0447978 # DEPENDENCYPART_SIBL
(20,17),(20,21),0.0239443 # DEPENDENCYPART_SIBL
(20,17),(20,22),0.0434592 # DEPENDENCYPART_SIBL
(20,17),(20,23),0.0434593 # DEPENDENCYPART_SIBL
(20,17),(20,24),-0.0258407 # DEPENDENCYPART_SIBL
(20,17),(20,25),0.0291238 # DEPENDENCYPART_SIBL
(20,17),(20,26),-0.0151939 # DEPENDENCYPART_SIBL
(20,18),(20,19),-0.0142531 # DEPENDENCYPART_SIBL
(20,18),(20,21),0.0853312 # DEPENDENCYPART_SIBL
(20,18),(20,22),0.00894813 # DEPENDENCYPART_SIBL
(20,18),(20,23),0.00894752 # DEPENDENCYPART_SIBL
(20,18),(20,24),-0.00764662 # DEPENDENCYPART_SIBL
(20,18),(20,25),0.00509443 # DEPENDENCYPART_SIBL
(20,18),(20,26),0.0296997 # DEPENDENCYPART_SIBL
(20,19),(20,21),0.0256811 # DEPENDENCYPART_SIBL
(20,19),(20,22),0.230849 # DEPENDENCYPART_SIBL
(20,19),(20,23),0.231582 # DEPENDENCYPART_SIBL
(20,19),(20,24),-0.00400023 # DEPENDENCYPART_SIBL
(20,19),(20,25),0.00317602 # DEPENDENCYPART_SIBL
(20,19),(20,26),-0.00743818 # DEPENDENCYPART_SIBL
(20,21),(20,22),-0.01248 # DEPENDENCYPART_SIBL
(20,21),(20,23),-0.0124927 # DEPENDENCYPART_SIBL
(20,21),(20,24),-0.0464302 # DEPENDENCYPART_SIBL
(20,21),(20,25),-0.045864 # DEPENDENCYPART_SIBL
(20,21),(20,26),0.0562241 # DEPENDENCYPART_SIBL
(20,22),(20,23),-0.0463148 # DEPENDENCYPART_SIBL
(20,22),(20,24),-0.0509815 # DEPENDENCYPART_SIBL
(20,22),(20,25),-0.0601783 # DEPENDENCYPART_SIBL
(20,22),(20,26),-0.0565281 # DEPENDENCYPART_SIBL
(20,23),(20,24),-0.0500601 # DEPENDENCYPART_SIBL
(20,23),(20,25),-0.0618333 # DEPENDENCYPART_SIBL
(20,23),(20,26),-0.0584209 # DEPENDENCYPART_SIBL
(20,24),(20,25),-0.0394007 # DEPENDENCYPART_SIBL
(20,24),(20,26),0.0270585 # DEPENDENCYPART_SIBL
(20,25),(20,26),0.173438 # DEPENDENCYPART_SIBL
(21,10),(21,11),0.436415 # DEPENDENCYPART_SIBL
(21,10),(21,13),0.076847 # DEPENDENCYPART_SIBL
(21,10),(21,14),0.0810585 # DEPENDENCYPART_SIBL
(21,10),(21,16),0.148701 # DEPENDENCYPART_SIBL
(21,10),(21,17),-0.00924075 # DEPENDENCYPART_SIBL
(21,10),(21,18),0.0266294 # DEPENDENCYPART_SIBL
(21,10),(21,19),0.0731826 # DEPENDENCYPART_SIBL
(21,10),(21,20),0.436415 # DEPENDENCYPART_SIBL
(21,10),(21,23),0.0205389 # DEPENDENCYPART_SIBL
(21,10),(21,24),-0.00743075 # DEPENDENCYPART_SIBL
(21,11),(21,13),0.104957 # DEPENDENCYPART_SIBL
(21,11),(21,14),0.104016 # DEPENDENCYPART_SIBL
(21,11),(21,16),-0.0118343 # DEPENDENCYPART_SIBL
(21,11),(21,17),0.0359366 # DEPENDENCYPART_SIBL
(21,11),(21,18),0.0299817 # DEPENDENCYPART_SIBL
(21,11),(21,19),0.107884 # DEPENDENCYPART_SIBL
(21,11),(21,20),-0.0211118 # DEPENDENCYPART_SIBL
(21,11),(21,23),0.0181516 # DEPENDENCYPART_SIBL
(21,11),(21,24),-0.0215568 # DEPENDENCYPART_SIBL
(21,13),(21,14),0.0810585 # DEPENDENCYPART_SIBL
(21,13),(21,16),0.148701 # DEPENDENCYPART_SIBL
(21,13),(21,17),-0.00924075 # DEPENDENCYPART_SIBL
(21,13),(21,18),0.0266294 # DEPENDENCYPART_SIBL
(21,13),(21,19),0.0731826 # DEPENDENCYPART_SIBL
(21,13),(21,20),0.436415 # DEPENDENCYPART_SIBL
(21,13),(21,23),0.0205389 # DEPENDENCYPART_SIBL
(21,13),(21,24),-0.00743075 # DEPENDENCYPART_SIBL
(21,14),(21,16),0.148807 # DEPENDENCYPART_SIBL
(21,14),(21,17),-0.00929755 # DEPENDENCYPART_SIBL
(21,14),(21,18),0.025635 # DEPENDENCYPART_SIBL
(21,14),(21,19),0.0697339 # DEPENDENCYPART_SIBL
(21,14),(21,20),0.438712 # DEPENDENCYPART_SIBL
(21,14),(21,23),0.020226 # DEPENDENCYPART_SIBL
(21,14),(21,24),-0.00684971 # DEPENDENCYPART_SIBL
(21,16),(21,17),0.150381 # DEPENDENCYPART_SIBL
(21,16),(21,18),0.0861852 # DEPENDENCYPART_SIBL
(21,16),(21,19),0.17814 # DEPENDENCYPART_SIBL
(21,16),(21,20),0.192232 # DEPENDENCYPART_SIBL
(21,16),(21,23),0.043003 # DEPENDENCYPART_SIBL
(21,16),(21,24),-0.0100854 # DEPENDENCYPART_SIBL
(21,17),(21,18),0.0589514 # DEPENDENCYPART_SIBL
(21,17),(21,19),0.0381121 # DEPENDENCYPART_SIBL
(21,17),(21,20),0.440893 # DEPENDENCYPART_SIBL
(21,17),(21,23),0.00910822 # DEPENDENCYPART_SIBL
(21,17),(21,24),-0.0403557 # DEPENDENCYPART_SIBL
(21,18),(21,19),0.0135401 # DEPENDENCYPART_SIBL
(21,18),(21,20),0.368102 # DEPENDENCYPART_SIBL
(21,18),(21,23),0.022569 # DEPENDENCYPART_SIBL
(21,18),(21,24),-0.0105779 # DEPENDENCYPART_SIBL
(21,19),(21,20),0.435943 # DEPENDENCYPART_SIBL
(21,19),(21,23),0.0185927 # DEPENDENCYPART_SIBL
(21,19),(21,24),-0.0064537 # DEPENDENCYPART_SIBL
(21,20),(21,23),0.0181516 # DEPENDENCYPART_SIBL
(21,20),(21,24),-0.0215568 # DEPENDENCYPART_SIBL
(21,23),(21,24),-0.0210678 # DEPENDENCYPART_SIBL
(22,3),(22,4),0.0459361 # DEPENDENCYPART_SIBL
(22,3),(22,5),-0.0187352 # DEPENDENCYPART_SIBL
(22,3),(22,6),-0.316023 # DEPENDENCYPART_SIBL
(22,3),(22,7),-0.0187352 # DEPENDENCYPART_SIBL
(22,3),(22,8),0.638213 # DEPENDENCYPART_SIBL
(22,3),(22,9),-0.316023 # DEPENDENCYPART_SIBL
(22,3),(22,10),-0.0187352 # DEPENDENCYPART_SIBL
(22,3),(22,11),0.789341 # DEPENDENCYPART_SIBL
(22,3),(22,12),-0.316023 # DEPENDENCYPART_SIBL
(22,3),(22,13),-0.0187352 # DEPENDENCYPART_SIBL
(22,3),(22,14),-0.0145284 # DEPENDENCYPART_SIBL
(22,3),(22,15),0.638213 # DEPENDENCYPART_SIBL
(22,3),(22,16),0.186449 # DEPENDENCYPART_SIBL
(22,3),(22,17),-0.00699673 # DEPENDENCYPART_SIBL
(22,3),(22,18),0.0477888 # DEPENDENCYPART_SIBL
(22,3),(22,19),-0.0318257 # DEPENDENCYPART_SIBL
(22,3),(22,20),0.789341 # DEPENDENCYPART_SIBL
(22,3),(22,21),0.0459361 # DEPENDENCYPART_SIBL
(22,3),(22,23),0.00308358 # DEPENDENCYPART_SIBL
(22,4),(22,5),-0.00139949 # DEPENDENCYPART_SIBL
(22,4),(22,6),-0.659887 # DEPENDENCYPART_SIBL
(22,4),(22,7),-0.00139949 # DEPENDENCYPART_SIBL
(22,4),(22,8),0.442541 # DEPENDENCYPART_SIBL
(22,4),(22,9),-0.659887 # DEPENDENCYPART_SIBL
(22,4),(22,10),-0.00139949 # DEPENDENCYPART_SIBL
(22,4),(22,11),0.579578 # DEPENDENCYPART_SIBL
(22,4),(22,12),-0.659887 # DEPENDENCYPART_SIBL
(22,4),(22,13),-0.00139949 # DEPENDENCYPART_SIBL
(22,4),(22,14),-0.001407 # DEPENDENCYPART_SIBL
(22,4),(22,15),0.442541 # DEPENDENCYPART_SIBL
(22,4),(22,16),0.0702961 # DEPENDENCYPART_SIBL
(22,4),(22,17),0.0120872 # DEPENDENCYPART_SIBL
(22,4),(22,18),0.0148825 # DEPENDENCYPART_SIBL
(22,4),(22,19),-0.0071754 # DEPENDENCYPART_SIBL
(22,4),(22,20),0.579578 # DEPENDENCYPART_SIBL
(22,4),(22,21),0.00932435 # DEPENDENCYPART_SIBL
(22,4),(22,23),-0.00411704 # DEPENDENCYPART_SIBL
(22,5),(22,6),-0.316023 # DEPENDENCYPART_SIBL
(22,5),(22,7),-0.0181199 # DEPENDENCYPART_SIBL
(22,5),(22,8),0.641604 # DEPENDENCYPART_SIBL
(22,5),(22,9),-0.316023 # DEPENDENCYPART_SIBL
(22,5),(22,10),-0.0181199 # DEPENDENCYPART_SIBL
(22,5),(22,11),0.793986 # DEPENDENCYPART_SIBL
(22,5),(22,12),-0.316023 # DEPENDENCYPART_SIBL
(22,5),(22,13),-0.0181199 # DEPENDENCYPART_SIBL
(22,5),(22,14),-0.0139131 # DEPENDENCYPART_SIBL
(22,5),(22,15),0.641604 # DEPENDENCYPART_SIBL
(22,5),(22,16),0.187481 # DEPENDENCYPART_SIBL
(22,5),(22,17),-0.00699673 # DEPENDENCYPART_SIBL
(22,5),(22,18),0.0486841 # DEPENDENCYPART_SIBL
(22,5),(22,19),-0.0312104 # DEPENDENCYPART_SIBL
(22,5),(22,20),0.793986 # DEPENDENCYPART_SIBL
(22,5),(22,21),0.0468314 # DEPENDENCYPART_SIBL
(22,5),(22,23),0.00336493 # DEPENDENCYPART_SIBL
(22,6),(22,7),0.0100736 # DEPENDENCYPART_SIBL
(22,6),(22,8),0.187795 # DEPENDENCYPART_SIBL
(22,6),(22,9),-0.664851 # DEPENDENCYPART_SIBL
(22,6),(22,10),0.0100736 # DEPENDENCYPART_SIBL
(22,6),(22,11),0.1351 # DEPENDENCYPART_SIBL
(22,6),(22,12),-0.664851 # DEPENDENCYPART_SIBL
(22,6),(22,13),0.0100736 # DEPENDENCYPART_SIBL
(22,6),(22,14),0.0100349 # DEPENDENCYPART_SIBL
(22,6),(22,15),0.187795 # DEPENDENCYPART_SIBL
(22,6),(22,16),0.0247196 # DEPENDENCYPART_SIBL
(22,6),(22,17),-0.0204869 # DEPENDENCYPART_SIBL
(22,6),(22,18),0.153636 # DEPENDENCYPART_SIBL
(22,6),(22,19),0.00414777 # DEPENDENCYPART_SIBL
(22,6),(22,20),0.1351 # DEPENDENCYPART_SIBL
(22,6),(22,21),0.151783 # DEPENDENCYPART_SIBL
(22,6),(22,23),-0.00367388 # DEPENDENCYPART_SIBL
(22,7),(22,8),0.641604 # DEPENDENCYPART_SIBL
(22,7),(22,9),-0.316023 # DEPENDENCYPART_SIBL
(22,7),(22,10),-0.0181199 # DEPENDENCYPART_SIBL
(22,7),(22,11),0.793986 # DEPENDENCYPART_SIBL
(22,7),(22,12),-0.316023 # DEPENDENCYPART_SIBL
(22,7),(22,13),-0.0181199 # DEPENDENCYPART_SIBL
(22,7),(22,14),-0.0139131 # DEPENDENCYPART_SIBL
(22,7),(22,15),0.641604 # DEPENDENCYPART_SIBL
(22,7),(22,16),0.187481 # DEPENDENCYPART_SIBL
(22,7),(22,17),-0.00699673 # DEPENDENCYPART_SIBL
(22,7),(22,18),0.0486841 # DEPENDENCYPART_SIBL
(22,7),(22,19),-0.0312104 # DEPENDENCYPART_SIBL
(22,7),(22,20),0.793986 # DEPENDENCYPART_SIBL
(22,7),(22,21),0.0468314 # DEPENDENCYPART_SIBL
(22,7),(22,23),0.00336493 # DEPENDENCYPART_SIBL
(22,8),(22,9),-0.407036 # DEPENDENCYPART_SIBL
(22,8),(22,10),0.0568981 # DEPENDENCYPART_SIBL
(22,8),(22,11),0.231554 # DEPENDENCYPART_SIBL
(22,8),(22,12),-0.407036 # DEPENDENCYPART_SIBL
(22,8),(22,13),0.0568981 # DEPENDENCYPART_SIBL
(22,8),(22,14),0.0566975 # DEPENDENCYPART_SIBL
(22,8),(22,15),0.0455515 # DEPENDENCYPART_SIBL
(22,8),(22,16),0.068148 # DEPENDENCYPART_SIBL
(22,8),(22,17),-0.0226626 # DEPENDENCYPART_SIBL
(22,8),(22,18),0.0277533 # DEPENDENCYPART_SIBL
(22,8),(22,19),0.0464273 # DEPENDENCYPART_SIBL
(22,8),(22,20),0.231554 # DEPENDENCYPART_SIBL
(22,8),(22,21),0.0259006 # DEPENDENCYPART_SIBL
(22,8),(22,23),-0.00844533 # DEPENDENCYPART_SIBL
(22,9),(22,10),0.0100736 # DEPENDENCYPART_SIBL
(22,9),(22,11),0.1351 # DEPENDENCYPART_SIBL
(22,9),(22,12),-0.664851 # DEPENDENCYPART_SIBL
(22,9),(22,13),0.0100736 # DEPENDENCYPART_SIBL
(22,9),(22,14),0.0100349 # DEPENDENCYPART_SIBL
(22,9),(22,15),0.187795 # DEPENDENCYPART_SIBL
(22,9),(22,16),0.0247196 # DEPENDENCYPART_SIBL
(22,9),(22,17),-0.0204869 # DEPENDENCYPART_SIBL
(22,9),(22,18),0.153636 # DEPENDENCYPART_SIBL
(22,9),(22,19),0.00414777 # DEPENDENCYPART_SIBL
(22,9),(22,20),0.1351 # DEPENDENCYPART_SIBL
(22,9),(22,21),0.151783 # DEPENDENCYPART_SIBL
(22,9),(22,23),-0.00367388 # DEPENDENCYPART_SIBL
(22,10),(22,11),0.793986 # DEPENDENCYPART_SIBL
(22,10),(22,12),-0.316023 # DEPENDENCYPART_SIBL
(22,10),(22,13),-0.0181199 # DEPENDENCYPART_SIBL
(22,10),(22,14),-0.0139131 # DEPENDENCYPART_SIBL
(22,10),(22,15),0.641604 # DEPENDENCYPART_SIBL
(22,10),(22,16),0.187481 # DEPENDENCYPART_SIBL
(22,10),(22,17),-0.00699673 # DEPENDENCYPART_SIBL
(22,10),(22,18),0.0486841 # DEPENDENCYPART_SIBL
(22,10),(22,19),-0.0312104 # DEPENDENCYPART_SIBL
(22,10),(22,20),0.793986 # DEPENDENCYPART_SIBL
(22,10),(22,21),0.0468314 # DEPENDENCYPART_SIBL
(22,10),(22,23),0.00336493 # DEPENDENCYPART_SIBL
(22,11),(22,12),-0.385479 # DEPENDENCYPART_SIBL
(22,11),(22,13),0.10299 # DEPENDENCYPART_SIBL
(22,11),(22,14),0.102049 # DEPENDENCYPART_SIBL
(22,11),(22,15),-0.0394638 # DEPENDENCYPART_SIBL
(22,11),(22,16),0.0192016 # DEPENDENCYPART_SIBL
(22,11),(22,17),0.0127458 # DEPENDENCYPART_SIBL
(22,11),(22,18),0.00537038 # DEPENDENCYPART_SIBL
(22,11),(22,19),0.1002 # DEPENDENCYPART_SIBL
(22,11),(22,20),-0.0162343 # DEPENDENCYPART_SIBL
(22,11),(22,21),0.00351765 # DEPENDENCYPART_SIBL
(22,11),(22,23),-0.00798905 # DEPENDENCYPART_SIBL
(22,12),(22,13),0.0100736 # DEPENDENCYPART_SIBL
(22,12),(22,14),0.0100349 # DEPENDENCYPART_SIBL
(22,12),(22,15),0.187795 # DEPENDENCYPART_SIBL
(22,12),(22,16),0.0247196 # DEPENDENCYPART_SIBL
(22,12),(22,17),-0.0204869 # DEPENDENCYPART_SIBL
(22,12),(22,18),0.153636 # DEPENDENCYPART_SIBL
(22,12),(22,19),0.00414777 # DEPENDENCYPART_SIBL
(22,12),(22,20),0.1351 # DEPENDENCYPART_SIBL
(22,12),(22,21),0.151783 # DEPENDENCYPART_SIBL
(22,12),(22,23),-0.00367388 # DEPENDENCYPART_SIBL
(22,13),(22,14),-0.0139131 # DEPENDENCYPART_SIBL
(22,13),(22,15),0.641604 # DEPENDENCYPART_SIBL
(22,13),(22,16),0.187481 # DEPENDENCYPART_SIBL
(22,13),(22,17),-0.00699673 # DEPENDENCYPART_SIBL
(22,13),(22,18),0.0486841 # DEPENDENCYPART_SIBL
(22,13),(22,19),-0.0312104 # DEPENDENCYPART_SIBL
(22,13),(22,20),0.793986 # DEPENDENCYPART_SIBL
(22,13),(22,21),0.0468314 # DEPENDENCYPART_SIBL
(22,13),(22,23),0.00336493 # DEPENDENCYPART_SIBL
(22,14),(22,15),0.623126 # DEPENDENCYPART_SIBL
(22,14),(22,16),0.179531 # DEPENDENCYPART_SIBL
(22,14),(22,17),-0.0151087 # DEPENDENCYPART_SIBL
(22,14),(22,18),0.0387565 # DEPENDENCYPART_SIBL
(22,14),(22,19),-0.048412 # DEPENDENCYPART_SIBL
(22,14),(22,20),0.788167 # DEPENDENCYPART_SIBL
(22,14),(22,21),0.0369038 # DEPENDENCYPART_SIBL
(22,14),(22,23),-0.000604444 # DEPENDENCYPART_SIBL
(22,15),(22,16),0.068148 # DEPENDENCYPART_SIBL
(22,15),(22,17),-0.0226626 # DEPENDENCYPART_SIBL
(22,15),(22,18),0.0277533 # DEPENDENCYPART_SIBL
(22,15),(22,19),0.0464273 # DEPENDENCYPART_SIBL
(22,15),(22,20),0.231554 # DEPENDENCYPART_SIBL
(22,15),(22,21),0.0259006 # DEPENDENCYPART_SIBL
(22,15),(22,23),-0.00844533 # DEPENDENCYPART_SIBL
(22,16),(22,17),0.19171 # DEPENDENCYPART_SIBL
(22,16),(22,18),-0.00858957 # DEPENDENCYPART_SIBL
(22,16),(22,19),0.0261487 # DEPENDENCYPART_SIBL
(22,16),(22,20),0.192401 # DEPENDENCYPART_SIBL
(22,16),(22,21),-0.0104423 # DEPENDENCYPART_SIBL
(22,16),(22,23),0.00635273 # DEPENDENCYPART_SIBL
(22,17),(22,18),0.122286 # DEPENDENCYPART_SIBL
(22,17),(22,19),-0.000730121 # DEPENDENCYPART_SIBL
(22,17),(22,20),0.670133 # DEPENDENCYPART_SIBL
(22,17),(22,21),0.120433 # DEPENDENCYPART_SIBL
(22,17),(22,23),0.00358867 # DEPENDENCYPART_SIBL
(22,18),(22,19),-0.00717681 # DEPENDENCYPART_SIBL
(22,18),(22,20),0.579577 # DEPENDENCYPART_SIBL
(22,18),(22,21),0.00932058 # DEPENDENCYPART_SIBL
(22,18),(22,23),-0.00411704 # DEPENDENCYPART_SIBL
(22,19),(22,20),0.788018 # DEPENDENCYPART_SIBL
(22,19),(22,21),0.0422043 # DEPENDENCYPART_SIBL
(22,19),(22,23),0.00728739 # DEPENDENCYPART_SIBL
(22,20),(22,21),0.00351765 # DEPENDENCYPART_SIBL
(22,20),(22,23),-0.00798905 # DEPENDENCYPART_SIBL
(22,21),(22,23),-0.00411704 # DEPENDENCYPART_SIBL
(23,3),(23,5),-0.0221468 # DEPENDENCYPART_SIBL
(23,3),(23,7),-0.0221468 # DEPENDENCYPART_SIBL
(23,3),(23,8),0.634879 # DEPENDENCYPART_SIBL
(23,3),(23,9),-0.32054 # DEPENDENCYPART_SIBL
(23,3),(23,10),-0.0221468 # DEPENDENCYPART_SIBL
(23,3),(23,11),0.785943 # DEPENDENCYPART_SIBL
(23,3),(23,12),-0.32054 # DEPENDENCYPART_SIBL
(23,3),(23,13),-0.0221468 # DEPENDENCYPART_SIBL
(23,3),(23,14),-0.01794 # DEPENDENCYPART_SIBL
(23,3),(23,15),0.634879 # DEPENDENCYPART_SIBL
(23,3),(23,16),0.183044 # DEPENDENCYPART_SIBL
(23,3),(23,17),-0.0104011 # DEPENDENCYPART_SIBL
(23,3),(23,18),0.0388601 # DEPENDENCYPART_SIBL
(23,3),(23,19),-0.0352373 # DEPENDENCYPART_SIBL
(23,3),(23,20),0.785943 # DEPENDENCYPART_SIBL
(23,3),(23,21),0.0370074 # DEPENDENCYPART_SIBL
(23,3),(23,22),-0.0233033 # DEPENDENCYPART_SIBL
(23,3),(23,24),-0.0343853 # DEPENDENCYPART_SIBL
(23,5),(23,7),-0.0215315 # DEPENDENCYPART_SIBL
(23,5),(23,8),0.63827 # DEPENDENCYPART_SIBL
(23,5),(23,9),-0.32054 # DEPENDENCYPART_SIBL
(23,5),(23,10),-0.0215315 # DEPENDENCYPART_SIBL
(23,5),(23,11),0.790588 # DEPENDENCYPART_SIBL
(23,5),(23,12),-0.32054 # DEPENDENCYPART_SIBL
(23,5),(23,13),-0.0215315 # DEPENDENCYPART_SIBL
(23,5),(23,14),-0.0173247 # DEPENDENCYPART_SIBL
(23,5),(23,15),0.63827 # DEPENDENCYPART_SIBL
(23,5),(23,16),0.184076 # DEPENDENCYPART_SIBL
(23,5),(23,17),-0.0104011 # DEPENDENCYPART_SIBL
(23,5),(23,18),0.0397554 # DEPENDENCYPART_SIBL
(23,5),(23,19),-0.034622 # DEPENDENCYPART_SIBL
(23,5),(23,20),0.790588 # DEPENDENCYPART_SIBL
(23,5),(23,21),0.0379027 # DEPENDENCYPART_SIBL
(23,5),(23,22),-0.022688 # DEPENDENCYPART_SIBL
(23,5),(23,24),-0.031958 # DEPENDENCYPART_SIBL
(23,7),(23,8),0.63827 # DEPENDENCYPART_SIBL
(23,7),(23,9),-0.32054 # DEPENDENCYPART_SIBL
(23,7),(23,10),-0.0215315 # DEPENDENCYPART_SIBL
(23,7),(23,11),0.790588 # DEPENDENCYPART_SIBL
(23,7),(23,12),-0.32054 # DEPENDENCYPART_SIBL
(23,7),(23,13),-0.0215315 # DEPENDENCYPART_SIBL
(23,7),(23,14),-0.0173247 # DEPENDENCYPART_SIBL
(23,7),(23,15),0.63827 # DEPENDENCYPART_SIBL
(23,7),(23,16),0.184076 # DEPENDENCYPART_SIBL
(23,7),(23,17),-0.0104011 # DEPENDENCYPART_SIBL
(23,7),(23,18),0.0397554 # DEPENDENCYPART_SIBL
(23,7),(23,19),-0.034622 # DEPENDENCYPART_SIBL
(23,7),(23,20),0.790588 # DEPENDENCYPART_SIBL
(23,7),(23,21),0.0379027 # DEPENDENCYPART_SIBL
(23,7),(23,22),-0.022688 # DEPENDENCYPART_SIBL
