# _root_ A megyei munkaügyi központokat és a társminisztériumokat is arra ösztönzi a gazdasági tárca , hogy segítsenek megoldani a bányászok elhelyezkedését , illetve átképzését megfelelő munkákra .
#goldHeads=4,4,4,10,10,7,10,10,10,0,13,13,10,10,10,9,16,19,20,17,17,17,17,25,17,10,
#predictedHeads=4,4,4,10,10,7,10,10,10,0,13,13,10,10,10,9,16,19,20,17,16,16,24,25,16,10,
(15,16),(15,19),0.0612638 # DEPENDENCYPART_SIBL
(15,16),(15,20),0.0612641 # DEPENDENCYPART_SIBL
(15,16),(15,21),0.137759 # DEPENDENCYPART_SIBL
(15,16),(15,22),-0.0386967 # DEPENDENCYPART_SIBL
(15,16),(15,23),0.0612641 # DEPENDENCYPART_SIBL
(15,16),(15,25),0.0612641 # DEPENDENCYPART_SIBL
(15,16),(15,26),0.0329812 # DEPENDENCYPART_SIBL
(15,17),(15,19),0.0605844 # DEPENDENCYPART_SIBL
(15,17),(15,20),0.0605847 # DEPENDENCYPART_SIBL
(15,17),(15,21),0.151359 # DEPENDENCYPART_SIBL
(15,17),(15,22),-0.0366411 # DEPENDENCYPART_SIBL
(15,17),(15,23),0.0605847 # DEPENDENCYPART_SIBL
(15,17),(15,25),0.0605847 # DEPENDENCYPART_SIBL
(15,17),(15,26),0.031783 # DEPENDENCYPART_SIBL
(15,19),(15,20),-0.0196762 # DEPENDENCYPART_SIBL
(15,19),(15,21),0.0133129 # DEPENDENCYPART_SIBL
(15,19),(15,22),-0.0606134 # DEPENDENCYPART_SIBL
(15,19),(15,23),-0.0196762 # DEPENDENCYPART_SIBL
(15,19),(15,25),-0.0196762 # DEPENDENCYPART_SIBL
(15,19),(15,26),0.00247671 # DEPENDENCYPART_SIBL
(15,20),(15,21),0.013313 # DEPENDENCYPART_SIBL
(15,20),(15,22),-0.065035 # DEPENDENCYPART_SIBL
(15,20),(15,23),-0.0240434 # DEPENDENCYPART_SIBL
(15,20),(15,25),-0.0240434 # DEPENDENCYPART_SIBL
(15,20),(15,26),0.00247674 # DEPENDENCYPART_SIBL
(15,21),(15,22),-0.000680811 # DEPENDENCYPART_SIBL
(15,21),(15,23),0.121388 # DEPENDENCYPART_SIBL
(15,21),(15,25),0.121388 # DEPENDENCYPART_SIBL
(15,21),(15,26),0.0259896 # DEPENDENCYPART_SIBL
(15,22),(15,23),-0.0196229 # DEPENDENCYPART_SIBL
(15,22),(15,25),-0.0196229 # DEPENDENCYPART_SIBL
(15,22),(15,26),0.0176282 # DEPENDENCYPART_SIBL
(15,23),(15,25),-0.0240434 # DEPENDENCYPART_SIBL
(15,23),(15,26),0.00247674 # DEPENDENCYPART_SIBL
(15,25),(15,26),0.00247674 # DEPENDENCYPART_SIBL
(16,4),(16,7),-0.0309984 # DEPENDENCYPART_SIBL
(16,4),(16,8),0.0881556 # DEPENDENCYPART_SIBL
(16,4),(16,9),-0.014392 # DEPENDENCYPART_SIBL
(16,4),(16,10),-0.00898354 # DEPENDENCYPART_SIBL
(16,4),(16,12),-0.00388267 # DEPENDENCYPART_SIBL
(16,4),(16,13),-0.0412773 # DEPENDENCYPART_SIBL
(16,4),(16,14),0.0956371 # DEPENDENCYPART_SIBL
(16,4),(16,15),0.0468174 # DEPENDENCYPART_SIBL
(16,4),(16,17),-0.0239861 # DEPENDENCYPART_SIBL
(16,4),(16,18),-0.0207151 # DEPENDENCYPART_SIBL
(16,4),(16,19),-0.0106725 # DEPENDENCYPART_SIBL
(16,4),(16,20),-0.0106718 # DEPENDENCYPART_SIBL
(16,4),(16,21),-0.00637658 # DEPENDENCYPART_SIBL
(16,4),(16,22),-0.0031631 # DEPENDENCYPART_SIBL
(16,4),(16,23),-0.0106718 # DEPENDENCYPART_SIBL
(16,4),(16,24),-0.0101055 # DEPENDENCYPART_SIBL
(16,4),(16,25),-0.0106718 # DEPENDENCYPART_SIBL
(16,4),(16,26),0.00695274 # DEPENDENCYPART_SIBL
(16,7),(16,8),0.0881556 # DEPENDENCYPART_SIBL
(16,7),(16,9),-0.014392 # DEPENDENCYPART_SIBL
(16,7),(16,10),-0.00898354 # DEPENDENCYPART_SIBL
(16,7),(16,12),-0.00388267 # DEPENDENCYPART_SIBL
(16,7),(16,13),-0.0412773 # DEPENDENCYPART_SIBL
(16,7),(16,14),0.0956371 # DEPENDENCYPART_SIBL
(16,7),(16,15),0.0468174 # DEPENDENCYPART_SIBL
(16,7),(16,17),-0.0239861 # DEPENDENCYPART_SIBL
(16,7),(16,18),-0.0207151 # DEPENDENCYPART_SIBL
(16,7),(16,19),-0.0106725 # DEPENDENCYPART_SIBL
(16,7),(16,20),-0.0106718 # DEPENDENCYPART_SIBL
(16,7),(16,21),-0.00637658 # DEPENDENCYPART_SIBL
(16,7),(16,22),-0.0031631 # DEPENDENCYPART_SIBL
(16,7),(16,23),-0.0106718 # DEPENDENCYPART_SIBL
(16,7),(16,24),-0.0101055 # DEPENDENCYPART_SIBL
(16,7),(16,25),-0.0106718 # DEPENDENCYPART_SIBL
(16,7),(16,26),0.00695274 # DEPENDENCYPART_SIBL
(16,8),(16,9),-0.0726021 # DEPENDENCYPART_SIBL
(16,8),(16,10),0.0501155 # DEPENDENCYPART_SIBL
(16,8),(16,12),0.0248 # DEPENDENCYPART_SIBL
(16,8),(16,13),-0.0647243 # DEPENDENCYPART_SIBL
(16,8),(16,14),-0.0348034 # DEPENDENCYPART_SIBL
(16,8),(16,15),-0.0240194 # DEPENDENCYPART_SIBL
(16,8),(16,17),-0.0139187 # DEPENDENCYPART_SIBL
(16,8),(16,18),-0.0335502 # DEPENDENCYPART_SIBL
(16,8),(16,19),-0.0435696 # DEPENDENCYPART_SIBL
(16,8),(16,20),-0.0435696 # DEPENDENCYPART_SIBL
(16,8),(16,21),0.0219613 # DEPENDENCYPART_SIBL
(16,8),(16,22),0.0269459 # DEPENDENCYPART_SIBL
(16,8),(16,23),-0.0435696 # DEPENDENCYPART_SIBL
(16,8),(16,24),-0.0386227 # DEPENDENCYPART_SIBL
(16,8),(16,25),-0.0435696 # DEPENDENCYPART_SIBL
(16,8),(16,26),0.029386 # DEPENDENCYPART_SIBL
(16,9),(16,10),-0.0612587 # DEPENDENCYPART_SIBL
(16,9),(16,12),-0.0507044 # DEPENDENCYPART_SIBL
(16,9),(16,13),-0.0696769 # DEPENDENCYPART_SIBL
(16,9),(16,14),0.00586203 # DEPENDENCYPART_SIBL
(16,9),(16,15),0.0343706 # DEPENDENCYPART_SIBL
(16,9),(16,17),-0.099453 # DEPENDENCYPART_SIBL
(16,9),(16,18),-0.032542 # DEPENDENCYPART_SIBL
(16,9),(16,19),-0.0495275 # DEPENDENCYPART_SIBL
(16,9),(16,20),-0.0495275 # DEPENDENCYPART_SIBL
(16,9),(16,21),-0.0151031 # DEPENDENCYPART_SIBL
(16,9),(16,22),-0.0558561 # DEPENDENCYPART_SIBL
(16,9),(16,23),-0.0495275 # DEPENDENCYPART_SIBL
(16,9),(16,24),-0.0391523 # DEPENDENCYPART_SIBL
(16,9),(16,25),-0.0495275 # DEPENDENCYPART_SIBL
(16,9),(16,26),-0.00243604 # DEPENDENCYPART_SIBL
(16,10),(16,12),-0.00555118 # DEPENDENCYPART_SIBL
(16,10),(16,13),-0.02497 # DEPENDENCYPART_SIBL
(16,10),(16,14),0.0793449 # DEPENDENCYPART_SIBL
(16,10),(16,15),-0.050802 # DEPENDENCYPART_SIBL
(16,10),(16,17),-0.0183638 # DEPENDENCYPART_SIBL
(16,10),(16,18),-0.0321 # DEPENDENCYPART_SIBL
(16,10),(16,19),-0.00872941 # DEPENDENCYPART_SIBL
(16,10),(16,20),-0.00872941 # DEPENDENCYPART_SIBL
(16,10),(16,21),0.00227714 # DEPENDENCYPART_SIBL
(16,10),(16,22),0.00189236 # DEPENDENCYPART_SIBL
(16,10),(16,23),-0.00872941 # DEPENDENCYPART_SIBL
(16,10),(16,24),-0.0161282 # DEPENDENCYPART_SIBL
(16,10),(16,25),-0.00872941 # DEPENDENCYPART_SIBL
(16,10),(16,26),0.0157563 # DEPENDENCYPART_SIBL
(16,12),(16,13),-0.0149454 # DEPENDENCYPART_SIBL
(16,12),(16,14),0.0441147 # DEPENDENCYPART_SIBL
(16,12),(16,15),0.0819404 # DEPENDENCYPART_SIBL
(16,12),(16,17),-0.00803789 # DEPENDENCYPART_SIBL
(16,12),(16,18),-0.00595617 # DEPENDENCYPART_SIBL
(16,12),(16,19),0.0143999 # DEPENDENCYPART_SIBL
(16,12),(16,20),0.0144006 # DEPENDENCYPART_SIBL
(16,12),(16,21),0.0172521 # DEPENDENCYPART_SIBL
(16,12),(16,22),-0.00629231 # DEPENDENCYPART_SIBL
(16,12),(16,23),0.0144006 # DEPENDENCYPART_SIBL
(16,12),(16,24),-0.0310291 # DEPENDENCYPART_SIBL
(16,12),(16,25),0.0144006 # DEPENDENCYPART_SIBL
(16,12),(16,26),0.00578495 # DEPENDENCYPART_SIBL
(16,13),(16,14),0.0990997 # DEPENDENCYPART_SIBL
(16,13),(16,15),0.0423149 # DEPENDENCYPART_SIBL
(16,13),(16,17),-0.0250748 # DEPENDENCYPART_SIBL
(16,13),(16,18),-0.0191829 # DEPENDENCYPART_SIBL
(16,13),(16,19),-0.0022723 # DEPENDENCYPART_SIBL
(16,13),(16,20),-0.0022716 # DEPENDENCYPART_SIBL
(16,13),(16,21),-0.0180675 # DEPENDENCYPART_SIBL
(16,13),(16,22),-0.00551275 # DEPENDENCYPART_SIBL
(16,13),(16,23),-0.0022716 # DEPENDENCYPART_SIBL
(16,13),(16,24),-0.00865389 # DEPENDENCYPART_SIBL
(16,13),(16,25),-0.0022716 # DEPENDENCYPART_SIBL
(16,13),(16,26),0.0068437 # DEPENDENCYPART_SIBL
(16,14),(16,15),0.0307099 # DEPENDENCYPART_SIBL
(16,14),(16,17),-0.0199806 # DEPENDENCYPART_SIBL
(16,14),(16,18),-0.0116264 # DEPENDENCYPART_SIBL
(16,14),(16,19),-0.0180145 # DEPENDENCYPART_SIBL
(16,14),(16,20),-0.0180136 # DEPENDENCYPART_SIBL
(16,14),(16,21),-0.00490476 # DEPENDENCYPART_SIBL
(16,14),(16,22),0.0246769 # DEPENDENCYPART_SIBL
(16,14),(16,23),-0.0180136 # DEPENDENCYPART_SIBL
(16,14),(16,24),-0.0192364 # DEPENDENCYPART_SIBL
(16,14),(16,25),-0.0180136 # DEPENDENCYPART_SIBL
(16,14),(16,26),0.0213227 # DEPENDENCYPART_SIBL
(16,15),(16,17),-0.0576844 # DEPENDENCYPART_SIBL
(16,15),(16,18),-0.042521 # DEPENDENCYPART_SIBL
(16,15),(16,19),-0.019771 # DEPENDENCYPART_SIBL
(16,15),(16,20),-0.019771 # DEPENDENCYPART_SIBL
(16,15),(16,21),-0.044926 # DEPENDENCYPART_SIBL
(16,15),(16,22),-0.0125839 # DEPENDENCYPART_SIBL
(16,15),(16,23),-0.019771 # DEPENDENCYPART_SIBL
(16,15),(16,24),-0.034981 # DEPENDENCYPART_SIBL
(16,15),(16,25),-0.019771 # DEPENDENCYPART_SIBL
(16,15),(16,26),0.0165303 # DEPENDENCYPART_SIBL
(16,17),(16,18),0.0397175 # DEPENDENCYPART_SIBL
(16,17),(16,19),0.00671193 # DEPENDENCYPART_SIBL
(16,17),(16,20),0.00671223 # DEPENDENCYPART_SIBL
(16,17),(16,21),0.0999594 # DEPENDENCYPART_SIBL
(16,17),(16,22),0.0619706 # DEPENDENCYPART_SIBL
(16,17),(16,23),0.00671223 # DEPENDENCYPART_SIBL
(16,17),(16,24),0.0179512 # DEPENDENCYPART_SIBL
(16,17),(16,25),0.00671223 # DEPENDENCYPART_SIBL
(16,17),(16,26),0.0281826 # DEPENDENCYPART_SIBL
(16,18),(16,19),0.0110333 # DEPENDENCYPART_SIBL
(16,18),(16,20),0.0110333 # DEPENDENCYPART_SIBL
(16,18),(16,21),-0.00728509 # DEPENDENCYPART_SIBL
(16,18),(16,22),0.0323484 # DEPENDENCYPART_SIBL
(16,18),(16,23),0.0110333 # DEPENDENCYPART_SIBL
(16,18),(16,24),-0.0109189 # DEPENDENCYPART_SIBL
(16,18),(16,25),0.0110333 # DEPENDENCYPART_SIBL
(16,18),(16,26),-0.0284786 # DEPENDENCYPART_SIBL
(16,19),(16,20),-0.0147381 # DEPENDENCYPART_SIBL
(16,19),(16,21),0.0430489 # DEPENDENCYPART_SIBL
(16,19),(16,22),0.0214825 # DEPENDENCYPART_SIBL
(16,19),(16,23),-0.0147381 # DEPENDENCYPART_SIBL
(16,19),(16,24),0.0288181 # DEPENDENCYPART_SIBL
(16,19),(16,25),-0.0147381 # DEPENDENCYPART_SIBL
(16,19),(16,26),-1.62297e-05 # DEPENDENCYPART_SIBL
(16,20),(16,21),0.0430489 # DEPENDENCYPART_SIBL
(16,20),(16,22),0.0170609 # DEPENDENCYPART_SIBL
(16,20),(16,23),-0.0191053 # DEPENDENCYPART_SIBL
(16,20),(16,24),0.0244497 # DEPENDENCYPART_SIBL
(16,20),(16,25),-0.0191053 # DEPENDENCYPART_SIBL
(16,20),(16,26),-1.62179e-05 # DEPENDENCYPART_SIBL
(16,21),(16,22),0.206847 # DEPENDENCYPART_SIBL
(16,21),(16,23),0.07652 # DEPENDENCYPART_SIBL
(16,21),(16,24),0.0585173 # DEPENDENCYPART_SIBL
(16,21),(16,25),0.07652 # DEPENDENCYPART_SIBL
(16,21),(16,26),0.0489202 # DEPENDENCYPART_SIBL
(16,22),(16,23),0.134433 # DEPENDENCYPART_SIBL
(16,22),(16,24),0.100032 # DEPENDENCYPART_SIBL
(16,22),(16,25),0.134433 # DEPENDENCYPART_SIBL
(16,22),(16,26),0.0676812 # DEPENDENCYPART_SIBL
(16,23),(16,24),0.0244497 # DEPENDENCYPART_SIBL
(16,23),(16,25),-0.0191053 # DEPENDENCYPART_SIBL
(16,23),(16,26),-1.62179e-05 # DEPENDENCYPART_SIBL
(16,24),(16,25),-0.0282205 # DEPENDENCYPART_SIBL
(16,24),(16,26),-0.0159428 # DEPENDENCYPART_SIBL
(16,25),(16,26),-1.62179e-05 # DEPENDENCYPART_SIBL
(17,1),(17,2),0.0083863 # DEPENDENCYPART_SIBL
(17,1),(17,3),-0.0225067 # DEPENDENCYPART_SIBL
(17,1),(17,4),0.00543306 # DEPENDENCYPART_SIBL
(17,1),(17,5),0.0364241 # DEPENDENCYPART_SIBL
(17,1),(17,6),-0.125703 # DEPENDENCYPART_SIBL
(17,1),(17,7),0.00543306 # DEPENDENCYPART_SIBL
(17,1),(17,8),0.0786275 # DEPENDENCYPART_SIBL
(17,1),(17,9),-0.0589308 # DEPENDENCYPART_SIBL
(17,1),(17,10),0.0261215 # DEPENDENCYPART_SIBL
(17,1),(17,11),-0.125703 # DEPENDENCYPART_SIBL
(17,1),(17,12),-0.0224351 # DEPENDENCYPART_SIBL
(17,1),(17,13),0.00261611 # DEPENDENCYPART_SIBL
(17,1),(17,14),0.00175994 # DEPENDENCYPART_SIBL
(17,1),(17,15),0.040475 # DEPENDENCYPART_SIBL
(17,1),(17,16),0.0261215 # DEPENDENCYPART_SIBL
(17,1),(17,18),0.0222662 # DEPENDENCYPART_SIBL
(17,1),(17,19),-0.020664 # DEPENDENCYPART_SIBL
(17,1),(17,20),-0.020664 # DEPENDENCYPART_SIBL
(17,1),(17,21),-0.0483424 # DEPENDENCYPART_SIBL
(17,1),(17,22),-0.00882289 # DEPENDENCYPART_SIBL
(17,1),(17,23),-0.020664 # DEPENDENCYPART_SIBL
(17,1),(17,24),0.000587496 # DEPENDENCYPART_SIBL
(17,1),(17,25),-0.020664 # DEPENDENCYPART_SIBL
(17,1),(17,26),-0.0638111 # DEPENDENCYPART_SIBL
(17,2),(17,3),-0.0136856 # DEPENDENCYPART_SIBL
(17,2),(17,4),-0.027912 # DEPENDENCYPART_SIBL
(17,2),(17,5),0.152282 # DEPENDENCYPART_SIBL
(17,2),(17,6),-0.202111 # DEPENDENCYPART_SIBL
(17,2),(17,7),-0.027912 # DEPENDENCYPART_SIBL
(17,2),(17,8),0.0936907 # DEPENDENCYPART_SIBL
(17,2),(17,9),-0.0269006 # DEPENDENCYPART_SIBL
(17,2),(17,10),-0.00465781 # DEPENDENCYPART_SIBL
(17,2),(17,11),-0.202111 # DEPENDENCYPART_SIBL
(17,2),(17,12),-0.00936678 # DEPENDENCYPART_SIBL
(17,2),(17,13),-0.0258945 # DEPENDENCYPART_SIBL
(17,2),(17,14),0.0394651 # DEPENDENCYPART_SIBL
(17,2),(17,15),0.0764182 # DEPENDENCYPART_SIBL
(17,2),(17,16),-0.00465781 # DEPENDENCYPART_SIBL
(17,2),(17,18),-0.00662013 # DEPENDENCYPART_SIBL
(17,2),(17,19),0.0123604 # DEPENDENCYPART_SIBL
(17,2),(17,20),0.012361 # DEPENDENCYPART_SIBL
(17,2),(17,21),0.000567594 # DEPENDENCYPART_SIBL
(17,2),(17,22),-0.00718107 # DEPENDENCYPART_SIBL
(17,2),(17,23),0.012361 # DEPENDENCYPART_SIBL
(17,2),(17,24),-0.0323668 # DEPENDENCYPART_SIBL
(17,2),(17,25),0.012361 # DEPENDENCYPART_SIBL
(17,2),(17,26),0.00375983 # DEPENDENCYPART_SIBL
(17,3),(17,4),-0.0277796 # DEPENDENCYPART_SIBL
(17,3),(17,5),0.147117 # DEPENDENCYPART_SIBL
(17,3),(17,6),-0.205458 # DEPENDENCYPART_SIBL
(17,3),(17,7),-0.0277796 # DEPENDENCYPART_SIBL
(17,3),(17,8),0.0911157 # DEPENDENCYPART_SIBL
(17,3),(17,9),-0.0268818 # DEPENDENCYPART_SIBL
(17,3),(17,10),-0.00464035 # DEPENDENCYPART_SIBL
(17,3),(17,11),-0.205458 # DEPENDENCYPART_SIBL
(17,3),(17,12),-0.0186767 # DEPENDENCYPART_SIBL
(17,3),(17,13),-0.0257621 # DEPENDENCYPART_SIBL
(17,3),(17,14),0.0395806 # DEPENDENCYPART_SIBL
(17,3),(17,15),0.0738407 # DEPENDENCYPART_SIBL
(17,3),(17,16),-0.00464035 # DEPENDENCYPART_SIBL
(17,3),(17,18),-0.00652014 # DEPENDENCYPART_SIBL
(17,3),(17,19),0.0124711 # DEPENDENCYPART_SIBL
(17,3),(17,20),0.0124717 # DEPENDENCYPART_SIBL
(17,3),(17,21),0.00108878 # DEPENDENCYPART_SIBL
(17,3),(17,22),-0.00702881 # DEPENDENCYPART_SIBL
(17,3),(17,23),0.0124717 # DEPENDENCYPART_SIBL
(17,3),(17,24),-0.0322583 # DEPENDENCYPART_SIBL
(17,3),(17,25),0.0124717 # DEPENDENCYPART_SIBL
(17,3),(17,26),0.004028 # DEPENDENCYPART_SIBL
(17,4),(17,5),0.111289 # DEPENDENCYPART_SIBL
(17,4),(17,6),-0.0771654 # DEPENDENCYPART_SIBL
(17,4),(17,7),-0.0678212 # DEPENDENCYPART_SIBL
(17,4),(17,8),0.0700953 # DEPENDENCYPART_SIBL
(17,4),(17,9),-0.0296239 # DEPENDENCYPART_SIBL
(17,4),(17,10),-0.02574 # DEPENDENCYPART_SIBL
(17,4),(17,11),-0.0771654 # DEPENDENCYPART_SIBL
(17,4),(17,12),-0.0200823 # DEPENDENCYPART_SIBL
(17,4),(17,13),-0.0781001 # DEPENDENCYPART_SIBL
(17,4),(17,14),0.0653866 # DEPENDENCYPART_SIBL
(17,4),(17,15),0.0287571 # DEPENDENCYPART_SIBL
(17,4),(17,16),-0.02574 # DEPENDENCYPART_SIBL
(17,4),(17,18),-0.0222392 # DEPENDENCYPART_SIBL
(17,4),(17,19),-0.00439403 # DEPENDENCYPART_SIBL
(17,4),(17,20),-0.00439333 # DEPENDENCYPART_SIBL
(17,4),(17,21),-0.0266897 # DEPENDENCYPART_SIBL
(17,4),(17,22),-0.00495242 # DEPENDENCYPART_SIBL
(17,4),(17,23),-0.00439333 # DEPENDENCYPART_SIBL
(17,4),(17,24),-0.0116314 # DEPENDENCYPART_SIBL
(17,4),(17,25),-0.00439333 # DEPENDENCYPART_SIBL
(17,4),(17,26),0.00492018 # DEPENDENCYPART_SIBL
(17,5),(17,6),-0.120501 # DEPENDENCYPART_SIBL
(17,5),(17,7),0.0117487 # DEPENDENCYPART_SIBL
(17,5),(17,8),0.0150111 # DEPENDENCYPART_SIBL
(17,5),(17,9),-0.0900975 # DEPENDENCYPART_SIBL
(17,5),(17,10),0.0639529 # DEPENDENCYPART_SIBL
(17,5),(17,11),-0.120501 # DEPENDENCYPART_SIBL
(17,5),(17,12),-0.00192993 # DEPENDENCYPART_SIBL
(17,5),(17,13),0.0092632 # DEPENDENCYPART_SIBL
(17,5),(17,14),-0.0286374 # DEPENDENCYPART_SIBL
(17,5),(17,15),-0.0364091 # DEPENDENCYPART_SIBL
(17,5),(17,16),0.0639529 # DEPENDENCYPART_SIBL
(17,5),(17,18),-0.046619 # DEPENDENCYPART_SIBL
(17,5),(17,19),-0.00861426 # DEPENDENCYPART_SIBL
(17,5),(17,20),-0.00861426 # DEPENDENCYPART_SIBL
(17,5),(17,21),-0.0364496 # DEPENDENCYPART_SIBL
(17,5),(17,22),-0.00651722 # DEPENDENCYPART_SIBL
(17,5),(17,23),-0.00861426 # DEPENDENCYPART_SIBL
(17,5),(17,24),-0.0321038 # DEPENDENCYPART_SIBL
(17,5),(17,25),-0.00861426 # DEPENDENCYPART_SIBL
(17,5),(17,26),-0.00453938 # DEPENDENCYPART_SIBL
(17,6),(17,7),0.00543306 # DEPENDENCYPART_SIBL
(17,6),(17,8),0.0786275 # DEPENDENCYPART_SIBL
(17,6),(17,9),-0.0589308 # DEPENDENCYPART_SIBL
(17,6),(17,10),0.0261215 # DEPENDENCYPART_SIBL
(17,6),(17,11),-0.125703 # DEPENDENCYPART_SIBL
(17,6),(17,12),-0.0224351 # DEPENDENCYPART_SIBL
(17,6),(17,13),0.00261611 # DEPENDENCYPART_SIBL
(17,6),(17,14),0.00175994 # DEPENDENCYPART_SIBL
(17,6),(17,15),0.040475 # DEPENDENCYPART_SIBL
(17,6),(17,16),0.0261215 # DEPENDENCYPART_SIBL
(17,6),(17,18),0.0222662 # DEPENDENCYPART_SIBL
(17,6),(17,19),-0.020664 # DEPENDENCYPART_SIBL
(17,6),(17,20),-0.020664 # DEPENDENCYPART_SIBL
(17,6),(17,21),-0.0483424 # DEPENDENCYPART_SIBL
(17,6),(17,22),-0.00882289 # DEPENDENCYPART_SIBL
(17,6),(17,23),-0.020664 # DEPENDENCYPART_SIBL
(17,6),(17,24),0.000587496 # DEPENDENCYPART_SIBL
(17,6),(17,25),-0.020664 # DEPENDENCYPART_SIBL
(17,6),(17,26),-0.0638111 # DEPENDENCYPART_SIBL
(17,7),(17,8),0.0700953 # DEPENDENCYPART_SIBL
(17,7),(17,9),-0.0296239 # DEPENDENCYPART_SIBL
(17,7),(17,10),-0.02574 # DEPENDENCYPART_SIBL
(17,7),(17,11),-0.0771654 # DEPENDENCYPART_SIBL
(17,7),(17,12),-0.0200823 # DEPENDENCYPART_SIBL
(17,7),(17,13),-0.0781001 # DEPENDENCYPART_SIBL
(17,7),(17,14),0.0653866 # DEPENDENCYPART_SIBL
(17,7),(17,15),0.0287571 # DEPENDENCYPART_SIBL
(17,7),(17,16),-0.02574 # DEPENDENCYPART_SIBL
(17,7),(17,18),-0.0222392 # DEPENDENCYPART_SIBL
(17,7),(17,19),-0.00439403 # DEPENDENCYPART_SIBL
(17,7),(17,20),-0.00439333 # DEPENDENCYPART_SIBL
(17,7),(17,21),-0.0266897 # DEPENDENCYPART_SIBL
(17,7),(17,22),-0.00495242 # DEPENDENCYPART_SIBL
(17,7),(17,23),-0.00439333 # DEPENDENCYPART_SIBL
(17,7),(17,24),-0.0116314 # DEPENDENCYPART_SIBL
(17,7),(17,25),-0.00439333 # DEPENDENCYPART_SIBL
(17,7),(17,26),0.00492018 # DEPENDENCYPART_SIBL
(17,8),(17,9),-0.0729846 # DEPENDENCYPART_SIBL
(17,8),(17,10),0.0484379 # DEPENDENCYPART_SIBL
(17,8),(17,11),-0.111664 # DEPENDENCYPART_SIBL
(17,8),(17,12),0.0239239 # DEPENDENCYPART_SIBL
(17,8),(17,13),-0.0771253 # DEPENDENCYPART_SIBL
(17,8),(17,14),-0.0435059 # DEPENDENCYPART_SIBL
(17,8),(17,15),-0.0262902 # DEPENDENCYPART_SIBL
(17,8),(17,16),0.0484379 # DEPENDENCYPART_SIBL
(17,8),(17,18),-0.0338013 # DEPENDENCYPART_SIBL
(17,8),(17,19),-0.0399343 # DEPENDENCYPART_SIBL
(17,8),(17,20),-0.0399343 # DEPENDENCYPART_SIBL
(17,8),(17,21),0.0111201 # DEPENDENCYPART_SIBL
(17,8),(17,22),0.0264314 # DEPENDENCYPART_SIBL
(17,8),(17,23),-0.0399343 # DEPENDENCYPART_SIBL
(17,8),(17,24),-0.0388752 # DEPENDENCYPART_SIBL
(17,8),(17,25),-0.0399343 # DEPENDENCYPART_SIBL
(17,8),(17,26),0.0287517 # DEPENDENCYPART_SIBL
(17,9),(17,10),-0.0623481 # DEPENDENCYPART_SIBL
(17,9),(17,11),0.0496531 # DEPENDENCYPART_SIBL
(17,9),(17,12),-0.0512641 # DEPENDENCYPART_SIBL
(17,9),(17,13),-0.0816392 # DEPENDENCYPART_SIBL
(17,9),(17,14),-0.00250916 # DEPENDENCYPART_SIBL
(17,9),(17,15),0.0324329 # DEPENDENCYPART_SIBL
(17,9),(17,16),-0.0623481 # DEPENDENCYPART_SIBL
(17,9),(17,18),-0.0325835 # DEPENDENCYPART_SIBL
(17,9),(17,19),-0.0456819 # DEPENDENCYPART_SIBL
(17,9),(17,20),-0.0456819 # DEPENDENCYPART_SIBL
(17,9),(17,21),-0.0257563 # DEPENDENCYPART_SIBL
(17,9),(17,22),-0.0560934 # DEPENDENCYPART_SIBL
(17,9),(17,23),-0.0456819 # DEPENDENCYPART_SIBL
(17,9),(17,24),-0.0391952 # DEPENDENCYPART_SIBL
(17,9),(17,25),-0.0456819 # DEPENDENCYPART_SIBL
(17,9),(17,26),-0.00285639 # DEPENDENCYPART_SIBL
(17,10),(17,11),-0.0661052 # DEPENDENCYPART_SIBL
(17,10),(17,12),-0.00604474 # DEPENDENCYPART_SIBL
(17,10),(17,13),-0.0368613 # DEPENDENCYPART_SIBL
(17,10),(17,14),0.0710248 # DEPENDENCYPART_SIBL
(17,10),(17,15),-0.0526902 # DEPENDENCYPART_SIBL
(17,10),(17,16),-0.0332512 # DEPENDENCYPART_SIBL
(17,10),(17,18),-0.0322617 # DEPENDENCYPART_SIBL
(17,10),(17,19),-0.00501003 # DEPENDENCYPART_SIBL
(17,10),(17,20),-0.00501003 # DEPENDENCYPART_SIBL
(17,10),(17,21),-0.00856202 # DEPENDENCYPART_SIBL
(17,10),(17,22),0.00153441 # DEPENDENCYPART_SIBL
(17,10),(17,23),-0.00501003 # DEPENDENCYPART_SIBL
(17,10),(17,24),-0.0162912 # DEPENDENCYPART_SIBL
(17,10),(17,25),-0.00501003 # DEPENDENCYPART_SIBL
(17,10),(17,26),0.015189 # DEPENDENCYPART_SIBL
(17,11),(17,12),-0.0224351 # DEPENDENCYPART_SIBL
(17,11),(17,13),0.00261611 # DEPENDENCYPART_SIBL
(17,11),(17,14),0.00175994 # DEPENDENCYPART_SIBL
(17,11),(17,15),0.040475 # DEPENDENCYPART_SIBL
(17,11),(17,16),0.0261215 # DEPENDENCYPART_SIBL
(17,11),(17,18),0.0222662 # DEPENDENCYPART_SIBL
(17,11),(17,19),-0.020664 # DEPENDENCYPART_SIBL
(17,11),(17,20),-0.020664 # DEPENDENCYPART_SIBL
(17,11),(17,21),-0.0483424 # DEPENDENCYPART_SIBL
(17,11),(17,22),-0.00882289 # DEPENDENCYPART_SIBL
