# _root_ A század első negyedében Alsógöd , Felsőgöd és Sződliget kialakuló református gyülekezetei előbb a váci anyaegyház leány- , majd fiókegyházaiként növekedtek .
#goldHeads=2,4,4,21,12,12,12,12,12,12,12,21,21,16,16,20,20,20,20,21,0,21,
#predictedHeads=2,4,4,8,7,7,12,12,10,12,12,21,21,16,16,20,21,21,21,21,0,21,
(9,1),(9,16),-0.00331961 # DEPENDENCYPART_SIBL
(9,1),(9,18),-0.00907785 # DEPENDENCYPART_SIBL
(9,1),(9,21),0.0086177 # DEPENDENCYPART_SIBL
(9,1),(9,22),-0.0285178 # DEPENDENCYPART_SIBL
(9,3),(9,5),0.0104275 # DEPENDENCYPART_SIBL
(9,3),(9,6),0.528908 # DEPENDENCYPART_SIBL
(9,3),(9,7),0.0104275 # DEPENDENCYPART_SIBL
(9,3),(9,8),0.551139 # DEPENDENCYPART_SIBL
(9,3),(9,10),-0.0103508 # DEPENDENCYPART_SIBL
(9,3),(9,11),-0.0103508 # DEPENDENCYPART_SIBL
(9,3),(9,12),0.00776751 # DEPENDENCYPART_SIBL
(9,3),(9,16),0.00776751 # DEPENDENCYPART_SIBL
(9,3),(9,18),-0.0148303 # DEPENDENCYPART_SIBL
(9,3),(9,21),0.00617436 # DEPENDENCYPART_SIBL
(9,3),(9,22),0.0267382 # DEPENDENCYPART_SIBL
(9,5),(9,6),0.641687 # DEPENDENCYPART_SIBL
(9,5),(9,7),-0.018106 # DEPENDENCYPART_SIBL
(9,5),(9,8),0.794005 # DEPENDENCYPART_SIBL
(9,5),(9,10),0.044688 # DEPENDENCYPART_SIBL
(9,5),(9,11),0.0446864 # DEPENDENCYPART_SIBL
(9,5),(9,12),0.00337853 # DEPENDENCYPART_SIBL
(9,5),(9,16),0.00337853 # DEPENDENCYPART_SIBL
(9,5),(9,18),-0.00283849 # DEPENDENCYPART_SIBL
(9,5),(9,21),0.00765816 # DEPENDENCYPART_SIBL
(9,5),(9,22),0.041682 # DEPENDENCYPART_SIBL
(9,6),(9,7),0.0569251 # DEPENDENCYPART_SIBL
(9,6),(9,8),0.231586 # DEPENDENCYPART_SIBL
(9,6),(9,10),-0.00378311 # DEPENDENCYPART_SIBL
(9,6),(9,11),-0.00378884 # DEPENDENCYPART_SIBL
(9,6),(9,12),-0.00844461 # DEPENDENCYPART_SIBL
(9,6),(9,16),-0.00844461 # DEPENDENCYPART_SIBL
(9,6),(9,18),-0.0346477 # DEPENDENCYPART_SIBL
(9,6),(9,21),-0.0278874 # DEPENDENCYPART_SIBL
(9,6),(9,22),0.0238545 # DEPENDENCYPART_SIBL
(9,7),(9,8),0.794005 # DEPENDENCYPART_SIBL
(9,7),(9,10),0.044688 # DEPENDENCYPART_SIBL
(9,7),(9,11),0.0446864 # DEPENDENCYPART_SIBL
(9,7),(9,12),0.00337853 # DEPENDENCYPART_SIBL
(9,7),(9,16),0.00337853 # DEPENDENCYPART_SIBL
(9,7),(9,18),-0.00283849 # DEPENDENCYPART_SIBL
(9,7),(9,21),0.00765816 # DEPENDENCYPART_SIBL
(9,7),(9,22),0.041682 # DEPENDENCYPART_SIBL
(9,8),(9,10),0.0324267 # DEPENDENCYPART_SIBL
(9,8),(9,11),0.032426 # DEPENDENCYPART_SIBL
(9,8),(9,12),-0.00798823 # DEPENDENCYPART_SIBL
(9,8),(9,16),-0.00798823 # DEPENDENCYPART_SIBL
(9,8),(9,18),-0.0168208 # DEPENDENCYPART_SIBL
(9,8),(9,21),-0.0141082 # DEPENDENCYPART_SIBL
(9,8),(9,22),0.0197197 # DEPENDENCYPART_SIBL
(9,10),(9,11),0.00595368 # DEPENDENCYPART_SIBL
(9,10),(9,12),0.0547467 # DEPENDENCYPART_SIBL
(9,10),(9,16),0.0547467 # DEPENDENCYPART_SIBL
(9,10),(9,18),0.0902079 # DEPENDENCYPART_SIBL
(9,10),(9,21),0.0558709 # DEPENDENCYPART_SIBL
(9,10),(9,22),0.106008 # DEPENDENCYPART_SIBL
(9,11),(9,12),0.0547397 # DEPENDENCYPART_SIBL
(9,11),(9,16),0.0547397 # DEPENDENCYPART_SIBL
(9,11),(9,18),0.0901559 # DEPENDENCYPART_SIBL
(9,11),(9,21),0.0558709 # DEPENDENCYPART_SIBL
(9,11),(9,22),0.106004 # DEPENDENCYPART_SIBL
(9,12),(9,16),0.00471394 # DEPENDENCYPART_SIBL
(9,12),(9,18),0.103086 # DEPENDENCYPART_SIBL
(9,12),(9,21),0.058216 # DEPENDENCYPART_SIBL
(9,12),(9,22),0.0485651 # DEPENDENCYPART_SIBL
(9,16),(9,18),0.103086 # DEPENDENCYPART_SIBL
(9,16),(9,21),0.058216 # DEPENDENCYPART_SIBL
(9,16),(9,22),0.0485651 # DEPENDENCYPART_SIBL
(9,18),(9,21),0.425607 # DEPENDENCYPART_SIBL
(9,18),(9,22),0.0787788 # DEPENDENCYPART_SIBL
(9,21),(9,22),0.211166 # DEPENDENCYPART_SIBL
(10,2),(10,5),0.0570588 # DEPENDENCYPART_SIBL
(10,2),(10,6),0.268067 # DEPENDENCYPART_SIBL
(10,2),(10,7),0.0570588 # DEPENDENCYPART_SIBL
(10,2),(10,8),0.424546 # DEPENDENCYPART_SIBL
(10,2),(10,9),0.0570588 # DEPENDENCYPART_SIBL
(10,2),(10,11),0.0404553 # DEPENDENCYPART_SIBL
(10,2),(10,16),0.0140908 # DEPENDENCYPART_SIBL
(10,2),(10,19),0.00909277 # DEPENDENCYPART_SIBL
(10,2),(10,21),0.00772374 # DEPENDENCYPART_SIBL
(10,2),(10,22),0.0518648 # DEPENDENCYPART_SIBL
(10,5),(10,6),0.282579 # DEPENDENCYPART_SIBL
(10,5),(10,7),0.0768169 # DEPENDENCYPART_SIBL
(10,5),(10,8),0.436396 # DEPENDENCYPART_SIBL
(10,5),(10,9),0.0768169 # DEPENDENCYPART_SIBL
(10,5),(10,11),0.043297 # DEPENDENCYPART_SIBL
(10,5),(10,16),0.0205543 # DEPENDENCYPART_SIBL
(10,5),(10,19),0.0132062 # DEPENDENCYPART_SIBL
(10,5),(10,21),0.0108473 # DEPENDENCYPART_SIBL
(10,5),(10,22),0.0621772 # DEPENDENCYPART_SIBL
(10,6),(10,7),0.0485319 # DEPENDENCYPART_SIBL
(10,6),(10,8),0.162833 # DEPENDENCYPART_SIBL
(10,6),(10,9),0.0485319 # DEPENDENCYPART_SIBL
(10,6),(10,11),-0.00567297 # DEPENDENCYPART_SIBL
(10,6),(10,16),0.020632 # DEPENDENCYPART_SIBL
(10,6),(10,19),-0.0190883 # DEPENDENCYPART_SIBL
(10,6),(10,21),-0.0220025 # DEPENDENCYPART_SIBL
(10,6),(10,22),0.0204112 # DEPENDENCYPART_SIBL
(10,7),(10,8),0.436396 # DEPENDENCYPART_SIBL
(10,7),(10,9),0.0768169 # DEPENDENCYPART_SIBL
(10,7),(10,11),0.043297 # DEPENDENCYPART_SIBL
(10,7),(10,16),0.0205543 # DEPENDENCYPART_SIBL
(10,7),(10,19),0.0132062 # DEPENDENCYPART_SIBL
(10,7),(10,21),0.0108473 # DEPENDENCYPART_SIBL
(10,7),(10,22),0.0621772 # DEPENDENCYPART_SIBL
(10,8),(10,9),0.10495 # DEPENDENCYPART_SIBL
(10,8),(10,11),0.0179656 # DEPENDENCYPART_SIBL
(10,8),(10,16),0.0181571 # DEPENDENCYPART_SIBL
(10,8),(10,19),-0.00959228 # DEPENDENCYPART_SIBL
(10,8),(10,21),-0.0289198 # DEPENDENCYPART_SIBL
(10,8),(10,22),0.00386746 # DEPENDENCYPART_SIBL
(10,9),(10,11),0.043297 # DEPENDENCYPART_SIBL
(10,9),(10,16),0.0205543 # DEPENDENCYPART_SIBL
(10,9),(10,19),0.0132062 # DEPENDENCYPART_SIBL
(10,9),(10,21),0.0108473 # DEPENDENCYPART_SIBL
(10,9),(10,22),0.0621772 # DEPENDENCYPART_SIBL
(10,11),(10,16),0.00650797 # DEPENDENCYPART_SIBL
(10,11),(10,19),-0.0104114 # DEPENDENCYPART_SIBL
(10,11),(10,21),0.029102 # DEPENDENCYPART_SIBL
(10,11),(10,22),0.000898001 # DEPENDENCYPART_SIBL
(10,16),(10,19),-0.0279049 # DEPENDENCYPART_SIBL
(10,16),(10,21),0.0437355 # DEPENDENCYPART_SIBL
(10,16),(10,22),0.0136211 # DEPENDENCYPART_SIBL
(10,19),(10,21),0.0198929 # DEPENDENCYPART_SIBL
(10,19),(10,22),-0.0187591 # DEPENDENCYPART_SIBL
(10,21),(10,22),0.0759838 # DEPENDENCYPART_SIBL
(11,2),(11,5),0.0570547 # DEPENDENCYPART_SIBL
(11,2),(11,6),0.268068 # DEPENDENCYPART_SIBL
(11,2),(11,7),0.0570547 # DEPENDENCYPART_SIBL
(11,2),(11,8),0.424533 # DEPENDENCYPART_SIBL
(11,2),(11,9),0.0570547 # DEPENDENCYPART_SIBL
(11,2),(11,10),0.0168165 # DEPENDENCYPART_SIBL
(11,2),(11,13),0.0306374 # DEPENDENCYPART_SIBL
(11,5),(11,6),0.282581 # DEPENDENCYPART_SIBL
(11,5),(11,7),0.0768128 # DEPENDENCYPART_SIBL
(11,5),(11,8),0.436383 # DEPENDENCYPART_SIBL
(11,5),(11,9),0.0768128 # DEPENDENCYPART_SIBL
(11,5),(11,10),0.0265161 # DEPENDENCYPART_SIBL
(11,5),(11,13),0.0349827 # DEPENDENCYPART_SIBL
(11,6),(11,7),0.0485424 # DEPENDENCYPART_SIBL
(11,6),(11,8),0.162837 # DEPENDENCYPART_SIBL
(11,6),(11,9),0.0485424 # DEPENDENCYPART_SIBL
(11,6),(11,10),0.0235697 # DEPENDENCYPART_SIBL
(11,6),(11,13),-0.0359979 # DEPENDENCYPART_SIBL
(11,7),(11,8),0.436383 # DEPENDENCYPART_SIBL
(11,7),(11,9),0.0768128 # DEPENDENCYPART_SIBL
(11,7),(11,10),0.0265161 # DEPENDENCYPART_SIBL
(11,7),(11,13),0.0349827 # DEPENDENCYPART_SIBL
(11,8),(11,9),0.104954 # DEPENDENCYPART_SIBL
(11,8),(11,10),0.0299442 # DEPENDENCYPART_SIBL
(11,8),(11,13),-0.00457294 # DEPENDENCYPART_SIBL
(11,9),(11,10),0.0265161 # DEPENDENCYPART_SIBL
(11,9),(11,13),0.0349827 # DEPENDENCYPART_SIBL
(11,10),(11,13),-0.0182631 # DEPENDENCYPART_SIBL
(12,1),(12,2),-0.0208142 # DEPENDENCYPART_SIBL
(12,1),(12,3),0.203253 # DEPENDENCYPART_SIBL
(12,1),(12,5),0.0129962 # DEPENDENCYPART_SIBL
(12,1),(12,6),0.190771 # DEPENDENCYPART_SIBL
(12,1),(12,7),0.0129962 # DEPENDENCYPART_SIBL
(12,1),(12,8),0.138025 # DEPENDENCYPART_SIBL
(12,1),(12,9),0.0129962 # DEPENDENCYPART_SIBL
(12,1),(12,10),0.155026 # DEPENDENCYPART_SIBL
(12,1),(12,11),0.127248 # DEPENDENCYPART_SIBL
(12,1),(12,13),-0.0771741 # DEPENDENCYPART_SIBL
(12,1),(12,16),-0.00331961 # DEPENDENCYPART_SIBL
(12,1),(12,17),-0.0378492 # DEPENDENCYPART_SIBL
(12,1),(12,18),-0.00907785 # DEPENDENCYPART_SIBL
(12,1),(12,19),-0.0217773 # DEPENDENCYPART_SIBL
(12,2),(12,3),0.139813 # DEPENDENCYPART_SIBL
(12,2),(12,5),-0.0367602 # DEPENDENCYPART_SIBL
(12,2),(12,6),0.623738 # DEPENDENCYPART_SIBL
(12,2),(12,7),-0.0367602 # DEPENDENCYPART_SIBL
(12,2),(12,8),0.785364 # DEPENDENCYPART_SIBL
(12,2),(12,9),-0.0367602 # DEPENDENCYPART_SIBL
(12,2),(12,10),0.0394095 # DEPENDENCYPART_SIBL
(12,2),(12,11),0.0288872 # DEPENDENCYPART_SIBL
(12,2),(12,13),-0.0197486 # DEPENDENCYPART_SIBL
(12,2),(12,16),-0.00430209 # DEPENDENCYPART_SIBL
(12,2),(12,17),-0.00664284 # DEPENDENCYPART_SIBL
(12,2),(12,18),-0.0140798 # DEPENDENCYPART_SIBL
(12,2),(12,19),-0.00114613 # DEPENDENCYPART_SIBL
(12,3),(12,5),0.0104275 # DEPENDENCYPART_SIBL
(12,3),(12,6),0.528908 # DEPENDENCYPART_SIBL
(12,3),(12,7),0.0104275 # DEPENDENCYPART_SIBL
(12,3),(12,8),0.551139 # DEPENDENCYPART_SIBL
(12,3),(12,9),0.0104275 # DEPENDENCYPART_SIBL
(12,3),(12,10),0.197703 # DEPENDENCYPART_SIBL
(12,3),(12,11),0.187166 # DEPENDENCYPART_SIBL
(12,3),(12,13),-0.0165725 # DEPENDENCYPART_SIBL
(12,3),(12,16),0.00776751 # DEPENDENCYPART_SIBL
(12,3),(12,17),-0.0161765 # DEPENDENCYPART_SIBL
(12,3),(12,18),-0.0148303 # DEPENDENCYPART_SIBL
(12,3),(12,19),-0.0279624 # DEPENDENCYPART_SIBL
(12,5),(12,6),0.641687 # DEPENDENCYPART_SIBL
(12,5),(12,7),-0.018106 # DEPENDENCYPART_SIBL
(12,5),(12,8),0.794005 # DEPENDENCYPART_SIBL
(12,5),(12,9),-0.018106 # DEPENDENCYPART_SIBL
(12,5),(12,10),0.0454319 # DEPENDENCYPART_SIBL
(12,5),(12,11),0.0349094 # DEPENDENCYPART_SIBL
(12,5),(12,13),-0.0148511 # DEPENDENCYPART_SIBL
(12,5),(12,16),0.00337853 # DEPENDENCYPART_SIBL
(12,5),(12,17),-0.00441623 # DEPENDENCYPART_SIBL
(12,5),(12,18),-0.00283849 # DEPENDENCYPART_SIBL
(12,5),(12,19),0.00351944 # DEPENDENCYPART_SIBL
(12,6),(12,7),0.0569251 # DEPENDENCYPART_SIBL
(12,6),(12,8),0.231586 # DEPENDENCYPART_SIBL
(12,6),(12,9),0.0569251 # DEPENDENCYPART_SIBL
(12,6),(12,10),0.0232661 # DEPENDENCYPART_SIBL
(12,6),(12,11),0.00485315 # DEPENDENCYPART_SIBL
(12,6),(12,13),-0.0703653 # DEPENDENCYPART_SIBL
(12,6),(12,16),-0.00844461 # DEPENDENCYPART_SIBL
(12,6),(12,17),-0.0362233 # DEPENDENCYPART_SIBL
(12,6),(12,18),-0.0346477 # DEPENDENCYPART_SIBL
(12,6),(12,19),-0.0249434 # DEPENDENCYPART_SIBL
(12,7),(12,8),0.794005 # DEPENDENCYPART_SIBL
(12,7),(12,9),-0.018106 # DEPENDENCYPART_SIBL
(12,7),(12,10),0.0454319 # DEPENDENCYPART_SIBL
(12,7),(12,11),0.0349094 # DEPENDENCYPART_SIBL
(12,7),(12,13),-0.0148511 # DEPENDENCYPART_SIBL
(12,7),(12,16),0.00337853 # DEPENDENCYPART_SIBL
(12,7),(12,17),-0.00441623 # DEPENDENCYPART_SIBL
(12,7),(12,18),-0.00283849 # DEPENDENCYPART_SIBL
(12,7),(12,19),0.00351944 # DEPENDENCYPART_SIBL
(12,8),(12,9),0.102991 # DEPENDENCYPART_SIBL
(12,8),(12,10),0.00212821 # DEPENDENCYPART_SIBL
(12,8),(12,11),-0.00840416 # DEPENDENCYPART_SIBL
(12,8),(12,13),-0.0270814 # DEPENDENCYPART_SIBL
(12,8),(12,16),-0.00798823 # DEPENDENCYPART_SIBL
(12,8),(12,17),0.000946053 # DEPENDENCYPART_SIBL
(12,8),(12,18),-0.0168208 # DEPENDENCYPART_SIBL
(12,8),(12,19),-0.0113949 # DEPENDENCYPART_SIBL
(12,9),(12,10),0.0454319 # DEPENDENCYPART_SIBL
(12,9),(12,11),0.0349094 # DEPENDENCYPART_SIBL
(12,9),(12,13),-0.0148511 # DEPENDENCYPART_SIBL
(12,9),(12,16),0.00337853 # DEPENDENCYPART_SIBL
(12,9),(12,17),-0.00441623 # DEPENDENCYPART_SIBL
(12,9),(12,18),-0.00283849 # DEPENDENCYPART_SIBL
(12,9),(12,19),0.00351944 # DEPENDENCYPART_SIBL
(12,10),(12,11),-0.009559 # DEPENDENCYPART_SIBL
(12,10),(12,13),-0.0411374 # DEPENDENCYPART_SIBL
(12,10),(12,16),-0.0042139 # DEPENDENCYPART_SIBL
(12,10),(12,17),-0.0230523 # DEPENDENCYPART_SIBL
(12,10),(12,18),-0.0329973 # DEPENDENCYPART_SIBL
(12,10),(12,19),-0.0101719 # DEPENDENCYPART_SIBL
(12,11),(12,13),-0.0413963 # DEPENDENCYPART_SIBL
(12,11),(12,16),-0.00444055 # DEPENDENCYPART_SIBL
(12,11),(12,17),-0.0233104 # DEPENDENCYPART_SIBL
(12,11),(12,18),-0.0332349 # DEPENDENCYPART_SIBL
(12,11),(12,19),-0.01043 # DEPENDENCYPART_SIBL
(12,13),(12,16),0.0370328 # DEPENDENCYPART_SIBL
(12,13),(12,17),0.0313158 # DEPENDENCYPART_SIBL
(12,13),(12,18),0.0512537 # DEPENDENCYPART_SIBL
(12,13),(12,19),-0.031095 # DEPENDENCYPART_SIBL
(12,16),(12,17),0.0493834 # DEPENDENCYPART_SIBL
(12,16),(12,18),0.103086 # DEPENDENCYPART_SIBL
(12,16),(12,19),-0.0292727 # DEPENDENCYPART_SIBL
(12,17),(12,18),0.068915 # DEPENDENCYPART_SIBL
(12,17),(12,19),-0.00860103 # DEPENDENCYPART_SIBL
(12,18),(12,19),0.116526 # DEPENDENCYPART_SIBL
(13,2),(13,5),0.0568294 # DEPENDENCYPART_SIBL
(13,2),(13,6),0.239905 # DEPENDENCYPART_SIBL
(13,2),(13,7),0.0568294 # DEPENDENCYPART_SIBL
(13,2),(13,8),0.258196 # DEPENDENCYPART_SIBL
(13,2),(13,9),0.0568294 # DEPENDENCYPART_SIBL
(13,2),(13,10),0.0586381 # DEPENDENCYPART_SIBL
(13,2),(13,11),0.0586091 # DEPENDENCYPART_SIBL
(13,2),(13,12),0.0568294 # DEPENDENCYPART_SIBL
(13,2),(13,15),0.114069 # DEPENDENCYPART_SIBL
(13,2),(13,16),0.090223 # DEPENDENCYPART_SIBL
(13,2),(13,18),-0.00172028 # DEPENDENCYPART_SIBL
(13,2),(13,19),-0.000134866 # DEPENDENCYPART_SIBL
(13,2),(13,20),0.090223 # DEPENDENCYPART_SIBL
(13,2),(13,21),0.0108109 # DEPENDENCYPART_SIBL
(13,2),(13,22),0.0188339 # DEPENDENCYPART_SIBL
(13,5),(13,6),0.251489 # DEPENDENCYPART_SIBL
(13,5),(13,7),0.0723835 # DEPENDENCYPART_SIBL
(13,5),(13,8),0.267111 # DEPENDENCYPART_SIBL
(13,5),(13,9),0.0723835 # DEPENDENCYPART_SIBL
(13,5),(13,10),0.0636994 # DEPENDENCYPART_SIBL
(13,5),(13,11),0.0636702 # DEPENDENCYPART_SIBL
(13,5),(13,12),0.0723835 # DEPENDENCYPART_SIBL
(13,5),(13,15),0.11576 # DEPENDENCYPART_SIBL
(13,5),(13,16),0.095783 # DEPENDENCYPART_SIBL
(13,5),(13,18),0.00588042 # DEPENDENCYPART_SIBL
(13,5),(13,19),0.00293108 # DEPENDENCYPART_SIBL
(13,5),(13,20),0.095783 # DEPENDENCYPART_SIBL
(13,5),(13,21),0.0128387 # DEPENDENCYPART_SIBL
(13,5),(13,22),0.0260579 # DEPENDENCYPART_SIBL
(13,6),(13,7),0.0281184 # DEPENDENCYPART_SIBL
(13,6),(13,8),0.141163 # DEPENDENCYPART_SIBL
(13,6),(13,9),0.0281184 # DEPENDENCYPART_SIBL
(13,6),(13,10),0.0298393 # DEPENDENCYPART_SIBL
(13,6),(13,11),0.0258668 # DEPENDENCYPART_SIBL
(13,6),(13,12),0.0281184 # DEPENDENCYPART_SIBL
(13,6),(13,15),0.0684495 # DEPENDENCYPART_SIBL
(13,6),(13,16),0.0489002 # DEPENDENCYPART_SIBL
(13,6),(13,18),-0.0637701 # DEPENDENCYPART_SIBL
(13,6),(13,19),-0.030225 # DEPENDENCYPART_SIBL
(13,6),(13,20),0.0489002 # DEPENDENCYPART_SIBL
(13,6),(13,21),0.00771468 # DEPENDENCYPART_SIBL
(13,6),(13,22),0.0297615 # DEPENDENCYPART_SIBL
(13,7),(13,8),0.267111 # DEPENDENCYPART_SIBL
(13,7),(13,9),0.0723835 # DEPENDENCYPART_SIBL
(13,7),(13,10),0.0636994 # DEPENDENCYPART_SIBL
(13,7),(13,11),0.0636702 # DEPENDENCYPART_SIBL
(13,7),(13,12),0.0723835 # DEPENDENCYPART_SIBL
(13,7),(13,15),0.11576 # DEPENDENCYPART_SIBL
(13,7),(13,16),0.095783 # DEPENDENCYPART_SIBL
(13,7),(13,18),0.00588042 # DEPENDENCYPART_SIBL
(13,7),(13,19),0.00293108 # DEPENDENCYPART_SIBL
(13,7),(13,20),0.095783 # DEPENDENCYPART_SIBL
(13,7),(13,21),0.0128387 # DEPENDENCYPART_SIBL
(13,7),(13,22),0.0260579 # DEPENDENCYPART_SIBL
(13,8),(13,9),0.168546 # DEPENDENCYPART_SIBL
(13,8),(13,10),0.143123 # DEPENDENCYPART_SIBL
(13,8),(13,11),0.143103 # DEPENDENCYPART_SIBL
(13,8),(13,12),0.168546 # DEPENDENCYPART_SIBL
(13,8),(13,15),0.0367798 # DEPENDENCYPART_SIBL
(13,8),(13,16),0.0459999 # DEPENDENCYPART_SIBL
(13,8),(13,18),-0.0218471 # DEPENDENCYPART_SIBL
(13,8),(13,19),-0.016576 # DEPENDENCYPART_SIBL
(13,8),(13,20),0.0459999 # DEPENDENCYPART_SIBL
(13,8),(13,21),-0.0378945 # DEPENDENCYPART_SIBL
(13,8),(13,22),0.032013 # DEPENDENCYPART_SIBL
(13,9),(13,10),0.0636994 # DEPENDENCYPART_SIBL
(13,9),(13,11),0.0636702 # DEPENDENCYPART_SIBL
(13,9),(13,12),0.0723835 # DEPENDENCYPART_SIBL
(13,9),(13,15),0.11576 # DEPENDENCYPART_SIBL
(13,9),(13,16),0.095783 # DEPENDENCYPART_SIBL
(13,9),(13,18),0.00588042 # DEPENDENCYPART_SIBL
(13,9),(13,19),0.00293108 # DEPENDENCYPART_SIBL
(13,9),(13,20),0.095783 # DEPENDENCYPART_SIBL
(13,9),(13,21),0.0128387 # DEPENDENCYPART_SIBL
(13,9),(13,22),0.0260579 # DEPENDENCYPART_SIBL
(13,10),(13,11),0.0769088 # DEPENDENCYPART_SIBL
(13,10),(13,12),0.073672 # DEPENDENCYPART_SIBL
(13,10),(13,15),0.0655068 # DEPENDENCYPART_SIBL
(13,10),(13,16),0.126372 # DEPENDENCYPART_SIBL
(13,10),(13,18),0.0106618 # DEPENDENCYPART_SIBL
(13,10),(13,19),0.0162902 # DEPENDENCYPART_SIBL
(13,10),(13,20),0.126372 # DEPENDENCYPART_SIBL
(13,10),(13,21),0.0154484 # DEPENDENCYPART_SIBL
(13,10),(13,22),0.0664208 # DEPENDENCYPART_SIBL
(13,11),(13,12),0.0736448 # DEPENDENCYPART_SIBL
(13,11),(13,15),0.0654957 # DEPENDENCYPART_SIBL
(13,11),(13,16),0.126367 # DEPENDENCYPART_SIBL
(13,11),(13,18),0.0106558 # DEPENDENCYPART_SIBL
(13,11),(13,19),0.0162788 # DEPENDENCYPART_SIBL
(13,11),(13,20),0.126367 # DEPENDENCYPART_SIBL
(13,11),(13,21),0.0154641 # DEPENDENCYPART_SIBL
(13,11),(13,22),0.065786 # DEPENDENCYPART_SIBL
(13,12),(13,15),0.11576 # DEPENDENCYPART_SIBL
(13,12),(13,16),0.095783 # DEPENDENCYPART_SIBL
(13,12),(13,18),0.00588042 # DEPENDENCYPART_SIBL
(13,12),(13,19),0.00293108 # DEPENDENCYPART_SIBL
(13,12),(13,20),0.095783 # DEPENDENCYPART_SIBL
(13,12),(13,21),0.0128387 # DEPENDENCYPART_SIBL
(13,12),(13,22),0.0260579 # DEPENDENCYPART_SIBL
(13,15),(13,16),0.0189752 # DEPENDENCYPART_SIBL
(13,15),(13,18),0.00140547 # DEPENDENCYPART_SIBL
(13,15),(13,19),0.0104334 # DEPENDENCYPART_SIBL
(13,15),(13,20),0.0189752 # DEPENDENCYPART_SIBL
(13,15),(13,21),0.0117772 # DEPENDENCYPART_SIBL
(13,15),(13,22),0.00955397 # DEPENDENCYPART_SIBL
(13,16),(13,18),0.054835 # DEPENDENCYPART_SIBL
(13,16),(13,19),0.00905145 # DEPENDENCYPART_SIBL
(13,16),(13,20),0.00526304 # DEPENDENCYPART_SIBL
(13,16),(13,21),0.0303314 # DEPENDENCYPART_SIBL
(13,16),(13,22),0.0191969 # DEPENDENCYPART_SIBL
(13,18),(13,19),0.0744778 # DEPENDENCYPART_SIBL
(13,18),(13,20),0.00710383 # DEPENDENCYPART_SIBL
(13,18),(13,21),0.232143 # DEPENDENCYPART_SIBL
(13,18),(13,22),0.054879 # DEPENDENCYPART_SIBL
(13,19),(13,20),-0.00915055 # DEPENDENCYPART_SIBL
(13,19),(13,21),0.00532906 # DEPENDENCYPART_SIBL
(13,19),(13,22),-0.000101082 # DEPENDENCYPART_SIBL
(13,20),(13,21),0.0303314 # DEPENDENCYPART_SIBL
(13,20),(13,22),0.0191969 # DEPENDENCYPART_SIBL
(13,21),(13,22),0.0549286 # DEPENDENCYPART_SIBL
(15,12),(15,13),0.147891 # DEPENDENCYPART_SIBL
(15,12),(15,14),-0.0384747 # DEPENDENCYPART_SIBL
(15,13),(15,14),-0.0774387 # DEPENDENCYPART_SIBL
(16,1),(16,2),-0.0208142 # DEPENDENCYPART_SIBL
(16,1),(16,7),0.0129962 # DEPENDENCYPART_SIBL
(16,1),(16,8),0.138025 # DEPENDENCYPART_SIBL
(16,1),(16,9),0.0129962 # DEPENDENCYPART_SIBL
(16,1),(16,10),0.155026 # DEPENDENCYPART_SIBL
(16,1),(16,11),0.127248 # DEPENDENCYPART_SIBL
(16,1),(16,12),0.0129962 # DEPENDENCYPART_SIBL
(16,1),(16,13),0.0238549 # DEPENDENCYPART_SIBL
(16,1),(16,14),-0.662013 # DEPENDENCYPART_SIBL
(16,1),(16,15),0.16384 # DEPENDENCYPART_SIBL
(16,1),(16,17),-0.0378492 # DEPENDENCYPART_SIBL
(16,1),(16,18),-0.00907785 # DEPENDENCYPART_SIBL
(16,1),(16,19),-0.0217773 # DEPENDENCYPART_SIBL
(16,1),(16,20),-0.00331961 # DEPENDENCYPART_SIBL
(16,1),(16,21),0.0086177 # DEPENDENCYPART_SIBL
(16,2),(16,7),-0.0367602 # DEPENDENCYPART_SIBL
(16,2),(16,8),0.785364 # DEPENDENCYPART_SIBL
(16,2),(16,9),-0.0367602 # DEPENDENCYPART_SIBL
(16,2),(16,10),0.0394095 # DEPENDENCYPART_SIBL
(16,2),(16,11),0.0288872 # DEPENDENCYPART_SIBL
(16,2),(16,12),-0.0367602 # DEPENDENCYPART_SIBL
(16,2),(16,13),0.190903 # DEPENDENCYPART_SIBL
(16,2),(16,14),-0.316389 # DEPENDENCYPART_SIBL
(16,2),(16,15),0.042316 # DEPENDENCYPART_SIBL
(16,2),(16,17),-0.00664284 # DEPENDENCYPART_SIBL
(16,2),(16,18),-0.0140798 # DEPENDENCYPART_SIBL
(16,2),(16,19),-0.00114613 # DEPENDENCYPART_SIBL
(16,2),(16,20),-0.00430209 # DEPENDENCYPART_SIBL
(16,2),(16,21),0.00376476 # DEPENDENCYPART_SIBL
(16,7),(16,8),0.794005 # DEPENDENCYPART_SIBL
(16,7),(16,9),-0.018106 # DEPENDENCYPART_SIBL
(16,7),(16,10),0.0454319 # DEPENDENCYPART_SIBL
(16,7),(16,11),0.0349094 # DEPENDENCYPART_SIBL
(16,7),(16,12),-0.018106 # DEPENDENCYPART_SIBL
(16,7),(16,13),0.185957 # DEPENDENCYPART_SIBL
(16,7),(16,14),-0.317123 # DEPENDENCYPART_SIBL
(16,7),(16,15),0.0483382 # DEPENDENCYPART_SIBL
