# _root_ De hogy az átütemezést valóban megkapja -e gazda , arról a bankok egyedileg döntenek , azaz a termelőknek a pénzintézetekkel kell megállapodniuk .
#goldHeads=16,14,4,6,6,10,6,6,14,14,12,14,14,16,16,0,18,21,20,22,16,21,16,
#predictedHeads=6,6,4,6,6,0,6,6,6,14,12,14,14,6,14,21,18,22,20,22,10,21,6,
(6,4),(6,23),0.00771965 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.00805763 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.00381372 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.0613543 # DEPENDENCYPART_SIBL
(6,5),(6,10),0.0165559 # DEPENDENCYPART_SIBL
(6,5),(6,11),-0.0908582 # DEPENDENCYPART_SIBL
(6,5),(6,12),-0.00515863 # DEPENDENCYPART_SIBL
(6,5),(6,13),-0.0101037 # DEPENDENCYPART_SIBL
(6,5),(6,14),-0.0246331 # DEPENDENCYPART_SIBL
(6,5),(6,15),-0.0613543 # DEPENDENCYPART_SIBL
(6,5),(6,16),-0.070507 # DEPENDENCYPART_SIBL
(6,5),(6,18),-0.00252523 # DEPENDENCYPART_SIBL
(6,5),(6,20),-0.00381229 # DEPENDENCYPART_SIBL
(6,5),(6,21),-0.0584966 # DEPENDENCYPART_SIBL
(6,5),(6,22),-0.0218326 # DEPENDENCYPART_SIBL
(6,5),(6,23),-0.0166169 # DEPENDENCYPART_SIBL
(6,7),(6,8),0.0967305 # DEPENDENCYPART_SIBL
(6,7),(6,9),0.0391362 # DEPENDENCYPART_SIBL
(6,7),(6,10),0.0822147 # DEPENDENCYPART_SIBL
(6,7),(6,11),0.0710915 # DEPENDENCYPART_SIBL
(6,7),(6,12),0.0967305 # DEPENDENCYPART_SIBL
(6,7),(6,13),0.0517173 # DEPENDENCYPART_SIBL
(6,7),(6,14),0.0613606 # DEPENDENCYPART_SIBL
(6,7),(6,15),0.0391362 # DEPENDENCYPART_SIBL
(6,7),(6,16),-0.00339781 # DEPENDENCYPART_SIBL
(6,7),(6,18),0.0967305 # DEPENDENCYPART_SIBL
(6,7),(6,20),0.0967305 # DEPENDENCYPART_SIBL
(6,7),(6,21),0.0705788 # DEPENDENCYPART_SIBL
(6,7),(6,22),0.0613606 # DEPENDENCYPART_SIBL
(6,7),(6,23),-0.0437947 # DEPENDENCYPART_SIBL
(6,8),(6,9),0.0451921 # DEPENDENCYPART_SIBL
(6,8),(6,10),0.0722122 # DEPENDENCYPART_SIBL
(6,8),(6,11),0.0745134 # DEPENDENCYPART_SIBL
(6,8),(6,12),-0.0079019 # DEPENDENCYPART_SIBL
(6,8),(6,13),0.0300706 # DEPENDENCYPART_SIBL
(6,8),(6,14),-0.0159769 # DEPENDENCYPART_SIBL
(6,8),(6,15),0.0451921 # DEPENDENCYPART_SIBL
(6,8),(6,16),0.0241749 # DEPENDENCYPART_SIBL
(6,8),(6,18),-0.00790067 # DEPENDENCYPART_SIBL
(6,8),(6,20),-0.00790067 # DEPENDENCYPART_SIBL
(6,8),(6,21),-0.00891263 # DEPENDENCYPART_SIBL
(6,8),(6,22),-0.015977 # DEPENDENCYPART_SIBL
(6,8),(6,23),0.00371523 # DEPENDENCYPART_SIBL
(6,9),(6,10),0.0178935 # DEPENDENCYPART_SIBL
(6,9),(6,11),0.124212 # DEPENDENCYPART_SIBL
(6,9),(6,12),0.080246 # DEPENDENCYPART_SIBL
(6,9),(6,13),0.0604984 # DEPENDENCYPART_SIBL
(6,9),(6,14),0.194562 # DEPENDENCYPART_SIBL
(6,9),(6,15),-0.0129099 # DEPENDENCYPART_SIBL
(6,9),(6,16),0.268178 # DEPENDENCYPART_SIBL
(6,9),(6,18),0.0802543 # DEPENDENCYPART_SIBL
(6,9),(6,20),0.0802543 # DEPENDENCYPART_SIBL
(6,9),(6,21),0.256421 # DEPENDENCYPART_SIBL
(6,9),(6,22),0.194562 # DEPENDENCYPART_SIBL
(6,9),(6,23),0.0489202 # DEPENDENCYPART_SIBL
(6,10),(6,11),0.0805856 # DEPENDENCYPART_SIBL
(6,10),(6,12),-0.000192648 # DEPENDENCYPART_SIBL
(6,10),(6,13),0.0550932 # DEPENDENCYPART_SIBL
(6,10),(6,14),-0.0573257 # DEPENDENCYPART_SIBL
(6,10),(6,15),0.0372643 # DEPENDENCYPART_SIBL
(6,10),(6,16),0.0426418 # DEPENDENCYPART_SIBL
(6,10),(6,18),-0.000192648 # DEPENDENCYPART_SIBL
(6,10),(6,20),-0.000192648 # DEPENDENCYPART_SIBL
(6,10),(6,21),-0.0475829 # DEPENDENCYPART_SIBL
(6,10),(6,22),-0.0573257 # DEPENDENCYPART_SIBL
(6,10),(6,23),-0.00601461 # DEPENDENCYPART_SIBL
(6,11),(6,12),0.014764 # DEPENDENCYPART_SIBL
(6,11),(6,13),-0.00981285 # DEPENDENCYPART_SIBL
(6,11),(6,14),-0.0359834 # DEPENDENCYPART_SIBL
(6,11),(6,15),-0.00728686 # DEPENDENCYPART_SIBL
(6,11),(6,16),0.0445521 # DEPENDENCYPART_SIBL
(6,11),(6,18),0.014764 # DEPENDENCYPART_SIBL
(6,11),(6,20),0.014764 # DEPENDENCYPART_SIBL
(6,11),(6,21),-0.0189325 # DEPENDENCYPART_SIBL
(6,11),(6,22),-0.0359834 # DEPENDENCYPART_SIBL
(6,11),(6,23),-0.0284804 # DEPENDENCYPART_SIBL
(6,12),(6,13),0.0295529 # DEPENDENCYPART_SIBL
(6,12),(6,14),-0.0162533 # DEPENDENCYPART_SIBL
(6,12),(6,15),0.0501947 # DEPENDENCYPART_SIBL
(6,12),(6,16),0.02335 # DEPENDENCYPART_SIBL
(6,12),(6,18),-0.0105732 # DEPENDENCYPART_SIBL
(6,12),(6,20),-0.0105732 # DEPENDENCYPART_SIBL
(6,12),(6,21),-0.00918898 # DEPENDENCYPART_SIBL
(6,12),(6,22),-0.0162533 # DEPENDENCYPART_SIBL
(6,12),(6,23),0.00318271 # DEPENDENCYPART_SIBL
(6,13),(6,14),-0.0297868 # DEPENDENCYPART_SIBL
(6,13),(6,15),-0.000360313 # DEPENDENCYPART_SIBL
(6,13),(6,16),0.0122764 # DEPENDENCYPART_SIBL
(6,13),(6,18),-0.019886 # DEPENDENCYPART_SIBL
(6,13),(6,20),-0.019886 # DEPENDENCYPART_SIBL
(6,13),(6,21),0.00280093 # DEPENDENCYPART_SIBL
(6,13),(6,22),-0.0297868 # DEPENDENCYPART_SIBL
(6,13),(6,23),-0.010899 # DEPENDENCYPART_SIBL
(6,14),(6,15),0.0599 # DEPENDENCYPART_SIBL
(6,14),(6,16),0.0464662 # DEPENDENCYPART_SIBL
(6,14),(6,18),-0.000748957 # DEPENDENCYPART_SIBL
(6,14),(6,20),-0.000748957 # DEPENDENCYPART_SIBL
(6,14),(6,21),0.00474704 # DEPENDENCYPART_SIBL
(6,14),(6,22),-0.00538104 # DEPENDENCYPART_SIBL
(6,14),(6,23),0.0177942 # DEPENDENCYPART_SIBL
(6,15),(6,16),0.268178 # DEPENDENCYPART_SIBL
(6,15),(6,18),0.0802543 # DEPENDENCYPART_SIBL
(6,15),(6,20),0.0802543 # DEPENDENCYPART_SIBL
(6,15),(6,21),0.256421 # DEPENDENCYPART_SIBL
(6,15),(6,22),0.194562 # DEPENDENCYPART_SIBL
(6,15),(6,23),0.0489202 # DEPENDENCYPART_SIBL
(6,16),(6,18),0.062723 # DEPENDENCYPART_SIBL
(6,16),(6,20),0.062723 # DEPENDENCYPART_SIBL
(6,16),(6,21),0.0620498 # DEPENDENCYPART_SIBL
(6,16),(6,22),0.0394356 # DEPENDENCYPART_SIBL
(6,16),(6,23),0.0341525 # DEPENDENCYPART_SIBL
(6,18),(6,20),-0.0130923 # DEPENDENCYPART_SIBL
(6,18),(6,21),-0.014994 # DEPENDENCYPART_SIBL
(6,18),(6,22),-0.0220583 # DEPENDENCYPART_SIBL
(6,18),(6,23),-0.00094137 # DEPENDENCYPART_SIBL
(6,20),(6,21),-0.00813499 # DEPENDENCYPART_SIBL
(6,20),(6,22),-0.0151993 # DEPENDENCYPART_SIBL
(6,20),(6,23),0.00371881 # DEPENDENCYPART_SIBL
(6,21),(6,22),-0.019166 # DEPENDENCYPART_SIBL
(6,21),(6,23),0.0426803 # DEPENDENCYPART_SIBL
(6,22),(6,23),0.0168729 # DEPENDENCYPART_SIBL
(7,4),(7,5),0.168579 # DEPENDENCYPART_SIBL
(7,4),(7,8),0.0773681 # DEPENDENCYPART_SIBL
(7,5),(7,8),0.160123 # DEPENDENCYPART_SIBL
(8,3),(8,4),0.000855746 # DEPENDENCYPART_SIBL
(8,3),(8,5),0.00915976 # DEPENDENCYPART_SIBL
(8,3),(8,6),0.159951 # DEPENDENCYPART_SIBL
(8,3),(8,9),-0.0165824 # DEPENDENCYPART_SIBL
(8,3),(8,12),-0.0057308 # DEPENDENCYPART_SIBL
(8,3),(8,13),-0.0128581 # DEPENDENCYPART_SIBL
(8,3),(8,14),-0.0121052 # DEPENDENCYPART_SIBL
(8,3),(8,15),-0.0165824 # DEPENDENCYPART_SIBL
(8,3),(8,18),-0.00571552 # DEPENDENCYPART_SIBL
(8,3),(8,20),-0.00571552 # DEPENDENCYPART_SIBL
(8,3),(8,21),0.0244463 # DEPENDENCYPART_SIBL
(8,3),(8,22),-0.0121052 # DEPENDENCYPART_SIBL
(8,3),(8,23),-0.0202729 # DEPENDENCYPART_SIBL
(8,4),(8,5),0.199443 # DEPENDENCYPART_SIBL
(8,4),(8,6),0.153194 # DEPENDENCYPART_SIBL
(8,4),(8,9),-0.00283849 # DEPENDENCYPART_SIBL
(8,4),(8,12),0.00376265 # DEPENDENCYPART_SIBL
(8,4),(8,13),0.0446881 # DEPENDENCYPART_SIBL
(8,4),(8,14),0.00765816 # DEPENDENCYPART_SIBL
(8,4),(8,15),-0.00283849 # DEPENDENCYPART_SIBL
(8,4),(8,18),0.00466559 # DEPENDENCYPART_SIBL
(8,4),(8,20),0.00337853 # DEPENDENCYPART_SIBL
(8,4),(8,21),0.0434748 # DEPENDENCYPART_SIBL
(8,4),(8,22),0.00963757 # DEPENDENCYPART_SIBL
(8,4),(8,23),0.0411345 # DEPENDENCYPART_SIBL
(8,5),(8,6),0.067739 # DEPENDENCYPART_SIBL
(8,5),(8,9),-0.00988421 # DEPENDENCYPART_SIBL
(8,5),(8,12),0.0134597 # DEPENDENCYPART_SIBL
(8,5),(8,13),0.062553 # DEPENDENCYPART_SIBL
(8,5),(8,14),0.0551485 # DEPENDENCYPART_SIBL
(8,5),(8,15),-0.00988421 # DEPENDENCYPART_SIBL
(8,5),(8,18),0.0142973 # DEPENDENCYPART_SIBL
(8,5),(8,20),0.0142973 # DEPENDENCYPART_SIBL
(8,5),(8,21),0.0505756 # DEPENDENCYPART_SIBL
(8,5),(8,22),0.0551485 # DEPENDENCYPART_SIBL
(8,5),(8,23),0.115242 # DEPENDENCYPART_SIBL
(8,6),(8,9),-0.0137764 # DEPENDENCYPART_SIBL
(8,6),(8,12),-0.00605726 # DEPENDENCYPART_SIBL
(8,6),(8,13),0.0232484 # DEPENDENCYPART_SIBL
(8,6),(8,14),0.0352971 # DEPENDENCYPART_SIBL
(8,6),(8,15),-0.0137764 # DEPENDENCYPART_SIBL
(8,6),(8,18),-0.00602675 # DEPENDENCYPART_SIBL
(8,6),(8,20),-0.00602675 # DEPENDENCYPART_SIBL
(8,6),(8,21),0.0378243 # DEPENDENCYPART_SIBL
(8,6),(8,22),0.0352971 # DEPENDENCYPART_SIBL
(8,6),(8,23),0.121936 # DEPENDENCYPART_SIBL
(8,9),(8,12),0.342963 # DEPENDENCYPART_SIBL
(8,9),(8,13),0.153297 # DEPENDENCYPART_SIBL
(8,9),(8,14),0.425607 # DEPENDENCYPART_SIBL
(8,9),(8,15),0.00482316 # DEPENDENCYPART_SIBL
(8,9),(8,18),0.342981 # DEPENDENCYPART_SIBL
(8,9),(8,20),0.342981 # DEPENDENCYPART_SIBL
(8,9),(8,21),0.487172 # DEPENDENCYPART_SIBL
(8,9),(8,22),0.425607 # DEPENDENCYPART_SIBL
(8,9),(8,23),0.0787788 # DEPENDENCYPART_SIBL
(8,12),(8,13),0.0611301 # DEPENDENCYPART_SIBL
(8,12),(8,14),0.0579072 # DEPENDENCYPART_SIBL
(8,12),(8,15),0.104983 # DEPENDENCYPART_SIBL
(8,12),(8,18),0.0035662 # DEPENDENCYPART_SIBL
(8,12),(8,20),0.0035662 # DEPENDENCYPART_SIBL
(8,12),(8,21),0.0669175 # DEPENDENCYPART_SIBL
(8,12),(8,22),0.0579071 # DEPENDENCYPART_SIBL
(8,12),(8,23),0.0485006 # DEPENDENCYPART_SIBL
(8,13),(8,14),0.0558709 # DEPENDENCYPART_SIBL
(8,13),(8,15),0.0902079 # DEPENDENCYPART_SIBL
(8,13),(8,18),0.0547467 # DEPENDENCYPART_SIBL
(8,13),(8,20),0.0547467 # DEPENDENCYPART_SIBL
(8,13),(8,21),0.087718 # DEPENDENCYPART_SIBL
(8,13),(8,22),0.0558709 # DEPENDENCYPART_SIBL
(8,13),(8,23),0.106008 # DEPENDENCYPART_SIBL
(8,14),(8,15),0.169004 # DEPENDENCYPART_SIBL
(8,14),(8,18),0.0764132 # DEPENDENCYPART_SIBL
(8,14),(8,20),0.0764132 # DEPENDENCYPART_SIBL
(8,14),(8,21),0.058947 # DEPENDENCYPART_SIBL
(8,14),(8,22),0.0510457 # DEPENDENCYPART_SIBL
(8,14),(8,23),0.211154 # DEPENDENCYPART_SIBL
(8,15),(8,18),0.342981 # DEPENDENCYPART_SIBL
(8,15),(8,20),0.342981 # DEPENDENCYPART_SIBL
(8,15),(8,21),0.487172 # DEPENDENCYPART_SIBL
(8,15),(8,22),0.425607 # DEPENDENCYPART_SIBL
(8,15),(8,23),0.0787788 # DEPENDENCYPART_SIBL
(8,18),(8,20),0.00447775 # DEPENDENCYPART_SIBL
(8,18),(8,21),0.0661564 # DEPENDENCYPART_SIBL
(8,18),(8,22),0.057146 # DEPENDENCYPART_SIBL
(8,18),(8,23),0.0485947 # DEPENDENCYPART_SIBL
(8,20),(8,21),0.0672262 # DEPENDENCYPART_SIBL
(8,20),(8,22),0.0582158 # DEPENDENCYPART_SIBL
(8,20),(8,23),0.0485651 # DEPENDENCYPART_SIBL
(8,21),(8,22),0.0553917 # DEPENDENCYPART_SIBL
(8,21),(8,23),0.281764 # DEPENDENCYPART_SIBL
(8,22),(8,23),0.211192 # DEPENDENCYPART_SIBL
(10,1),(10,2),0.0378492 # DEPENDENCYPART_SIBL
(10,1),(10,4),0.0785988 # DEPENDENCYPART_SIBL
(10,1),(10,5),0.0945678 # DEPENDENCYPART_SIBL
(10,1),(10,6),0.13829 # DEPENDENCYPART_SIBL
(10,1),(10,8),0.0828509 # DEPENDENCYPART_SIBL
(10,1),(10,9),0.081695 # DEPENDENCYPART_SIBL
(10,1),(10,12),0.00271697 # DEPENDENCYPART_SIBL
(10,1),(10,13),-0.0286476 # DEPENDENCYPART_SIBL
(10,1),(10,14),-0.00708229 # DEPENDENCYPART_SIBL
(10,1),(10,15),-0.000369092 # DEPENDENCYPART_SIBL
(10,1),(10,16),-0.0357228 # DEPENDENCYPART_SIBL
(10,1),(10,18),0.00271697 # DEPENDENCYPART_SIBL
(10,1),(10,20),0.00271697 # DEPENDENCYPART_SIBL
(10,1),(10,21),0.00927905 # DEPENDENCYPART_SIBL
(10,1),(10,22),-0.00626124 # DEPENDENCYPART_SIBL
(10,1),(10,23),0.152448 # DEPENDENCYPART_SIBL
(10,2),(10,4),0.0259118 # DEPENDENCYPART_SIBL
(10,2),(10,5),0.0910625 # DEPENDENCYPART_SIBL
(10,2),(10,6),0.153963 # DEPENDENCYPART_SIBL
(10,2),(10,8),0.030164 # DEPENDENCYPART_SIBL
(10,2),(10,9),0.115517 # DEPENDENCYPART_SIBL
(10,2),(10,12),0.0104246 # DEPENDENCYPART_SIBL
(10,2),(10,13),-0.0106996 # DEPENDENCYPART_SIBL
(10,2),(10,14),-0.0270902 # DEPENDENCYPART_SIBL
(10,2),(10,15),-0.00589669 # DEPENDENCYPART_SIBL
(10,2),(10,16),-0.0376094 # DEPENDENCYPART_SIBL
(10,2),(10,18),0.0104246 # DEPENDENCYPART_SIBL
(10,2),(10,20),0.0104246 # DEPENDENCYPART_SIBL
(10,2),(10,21),-0.00840191 # DEPENDENCYPART_SIBL
(10,2),(10,22),-0.0262691 # DEPENDENCYPART_SIBL
(10,2),(10,23),0.0713282 # DEPENDENCYPART_SIBL
(10,4),(10,5),0.177802 # DEPENDENCYPART_SIBL
(10,4),(10,6),0.0943454 # DEPENDENCYPART_SIBL
(10,4),(10,8),0.106685 # DEPENDENCYPART_SIBL
(10,4),(10,9),0.174859 # DEPENDENCYPART_SIBL
(10,4),(10,12),7.34887e-06 # DEPENDENCYPART_SIBL
(10,4),(10,13),0.0124095 # DEPENDENCYPART_SIBL
(10,4),(10,14),-0.0192339 # DEPENDENCYPART_SIBL
(10,4),(10,15),0.00225244 # DEPENDENCYPART_SIBL
(10,4),(10,16),-0.0391485 # DEPENDENCYPART_SIBL
(10,4),(10,18),0.000888597 # DEPENDENCYPART_SIBL
(10,4),(10,20),-0.000398464 # DEPENDENCYPART_SIBL
(10,4),(10,21),0.00281889 # DEPENDENCYPART_SIBL
(10,4),(10,22),-0.0172545 # DEPENDENCYPART_SIBL
(10,4),(10,23),0.0306028 # DEPENDENCYPART_SIBL
(10,5),(10,6),0.0845343 # DEPENDENCYPART_SIBL
(10,5),(10,8),0.192349 # DEPENDENCYPART_SIBL
(10,5),(10,9),0.0297006 # DEPENDENCYPART_SIBL
(10,5),(10,12),0.0247771 # DEPENDENCYPART_SIBL
(10,5),(10,13),0.0144656 # DEPENDENCYPART_SIBL
(10,5),(10,14),-0.00413954 # DEPENDENCYPART_SIBL
(10,5),(10,15),-0.0080208 # DEPENDENCYPART_SIBL
(10,5),(10,16),-0.0348902 # DEPENDENCYPART_SIBL
(10,5),(10,18),0.0256015 # DEPENDENCYPART_SIBL
(10,5),(10,20),0.0256015 # DEPENDENCYPART_SIBL
(10,5),(10,21),-0.0241954 # DEPENDENCYPART_SIBL
(10,5),(10,22),-0.00413954 # DEPENDENCYPART_SIBL
(10,5),(10,23),0.109793 # DEPENDENCYPART_SIBL
(10,6),(10,8),0.0912536 # DEPENDENCYPART_SIBL
(10,6),(10,9),0.209408 # DEPENDENCYPART_SIBL
(10,6),(10,12),-0.00145984 # DEPENDENCYPART_SIBL
(10,6),(10,13),-0.0126087 # DEPENDENCYPART_SIBL
(10,6),(10,14),-0.0172709 # DEPENDENCYPART_SIBL
(10,6),(10,15),-0.00863091 # DEPENDENCYPART_SIBL
(10,6),(10,16),-0.0128027 # DEPENDENCYPART_SIBL
(10,6),(10,18),-0.0014425 # DEPENDENCYPART_SIBL
(10,6),(10,20),-0.0014425 # DEPENDENCYPART_SIBL
(10,6),(10,21),-0.02346 # DEPENDENCYPART_SIBL
(10,6),(10,22),-0.0172709 # DEPENDENCYPART_SIBL
(10,6),(10,23),0.0502049 # DEPENDENCYPART_SIBL
(10,8),(10,9),0.172262 # DEPENDENCYPART_SIBL
(10,8),(10,12),7.34887e-06 # DEPENDENCYPART_SIBL
(10,8),(10,13),0.0124109 # DEPENDENCYPART_SIBL
(10,8),(10,14),-0.023952 # DEPENDENCYPART_SIBL
(10,8),(10,15),-0.00365665 # DEPENDENCYPART_SIBL
(10,8),(10,16),-0.0406022 # DEPENDENCYPART_SIBL
(10,8),(10,18),0.000888597 # DEPENDENCYPART_SIBL
(10,8),(10,20),-0.000398464 # DEPENDENCYPART_SIBL
(10,8),(10,21),-0.00189928 # DEPENDENCYPART_SIBL
(10,8),(10,22),-0.0219726 # DEPENDENCYPART_SIBL
(10,8),(10,23),0.0224495 # DEPENDENCYPART_SIBL
(10,9),(10,12),0.0489957 # DEPENDENCYPART_SIBL
(10,9),(10,13),-0.00156369 # DEPENDENCYPART_SIBL
(10,9),(10,14),-0.0240958 # DEPENDENCYPART_SIBL
(10,9),(10,15),-0.0151516 # DEPENDENCYPART_SIBL
(10,9),(10,16),-0.0273202 # DEPENDENCYPART_SIBL
(10,9),(10,18),0.0492966 # DEPENDENCYPART_SIBL
(10,9),(10,20),0.0492966 # DEPENDENCYPART_SIBL
(10,9),(10,21),-0.00422521 # DEPENDENCYPART_SIBL
(10,9),(10,22),-0.0240958 # DEPENDENCYPART_SIBL
(10,9),(10,23),0.0517907 # DEPENDENCYPART_SIBL
(10,12),(10,13),0.118815 # DEPENDENCYPART_SIBL
(10,12),(10,14),0.00971745 # DEPENDENCYPART_SIBL
(10,12),(10,15),0.0402017 # DEPENDENCYPART_SIBL
(10,12),(10,16),-0.0106482 # DEPENDENCYPART_SIBL
(10,12),(10,18),0.0106359 # DEPENDENCYPART_SIBL
(10,12),(10,20),0.0106359 # DEPENDENCYPART_SIBL
(10,12),(10,21),-0.0198247 # DEPENDENCYPART_SIBL
(10,12),(10,22),0.00971742 # DEPENDENCYPART_SIBL
(10,12),(10,23),0.0588291 # DEPENDENCYPART_SIBL
(10,13),(10,14),-0.0136208 # DEPENDENCYPART_SIBL
(10,13),(10,15),0.0153125 # DEPENDENCYPART_SIBL
(10,13),(10,16),-0.000262377 # DEPENDENCYPART_SIBL
(10,13),(10,18),-0.012505 # DEPENDENCYPART_SIBL
(10,13),(10,20),-0.012505 # DEPENDENCYPART_SIBL
(10,13),(10,21),-0.018664 # DEPENDENCYPART_SIBL
(10,13),(10,22),-0.0136208 # DEPENDENCYPART_SIBL
(10,13),(10,23),-0.00401815 # DEPENDENCYPART_SIBL
(10,14),(10,15),0.0851542 # DEPENDENCYPART_SIBL
(10,14),(10,16),0.0409779 # DEPENDENCYPART_SIBL
(10,14),(10,18),-0.00649284 # DEPENDENCYPART_SIBL
(10,14),(10,20),-0.00649284 # DEPENDENCYPART_SIBL
(10,14),(10,21),-0.0223925 # DEPENDENCYPART_SIBL
(10,14),(10,22),0.00826495 # DEPENDENCYPART_SIBL
(10,14),(10,23),-0.00131378 # DEPENDENCYPART_SIBL
(10,15),(10,16),0.0773444 # DEPENDENCYPART_SIBL
(10,15),(10,18),-0.0479754 # DEPENDENCYPART_SIBL
(10,15),(10,20),-0.0479754 # DEPENDENCYPART_SIBL
(10,15),(10,21),0.0478269 # DEPENDENCYPART_SIBL
(10,15),(10,22),0.0651347 # DEPENDENCYPART_SIBL
(10,15),(10,23),0.00560789 # DEPENDENCYPART_SIBL
(10,16),(10,18),-0.0222541 # DEPENDENCYPART_SIBL
(10,16),(10,20),-0.0222541 # DEPENDENCYPART_SIBL
(10,16),(10,21),0.0107375 # DEPENDENCYPART_SIBL
(10,16),(10,22),0.0466139 # DEPENDENCYPART_SIBL
(10,16),(10,23),-0.0382959 # DEPENDENCYPART_SIBL
(10,18),(10,20),0.0114988 # DEPENDENCYPART_SIBL
(10,18),(10,21),-0.020618 # DEPENDENCYPART_SIBL
(10,18),(10,22),0.00892407 # DEPENDENCYPART_SIBL
(10,18),(10,23),0.0588844 # DEPENDENCYPART_SIBL
(10,20),(10,21),-0.0195482 # DEPENDENCYPART_SIBL
(10,20),(10,22),0.00999391 # DEPENDENCYPART_SIBL
(10,20),(10,23),0.0588548 # DEPENDENCYPART_SIBL
(10,21),(10,22),-0.0135968 # DEPENDENCYPART_SIBL
(10,21),(10,23),0.016046 # DEPENDENCYPART_SIBL
(10,22),(10,23),-0.00127557 # DEPENDENCYPART_SIBL
(12,3),(12,8),0.0148096 # DEPENDENCYPART_SIBL
(12,3),(12,10),0.0341995 # DEPENDENCYPART_SIBL
(12,3),(12,11),-0.531438 # DEPENDENCYPART_SIBL
(12,3),(12,13),-0.0128589 # DEPENDENCYPART_SIBL
(12,8),(12,10),0.0429735 # DEPENDENCYPART_SIBL
(12,8),(12,11),-0.320304 # DEPENDENCYPART_SIBL
(12,8),(12,13),0.0446886 # DEPENDENCYPART_SIBL
(12,10),(12,11),0.116835 # DEPENDENCYPART_SIBL
(12,10),(12,13),0.00645253 # DEPENDENCYPART_SIBL
(12,11),(12,13),0.00427159 # DEPENDENCYPART_SIBL
(13,5),(13,6),0.16305 # DEPENDENCYPART_SIBL
(13,5),(13,8),0.17593 # DEPENDENCYPART_SIBL
(13,5),(13,9),0.0835954 # DEPENDENCYPART_SIBL
(13,5),(13,10),0.113707 # DEPENDENCYPART_SIBL
(13,5),(13,11),-0.0687768 # DEPENDENCYPART_SIBL
(13,5),(13,12),0.175517 # DEPENDENCYPART_SIBL
(13,5),(13,15),-0.0018794 # DEPENDENCYPART_SIBL
(13,5),(13,18),0.0566024 # DEPENDENCYPART_SIBL
(13,5),(13,20),0.0566024 # DEPENDENCYPART_SIBL
(13,5),(13,21),0.00639489 # DEPENDENCYPART_SIBL
(13,5),(13,22),0.0249113 # DEPENDENCYPART_SIBL
(13,5),(13,23),0.0528583 # DEPENDENCYPART_SIBL
(13,6),(13,8),0.000772415 # DEPENDENCYPART_SIBL
(13,6),(13,9),0.256209 # DEPENDENCYPART_SIBL
(13,6),(13,10),0.0362671 # DEPENDENCYPART_SIBL
(13,6),(13,11),-0.0763022 # DEPENDENCYPART_SIBL
(13,6),(13,12),0.000768738 # DEPENDENCYPART_SIBL
(13,6),(13,15),0.0237382 # DEPENDENCYPART_SIBL
(13,6),(13,18),0.0597656 # DEPENDENCYPART_SIBL
(13,6),(13,20),0.0597656 # DEPENDENCYPART_SIBL
(13,6),(13,21),0.0376783 # DEPENDENCYPART_SIBL
(13,6),(13,22),0.049044 # DEPENDENCYPART_SIBL
(13,6),(13,23),0.125238 # DEPENDENCYPART_SIBL
(13,8),(13,9),0.279475 # DEPENDENCYPART_SIBL
(13,8),(13,10),0.0405947 # DEPENDENCYPART_SIBL
(13,8),(13,11),-0.0374862 # DEPENDENCYPART_SIBL
(13,8),(13,12),0.0756358 # DEPENDENCYPART_SIBL
(13,8),(13,15),0.0152515 # DEPENDENCYPART_SIBL
(13,8),(13,18),0.0218443 # DEPENDENCYPART_SIBL
(13,8),(13,20),0.0205572 # DEPENDENCYPART_SIBL
(13,8),(13,21),0.0271415 # DEPENDENCYPART_SIBL
(13,8),(13,22),0.00811162 # DEPENDENCYPART_SIBL
(13,8),(13,23),0.0534792 # DEPENDENCYPART_SIBL
(13,9),(13,10),0.0332421 # DEPENDENCYPART_SIBL
(13,9),(13,11),-0.131379 # DEPENDENCYPART_SIBL
(13,9),(13,12),0.0478413 # DEPENDENCYPART_SIBL
(13,9),(13,15),-0.0431696 # DEPENDENCYPART_SIBL
(13,9),(13,18),0.0206321 # DEPENDENCYPART_SIBL
(13,9),(13,20),0.0206321 # DEPENDENCYPART_SIBL
(13,9),(13,21),-0.00499797 # DEPENDENCYPART_SIBL
(13,9),(13,22),-0.0220022 # DEPENDENCYPART_SIBL
(13,9),(13,23),0.0204113 # DEPENDENCYPART_SIBL
(13,10),(13,11),0.110305 # DEPENDENCYPART_SIBL
(13,10),(13,12),0.0579257 # DEPENDENCYPART_SIBL
(13,10),(13,15),0.0171326 # DEPENDENCYPART_SIBL
(13,10),(13,18),0.0882904 # DEPENDENCYPART_SIBL
(13,10),(13,20),0.0882904 # DEPENDENCYPART_SIBL
(13,10),(13,21),0.0335203 # DEPENDENCYPART_SIBL
(13,10),(13,22),0.00653228 # DEPENDENCYPART_SIBL
(13,10),(13,23),0.0564477 # DEPENDENCYPART_SIBL
(13,11),(13,12),0.0668159 # DEPENDENCYPART_SIBL
(13,11),(13,15),-0.000880212 # DEPENDENCYPART_SIBL
(13,11),(13,18),0.0225869 # DEPENDENCYPART_SIBL
(13,11),(13,20),0.0225869 # DEPENDENCYPART_SIBL
(13,11),(13,21),0.00766752 # DEPENDENCYPART_SIBL
