# _root_ Elsősorban nekik köszönhető , hogy a különböző korosztályos megyei válogatottak eljuthatnak külföldre , és rendszeresek a Pest_megyében tartott nemzetközi tornák is .
#goldHeads=5,5,5,5,0,10,8,10,10,11,14,11,14,5,21,20,18,20,20,21,14,5,
#predictedHeads=5,5,5,5,0,10,8,10,10,11,14,11,14,5,21,20,18,20,20,21,14,5,
(5,2),(5,14),0.0295539 # DEPENDENCYPART_SIBL
(5,2),(5,15),0.0581289 # DEPENDENCYPART_SIBL
(5,2),(5,18),0.0525112 # DEPENDENCYPART_SIBL
(5,2),(5,20),0.0079005 # DEPENDENCYPART_SIBL
(5,2),(5,21),-0.0421769 # DEPENDENCYPART_SIBL
(5,2),(5,22),0.0283751 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.367408 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.190239 # DEPENDENCYPART_SIBL
(5,3),(5,8),0.141643 # DEPENDENCYPART_SIBL
(5,3),(5,9),0.141592 # DEPENDENCYPART_SIBL
(5,3),(5,10),0.0296166 # DEPENDENCYPART_SIBL
(5,3),(5,11),0.210137 # DEPENDENCYPART_SIBL
(5,3),(5,12),0.0295481 # DEPENDENCYPART_SIBL
(5,3),(5,13),0.0594138 # DEPENDENCYPART_SIBL
(5,3),(5,14),0.0841591 # DEPENDENCYPART_SIBL
(5,3),(5,15),0.141643 # DEPENDENCYPART_SIBL
(5,3),(5,18),0.136652 # DEPENDENCYPART_SIBL
(5,3),(5,20),0.0296166 # DEPENDENCYPART_SIBL
(5,3),(5,21),0.0652003 # DEPENDENCYPART_SIBL
(5,3),(5,22),0.182978 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.146888 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.0754555 # DEPENDENCYPART_SIBL
(5,4),(5,9),0.0751059 # DEPENDENCYPART_SIBL
(5,4),(5,10),0.0175236 # DEPENDENCYPART_SIBL
(5,4),(5,11),0.297102 # DEPENDENCYPART_SIBL
(5,4),(5,12),0.0171731 # DEPENDENCYPART_SIBL
(5,4),(5,13),0.00885234 # DEPENDENCYPART_SIBL
(5,4),(5,14),0.0928697 # DEPENDENCYPART_SIBL
(5,4),(5,15),0.0754555 # DEPENDENCYPART_SIBL
(5,4),(5,18),0.0655392 # DEPENDENCYPART_SIBL
(5,4),(5,20),0.0175236 # DEPENDENCYPART_SIBL
(5,4),(5,21),0.0503263 # DEPENDENCYPART_SIBL
(5,4),(5,22),0.213472 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.0284593 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.0284682 # DEPENDENCYPART_SIBL
(5,7),(5,10),0.00599847 # DEPENDENCYPART_SIBL
(5,7),(5,11),-0.0254458 # DEPENDENCYPART_SIBL
(5,7),(5,12),0.00599817 # DEPENDENCYPART_SIBL
(5,7),(5,13),0.0184175 # DEPENDENCYPART_SIBL
(5,7),(5,14),-0.0509574 # DEPENDENCYPART_SIBL
(5,7),(5,15),-0.0284593 # DEPENDENCYPART_SIBL
(5,7),(5,18),-0.0306383 # DEPENDENCYPART_SIBL
(5,7),(5,20),0.00599847 # DEPENDENCYPART_SIBL
(5,7),(5,21),-0.0534727 # DEPENDENCYPART_SIBL
(5,7),(5,22),0.0314639 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.0278221 # DEPENDENCYPART_SIBL
(5,8),(5,10),0.00701692 # DEPENDENCYPART_SIBL
(5,8),(5,11),-0.0247916 # DEPENDENCYPART_SIBL
(5,8),(5,12),0.00701662 # DEPENDENCYPART_SIBL
(5,8),(5,13),0.0193346 # DEPENDENCYPART_SIBL
(5,8),(5,14),-0.0502819 # DEPENDENCYPART_SIBL
(5,8),(5,15),-0.0278132 # DEPENDENCYPART_SIBL
(5,8),(5,18),-0.0299923 # DEPENDENCYPART_SIBL
(5,8),(5,20),0.00701692 # DEPENDENCYPART_SIBL
(5,8),(5,21),-0.0527972 # DEPENDENCYPART_SIBL
(5,8),(5,22),0.0333718 # DEPENDENCYPART_SIBL
(5,9),(5,10),0.00698505 # DEPENDENCYPART_SIBL
(5,9),(5,11),-0.0248408 # DEPENDENCYPART_SIBL
(5,9),(5,12),0.00698475 # DEPENDENCYPART_SIBL
(5,9),(5,13),0.0192967 # DEPENDENCYPART_SIBL
(5,9),(5,14),-0.0503153 # DEPENDENCYPART_SIBL
(5,9),(5,15),-0.027821 # DEPENDENCYPART_SIBL
(5,9),(5,18),-0.03 # DEPENDENCYPART_SIBL
(5,9),(5,20),0.00698505 # DEPENDENCYPART_SIBL
(5,9),(5,21),-0.0528306 # DEPENDENCYPART_SIBL
(5,9),(5,22),0.03286 # DEPENDENCYPART_SIBL
(5,10),(5,11),-0.0414677 # DEPENDENCYPART_SIBL
(5,10),(5,12),-0.0240444 # DEPENDENCYPART_SIBL
(5,10),(5,13),0.013313 # DEPENDENCYPART_SIBL
(5,10),(5,14),-0.0508583 # DEPENDENCYPART_SIBL
(5,10),(5,15),0.0210349 # DEPENDENCYPART_SIBL
(5,10),(5,18),0.0191964 # DEPENDENCYPART_SIBL
(5,10),(5,20),-0.0240434 # DEPENDENCYPART_SIBL
(5,10),(5,21),-0.0497573 # DEPENDENCYPART_SIBL
(5,10),(5,22),0.00247674 # DEPENDENCYPART_SIBL
(5,11),(5,12),0.0612608 # DEPENDENCYPART_SIBL
(5,11),(5,13),0.137759 # DEPENDENCYPART_SIBL
(5,11),(5,14),-0.0555188 # DEPENDENCYPART_SIBL
(5,11),(5,15),0.00328618 # DEPENDENCYPART_SIBL
(5,11),(5,18),0.00172649 # DEPENDENCYPART_SIBL
(5,11),(5,20),0.0612609 # DEPENDENCYPART_SIBL
(5,11),(5,21),-0.0622633 # DEPENDENCYPART_SIBL
(5,11),(5,22),0.032931 # DEPENDENCYPART_SIBL
(5,12),(5,13),0.0129706 # DEPENDENCYPART_SIBL
(5,12),(5,14),-0.0520402 # DEPENDENCYPART_SIBL
(5,12),(5,15),0.0209179 # DEPENDENCYPART_SIBL
(5,12),(5,18),0.0190794 # DEPENDENCYPART_SIBL
(5,12),(5,20),-0.0243836 # DEPENDENCYPART_SIBL
(5,12),(5,21),-0.0503493 # DEPENDENCYPART_SIBL
(5,12),(5,22),0.00133767 # DEPENDENCYPART_SIBL
(5,13),(5,14),-0.0317467 # DEPENDENCYPART_SIBL
(5,13),(5,15),0.0849268 # DEPENDENCYPART_SIBL
(5,13),(5,18),0.0777777 # DEPENDENCYPART_SIBL
(5,13),(5,20),0.121388 # DEPENDENCYPART_SIBL
(5,13),(5,21),-0.0702997 # DEPENDENCYPART_SIBL
(5,13),(5,22),0.0259896 # DEPENDENCYPART_SIBL
(5,14),(5,15),-0.0437607 # DEPENDENCYPART_SIBL
(5,14),(5,18),-0.0479272 # DEPENDENCYPART_SIBL
(5,14),(5,20),-0.0177051 # DEPENDENCYPART_SIBL
(5,14),(5,21),-0.108178 # DEPENDENCYPART_SIBL
(5,14),(5,22),0.0554381 # DEPENDENCYPART_SIBL
(5,15),(5,18),-0.0299923 # DEPENDENCYPART_SIBL
(5,15),(5,20),0.00701692 # DEPENDENCYPART_SIBL
(5,15),(5,21),-0.0527972 # DEPENDENCYPART_SIBL
(5,15),(5,22),0.0333718 # DEPENDENCYPART_SIBL
(5,18),(5,20),0.00227415 # DEPENDENCYPART_SIBL
(5,18),(5,21),-0.055453 # DEPENDENCYPART_SIBL
(5,18),(5,22),0.0139756 # DEPENDENCYPART_SIBL
(5,20),(5,21),-0.0497573 # DEPENDENCYPART_SIBL
(5,20),(5,22),0.00247674 # DEPENDENCYPART_SIBL
(5,21),(5,22),0.0109467 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.000116384 # DEPENDENCYPART_SIBL
(7,2),(7,5),0.200899 # DEPENDENCYPART_SIBL
(7,2),(7,6),-0.0776154 # DEPENDENCYPART_SIBL
(7,5),(7,6),-0.102301 # DEPENDENCYPART_SIBL
(8,1),(8,2),0.12912 # DEPENDENCYPART_SIBL
(8,1),(8,3),0.096766 # DEPENDENCYPART_SIBL
(8,1),(8,4),0.0815702 # DEPENDENCYPART_SIBL
(8,1),(8,5),0.22416 # DEPENDENCYPART_SIBL
(8,1),(8,6),-0.0639414 # DEPENDENCYPART_SIBL
(8,1),(8,7),0.0956612 # DEPENDENCYPART_SIBL
(8,1),(8,9),0.0276465 # DEPENDENCYPART_SIBL
(8,1),(8,22),0.0721246 # DEPENDENCYPART_SIBL
(8,2),(8,3),0.0868792 # DEPENDENCYPART_SIBL
(8,2),(8,4),0.0754697 # DEPENDENCYPART_SIBL
(8,2),(8,5),0.207402 # DEPENDENCYPART_SIBL
(8,2),(8,6),-0.0762359 # DEPENDENCYPART_SIBL
(8,2),(8,7),0.0857744 # DEPENDENCYPART_SIBL
(8,2),(8,9),0.0314881 # DEPENDENCYPART_SIBL
(8,2),(8,22),0.0552968 # DEPENDENCYPART_SIBL
(8,3),(8,4),0.271082 # DEPENDENCYPART_SIBL
(8,3),(8,5),0.227053 # DEPENDENCYPART_SIBL
(8,3),(8,6),-0.23006 # DEPENDENCYPART_SIBL
(8,3),(8,7),0.0203966 # DEPENDENCYPART_SIBL
(8,3),(8,9),0.00314971 # DEPENDENCYPART_SIBL
(8,3),(8,22),0.00494732 # DEPENDENCYPART_SIBL
(8,4),(8,5),0.0995751 # DEPENDENCYPART_SIBL
(8,4),(8,6),-0.131379 # DEPENDENCYPART_SIBL
(8,4),(8,7),0.0112239 # DEPENDENCYPART_SIBL
(8,4),(8,9),-0.0059827 # DEPENDENCYPART_SIBL
(8,4),(8,22),0.0204113 # DEPENDENCYPART_SIBL
(8,5),(8,6),-0.0987147 # DEPENDENCYPART_SIBL
(8,5),(8,7),-0.0361541 # DEPENDENCYPART_SIBL
(8,5),(8,9),0.00626456 # DEPENDENCYPART_SIBL
(8,5),(8,22),0.0614156 # DEPENDENCYPART_SIBL
(8,6),(8,7),0.0446628 # DEPENDENCYPART_SIBL
(8,6),(8,9),0.0370935 # DEPENDENCYPART_SIBL
(8,6),(8,22),-0.0375479 # DEPENDENCYPART_SIBL
(8,7),(8,9),0.00317032 # DEPENDENCYPART_SIBL
(8,7),(8,22),-0.0100823 # DEPENDENCYPART_SIBL
(8,9),(8,22),0.0003981 # DEPENDENCYPART_SIBL
(9,1),(9,2),0.127745 # DEPENDENCYPART_SIBL
(9,1),(9,3),0.095386 # DEPENDENCYPART_SIBL
(9,1),(9,4),0.080121 # DEPENDENCYPART_SIBL
(9,1),(9,5),0.222774 # DEPENDENCYPART_SIBL
(9,1),(9,6),-0.0653427 # DEPENDENCYPART_SIBL
(9,1),(9,7),0.0942812 # DEPENDENCYPART_SIBL
(9,1),(9,8),0.0946429 # DEPENDENCYPART_SIBL
(9,2),(9,3),0.0854992 # DEPENDENCYPART_SIBL
(9,2),(9,4),0.0740205 # DEPENDENCYPART_SIBL
(9,2),(9,5),0.206015 # DEPENDENCYPART_SIBL
(9,2),(9,6),-0.0776372 # DEPENDENCYPART_SIBL
(9,2),(9,7),0.0843944 # DEPENDENCYPART_SIBL
(9,2),(9,8),0.0847561 # DEPENDENCYPART_SIBL
(9,3),(9,4),0.270991 # DEPENDENCYPART_SIBL
(9,3),(9,5),0.227013 # DEPENDENCYPART_SIBL
(9,3),(9,6),-0.230104 # DEPENDENCYPART_SIBL
(9,3),(9,7),0.0203696 # DEPENDENCYPART_SIBL
(9,3),(9,8),0.0285077 # DEPENDENCYPART_SIBL
(9,4),(9,5),0.0995089 # DEPENDENCYPART_SIBL
(9,4),(9,6),-0.131483 # DEPENDENCYPART_SIBL
(9,4),(9,7),0.011164 # DEPENDENCYPART_SIBL
(9,4),(9,8),0.0241965 # DEPENDENCYPART_SIBL
(9,5),(9,6),-0.0987416 # DEPENDENCYPART_SIBL
(9,5),(9,7),-0.0361596 # DEPENDENCYPART_SIBL
(9,5),(9,8),-0.031414 # DEPENDENCYPART_SIBL
(9,6),(9,7),0.0446423 # DEPENDENCYPART_SIBL
(9,6),(9,8),0.0508976 # DEPENDENCYPART_SIBL
(9,7),(9,8),0.0328424 # DEPENDENCYPART_SIBL
(10,1),(10,3),-0.00709894 # DEPENDENCYPART_SIBL
(10,1),(10,4),0.0433984 # DEPENDENCYPART_SIBL
(10,1),(10,5),0.104876 # DEPENDENCYPART_SIBL
(10,1),(10,6),-0.42153 # DEPENDENCYPART_SIBL
(10,1),(10,7),-0.0458214 # DEPENDENCYPART_SIBL
(10,1),(10,8),-0.0214813 # DEPENDENCYPART_SIBL
(10,1),(10,9),-0.0210342 # DEPENDENCYPART_SIBL
(10,1),(10,12),-0.0072008 # DEPENDENCYPART_SIBL
(10,1),(10,17),-0.00714315 # DEPENDENCYPART_SIBL
(10,1),(10,20),-0.00714315 # DEPENDENCYPART_SIBL
(10,3),(10,4),0.444196 # DEPENDENCYPART_SIBL
(10,3),(10,5),0.302283 # DEPENDENCYPART_SIBL
(10,3),(10,6),-0.667483 # DEPENDENCYPART_SIBL
(10,3),(10,7),-0.0457446 # DEPENDENCYPART_SIBL
(10,3),(10,8),-0.00599135 # DEPENDENCYPART_SIBL
(10,3),(10,9),-0.0211588 # DEPENDENCYPART_SIBL
(10,3),(10,12),-0.00326329 # DEPENDENCYPART_SIBL
(10,3),(10,17),-0.00319526 # DEPENDENCYPART_SIBL
(10,3),(10,20),-0.00319526 # DEPENDENCYPART_SIBL
(10,4),(10,5),0.105326 # DEPENDENCYPART_SIBL
(10,4),(10,6),-0.408123 # DEPENDENCYPART_SIBL
(10,4),(10,7),-0.0245122 # DEPENDENCYPART_SIBL
(10,4),(10,8),0.0253283 # DEPENDENCYPART_SIBL
(10,4),(10,9),0.0170405 # DEPENDENCYPART_SIBL
(10,4),(10,12),-0.0087943 # DEPENDENCYPART_SIBL
(10,4),(10,17),-0.00844461 # DEPENDENCYPART_SIBL
(10,4),(10,20),-0.00844461 # DEPENDENCYPART_SIBL
(10,5),(10,6),-0.403357 # DEPENDENCYPART_SIBL
(10,5),(10,7),-0.143919 # DEPENDENCYPART_SIBL
(10,5),(10,8),-0.11121 # DEPENDENCYPART_SIBL
(10,5),(10,9),-0.108931 # DEPENDENCYPART_SIBL
(10,5),(10,12),-0.011465 # DEPENDENCYPART_SIBL
(10,5),(10,17),-0.0114091 # DEPENDENCYPART_SIBL
(10,5),(10,20),-0.0114091 # DEPENDENCYPART_SIBL
(10,6),(10,7),0.119507 # DEPENDENCYPART_SIBL
(10,6),(10,8),0.155839 # DEPENDENCYPART_SIBL
(10,6),(10,9),0.197488 # DEPENDENCYPART_SIBL
(10,6),(10,12),-0.00331961 # DEPENDENCYPART_SIBL
(10,6),(10,17),-0.00331961 # DEPENDENCYPART_SIBL
(10,6),(10,20),-0.00331961 # DEPENDENCYPART_SIBL
(10,7),(10,8),-0.0021961 # DEPENDENCYPART_SIBL
(10,7),(10,9),-0.0173636 # DEPENDENCYPART_SIBL
(10,7),(10,12),-0.00441087 # DEPENDENCYPART_SIBL
(10,7),(10,17),-0.00434284 # DEPENDENCYPART_SIBL
(10,7),(10,20),-0.00434284 # DEPENDENCYPART_SIBL
(10,8),(10,9),-0.0098166 # DEPENDENCYPART_SIBL
(10,8),(10,12),-0.00418182 # DEPENDENCYPART_SIBL
(10,8),(10,17),-0.00411379 # DEPENDENCYPART_SIBL
(10,8),(10,20),-0.00411379 # DEPENDENCYPART_SIBL
(10,9),(10,12),-0.00439393 # DEPENDENCYPART_SIBL
(10,9),(10,17),-0.0043259 # DEPENDENCYPART_SIBL
(10,9),(10,20),-0.0043259 # DEPENDENCYPART_SIBL
(10,12),(10,17),0.00437665 # DEPENDENCYPART_SIBL
(10,12),(10,20),0.00437665 # DEPENDENCYPART_SIBL
(10,17),(10,20),0.00471394 # DEPENDENCYPART_SIBL
(11,1),(11,2),-0.0513436 # DEPENDENCYPART_SIBL
(11,1),(11,3),-0.00633245 # DEPENDENCYPART_SIBL
(11,1),(11,4),0.0181462 # DEPENDENCYPART_SIBL
(11,1),(11,5),0.00579527 # DEPENDENCYPART_SIBL
(11,1),(11,6),-0.108628 # DEPENDENCYPART_SIBL
(11,1),(11,7),-0.00942791 # DEPENDENCYPART_SIBL
(11,1),(11,8),-0.00919462 # DEPENDENCYPART_SIBL
(11,1),(11,9),-0.00963869 # DEPENDENCYPART_SIBL
(11,1),(11,10),-0.011908 # DEPENDENCYPART_SIBL
(11,1),(11,12),-0.0216758 # DEPENDENCYPART_SIBL
(11,1),(11,13),0.00963803 # DEPENDENCYPART_SIBL
(11,1),(11,14),-0.0152275 # DEPENDENCYPART_SIBL
(11,1),(11,15),0.00758931 # DEPENDENCYPART_SIBL
(11,1),(11,16),-0.0723704 # DEPENDENCYPART_SIBL
(11,1),(11,17),-0.0247445 # DEPENDENCYPART_SIBL
(11,1),(11,18),0.00247978 # DEPENDENCYPART_SIBL
(11,1),(11,19),-0.0117405 # DEPENDENCYPART_SIBL
(11,1),(11,20),-0.0247445 # DEPENDENCYPART_SIBL
(11,1),(11,21),-0.0328975 # DEPENDENCYPART_SIBL
(11,1),(11,22),0.068545 # DEPENDENCYPART_SIBL
(11,2),(11,3),0.000989281 # DEPENDENCYPART_SIBL
(11,2),(11,4),0.0251403 # DEPENDENCYPART_SIBL
(11,2),(11,5),0.0146656 # DEPENDENCYPART_SIBL
(11,2),(11,6),-0.101655 # DEPENDENCYPART_SIBL
(11,2),(11,7),-0.00210617 # DEPENDENCYPART_SIBL
(11,2),(11,8),-0.00187289 # DEPENDENCYPART_SIBL
(11,2),(11,9),-0.00231695 # DEPENDENCYPART_SIBL
(11,2),(11,10),-0.00219936 # DEPENDENCYPART_SIBL
(11,2),(11,12),-0.0125665 # DEPENDENCYPART_SIBL
(11,2),(11,13),-0.0323134 # DEPENDENCYPART_SIBL
(11,2),(11,14),-0.0349518 # DEPENDENCYPART_SIBL
(11,2),(11,15),-0.00984238 # DEPENDENCYPART_SIBL
(11,2),(11,16),-0.0907462 # DEPENDENCYPART_SIBL
(11,2),(11,17),-0.0156352 # DEPENDENCYPART_SIBL
(11,2),(11,18),-0.0149514 # DEPENDENCYPART_SIBL
(11,2),(11,19),-0.0291722 # DEPENDENCYPART_SIBL
(11,2),(11,20),-0.0156352 # DEPENDENCYPART_SIBL
(11,2),(11,21),-0.0517718 # DEPENDENCYPART_SIBL
(11,2),(11,22),-0.0104317 # DEPENDENCYPART_SIBL
(11,3),(11,4),0.0805086 # DEPENDENCYPART_SIBL
(11,3),(11,5),0.0995978 # DEPENDENCYPART_SIBL
(11,3),(11,6),-0.19407 # DEPENDENCYPART_SIBL
(11,3),(11,7),-0.0293835 # DEPENDENCYPART_SIBL
(11,3),(11,8),-0.0213742 # DEPENDENCYPART_SIBL
(11,3),(11,9),-0.0296421 # DEPENDENCYPART_SIBL
(11,3),(11,10),-0.0120976 # DEPENDENCYPART_SIBL
(11,3),(11,12),0.0174832 # DEPENDENCYPART_SIBL
(11,3),(11,13),0.0215548 # DEPENDENCYPART_SIBL
(11,3),(11,14),-0.0336907 # DEPENDENCYPART_SIBL
(11,3),(11,15),-0.0253107 # DEPENDENCYPART_SIBL
(11,3),(11,16),-0.00162933 # DEPENDENCYPART_SIBL
(11,3),(11,17),0.0144299 # DEPENDENCYPART_SIBL
(11,3),(11,18),-0.0302969 # DEPENDENCYPART_SIBL
(11,3),(11,19),-0.0407921 # DEPENDENCYPART_SIBL
(11,3),(11,20),0.0144299 # DEPENDENCYPART_SIBL
(11,3),(11,21),0.00448397 # DEPENDENCYPART_SIBL
(11,3),(11,22),0.0253819 # DEPENDENCYPART_SIBL
(11,4),(11,5),0.0282692 # DEPENDENCYPART_SIBL
(11,4),(11,6),-0.108275 # DEPENDENCYPART_SIBL
(11,4),(11,7),-0.0240378 # DEPENDENCYPART_SIBL
(11,4),(11,8),-0.0111307 # DEPENDENCYPART_SIBL
(11,4),(11,9),-0.0161812 # DEPENDENCYPART_SIBL
(11,4),(11,10),-0.00910665 # DEPENDENCYPART_SIBL
(11,4),(11,12),-0.0202585 # DEPENDENCYPART_SIBL
(11,4),(11,13),-0.00708594 # DEPENDENCYPART_SIBL
(11,4),(11,14),-0.0249508 # DEPENDENCYPART_SIBL
(11,4),(11,15),-0.0194715 # DEPENDENCYPART_SIBL
(11,4),(11,16),-0.0138076 # DEPENDENCYPART_SIBL
(11,4),(11,17),-0.0230436 # DEPENDENCYPART_SIBL
(11,4),(11,18),-0.0275328 # DEPENDENCYPART_SIBL
(11,4),(11,19),-0.0303659 # DEPENDENCYPART_SIBL
(11,4),(11,20),-0.0230436 # DEPENDENCYPART_SIBL
(11,4),(11,21),-0.00428049 # DEPENDENCYPART_SIBL
(11,4),(11,22),0.0175865 # DEPENDENCYPART_SIBL
(11,5),(11,6),-0.109177 # DEPENDENCYPART_SIBL
(11,5),(11,7),-0.0716922 # DEPENDENCYPART_SIBL
(11,5),(11,8),-0.0671316 # DEPENDENCYPART_SIBL
(11,5),(11,9),-0.0666598 # DEPENDENCYPART_SIBL
(11,5),(11,10),-0.12865 # DEPENDENCYPART_SIBL
(11,5),(11,12),-0.0180595 # DEPENDENCYPART_SIBL
(11,5),(11,13),-0.0451247 # DEPENDENCYPART_SIBL
(11,5),(11,14),-0.0318318 # DEPENDENCYPART_SIBL
(11,5),(11,15),-0.0319313 # DEPENDENCYPART_SIBL
(11,5),(11,16),-0.0427197 # DEPENDENCYPART_SIBL
(11,5),(11,17),-0.0211369 # DEPENDENCYPART_SIBL
(11,5),(11,18),-0.0347521 # DEPENDENCYPART_SIBL
(11,5),(11,19),-0.0423528 # DEPENDENCYPART_SIBL
(11,5),(11,20),-0.0211369 # DEPENDENCYPART_SIBL
(11,5),(11,21),-0.0317811 # DEPENDENCYPART_SIBL
(11,5),(11,22),0.0151779 # DEPENDENCYPART_SIBL
(11,6),(11,7),-0.0225366 # DEPENDENCYPART_SIBL
(11,6),(11,8),-0.0164023 # DEPENDENCYPART_SIBL
(11,6),(11,9),0.00898173 # DEPENDENCYPART_SIBL
(11,6),(11,10),0.0174485 # DEPENDENCYPART_SIBL
(11,6),(11,12),-0.0224445 # DEPENDENCYPART_SIBL
(11,6),(11,13),-0.0377119 # DEPENDENCYPART_SIBL
(11,6),(11,14),-0.0309529 # DEPENDENCYPART_SIBL
(11,6),(11,15),0.00254028 # DEPENDENCYPART_SIBL
(11,6),(11,16),0.0223062 # DEPENDENCYPART_SIBL
(11,6),(11,17),-0.0255795 # DEPENDENCYPART_SIBL
(11,6),(11,18),-0.000578574 # DEPENDENCYPART_SIBL
(11,6),(11,19),-0.00787775 # DEPENDENCYPART_SIBL
(11,6),(11,20),-0.0255795 # DEPENDENCYPART_SIBL
(11,6),(11,21),-0.0327493 # DEPENDENCYPART_SIBL
(11,6),(11,22),-0.064366 # DEPENDENCYPART_SIBL
(11,7),(11,8),-0.0226648 # DEPENDENCYPART_SIBL
(11,7),(11,9),-0.0309326 # DEPENDENCYPART_SIBL
(11,7),(11,10),-0.0152191 # DEPENDENCYPART_SIBL
(11,7),(11,12),0.0111101 # DEPENDENCYPART_SIBL
(11,7),(11,13),0.0134789 # DEPENDENCYPART_SIBL
(11,7),(11,14),-0.037492 # DEPENDENCYPART_SIBL
(11,7),(11,15),-0.0294656 # DEPENDENCYPART_SIBL
(11,7),(11,16),-0.00583173 # DEPENDENCYPART_SIBL
(11,7),(11,17),0.0080568 # DEPENDENCYPART_SIBL
(11,7),(11,18),-0.0344519 # DEPENDENCYPART_SIBL
(11,7),(11,19),-0.044947 # DEPENDENCYPART_SIBL
(11,7),(11,20),0.0080568 # DEPENDENCYPART_SIBL
(11,7),(11,21),0.000693436 # DEPENDENCYPART_SIBL
(11,7),(11,22),0.00384707 # DEPENDENCYPART_SIBL
(11,8),(11,9),-0.0301426 # DEPENDENCYPART_SIBL
(11,8),(11,10),-0.0150274 # DEPENDENCYPART_SIBL
(11,8),(11,12),0.011276 # DEPENDENCYPART_SIBL
(11,8),(11,13),0.0135504 # DEPENDENCYPART_SIBL
(11,8),(11,14),-0.0374188 # DEPENDENCYPART_SIBL
(11,8),(11,15),-0.0294339 # DEPENDENCYPART_SIBL
(11,8),(11,16),-0.00583005 # DEPENDENCYPART_SIBL
(11,8),(11,17),0.0082227 # DEPENDENCYPART_SIBL
(11,8),(11,18),-0.0344201 # DEPENDENCYPART_SIBL
(11,8),(11,19),-0.0449153 # DEPENDENCYPART_SIBL
(11,8),(11,20),0.0082227 # DEPENDENCYPART_SIBL
(11,8),(11,21),0.000763799 # DEPENDENCYPART_SIBL
(11,8),(11,22),0.00415726 # DEPENDENCYPART_SIBL
(11,9),(11,10),-0.0151659 # DEPENDENCYPART_SIBL
(11,9),(11,12),0.0111585 # DEPENDENCYPART_SIBL
(11,9),(11,13),0.0130292 # DEPENDENCYPART_SIBL
(11,9),(11,14),-0.037571 # DEPENDENCYPART_SIBL
(11,9),(11,15),-0.0295429 # DEPENDENCYPART_SIBL
(11,9),(11,16),-0.00593033 # DEPENDENCYPART_SIBL
(11,9),(11,17),0.00810527 # DEPENDENCYPART_SIBL
(11,9),(11,18),-0.0345291 # DEPENDENCYPART_SIBL
(11,9),(11,19),-0.0450243 # DEPENDENCYPART_SIBL
(11,9),(11,20),0.00810527 # DEPENDENCYPART_SIBL
(11,9),(11,21),0.000611541 # DEPENDENCYPART_SIBL
(11,9),(11,22),0.00388875 # DEPENDENCYPART_SIBL
(11,10),(11,12),-0.00551941 # DEPENDENCYPART_SIBL
(11,10),(11,13),-0.0064018 # DEPENDENCYPART_SIBL
(11,10),(11,14),-0.026359 # DEPENDENCYPART_SIBL
(11,10),(11,15),-0.00616218 # DEPENDENCYPART_SIBL
(11,10),(11,16),-0.0207403 # DEPENDENCYPART_SIBL
(11,10),(11,17),-0.0117768 # DEPENDENCYPART_SIBL
(11,10),(11,18),-0.00700307 # DEPENDENCYPART_SIBL
(11,10),(11,19),-0.0228778 # DEPENDENCYPART_SIBL
(11,10),(11,20),-0.0117756 # DEPENDENCYPART_SIBL
(11,10),(11,21),-0.0227007 # DEPENDENCYPART_SIBL
(11,10),(11,22),0.0059438 # DEPENDENCYPART_SIBL
(11,12),(11,13),0.0405935 # DEPENDENCYPART_SIBL
(11,12),(11,14),0.025578 # DEPENDENCYPART_SIBL
(11,12),(11,15),0.0241539 # DEPENDENCYPART_SIBL
(11,12),(11,16),0.0687116 # DEPENDENCYPART_SIBL
(11,12),(11,17),-0.0216652 # DEPENDENCYPART_SIBL
(11,12),(11,18),0.025038 # DEPENDENCYPART_SIBL
(11,12),(11,19),0.0194397 # DEPENDENCYPART_SIBL
(11,12),(11,20),-0.0216652 # DEPENDENCYPART_SIBL
(11,12),(11,21),0.0673253 # DEPENDENCYPART_SIBL
(11,12),(11,22),-0.00475886 # DEPENDENCYPART_SIBL
(11,13),(11,14),0.0709146 # DEPENDENCYPART_SIBL
(11,13),(11,15),0.0604985 # DEPENDENCYPART_SIBL
(11,13),(11,16),0.124212 # DEPENDENCYPART_SIBL
(11,13),(11,17),0.0765199 # DEPENDENCYPART_SIBL
(11,13),(11,18),0.0553552 # DEPENDENCYPART_SIBL
(11,13),(11,19),0.0450636 # DEPENDENCYPART_SIBL
(11,13),(11,20),0.0765199 # DEPENDENCYPART_SIBL
(11,13),(11,21),0.0235503 # DEPENDENCYPART_SIBL
(11,13),(11,22),0.0487188 # DEPENDENCYPART_SIBL
(11,14),(11,15),0.0299412 # DEPENDENCYPART_SIBL
(11,14),(11,16),0.0660952 # DEPENDENCYPART_SIBL
(11,14),(11,17),0.107612 # DEPENDENCYPART_SIBL
(11,14),(11,18),0.0251073 # DEPENDENCYPART_SIBL
(11,14),(11,19),0.0246234 # DEPENDENCYPART_SIBL
(11,14),(11,20),0.107612 # DEPENDENCYPART_SIBL
