# _root_ A társaság a HungarHotelst nem tudja ugyan megvenni , mégis tovább működött , fb-elnöki tisztéről Récsey 1998 áprilisában mondott le .
#goldHeads=2,6,4,8,6,10,6,6,10,0,12,10,10,15,19,19,18,19,10,19,10,
#predictedHeads=2,6,4,6,6,10,6,6,10,0,12,10,12,15,19,18,18,19,10,19,10,
(6,16),(6,18),0.0594661 # DEPENDENCYPART_SIBL
(6,16),(6,19),0.0395097 # DEPENDENCYPART_SIBL
(6,16),(6,20),0.0412507 # DEPENDENCYPART_SIBL
(6,16),(6,21),0.0557414 # DEPENDENCYPART_SIBL
(6,17),(6,18),0.0291755 # DEPENDENCYPART_SIBL
(6,17),(6,19),0.0149011 # DEPENDENCYPART_SIBL
(6,17),(6,20),-0.00602512 # DEPENDENCYPART_SIBL
(6,17),(6,21),0.0209999 # DEPENDENCYPART_SIBL
(6,18),(6,19),0.039501 # DEPENDENCYPART_SIBL
(6,18),(6,20),0.0412469 # DEPENDENCYPART_SIBL
(6,18),(6,21),0.0557125 # DEPENDENCYPART_SIBL
(6,19),(6,20),0.00960825 # DEPENDENCYPART_SIBL
(6,19),(6,21),0.0268028 # DEPENDENCYPART_SIBL
(6,20),(6,21),0.00634697 # DEPENDENCYPART_SIBL
(7,2),(7,4),0.0126626 # DEPENDENCYPART_SIBL
(7,2),(7,5),0.0717688 # DEPENDENCYPART_SIBL
(7,2),(7,6),0.0577211 # DEPENDENCYPART_SIBL
(7,2),(7,8),-0.00197335 # DEPENDENCYPART_SIBL
(7,2),(7,9),0.000559753 # DEPENDENCYPART_SIBL
(7,2),(7,10),-0.0342683 # DEPENDENCYPART_SIBL
(7,2),(7,12),0.00816203 # DEPENDENCYPART_SIBL
(7,2),(7,13),0.000559753 # DEPENDENCYPART_SIBL
(7,2),(7,19),0.00598858 # DEPENDENCYPART_SIBL
(7,2),(7,21),0.00144495 # DEPENDENCYPART_SIBL
(7,4),(7,5),0.0731909 # DEPENDENCYPART_SIBL
(7,4),(7,6),0.0594608 # DEPENDENCYPART_SIBL
(7,4),(7,8),-0.00288863 # DEPENDENCYPART_SIBL
(7,4),(7,9),0.0058019 # DEPENDENCYPART_SIBL
(7,4),(7,10),-0.0335065 # DEPENDENCYPART_SIBL
(7,4),(7,12),0.00724675 # DEPENDENCYPART_SIBL
(7,4),(7,13),0.0058019 # DEPENDENCYPART_SIBL
(7,4),(7,19),0.0050733 # DEPENDENCYPART_SIBL
(7,4),(7,21),0.00897201 # DEPENDENCYPART_SIBL
(7,5),(7,6),0.037364 # DEPENDENCYPART_SIBL
(7,5),(7,8),0.109785 # DEPENDENCYPART_SIBL
(7,5),(7,9),0.00707875 # DEPENDENCYPART_SIBL
(7,5),(7,10),0.0075991 # DEPENDENCYPART_SIBL
(7,5),(7,12),0.119111 # DEPENDENCYPART_SIBL
(7,5),(7,13),0.00707875 # DEPENDENCYPART_SIBL
(7,5),(7,19),0.114766 # DEPENDENCYPART_SIBL
(7,5),(7,21),0.0789376 # DEPENDENCYPART_SIBL
(7,6),(7,8),0.123159 # DEPENDENCYPART_SIBL
(7,6),(7,9),0.00298913 # DEPENDENCYPART_SIBL
(7,6),(7,10),0.0243776 # DEPENDENCYPART_SIBL
(7,6),(7,12),0.146614 # DEPENDENCYPART_SIBL
(7,6),(7,13),0.00298913 # DEPENDENCYPART_SIBL
(7,6),(7,19),0.137393 # DEPENDENCYPART_SIBL
(7,6),(7,21),0.117454 # DEPENDENCYPART_SIBL
(7,8),(7,9),0.142736 # DEPENDENCYPART_SIBL
(7,8),(7,10),-0.00949704 # DEPENDENCYPART_SIBL
(7,8),(7,12),0.00553328 # DEPENDENCYPART_SIBL
(7,8),(7,13),0.142736 # DEPENDENCYPART_SIBL
(7,8),(7,19),-0.0138839 # DEPENDENCYPART_SIBL
(7,8),(7,21),0.0948083 # DEPENDENCYPART_SIBL
(7,9),(7,10),0.039998 # DEPENDENCYPART_SIBL
(7,9),(7,12),0.243344 # DEPENDENCYPART_SIBL
(7,9),(7,13),-0.0134798 # DEPENDENCYPART_SIBL
(7,9),(7,19),0.217748 # DEPENDENCYPART_SIBL
(7,9),(7,21),0.0277299 # DEPENDENCYPART_SIBL
(7,10),(7,12),-0.0288029 # DEPENDENCYPART_SIBL
(7,10),(7,13),-0.0157716 # DEPENDENCYPART_SIBL
(7,10),(7,19),-0.0377362 # DEPENDENCYPART_SIBL
(7,10),(7,21),0.0269901 # DEPENDENCYPART_SIBL
(7,12),(7,13),0.15676 # DEPENDENCYPART_SIBL
(7,12),(7,19),-0.00615983 # DEPENDENCYPART_SIBL
(7,12),(7,21),0.123921 # DEPENDENCYPART_SIBL
(7,13),(7,19),0.217748 # DEPENDENCYPART_SIBL
(7,13),(7,21),0.0277299 # DEPENDENCYPART_SIBL
(7,19),(7,21),0.102361 # DEPENDENCYPART_SIBL
(8,2),(8,3),-0.0638786 # DEPENDENCYPART_SIBL
(8,2),(8,4),-0.0423077 # DEPENDENCYPART_SIBL
(8,2),(8,5),0.027767 # DEPENDENCYPART_SIBL
(8,2),(8,6),-0.0144033 # DEPENDENCYPART_SIBL
(8,2),(8,7),0.158481 # DEPENDENCYPART_SIBL
(8,2),(8,9),-0.0310581 # DEPENDENCYPART_SIBL
(8,2),(8,10),-0.0756042 # DEPENDENCYPART_SIBL
(8,2),(8,11),-0.031969 # DEPENDENCYPART_SIBL
(8,2),(8,12),-0.0316612 # DEPENDENCYPART_SIBL
(8,2),(8,13),-0.0310581 # DEPENDENCYPART_SIBL
(8,2),(8,14),-0.0222851 # DEPENDENCYPART_SIBL
(8,2),(8,15),-0.0476959 # DEPENDENCYPART_SIBL
(8,2),(8,16),-0.052756 # DEPENDENCYPART_SIBL
(8,2),(8,17),-0.0231228 # DEPENDENCYPART_SIBL
(8,2),(8,18),-0.0528159 # DEPENDENCYPART_SIBL
(8,2),(8,19),-0.0273459 # DEPENDENCYPART_SIBL
(8,2),(8,20),0.0135676 # DEPENDENCYPART_SIBL
(8,2),(8,21),-0.0218858 # DEPENDENCYPART_SIBL
(8,3),(8,4),0.0155752 # DEPENDENCYPART_SIBL
(8,3),(8,5),-0.05825 # DEPENDENCYPART_SIBL
(8,3),(8,6),0.0250188 # DEPENDENCYPART_SIBL
(8,3),(8,7),0.102198 # DEPENDENCYPART_SIBL
(8,3),(8,9),-0.0384822 # DEPENDENCYPART_SIBL
(8,3),(8,10),-0.0500386 # DEPENDENCYPART_SIBL
(8,3),(8,11),-0.0028348 # DEPENDENCYPART_SIBL
(8,3),(8,12),-0.017287 # DEPENDENCYPART_SIBL
(8,3),(8,13),-0.0384822 # DEPENDENCYPART_SIBL
(8,3),(8,14),0.00252748 # DEPENDENCYPART_SIBL
(8,3),(8,15),-0.0329624 # DEPENDENCYPART_SIBL
(8,3),(8,16),-0.0345769 # DEPENDENCYPART_SIBL
(8,3),(8,17),-0.0207251 # DEPENDENCYPART_SIBL
(8,3),(8,18),-0.0346079 # DEPENDENCYPART_SIBL
(8,3),(8,19),-0.0165176 # DEPENDENCYPART_SIBL
(8,3),(8,20),0.00881309 # DEPENDENCYPART_SIBL
(8,3),(8,21),-0.0637897 # DEPENDENCYPART_SIBL
(8,4),(8,5),0.0257918 # DEPENDENCYPART_SIBL
(8,4),(8,6),-0.0153463 # DEPENDENCYPART_SIBL
(8,4),(8,7),0.159765 # DEPENDENCYPART_SIBL
(8,4),(8,9),-0.0149039 # DEPENDENCYPART_SIBL
(8,4),(8,10),-0.0681281 # DEPENDENCYPART_SIBL
(8,4),(8,11),-0.0262357 # DEPENDENCYPART_SIBL
(8,4),(8,12),-0.0282204 # DEPENDENCYPART_SIBL
(8,4),(8,13),-0.0149039 # DEPENDENCYPART_SIBL
(8,4),(8,14),-0.0136346 # DEPENDENCYPART_SIBL
(8,4),(8,15),-0.0289879 # DEPENDENCYPART_SIBL
(8,4),(8,16),-0.0340479 # DEPENDENCYPART_SIBL
(8,4),(8,17),-0.0157459 # DEPENDENCYPART_SIBL
(8,4),(8,18),-0.0341078 # DEPENDENCYPART_SIBL
(8,4),(8,19),-0.0239051 # DEPENDENCYPART_SIBL
(8,4),(8,20),0.0193009 # DEPENDENCYPART_SIBL
(8,4),(8,21),-0.00106896 # DEPENDENCYPART_SIBL
(8,5),(8,6),-0.0276245 # DEPENDENCYPART_SIBL
(8,5),(8,7),0.0910288 # DEPENDENCYPART_SIBL
(8,5),(8,9),-0.0104547 # DEPENDENCYPART_SIBL
(8,5),(8,10),-0.0399241 # DEPENDENCYPART_SIBL
(8,5),(8,11),0.0486666 # DEPENDENCYPART_SIBL
(8,5),(8,12),0.051145 # DEPENDENCYPART_SIBL
(8,5),(8,13),-0.0104547 # DEPENDENCYPART_SIBL
(8,5),(8,14),0.0181096 # DEPENDENCYPART_SIBL
(8,5),(8,15),-0.00623278 # DEPENDENCYPART_SIBL
(8,5),(8,16),-0.00810109 # DEPENDENCYPART_SIBL
(8,5),(8,17),0.00866103 # DEPENDENCYPART_SIBL
(8,5),(8,18),-0.00813927 # DEPENDENCYPART_SIBL
(8,5),(8,19),0.0531057 # DEPENDENCYPART_SIBL
(8,5),(8,20),0.0541119 # DEPENDENCYPART_SIBL
(8,5),(8,21),-0.00821938 # DEPENDENCYPART_SIBL
(8,6),(8,7),0.0231109 # DEPENDENCYPART_SIBL
(8,6),(8,9),-0.00751947 # DEPENDENCYPART_SIBL
(8,6),(8,10),-0.0368001 # DEPENDENCYPART_SIBL
(8,6),(8,11),-0.000232333 # DEPENDENCYPART_SIBL
(8,6),(8,12),-0.0107425 # DEPENDENCYPART_SIBL
(8,6),(8,13),-0.00751947 # DEPENDENCYPART_SIBL
(8,6),(8,14),-0.0229846 # DEPENDENCYPART_SIBL
(8,6),(8,15),-0.0279827 # DEPENDENCYPART_SIBL
(8,6),(8,16),-0.0293886 # DEPENDENCYPART_SIBL
(8,6),(8,17),-0.0135871 # DEPENDENCYPART_SIBL
(8,6),(8,18),-0.0294271 # DEPENDENCYPART_SIBL
(8,6),(8,19),-0.0128682 # DEPENDENCYPART_SIBL
(8,6),(8,20),-0.00155584 # DEPENDENCYPART_SIBL
(8,6),(8,21),0.00202761 # DEPENDENCYPART_SIBL
(8,7),(8,9),-6.6055e-05 # DEPENDENCYPART_SIBL
(8,7),(8,10),-0.00972176 # DEPENDENCYPART_SIBL
(8,7),(8,11),0.0174586 # DEPENDENCYPART_SIBL
(8,7),(8,12),0.026348 # DEPENDENCYPART_SIBL
(8,7),(8,13),-6.6055e-05 # DEPENDENCYPART_SIBL
(8,7),(8,14),-0.00709847 # DEPENDENCYPART_SIBL
(8,7),(8,15),-0.000271165 # DEPENDENCYPART_SIBL
(8,7),(8,16),-0.00188567 # DEPENDENCYPART_SIBL
(8,7),(8,17),0.0184304 # DEPENDENCYPART_SIBL
(8,7),(8,18),-0.00192384 # DEPENDENCYPART_SIBL
(8,7),(8,19),0.030508 # DEPENDENCYPART_SIBL
(8,7),(8,20),0.00768347 # DEPENDENCYPART_SIBL
(8,7),(8,21),0.0212273 # DEPENDENCYPART_SIBL
(8,9),(8,10),0.228655 # DEPENDENCYPART_SIBL
(8,9),(8,11),0.0841511 # DEPENDENCYPART_SIBL
(8,9),(8,12),0.189842 # DEPENDENCYPART_SIBL
(8,9),(8,13),-0.0141177 # DEPENDENCYPART_SIBL
(8,9),(8,14),0.0597296 # DEPENDENCYPART_SIBL
(8,9),(8,15),0.070025 # DEPENDENCYPART_SIBL
(8,9),(8,16),0.0695063 # DEPENDENCYPART_SIBL
(8,9),(8,17),0.0366502 # DEPENDENCYPART_SIBL
(8,9),(8,18),0.0694984 # DEPENDENCYPART_SIBL
(8,9),(8,19),0.194958 # DEPENDENCYPART_SIBL
(8,9),(8,20),0.0813276 # DEPENDENCYPART_SIBL
(8,9),(8,21),0.0475093 # DEPENDENCYPART_SIBL
(8,10),(8,11),0.0155459 # DEPENDENCYPART_SIBL
(8,10),(8,12),0.0121959 # DEPENDENCYPART_SIBL
(8,10),(8,13),-0.0208658 # DEPENDENCYPART_SIBL
(8,10),(8,14),0.0622731 # DEPENDENCYPART_SIBL
(8,10),(8,15),0.0374803 # DEPENDENCYPART_SIBL
(8,10),(8,16),0.0369615 # DEPENDENCYPART_SIBL
(8,10),(8,17),-0.00313423 # DEPENDENCYPART_SIBL
(8,10),(8,18),0.0369578 # DEPENDENCYPART_SIBL
(8,10),(8,19),0.0204918 # DEPENDENCYPART_SIBL
(8,10),(8,20),0.0150209 # DEPENDENCYPART_SIBL
(8,10),(8,21),0.000494239 # DEPENDENCYPART_SIBL
(8,11),(8,12),-0.0179759 # DEPENDENCYPART_SIBL
(8,11),(8,13),0.0277706 # DEPENDENCYPART_SIBL
(8,11),(8,14),0.0558102 # DEPENDENCYPART_SIBL
(8,11),(8,15),0.0208846 # DEPENDENCYPART_SIBL
(8,11),(8,16),0.0193268 # DEPENDENCYPART_SIBL
(8,11),(8,17),-0.00908266 # DEPENDENCYPART_SIBL
(8,11),(8,18),0.0193227 # DEPENDENCYPART_SIBL
(8,11),(8,19),-0.0104943 # DEPENDENCYPART_SIBL
(8,11),(8,20),-0.0120978 # DEPENDENCYPART_SIBL
(8,11),(8,21),0.0249526 # DEPENDENCYPART_SIBL
(8,12),(8,13),0.0650377 # DEPENDENCYPART_SIBL
(8,12),(8,14),0.00775739 # DEPENDENCYPART_SIBL
(8,12),(8,15),-0.00902868 # DEPENDENCYPART_SIBL
(8,12),(8,16),-0.00954692 # DEPENDENCYPART_SIBL
(8,12),(8,17),-0.0320309 # DEPENDENCYPART_SIBL
(8,12),(8,18),-0.00955187 # DEPENDENCYPART_SIBL
(8,12),(8,19),0.000410383 # DEPENDENCYPART_SIBL
(8,12),(8,20),-0.00330917 # DEPENDENCYPART_SIBL
(8,12),(8,21),0.0235457 # DEPENDENCYPART_SIBL
(8,13),(8,14),0.0597296 # DEPENDENCYPART_SIBL
(8,13),(8,15),0.070025 # DEPENDENCYPART_SIBL
(8,13),(8,16),0.0695063 # DEPENDENCYPART_SIBL
(8,13),(8,17),0.0366502 # DEPENDENCYPART_SIBL
(8,13),(8,18),0.0694984 # DEPENDENCYPART_SIBL
(8,13),(8,19),0.194958 # DEPENDENCYPART_SIBL
(8,13),(8,20),0.0813276 # DEPENDENCYPART_SIBL
(8,13),(8,21),0.0475093 # DEPENDENCYPART_SIBL
(8,14),(8,15),-0.0286971 # DEPENDENCYPART_SIBL
(8,14),(8,16),-0.0292159 # DEPENDENCYPART_SIBL
(8,14),(8,17),-0.0165425 # DEPENDENCYPART_SIBL
(8,14),(8,18),-0.0292196 # DEPENDENCYPART_SIBL
(8,14),(8,19),-0.029119 # DEPENDENCYPART_SIBL
(8,14),(8,20),-0.0226396 # DEPENDENCYPART_SIBL
(8,14),(8,21),-0.0114264 # DEPENDENCYPART_SIBL
(8,15),(8,16),-0.034517 # DEPENDENCYPART_SIBL
(8,15),(8,17),-0.017157 # DEPENDENCYPART_SIBL
(8,15),(8,18),-0.0345385 # DEPENDENCYPART_SIBL
(8,15),(8,19),-0.0257315 # DEPENDENCYPART_SIBL
(8,15),(8,20),-0.0135195 # DEPENDENCYPART_SIBL
(8,15),(8,21),-0.00448856 # DEPENDENCYPART_SIBL
(8,16),(8,17),-0.0168594 # DEPENDENCYPART_SIBL
(8,16),(8,18),-0.0326661 # DEPENDENCYPART_SIBL
(8,16),(8,19),-0.0257996 # DEPENDENCYPART_SIBL
(8,16),(8,20),-0.01186 # DEPENDENCYPART_SIBL
(8,16),(8,21),-0.00513547 # DEPENDENCYPART_SIBL
(8,17),(8,18),-0.0202542 # DEPENDENCYPART_SIBL
(8,17),(8,19),-0.0132709 # DEPENDENCYPART_SIBL
(8,17),(8,20),-0.0196789 # DEPENDENCYPART_SIBL
(8,17),(8,21),0.00294303 # DEPENDENCYPART_SIBL
(8,18),(8,19),-0.0258084 # DEPENDENCYPART_SIBL
(8,18),(8,20),-0.0118638 # DEPENDENCYPART_SIBL
(8,18),(8,21),-0.00516434 # DEPENDENCYPART_SIBL
(8,19),(8,20),-0.0076723 # DEPENDENCYPART_SIBL
(8,19),(8,21),0.0134081 # DEPENDENCYPART_SIBL
(8,20),(8,21),-0.0158789 # DEPENDENCYPART_SIBL
(10,2),(10,4),0.0020954 # DEPENDENCYPART_SIBL
(10,2),(10,5),0.0667732 # DEPENDENCYPART_SIBL
(10,2),(10,6),0.0490424 # DEPENDENCYPART_SIBL
(10,2),(10,7),0.12963 # DEPENDENCYPART_SIBL
(10,2),(10,8),0.0536878 # DEPENDENCYPART_SIBL
(10,2),(10,9),0.3196 # DEPENDENCYPART_SIBL
(10,2),(10,11),0.0236947 # DEPENDENCYPART_SIBL
(10,2),(10,12),0.0171791 # DEPENDENCYPART_SIBL
(10,2),(10,13),0.00147084 # DEPENDENCYPART_SIBL
(10,2),(10,14),0.0270951 # DEPENDENCYPART_SIBL
(10,2),(10,15),0.119123 # DEPENDENCYPART_SIBL
(10,2),(10,16),0.117401 # DEPENDENCYPART_SIBL
(10,2),(10,17),0.0258457 # DEPENDENCYPART_SIBL
(10,2),(10,18),0.117375 # DEPENDENCYPART_SIBL
(10,2),(10,19),0.0150057 # DEPENDENCYPART_SIBL
(10,2),(10,21),0.0150824 # DEPENDENCYPART_SIBL
(10,4),(10,5),0.0681953 # DEPENDENCYPART_SIBL
(10,4),(10,6),0.0507821 # DEPENDENCYPART_SIBL
(10,4),(10,7),0.132493 # DEPENDENCYPART_SIBL
(10,4),(10,8),0.0554275 # DEPENDENCYPART_SIBL
(10,4),(10,9),0.323204 # DEPENDENCYPART_SIBL
(10,4),(10,11),0.0235477 # DEPENDENCYPART_SIBL
(10,4),(10,12),0.0162639 # DEPENDENCYPART_SIBL
(10,4),(10,13),0.00671298 # DEPENDENCYPART_SIBL
(10,4),(10,14),0.0284426 # DEPENDENCYPART_SIBL
(10,4),(10,15),0.126091 # DEPENDENCYPART_SIBL
(10,4),(10,16),0.124368 # DEPENDENCYPART_SIBL
(10,4),(10,17),0.0265203 # DEPENDENCYPART_SIBL
(10,4),(10,18),0.124343 # DEPENDENCYPART_SIBL
(10,4),(10,19),0.0140904 # DEPENDENCYPART_SIBL
(10,4),(10,21),0.0226094 # DEPENDENCYPART_SIBL
(10,5),(10,6),0.0106834 # DEPENDENCYPART_SIBL
(10,5),(10,7),0.0576373 # DEPENDENCYPART_SIBL
(10,5),(10,8),0.016493 # DEPENDENCYPART_SIBL
(10,5),(10,9),0.258227 # DEPENDENCYPART_SIBL
(10,5),(10,11),0.0247746 # DEPENDENCYPART_SIBL
(10,5),(10,12),0.0990964 # DEPENDENCYPART_SIBL
(10,5),(10,13),-0.0254603 # DEPENDENCYPART_SIBL
(10,5),(10,14),0.0364654 # DEPENDENCYPART_SIBL
(10,5),(10,15),0.061406 # DEPENDENCYPART_SIBL
(10,5),(10,16),0.0612791 # DEPENDENCYPART_SIBL
(10,5),(10,17),-0.00109043 # DEPENDENCYPART_SIBL
(10,5),(10,18),0.0612753 # DEPENDENCYPART_SIBL
(10,5),(10,19),0.0947513 # DEPENDENCYPART_SIBL
(10,5),(10,21),0.0614813 # DEPENDENCYPART_SIBL
(10,6),(10,7),0.0818134 # DEPENDENCYPART_SIBL
(10,6),(10,8),-0.0252551 # DEPENDENCYPART_SIBL
(10,6),(10,9),0.357699 # DEPENDENCYPART_SIBL
(10,6),(10,11),0.0813592 # DEPENDENCYPART_SIBL
(10,6),(10,12),0.140599 # DEPENDENCYPART_SIBL
(10,6),(10,13),-0.0142532 # DEPENDENCYPART_SIBL
(10,6),(10,14),0.0178592 # DEPENDENCYPART_SIBL
(10,6),(10,15),-0.0191395 # DEPENDENCYPART_SIBL
(10,6),(10,16),-0.0190347 # DEPENDENCYPART_SIBL
(10,6),(10,17),0.0188172 # DEPENDENCYPART_SIBL
(10,6),(10,18),-0.0190386 # DEPENDENCYPART_SIBL
(10,6),(10,19),0.131378 # DEPENDENCYPART_SIBL
(10,6),(10,21),0.122511 # DEPENDENCYPART_SIBL
(10,7),(10,8),0.0740646 # DEPENDENCYPART_SIBL
(10,7),(10,9),0.13919 # DEPENDENCYPART_SIBL
(10,7),(10,11),0.0198713 # DEPENDENCYPART_SIBL
(10,7),(10,12),0.0472919 # DEPENDENCYPART_SIBL
(10,7),(10,13),-0.0130046 # DEPENDENCYPART_SIBL
(10,7),(10,14),-0.00164127 # DEPENDENCYPART_SIBL
(10,7),(10,15),-0.0134282 # DEPENDENCYPART_SIBL
(10,7),(10,16),-0.0134282 # DEPENDENCYPART_SIBL
(10,7),(10,17),0.00391952 # DEPENDENCYPART_SIBL
(10,7),(10,18),-0.013432 # DEPENDENCYPART_SIBL
(10,7),(10,19),0.0447499 # DEPENDENCYPART_SIBL
(10,7),(10,21),0.0458363 # DEPENDENCYPART_SIBL
(10,8),(10,9),0.362012 # DEPENDENCYPART_SIBL
(10,8),(10,11),0.0788426 # DEPENDENCYPART_SIBL
(10,8),(10,12),0.126059 # DEPENDENCYPART_SIBL
(10,8),(10,13),-0.0142964 # DEPENDENCYPART_SIBL
(10,8),(10,14),0.0191971 # DEPENDENCYPART_SIBL
(10,8),(10,15),-0.019311 # DEPENDENCYPART_SIBL
(10,8),(10,16),-0.0192062 # DEPENDENCYPART_SIBL
(10,8),(10,17),0.0159892 # DEPENDENCYPART_SIBL
(10,8),(10,18),-0.0192101 # DEPENDENCYPART_SIBL
(10,8),(10,19),0.116838 # DEPENDENCYPART_SIBL
(10,8),(10,21),0.122387 # DEPENDENCYPART_SIBL
(10,9),(10,11),0.084594 # DEPENDENCYPART_SIBL
(10,9),(10,12),0.176457 # DEPENDENCYPART_SIBL
(10,9),(10,13),-0.0166687 # DEPENDENCYPART_SIBL
(10,9),(10,14),0.0396973 # DEPENDENCYPART_SIBL
(10,9),(10,15),0.0419666 # DEPENDENCYPART_SIBL
(10,9),(10,16),0.0420296 # DEPENDENCYPART_SIBL
(10,9),(10,17),0.0645536 # DEPENDENCYPART_SIBL
(10,9),(10,18),0.0419957 # DEPENDENCYPART_SIBL
(10,9),(10,19),0.159648 # DEPENDENCYPART_SIBL
(10,9),(10,21),0.186865 # DEPENDENCYPART_SIBL
(10,11),(10,12),-0.0255421 # DEPENDENCYPART_SIBL
(10,11),(10,13),0.0556902 # DEPENDENCYPART_SIBL
(10,11),(10,14),-0.00141167 # DEPENDENCYPART_SIBL
(10,11),(10,15),-0.00539553 # DEPENDENCYPART_SIBL
(10,11),(10,16),-0.00591501 # DEPENDENCYPART_SIBL
(10,11),(10,17),0.00427062 # DEPENDENCYPART_SIBL
(10,11),(10,18),-0.00591549 # DEPENDENCYPART_SIBL
(10,11),(10,19),-0.0348912 # DEPENDENCYPART_SIBL
(10,11),(10,21),0.0245145 # DEPENDENCYPART_SIBL
(10,12),(10,13),0.172536 # DEPENDENCYPART_SIBL
(10,12),(10,14),0.0335812 # DEPENDENCYPART_SIBL
(10,12),(10,15),0.0896145 # DEPENDENCYPART_SIBL
(10,12),(10,16),0.0896148 # DEPENDENCYPART_SIBL
(10,12),(10,17),0.0613926 # DEPENDENCYPART_SIBL
(10,12),(10,18),0.0896135 # DEPENDENCYPART_SIBL
(10,12),(10,19),-0.000783436 # DEPENDENCYPART_SIBL
(10,12),(10,21),0.130598 # DEPENDENCYPART_SIBL
(10,13),(10,14),0.0647417 # DEPENDENCYPART_SIBL
(10,13),(10,15),0.0981343 # DEPENDENCYPART_SIBL
(10,13),(10,16),0.0981344 # DEPENDENCYPART_SIBL
(10,13),(10,17),0.098277 # DEPENDENCYPART_SIBL
(10,13),(10,18),0.0981303 # DEPENDENCYPART_SIBL
(10,13),(10,19),0.193096 # DEPENDENCYPART_SIBL
(10,13),(10,21),0.00942262 # DEPENDENCYPART_SIBL
(10,14),(10,15),0.0155901 # DEPENDENCYPART_SIBL
(10,14),(10,16),0.0155901 # DEPENDENCYPART_SIBL
(10,14),(10,17),0.0272614 # DEPENDENCYPART_SIBL
(10,14),(10,18),0.0155901 # DEPENDENCYPART_SIBL
(10,14),(10,19),-0.0245251 # DEPENDENCYPART_SIBL
(10,14),(10,21),0.057304 # DEPENDENCYPART_SIBL
(10,15),(10,16),-0.00983019 # DEPENDENCYPART_SIBL
(10,15),(10,17),0.0180421 # DEPENDENCYPART_SIBL
(10,15),(10,18),-0.00984449 # DEPENDENCYPART_SIBL
(10,15),(10,19),-0.029355 # DEPENDENCYPART_SIBL
(10,15),(10,21),0.010398 # DEPENDENCYPART_SIBL
(10,16),(10,17),0.0180421 # DEPENDENCYPART_SIBL
(10,16),(10,18),-0.00905679 # DEPENDENCYPART_SIBL
(10,16),(10,19),-0.0295379 # DEPENDENCYPART_SIBL
(10,16),(10,21),0.00992649 # DEPENDENCYPART_SIBL
(10,17),(10,18),-0.00969684 # DEPENDENCYPART_SIBL
(10,17),(10,19),-0.0318028 # DEPENDENCYPART_SIBL
(10,17),(10,21),0.0232111 # DEPENDENCYPART_SIBL
(10,18),(10,19),-0.0295428 # DEPENDENCYPART_SIBL
(10,18),(10,21),0.00990903 # DEPENDENCYPART_SIBL
(10,19),(10,21),0.109038 # DEPENDENCYPART_SIBL
(11,5),(11,6),0.10022 # DEPENDENCYPART_SIBL
(11,5),(11,8),0.101462 # DEPENDENCYPART_SIBL
(11,5),(11,10),0.103118 # DEPENDENCYPART_SIBL
(11,5),(11,14),0.10735 # DEPENDENCYPART_SIBL
(11,5),(11,15),0.151718 # DEPENDENCYPART_SIBL
(11,5),(11,16),0.151593 # DEPENDENCYPART_SIBL
(11,5),(11,17),0.0559845 # DEPENDENCYPART_SIBL
(11,5),(11,18),0.151558 # DEPENDENCYPART_SIBL
(11,5),(11,19),0.117752 # DEPENDENCYPART_SIBL
(11,5),(11,21),0.212117 # DEPENDENCYPART_SIBL
(11,6),(11,8),0.118826 # DEPENDENCYPART_SIBL
(11,6),(11,10),0.11785 # DEPENDENCYPART_SIBL
(11,6),(11,14),0.0645143 # DEPENDENCYPART_SIBL
(11,6),(11,15),0.0881376 # DEPENDENCYPART_SIBL
(11,6),(11,16),0.0882458 # DEPENDENCYPART_SIBL
(11,6),(11,17),0.0164903 # DEPENDENCYPART_SIBL
(11,6),(11,18),0.0882098 # DEPENDENCYPART_SIBL
(11,6),(11,19),0.0536127 # DEPENDENCYPART_SIBL
(11,6),(11,21),0.109273 # DEPENDENCYPART_SIBL
(11,8),(11,10),0.116045 # DEPENDENCYPART_SIBL
(11,8),(11,14),0.0670223 # DEPENDENCYPART_SIBL
(11,8),(11,15),0.0907891 # DEPENDENCYPART_SIBL
(11,8),(11,16),0.0908974 # DEPENDENCYPART_SIBL
(11,8),(11,17),0.016612 # DEPENDENCYPART_SIBL
(11,8),(11,18),0.0908613 # DEPENDENCYPART_SIBL
(11,8),(11,19),0.0484051 # DEPENDENCYPART_SIBL
(11,8),(11,21),0.113521 # DEPENDENCYPART_SIBL
(11,10),(11,14),0.0376165 # DEPENDENCYPART_SIBL
(11,10),(11,15),0.0639069 # DEPENDENCYPART_SIBL
(11,10),(11,16),0.0639093 # DEPENDENCYPART_SIBL
(11,10),(11,17),0.00822304 # DEPENDENCYPART_SIBL
(11,10),(11,18),0.0638734 # DEPENDENCYPART_SIBL
(11,10),(11,19),-0.0110072 # DEPENDENCYPART_SIBL
(11,10),(11,21),0.102775 # DEPENDENCYPART_SIBL
(11,14),(11,15),0.0194595 # DEPENDENCYPART_SIBL
(11,14),(11,16),0.0194595 # DEPENDENCYPART_SIBL
(11,14),(11,17),0.0297003 # DEPENDENCYPART_SIBL
(11,14),(11,18),0.019445 # DEPENDENCYPART_SIBL
(11,14),(11,19),0.0112923 # DEPENDENCYPART_SIBL
(11,14),(11,21),0.00866126 # DEPENDENCYPART_SIBL
(11,15),(11,16),0.00450046 # DEPENDENCYPART_SIBL
