# _root_ — Mivel a legnagyobb vetélytársunk , Turi_Tamás anyagiak hiánya miatt nem indult , elég volt biztonsági autózással teljesíteni a távot .
#goldHeads=15,15,5,5,12,12,12,9,10,12,12,15,15,15,0,17,18,15,20,18,15,
#predictedHeads=12,12,5,5,12,12,8,9,10,12,12,0,12,15,12,17,18,15,20,18,12,
(7,3),(7,18),0.0086153 # DEPENDENCYPART_SIBL
(7,4),(7,5),0.00265327 # DEPENDENCYPART_SIBL
(7,4),(7,6),0.453888 # DEPENDENCYPART_SIBL
(7,4),(7,8),-0.011412 # DEPENDENCYPART_SIBL
(7,4),(7,9),-0.0125382 # DEPENDENCYPART_SIBL
(7,4),(7,10),-0.0104413 # DEPENDENCYPART_SIBL
(7,4),(7,14),-0.00521233 # DEPENDENCYPART_SIBL
(7,4),(7,18),-0.043368 # DEPENDENCYPART_SIBL
(7,5),(7,6),0.641687 # DEPENDENCYPART_SIBL
(7,5),(7,8),0.00337853 # DEPENDENCYPART_SIBL
(7,5),(7,9),0.000704679 # DEPENDENCYPART_SIBL
(7,5),(7,10),0.0152109 # DEPENDENCYPART_SIBL
(7,5),(7,14),0.0384576 # DEPENDENCYPART_SIBL
(7,5),(7,18),0.00533073 # DEPENDENCYPART_SIBL
(7,6),(7,8),-0.00844461 # DEPENDENCYPART_SIBL
(7,6),(7,9),-0.0103066 # DEPENDENCYPART_SIBL
(7,6),(7,10),-0.0302506 # DEPENDENCYPART_SIBL
(7,6),(7,14),-0.0142273 # DEPENDENCYPART_SIBL
(7,6),(7,18),-0.0307045 # DEPENDENCYPART_SIBL
(7,8),(7,9),0.00349321 # DEPENDENCYPART_SIBL
(7,8),(7,10),0.0177112 # DEPENDENCYPART_SIBL
(7,8),(7,14),0.0602445 # DEPENDENCYPART_SIBL
(7,8),(7,18),0.0606105 # DEPENDENCYPART_SIBL
(7,9),(7,10),0.0161458 # DEPENDENCYPART_SIBL
(7,9),(7,14),0.0593037 # DEPENDENCYPART_SIBL
(7,9),(7,18),0.0596697 # DEPENDENCYPART_SIBL
(7,10),(7,14),0.118656 # DEPENDENCYPART_SIBL
(7,10),(7,18),0.0899918 # DEPENDENCYPART_SIBL
(7,14),(7,18),0.0489814 # DEPENDENCYPART_SIBL
(8,1),(8,2),0.188476 # DEPENDENCYPART_SIBL
(8,1),(8,3),-0.38176 # DEPENDENCYPART_SIBL
(8,1),(8,4),-0.0526484 # DEPENDENCYPART_SIBL
(8,1),(8,5),-0.0200475 # DEPENDENCYPART_SIBL
(8,1),(8,6),0.00488246 # DEPENDENCYPART_SIBL
(8,1),(8,7),-0.0200475 # DEPENDENCYPART_SIBL
(8,1),(8,9),-0.0345558 # DEPENDENCYPART_SIBL
(8,1),(8,10),-0.0419891 # DEPENDENCYPART_SIBL
(8,2),(8,3),-0.374626 # DEPENDENCYPART_SIBL
(8,2),(8,4),-0.0517869 # DEPENDENCYPART_SIBL
(8,2),(8,5),-0.00527798 # DEPENDENCYPART_SIBL
(8,2),(8,6),0.102298 # DEPENDENCYPART_SIBL
(8,2),(8,7),-0.00527798 # DEPENDENCYPART_SIBL
(8,2),(8,9),-0.00742499 # DEPENDENCYPART_SIBL
(8,2),(8,10),-0.0003658 # DEPENDENCYPART_SIBL
(8,3),(8,4),0.157947 # DEPENDENCYPART_SIBL
(8,3),(8,5),0.0129962 # DEPENDENCYPART_SIBL
(8,3),(8,6),0.190771 # DEPENDENCYPART_SIBL
(8,3),(8,7),0.0129962 # DEPENDENCYPART_SIBL
(8,3),(8,9),-0.00630603 # DEPENDENCYPART_SIBL
(8,3),(8,10),-0.0183614 # DEPENDENCYPART_SIBL
(8,4),(8,5),0.00265327 # DEPENDENCYPART_SIBL
(8,4),(8,6),0.453888 # DEPENDENCYPART_SIBL
(8,4),(8,7),0.00265327 # DEPENDENCYPART_SIBL
(8,4),(8,9),-0.0125382 # DEPENDENCYPART_SIBL
(8,4),(8,10),-0.0104413 # DEPENDENCYPART_SIBL
(8,5),(8,6),0.641687 # DEPENDENCYPART_SIBL
(8,5),(8,7),-0.018106 # DEPENDENCYPART_SIBL
(8,5),(8,9),0.000704679 # DEPENDENCYPART_SIBL
(8,5),(8,10),0.0152109 # DEPENDENCYPART_SIBL
(8,6),(8,7),0.0569251 # DEPENDENCYPART_SIBL
(8,6),(8,9),-0.0103066 # DEPENDENCYPART_SIBL
(8,6),(8,10),-0.0302506 # DEPENDENCYPART_SIBL
(8,7),(8,9),0.000704679 # DEPENDENCYPART_SIBL
(8,7),(8,10),0.0152109 # DEPENDENCYPART_SIBL
(8,9),(8,10),0.0161458 # DEPENDENCYPART_SIBL
(9,1),(9,2),0.186126 # DEPENDENCYPART_SIBL
(9,1),(9,3),-0.38411 # DEPENDENCYPART_SIBL
(9,1),(9,4),-0.055238 # DEPENDENCYPART_SIBL
(9,1),(9,5),-0.0276564 # DEPENDENCYPART_SIBL
(9,1),(9,6),-0.00215307 # DEPENDENCYPART_SIBL
(9,1),(9,7),-0.0276564 # DEPENDENCYPART_SIBL
(9,1),(9,8),-0.0276564 # DEPENDENCYPART_SIBL
(9,1),(9,13),-0.056362 # DEPENDENCYPART_SIBL
(9,1),(9,14),-0.015064 # DEPENDENCYPART_SIBL
(9,1),(9,18),-0.0486726 # DEPENDENCYPART_SIBL
(9,1),(9,20),-0.0303239 # DEPENDENCYPART_SIBL
(9,1),(9,21),-0.0415529 # DEPENDENCYPART_SIBL
(9,2),(9,3),-0.374638 # DEPENDENCYPART_SIBL
(9,2),(9,4),-0.0519671 # DEPENDENCYPART_SIBL
(9,2),(9,5),-0.00885935 # DEPENDENCYPART_SIBL
(9,2),(9,6),0.0987491 # DEPENDENCYPART_SIBL
(9,2),(9,7),-0.00885935 # DEPENDENCYPART_SIBL
(9,2),(9,8),-0.00885935 # DEPENDENCYPART_SIBL
(9,2),(9,13),-0.024106 # DEPENDENCYPART_SIBL
(9,2),(9,14),0.0228497 # DEPENDENCYPART_SIBL
(9,2),(9,18),0.00375011 # DEPENDENCYPART_SIBL
(9,2),(9,20),-0.00421636 # DEPENDENCYPART_SIBL
(9,2),(9,21),0.0820892 # DEPENDENCYPART_SIBL
(9,3),(9,4),0.157623 # DEPENDENCYPART_SIBL
(9,3),(9,5),0.00927213 # DEPENDENCYPART_SIBL
(9,3),(9,6),0.187146 # DEPENDENCYPART_SIBL
(9,3),(9,7),0.00927213 # DEPENDENCYPART_SIBL
(9,3),(9,8),0.00927213 # DEPENDENCYPART_SIBL
(9,3),(9,13),-0.00907785 # DEPENDENCYPART_SIBL
(9,3),(9,14),0.00421463 # DEPENDENCYPART_SIBL
(9,3),(9,18),0.0086153 # DEPENDENCYPART_SIBL
(9,3),(9,20),-0.00334652 # DEPENDENCYPART_SIBL
(9,3),(9,21),-0.0285178 # DEPENDENCYPART_SIBL
(9,4),(9,5),-0.000916214 # DEPENDENCYPART_SIBL
(9,4),(9,6),0.450365 # DEPENDENCYPART_SIBL
(9,4),(9,7),-0.000916214 # DEPENDENCYPART_SIBL
(9,4),(9,8),-0.000916214 # DEPENDENCYPART_SIBL
(9,4),(9,13),-0.0422373 # DEPENDENCYPART_SIBL
(9,4),(9,14),-0.00521233 # DEPENDENCYPART_SIBL
(9,4),(9,18),-0.043368 # DEPENDENCYPART_SIBL
(9,4),(9,20),-0.0114405 # DEPENDENCYPART_SIBL
(9,4),(9,21),-0.0173136 # DEPENDENCYPART_SIBL
(9,5),(9,6),0.632751 # DEPENDENCYPART_SIBL
(9,5),(9,7),-0.0265896 # DEPENDENCYPART_SIBL
(9,5),(9,8),-0.0265896 # DEPENDENCYPART_SIBL
(9,5),(9,13),-0.00286539 # DEPENDENCYPART_SIBL
(9,5),(9,14),0.0384307 # DEPENDENCYPART_SIBL
(9,5),(9,18),0.00530383 # DEPENDENCYPART_SIBL
(9,5),(9,20),0.00893674 # DEPENDENCYPART_SIBL
(9,5),(9,21),0.0416551 # DEPENDENCYPART_SIBL
(9,6),(9,7),0.045273 # DEPENDENCYPART_SIBL
(9,6),(9,8),0.045273 # DEPENDENCYPART_SIBL
(9,6),(9,13),-0.0346477 # DEPENDENCYPART_SIBL
(9,6),(9,14),-0.0142273 # DEPENDENCYPART_SIBL
(9,6),(9,18),-0.0307045 # DEPENDENCYPART_SIBL
(9,6),(9,20),-0.00293056 # DEPENDENCYPART_SIBL
(9,6),(9,21),0.0238545 # DEPENDENCYPART_SIBL
(9,7),(9,8),-0.0265896 # DEPENDENCYPART_SIBL
(9,7),(9,13),-0.00286539 # DEPENDENCYPART_SIBL
(9,7),(9,14),0.0384307 # DEPENDENCYPART_SIBL
(9,7),(9,18),0.00530383 # DEPENDENCYPART_SIBL
(9,7),(9,20),0.00893674 # DEPENDENCYPART_SIBL
(9,7),(9,21),0.0416551 # DEPENDENCYPART_SIBL
(9,8),(9,13),-0.00286539 # DEPENDENCYPART_SIBL
(9,8),(9,14),0.0384307 # DEPENDENCYPART_SIBL
(9,8),(9,18),0.00530383 # DEPENDENCYPART_SIBL
(9,8),(9,20),0.00893674 # DEPENDENCYPART_SIBL
(9,8),(9,21),0.0416551 # DEPENDENCYPART_SIBL
(9,13),(9,14),0.159029 # DEPENDENCYPART_SIBL
(9,13),(9,18),0.422985 # DEPENDENCYPART_SIBL
(9,13),(9,20),0.342981 # DEPENDENCYPART_SIBL
(9,13),(9,21),0.0787788 # DEPENDENCYPART_SIBL
(9,14),(9,18),0.0489814 # DEPENDENCYPART_SIBL
(9,14),(9,20),0.0532765 # DEPENDENCYPART_SIBL
(9,14),(9,21),0.103723 # DEPENDENCYPART_SIBL
(9,18),(9,20),0.0751787 # DEPENDENCYPART_SIBL
(9,18),(9,21),0.212398 # DEPENDENCYPART_SIBL
(9,20),(9,21),0.0494934 # DEPENDENCYPART_SIBL
(10,1),(10,4),-0.0669458 # DEPENDENCYPART_SIBL
(10,1),(10,5),-0.112687 # DEPENDENCYPART_SIBL
(10,1),(10,6),-0.0271602 # DEPENDENCYPART_SIBL
(10,1),(10,7),-0.112687 # DEPENDENCYPART_SIBL
(10,1),(10,8),-0.112687 # DEPENDENCYPART_SIBL
(10,1),(10,9),-0.102866 # DEPENDENCYPART_SIBL
(10,1),(10,12),-0.02192 # DEPENDENCYPART_SIBL
(10,1),(10,13),-0.0650133 # DEPENDENCYPART_SIBL
(10,1),(10,14),-0.0271671 # DEPENDENCYPART_SIBL
(10,1),(10,15),-0.0212908 # DEPENDENCYPART_SIBL
(10,1),(10,16),-0.0189798 # DEPENDENCYPART_SIBL
(10,1),(10,17),-0.0255682 # DEPENDENCYPART_SIBL
(10,1),(10,18),-0.0247909 # DEPENDENCYPART_SIBL
(10,1),(10,20),-0.0227977 # DEPENDENCYPART_SIBL
(10,1),(10,21),-0.122441 # DEPENDENCYPART_SIBL
(10,4),(10,5),-0.0868451 # DEPENDENCYPART_SIBL
(10,4),(10,6),0.13486 # DEPENDENCYPART_SIBL
(10,4),(10,7),-0.0868451 # DEPENDENCYPART_SIBL
(10,4),(10,8),-0.0868451 # DEPENDENCYPART_SIBL
(10,4),(10,9),-0.0807522 # DEPENDENCYPART_SIBL
(10,4),(10,12),-0.00526328 # DEPENDENCYPART_SIBL
(10,4),(10,13),-0.0346417 # DEPENDENCYPART_SIBL
(10,4),(10,14),0.000925783 # DEPENDENCYPART_SIBL
(10,4),(10,15),-0.0151296 # DEPENDENCYPART_SIBL
(10,4),(10,16),0.00178622 # DEPENDENCYPART_SIBL
(10,4),(10,17),-0.01458 # DEPENDENCYPART_SIBL
(10,4),(10,18),-0.0034095 # DEPENDENCYPART_SIBL
(10,4),(10,20),-0.0145817 # DEPENDENCYPART_SIBL
(10,4),(10,21),-0.117394 # DEPENDENCYPART_SIBL
(10,5),(10,6),0.339259 # DEPENDENCYPART_SIBL
(10,5),(10,7),-0.0389827 # DEPENDENCYPART_SIBL
(10,5),(10,8),-0.0389827 # DEPENDENCYPART_SIBL
(10,5),(10,9),-0.0281627 # DEPENDENCYPART_SIBL
(10,5),(10,12),-0.0300984 # DEPENDENCYPART_SIBL
(10,5),(10,13),-0.0649916 # DEPENDENCYPART_SIBL
(10,5),(10,14),-0.0374156 # DEPENDENCYPART_SIBL
(10,5),(10,15),-0.0354188 # DEPENDENCYPART_SIBL
(10,5),(10,16),-0.0313114 # DEPENDENCYPART_SIBL
(10,5),(10,17),-0.0547164 # DEPENDENCYPART_SIBL
(10,5),(10,18),-0.0356276 # DEPENDENCYPART_SIBL
(10,5),(10,20),-0.0490775 # DEPENDENCYPART_SIBL
(10,5),(10,21),-0.208174 # DEPENDENCYPART_SIBL
(10,6),(10,7),-0.00329072 # DEPENDENCYPART_SIBL
(10,6),(10,8),-0.00329072 # DEPENDENCYPART_SIBL
(10,6),(10,9),0.0110915 # DEPENDENCYPART_SIBL
(10,6),(10,12),-0.0198992 # DEPENDENCYPART_SIBL
(10,6),(10,13),-0.0914814 # DEPENDENCYPART_SIBL
(10,6),(10,14),-0.0375586 # DEPENDENCYPART_SIBL
(10,6),(10,15),-0.029814 # DEPENDENCYPART_SIBL
(10,6),(10,16),-0.0271776 # DEPENDENCYPART_SIBL
(10,6),(10,17),-0.0486617 # DEPENDENCYPART_SIBL
(10,6),(10,18),-0.0197728 # DEPENDENCYPART_SIBL
(10,6),(10,20),-0.0431207 # DEPENDENCYPART_SIBL
(10,6),(10,21),-0.115246 # DEPENDENCYPART_SIBL
(10,7),(10,8),-0.0389827 # DEPENDENCYPART_SIBL
(10,7),(10,9),-0.0281627 # DEPENDENCYPART_SIBL
(10,7),(10,12),-0.0300984 # DEPENDENCYPART_SIBL
(10,7),(10,13),-0.0649916 # DEPENDENCYPART_SIBL
(10,7),(10,14),-0.0374156 # DEPENDENCYPART_SIBL
(10,7),(10,15),-0.0354188 # DEPENDENCYPART_SIBL
(10,7),(10,16),-0.0313114 # DEPENDENCYPART_SIBL
(10,7),(10,17),-0.0547164 # DEPENDENCYPART_SIBL
(10,7),(10,18),-0.0356276 # DEPENDENCYPART_SIBL
(10,7),(10,20),-0.0490775 # DEPENDENCYPART_SIBL
(10,7),(10,21),-0.208174 # DEPENDENCYPART_SIBL
(10,8),(10,9),-0.0281627 # DEPENDENCYPART_SIBL
(10,8),(10,12),-0.0300984 # DEPENDENCYPART_SIBL
(10,8),(10,13),-0.0649916 # DEPENDENCYPART_SIBL
(10,8),(10,14),-0.0374156 # DEPENDENCYPART_SIBL
(10,8),(10,15),-0.0354188 # DEPENDENCYPART_SIBL
(10,8),(10,16),-0.0313114 # DEPENDENCYPART_SIBL
(10,8),(10,17),-0.0547164 # DEPENDENCYPART_SIBL
(10,8),(10,18),-0.0356276 # DEPENDENCYPART_SIBL
(10,8),(10,20),-0.0490775 # DEPENDENCYPART_SIBL
(10,8),(10,21),-0.208174 # DEPENDENCYPART_SIBL
(10,9),(10,12),-0.0300984 # DEPENDENCYPART_SIBL
(10,9),(10,13),-0.0656883 # DEPENDENCYPART_SIBL
(10,9),(10,14),-0.0374424 # DEPENDENCYPART_SIBL
(10,9),(10,15),-0.0354188 # DEPENDENCYPART_SIBL
(10,9),(10,16),-0.0313382 # DEPENDENCYPART_SIBL
(10,9),(10,17),-0.0558712 # DEPENDENCYPART_SIBL
(10,9),(10,18),-0.0356276 # DEPENDENCYPART_SIBL
(10,9),(10,20),-0.0502322 # DEPENDENCYPART_SIBL
(10,9),(10,21),-0.209086 # DEPENDENCYPART_SIBL
(10,12),(10,13),0.117406 # DEPENDENCYPART_SIBL
(10,12),(10,14),0.0246955 # DEPENDENCYPART_SIBL
(10,12),(10,15),0.0436224 # DEPENDENCYPART_SIBL
(10,12),(10,16),0.0206679 # DEPENDENCYPART_SIBL
(10,12),(10,17),0.0561209 # DEPENDENCYPART_SIBL
(10,12),(10,18),0.0354897 # DEPENDENCYPART_SIBL
(10,12),(10,20),0.0561209 # DEPENDENCYPART_SIBL
(10,12),(10,21),0.109818 # DEPENDENCYPART_SIBL
(10,13),(10,14),0.0755324 # DEPENDENCYPART_SIBL
(10,13),(10,15),0.352886 # DEPENDENCYPART_SIBL
(10,13),(10,16),0.069801 # DEPENDENCYPART_SIBL
(10,13),(10,17),0.116814 # DEPENDENCYPART_SIBL
(10,13),(10,18),0.290589 # DEPENDENCYPART_SIBL
(10,13),(10,20),0.116814 # DEPENDENCYPART_SIBL
(10,13),(10,21),0.0888983 # DEPENDENCYPART_SIBL
(10,14),(10,15),0.0367203 # DEPENDENCYPART_SIBL
(10,14),(10,16),-0.0055545 # DEPENDENCYPART_SIBL
(10,14),(10,17),0.0476242 # DEPENDENCYPART_SIBL
(10,14),(10,18),0.0369893 # DEPENDENCYPART_SIBL
(10,14),(10,20),0.0476223 # DEPENDENCYPART_SIBL
(10,14),(10,21),0.0640068 # DEPENDENCYPART_SIBL
(10,15),(10,16),0.0162571 # DEPENDENCYPART_SIBL
(10,15),(10,17),0.058298 # DEPENDENCYPART_SIBL
(10,15),(10,18),0.029403 # DEPENDENCYPART_SIBL
(10,15),(10,20),0.058298 # DEPENDENCYPART_SIBL
(10,15),(10,21),0.100729 # DEPENDENCYPART_SIBL
(10,16),(10,17),0.0489371 # DEPENDENCYPART_SIBL
(10,16),(10,18),0.0434888 # DEPENDENCYPART_SIBL
(10,16),(10,20),0.0489352 # DEPENDENCYPART_SIBL
(10,16),(10,21),0.0661896 # DEPENDENCYPART_SIBL
(10,17),(10,18),0.0887229 # DEPENDENCYPART_SIBL
(10,17),(10,20),0.0866231 # DEPENDENCYPART_SIBL
(10,17),(10,21),0.0862912 # DEPENDENCYPART_SIBL
(10,18),(10,20),0.0558188 # DEPENDENCYPART_SIBL
(10,18),(10,21),0.110537 # DEPENDENCYPART_SIBL
(10,20),(10,21),0.0872195 # DEPENDENCYPART_SIBL
(11,1),(11,5),0.0600839 # DEPENDENCYPART_SIBL
(11,1),(11,6),0.23535 # DEPENDENCYPART_SIBL
(11,1),(11,8),0.0600839 # DEPENDENCYPART_SIBL
(11,1),(11,9),0.0584361 # DEPENDENCYPART_SIBL
(11,1),(11,10),0.154921 # DEPENDENCYPART_SIBL
(11,1),(11,12),-0.0158667 # DEPENDENCYPART_SIBL
(11,1),(11,13),0.00305857 # DEPENDENCYPART_SIBL
(11,1),(11,15),-0.0208079 # DEPENDENCYPART_SIBL
(11,1),(11,17),0.15469 # DEPENDENCYPART_SIBL
(11,1),(11,18),-0.0190744 # DEPENDENCYPART_SIBL
(11,1),(11,20),0.157448 # DEPENDENCYPART_SIBL
(11,1),(11,21),0.0447743 # DEPENDENCYPART_SIBL
(11,5),(11,6),0.367034 # DEPENDENCYPART_SIBL
(11,5),(11,8),0.0750037 # DEPENDENCYPART_SIBL
(11,5),(11,9),0.0740891 # DEPENDENCYPART_SIBL
(11,5),(11,10),0.119597 # DEPENDENCYPART_SIBL
(11,5),(11,12),0.0364727 # DEPENDENCYPART_SIBL
(11,5),(11,13),0.0305209 # DEPENDENCYPART_SIBL
(11,5),(11,15),0.031727 # DEPENDENCYPART_SIBL
(11,5),(11,17),0.193992 # DEPENDENCYPART_SIBL
(11,5),(11,18),0.0303289 # DEPENDENCYPART_SIBL
(11,5),(11,20),0.199609 # DEPENDENCYPART_SIBL
(11,5),(11,21),0.101702 # DEPENDENCYPART_SIBL
(11,6),(11,8),0.00748133 # DEPENDENCYPART_SIBL
(11,6),(11,9),0.00527047 # DEPENDENCYPART_SIBL
(11,6),(11,10),0.0360461 # DEPENDENCYPART_SIBL
(11,6),(11,12),0.00035757 # DEPENDENCYPART_SIBL
(11,6),(11,13),-0.064355 # DEPENDENCYPART_SIBL
(11,6),(11,15),-0.0148641 # DEPENDENCYPART_SIBL
(11,6),(11,17),0.121986 # DEPENDENCYPART_SIBL
(11,6),(11,18),0.000153196 # DEPENDENCYPART_SIBL
(11,6),(11,20),0.127515 # DEPENDENCYPART_SIBL
(11,6),(11,21),0.0642981 # DEPENDENCYPART_SIBL
(11,8),(11,9),0.0740891 # DEPENDENCYPART_SIBL
(11,8),(11,10),0.119597 # DEPENDENCYPART_SIBL
(11,8),(11,12),0.0364727 # DEPENDENCYPART_SIBL
(11,8),(11,13),0.0305209 # DEPENDENCYPART_SIBL
(11,8),(11,15),0.031727 # DEPENDENCYPART_SIBL
(11,8),(11,17),0.193992 # DEPENDENCYPART_SIBL
(11,8),(11,18),0.0303289 # DEPENDENCYPART_SIBL
(11,8),(11,20),0.199609 # DEPENDENCYPART_SIBL
(11,8),(11,21),0.101702 # DEPENDENCYPART_SIBL
(11,9),(11,10),0.118185 # DEPENDENCYPART_SIBL
(11,9),(11,12),0.0351786 # DEPENDENCYPART_SIBL
(11,9),(11,13),0.0279636 # DEPENDENCYPART_SIBL
(11,9),(11,15),0.0304328 # DEPENDENCYPART_SIBL
(11,9),(11,17),0.190773 # DEPENDENCYPART_SIBL
(11,9),(11,18),0.0290347 # DEPENDENCYPART_SIBL
(11,9),(11,20),0.19639 # DEPENDENCYPART_SIBL
(11,9),(11,21),0.0990488 # DEPENDENCYPART_SIBL
(11,10),(11,12),0.00247416 # DEPENDENCYPART_SIBL
(11,10),(11,13),-0.0515917 # DEPENDENCYPART_SIBL
(11,10),(11,15),-0.00207677 # DEPENDENCYPART_SIBL
(11,10),(11,17),0.174512 # DEPENDENCYPART_SIBL
(11,10),(11,18),0.00422502 # DEPENDENCYPART_SIBL
(11,10),(11,20),0.174745 # DEPENDENCYPART_SIBL
(11,10),(11,21),0.104058 # DEPENDENCYPART_SIBL
(11,12),(11,13),0.0813301 # DEPENDENCYPART_SIBL
(11,12),(11,15),0.0132903 # DEPENDENCYPART_SIBL
(11,12),(11,17),0.00165254 # DEPENDENCYPART_SIBL
(11,12),(11,18),-0.0212264 # DEPENDENCYPART_SIBL
(11,12),(11,20),0.00165254 # DEPENDENCYPART_SIBL
(11,12),(11,21),0.0572982 # DEPENDENCYPART_SIBL
(11,13),(11,15),0.321672 # DEPENDENCYPART_SIBL
(11,13),(11,17),-0.00379334 # DEPENDENCYPART_SIBL
(11,13),(11,18),0.20782 # DEPENDENCYPART_SIBL
(11,13),(11,20),-0.00379334 # DEPENDENCYPART_SIBL
(11,13),(11,21),0.087121 # DEPENDENCYPART_SIBL
(11,15),(11,17),0.00620918 # DEPENDENCYPART_SIBL
(11,15),(11,18),-0.0245808 # DEPENDENCYPART_SIBL
(11,15),(11,20),0.00620918 # DEPENDENCYPART_SIBL
(11,15),(11,21),0.053764 # DEPENDENCYPART_SIBL
(11,17),(11,18),-0.00108044 # DEPENDENCYPART_SIBL
(11,17),(11,20),-0.0265967 # DEPENDENCYPART_SIBL
(11,17),(11,21),0.0146208 # DEPENDENCYPART_SIBL
(11,18),(11,20),0.000715141 # DEPENDENCYPART_SIBL
(11,18),(11,21),0.05737 # DEPENDENCYPART_SIBL
(11,20),(11,21),0.015543 # DEPENDENCYPART_SIBL
(12,1),(12,2),0.047198 # DEPENDENCYPART_SIBL
(12,1),(12,3),-0.106836 # DEPENDENCYPART_SIBL
(12,1),(12,4),-0.0333558 # DEPENDENCYPART_SIBL
(12,1),(12,5),-0.077251 # DEPENDENCYPART_SIBL
(12,1),(12,6),-0.0402726 # DEPENDENCYPART_SIBL
(12,1),(12,7),-0.077251 # DEPENDENCYPART_SIBL
(12,1),(12,8),-0.077251 # DEPENDENCYPART_SIBL
(12,1),(12,9),-0.0874729 # DEPENDENCYPART_SIBL
(12,1),(12,10),0.0435673 # DEPENDENCYPART_SIBL
(12,1),(12,11),0.0184585 # DEPENDENCYPART_SIBL
(12,1),(12,13),0.0145032 # DEPENDENCYPART_SIBL
(12,1),(12,14),-0.0669416 # DEPENDENCYPART_SIBL
(12,1),(12,15),-0.00853312 # DEPENDENCYPART_SIBL
(12,1),(12,16),-0.0282804 # DEPENDENCYPART_SIBL
(12,1),(12,17),0.0219605 # DEPENDENCYPART_SIBL
(12,1),(12,18),-0.0232551 # DEPENDENCYPART_SIBL
(12,1),(12,19),-0.0309493 # DEPENDENCYPART_SIBL
(12,1),(12,20),0.0416815 # DEPENDENCYPART_SIBL
(12,1),(12,21),0.111447 # DEPENDENCYPART_SIBL
(12,2),(12,3),-0.0555983 # DEPENDENCYPART_SIBL
(12,2),(12,4),0.0221215 # DEPENDENCYPART_SIBL
(12,2),(12,5),0.0274409 # DEPENDENCYPART_SIBL
(12,2),(12,6),0.190213 # DEPENDENCYPART_SIBL
(12,2),(12,7),0.0274409 # DEPENDENCYPART_SIBL
(12,2),(12,8),0.0274409 # DEPENDENCYPART_SIBL
(12,2),(12,9),0.0179896 # DEPENDENCYPART_SIBL
(12,2),(12,10),-0.0402009 # DEPENDENCYPART_SIBL
(12,2),(12,11),0.0193525 # DEPENDENCYPART_SIBL
(12,2),(12,13),0.0125722 # DEPENDENCYPART_SIBL
(12,2),(12,14),-0.0349582 # DEPENDENCYPART_SIBL
(12,2),(12,15),0.013846 # DEPENDENCYPART_SIBL
(12,2),(12,16),-0.010088 # DEPENDENCYPART_SIBL
(12,2),(12,17),-0.00569127 # DEPENDENCYPART_SIBL
(12,2),(12,18),0.00464032 # DEPENDENCYPART_SIBL
(12,2),(12,19),-0.0167376 # DEPENDENCYPART_SIBL
(12,2),(12,20),0.0127225 # DEPENDENCYPART_SIBL
(12,2),(12,21),0.0504432 # DEPENDENCYPART_SIBL
(12,3),(12,4),-0.0118312 # DEPENDENCYPART_SIBL
(12,3),(12,5),0.0239341 # DEPENDENCYPART_SIBL
(12,3),(12,6),-0.0035864 # DEPENDENCYPART_SIBL
(12,3),(12,7),0.0239341 # DEPENDENCYPART_SIBL
(12,3),(12,8),0.0239341 # DEPENDENCYPART_SIBL
(12,3),(12,9),0.0166632 # DEPENDENCYPART_SIBL
(12,3),(12,10),-0.0112402 # DEPENDENCYPART_SIBL
(12,3),(12,11),-0.0595201 # DEPENDENCYPART_SIBL
(12,3),(12,13),-0.0207878 # DEPENDENCYPART_SIBL
(12,3),(12,14),-0.0220572 # DEPENDENCYPART_SIBL
(12,3),(12,15),-0.00733768 # DEPENDENCYPART_SIBL
(12,3),(12,16),0.00242308 # DEPENDENCYPART_SIBL
(12,3),(12,17),-0.0319291 # DEPENDENCYPART_SIBL
(12,3),(12,18),-0.00524843 # DEPENDENCYPART_SIBL
(12,3),(12,19),0.022306 # DEPENDENCYPART_SIBL
(12,3),(12,20),-0.017749 # DEPENDENCYPART_SIBL
(12,3),(12,21),-0.0567719 # DEPENDENCYPART_SIBL
(12,4),(12,5),-0.010597 # DEPENDENCYPART_SIBL
(12,4),(12,6),0.0360351 # DEPENDENCYPART_SIBL
(12,4),(12,7),-0.010597 # DEPENDENCYPART_SIBL
(12,4),(12,8),-0.010597 # DEPENDENCYPART_SIBL
(12,4),(12,9),-0.0178414 # DEPENDENCYPART_SIBL
(12,4),(12,10),0.016557 # DEPENDENCYPART_SIBL
(12,4),(12,11),-0.0263438 # DEPENDENCYPART_SIBL
(12,4),(12,13),0.0260453 # DEPENDENCYPART_SIBL
(12,4),(12,14),-0.0567974 # DEPENDENCYPART_SIBL
(12,4),(12,15),-0.0013636 # DEPENDENCYPART_SIBL
(12,4),(12,16),-0.0314566 # DEPENDENCYPART_SIBL
(12,4),(12,17),-0.00280043 # DEPENDENCYPART_SIBL
(12,4),(12,18),0.00805688 # DEPENDENCYPART_SIBL
(12,4),(12,19),-0.00744567 # DEPENDENCYPART_SIBL
(12,4),(12,20),0.0113763 # DEPENDENCYPART_SIBL
(12,4),(12,21),0.00438166 # DEPENDENCYPART_SIBL
(12,5),(12,6),0.0750925 # DEPENDENCYPART_SIBL
(12,5),(12,7),-0.0228877 # DEPENDENCYPART_SIBL
(12,5),(12,8),-0.0228877 # DEPENDENCYPART_SIBL
(12,5),(12,9),-0.0333 # DEPENDENCYPART_SIBL
(12,5),(12,10),-0.0086083 # DEPENDENCYPART_SIBL
