# _root_ Az oroszok azonban feltűnően békésen viselkednek , s egyelőre semmi jele annak , hogy a katonák erőszakos akcióra készülnének .
#goldHeads=2,6,6,5,6,8,8,0,14,11,14,14,14,8,16,19,18,19,14,8,
#predictedHeads=2,6,6,6,6,8,8,0,14,11,14,14,14,8,16,19,18,19,14,8,
(6,8),(6,13),-0.0552322 # DEPENDENCYPART_SIBL
(6,8),(6,14),0.0256933 # DEPENDENCYPART_SIBL
(6,8),(6,16),0.0379604 # DEPENDENCYPART_SIBL
(6,8),(6,17),0.0400252 # DEPENDENCYPART_SIBL
(6,8),(6,18),0.0335607 # DEPENDENCYPART_SIBL
(6,8),(6,19),0.00389114 # DEPENDENCYPART_SIBL
(6,8),(6,20),0.0104397 # DEPENDENCYPART_SIBL
(6,9),(6,10),0.0148641 # DEPENDENCYPART_SIBL
(6,9),(6,11),0.014169 # DEPENDENCYPART_SIBL
(6,9),(6,12),-0.00516527 # DEPENDENCYPART_SIBL
(6,9),(6,13),-0.00411276 # DEPENDENCYPART_SIBL
(6,9),(6,14),0.036554 # DEPENDENCYPART_SIBL
(6,9),(6,16),0.0227826 # DEPENDENCYPART_SIBL
(6,9),(6,17),0.0327965 # DEPENDENCYPART_SIBL
(6,9),(6,18),0.014169 # DEPENDENCYPART_SIBL
(6,9),(6,19),-0.0399863 # DEPENDENCYPART_SIBL
(6,9),(6,20),-0.0250299 # DEPENDENCYPART_SIBL
(6,10),(6,11),-0.0323773 # DEPENDENCYPART_SIBL
(6,10),(6,12),-0.058156 # DEPENDENCYPART_SIBL
(6,10),(6,13),-0.0374147 # DEPENDENCYPART_SIBL
(6,10),(6,14),0.098592 # DEPENDENCYPART_SIBL
(6,10),(6,16),-0.0272517 # DEPENDENCYPART_SIBL
(6,10),(6,17),0.0357391 # DEPENDENCYPART_SIBL
(6,10),(6,18),-0.0319788 # DEPENDENCYPART_SIBL
(6,10),(6,19),-0.0626815 # DEPENDENCYPART_SIBL
(6,10),(6,20),-0.0540186 # DEPENDENCYPART_SIBL
(6,11),(6,12),0.0348597 # DEPENDENCYPART_SIBL
(6,11),(6,13),0.0423394 # DEPENDENCYPART_SIBL
(6,11),(6,14),0.0454245 # DEPENDENCYPART_SIBL
(6,11),(6,16),-0.012415 # DEPENDENCYPART_SIBL
(6,11),(6,17),0.0263275 # DEPENDENCYPART_SIBL
(6,11),(6,18),-0.0191055 # DEPENDENCYPART_SIBL
(6,11),(6,19),-0.0193862 # DEPENDENCYPART_SIBL
(6,11),(6,20),0.00535442 # DEPENDENCYPART_SIBL
(6,12),(6,13),0.0664437 # DEPENDENCYPART_SIBL
(6,12),(6,14),0.200836 # DEPENDENCYPART_SIBL
(6,12),(6,16),0.017068 # DEPENDENCYPART_SIBL
(6,12),(6,17),0.0732327 # DEPENDENCYPART_SIBL
(6,12),(6,18),0.012341 # DEPENDENCYPART_SIBL
(6,12),(6,19),-0.0386641 # DEPENDENCYPART_SIBL
(6,12),(6,20),-8.80299e-05 # DEPENDENCYPART_SIBL
(6,13),(6,14),0.81544 # DEPENDENCYPART_SIBL
(6,13),(6,16),0.0895726 # DEPENDENCYPART_SIBL
(6,13),(6,17),0.0603762 # DEPENDENCYPART_SIBL
(6,13),(6,18),0.07652 # DEPENDENCYPART_SIBL
(6,13),(6,19),0.194562 # DEPENDENCYPART_SIBL
(6,13),(6,20),0.0489202 # DEPENDENCYPART_SIBL
(6,14),(6,16),-0.00985596 # DEPENDENCYPART_SIBL
(6,14),(6,17),0.0821972 # DEPENDENCYPART_SIBL
(6,14),(6,18),-0.0142557 # DEPENDENCYPART_SIBL
(6,14),(6,19),0.108302 # DEPENDENCYPART_SIBL
(6,14),(6,20),0.124079 # DEPENDENCYPART_SIBL
(6,16),(6,17),0.0397311 # DEPENDENCYPART_SIBL
(6,16),(6,18),-0.00048854 # DEPENDENCYPART_SIBL
(6,16),(6,19),-0.00116373 # DEPENDENCYPART_SIBL
(6,16),(6,20),0.0203006 # DEPENDENCYPART_SIBL
(6,17),(6,18),-0.0249113 # DEPENDENCYPART_SIBL
(6,17),(6,19),-0.030217 # DEPENDENCYPART_SIBL
(6,17),(6,20),-0.0113324 # DEPENDENCYPART_SIBL
(6,18),(6,19),-0.0189344 # DEPENDENCYPART_SIBL
(6,18),(6,20),-1.62179e-05 # DEPENDENCYPART_SIBL
(6,19),(6,20),0.0178063 # DEPENDENCYPART_SIBL
(8,2),(8,3),0.128232 # DEPENDENCYPART_SIBL
(8,2),(8,4),-0.00333289 # DEPENDENCYPART_SIBL
(8,2),(8,5),-0.00333291 # DEPENDENCYPART_SIBL
(8,2),(8,6),0.0556785 # DEPENDENCYPART_SIBL
(8,2),(8,7),0.266281 # DEPENDENCYPART_SIBL
(8,2),(8,9),-0.0370972 # DEPENDENCYPART_SIBL
(8,2),(8,10),-0.0321145 # DEPENDENCYPART_SIBL
(8,2),(8,11),0.0945918 # DEPENDENCYPART_SIBL
(8,2),(8,12),-0.00271433 # DEPENDENCYPART_SIBL
(8,2),(8,13),-0.0105145 # DEPENDENCYPART_SIBL
(8,2),(8,14),-0.0232917 # DEPENDENCYPART_SIBL
(8,2),(8,16),0.0945268 # DEPENDENCYPART_SIBL
(8,2),(8,17),-0.00427131 # DEPENDENCYPART_SIBL
(8,2),(8,18),0.0919962 # DEPENDENCYPART_SIBL
(8,2),(8,19),0.0154565 # DEPENDENCYPART_SIBL
(8,2),(8,20),0.021665 # DEPENDENCYPART_SIBL
(8,3),(8,4),-0.05067 # DEPENDENCYPART_SIBL
(8,3),(8,5),-0.05067 # DEPENDENCYPART_SIBL
(8,3),(8,6),0.00438814 # DEPENDENCYPART_SIBL
(8,3),(8,7),-0.0269833 # DEPENDENCYPART_SIBL
(8,3),(8,9),-0.0644632 # DEPENDENCYPART_SIBL
(8,3),(8,10),-0.0462798 # DEPENDENCYPART_SIBL
(8,3),(8,11),-0.0702979 # DEPENDENCYPART_SIBL
(8,3),(8,12),-0.0123289 # DEPENDENCYPART_SIBL
(8,3),(8,13),-0.0465387 # DEPENDENCYPART_SIBL
(8,3),(8,14),0.0021575 # DEPENDENCYPART_SIBL
(8,3),(8,16),-0.0686509 # DEPENDENCYPART_SIBL
(8,3),(8,17),-0.0484636 # DEPENDENCYPART_SIBL
(8,3),(8,18),-0.0677809 # DEPENDENCYPART_SIBL
(8,3),(8,19),0.0120963 # DEPENDENCYPART_SIBL
(8,3),(8,20),0.0637135 # DEPENDENCYPART_SIBL
(8,4),(8,5),-0.0159801 # DEPENDENCYPART_SIBL
(8,4),(8,6),0.0487568 # DEPENDENCYPART_SIBL
(8,4),(8,7),0.202509 # DEPENDENCYPART_SIBL
(8,4),(8,9),-0.0164217 # DEPENDENCYPART_SIBL
(8,4),(8,10),-0.000667968 # DEPENDENCYPART_SIBL
(8,4),(8,11),-0.0148567 # DEPENDENCYPART_SIBL
(8,4),(8,12),0.0286945 # DEPENDENCYPART_SIBL
(8,4),(8,13),-0.00201243 # DEPENDENCYPART_SIBL
(8,4),(8,14),0.0263615 # DEPENDENCYPART_SIBL
(8,4),(8,16),-0.0134418 # DEPENDENCYPART_SIBL
(8,4),(8,17),0.0437361 # DEPENDENCYPART_SIBL
(8,4),(8,18),-0.0128369 # DEPENDENCYPART_SIBL
(8,4),(8,19),0.0332711 # DEPENDENCYPART_SIBL
(8,4),(8,20),0.0531721 # DEPENDENCYPART_SIBL
(8,5),(8,6),0.0487568 # DEPENDENCYPART_SIBL
(8,5),(8,7),0.202509 # DEPENDENCYPART_SIBL
(8,5),(8,9),-0.0164217 # DEPENDENCYPART_SIBL
(8,5),(8,10),-0.000667968 # DEPENDENCYPART_SIBL
(8,5),(8,11),-0.0148567 # DEPENDENCYPART_SIBL
(8,5),(8,12),0.0286945 # DEPENDENCYPART_SIBL
(8,5),(8,13),-0.00201243 # DEPENDENCYPART_SIBL
(8,5),(8,14),0.0263615 # DEPENDENCYPART_SIBL
(8,5),(8,16),-0.0134418 # DEPENDENCYPART_SIBL
(8,5),(8,17),0.0435411 # DEPENDENCYPART_SIBL
(8,5),(8,18),-0.0128369 # DEPENDENCYPART_SIBL
(8,5),(8,19),0.0332711 # DEPENDENCYPART_SIBL
(8,5),(8,20),0.0531721 # DEPENDENCYPART_SIBL
(8,6),(8,7),0.338088 # DEPENDENCYPART_SIBL
(8,6),(8,9),-0.00753456 # DEPENDENCYPART_SIBL
(8,6),(8,10),-0.00661108 # DEPENDENCYPART_SIBL
(8,6),(8,11),-0.0523693 # DEPENDENCYPART_SIBL
(8,6),(8,12),0.0436448 # DEPENDENCYPART_SIBL
(8,6),(8,13),-0.0202903 # DEPENDENCYPART_SIBL
(8,6),(8,14),0.0424763 # DEPENDENCYPART_SIBL
(8,6),(8,16),-0.0512027 # DEPENDENCYPART_SIBL
(8,6),(8,17),-0.0130602 # DEPENDENCYPART_SIBL
(8,6),(8,18),-0.0510387 # DEPENDENCYPART_SIBL
(8,6),(8,19),0.125561 # DEPENDENCYPART_SIBL
(8,6),(8,20),0.164136 # DEPENDENCYPART_SIBL
(8,7),(8,9),-0.00569188 # DEPENDENCYPART_SIBL
(8,7),(8,10),0.0111635 # DEPENDENCYPART_SIBL
(8,7),(8,11),-5.54538e-05 # DEPENDENCYPART_SIBL
(8,7),(8,12),0.0567246 # DEPENDENCYPART_SIBL
(8,7),(8,13),-0.0330044 # DEPENDENCYPART_SIBL
(8,7),(8,14),0.0527831 # DEPENDENCYPART_SIBL
(8,7),(8,16),0.00337679 # DEPENDENCYPART_SIBL
(8,7),(8,17),-0.000680611 # DEPENDENCYPART_SIBL
(8,7),(8,18),0.00167119 # DEPENDENCYPART_SIBL
(8,7),(8,19),0.203045 # DEPENDENCYPART_SIBL
(8,7),(8,20),0.295501 # DEPENDENCYPART_SIBL
(8,9),(8,10),0.0237909 # DEPENDENCYPART_SIBL
(8,9),(8,11),-0.0133165 # DEPENDENCYPART_SIBL
(8,9),(8,12),0.0161031 # DEPENDENCYPART_SIBL
(8,9),(8,13),0.027785 # DEPENDENCYPART_SIBL
(8,9),(8,14),-0.0710986 # DEPENDENCYPART_SIBL
(8,9),(8,16),-0.0113751 # DEPENDENCYPART_SIBL
(8,9),(8,17),-0.0180386 # DEPENDENCYPART_SIBL
(8,9),(8,18),-0.0133161 # DEPENDENCYPART_SIBL
(8,9),(8,19),-0.0616022 # DEPENDENCYPART_SIBL
(8,9),(8,20),-0.0114803 # DEPENDENCYPART_SIBL
(8,10),(8,11),-0.0060808 # DEPENDENCYPART_SIBL
(8,10),(8,12),0.0135879 # DEPENDENCYPART_SIBL
(8,10),(8,13),-0.0121295 # DEPENDENCYPART_SIBL
(8,10),(8,14),-0.015666 # DEPENDENCYPART_SIBL
(8,10),(8,16),-0.00568413 # DEPENDENCYPART_SIBL
(8,10),(8,17),0.00688967 # DEPENDENCYPART_SIBL
(8,10),(8,18),-0.00568191 # DEPENDENCYPART_SIBL
(8,10),(8,19),-0.051328 # DEPENDENCYPART_SIBL
(8,10),(8,20),0.0113931 # DEPENDENCYPART_SIBL
(8,11),(8,12),0.0609057 # DEPENDENCYPART_SIBL
(8,11),(8,13),0.0238074 # DEPENDENCYPART_SIBL
(8,11),(8,14),-0.0781167 # DEPENDENCYPART_SIBL
(8,11),(8,16),-0.0135415 # DEPENDENCYPART_SIBL
(8,11),(8,17),0.0274227 # DEPENDENCYPART_SIBL
(8,11),(8,18),-0.0145054 # DEPENDENCYPART_SIBL
(8,11),(8,19),-0.0434559 # DEPENDENCYPART_SIBL
(8,11),(8,20),0.000717231 # DEPENDENCYPART_SIBL
(8,12),(8,13),0.0237318 # DEPENDENCYPART_SIBL
(8,12),(8,14),0.01683 # DEPENDENCYPART_SIBL
(8,12),(8,16),-0.00155631 # DEPENDENCYPART_SIBL
(8,12),(8,17),0.00925129 # DEPENDENCYPART_SIBL
(8,12),(8,18),-0.0015541 # DEPENDENCYPART_SIBL
(8,12),(8,19),-0.0558817 # DEPENDENCYPART_SIBL
(8,12),(8,20),0.029459 # DEPENDENCYPART_SIBL
(8,13),(8,14),0.204799 # DEPENDENCYPART_SIBL
(8,13),(8,16),0.15117 # DEPENDENCYPART_SIBL
(8,13),(8,17),0.104578 # DEPENDENCYPART_SIBL
(8,13),(8,18),0.147022 # DEPENDENCYPART_SIBL
(8,13),(8,19),0.233776 # DEPENDENCYPART_SIBL
(8,13),(8,20),0.0374886 # DEPENDENCYPART_SIBL
(8,14),(8,16),-0.0563109 # DEPENDENCYPART_SIBL
(8,14),(8,17),-0.0128965 # DEPENDENCYPART_SIBL
(8,14),(8,18),-0.0561433 # DEPENDENCYPART_SIBL
(8,14),(8,19),-0.0300964 # DEPENDENCYPART_SIBL
(8,14),(8,20),0.111415 # DEPENDENCYPART_SIBL
(8,16),(8,17),0.0274172 # DEPENDENCYPART_SIBL
(8,16),(8,18),-0.0119687 # DEPENDENCYPART_SIBL
(8,16),(8,19),-0.0408491 # DEPENDENCYPART_SIBL
(8,16),(8,20),-0.00124997 # DEPENDENCYPART_SIBL
(8,17),(8,18),0.0130154 # DEPENDENCYPART_SIBL
(8,17),(8,19),-0.0402027 # DEPENDENCYPART_SIBL
(8,17),(8,20),0.0423279 # DEPENDENCYPART_SIBL
(8,18),(8,19),-0.0430041 # DEPENDENCYPART_SIBL
(8,18),(8,20),-0.00465341 # DEPENDENCYPART_SIBL
(8,19),(8,20),0.187599 # DEPENDENCYPART_SIBL
(9,3),(9,6),0.249839 # DEPENDENCYPART_SIBL
(9,3),(9,7),0.262631 # DEPENDENCYPART_SIBL
(9,3),(9,8),0.0592951 # DEPENDENCYPART_SIBL
(9,3),(9,11),0.0608366 # DEPENDENCYPART_SIBL
(9,3),(9,13),-0.0349173 # DEPENDENCYPART_SIBL
(9,3),(9,14),0.0120526 # DEPENDENCYPART_SIBL
(9,3),(9,16),0.0611538 # DEPENDENCYPART_SIBL
(9,3),(9,18),0.0620231 # DEPENDENCYPART_SIBL
(9,3),(9,19),-0.0235687 # DEPENDENCYPART_SIBL
(9,3),(9,20),0.093741 # DEPENDENCYPART_SIBL
(9,6),(9,7),0.489504 # DEPENDENCYPART_SIBL
(9,6),(9,8),0.155387 # DEPENDENCYPART_SIBL
(9,6),(9,11),0.104231 # DEPENDENCYPART_SIBL
(9,6),(9,13),-0.0201035 # DEPENDENCYPART_SIBL
(9,6),(9,14),0.030673 # DEPENDENCYPART_SIBL
(9,6),(9,16),0.104068 # DEPENDENCYPART_SIBL
(9,6),(9,18),0.104231 # DEPENDENCYPART_SIBL
(9,6),(9,19),0.0469889 # DEPENDENCYPART_SIBL
(9,6),(9,20),0.127818 # DEPENDENCYPART_SIBL
(9,7),(9,8),0.2456 # DEPENDENCYPART_SIBL
(9,7),(9,11),0.0649508 # DEPENDENCYPART_SIBL
(9,7),(9,13),-0.0593239 # DEPENDENCYPART_SIBL
(9,7),(9,14),-0.00768826 # DEPENDENCYPART_SIBL
(9,7),(9,16),0.0670479 # DEPENDENCYPART_SIBL
(9,7),(9,18),0.065345 # DEPENDENCYPART_SIBL
(9,7),(9,19),0.0102628 # DEPENDENCYPART_SIBL
(9,7),(9,20),0.0335042 # DEPENDENCYPART_SIBL
(9,8),(9,11),0.0498195 # DEPENDENCYPART_SIBL
(9,8),(9,13),-0.0311271 # DEPENDENCYPART_SIBL
(9,8),(9,14),0.00210727 # DEPENDENCYPART_SIBL
(9,8),(9,16),0.0501367 # DEPENDENCYPART_SIBL
(9,8),(9,18),0.051006 # DEPENDENCYPART_SIBL
(9,8),(9,19),0.00857568 # DEPENDENCYPART_SIBL
(9,8),(9,20),0.184774 # DEPENDENCYPART_SIBL
(9,11),(9,13),0.0564394 # DEPENDENCYPART_SIBL
(9,11),(9,14),0.0223704 # DEPENDENCYPART_SIBL
(9,11),(9,16),0.0150217 # DEPENDENCYPART_SIBL
(9,11),(9,18),0.0140559 # DEPENDENCYPART_SIBL
(9,11),(9,19),0.0348749 # DEPENDENCYPART_SIBL
(9,11),(9,20),0.0433696 # DEPENDENCYPART_SIBL
(9,13),(9,14),0.320106 # DEPENDENCYPART_SIBL
(9,13),(9,16),0.0109274 # DEPENDENCYPART_SIBL
(9,13),(9,18),0.00677715 # DEPENDENCYPART_SIBL
(9,13),(9,19),0.224665 # DEPENDENCYPART_SIBL
(9,13),(9,20),0.0620614 # DEPENDENCYPART_SIBL
(9,14),(9,16),-0.0514345 # DEPENDENCYPART_SIBL
(9,14),(9,18),-0.0512688 # DEPENDENCYPART_SIBL
(9,14),(9,19),0.0316154 # DEPENDENCYPART_SIBL
(9,14),(9,20),0.0655056 # DEPENDENCYPART_SIBL
(9,16),(9,18),0.0165887 # DEPENDENCYPART_SIBL
(9,16),(9,19),0.0374778 # DEPENDENCYPART_SIBL
(9,16),(9,20),0.0413892 # DEPENDENCYPART_SIBL
(9,18),(9,19),0.0353267 # DEPENDENCYPART_SIBL
(9,18),(9,20),0.037999 # DEPENDENCYPART_SIBL
(9,19),(9,20),0.0745646 # DEPENDENCYPART_SIBL
(11,1),(11,2),0.00602949 # DEPENDENCYPART_SIBL
(11,1),(11,4),0.204071 # DEPENDENCYPART_SIBL
(11,1),(11,5),0.204071 # DEPENDENCYPART_SIBL
(11,1),(11,6),0.159439 # DEPENDENCYPART_SIBL
(11,1),(11,7),0.212068 # DEPENDENCYPART_SIBL
(11,1),(11,8),0.274329 # DEPENDENCYPART_SIBL
(11,1),(11,9),0.00927574 # DEPENDENCYPART_SIBL
(11,1),(11,10),0.0156257 # DEPENDENCYPART_SIBL
(11,1),(11,13),-0.0165827 # DEPENDENCYPART_SIBL
(11,1),(11,16),-0.00722193 # DEPENDENCYPART_SIBL
(11,1),(11,18),-0.00571555 # DEPENDENCYPART_SIBL
(11,1),(11,19),-0.0121052 # DEPENDENCYPART_SIBL
(11,1),(11,20),-0.0249894 # DEPENDENCYPART_SIBL
(11,2),(11,4),0.047907 # DEPENDENCYPART_SIBL
(11,2),(11,5),0.0479069 # DEPENDENCYPART_SIBL
(11,2),(11,6),0.157641 # DEPENDENCYPART_SIBL
(11,2),(11,7),0.656222 # DEPENDENCYPART_SIBL
(11,2),(11,8),0.536358 # DEPENDENCYPART_SIBL
(11,2),(11,9),0.188384 # DEPENDENCYPART_SIBL
(11,2),(11,10),0.056164 # DEPENDENCYPART_SIBL
(11,2),(11,13),-0.00486817 # DEPENDENCYPART_SIBL
(11,2),(11,16),-0.00107298 # DEPENDENCYPART_SIBL
(11,2),(11,18),-0.00146075 # DEPENDENCYPART_SIBL
(11,2),(11,19),0.0072863 # DEPENDENCYPART_SIBL
(11,2),(11,20),0.0400632 # DEPENDENCYPART_SIBL
(11,4),(11,5),0.00521438 # DEPENDENCYPART_SIBL
(11,4),(11,6),0.113554 # DEPENDENCYPART_SIBL
(11,4),(11,7),0.440322 # DEPENDENCYPART_SIBL
(11,4),(11,8),0.464754 # DEPENDENCYPART_SIBL
(11,4),(11,9),0.0663292 # DEPENDENCYPART_SIBL
(11,4),(11,10),-0.00649584 # DEPENDENCYPART_SIBL
(11,4),(11,13),-0.032912 # DEPENDENCYPART_SIBL
(11,4),(11,16),-0.00668319 # DEPENDENCYPART_SIBL
(11,4),(11,18),-0.00411379 # DEPENDENCYPART_SIBL
(11,4),(11,19),-0.0400735 # DEPENDENCYPART_SIBL
(11,4),(11,20),-0.00896708 # DEPENDENCYPART_SIBL
(11,5),(11,6),0.113554 # DEPENDENCYPART_SIBL
(11,5),(11,7),0.440322 # DEPENDENCYPART_SIBL
(11,5),(11,8),0.464754 # DEPENDENCYPART_SIBL
(11,5),(11,9),0.0663292 # DEPENDENCYPART_SIBL
(11,5),(11,10),-0.0066642 # DEPENDENCYPART_SIBL
(11,5),(11,13),-0.032912 # DEPENDENCYPART_SIBL
(11,5),(11,16),-0.00668319 # DEPENDENCYPART_SIBL
(11,5),(11,18),-0.00411379 # DEPENDENCYPART_SIBL
(11,5),(11,19),-0.0400735 # DEPENDENCYPART_SIBL
(11,5),(11,20),-0.00896708 # DEPENDENCYPART_SIBL
(11,6),(11,7),0.313281 # DEPENDENCYPART_SIBL
(11,6),(11,8),0.270549 # DEPENDENCYPART_SIBL
(11,6),(11,9),0.042485 # DEPENDENCYPART_SIBL
(11,6),(11,10),-0.0171232 # DEPENDENCYPART_SIBL
(11,6),(11,13),-0.0137766 # DEPENDENCYPART_SIBL
(11,6),(11,16),-0.00757649 # DEPENDENCYPART_SIBL
(11,6),(11,18),-0.00602675 # DEPENDENCYPART_SIBL
(11,6),(11,19),0.0352971 # DEPENDENCYPART_SIBL
(11,6),(11,20),0.117219 # DEPENDENCYPART_SIBL
(11,7),(11,8),0.431424 # DEPENDENCYPART_SIBL
(11,7),(11,9),0.0657255 # DEPENDENCYPART_SIBL
(11,7),(11,10),-0.0157738 # DEPENDENCYPART_SIBL
(11,7),(11,13),-0.0350268 # DEPENDENCYPART_SIBL
(11,7),(11,16),-0.0084992 # DEPENDENCYPART_SIBL
(11,7),(11,18),-0.0088235 # DEPENDENCYPART_SIBL
(11,7),(11,19),-0.0282663 # DEPENDENCYPART_SIBL
(11,7),(11,20),0.0181908 # DEPENDENCYPART_SIBL
(11,8),(11,9),0.073159 # DEPENDENCYPART_SIBL
(11,8),(11,10),0.0113468 # DEPENDENCYPART_SIBL
(11,8),(11,13),-0.0198244 # DEPENDENCYPART_SIBL
(11,8),(11,16),-0.0273987 # DEPENDENCYPART_SIBL
(11,8),(11,18),-0.0251379 # DEPENDENCYPART_SIBL
(11,8),(11,19),0.0291429 # DEPENDENCYPART_SIBL
(11,8),(11,20),0.154588 # DEPENDENCYPART_SIBL
(11,9),(11,10),0.00862745 # DEPENDENCYPART_SIBL
(11,9),(11,13),0.00758823 # DEPENDENCYPART_SIBL
(11,9),(11,16),0.010152 # DEPENDENCYPART_SIBL
(11,9),(11,18),0.00785137 # DEPENDENCYPART_SIBL
(11,9),(11,19),0.0576395 # DEPENDENCYPART_SIBL
(11,9),(11,20),0.134277 # DEPENDENCYPART_SIBL
(11,10),(11,13),-0.0176888 # DEPENDENCYPART_SIBL
(11,10),(11,16),-0.0067135 # DEPENDENCYPART_SIBL
(11,10),(11,18),-0.0053019 # DEPENDENCYPART_SIBL
(11,10),(11,19),0.0326805 # DEPENDENCYPART_SIBL
(11,10),(11,20),-0.000197341 # DEPENDENCYPART_SIBL
(11,13),(11,16),0.347102 # DEPENDENCYPART_SIBL
(11,13),(11,18),0.342981 # DEPENDENCYPART_SIBL
(11,13),(11,19),0.425607 # DEPENDENCYPART_SIBL
(11,13),(11,20),0.0787787 # DEPENDENCYPART_SIBL
(11,16),(11,18),0.00688168 # DEPENDENCYPART_SIBL
(11,16),(11,19),0.0600738 # DEPENDENCYPART_SIBL
(11,16),(11,20),0.0516253 # DEPENDENCYPART_SIBL
(11,18),(11,19),0.0582159 # DEPENDENCYPART_SIBL
(11,18),(11,20),0.0485651 # DEPENDENCYPART_SIBL
(11,19),(11,20),0.211166 # DEPENDENCYPART_SIBL
(12,2),(12,3),0.226434 # DEPENDENCYPART_SIBL
(12,2),(12,4),0.109732 # DEPENDENCYPART_SIBL
(12,2),(12,5),0.109732 # DEPENDENCYPART_SIBL
(12,2),(12,6),0.0947295 # DEPENDENCYPART_SIBL
(12,2),(12,7),0.192678 # DEPENDENCYPART_SIBL
(12,2),(12,8),0.205939 # DEPENDENCYPART_SIBL
(12,2),(12,9),0.162614 # DEPENDENCYPART_SIBL
(12,2),(12,10),0.0448458 # DEPENDENCYPART_SIBL
(12,2),(12,11),0.10099 # DEPENDENCYPART_SIBL
(12,2),(12,13),0.0296518 # DEPENDENCYPART_SIBL
(12,2),(12,14),-0.0412896 # DEPENDENCYPART_SIBL
(12,2),(12,16),0.0417424 # DEPENDENCYPART_SIBL
(12,2),(12,17),0.0199986 # DEPENDENCYPART_SIBL
(12,2),(12,18),0.0391664 # DEPENDENCYPART_SIBL
(12,2),(12,19),-0.00195272 # DEPENDENCYPART_SIBL
(12,2),(12,20),0.0653616 # DEPENDENCYPART_SIBL
(12,3),(12,4),0.0961278 # DEPENDENCYPART_SIBL
(12,3),(12,5),0.0961278 # DEPENDENCYPART_SIBL
(12,3),(12,6),0.165656 # DEPENDENCYPART_SIBL
(12,3),(12,7),0.0745589 # DEPENDENCYPART_SIBL
(12,3),(12,8),0.0398358 # DEPENDENCYPART_SIBL
(12,3),(12,9),0.124279 # DEPENDENCYPART_SIBL
(12,3),(12,10),0.0459021 # DEPENDENCYPART_SIBL
(12,3),(12,11),0.0892612 # DEPENDENCYPART_SIBL
(12,3),(12,13),0.0299983 # DEPENDENCYPART_SIBL
(12,3),(12,14),-0.0190478 # DEPENDENCYPART_SIBL
(12,3),(12,16),0.0372357 # DEPENDENCYPART_SIBL
(12,3),(12,17),-0.00672979 # DEPENDENCYPART_SIBL
(12,3),(12,18),0.0380802 # DEPENDENCYPART_SIBL
(12,3),(12,19),-0.00997067 # DEPENDENCYPART_SIBL
(12,3),(12,20),0.100342 # DEPENDENCYPART_SIBL
(12,4),(12,5),0.101997 # DEPENDENCYPART_SIBL
(12,4),(12,6),0.105454 # DEPENDENCYPART_SIBL
(12,4),(12,7),0.175854 # DEPENDENCYPART_SIBL
(12,4),(12,8),0.220456 # DEPENDENCYPART_SIBL
(12,4),(12,9),0.0869363 # DEPENDENCYPART_SIBL
(12,4),(12,10),0.0539631 # DEPENDENCYPART_SIBL
(12,4),(12,11),0.112838 # DEPENDENCYPART_SIBL
(12,4),(12,13),0.0352099 # DEPENDENCYPART_SIBL
(12,4),(12,14),-0.00229403 # DEPENDENCYPART_SIBL
(12,4),(12,16),0.0586151 # DEPENDENCYPART_SIBL
(12,4),(12,17),0.0126558 # DEPENDENCYPART_SIBL
(12,4),(12,18),0.0591946 # DEPENDENCYPART_SIBL
(12,4),(12,19),0.00196371 # DEPENDENCYPART_SIBL
(12,4),(12,20),0.0706498 # DEPENDENCYPART_SIBL
(12,5),(12,6),0.105454 # DEPENDENCYPART_SIBL
(12,5),(12,7),0.175854 # DEPENDENCYPART_SIBL
(12,5),(12,8),0.220456 # DEPENDENCYPART_SIBL
(12,5),(12,9),0.0869363 # DEPENDENCYPART_SIBL
(12,5),(12,10),0.0537947 # DEPENDENCYPART_SIBL
(12,5),(12,11),0.112838 # DEPENDENCYPART_SIBL
(12,5),(12,13),0.0352099 # DEPENDENCYPART_SIBL
(12,5),(12,14),-0.00229403 # DEPENDENCYPART_SIBL
(12,5),(12,16),0.0586151 # DEPENDENCYPART_SIBL
(12,5),(12,17),0.0124608 # DEPENDENCYPART_SIBL
(12,5),(12,18),0.0591946 # DEPENDENCYPART_SIBL
(12,5),(12,19),0.00196371 # DEPENDENCYPART_SIBL
(12,5),(12,20),0.0706498 # DEPENDENCYPART_SIBL
(12,6),(12,7),0.228642 # DEPENDENCYPART_SIBL
(12,6),(12,8),0.151937 # DEPENDENCYPART_SIBL
(12,6),(12,9),0.0899792 # DEPENDENCYPART_SIBL
(12,6),(12,10),0.0639746 # DEPENDENCYPART_SIBL
(12,6),(12,11),0.0961885 # DEPENDENCYPART_SIBL
(12,6),(12,13),0.0177105 # DEPENDENCYPART_SIBL
(12,6),(12,14),-0.0164281 # DEPENDENCYPART_SIBL
(12,6),(12,16),0.0346009 # DEPENDENCYPART_SIBL
(12,6),(12,17),-0.00807107 # DEPENDENCYPART_SIBL
(12,6),(12,18),0.0347394 # DEPENDENCYPART_SIBL
(12,6),(12,19),-0.00267854 # DEPENDENCYPART_SIBL
(12,6),(12,20),0.0745456 # DEPENDENCYPART_SIBL
(12,7),(12,8),0.348353 # DEPENDENCYPART_SIBL
(12,7),(12,9),0.139856 # DEPENDENCYPART_SIBL
(12,7),(12,10),0.128736 # DEPENDENCYPART_SIBL
