# _root_ Ám csak egy banktól lehet igényelni a termények — búza , kukorica , rozs és árpa — termelési költségeire felvett éven belüli hitel törlesztésének halasztását .
#goldHeads=5,6,4,6,0,5,8,19,19,16,16,16,16,16,16,19,19,19,20,23,22,23,24,5,6,5,
#predictedHeads=5,6,4,6,0,5,8,19,19,12,12,19,19,19,19,19,19,19,20,21,22,23,24,25,6,5,
(14,10),(14,12),-0.0205933 # DEPENDENCYPART_SIBL
(14,10),(14,13),0.641687 # DEPENDENCYPART_SIBL
(14,12),(14,13),0.641687 # DEPENDENCYPART_SIBL
(15,1),(15,5),0.0708449 # DEPENDENCYPART_SIBL
(15,1),(15,6),0.0896557 # DEPENDENCYPART_SIBL
(15,1),(15,14),-0.0165619 # DEPENDENCYPART_SIBL
(15,1),(15,16),0.00245875 # DEPENDENCYPART_SIBL
(15,1),(15,18),0.0245687 # DEPENDENCYPART_SIBL
(15,1),(15,19),0.00242352 # DEPENDENCYPART_SIBL
(15,1),(15,23),0.00223528 # DEPENDENCYPART_SIBL
(15,1),(15,24),0.00245875 # DEPENDENCYPART_SIBL
(15,1),(15,25),0.00245875 # DEPENDENCYPART_SIBL
(15,5),(15,6),0.00264722 # DEPENDENCYPART_SIBL
(15,5),(15,14),-0.0395231 # DEPENDENCYPART_SIBL
(15,5),(15,16),-0.0266912 # DEPENDENCYPART_SIBL
(15,5),(15,18),0.0252414 # DEPENDENCYPART_SIBL
(15,5),(15,19),-0.0267367 # DEPENDENCYPART_SIBL
(15,5),(15,23),-0.0269093 # DEPENDENCYPART_SIBL
(15,5),(15,24),-0.0266912 # DEPENDENCYPART_SIBL
(15,5),(15,25),-0.0266912 # DEPENDENCYPART_SIBL
(15,6),(15,14),-0.0242734 # DEPENDENCYPART_SIBL
(15,6),(15,16),-0.0124633 # DEPENDENCYPART_SIBL
(15,6),(15,18),0.0452558 # DEPENDENCYPART_SIBL
(15,6),(15,19),-0.0125088 # DEPENDENCYPART_SIBL
(15,6),(15,23),-0.0126814 # DEPENDENCYPART_SIBL
(15,6),(15,24),-0.0124633 # DEPENDENCYPART_SIBL
(15,6),(15,25),-0.0124633 # DEPENDENCYPART_SIBL
(15,14),(15,16),0.233831 # DEPENDENCYPART_SIBL
(15,14),(15,18),0.0259224 # DEPENDENCYPART_SIBL
(15,14),(15,19),0.23804 # DEPENDENCYPART_SIBL
(15,14),(15,23),0.233445 # DEPENDENCYPART_SIBL
(15,14),(15,24),0.233831 # DEPENDENCYPART_SIBL
(15,14),(15,25),0.233831 # DEPENDENCYPART_SIBL
(15,16),(15,18),0.00738857 # DEPENDENCYPART_SIBL
(15,16),(15,19),-0.0462218 # DEPENDENCYPART_SIBL
(15,16),(15,23),-0.0462521 # DEPENDENCYPART_SIBL
(15,16),(15,24),-0.0462163 # DEPENDENCYPART_SIBL
(15,16),(15,25),-0.0462163 # DEPENDENCYPART_SIBL
(15,18),(15,19),-0.012482 # DEPENDENCYPART_SIBL
(15,18),(15,23),-0.0125093 # DEPENDENCYPART_SIBL
(15,18),(15,24),-0.0124781 # DEPENDENCYPART_SIBL
(15,18),(15,25),-0.0124781 # DEPENDENCYPART_SIBL
(15,19),(15,23),-0.0462532 # DEPENDENCYPART_SIBL
(15,19),(15,24),-0.0462173 # DEPENDENCYPART_SIBL
(15,19),(15,25),-0.0462173 # DEPENDENCYPART_SIBL
(15,23),(15,24),-0.0462344 # DEPENDENCYPART_SIBL
(15,23),(15,25),-0.0462344 # DEPENDENCYPART_SIBL
(15,24),(15,25),-0.0462163 # DEPENDENCYPART_SIBL
(16,7),(16,8),0.0129962 # DEPENDENCYPART_SIBL
(16,7),(16,9),0.464905 # DEPENDENCYPART_SIBL
(16,7),(16,10),0.0123131 # DEPENDENCYPART_SIBL
(16,7),(16,11),0.190771 # DEPENDENCYPART_SIBL
(16,7),(16,12),0.0112155 # DEPENDENCYPART_SIBL
(16,7),(16,13),0.190771 # DEPENDENCYPART_SIBL
(16,7),(16,14),0.0129962 # DEPENDENCYPART_SIBL
(16,7),(16,15),0.138025 # DEPENDENCYPART_SIBL
(16,7),(16,17),-0.0530946 # DEPENDENCYPART_SIBL
(16,7),(16,18),0.00427239 # DEPENDENCYPART_SIBL
(16,7),(16,19),-0.00331961 # DEPENDENCYPART_SIBL
(16,7),(16,21),-0.00333212 # DEPENDENCYPART_SIBL
(16,7),(16,23),-0.00331961 # DEPENDENCYPART_SIBL
(16,7),(16,24),-0.00331961 # DEPENDENCYPART_SIBL
(16,7),(16,25),-0.00331961 # DEPENDENCYPART_SIBL
(16,7),(16,26),-0.0285178 # DEPENDENCYPART_SIBL
(16,8),(16,9),0.481184 # DEPENDENCYPART_SIBL
(16,8),(16,10),-0.0182427 # DEPENDENCYPART_SIBL
(16,8),(16,11),0.641687 # DEPENDENCYPART_SIBL
(16,8),(16,12),-0.0205933 # DEPENDENCYPART_SIBL
(16,8),(16,13),0.641687 # DEPENDENCYPART_SIBL
(16,8),(16,14),-0.018106 # DEPENDENCYPART_SIBL
(16,8),(16,15),0.794005 # DEPENDENCYPART_SIBL
(16,8),(16,17),-0.042831 # DEPENDENCYPART_SIBL
(16,8),(16,18),0.044659 # DEPENDENCYPART_SIBL
(16,8),(16,19),0.00762418 # DEPENDENCYPART_SIBL
(16,8),(16,21),0.0028478 # DEPENDENCYPART_SIBL
(16,8),(16,23),0.00331791 # DEPENDENCYPART_SIBL
(16,8),(16,24),0.00337853 # DEPENDENCYPART_SIBL
(16,8),(16,25),0.00337853 # DEPENDENCYPART_SIBL
(16,8),(16,26),0.041682 # DEPENDENCYPART_SIBL
(16,9),(16,10),-0.0201841 # DEPENDENCYPART_SIBL
(16,9),(16,11),0.00488246 # DEPENDENCYPART_SIBL
(16,9),(16,12),-0.0218326 # DEPENDENCYPART_SIBL
(16,9),(16,13),0.00488246 # DEPENDENCYPART_SIBL
(16,9),(16,14),-0.0200475 # DEPENDENCYPART_SIBL
(16,9),(16,15),0.152665 # DEPENDENCYPART_SIBL
(16,9),(16,17),0.288957 # DEPENDENCYPART_SIBL
(16,9),(16,18),-0.00681703 # DEPENDENCYPART_SIBL
(16,9),(16,19),-0.0331156 # DEPENDENCYPART_SIBL
(16,9),(16,21),-0.0339284 # DEPENDENCYPART_SIBL
(16,9),(16,23),-0.0331137 # DEPENDENCYPART_SIBL
(16,9),(16,24),-0.0330674 # DEPENDENCYPART_SIBL
(16,9),(16,25),-0.0330674 # DEPENDENCYPART_SIBL
(16,9),(16,26),-0.0415529 # DEPENDENCYPART_SIBL
(16,10),(16,11),0.641687 # DEPENDENCYPART_SIBL
(16,10),(16,12),-0.0205933 # DEPENDENCYPART_SIBL
(16,10),(16,13),0.641687 # DEPENDENCYPART_SIBL
(16,10),(16,14),-0.018106 # DEPENDENCYPART_SIBL
(16,10),(16,15),0.794005 # DEPENDENCYPART_SIBL
(16,10),(16,17),-0.0428311 # DEPENDENCYPART_SIBL
(16,10),(16,18),0.044659 # DEPENDENCYPART_SIBL
(16,10),(16,19),0.0076241 # DEPENDENCYPART_SIBL
(16,10),(16,21),0.00284772 # DEPENDENCYPART_SIBL
(16,10),(16,23),0.00331783 # DEPENDENCYPART_SIBL
(16,10),(16,24),0.00337845 # DEPENDENCYPART_SIBL
(16,10),(16,25),0.00337845 # DEPENDENCYPART_SIBL
(16,10),(16,26),0.0416819 # DEPENDENCYPART_SIBL
(16,11),(16,12),0.0551357 # DEPENDENCYPART_SIBL
(16,11),(16,13),0.0456326 # DEPENDENCYPART_SIBL
(16,11),(16,14),0.0569251 # DEPENDENCYPART_SIBL
(16,11),(16,15),0.231586 # DEPENDENCYPART_SIBL
(16,11),(16,17),-0.0507504 # DEPENDENCYPART_SIBL
(16,11),(16,18),-0.00378486 # DEPENDENCYPART_SIBL
(16,11),(16,19),-0.00850635 # DEPENDENCYPART_SIBL
(16,11),(16,21),-0.00907974 # DEPENDENCYPART_SIBL
(16,11),(16,23),-0.00853707 # DEPENDENCYPART_SIBL
(16,11),(16,24),-0.00844461 # DEPENDENCYPART_SIBL
(16,11),(16,25),-0.00844461 # DEPENDENCYPART_SIBL
(16,11),(16,26),0.0238545 # DEPENDENCYPART_SIBL
(16,12),(16,13),0.641687 # DEPENDENCYPART_SIBL
(16,12),(16,14),-0.018106 # DEPENDENCYPART_SIBL
(16,12),(16,15),0.794005 # DEPENDENCYPART_SIBL
(16,12),(16,17),-0.042831 # DEPENDENCYPART_SIBL
(16,12),(16,18),0.044659 # DEPENDENCYPART_SIBL
(16,12),(16,19),0.00760657 # DEPENDENCYPART_SIBL
(16,12),(16,21),0.00283019 # DEPENDENCYPART_SIBL
(16,12),(16,23),0.0033003 # DEPENDENCYPART_SIBL
(16,12),(16,24),0.00336093 # DEPENDENCYPART_SIBL
(16,12),(16,25),0.00336093 # DEPENDENCYPART_SIBL
(16,12),(16,26),0.0416507 # DEPENDENCYPART_SIBL
(16,13),(16,14),0.0569251 # DEPENDENCYPART_SIBL
(16,13),(16,15),0.231586 # DEPENDENCYPART_SIBL
(16,13),(16,17),-0.0507504 # DEPENDENCYPART_SIBL
(16,13),(16,18),-0.00378486 # DEPENDENCYPART_SIBL
(16,13),(16,19),-0.00850635 # DEPENDENCYPART_SIBL
(16,13),(16,21),-0.00907974 # DEPENDENCYPART_SIBL
(16,13),(16,23),-0.00853707 # DEPENDENCYPART_SIBL
(16,13),(16,24),-0.00844461 # DEPENDENCYPART_SIBL
(16,13),(16,25),-0.00844461 # DEPENDENCYPART_SIBL
(16,13),(16,26),0.0238545 # DEPENDENCYPART_SIBL
(16,14),(16,15),0.794005 # DEPENDENCYPART_SIBL
(16,14),(16,17),-0.042831 # DEPENDENCYPART_SIBL
(16,14),(16,18),0.044659 # DEPENDENCYPART_SIBL
(16,14),(16,19),0.00762418 # DEPENDENCYPART_SIBL
(16,14),(16,21),0.0028478 # DEPENDENCYPART_SIBL
(16,14),(16,23),0.00331791 # DEPENDENCYPART_SIBL
(16,14),(16,24),0.00337853 # DEPENDENCYPART_SIBL
(16,14),(16,25),0.00337853 # DEPENDENCYPART_SIBL
(16,14),(16,26),0.041682 # DEPENDENCYPART_SIBL
(16,15),(16,17),0.00843729 # DEPENDENCYPART_SIBL
(16,15),(16,18),0.0324267 # DEPENDENCYPART_SIBL
(16,15),(16,19),-0.00799312 # DEPENDENCYPART_SIBL
(16,15),(16,21),-0.00800458 # DEPENDENCYPART_SIBL
(16,15),(16,23),-0.00799502 # DEPENDENCYPART_SIBL
(16,15),(16,24),-0.00798823 # DEPENDENCYPART_SIBL
(16,15),(16,25),-0.00798823 # DEPENDENCYPART_SIBL
(16,15),(16,26),0.0197197 # DEPENDENCYPART_SIBL
(16,17),(16,18),0.087602 # DEPENDENCYPART_SIBL
(16,17),(16,19),0.1537 # DEPENDENCYPART_SIBL
(16,17),(16,21),0.151517 # DEPENDENCYPART_SIBL
(16,17),(16,23),0.151571 # DEPENDENCYPART_SIBL
(16,17),(16,24),0.151575 # DEPENDENCYPART_SIBL
(16,17),(16,25),0.151575 # DEPENDENCYPART_SIBL
(16,17),(16,26),0.069421 # DEPENDENCYPART_SIBL
(16,18),(16,19),0.0547465 # DEPENDENCYPART_SIBL
(16,18),(16,21),0.0547338 # DEPENDENCYPART_SIBL
(16,18),(16,23),0.0547466 # DEPENDENCYPART_SIBL
(16,18),(16,24),0.0547467 # DEPENDENCYPART_SIBL
(16,18),(16,25),0.0547467 # DEPENDENCYPART_SIBL
(16,18),(16,26),0.106007 # DEPENDENCYPART_SIBL
(16,19),(16,21),0.00467892 # DEPENDENCYPART_SIBL
(16,19),(16,23),0.0047122 # DEPENDENCYPART_SIBL
(16,19),(16,24),0.00471394 # DEPENDENCYPART_SIBL
(16,19),(16,25),0.00471394 # DEPENDENCYPART_SIBL
(16,19),(16,26),0.0485634 # DEPENDENCYPART_SIBL
(16,21),(16,23),0.00397238 # DEPENDENCYPART_SIBL
(16,21),(16,24),0.00397412 # DEPENDENCYPART_SIBL
(16,21),(16,25),0.00397412 # DEPENDENCYPART_SIBL
(16,21),(16,26),0.0484144 # DEPENDENCYPART_SIBL
(16,23),(16,24),0.00470144 # DEPENDENCYPART_SIBL
(16,23),(16,25),0.00470144 # DEPENDENCYPART_SIBL
(16,23),(16,26),0.0485331 # DEPENDENCYPART_SIBL
(16,24),(16,25),0.00471394 # DEPENDENCYPART_SIBL
(16,24),(16,26),0.0485651 # DEPENDENCYPART_SIBL
(16,25),(16,26),0.0485651 # DEPENDENCYPART_SIBL
(18,2),(18,5),0.157828 # DEPENDENCYPART_SIBL
(18,2),(18,14),0.214698 # DEPENDENCYPART_SIBL
(18,2),(18,15),0.19913 # DEPENDENCYPART_SIBL
(18,2),(18,16),0.214698 # DEPENDENCYPART_SIBL
(18,2),(18,17),0.109409 # DEPENDENCYPART_SIBL
(18,2),(18,20),0.0334333 # DEPENDENCYPART_SIBL
(18,5),(18,14),-0.011024 # DEPENDENCYPART_SIBL
(18,5),(18,15),0.159159 # DEPENDENCYPART_SIBL
(18,5),(18,16),-0.011024 # DEPENDENCYPART_SIBL
(18,5),(18,17),0.317401 # DEPENDENCYPART_SIBL
(18,5),(18,20),0.0360874 # DEPENDENCYPART_SIBL
(18,14),(18,15),0.436415 # DEPENDENCYPART_SIBL
(18,14),(18,16),0.076847 # DEPENDENCYPART_SIBL
(18,14),(18,17),0.293303 # DEPENDENCYPART_SIBL
(18,14),(18,20),0.0433031 # DEPENDENCYPART_SIBL
(18,15),(18,16),0.104957 # DEPENDENCYPART_SIBL
(18,15),(18,17),0.104605 # DEPENDENCYPART_SIBL
(18,15),(18,20),0.0174325 # DEPENDENCYPART_SIBL
(18,16),(18,17),0.293303 # DEPENDENCYPART_SIBL
(18,16),(18,20),0.0433031 # DEPENDENCYPART_SIBL
(18,17),(18,20),0.0268983 # DEPENDENCYPART_SIBL
(19,7),(19,8),0.0129588 # DEPENDENCYPART_SIBL
(19,7),(19,9),0.464905 # DEPENDENCYPART_SIBL
(19,7),(19,10),0.0122757 # DEPENDENCYPART_SIBL
(19,7),(19,11),0.190771 # DEPENDENCYPART_SIBL
(19,7),(19,12),0.0111781 # DEPENDENCYPART_SIBL
(19,7),(19,13),0.190771 # DEPENDENCYPART_SIBL
(19,7),(19,14),0.0129588 # DEPENDENCYPART_SIBL
(19,7),(19,15),0.138025 # DEPENDENCYPART_SIBL
(19,7),(19,16),0.0129588 # DEPENDENCYPART_SIBL
(19,7),(19,17),0.464905 # DEPENDENCYPART_SIBL
(19,7),(19,18),0.158237 # DEPENDENCYPART_SIBL
(19,7),(19,20),0.00427135 # DEPENDENCYPART_SIBL
(19,7),(19,21),-0.00333212 # DEPENDENCYPART_SIBL
(19,8),(19,9),0.481183 # DEPENDENCYPART_SIBL
(19,8),(19,10),-0.0182806 # DEPENDENCYPART_SIBL
(19,8),(19,11),0.641685 # DEPENDENCYPART_SIBL
(19,8),(19,12),-0.0206312 # DEPENDENCYPART_SIBL
(19,8),(19,13),0.641685 # DEPENDENCYPART_SIBL
(19,8),(19,14),-0.0181439 # DEPENDENCYPART_SIBL
(19,8),(19,15),0.794004 # DEPENDENCYPART_SIBL
(19,8),(19,16),-0.0181439 # DEPENDENCYPART_SIBL
(19,8),(19,17),0.481183 # DEPENDENCYPART_SIBL
(19,8),(19,18),0.0486198 # DEPENDENCYPART_SIBL
(19,8),(19,20),0.0446879 # DEPENDENCYPART_SIBL
(19,8),(19,21),0.0028478 # DEPENDENCYPART_SIBL
(19,9),(19,10),-0.0202215 # DEPENDENCYPART_SIBL
(19,9),(19,11),0.00488183 # DEPENDENCYPART_SIBL
(19,9),(19,12),-0.02187 # DEPENDENCYPART_SIBL
(19,9),(19,13),0.00488183 # DEPENDENCYPART_SIBL
(19,9),(19,14),-0.0200849 # DEPENDENCYPART_SIBL
(19,9),(19,15),0.152665 # DEPENDENCYPART_SIBL
(19,9),(19,16),-0.0200849 # DEPENDENCYPART_SIBL
(19,9),(19,17),0.872954 # DEPENDENCYPART_SIBL
(19,9),(19,18),-0.0229384 # DEPENDENCYPART_SIBL
(19,9),(19,20),-0.00911639 # DEPENDENCYPART_SIBL
(19,9),(19,21),-0.0339284 # DEPENDENCYPART_SIBL
(19,10),(19,11),0.641685 # DEPENDENCYPART_SIBL
(19,10),(19,12),-0.0206312 # DEPENDENCYPART_SIBL
(19,10),(19,13),0.641685 # DEPENDENCYPART_SIBL
(19,10),(19,14),-0.0181439 # DEPENDENCYPART_SIBL
(19,10),(19,15),0.794004 # DEPENDENCYPART_SIBL
(19,10),(19,16),-0.0181439 # DEPENDENCYPART_SIBL
(19,10),(19,17),0.481183 # DEPENDENCYPART_SIBL
(19,10),(19,18),0.0486198 # DEPENDENCYPART_SIBL
(19,10),(19,20),0.0446878 # DEPENDENCYPART_SIBL
(19,10),(19,21),0.00284772 # DEPENDENCYPART_SIBL
(19,11),(19,12),0.0550982 # DEPENDENCYPART_SIBL
(19,11),(19,13),0.045632 # DEPENDENCYPART_SIBL
(19,11),(19,14),0.0568877 # DEPENDENCYPART_SIBL
(19,11),(19,15),0.231586 # DEPENDENCYPART_SIBL
(19,11),(19,16),0.0568877 # DEPENDENCYPART_SIBL
(19,11),(19,17),0.0824608 # DEPENDENCYPART_SIBL
(19,11),(19,18),0.0277231 # DEPENDENCYPART_SIBL
(19,11),(19,20),-0.00794257 # DEPENDENCYPART_SIBL
(19,11),(19,21),-0.00907974 # DEPENDENCYPART_SIBL
(19,12),(19,13),0.641685 # DEPENDENCYPART_SIBL
(19,12),(19,14),-0.0181439 # DEPENDENCYPART_SIBL
(19,12),(19,15),0.794004 # DEPENDENCYPART_SIBL
(19,12),(19,16),-0.0181439 # DEPENDENCYPART_SIBL
(19,12),(19,17),0.481183 # DEPENDENCYPART_SIBL
(19,12),(19,18),0.0486198 # DEPENDENCYPART_SIBL
(19,12),(19,20),0.0446879 # DEPENDENCYPART_SIBL
(19,12),(19,21),0.00283019 # DEPENDENCYPART_SIBL
(19,13),(19,14),0.0568877 # DEPENDENCYPART_SIBL
(19,13),(19,15),0.231586 # DEPENDENCYPART_SIBL
(19,13),(19,16),0.0568877 # DEPENDENCYPART_SIBL
(19,13),(19,17),0.0824608 # DEPENDENCYPART_SIBL
(19,13),(19,18),0.0277231 # DEPENDENCYPART_SIBL
(19,13),(19,20),-0.00794257 # DEPENDENCYPART_SIBL
(19,13),(19,21),-0.00907974 # DEPENDENCYPART_SIBL
(19,14),(19,15),0.794004 # DEPENDENCYPART_SIBL
(19,14),(19,16),-0.0181439 # DEPENDENCYPART_SIBL
(19,14),(19,17),0.481183 # DEPENDENCYPART_SIBL
(19,14),(19,18),0.0486198 # DEPENDENCYPART_SIBL
(19,14),(19,20),0.0446879 # DEPENDENCYPART_SIBL
(19,14),(19,21),0.0028478 # DEPENDENCYPART_SIBL
(19,15),(19,16),0.102954 # DEPENDENCYPART_SIBL
(19,15),(19,17),0.266885 # DEPENDENCYPART_SIBL
(19,15),(19,18),0.00529305 # DEPENDENCYPART_SIBL
(19,15),(19,20),0.0318916 # DEPENDENCYPART_SIBL
(19,15),(19,21),-0.00800458 # DEPENDENCYPART_SIBL
(19,16),(19,17),0.481183 # DEPENDENCYPART_SIBL
(19,16),(19,18),0.0486198 # DEPENDENCYPART_SIBL
(19,16),(19,20),0.0446879 # DEPENDENCYPART_SIBL
(19,16),(19,21),0.0028478 # DEPENDENCYPART_SIBL
(19,17),(19,18),-0.0229384 # DEPENDENCYPART_SIBL
(19,17),(19,20),-0.00911639 # DEPENDENCYPART_SIBL
(19,17),(19,21),-0.0339284 # DEPENDENCYPART_SIBL
(19,18),(19,20),0.00021634 # DEPENDENCYPART_SIBL
(19,18),(19,21),-0.00413792 # DEPENDENCYPART_SIBL
(19,20),(19,21),0.0547329 # DEPENDENCYPART_SIBL
(20,1),(20,2),0.0200178 # DEPENDENCYPART_SIBL
(20,1),(20,10),0.0547199 # DEPENDENCYPART_SIBL
(20,1),(20,14),0.0547199 # DEPENDENCYPART_SIBL
(20,1),(20,15),0.0620646 # DEPENDENCYPART_SIBL
(20,1),(20,16),0.0547199 # DEPENDENCYPART_SIBL
(20,1),(20,17),0.171586 # DEPENDENCYPART_SIBL
(20,1),(20,18),0.0284389 # DEPENDENCYPART_SIBL
(20,1),(20,19),0.052922 # DEPENDENCYPART_SIBL
(20,2),(20,10),0.214698 # DEPENDENCYPART_SIBL
(20,2),(20,14),0.214698 # DEPENDENCYPART_SIBL
(20,2),(20,15),0.19913 # DEPENDENCYPART_SIBL
(20,2),(20,16),0.214698 # DEPENDENCYPART_SIBL
(20,2),(20,17),0.109403 # DEPENDENCYPART_SIBL
(20,2),(20,18),0.0985023 # DEPENDENCYPART_SIBL
(20,2),(20,19),0.209595 # DEPENDENCYPART_SIBL
(20,10),(20,14),0.0768445 # DEPENDENCYPART_SIBL
(20,10),(20,15),0.436412 # DEPENDENCYPART_SIBL
(20,10),(20,16),0.0768445 # DEPENDENCYPART_SIBL
(20,10),(20,17),0.293292 # DEPENDENCYPART_SIBL
(20,10),(20,18),0.0266269 # DEPENDENCYPART_SIBL
(20,10),(20,19),0.0753229 # DEPENDENCYPART_SIBL
(20,14),(20,15),0.436412 # DEPENDENCYPART_SIBL
(20,14),(20,16),0.0768445 # DEPENDENCYPART_SIBL
(20,14),(20,17),0.293292 # DEPENDENCYPART_SIBL
(20,14),(20,18),0.0266269 # DEPENDENCYPART_SIBL
(20,14),(20,19),0.0753229 # DEPENDENCYPART_SIBL
(20,15),(20,16),0.104957 # DEPENDENCYPART_SIBL
(20,15),(20,17),0.104599 # DEPENDENCYPART_SIBL
(20,15),(20,18),0.0299817 # DEPENDENCYPART_SIBL
(20,15),(20,19),0.103159 # DEPENDENCYPART_SIBL
(20,16),(20,17),0.293292 # DEPENDENCYPART_SIBL
(20,16),(20,18),0.0266269 # DEPENDENCYPART_SIBL
(20,16),(20,19),0.0753229 # DEPENDENCYPART_SIBL
(20,17),(20,18),0.00619076 # DEPENDENCYPART_SIBL
(20,17),(20,19),-0.010072 # DEPENDENCYPART_SIBL
(20,18),(20,19),0.0118058 # DEPENDENCYPART_SIBL
(21,3),(21,4),-0.0134197 # DEPENDENCYPART_SIBL
(21,3),(21,7),-0.425641 # DEPENDENCYPART_SIBL
(21,3),(21,8),-0.0134197 # DEPENDENCYPART_SIBL
(21,3),(21,9),0.491214 # DEPENDENCYPART_SIBL
(21,3),(21,10),-0.0135563 # DEPENDENCYPART_SIBL
(21,3),(21,11),0.514961 # DEPENDENCYPART_SIBL
(21,3),(21,12),-0.018055 # DEPENDENCYPART_SIBL
(21,3),(21,13),0.514961 # DEPENDENCYPART_SIBL
(21,3),(21,14),-0.0134197 # DEPENDENCYPART_SIBL
(21,3),(21,15),0.510434 # DEPENDENCYPART_SIBL
(21,3),(21,16),-0.0134197 # DEPENDENCYPART_SIBL
(21,3),(21,17),0.491214 # DEPENDENCYPART_SIBL
(21,3),(21,18),0.109453 # DEPENDENCYPART_SIBL
(21,3),(21,19),-0.0134197 # DEPENDENCYPART_SIBL
(21,3),(21,20),0.107058 # DEPENDENCYPART_SIBL
(21,3),(21,23),-0.00417199 # DEPENDENCYPART_SIBL
(21,3),(21,24),-0.00417199 # DEPENDENCYPART_SIBL
(21,4),(21,7),-0.317408 # DEPENDENCYPART_SIBL
(21,4),(21,8),-0.018337 # DEPENDENCYPART_SIBL
(21,4),(21,9),0.48088 # DEPENDENCYPART_SIBL
(21,4),(21,10),-0.0184737 # DEPENDENCYPART_SIBL
(21,4),(21,11),0.641372 # DEPENDENCYPART_SIBL
(21,4),(21,12),-0.0208243 # DEPENDENCYPART_SIBL
(21,4),(21,13),0.641372 # DEPENDENCYPART_SIBL
(21,4),(21,14),-0.018337 # DEPENDENCYPART_SIBL
(21,4),(21,15),0.793749 # DEPENDENCYPART_SIBL
(21,4),(21,16),-0.018337 # DEPENDENCYPART_SIBL
(21,4),(21,17),0.48088 # DEPENDENCYPART_SIBL
(21,4),(21,18),0.0483848 # DEPENDENCYPART_SIBL
(21,4),(21,19),-0.0180829 # DEPENDENCYPART_SIBL
(21,4),(21,20),0.0459897 # DEPENDENCYPART_SIBL
(21,4),(21,23),0.0033149 # DEPENDENCYPART_SIBL
(21,4),(21,24),0.00337552 # DEPENDENCYPART_SIBL
(21,7),(21,8),0.00882138 # DEPENDENCYPART_SIBL
(21,7),(21,9),0.460663 # DEPENDENCYPART_SIBL
(21,7),(21,10),0.0081383 # DEPENDENCYPART_SIBL
(21,7),(21,11),0.186521 # DEPENDENCYPART_SIBL
(21,7),(21,12),0.00704068 # DEPENDENCYPART_SIBL
(21,7),(21,13),0.186521 # DEPENDENCYPART_SIBL
(21,7),(21,14),0.00882138 # DEPENDENCYPART_SIBL
(21,7),(21,15),0.133826 # DEPENDENCYPART_SIBL
(21,7),(21,16),0.00882138 # DEPENDENCYPART_SIBL
(21,7),(21,17),0.460663 # DEPENDENCYPART_SIBL
(21,7),(21,18),0.154053 # DEPENDENCYPART_SIBL
(21,7),(21,19),0.00882138 # DEPENDENCYPART_SIBL
(21,7),(21,20),0.151657 # DEPENDENCYPART_SIBL
(21,7),(21,23),-0.00332253 # DEPENDENCYPART_SIBL
(21,7),(21,24),-0.00332253 # DEPENDENCYPART_SIBL
(21,8),(21,9),0.48088 # DEPENDENCYPART_SIBL
(21,8),(21,10),-0.0184737 # DEPENDENCYPART_SIBL
(21,8),(21,11),0.641372 # DEPENDENCYPART_SIBL
(21,8),(21,12),-0.0208243 # DEPENDENCYPART_SIBL
(21,8),(21,13),0.641372 # DEPENDENCYPART_SIBL
(21,8),(21,14),-0.018337 # DEPENDENCYPART_SIBL
(21,8),(21,15),0.793749 # DEPENDENCYPART_SIBL
(21,8),(21,16),-0.018337 # DEPENDENCYPART_SIBL
(21,8),(21,17),0.48088 # DEPENDENCYPART_SIBL
(21,8),(21,18),0.0483848 # DEPENDENCYPART_SIBL
(21,8),(21,19),-0.0180829 # DEPENDENCYPART_SIBL
(21,8),(21,20),0.0459897 # DEPENDENCYPART_SIBL
(21,8),(21,23),0.0033149 # DEPENDENCYPART_SIBL
(21,8),(21,24),0.00337552 # DEPENDENCYPART_SIBL
(21,9),(21,10),-0.0205736 # DEPENDENCYPART_SIBL
(21,9),(21,11),0.00442572 # DEPENDENCYPART_SIBL
(21,9),(21,12),-0.0222221 # DEPENDENCYPART_SIBL
(21,9),(21,13),0.00442572 # DEPENDENCYPART_SIBL
(21,9),(21,14),-0.020437 # DEPENDENCYPART_SIBL
(21,9),(21,15),0.152239 # DEPENDENCYPART_SIBL
(21,9),(21,16),-0.020437 # DEPENDENCYPART_SIBL
(21,9),(21,17),0.872503 # DEPENDENCYPART_SIBL
(21,9),(21,18),-0.0233325 # DEPENDENCYPART_SIBL
(21,9),(21,19),-0.020998 # DEPENDENCYPART_SIBL
(21,9),(21,20),-0.0257266 # DEPENDENCYPART_SIBL
(21,9),(21,23),-0.033116 # DEPENDENCYPART_SIBL
(21,9),(21,24),-0.0330698 # DEPENDENCYPART_SIBL
(21,10),(21,11),0.641372 # DEPENDENCYPART_SIBL
(21,10),(21,12),-0.0208243 # DEPENDENCYPART_SIBL
(21,10),(21,13),0.641372 # DEPENDENCYPART_SIBL
(21,10),(21,14),-0.018337 # DEPENDENCYPART_SIBL
(21,10),(21,15),0.793749 # DEPENDENCYPART_SIBL
(21,10),(21,16),-0.018337 # DEPENDENCYPART_SIBL
(21,10),(21,17),0.48088 # DEPENDENCYPART_SIBL
(21,10),(21,18),0.0483848 # DEPENDENCYPART_SIBL
(21,10),(21,19),-0.0180829 # DEPENDENCYPART_SIBL
(21,10),(21,20),0.0459897 # DEPENDENCYPART_SIBL
(21,10),(21,23),0.00331482 # DEPENDENCYPART_SIBL
