# _root_ A Kreml 234 szobáját egy 180_millió dolláros megrendelés keretében rekordidő , nyolc hónap alatt varázsolta újjá , s ezért magától Jelcintől vehetett át kitüntetést .
#goldHeads=2,4,4,15,8,7,8,9,15,14,14,13,14,15,18,15,18,0,22,22,22,18,22,22,18,
#predictedHeads=2,4,4,15,8,7,8,9,15,15,15,13,14,15,18,15,18,0,22,21,22,18,22,22,18,
(9,1),(9,7),0.129722 # DEPENDENCYPART_SIBL
(9,1),(9,8),0.0129834 # DEPENDENCYPART_SIBL
(9,1),(9,10),-0.00331962 # DEPENDENCYPART_SIBL
(9,2),(9,3),-0.00823708 # DEPENDENCYPART_SIBL
(9,2),(9,4),-0.0216762 # DEPENDENCYPART_SIBL
(9,2),(9,5),-0.179553 # DEPENDENCYPART_SIBL
(9,2),(9,6),-0.00823708 # DEPENDENCYPART_SIBL
(9,2),(9,7),0.0171008 # DEPENDENCYPART_SIBL
(9,2),(9,8),-0.0216762 # DEPENDENCYPART_SIBL
(9,2),(9,10),0.002362 # DEPENDENCYPART_SIBL
(9,3),(9,4),-0.0159866 # DEPENDENCYPART_SIBL
(9,3),(9,5),-0.300775 # DEPENDENCYPART_SIBL
(9,3),(9,6),0.0275391 # DEPENDENCYPART_SIBL
(9,3),(9,7),-0.0674142 # DEPENDENCYPART_SIBL
(9,3),(9,8),-0.0159866 # DEPENDENCYPART_SIBL
(9,3),(9,10),0.0154455 # DEPENDENCYPART_SIBL
(9,4),(9,5),-0.173002 # DEPENDENCYPART_SIBL
(9,4),(9,6),-0.00168593 # DEPENDENCYPART_SIBL
(9,4),(9,7),0.0306121 # DEPENDENCYPART_SIBL
(9,4),(9,8),-0.0181433 # DEPENDENCYPART_SIBL
(9,4),(9,10),0.00333291 # DEPENDENCYPART_SIBL
(9,5),(9,6),-0.0659192 # DEPENDENCYPART_SIBL
(9,5),(9,7),0.221617 # DEPENDENCYPART_SIBL
(9,5),(9,8),0.00652243 # DEPENDENCYPART_SIBL
(9,5),(9,10),-0.0176379 # DEPENDENCYPART_SIBL
(9,6),(9,7),-0.0674142 # DEPENDENCYPART_SIBL
(9,6),(9,8),-0.0159866 # DEPENDENCYPART_SIBL
(9,6),(9,10),0.0154455 # DEPENDENCYPART_SIBL
(9,7),(9,8),-0.00759226 # DEPENDENCYPART_SIBL
(9,7),(9,10),-0.00451351 # DEPENDENCYPART_SIBL
(9,8),(9,10),0.00333291 # DEPENDENCYPART_SIBL
(10,1),(10,2),0.00504413 # DEPENDENCYPART_SIBL
(10,1),(10,3),-0.00207841 # DEPENDENCYPART_SIBL
(10,1),(10,4),0.0129962 # DEPENDENCYPART_SIBL
(10,1),(10,5),-0.495438 # DEPENDENCYPART_SIBL
(10,1),(10,6),-0.00207841 # DEPENDENCYPART_SIBL
(10,1),(10,7),0.129723 # DEPENDENCYPART_SIBL
(10,1),(10,8),0.0129962 # DEPENDENCYPART_SIBL
(10,1),(10,9),0.0129762 # DEPENDENCYPART_SIBL
(10,1),(10,11),-0.00907785 # DEPENDENCYPART_SIBL
(10,1),(10,12),-0.0176286 # DEPENDENCYPART_SIBL
(10,1),(10,13),0.00509327 # DEPENDENCYPART_SIBL
(10,1),(10,14),-0.0180194 # DEPENDENCYPART_SIBL
(10,1),(10,17),-0.00907785 # DEPENDENCYPART_SIBL
(10,1),(10,22),0.0086177 # DEPENDENCYPART_SIBL
(10,1),(10,25),-0.0285178 # DEPENDENCYPART_SIBL
(10,2),(10,3),-0.00822227 # DEPENDENCYPART_SIBL
(10,2),(10,4),-0.0216389 # DEPENDENCYPART_SIBL
(10,2),(10,5),-0.179538 # DEPENDENCYPART_SIBL
(10,2),(10,6),-0.00822227 # DEPENDENCYPART_SIBL
(10,2),(10,7),0.0171166 # DEPENDENCYPART_SIBL
(10,2),(10,8),-0.0216389 # DEPENDENCYPART_SIBL
(10,2),(10,9),-0.0231094 # DEPENDENCYPART_SIBL
(10,2),(10,11),-0.00432225 # DEPENDENCYPART_SIBL
(10,2),(10,12),0.055586 # DEPENDENCYPART_SIBL
(10,2),(10,13),0.0186444 # DEPENDENCYPART_SIBL
(10,2),(10,14),0.022553 # DEPENDENCYPART_SIBL
(10,2),(10,17),-0.00432225 # DEPENDENCYPART_SIBL
(10,2),(10,22),0.00796473 # DEPENDENCYPART_SIBL
(10,2),(10,25),0.0402605 # DEPENDENCYPART_SIBL
(10,3),(10,4),-0.0159741 # DEPENDENCYPART_SIBL
(10,3),(10,5),-0.300775 # DEPENDENCYPART_SIBL
(10,3),(10,6),0.0275393 # DEPENDENCYPART_SIBL
(10,3),(10,7),-0.0674133 # DEPENDENCYPART_SIBL
(10,3),(10,8),-0.0159741 # DEPENDENCYPART_SIBL
(10,3),(10,9),-0.0159751 # DEPENDENCYPART_SIBL
(10,3),(10,11),-0.0196372 # DEPENDENCYPART_SIBL
(10,3),(10,12),0.0187676 # DEPENDENCYPART_SIBL
(10,3),(10,13),0.0229626 # DEPENDENCYPART_SIBL
(10,3),(10,14),-0.00881458 # DEPENDENCYPART_SIBL
(10,3),(10,17),-0.0196372 # DEPENDENCYPART_SIBL
(10,3),(10,22),0.00136303 # DEPENDENCYPART_SIBL
(10,3),(10,25),0.0208839 # DEPENDENCYPART_SIBL
(10,4),(10,5),-0.172987 # DEPENDENCYPART_SIBL
(10,4),(10,6),-0.00167112 # DEPENDENCYPART_SIBL
(10,4),(10,7),0.0306279 # DEPENDENCYPART_SIBL
(10,4),(10,8),-0.018106 # DEPENDENCYPART_SIBL
(10,4),(10,9),-0.0195764 # DEPENDENCYPART_SIBL
(10,4),(10,11),-0.00283849 # DEPENDENCYPART_SIBL
(10,4),(10,12),0.0564362 # DEPENDENCYPART_SIBL
(10,4),(10,13),0.0196153 # DEPENDENCYPART_SIBL
(10,4),(10,14),0.0234031 # DEPENDENCYPART_SIBL
(10,4),(10,17),-0.00283849 # DEPENDENCYPART_SIBL
(10,4),(10,22),0.00765816 # DEPENDENCYPART_SIBL
(10,4),(10,25),0.041682 # DEPENDENCYPART_SIBL
(10,5),(10,6),-0.0659188 # DEPENDENCYPART_SIBL
(10,5),(10,7),0.221618 # DEPENDENCYPART_SIBL
(10,5),(10,8),0.00653525 # DEPENDENCYPART_SIBL
(10,5),(10,9),0.00652476 # DEPENDENCYPART_SIBL
(10,5),(10,11),-0.0903453 # DEPENDENCYPART_SIBL
(10,5),(10,12),-0.0306518 # DEPENDENCYPART_SIBL
(10,5),(10,13),-0.00922152 # DEPENDENCYPART_SIBL
(10,5),(10,14),-0.0423065 # DEPENDENCYPART_SIBL
(10,5),(10,17),-0.0903453 # DEPENDENCYPART_SIBL
(10,5),(10,22),-0.031159 # DEPENDENCYPART_SIBL
(10,5),(10,25),-0.0954496 # DEPENDENCYPART_SIBL
(10,6),(10,7),-0.0674133 # DEPENDENCYPART_SIBL
(10,6),(10,8),-0.0159741 # DEPENDENCYPART_SIBL
(10,6),(10,9),-0.0159751 # DEPENDENCYPART_SIBL
(10,6),(10,11),-0.0196372 # DEPENDENCYPART_SIBL
(10,6),(10,12),0.0187676 # DEPENDENCYPART_SIBL
(10,6),(10,13),0.0229626 # DEPENDENCYPART_SIBL
(10,6),(10,14),-0.00881458 # DEPENDENCYPART_SIBL
(10,6),(10,17),-0.0196372 # DEPENDENCYPART_SIBL
(10,6),(10,22),0.00136303 # DEPENDENCYPART_SIBL
(10,6),(10,25),0.0208839 # DEPENDENCYPART_SIBL
(10,7),(10,8),-0.00757855 # DEPENDENCYPART_SIBL
(10,7),(10,9),-0.00758015 # DEPENDENCYPART_SIBL
(10,7),(10,11),-0.0331257 # DEPENDENCYPART_SIBL
(10,7),(10,12),0.00667743 # DEPENDENCYPART_SIBL
(10,7),(10,13),0.00390389 # DEPENDENCYPART_SIBL
(10,7),(10,14),-0.0162132 # DEPENDENCYPART_SIBL
(10,7),(10,17),-0.0331257 # DEPENDENCYPART_SIBL
(10,7),(10,22),-0.0402547 # DEPENDENCYPART_SIBL
(10,7),(10,25),-0.00520685 # DEPENDENCYPART_SIBL
(10,8),(10,9),-0.0195764 # DEPENDENCYPART_SIBL
(10,8),(10,11),-0.00283849 # DEPENDENCYPART_SIBL
(10,8),(10,12),0.0564362 # DEPENDENCYPART_SIBL
(10,8),(10,13),0.0196153 # DEPENDENCYPART_SIBL
(10,8),(10,14),0.0234031 # DEPENDENCYPART_SIBL
(10,8),(10,17),-0.00283849 # DEPENDENCYPART_SIBL
(10,8),(10,22),0.00765816 # DEPENDENCYPART_SIBL
(10,8),(10,25),0.041682 # DEPENDENCYPART_SIBL
(10,9),(10,11),-0.00644491 # DEPENDENCYPART_SIBL
(10,9),(10,12),0.0564343 # DEPENDENCYPART_SIBL
(10,9),(10,13),0.0165062 # DEPENDENCYPART_SIBL
(10,9),(10,14),0.0234013 # DEPENDENCYPART_SIBL
(10,9),(10,17),-0.00644491 # DEPENDENCYPART_SIBL
(10,9),(10,22),0.00707839 # DEPENDENCYPART_SIBL
(10,9),(10,25),0.0385718 # DEPENDENCYPART_SIBL
(10,11),(10,12),0.162803 # DEPENDENCYPART_SIBL
(10,11),(10,13),0.342674 # DEPENDENCYPART_SIBL
(10,11),(10,14),0.0696716 # DEPENDENCYPART_SIBL
(10,11),(10,17),0.00482316 # DEPENDENCYPART_SIBL
(10,11),(10,22),0.425607 # DEPENDENCYPART_SIBL
(10,11),(10,25),0.0787788 # DEPENDENCYPART_SIBL
(10,12),(10,13),0.0251025 # DEPENDENCYPART_SIBL
(10,12),(10,14),0.0257223 # DEPENDENCYPART_SIBL
(10,12),(10,17),0.0570459 # DEPENDENCYPART_SIBL
(10,12),(10,22),0.0507264 # DEPENDENCYPART_SIBL
(10,12),(10,25),0.120622 # DEPENDENCYPART_SIBL
(10,13),(10,14),0.0277267 # DEPENDENCYPART_SIBL
(10,13),(10,17),0.102747 # DEPENDENCYPART_SIBL
(10,13),(10,22),0.058037 # DEPENDENCYPART_SIBL
(10,13),(10,25),0.0483807 # DEPENDENCYPART_SIBL
(10,14),(10,17),0.109598 # DEPENDENCYPART_SIBL
(10,14),(10,22),0.0629291 # DEPENDENCYPART_SIBL
(10,14),(10,25),0.163857 # DEPENDENCYPART_SIBL
(10,17),(10,22),0.425607 # DEPENDENCYPART_SIBL
(10,17),(10,25),0.0787788 # DEPENDENCYPART_SIBL
(10,22),(10,25),0.211166 # DEPENDENCYPART_SIBL
(12,8),(12,9),0.0716476 # DEPENDENCYPART_SIBL
(12,8),(12,10),0.0698088 # DEPENDENCYPART_SIBL
(12,8),(12,11),0.298154 # DEPENDENCYPART_SIBL
(12,8),(12,17),0.0860931 # DEPENDENCYPART_SIBL
(12,8),(12,21),0.0227659 # DEPENDENCYPART_SIBL
(12,8),(12,22),0.0677808 # DEPENDENCYPART_SIBL
(12,8),(12,24),0.0227659 # DEPENDENCYPART_SIBL
(12,8),(12,25),0.035077 # DEPENDENCYPART_SIBL
(12,9),(12,10),0.073746 # DEPENDENCYPART_SIBL
(12,9),(12,11),0.299343 # DEPENDENCYPART_SIBL
(12,9),(12,17),0.0824792 # DEPENDENCYPART_SIBL
(12,9),(12,21),0.0196488 # DEPENDENCYPART_SIBL
(12,9),(12,22),0.0671936 # DEPENDENCYPART_SIBL
(12,9),(12,24),0.0196488 # DEPENDENCYPART_SIBL
(12,9),(12,25),0.0319612 # DEPENDENCYPART_SIBL
(12,10),(12,11),0.298154 # DEPENDENCYPART_SIBL
(12,10),(12,17),0.0860931 # DEPENDENCYPART_SIBL
(12,10),(12,21),0.0227659 # DEPENDENCYPART_SIBL
(12,10),(12,22),0.0677808 # DEPENDENCYPART_SIBL
(12,10),(12,24),0.0227659 # DEPENDENCYPART_SIBL
(12,10),(12,25),0.035077 # DEPENDENCYPART_SIBL
(12,11),(12,17),-0.00306893 # DEPENDENCYPART_SIBL
(12,11),(12,21),-0.0115503 # DEPENDENCYPART_SIBL
(12,11),(12,22),0.0141389 # DEPENDENCYPART_SIBL
(12,11),(12,24),-0.0115503 # DEPENDENCYPART_SIBL
(12,11),(12,25),0.015012 # DEPENDENCYPART_SIBL
(12,17),(12,21),0.0555251 # DEPENDENCYPART_SIBL
(12,17),(12,22),0.353669 # DEPENDENCYPART_SIBL
(12,17),(12,24),0.0555251 # DEPENDENCYPART_SIBL
(12,17),(12,25),0.0575591 # DEPENDENCYPART_SIBL
(12,21),(12,22),0.0460144 # DEPENDENCYPART_SIBL
(12,21),(12,24),-0.0403742 # DEPENDENCYPART_SIBL
(12,21),(12,25),-0.00693769 # DEPENDENCYPART_SIBL
(12,22),(12,24),-0.00316316 # DEPENDENCYPART_SIBL
(12,22),(12,25),0.110091 # DEPENDENCYPART_SIBL
(12,24),(12,25),-0.00693769 # DEPENDENCYPART_SIBL
(13,1),(13,2),0.0123024 # DEPENDENCYPART_SIBL
(13,1),(13,3),0.00889168 # DEPENDENCYPART_SIBL
(13,1),(13,5),-0.496258 # DEPENDENCYPART_SIBL
(13,1),(13,6),0.00889168 # DEPENDENCYPART_SIBL
(13,1),(13,7),0.128918 # DEPENDENCYPART_SIBL
(13,1),(13,8),0.0202545 # DEPENDENCYPART_SIBL
(13,1),(13,9),0.0202345 # DEPENDENCYPART_SIBL
(13,1),(13,10),0.0202545 # DEPENDENCYPART_SIBL
(13,1),(13,11),0.1879 # DEPENDENCYPART_SIBL
(13,1),(13,12),0.0304687 # DEPENDENCYPART_SIBL
(13,2),(13,3),0.0153847 # DEPENDENCYPART_SIBL
(13,2),(13,5),-0.173724 # DEPENDENCYPART_SIBL
(13,2),(13,6),0.0153847 # DEPENDENCYPART_SIBL
(13,2),(13,7),0.0229596 # DEPENDENCYPART_SIBL
(13,2),(13,8),-0.00754113 # DEPENDENCYPART_SIBL
(13,2),(13,9),-0.00901158 # DEPENDENCYPART_SIBL
(13,2),(13,10),-0.00754113 # DEPENDENCYPART_SIBL
(13,2),(13,11),0.638525 # DEPENDENCYPART_SIBL
(13,2),(13,12),0.0349459 # DEPENDENCYPART_SIBL
(13,3),(13,5),-0.287557 # DEPENDENCYPART_SIBL
(13,3),(13,6),0.0595831 # DEPENDENCYPART_SIBL
(13,3),(13,7),-0.0541659 # DEPENDENCYPART_SIBL
(13,3),(13,8),0.0143221 # DEPENDENCYPART_SIBL
(13,3),(13,9),0.0143211 # DEPENDENCYPART_SIBL
(13,3),(13,10),0.0143221 # DEPENDENCYPART_SIBL
(13,3),(13,11),0.398063 # DEPENDENCYPART_SIBL
(13,3),(13,12),0.0745144 # DEPENDENCYPART_SIBL
(13,5),(13,6),-0.0545935 # DEPENDENCYPART_SIBL
(13,5),(13,7),0.221058 # DEPENDENCYPART_SIBL
(13,5),(13,8),0.0141468 # DEPENDENCYPART_SIBL
(13,5),(13,9),0.0141363 # DEPENDENCYPART_SIBL
(13,5),(13,10),0.0141468 # DEPENDENCYPART_SIBL
(13,5),(13,11),0.346243 # DEPENDENCYPART_SIBL
(13,5),(13,12),-0.0357042 # DEPENDENCYPART_SIBL
(13,6),(13,7),-0.0541659 # DEPENDENCYPART_SIBL
(13,6),(13,8),0.0143221 # DEPENDENCYPART_SIBL
(13,6),(13,9),0.0143211 # DEPENDENCYPART_SIBL
(13,6),(13,10),0.0143221 # DEPENDENCYPART_SIBL
(13,6),(13,11),0.398063 # DEPENDENCYPART_SIBL
(13,6),(13,12),0.0745144 # DEPENDENCYPART_SIBL
(13,7),(13,8),0.000655478 # DEPENDENCYPART_SIBL
(13,7),(13,9),0.000653872 # DEPENDENCYPART_SIBL
(13,7),(13,10),0.000655478 # DEPENDENCYPART_SIBL
(13,7),(13,11),0.434022 # DEPENDENCYPART_SIBL
(13,7),(13,12),0.0146757 # DEPENDENCYPART_SIBL
(13,8),(13,9),-0.00547865 # DEPENDENCYPART_SIBL
(13,8),(13,10),-0.00400821 # DEPENDENCYPART_SIBL
(13,8),(13,11),0.645112 # DEPENDENCYPART_SIBL
(13,8),(13,12),0.0414971 # DEPENDENCYPART_SIBL
(13,9),(13,10),-0.00669762 # DEPENDENCYPART_SIBL
(13,9),(13,11),0.642982 # DEPENDENCYPART_SIBL
(13,9),(13,12),0.0414837 # DEPENDENCYPART_SIBL
(13,10),(13,11),0.645112 # DEPENDENCYPART_SIBL
(13,10),(13,12),0.0414971 # DEPENDENCYPART_SIBL
(13,11),(13,12),-0.0276203 # DEPENDENCYPART_SIBL
(14,4),(14,6),-0.101522 # DEPENDENCYPART_SIBL
(14,4),(14,7),-0.0504058 # DEPENDENCYPART_SIBL
(14,4),(14,8),-0.22265 # DEPENDENCYPART_SIBL
(14,4),(14,9),-0.224119 # DEPENDENCYPART_SIBL
(14,4),(14,10),-0.22265 # DEPENDENCYPART_SIBL
(14,4),(14,11),0.287514 # DEPENDENCYPART_SIBL
(14,4),(14,12),-0.0989431 # DEPENDENCYPART_SIBL
(14,4),(14,13),-0.233046 # DEPENDENCYPART_SIBL
(14,4),(14,17),-0.0383158 # DEPENDENCYPART_SIBL
(14,4),(14,18),-0.0615435 # DEPENDENCYPART_SIBL
(14,4),(14,21),-0.0239186 # DEPENDENCYPART_SIBL
(14,4),(14,22),-0.0104336 # DEPENDENCYPART_SIBL
(14,4),(14,24),-0.0239186 # DEPENDENCYPART_SIBL
(14,6),(14,7),-0.0355022 # DEPENDENCYPART_SIBL
(14,6),(14,8),-0.125547 # DEPENDENCYPART_SIBL
(14,6),(14,9),-0.125547 # DEPENDENCYPART_SIBL
(14,6),(14,10),-0.125547 # DEPENDENCYPART_SIBL
(14,6),(14,11),0.187066 # DEPENDENCYPART_SIBL
(14,6),(14,12),0.019112 # DEPENDENCYPART_SIBL
(14,6),(14,13),-0.128596 # DEPENDENCYPART_SIBL
(14,6),(14,17),-0.0324158 # DEPENDENCYPART_SIBL
(14,6),(14,18),-0.0337126 # DEPENDENCYPART_SIBL
(14,6),(14,21),-0.000409332 # DEPENDENCYPART_SIBL
(14,6),(14,22),0.00208182 # DEPENDENCYPART_SIBL
(14,6),(14,24),-0.000409332 # DEPENDENCYPART_SIBL
(14,7),(14,8),-0.134616 # DEPENDENCYPART_SIBL
(14,7),(14,9),-0.134616 # DEPENDENCYPART_SIBL
(14,7),(14,10),-0.134616 # DEPENDENCYPART_SIBL
(14,7),(14,11),0.169214 # DEPENDENCYPART_SIBL
(14,7),(14,12),-0.0387178 # DEPENDENCYPART_SIBL
(14,7),(14,13),-0.135701 # DEPENDENCYPART_SIBL
(14,7),(14,17),-0.0287969 # DEPENDENCYPART_SIBL
(14,7),(14,18),-0.022826 # DEPENDENCYPART_SIBL
(14,7),(14,21),-0.00673792 # DEPENDENCYPART_SIBL
(14,7),(14,22),-0.00125361 # DEPENDENCYPART_SIBL
(14,7),(14,24),-0.00673792 # DEPENDENCYPART_SIBL
(14,8),(14,9),-0.224119 # DEPENDENCYPART_SIBL
(14,8),(14,10),-0.22265 # DEPENDENCYPART_SIBL
(14,8),(14,11),0.287514 # DEPENDENCYPART_SIBL
(14,8),(14,12),-0.0989431 # DEPENDENCYPART_SIBL
(14,8),(14,13),-0.233046 # DEPENDENCYPART_SIBL
(14,8),(14,17),-0.0383158 # DEPENDENCYPART_SIBL
(14,8),(14,18),-0.0615435 # DEPENDENCYPART_SIBL
(14,8),(14,21),-0.0239186 # DEPENDENCYPART_SIBL
(14,8),(14,22),-0.0104336 # DEPENDENCYPART_SIBL
(14,8),(14,24),-0.0239186 # DEPENDENCYPART_SIBL
(14,9),(14,10),-0.225341 # DEPENDENCYPART_SIBL
(14,9),(14,11),0.285374 # DEPENDENCYPART_SIBL
(14,9),(14,12),-0.0989579 # DEPENDENCYPART_SIBL
(14,9),(14,13),-0.235737 # DEPENDENCYPART_SIBL
(14,9),(14,17),-0.04192 # DEPENDENCYPART_SIBL
(14,9),(14,18),-0.0615698 # DEPENDENCYPART_SIBL
(14,9),(14,21),-0.0270264 # DEPENDENCYPART_SIBL
(14,9),(14,22),-0.0110123 # DEPENDENCYPART_SIBL
(14,9),(14,24),-0.0270264 # DEPENDENCYPART_SIBL
(14,10),(14,11),0.287514 # DEPENDENCYPART_SIBL
(14,10),(14,12),-0.0989431 # DEPENDENCYPART_SIBL
(14,10),(14,13),-0.233046 # DEPENDENCYPART_SIBL
(14,10),(14,17),-0.0383158 # DEPENDENCYPART_SIBL
(14,10),(14,18),-0.0615435 # DEPENDENCYPART_SIBL
(14,10),(14,21),-0.0239186 # DEPENDENCYPART_SIBL
(14,10),(14,22),-0.0104336 # DEPENDENCYPART_SIBL
(14,10),(14,24),-0.0239186 # DEPENDENCYPART_SIBL
(14,11),(14,12),-0.0582776 # DEPENDENCYPART_SIBL
(14,11),(14,13),-0.0687556 # DEPENDENCYPART_SIBL
(14,11),(14,17),-0.0863105 # DEPENDENCYPART_SIBL
(14,11),(14,18),-0.0373836 # DEPENDENCYPART_SIBL
(14,11),(14,21),-0.0417581 # DEPENDENCYPART_SIBL
(14,11),(14,22),-0.0128911 # DEPENDENCYPART_SIBL
(14,11),(14,24),-0.0417581 # DEPENDENCYPART_SIBL
(14,12),(14,13),-0.129757 # DEPENDENCYPART_SIBL
(14,12),(14,17),-0.0348705 # DEPENDENCYPART_SIBL
(14,12),(14,18),-0.0346462 # DEPENDENCYPART_SIBL
(14,12),(14,21),-0.00136418 # DEPENDENCYPART_SIBL
(14,12),(14,22),-0.00136965 # DEPENDENCYPART_SIBL
(14,12),(14,24),-0.00136418 # DEPENDENCYPART_SIBL
(14,13),(14,17),-0.0365969 # DEPENDENCYPART_SIBL
(14,13),(14,18),-0.0602584 # DEPENDENCYPART_SIBL
(14,13),(14,21),-0.0269879 # DEPENDENCYPART_SIBL
(14,13),(14,22),-0.011071 # DEPENDENCYPART_SIBL
(14,13),(14,24),-0.0269879 # DEPENDENCYPART_SIBL
(14,17),(14,18),0.187322 # DEPENDENCYPART_SIBL
(14,17),(14,21),0.137459 # DEPENDENCYPART_SIBL
(14,17),(14,22),0.331669 # DEPENDENCYPART_SIBL
(14,17),(14,24),0.137459 # DEPENDENCYPART_SIBL
(14,18),(14,21),0.0242233 # DEPENDENCYPART_SIBL
(14,18),(14,22),0.0645462 # DEPENDENCYPART_SIBL
(14,18),(14,24),0.0242233 # DEPENDENCYPART_SIBL
(14,21),(14,22),0.143744 # DEPENDENCYPART_SIBL
(14,21),(14,24),0.136957 # DEPENDENCYPART_SIBL
(14,22),(14,24),0.0656923 # DEPENDENCYPART_SIBL
(15,1),(15,2),0.0109958 # DEPENDENCYPART_SIBL
(15,1),(15,3),-0.0349087 # DEPENDENCYPART_SIBL
(15,1),(15,4),0.0174639 # DEPENDENCYPART_SIBL
(15,1),(15,5),-0.14059 # DEPENDENCYPART_SIBL
(15,1),(15,6),-0.0349087 # DEPENDENCYPART_SIBL
(15,1),(15,7),-0.0195374 # DEPENDENCYPART_SIBL
(15,1),(15,8),0.0174639 # DEPENDENCYPART_SIBL
(15,1),(15,9),0.0125179 # DEPENDENCYPART_SIBL
(15,1),(15,10),0.0174639 # DEPENDENCYPART_SIBL
(15,1),(15,11),0.0102192 # DEPENDENCYPART_SIBL
(15,1),(15,12),-0.0316819 # DEPENDENCYPART_SIBL
(15,1),(15,13),0.0073483 # DEPENDENCYPART_SIBL
(15,1),(15,14),0.0627701 # DEPENDENCYPART_SIBL
(15,1),(15,16),-0.00691562 # DEPENDENCYPART_SIBL
(15,1),(15,17),-0.0377119 # DEPENDENCYPART_SIBL
(15,1),(15,18),-0.041538 # DEPENDENCYPART_SIBL
(15,1),(15,19),-0.0260774 # DEPENDENCYPART_SIBL
(15,1),(15,20),-0.0159265 # DEPENDENCYPART_SIBL
(15,1),(15,21),-0.0245112 # DEPENDENCYPART_SIBL
(15,1),(15,22),-0.0134258 # DEPENDENCYPART_SIBL
(15,1),(15,23),0.0322204 # DEPENDENCYPART_SIBL
(15,1),(15,24),-0.0245112 # DEPENDENCYPART_SIBL
(15,1),(15,25),-0.0634118 # DEPENDENCYPART_SIBL
(15,2),(15,3),-0.0132903 # DEPENDENCYPART_SIBL
(15,2),(15,4),-0.0241335 # DEPENDENCYPART_SIBL
(15,2),(15,5),-0.0468002 # DEPENDENCYPART_SIBL
(15,2),(15,6),-0.0132903 # DEPENDENCYPART_SIBL
(15,2),(15,7),0.000765644 # DEPENDENCYPART_SIBL
(15,2),(15,8),-0.0241335 # DEPENDENCYPART_SIBL
(15,2),(15,9),-0.0318922 # DEPENDENCYPART_SIBL
(15,2),(15,10),-0.0241335 # DEPENDENCYPART_SIBL
(15,2),(15,11),0.0964407 # DEPENDENCYPART_SIBL
(15,2),(15,12),-0.0125175 # DEPENDENCYPART_SIBL
(15,2),(15,13),-0.0461353 # DEPENDENCYPART_SIBL
(15,2),(15,14),0.053253 # DEPENDENCYPART_SIBL
(15,2),(15,16),-0.00773741 # DEPENDENCYPART_SIBL
(15,2),(15,17),-0.00291464 # DEPENDENCYPART_SIBL
(15,2),(15,18),-0.0482996 # DEPENDENCYPART_SIBL
(15,2),(15,19),-0.015316 # DEPENDENCYPART_SIBL
(15,2),(15,20),-0.00723281 # DEPENDENCYPART_SIBL
(15,2),(15,21),-0.00606173 # DEPENDENCYPART_SIBL
(15,2),(15,22),-0.0102683 # DEPENDENCYPART_SIBL
(15,2),(15,23),0.0384021 # DEPENDENCYPART_SIBL
(15,2),(15,24),-0.00606173 # DEPENDENCYPART_SIBL
(15,2),(15,25),0.00892851 # DEPENDENCYPART_SIBL
(15,3),(15,4),0.00950272 # DEPENDENCYPART_SIBL
(15,3),(15,5),-0.0867181 # DEPENDENCYPART_SIBL
(15,3),(15,6),-0.0294505 # DEPENDENCYPART_SIBL
(15,3),(15,7),-0.0484559 # DEPENDENCYPART_SIBL
(15,3),(15,8),0.00950272 # DEPENDENCYPART_SIBL
(15,3),(15,9),0.00457605 # DEPENDENCYPART_SIBL
(15,3),(15,10),0.00950272 # DEPENDENCYPART_SIBL
(15,3),(15,11),0.0619685 # DEPENDENCYPART_SIBL
(15,3),(15,12),-0.0295462 # DEPENDENCYPART_SIBL
(15,3),(15,13),-0.00122019 # DEPENDENCYPART_SIBL
(15,3),(15,14),0.066964 # DEPENDENCYPART_SIBL
(15,3),(15,16),0.0459933 # DEPENDENCYPART_SIBL
(15,3),(15,17),-0.0133232 # DEPENDENCYPART_SIBL
(15,3),(15,18),-0.064761 # DEPENDENCYPART_SIBL
(15,3),(15,19),-0.00439327 # DEPENDENCYPART_SIBL
(15,3),(15,20),0.00601146 # DEPENDENCYPART_SIBL
(15,3),(15,21),0.00967891 # DEPENDENCYPART_SIBL
(15,3),(15,22),-0.0146485 # DEPENDENCYPART_SIBL
(15,3),(15,23),0.112518 # DEPENDENCYPART_SIBL
(15,3),(15,24),0.00967891 # DEPENDENCYPART_SIBL
(15,3),(15,25),-0.00139484 # DEPENDENCYPART_SIBL
(15,4),(15,5),-0.0476213 # DEPENDENCYPART_SIBL
(15,4),(15,6),-0.0141115 # DEPENDENCYPART_SIBL
(15,4),(15,7),0.000897477 # DEPENDENCYPART_SIBL
(15,4),(15,8),-0.0309984 # DEPENDENCYPART_SIBL
(15,4),(15,9),-0.0387571 # DEPENDENCYPART_SIBL
(15,4),(15,10),-0.0309984 # DEPENDENCYPART_SIBL
(15,4),(15,11),0.0956371 # DEPENDENCYPART_SIBL
(15,4),(15,12),-0.0133387 # DEPENDENCYPART_SIBL
(15,4),(15,13),-0.0530002 # DEPENDENCYPART_SIBL
(15,4),(15,14),0.0524318 # DEPENDENCYPART_SIBL
(15,4),(15,16),-0.0124007 # DEPENDENCYPART_SIBL
(15,4),(15,17),-0.00637658 # DEPENDENCYPART_SIBL
(15,4),(15,18),-0.0517691 # DEPENDENCYPART_SIBL
(15,4),(15,19),-0.0184223 # DEPENDENCYPART_SIBL
(15,4),(15,20),-0.0103391 # DEPENDENCYPART_SIBL
