# _root_ " Előzőleg minden békés , tárgyalásos lehetőséggel megpróbálkoztunk , ám ezek kudarcot vallottak " — emlékeztetett .
#goldHeads=16,8,7,7,7,7,8,16,8,8,13,13,8,16,16,0,16,
#predictedHeads=16,8,7,7,7,7,8,10,10,16,13,13,16,16,16,0,16,
(6,16),(6,17),0.0759838 # DEPENDENCYPART_SIBL
(7,1),(7,2),0.0825656 # DEPENDENCYPART_SIBL
(7,1),(7,3),-0.0623391 # DEPENDENCYPART_SIBL
(7,1),(7,4),0.0547864 # DEPENDENCYPART_SIBL
(7,1),(7,5),0.0127322 # DEPENDENCYPART_SIBL
(7,1),(7,6),0.0678969 # DEPENDENCYPART_SIBL
(7,1),(7,8),-0.0134393 # DEPENDENCYPART_SIBL
(7,1),(7,9),0.0607558 # DEPENDENCYPART_SIBL
(7,1),(7,10),0.0384737 # DEPENDENCYPART_SIBL
(7,1),(7,13),-0.0141455 # DEPENDENCYPART_SIBL
(7,1),(7,14),0.616632 # DEPENDENCYPART_SIBL
(7,1),(7,15),0.21415 # DEPENDENCYPART_SIBL
(7,1),(7,16),-0.0134395 # DEPENDENCYPART_SIBL
(7,1),(7,17),-0.0142176 # DEPENDENCYPART_SIBL
(7,2),(7,3),-0.0278101 # DEPENDENCYPART_SIBL
(7,2),(7,4),-0.0247662 # DEPENDENCYPART_SIBL
(7,2),(7,5),0.0646079 # DEPENDENCYPART_SIBL
(7,2),(7,6),-0.0116557 # DEPENDENCYPART_SIBL
(7,2),(7,8),0.0467084 # DEPENDENCYPART_SIBL
(7,2),(7,9),0.00432591 # DEPENDENCYPART_SIBL
(7,2),(7,10),0.0259685 # DEPENDENCYPART_SIBL
(7,2),(7,13),0.0462892 # DEPENDENCYPART_SIBL
(7,2),(7,14),0.045507 # DEPENDENCYPART_SIBL
(7,2),(7,15),0.021578 # DEPENDENCYPART_SIBL
(7,2),(7,16),0.0467083 # DEPENDENCYPART_SIBL
(7,2),(7,17),0.122152 # DEPENDENCYPART_SIBL
(7,3),(7,4),0.0787102 # DEPENDENCYPART_SIBL
(7,3),(7,5),0.355619 # DEPENDENCYPART_SIBL
(7,3),(7,6),0.0965797 # DEPENDENCYPART_SIBL
(7,3),(7,8),0.0190938 # DEPENDENCYPART_SIBL
(7,3),(7,9),-0.0317183 # DEPENDENCYPART_SIBL
(7,3),(7,10),-0.0293899 # DEPENDENCYPART_SIBL
(7,3),(7,13),0.0190932 # DEPENDENCYPART_SIBL
(7,3),(7,14),0.00986912 # DEPENDENCYPART_SIBL
(7,3),(7,15),-0.0779112 # DEPENDENCYPART_SIBL
(7,3),(7,16),0.0190936 # DEPENDENCYPART_SIBL
(7,3),(7,17),-0.0114638 # DEPENDENCYPART_SIBL
(7,4),(7,5),0.44377 # DEPENDENCYPART_SIBL
(7,4),(7,6),-0.0151326 # DEPENDENCYPART_SIBL
(7,4),(7,8),-0.0403765 # DEPENDENCYPART_SIBL
(7,4),(7,9),-0.0341475 # DEPENDENCYPART_SIBL
(7,4),(7,10),-0.00716981 # DEPENDENCYPART_SIBL
(7,4),(7,13),-0.040383 # DEPENDENCYPART_SIBL
(7,4),(7,14),0.129325 # DEPENDENCYPART_SIBL
(7,4),(7,15),-0.0570984 # DEPENDENCYPART_SIBL
(7,4),(7,16),-0.0403767 # DEPENDENCYPART_SIBL
(7,4),(7,17),-0.00485879 # DEPENDENCYPART_SIBL
(7,5),(7,6),0.0253267 # DEPENDENCYPART_SIBL
(7,5),(7,8),-0.0278874 # DEPENDENCYPART_SIBL
(7,5),(7,9),-0.0346477 # DEPENDENCYPART_SIBL
(7,5),(7,10),-0.0100025 # DEPENDENCYPART_SIBL
(7,5),(7,13),-0.0291303 # DEPENDENCYPART_SIBL
(7,5),(7,14),0.0483807 # DEPENDENCYPART_SIBL
(7,5),(7,15),-0.0507504 # DEPENDENCYPART_SIBL
(7,5),(7,16),-0.0278876 # DEPENDENCYPART_SIBL
(7,5),(7,17),0.0238545 # DEPENDENCYPART_SIBL
(7,6),(7,8),-0.040075 # DEPENDENCYPART_SIBL
(7,6),(7,9),-0.0329133 # DEPENDENCYPART_SIBL
(7,6),(7,10),-0.00717129 # DEPENDENCYPART_SIBL
(7,6),(7,13),-0.0400815 # DEPENDENCYPART_SIBL
(7,6),(7,14),0.129942 # DEPENDENCYPART_SIBL
(7,6),(7,15),-0.056482 # DEPENDENCYPART_SIBL
(7,6),(7,16),-0.0400751 # DEPENDENCYPART_SIBL
(7,6),(7,17),-0.00425206 # DEPENDENCYPART_SIBL
(7,8),(7,9),0.169079 # DEPENDENCYPART_SIBL
(7,8),(7,10),0.0285676 # DEPENDENCYPART_SIBL
(7,8),(7,13),0.0502098 # DEPENDENCYPART_SIBL
(7,8),(7,14),0.135434 # DEPENDENCYPART_SIBL
(7,8),(7,15),0.182878 # DEPENDENCYPART_SIBL
(7,8),(7,16),0.0510458 # DEPENDENCYPART_SIBL
(7,8),(7,17),0.211166 # DEPENDENCYPART_SIBL
(7,9),(7,10),0.128565 # DEPENDENCYPART_SIBL
(7,9),(7,13),0.426369 # DEPENDENCYPART_SIBL
(7,9),(7,14),-0.00164701 # DEPENDENCYPART_SIBL
(7,9),(7,15),0.0110456 # DEPENDENCYPART_SIBL
(7,9),(7,16),0.425607 # DEPENDENCYPART_SIBL
(7,9),(7,17),0.0787788 # DEPENDENCYPART_SIBL
(7,10),(7,13),0.0421368 # DEPENDENCYPART_SIBL
(7,10),(7,14),0.0307909 # DEPENDENCYPART_SIBL
(7,10),(7,15),0.0441212 # DEPENDENCYPART_SIBL
(7,10),(7,16),0.0423526 # DEPENDENCYPART_SIBL
(7,10),(7,17),0.110657 # DEPENDENCYPART_SIBL
(7,13),(7,14),0.133913 # DEPENDENCYPART_SIBL
(7,13),(7,15),0.181357 # DEPENDENCYPART_SIBL
(7,13),(7,16),0.0507739 # DEPENDENCYPART_SIBL
(7,13),(7,17),0.209647 # DEPENDENCYPART_SIBL
(7,14),(7,15),-0.0280619 # DEPENDENCYPART_SIBL
(7,14),(7,16),0.135197 # DEPENDENCYPART_SIBL
(7,14),(7,17),0.0261875 # DEPENDENCYPART_SIBL
(7,15),(7,16),0.164151 # DEPENDENCYPART_SIBL
(7,15),(7,17),0.069421 # DEPENDENCYPART_SIBL
(7,16),(7,17),0.211166 # DEPENDENCYPART_SIBL
(8,1),(8,2),-0.0315738 # DEPENDENCYPART_SIBL
(8,1),(8,3),-0.125328 # DEPENDENCYPART_SIBL
(8,1),(8,4),0.000616885 # DEPENDENCYPART_SIBL
(8,1),(8,5),-0.0346737 # DEPENDENCYPART_SIBL
(8,1),(8,6),0.000717115 # DEPENDENCYPART_SIBL
(8,1),(8,7),-0.0279 # DEPENDENCYPART_SIBL
(8,1),(8,9),-0.0254449 # DEPENDENCYPART_SIBL
(8,1),(8,10),-0.050396 # DEPENDENCYPART_SIBL
(8,1),(8,11),-0.0211205 # DEPENDENCYPART_SIBL
(8,1),(8,12),0.0268944 # DEPENDENCYPART_SIBL
(8,1),(8,13),-0.0149751 # DEPENDENCYPART_SIBL
(8,1),(8,14),0.124423 # DEPENDENCYPART_SIBL
(8,1),(8,15),0.0251528 # DEPENDENCYPART_SIBL
(8,1),(8,16),-0.0132098 # DEPENDENCYPART_SIBL
(8,1),(8,17),0.0271273 # DEPENDENCYPART_SIBL
(8,2),(8,3),-0.108565 # DEPENDENCYPART_SIBL
(8,2),(8,4),0.000479657 # DEPENDENCYPART_SIBL
(8,2),(8,5),0.0362211 # DEPENDENCYPART_SIBL
(8,2),(8,6),0.000579887 # DEPENDENCYPART_SIBL
(8,2),(8,7),0.00540434 # DEPENDENCYPART_SIBL
(8,2),(8,9),-0.0285274 # DEPENDENCYPART_SIBL
(8,2),(8,10),-0.0651715 # DEPENDENCYPART_SIBL
(8,2),(8,11),-0.00681948 # DEPENDENCYPART_SIBL
(8,2),(8,12),-0.00803594 # DEPENDENCYPART_SIBL
(8,2),(8,13),-0.0400276 # DEPENDENCYPART_SIBL
(8,2),(8,14),-0.0186249 # DEPENDENCYPART_SIBL
(8,2),(8,15),-0.0425829 # DEPENDENCYPART_SIBL
(8,2),(8,16),-0.0381886 # DEPENDENCYPART_SIBL
(8,2),(8,17),-0.00432741 # DEPENDENCYPART_SIBL
(8,3),(8,4),-0.013571 # DEPENDENCYPART_SIBL
(8,3),(8,5),0.0574689 # DEPENDENCYPART_SIBL
(8,3),(8,6),-0.0110802 # DEPENDENCYPART_SIBL
(8,3),(8,7),-0.132007 # DEPENDENCYPART_SIBL
(8,3),(8,9),-0.106646 # DEPENDENCYPART_SIBL
(8,3),(8,10),-0.133235 # DEPENDENCYPART_SIBL
(8,3),(8,11),-0.0758521 # DEPENDENCYPART_SIBL
(8,3),(8,12),-0.097028 # DEPENDENCYPART_SIBL
(8,3),(8,13),-0.11052 # DEPENDENCYPART_SIBL
(8,3),(8,14),-0.0771984 # DEPENDENCYPART_SIBL
(8,3),(8,15),-0.130452 # DEPENDENCYPART_SIBL
(8,3),(8,16),-0.109519 # DEPENDENCYPART_SIBL
(8,3),(8,17),-0.0630901 # DEPENDENCYPART_SIBL
(8,4),(8,5),0.0513718 # DEPENDENCYPART_SIBL
(8,4),(8,6),-0.0300512 # DEPENDENCYPART_SIBL
(8,4),(8,7),-0.0162369 # DEPENDENCYPART_SIBL
(8,4),(8,9),0.0094501 # DEPENDENCYPART_SIBL
(8,4),(8,10),-0.0401747 # DEPENDENCYPART_SIBL
(8,4),(8,11),0.0135465 # DEPENDENCYPART_SIBL
(8,4),(8,12),0.00144223 # DEPENDENCYPART_SIBL
(8,4),(8,13),-0.00412411 # DEPENDENCYPART_SIBL
(8,4),(8,14),0.0116987 # DEPENDENCYPART_SIBL
(8,4),(8,15),-0.0565957 # DEPENDENCYPART_SIBL
(8,4),(8,16),-0.00311045 # DEPENDENCYPART_SIBL
(8,4),(8,17),0.00226595 # DEPENDENCYPART_SIBL
(8,5),(8,6),-0.00899597 # DEPENDENCYPART_SIBL
(8,5),(8,7),-0.00692861 # DEPENDENCYPART_SIBL
(8,5),(8,9),-0.00490476 # DEPENDENCYPART_SIBL
(8,5),(8,10),-0.0348915 # DEPENDENCYPART_SIBL
(8,5),(8,11),-0.0196248 # DEPENDENCYPART_SIBL
(8,5),(8,12),-0.0199676 # DEPENDENCYPART_SIBL
(8,5),(8,13),-0.00744216 # DEPENDENCYPART_SIBL
(8,5),(8,14),-0.048676 # DEPENDENCYPART_SIBL
(8,5),(8,15),-0.0580021 # DEPENDENCYPART_SIBL
(8,5),(8,16),-0.00508159 # DEPENDENCYPART_SIBL
(8,5),(8,17),0.0213227 # DEPENDENCYPART_SIBL
(8,6),(8,7),-0.0150158 # DEPENDENCYPART_SIBL
(8,6),(8,9),0.0135504 # DEPENDENCYPART_SIBL
(8,6),(8,10),-0.0385455 # DEPENDENCYPART_SIBL
(8,6),(8,11),0.0151756 # DEPENDENCYPART_SIBL
(8,6),(8,12),0.00385877 # DEPENDENCYPART_SIBL
(8,6),(8,13),-0.00188898 # DEPENDENCYPART_SIBL
(8,6),(8,14),0.0145634 # DEPENDENCYPART_SIBL
(8,6),(8,15),-0.053731 # DEPENDENCYPART_SIBL
(8,6),(8,16),-0.00087532 # DEPENDENCYPART_SIBL
(8,6),(8,17),0.0051115 # DEPENDENCYPART_SIBL
(8,7),(8,9),-0.00637658 # DEPENDENCYPART_SIBL
(8,7),(8,10),-0.0838154 # DEPENDENCYPART_SIBL
(8,7),(8,11),-0.0273005 # DEPENDENCYPART_SIBL
(8,7),(8,12),-0.0125417 # DEPENDENCYPART_SIBL
(8,7),(8,13),-0.0168345 # DEPENDENCYPART_SIBL
(8,7),(8,14),0.00270098 # DEPENDENCYPART_SIBL
(8,7),(8,15),-0.041031 # DEPENDENCYPART_SIBL
(8,7),(8,16),-0.0156883 # DEPENDENCYPART_SIBL
(8,7),(8,17),0.00695274 # DEPENDENCYPART_SIBL
(8,9),(8,10),0.246828 # DEPENDENCYPART_SIBL
(8,9),(8,11),0.0176576 # DEPENDENCYPART_SIBL
(8,9),(8,12),0.075953 # DEPENDENCYPART_SIBL
(8,9),(8,13),0.199753 # DEPENDENCYPART_SIBL
(8,9),(8,14),-0.0019914 # DEPENDENCYPART_SIBL
(8,9),(8,15),-0.0367481 # DEPENDENCYPART_SIBL
(8,9),(8,16),0.194562 # DEPENDENCYPART_SIBL
(8,9),(8,17),0.0489202 # DEPENDENCYPART_SIBL
(8,10),(8,11),0.0402875 # DEPENDENCYPART_SIBL
(8,10),(8,12),0.0152263 # DEPENDENCYPART_SIBL
(8,10),(8,13),0.0149589 # DEPENDENCYPART_SIBL
(8,10),(8,14),-0.014785 # DEPENDENCYPART_SIBL
(8,10),(8,15),-0.0274966 # DEPENDENCYPART_SIBL
(8,10),(8,16),0.0126388 # DEPENDENCYPART_SIBL
(8,10),(8,17),-0.000995571 # DEPENDENCYPART_SIBL
(8,11),(8,12),0.00502235 # DEPENDENCYPART_SIBL
(8,11),(8,13),-0.0365115 # DEPENDENCYPART_SIBL
(8,11),(8,14),0.000702716 # DEPENDENCYPART_SIBL
(8,11),(8,15),-0.012799 # DEPENDENCYPART_SIBL
(8,11),(8,16),-0.0392632 # DEPENDENCYPART_SIBL
(8,11),(8,17),-0.00806415 # DEPENDENCYPART_SIBL
(8,12),(8,13),-0.0155314 # DEPENDENCYPART_SIBL
(8,12),(8,14),-0.028704 # DEPENDENCYPART_SIBL
(8,12),(8,15),0.00335263 # DEPENDENCYPART_SIBL
(8,12),(8,16),-0.0212855 # DEPENDENCYPART_SIBL
(8,12),(8,17),-0.00383079 # DEPENDENCYPART_SIBL
(8,13),(8,14),-1.2111e-05 # DEPENDENCYPART_SIBL
(8,13),(8,15),0.0417944 # DEPENDENCYPART_SIBL
(8,13),(8,16),-0.00794961 # DEPENDENCYPART_SIBL
(8,13),(8,17),0.0136712 # DEPENDENCYPART_SIBL
(8,14),(8,15),-0.0533431 # DEPENDENCYPART_SIBL
(8,14),(8,16),-0.00376902 # DEPENDENCYPART_SIBL
(8,14),(8,17),0.00999069 # DEPENDENCYPART_SIBL
(8,15),(8,16),0.0110027 # DEPENDENCYPART_SIBL
(8,15),(8,17),0.00261462 # DEPENDENCYPART_SIBL
(8,16),(8,17),0.0178063 # DEPENDENCYPART_SIBL
(10,1),(10,2),-0.0286428 # DEPENDENCYPART_SIBL
(10,1),(10,4),-0.0120825 # DEPENDENCYPART_SIBL
(10,1),(10,5),-0.0449425 # DEPENDENCYPART_SIBL
(10,1),(10,6),-0.0120825 # DEPENDENCYPART_SIBL
(10,1),(10,7),-0.0271803 # DEPENDENCYPART_SIBL
(10,1),(10,8),0.0533069 # DEPENDENCYPART_SIBL
(10,1),(10,9),-0.0449425 # DEPENDENCYPART_SIBL
(10,1),(10,11),-0.0572508 # DEPENDENCYPART_SIBL
(10,1),(10,12),-0.0592381 # DEPENDENCYPART_SIBL
(10,1),(10,13),0.0163182 # DEPENDENCYPART_SIBL
(10,1),(10,14),0.150723 # DEPENDENCYPART_SIBL
(10,1),(10,15),0.115778 # DEPENDENCYPART_SIBL
(10,1),(10,16),0.0197807 # DEPENDENCYPART_SIBL
(10,1),(10,17),0.0513762 # DEPENDENCYPART_SIBL
(10,2),(10,4),0.00470883 # DEPENDENCYPART_SIBL
(10,2),(10,5),0.142644 # DEPENDENCYPART_SIBL
(10,2),(10,6),0.00470883 # DEPENDENCYPART_SIBL
(10,2),(10,7),0.0197846 # DEPENDENCYPART_SIBL
(10,2),(10,8),0.0177982 # DEPENDENCYPART_SIBL
(10,2),(10,9),0.142644 # DEPENDENCYPART_SIBL
(10,2),(10,11),-0.0198586 # DEPENDENCYPART_SIBL
(10,2),(10,12),0.0193829 # DEPENDENCYPART_SIBL
(10,2),(10,13),0.00948328 # DEPENDENCYPART_SIBL
(10,2),(10,14),-0.0540981 # DEPENDENCYPART_SIBL
(10,2),(10,15),0.0131653 # DEPENDENCYPART_SIBL
(10,2),(10,16),0.0120113 # DEPENDENCYPART_SIBL
(10,2),(10,17),0.0426612 # DEPENDENCYPART_SIBL
(10,4),(10,5),0.194366 # DEPENDENCYPART_SIBL
(10,4),(10,6),-0.0340644 # DEPENDENCYPART_SIBL
(10,4),(10,7),-0.0221043 # DEPENDENCYPART_SIBL
(10,4),(10,8),0.0327621 # DEPENDENCYPART_SIBL
(10,4),(10,9),0.194366 # DEPENDENCYPART_SIBL
(10,4),(10,11),-0.00138949 # DEPENDENCYPART_SIBL
(10,4),(10,12),-0.0185616 # DEPENDENCYPART_SIBL
(10,4),(10,13),0.00761148 # DEPENDENCYPART_SIBL
(10,4),(10,14),0.019084 # DEPENDENCYPART_SIBL
(10,4),(10,15),0.000760554 # DEPENDENCYPART_SIBL
(10,4),(10,16),0.00972683 # DEPENDENCYPART_SIBL
(10,4),(10,17),0.0552568 # DEPENDENCYPART_SIBL
(10,5),(10,6),-0.037663 # DEPENDENCYPART_SIBL
(10,5),(10,7),-0.01041 # DEPENDENCYPART_SIBL
(10,5),(10,8),0.0697194 # DEPENDENCYPART_SIBL
(10,5),(10,9),-0.0353497 # DEPENDENCYPART_SIBL
(10,5),(10,11),-0.000932416 # DEPENDENCYPART_SIBL
(10,5),(10,12),-0.00758399 # DEPENDENCYPART_SIBL
(10,5),(10,13),0.127115 # DEPENDENCYPART_SIBL
(10,5),(10,14),-0.0659607 # DEPENDENCYPART_SIBL
(10,5),(10,15),0.00478245 # DEPENDENCYPART_SIBL
(10,5),(10,16),0.131593 # DEPENDENCYPART_SIBL
(10,5),(10,17),0.253172 # DEPENDENCYPART_SIBL
(10,6),(10,7),-0.0218032 # DEPENDENCYPART_SIBL
(10,6),(10,8),0.0327638 # DEPENDENCYPART_SIBL
(10,6),(10,9),0.190572 # DEPENDENCYPART_SIBL
(10,6),(10,11),-0.00138948 # DEPENDENCYPART_SIBL
(10,6),(10,12),-0.0181686 # DEPENDENCYPART_SIBL
(10,6),(10,13),0.00791447 # DEPENDENCYPART_SIBL
(10,6),(10,14),0.0197018 # DEPENDENCYPART_SIBL
(10,6),(10,15),0.00137837 # DEPENDENCYPART_SIBL
(10,6),(10,16),0.0100298 # DEPENDENCYPART_SIBL
(10,6),(10,17),0.055865 # DEPENDENCYPART_SIBL
(10,7),(10,8),0.0433723 # DEPENDENCYPART_SIBL
(10,7),(10,9),0.276599 # DEPENDENCYPART_SIBL
(10,7),(10,11),-0.023695 # DEPENDENCYPART_SIBL
(10,7),(10,12),0.0871174 # DEPENDENCYPART_SIBL
(10,7),(10,13),-0.014162 # DEPENDENCYPART_SIBL
(10,7),(10,14),-0.0345913 # DEPENDENCYPART_SIBL
(10,7),(10,15),-0.00554076 # DEPENDENCYPART_SIBL
(10,7),(10,16),-0.0119473 # DEPENDENCYPART_SIBL
(10,7),(10,17),0.0388921 # DEPENDENCYPART_SIBL
(10,8),(10,9),0.329706 # DEPENDENCYPART_SIBL
(10,8),(10,11),-0.0214629 # DEPENDENCYPART_SIBL
(10,8),(10,12),-0.058753 # DEPENDENCYPART_SIBL
(10,8),(10,13),0.0710418 # DEPENDENCYPART_SIBL
(10,8),(10,14),-0.043567 # DEPENDENCYPART_SIBL
(10,8),(10,15),-0.0553086 # DEPENDENCYPART_SIBL
(10,8),(10,16),0.0760971 # DEPENDENCYPART_SIBL
(10,8),(10,17),0.149266 # DEPENDENCYPART_SIBL
(10,9),(10,11),-0.000932416 # DEPENDENCYPART_SIBL
(10,9),(10,12),-0.00758399 # DEPENDENCYPART_SIBL
(10,9),(10,13),0.127115 # DEPENDENCYPART_SIBL
(10,9),(10,14),-0.0659607 # DEPENDENCYPART_SIBL
(10,9),(10,15),0.00478245 # DEPENDENCYPART_SIBL
(10,9),(10,16),0.131593 # DEPENDENCYPART_SIBL
(10,9),(10,17),0.253172 # DEPENDENCYPART_SIBL
(10,11),(10,12),-0.011565 # DEPENDENCYPART_SIBL
(10,11),(10,13),-0.049494 # DEPENDENCYPART_SIBL
(10,11),(10,14),-0.0139994 # DEPENDENCYPART_SIBL
(10,11),(10,15),-0.0220111 # DEPENDENCYPART_SIBL
(10,11),(10,16),-0.0489877 # DEPENDENCYPART_SIBL
(10,11),(10,17),0.0243227 # DEPENDENCYPART_SIBL
(10,12),(10,13),-0.0417227 # DEPENDENCYPART_SIBL
(10,12),(10,14),-0.0206612 # DEPENDENCYPART_SIBL
(10,12),(10,15),0.0206998 # DEPENDENCYPART_SIBL
(10,12),(10,16),-0.0427176 # DEPENDENCYPART_SIBL
(10,12),(10,17),6.01528e-05 # DEPENDENCYPART_SIBL
(10,13),(10,14),0.081526 # DEPENDENCYPART_SIBL
(10,13),(10,15),0.137145 # DEPENDENCYPART_SIBL
(10,13),(10,16),-0.0351593 # DEPENDENCYPART_SIBL
(10,13),(10,17),0.102003 # DEPENDENCYPART_SIBL
(10,14),(10,15),-0.124256 # DEPENDENCYPART_SIBL
(10,14),(10,16),-0.0217847 # DEPENDENCYPART_SIBL
(10,14),(10,17),-0.00159914 # DEPENDENCYPART_SIBL
(10,15),(10,16),-0.0328673 # DEPENDENCYPART_SIBL
(10,15),(10,17),-0.0582857 # DEPENDENCYPART_SIBL
(10,16),(10,17),0.105447 # DEPENDENCYPART_SIBL
(11,1),(11,2),0.112522 # DEPENDENCYPART_SIBL
(11,1),(11,3),0.0533736 # DEPENDENCYPART_SIBL
(11,1),(11,4),0.132495 # DEPENDENCYPART_SIBL
(11,1),(11,5),-0.017151 # DEPENDENCYPART_SIBL
(11,1),(11,8),0.161974 # DEPENDENCYPART_SIBL
(11,1),(11,9),-0.017151 # DEPENDENCYPART_SIBL
(11,1),(11,10),0.151834 # DEPENDENCYPART_SIBL
(11,1),(11,12),0.0394177 # DEPENDENCYPART_SIBL
(11,1),(11,13),-0.0263977 # DEPENDENCYPART_SIBL
(11,1),(11,14),0.245943 # DEPENDENCYPART_SIBL
(11,1),(11,15),0.151932 # DEPENDENCYPART_SIBL
(11,1),(11,16),-0.0256915 # DEPENDENCYPART_SIBL
(11,1),(11,17),0.0108383 # DEPENDENCYPART_SIBL
(11,2),(11,3),0.0729282 # DEPENDENCYPART_SIBL
(11,2),(11,4),0.103066 # DEPENDENCYPART_SIBL
(11,2),(11,5),0.0168968 # DEPENDENCYPART_SIBL
(11,2),(11,8),0.078303 # DEPENDENCYPART_SIBL
(11,2),(11,9),0.0168968 # DEPENDENCYPART_SIBL
(11,2),(11,10),0.111393 # DEPENDENCYPART_SIBL
(11,2),(11,12),0.0258898 # DEPENDENCYPART_SIBL
(11,2),(11,13),-0.00413196 # DEPENDENCYPART_SIBL
(11,2),(11,14),0.000337706 # DEPENDENCYPART_SIBL
(11,2),(11,15),0.0222836 # DEPENDENCYPART_SIBL
(11,2),(11,16),-0.00371274 # DEPENDENCYPART_SIBL
(11,2),(11,17),0.110917 # DEPENDENCYPART_SIBL
(11,3),(11,4),0.130564 # DEPENDENCYPART_SIBL
(11,3),(11,5),0.123195 # DEPENDENCYPART_SIBL
(11,3),(11,8),0.0830511 # DEPENDENCYPART_SIBL
(11,3),(11,9),0.123195 # DEPENDENCYPART_SIBL
(11,3),(11,10),0.125511 # DEPENDENCYPART_SIBL
(11,3),(11,12),0.00267716 # DEPENDENCYPART_SIBL
(11,3),(11,13),-0.0195417 # DEPENDENCYPART_SIBL
(11,3),(11,14),-0.025724 # DEPENDENCYPART_SIBL
(11,3),(11,15),-0.0368454 # DEPENDENCYPART_SIBL
(11,3),(11,16),-0.0195412 # DEPENDENCYPART_SIBL
(11,3),(11,17),0.0361283 # DEPENDENCYPART_SIBL
(11,4),(11,5),0.154848 # DEPENDENCYPART_SIBL
(11,4),(11,8),0.0997298 # DEPENDENCYPART_SIBL
(11,4),(11,9),0.154848 # DEPENDENCYPART_SIBL
(11,4),(11,10),0.199046 # DEPENDENCYPART_SIBL
(11,4),(11,12),0.00918528 # DEPENDENCYPART_SIBL
(11,4),(11,13),-0.0170872 # DEPENDENCYPART_SIBL
(11,4),(11,14),0.0303681 # DEPENDENCYPART_SIBL
(11,4),(11,15),-0.0135047 # DEPENDENCYPART_SIBL
(11,4),(11,16),-0.0170806 # DEPENDENCYPART_SIBL
(11,4),(11,17),0.0233901 # DEPENDENCYPART_SIBL
(11,5),(11,8),0.217132 # DEPENDENCYPART_SIBL
(11,5),(11,9),0.0417427 # DEPENDENCYPART_SIBL
(11,5),(11,10),0.287732 # DEPENDENCYPART_SIBL
(11,5),(11,12),0.0639686 # DEPENDENCYPART_SIBL
(11,5),(11,13),-0.0042435 # DEPENDENCYPART_SIBL
(11,5),(11,14),-0.0084894 # DEPENDENCYPART_SIBL
(11,5),(11,15),0.0263918 # DEPENDENCYPART_SIBL
(11,5),(11,16),-0.00300052 # DEPENDENCYPART_SIBL
(11,5),(11,17),0.0561902 # DEPENDENCYPART_SIBL
(11,8),(11,9),0.212893 # DEPENDENCYPART_SIBL
(11,8),(11,10),0.121833 # DEPENDENCYPART_SIBL
(11,8),(11,12),0.0112458 # DEPENDENCYPART_SIBL
(11,8),(11,13),-0.00135703 # DEPENDENCYPART_SIBL
(11,8),(11,14),-0.0167171 # DEPENDENCYPART_SIBL
(11,8),(11,15),-0.0121638 # DEPENDENCYPART_SIBL
(11,8),(11,16),0.000166443 # DEPENDENCYPART_SIBL
(11,8),(11,17),0.0518223 # DEPENDENCYPART_SIBL
(11,9),(11,10),0.287732 # DEPENDENCYPART_SIBL
(11,9),(11,12),0.0639686 # DEPENDENCYPART_SIBL
(11,9),(11,13),-0.0042435 # DEPENDENCYPART_SIBL
(11,9),(11,14),-0.0084894 # DEPENDENCYPART_SIBL
(11,9),(11,15),0.0263918 # DEPENDENCYPART_SIBL
(11,9),(11,16),-0.00300052 # DEPENDENCYPART_SIBL
(11,9),(11,17),0.0561902 # DEPENDENCYPART_SIBL
(11,10),(11,12),0.0191156 # DEPENDENCYPART_SIBL
(11,10),(11,13),-0.0062923 # DEPENDENCYPART_SIBL
(11,10),(11,14),-0.00291165 # DEPENDENCYPART_SIBL
(11,10),(11,15),0.0328776 # DEPENDENCYPART_SIBL
(11,10),(11,16),-0.00593092 # DEPENDENCYPART_SIBL
(11,10),(11,17),0.0664679 # DEPENDENCYPART_SIBL
(11,12),(11,13),-0.000142414 # DEPENDENCYPART_SIBL
(11,12),(11,14),-0.0149575 # DEPENDENCYPART_SIBL
(11,12),(11,15),0.0139938 # DEPENDENCYPART_SIBL
(11,12),(11,16),-0.0016436 # DEPENDENCYPART_SIBL
(11,12),(11,17),0.0833975 # DEPENDENCYPART_SIBL
(11,13),(11,14),-0.00467821 # DEPENDENCYPART_SIBL
(11,13),(11,15),0.033913 # DEPENDENCYPART_SIBL
(11,13),(11,16),-0.00804841 # DEPENDENCYPART_SIBL
(11,13),(11,17),-0.00298183 # DEPENDENCYPART_SIBL
(11,14),(11,15),-0.0431875 # DEPENDENCYPART_SIBL
(11,14),(11,16),-0.0180436 # DEPENDENCYPART_SIBL
(11,14),(11,17),0.0460813 # DEPENDENCYPART_SIBL
(11,15),(11,16),-0.0480661 # DEPENDENCYPART_SIBL
(11,15),(11,17),0.00117884 # DEPENDENCYPART_SIBL
(11,16),(11,17),-0.0014623 # DEPENDENCYPART_SIBL
(12,3),(12,4),0.0765373 # DEPENDENCYPART_SIBL
(12,3),(12,5),0.355618 # DEPENDENCYPART_SIBL
(12,3),(12,6),0.0944068 # DEPENDENCYPART_SIBL
(12,3),(12,7),-0.0861733 # DEPENDENCYPART_SIBL
(12,3),(12,8),0.107966 # DEPENDENCYPART_SIBL
(12,3),(12,9),0.355618 # DEPENDENCYPART_SIBL
(12,3),(12,10),0.243422 # DEPENDENCYPART_SIBL
(12,3),(12,11),-0.0504485 # DEPENDENCYPART_SIBL
