# _root_ 1998 márciusában az ÁPTF a Riverbank név használatát sem engedélyezte egy kft számára , mondván , nem végez pénzügyi szolgáltatási tevékenységet .
#goldHeads=2,10,4,10,7,7,8,10,10,0,12,13,10,10,10,10,18,15,20,21,18,10,
#predictedHeads=2,10,4,10,7,7,8,10,10,0,12,13,10,10,10,10,18,10,21,21,18,10,
(8,1),(8,4),-0.0264624 # DEPENDENCYPART_SIBL
(8,1),(8,5),-0.394086 # DEPENDENCYPART_SIBL
(8,1),(8,6),-0.0226639 # DEPENDENCYPART_SIBL
(8,1),(8,7),-0.0226639 # DEPENDENCYPART_SIBL
(8,1),(8,10),0.0029575 # DEPENDENCYPART_SIBL
(8,1),(8,12),-0.0143441 # DEPENDENCYPART_SIBL
(8,1),(8,13),0.0010123 # DEPENDENCYPART_SIBL
(8,1),(8,15),-0.0205088 # DEPENDENCYPART_SIBL
(8,1),(8,21),0.013947 # DEPENDENCYPART_SIBL
(8,2),(8,3),-0.268552 # DEPENDENCYPART_SIBL
(8,2),(8,4),-0.0220452 # DEPENDENCYPART_SIBL
(8,2),(8,5),-0.316563 # DEPENDENCYPART_SIBL
(8,2),(8,6),-0.0175533 # DEPENDENCYPART_SIBL
(8,2),(8,7),-0.0175533 # DEPENDENCYPART_SIBL
(8,2),(8,10),0.00777567 # DEPENDENCYPART_SIBL
(8,2),(8,12),0.0194873 # DEPENDENCYPART_SIBL
(8,2),(8,13),0.0396304 # DEPENDENCYPART_SIBL
(8,2),(8,15),-0.00526124 # DEPENDENCYPART_SIBL
(8,2),(8,21),0.00158327 # DEPENDENCYPART_SIBL
(8,3),(8,4),-0.00637567 # DEPENDENCYPART_SIBL
(8,3),(8,5),-0.542228 # DEPENDENCYPART_SIBL
(8,3),(8,6),0.000853707 # DEPENDENCYPART_SIBL
(8,3),(8,7),0.000853707 # DEPENDENCYPART_SIBL
(8,3),(8,10),-0.0121056 # DEPENDENCYPART_SIBL
(8,3),(8,12),-0.0265508 # DEPENDENCYPART_SIBL
(8,3),(8,13),-0.0186233 # DEPENDENCYPART_SIBL
(8,3),(8,15),-0.0756772 # DEPENDENCYPART_SIBL
(8,3),(8,21),-0.00572049 # DEPENDENCYPART_SIBL
(8,4),(8,5),-0.321958 # DEPENDENCYPART_SIBL
(8,4),(8,6),-0.0196423 # DEPENDENCYPART_SIBL
(8,4),(8,7),-0.0196423 # DEPENDENCYPART_SIBL
(8,4),(8,10),0.0104495 # DEPENDENCYPART_SIBL
(8,4),(8,12),0.0194873 # DEPENDENCYPART_SIBL
(8,4),(8,13),0.0405773 # DEPENDENCYPART_SIBL
(8,4),(8,15),-0.00388395 # DEPENDENCYPART_SIBL
(8,4),(8,21),0.00701424 # DEPENDENCYPART_SIBL
(8,5),(8,6),0.0129951 # DEPENDENCYPART_SIBL
(8,5),(8,7),0.0129951 # DEPENDENCYPART_SIBL
(8,5),(8,10),0.00861748 # DEPENDENCYPART_SIBL
(8,5),(8,12),-0.0237577 # DEPENDENCYPART_SIBL
(8,5),(8,13),-0.00749559 # DEPENDENCYPART_SIBL
(8,5),(8,15),-0.0771743 # DEPENDENCYPART_SIBL
(8,5),(8,21),-0.00331986 # DEPENDENCYPART_SIBL
(8,6),(8,7),-0.017547 # DEPENDENCYPART_SIBL
(8,6),(8,10),0.00765804 # DEPENDENCYPART_SIBL
(8,6),(8,12),0.0194873 # DEPENDENCYPART_SIBL
(8,6),(8,13),0.0405773 # DEPENDENCYPART_SIBL
(8,6),(8,15),-0.00505967 # DEPENDENCYPART_SIBL
(8,6),(8,21),0.000825932 # DEPENDENCYPART_SIBL
(8,7),(8,10),0.00765804 # DEPENDENCYPART_SIBL
(8,7),(8,12),0.0194873 # DEPENDENCYPART_SIBL
(8,7),(8,13),0.0405773 # DEPENDENCYPART_SIBL
(8,7),(8,15),-0.00505967 # DEPENDENCYPART_SIBL
(8,7),(8,21),0.000825932 # DEPENDENCYPART_SIBL
(8,10),(8,12),0.0619847 # DEPENDENCYPART_SIBL
(8,10),(8,13),0.0349756 # DEPENDENCYPART_SIBL
(8,10),(8,15),0.0635754 # DEPENDENCYPART_SIBL
(8,10),(8,21),0.0764094 # DEPENDENCYPART_SIBL
(8,12),(8,13),0.0356235 # DEPENDENCYPART_SIBL
(8,12),(8,15),0.0240225 # DEPENDENCYPART_SIBL
(8,12),(8,21),0.0428428 # DEPENDENCYPART_SIBL
(8,13),(8,15),0.108244 # DEPENDENCYPART_SIBL
(8,13),(8,21),0.107794 # DEPENDENCYPART_SIBL
(8,15),(8,21),0.0419815 # DEPENDENCYPART_SIBL
(9,2),(9,7),0.127191 # DEPENDENCYPART_SIBL
(9,2),(9,8),0.127189 # DEPENDENCYPART_SIBL
(9,2),(9,14),0.0333835 # DEPENDENCYPART_SIBL
(9,2),(9,16),0.0333835 # DEPENDENCYPART_SIBL
(9,2),(9,18),0.0235909 # DEPENDENCYPART_SIBL
(9,2),(9,22),0.0646343 # DEPENDENCYPART_SIBL
(9,7),(9,8),0.127196 # DEPENDENCYPART_SIBL
(9,7),(9,14),0.0348316 # DEPENDENCYPART_SIBL
(9,7),(9,16),0.0348316 # DEPENDENCYPART_SIBL
(9,7),(9,18),0.0234732 # DEPENDENCYPART_SIBL
(9,7),(9,22),0.0633596 # DEPENDENCYPART_SIBL
(9,8),(9,14),0.0348287 # DEPENDENCYPART_SIBL
(9,8),(9,16),0.0348287 # DEPENDENCYPART_SIBL
(9,8),(9,18),0.0233993 # DEPENDENCYPART_SIBL
(9,8),(9,22),0.0633437 # DEPENDENCYPART_SIBL
(9,14),(9,16),0.0248797 # DEPENDENCYPART_SIBL
(9,14),(9,18),0.316637 # DEPENDENCYPART_SIBL
(9,14),(9,22),0.151684 # DEPENDENCYPART_SIBL
(9,16),(9,18),0.316637 # DEPENDENCYPART_SIBL
(9,16),(9,22),0.151684 # DEPENDENCYPART_SIBL
(9,18),(9,22),0.104782 # DEPENDENCYPART_SIBL
(10,1),(10,2),0.00605173 # DEPENDENCYPART_SIBL
(10,1),(10,3),-0.0233054 # DEPENDENCYPART_SIBL
(10,1),(10,4),0.00923039 # DEPENDENCYPART_SIBL
(10,1),(10,5),-0.0726331 # DEPENDENCYPART_SIBL
(10,1),(10,6),0.00696751 # DEPENDENCYPART_SIBL
(10,1),(10,7),0.00696751 # DEPENDENCYPART_SIBL
(10,1),(10,8),0.00696751 # DEPENDENCYPART_SIBL
(10,1),(10,9),0.035665 # DEPENDENCYPART_SIBL
(10,1),(10,12),0.00572287 # DEPENDENCYPART_SIBL
(10,1),(10,13),0.0221616 # DEPENDENCYPART_SIBL
(10,1),(10,14),-0.0145019 # DEPENDENCYPART_SIBL
(10,1),(10,15),0.0783593 # DEPENDENCYPART_SIBL
(10,1),(10,16),-0.0145019 # DEPENDENCYPART_SIBL
(10,1),(10,17),0.0160005 # DEPENDENCYPART_SIBL
(10,1),(10,18),-0.0118635 # DEPENDENCYPART_SIBL
(10,1),(10,19),-0.0180432 # DEPENDENCYPART_SIBL
(10,1),(10,20),-0.0180374 # DEPENDENCYPART_SIBL
(10,1),(10,21),0.00485027 # DEPENDENCYPART_SIBL
(10,1),(10,22),0.00430995 # DEPENDENCYPART_SIBL
(10,2),(10,3),-0.0239346 # DEPENDENCYPART_SIBL
(10,2),(10,4),-0.0250296 # DEPENDENCYPART_SIBL
(10,2),(10,5),-0.0619232 # DEPENDENCYPART_SIBL
(10,2),(10,6),-0.0310144 # DEPENDENCYPART_SIBL
(10,2),(10,7),-0.0310144 # DEPENDENCYPART_SIBL
(10,2),(10,8),-0.031016 # DEPENDENCYPART_SIBL
(10,2),(10,9),0.0501415 # DEPENDENCYPART_SIBL
(10,2),(10,12),0.0342054 # DEPENDENCYPART_SIBL
(10,2),(10,13),0.00957812 # DEPENDENCYPART_SIBL
(10,2),(10,14),-0.0103775 # DEPENDENCYPART_SIBL
(10,2),(10,15),0.0405745 # DEPENDENCYPART_SIBL
(10,2),(10,16),-0.0103775 # DEPENDENCYPART_SIBL
(10,2),(10,17),-0.0379274 # DEPENDENCYPART_SIBL
(10,2),(10,18),-0.0165567 # DEPENDENCYPART_SIBL
(10,2),(10,19),-0.00728736 # DEPENDENCYPART_SIBL
(10,2),(10,20),-0.00724126 # DEPENDENCYPART_SIBL
(10,2),(10,21),-0.0198283 # DEPENDENCYPART_SIBL
(10,2),(10,22),0.00839826 # DEPENDENCYPART_SIBL
(10,3),(10,4),-0.0314992 # DEPENDENCYPART_SIBL
(10,3),(10,5),-0.127998 # DEPENDENCYPART_SIBL
(10,3),(10,6),-0.0320467 # DEPENDENCYPART_SIBL
(10,3),(10,7),-0.0320467 # DEPENDENCYPART_SIBL
(10,3),(10,8),-0.0320488 # DEPENDENCYPART_SIBL
(10,3),(10,9),-0.0390358 # DEPENDENCYPART_SIBL
(10,3),(10,12),0.0201181 # DEPENDENCYPART_SIBL
(10,3),(10,13),0.0253892 # DEPENDENCYPART_SIBL
(10,3),(10,14),0.0122401 # DEPENDENCYPART_SIBL
(10,3),(10,15),0.0370702 # DEPENDENCYPART_SIBL
(10,3),(10,16),0.0122401 # DEPENDENCYPART_SIBL
(10,3),(10,17),-0.0274463 # DEPENDENCYPART_SIBL
(10,3),(10,18),-0.0233201 # DEPENDENCYPART_SIBL
(10,3),(10,19),0.014 # DEPENDENCYPART_SIBL
(10,3),(10,20),0.0140088 # DEPENDENCYPART_SIBL
(10,3),(10,21),-0.00793808 # DEPENDENCYPART_SIBL
(10,3),(10,22),0.0155209 # DEPENDENCYPART_SIBL
(10,4),(10,5),-0.057436 # DEPENDENCYPART_SIBL
(10,4),(10,6),-0.0150543 # DEPENDENCYPART_SIBL
(10,4),(10,7),-0.0150543 # DEPENDENCYPART_SIBL
(10,4),(10,8),-0.0150559 # DEPENDENCYPART_SIBL
(10,4),(10,9),0.0546289 # DEPENDENCYPART_SIBL
(10,4),(10,12),0.0543229 # DEPENDENCYPART_SIBL
(10,4),(10,13),0.0315895 # DEPENDENCYPART_SIBL
(10,4),(10,14),0.0239503 # DEPENDENCYPART_SIBL
(10,4),(10,15),0.0634467 # DEPENDENCYPART_SIBL
(10,4),(10,16),0.0239503 # DEPENDENCYPART_SIBL
(10,4),(10,17),-0.0150552 # DEPENDENCYPART_SIBL
(10,4),(10,18),0.00890749 # DEPENDENCYPART_SIBL
(10,4),(10,19),0.0128302 # DEPENDENCYPART_SIBL
(10,4),(10,20),0.0128763 # DEPENDENCYPART_SIBL
(10,4),(10,21),0.0111513 # DEPENDENCYPART_SIBL
(10,4),(10,22),0.0381627 # DEPENDENCYPART_SIBL
(10,5),(10,6),0.0174639 # DEPENDENCYPART_SIBL
(10,5),(10,7),0.0174639 # DEPENDENCYPART_SIBL
(10,5),(10,8),0.0174629 # DEPENDENCYPART_SIBL
(10,5),(10,9),-0.0314293 # DEPENDENCYPART_SIBL
(10,5),(10,12),-0.000123066 # DEPENDENCYPART_SIBL
(10,5),(10,13),-0.00434814 # DEPENDENCYPART_SIBL
(10,5),(10,14),-0.0377119 # DEPENDENCYPART_SIBL
(10,5),(10,15),0.02378 # DEPENDENCYPART_SIBL
(10,5),(10,16),-0.0377119 # DEPENDENCYPART_SIBL
(10,5),(10,17),-0.0304635 # DEPENDENCYPART_SIBL
(10,5),(10,18),-0.0134258 # DEPENDENCYPART_SIBL
(10,5),(10,19),0.00253003 # DEPENDENCYPART_SIBL
(10,5),(10,20),0.0025406 # DEPENDENCYPART_SIBL
(10,5),(10,21),-0.0289761 # DEPENDENCYPART_SIBL
(10,5),(10,22),-0.0634118 # DEPENDENCYPART_SIBL
(10,6),(10,7),-0.0309984 # DEPENDENCYPART_SIBL
(10,6),(10,8),-0.031 # DEPENDENCYPART_SIBL
(10,6),(10,9),0.0501505 # DEPENDENCYPART_SIBL
(10,6),(10,12),0.0353101 # DEPENDENCYPART_SIBL
(10,6),(10,13),0.0125767 # DEPENDENCYPART_SIBL
(10,6),(10,14),-0.00637658 # DEPENDENCYPART_SIBL
(10,6),(10,15),0.0420824 # DEPENDENCYPART_SIBL
(10,6),(10,16),-0.00637658 # DEPENDENCYPART_SIBL
(10,6),(10,17),-0.0364195 # DEPENDENCYPART_SIBL
(10,6),(10,18),-0.0156883 # DEPENDENCYPART_SIBL
(10,6),(10,19),-0.00618265 # DEPENDENCYPART_SIBL
(10,6),(10,20),-0.00613654 # DEPENDENCYPART_SIBL
(10,6),(10,21),-0.0202383 # DEPENDENCYPART_SIBL
(10,6),(10,22),0.00695274 # DEPENDENCYPART_SIBL
(10,7),(10,8),-0.031 # DEPENDENCYPART_SIBL
(10,7),(10,9),0.0501505 # DEPENDENCYPART_SIBL
(10,7),(10,12),0.0353101 # DEPENDENCYPART_SIBL
(10,7),(10,13),0.0125767 # DEPENDENCYPART_SIBL
(10,7),(10,14),-0.00637658 # DEPENDENCYPART_SIBL
(10,7),(10,15),0.0420824 # DEPENDENCYPART_SIBL
(10,7),(10,16),-0.00637658 # DEPENDENCYPART_SIBL
(10,7),(10,17),-0.0364195 # DEPENDENCYPART_SIBL
(10,7),(10,18),-0.0156883 # DEPENDENCYPART_SIBL
(10,7),(10,19),-0.00618265 # DEPENDENCYPART_SIBL
(10,7),(10,20),-0.00613654 # DEPENDENCYPART_SIBL
(10,7),(10,21),-0.0202383 # DEPENDENCYPART_SIBL
(10,7),(10,22),0.00695274 # DEPENDENCYPART_SIBL
(10,8),(10,9),0.0506759 # DEPENDENCYPART_SIBL
(10,8),(10,12),0.0352435 # DEPENDENCYPART_SIBL
(10,8),(10,13),0.0125101 # DEPENDENCYPART_SIBL
(10,8),(10,14),-0.00644609 # DEPENDENCYPART_SIBL
(10,8),(10,15),0.0420158 # DEPENDENCYPART_SIBL
(10,8),(10,16),-0.00644609 # DEPENDENCYPART_SIBL
(10,8),(10,17),-0.0364861 # DEPENDENCYPART_SIBL
(10,8),(10,18),-0.0158953 # DEPENDENCYPART_SIBL
(10,8),(10,19),-0.00624963 # DEPENDENCYPART_SIBL
(10,8),(10,20),-0.00620353 # DEPENDENCYPART_SIBL
(10,8),(10,21),-0.020306 # DEPENDENCYPART_SIBL
(10,8),(10,22),0.00687033 # DEPENDENCYPART_SIBL
(10,9),(10,12),0.0218951 # DEPENDENCYPART_SIBL
(10,9),(10,13),0.0248321 # DEPENDENCYPART_SIBL
(10,9),(10,14),0.0286709 # DEPENDENCYPART_SIBL
(10,9),(10,15),0.0233137 # DEPENDENCYPART_SIBL
(10,9),(10,16),0.0286709 # DEPENDENCYPART_SIBL
(10,9),(10,17),-0.0434472 # DEPENDENCYPART_SIBL
(10,9),(10,18),0.0305983 # DEPENDENCYPART_SIBL
(10,9),(10,19),0.0328433 # DEPENDENCYPART_SIBL
(10,9),(10,20),0.032874 # DEPENDENCYPART_SIBL
(10,9),(10,21),-0.0316817 # DEPENDENCYPART_SIBL
(10,9),(10,22),0.0343297 # DEPENDENCYPART_SIBL
(10,12),(10,13),-0.0325415 # DEPENDENCYPART_SIBL
(10,12),(10,14),0.00837353 # DEPENDENCYPART_SIBL
(10,12),(10,15),0.0148806 # DEPENDENCYPART_SIBL
(10,12),(10,16),0.00837353 # DEPENDENCYPART_SIBL
(10,12),(10,17),0.000843999 # DEPENDENCYPART_SIBL
(10,12),(10,18),0.00071457 # DEPENDENCYPART_SIBL
(10,12),(10,19),0.0264571 # DEPENDENCYPART_SIBL
(10,12),(10,20),0.0264602 # DEPENDENCYPART_SIBL
(10,12),(10,21),-0.00466844 # DEPENDENCYPART_SIBL
(10,12),(10,22),-0.0143409 # DEPENDENCYPART_SIBL
(10,13),(10,14),-0.00746507 # DEPENDENCYPART_SIBL
(10,13),(10,15),0.0547897 # DEPENDENCYPART_SIBL
(10,13),(10,16),-0.00746507 # DEPENDENCYPART_SIBL
(10,13),(10,17),0.0478251 # DEPENDENCYPART_SIBL
(10,13),(10,18),-0.0596355 # DEPENDENCYPART_SIBL
(10,13),(10,19),0.0552145 # DEPENDENCYPART_SIBL
(10,13),(10,20),0.0552179 # DEPENDENCYPART_SIBL
(10,13),(10,21),0.000270232 # DEPENDENCYPART_SIBL
(10,13),(10,22),-0.019304 # DEPENDENCYPART_SIBL
(10,14),(10,15),0.169537 # DEPENDENCYPART_SIBL
(10,14),(10,16),-0.0129099 # DEPENDENCYPART_SIBL
(10,14),(10,17),0.13247 # DEPENDENCYPART_SIBL
(10,14),(10,18),0.194562 # DEPENDENCYPART_SIBL
(10,14),(10,19),0.0604664 # DEPENDENCYPART_SIBL
(10,14),(10,20),0.0604985 # DEPENDENCYPART_SIBL
(10,14),(10,21),0.0751738 # DEPENDENCYPART_SIBL
(10,14),(10,22),0.0489202 # DEPENDENCYPART_SIBL
(10,15),(10,16),0.0910853 # DEPENDENCYPART_SIBL
(10,15),(10,17),0.00779951 # DEPENDENCYPART_SIBL
(10,15),(10,18),-0.0129685 # DEPENDENCYPART_SIBL
(10,15),(10,19),0.0644416 # DEPENDENCYPART_SIBL
(10,15),(10,20),0.0644618 # DEPENDENCYPART_SIBL
(10,15),(10,21),0.0471128 # DEPENDENCYPART_SIBL
(10,15),(10,22),0.0280527 # DEPENDENCYPART_SIBL
(10,16),(10,17),0.13247 # DEPENDENCYPART_SIBL
(10,16),(10,18),0.194562 # DEPENDENCYPART_SIBL
(10,16),(10,19),0.0604664 # DEPENDENCYPART_SIBL
(10,16),(10,20),0.0604985 # DEPENDENCYPART_SIBL
(10,16),(10,21),0.0751738 # DEPENDENCYPART_SIBL
(10,16),(10,22),0.0489202 # DEPENDENCYPART_SIBL
(10,17),(10,18),-0.0249296 # DEPENDENCYPART_SIBL
(10,17),(10,19),0.078972 # DEPENDENCYPART_SIBL
(10,17),(10,20),0.0789922 # DEPENDENCYPART_SIBL
(10,17),(10,21),0.0319732 # DEPENDENCYPART_SIBL
(10,17),(10,22),-0.00233901 # DEPENDENCYPART_SIBL
(10,18),(10,19),0.00672548 # DEPENDENCYPART_SIBL
(10,18),(10,20),0.00674958 # DEPENDENCYPART_SIBL
(10,18),(10,21),-0.00583362 # DEPENDENCYPART_SIBL
(10,18),(10,22),0.0178062 # DEPENDENCYPART_SIBL
(10,19),(10,20),-0.034558 # DEPENDENCYPART_SIBL
(10,19),(10,21),-0.0250131 # DEPENDENCYPART_SIBL
(10,19),(10,22),-0.0109435 # DEPENDENCYPART_SIBL
(10,20),(10,21),-0.0249663 # DEPENDENCYPART_SIBL
(10,20),(10,22),-0.010899 # DEPENDENCYPART_SIBL
(10,21),(10,22),-0.0114069 # DEPENDENCYPART_SIBL
(12,3),(12,4),0.0512779 # DEPENDENCYPART_SIBL
(12,3),(12,5),-0.0727009 # DEPENDENCYPART_SIBL
(12,3),(12,6),0.0529934 # DEPENDENCYPART_SIBL
(12,3),(12,7),0.0529934 # DEPENDENCYPART_SIBL
(12,3),(12,8),0.0529913 # DEPENDENCYPART_SIBL
(12,3),(12,10),0.118916 # DEPENDENCYPART_SIBL
(12,3),(12,11),-0.05345 # DEPENDENCYPART_SIBL
(12,3),(12,14),-0.0485644 # DEPENDENCYPART_SIBL
(12,3),(12,16),-0.0485644 # DEPENDENCYPART_SIBL
(12,3),(12,18),-0.0180144 # DEPENDENCYPART_SIBL
(12,3),(12,21),-0.0128216 # DEPENDENCYPART_SIBL
(12,3),(12,22),0.00830192 # DEPENDENCYPART_SIBL
(12,4),(12,5),-0.0337218 # DEPENDENCYPART_SIBL
(12,4),(12,6),-0.00892734 # DEPENDENCYPART_SIBL
(12,4),(12,7),-0.00892734 # DEPENDENCYPART_SIBL
(12,4),(12,8),-0.00892896 # DEPENDENCYPART_SIBL
(12,4),(12,10),0.0451453 # DEPENDENCYPART_SIBL
(12,4),(12,11),0.010872 # DEPENDENCYPART_SIBL
(12,4),(12,14),0.00918726 # DEPENDENCYPART_SIBL
(12,4),(12,16),0.00918726 # DEPENDENCYPART_SIBL
(12,4),(12,18),0.0249499 # DEPENDENCYPART_SIBL
(12,4),(12,21),0.0222155 # DEPENDENCYPART_SIBL
(12,4),(12,22),0.0563064 # DEPENDENCYPART_SIBL
(12,5),(12,6),0.0437225 # DEPENDENCYPART_SIBL
(12,5),(12,7),0.0437225 # DEPENDENCYPART_SIBL
(12,5),(12,8),0.0437214 # DEPENDENCYPART_SIBL
(12,5),(12,10),0.12382 # DEPENDENCYPART_SIBL
(12,5),(12,11),-0.0808693 # DEPENDENCYPART_SIBL
(12,5),(12,14),-0.0692854 # DEPENDENCYPART_SIBL
(12,5),(12,16),-0.0692854 # DEPENDENCYPART_SIBL
(12,5),(12,18),-0.0222621 # DEPENDENCYPART_SIBL
(12,5),(12,21),-0.0291748 # DEPENDENCYPART_SIBL
(12,5),(12,22),-0.0289006 # DEPENDENCYPART_SIBL
(12,6),(12,7),-0.0138487 # DEPENDENCYPART_SIBL
(12,6),(12,8),-0.0138503 # DEPENDENCYPART_SIBL
(12,6),(12,10),0.0451454 # DEPENDENCYPART_SIBL
(12,6),(12,11),0.010872 # DEPENDENCYPART_SIBL
(12,6),(12,14),0.00353024 # DEPENDENCYPART_SIBL
(12,6),(12,16),0.00353024 # DEPENDENCYPART_SIBL
(12,6),(12,18),0.0221584 # DEPENDENCYPART_SIBL
(12,6),(12,21),0.0160271 # DEPENDENCYPART_SIBL
(12,6),(12,22),0.0502079 # DEPENDENCYPART_SIBL
(12,7),(12,8),-0.0138503 # DEPENDENCYPART_SIBL
(12,7),(12,10),0.0451454 # DEPENDENCYPART_SIBL
(12,7),(12,11),0.010872 # DEPENDENCYPART_SIBL
(12,7),(12,14),0.00353024 # DEPENDENCYPART_SIBL
(12,7),(12,16),0.00353024 # DEPENDENCYPART_SIBL
(12,7),(12,18),0.0221584 # DEPENDENCYPART_SIBL
(12,7),(12,21),0.0160271 # DEPENDENCYPART_SIBL
(12,7),(12,22),0.0502079 # DEPENDENCYPART_SIBL
(12,8),(12,10),0.0451446 # DEPENDENCYPART_SIBL
(12,8),(12,11),0.010872 # DEPENDENCYPART_SIBL
(12,8),(12,14),0.00352729 # DEPENDENCYPART_SIBL
(12,8),(12,16),0.00352729 # DEPENDENCYPART_SIBL
(12,8),(12,18),0.0220844 # DEPENDENCYPART_SIBL
(12,8),(12,21),0.0160261 # DEPENDENCYPART_SIBL
(12,8),(12,22),0.0501921 # DEPENDENCYPART_SIBL
(12,10),(12,11),0.0285184 # DEPENDENCYPART_SIBL
(12,10),(12,14),-0.023246 # DEPENDENCYPART_SIBL
(12,10),(12,16),-0.023246 # DEPENDENCYPART_SIBL
(12,10),(12,18),0.0387824 # DEPENDENCYPART_SIBL
(12,10),(12,21),0.00564772 # DEPENDENCYPART_SIBL
(12,10),(12,22),0.0963522 # DEPENDENCYPART_SIBL
(12,11),(12,14),-0.0854065 # DEPENDENCYPART_SIBL
(12,11),(12,16),-0.0854065 # DEPENDENCYPART_SIBL
(12,11),(12,18),-0.0173542 # DEPENDENCYPART_SIBL
(12,11),(12,21),-0.00188087 # DEPENDENCYPART_SIBL
(12,11),(12,22),-0.042442 # DEPENDENCYPART_SIBL
(12,14),(12,16),0.0129125 # DEPENDENCYPART_SIBL
(12,14),(12,18),0.238827 # DEPENDENCYPART_SIBL
(12,14),(12,21),0.161879 # DEPENDENCYPART_SIBL
(12,14),(12,22),0.00670812 # DEPENDENCYPART_SIBL
(12,16),(12,18),0.238827 # DEPENDENCYPART_SIBL
(12,16),(12,21),0.161879 # DEPENDENCYPART_SIBL
(12,16),(12,22),0.00670812 # DEPENDENCYPART_SIBL
(12,18),(12,21),0.053268 # DEPENDENCYPART_SIBL
(12,18),(12,22),0.036961 # DEPENDENCYPART_SIBL
(12,21),(12,22),0.00734973 # DEPENDENCYPART_SIBL
(13,2),(13,4),-0.187757 # DEPENDENCYPART_SIBL
(13,2),(13,6),-0.188767 # DEPENDENCYPART_SIBL
(13,2),(13,7),-0.188767 # DEPENDENCYPART_SIBL
(13,2),(13,8),-0.188768 # DEPENDENCYPART_SIBL
(13,2),(13,12),-0.026199 # DEPENDENCYPART_SIBL
(13,2),(13,14),-0.0677865 # DEPENDENCYPART_SIBL
(13,2),(13,16),-0.0677865 # DEPENDENCYPART_SIBL
(13,2),(13,18),-0.0401022 # DEPENDENCYPART_SIBL
(13,2),(13,19),-0.0379567 # DEPENDENCYPART_SIBL
(13,2),(13,21),-0.066918 # DEPENDENCYPART_SIBL
(13,2),(13,22),-0.191972 # DEPENDENCYPART_SIBL
(13,4),(13,6),-0.183839 # DEPENDENCYPART_SIBL
(13,4),(13,7),-0.183839 # DEPENDENCYPART_SIBL
(13,4),(13,8),-0.18384 # DEPENDENCYPART_SIBL
(13,4),(13,12),-0.026199 # DEPENDENCYPART_SIBL
(13,4),(13,14),-0.0606813 # DEPENDENCYPART_SIBL
(13,4),(13,16),-0.0606813 # DEPENDENCYPART_SIBL
(13,4),(13,18),-0.0374284 # DEPENDENCYPART_SIBL
(13,4),(13,19),-0.0379567 # DEPENDENCYPART_SIBL
(13,4),(13,21),-0.061487 # DEPENDENCYPART_SIBL
(13,4),(13,22),-0.187149 # DEPENDENCYPART_SIBL
(13,6),(13,7),-0.18876 # DEPENDENCYPART_SIBL
(13,6),(13,8),-0.188762 # DEPENDENCYPART_SIBL
(13,6),(13,12),-0.026199 # DEPENDENCYPART_SIBL
(13,6),(13,14),-0.0663384 # DEPENDENCYPART_SIBL
(13,6),(13,16),-0.0663384 # DEPENDENCYPART_SIBL
(13,6),(13,18),-0.0402198 # DEPENDENCYPART_SIBL
(13,6),(13,19),-0.0379567 # DEPENDENCYPART_SIBL
(13,6),(13,21),-0.0676753 # DEPENDENCYPART_SIBL
(13,6),(13,22),-0.193247 # DEPENDENCYPART_SIBL
(13,7),(13,8),-0.188762 # DEPENDENCYPART_SIBL
(13,7),(13,12),-0.026199 # DEPENDENCYPART_SIBL
(13,7),(13,14),-0.0663384 # DEPENDENCYPART_SIBL
(13,7),(13,16),-0.0663384 # DEPENDENCYPART_SIBL
(13,7),(13,18),-0.0402198 # DEPENDENCYPART_SIBL
(13,7),(13,19),-0.0379567 # DEPENDENCYPART_SIBL
(13,7),(13,21),-0.0676753 # DEPENDENCYPART_SIBL
(13,7),(13,22),-0.193247 # DEPENDENCYPART_SIBL
(13,8),(13,12),-0.026199 # DEPENDENCYPART_SIBL
(13,8),(13,14),-0.0663413 # DEPENDENCYPART_SIBL
(13,8),(13,16),-0.0663413 # DEPENDENCYPART_SIBL
(13,8),(13,18),-0.0402938 # DEPENDENCYPART_SIBL
(13,8),(13,19),-0.0379571 # DEPENDENCYPART_SIBL
(13,8),(13,21),-0.0676764 # DEPENDENCYPART_SIBL
(13,8),(13,22),-0.193263 # DEPENDENCYPART_SIBL
(13,12),(13,14),-0.0428579 # DEPENDENCYPART_SIBL
(13,12),(13,16),-0.0428579 # DEPENDENCYPART_SIBL
(13,12),(13,18),-0.00555084 # DEPENDENCYPART_SIBL
(13,12),(13,19),0.00919016 # DEPENDENCYPART_SIBL
(13,12),(13,21),-0.0203382 # DEPENDENCYPART_SIBL
(13,12),(13,22),-0.0787727 # DEPENDENCYPART_SIBL
(13,14),(13,16),0.0155467 # DEPENDENCYPART_SIBL
(13,14),(13,18),0.297239 # DEPENDENCYPART_SIBL
(13,14),(13,19),0.0719967 # DEPENDENCYPART_SIBL
(13,14),(13,21),0.115421 # DEPENDENCYPART_SIBL
(13,14),(13,22),0.0917726 # DEPENDENCYPART_SIBL
(13,16),(13,18),0.297239 # DEPENDENCYPART_SIBL
(13,16),(13,19),0.0719967 # DEPENDENCYPART_SIBL
(13,16),(13,21),0.115421 # DEPENDENCYPART_SIBL
(13,16),(13,22),0.0917726 # DEPENDENCYPART_SIBL
(13,18),(13,19),0.0209962 # DEPENDENCYPART_SIBL
(13,18),(13,21),0.053626 # DEPENDENCYPART_SIBL
