# _root_ Szívet melengető érzés , hogy Európában még mindig mekkora kultusza van , és a mostani negyvenévesek milyen nosztalgiával emlegetik őt .
#goldHeads=2,3,5,5,0,11,11,11,10,11,13,13,5,16,16,19,18,19,13,19,5,
#predictedHeads=2,3,5,5,13,11,11,11,10,11,13,13,0,16,16,19,18,19,13,19,13,
(7,12),(7,21),0.0160359 # DEPENDENCYPART_SIBL
(7,13),(7,19),0.0115485 # DEPENDENCYPART_SIBL
(7,13),(7,21),-0.0152066 # DEPENDENCYPART_SIBL
(7,19),(7,21),0.0140827 # DEPENDENCYPART_SIBL
(8,1),(8,3),0.0919364 # DEPENDENCYPART_SIBL
(8,1),(8,4),0.261795 # DEPENDENCYPART_SIBL
(8,1),(8,6),0.090854 # DEPENDENCYPART_SIBL
(8,1),(8,7),0.154213 # DEPENDENCYPART_SIBL
(8,1),(8,10),0.0974847 # DEPENDENCYPART_SIBL
(8,3),(8,4),0.258213 # DEPENDENCYPART_SIBL
(8,3),(8,6),0.089005 # DEPENDENCYPART_SIBL
(8,3),(8,7),0.15691 # DEPENDENCYPART_SIBL
(8,3),(8,10),0.0984097 # DEPENDENCYPART_SIBL
(8,4),(8,6),0.0398287 # DEPENDENCYPART_SIBL
(8,4),(8,7),0.063574 # DEPENDENCYPART_SIBL
(8,4),(8,10),0.048011 # DEPENDENCYPART_SIBL
(8,6),(8,7),0.158414 # DEPENDENCYPART_SIBL
(8,6),(8,10),0.0941028 # DEPENDENCYPART_SIBL
(8,7),(8,10),0.157507 # DEPENDENCYPART_SIBL
(9,10),(9,12),0.0148899 # DEPENDENCYPART_SIBL
(9,10),(9,15),0.0929432 # DEPENDENCYPART_SIBL
(9,12),(9,15),-0.000933015 # DEPENDENCYPART_SIBL
(10,1),(10,2),0.0542683 # DEPENDENCYPART_SIBL
(10,1),(10,3),-0.00456142 # DEPENDENCYPART_SIBL
(10,1),(10,4),0.66248 # DEPENDENCYPART_SIBL
(10,1),(10,5),0.421746 # DEPENDENCYPART_SIBL
(10,1),(10,6),-0.00564289 # DEPENDENCYPART_SIBL
(10,1),(10,7),0.226325 # DEPENDENCYPART_SIBL
(10,1),(10,8),0.207455 # DEPENDENCYPART_SIBL
(10,1),(10,9),0.056035 # DEPENDENCYPART_SIBL
(10,1),(10,12),-0.00607184 # DEPENDENCYPART_SIBL
(10,1),(10,15),0.0440885 # DEPENDENCYPART_SIBL
(10,1),(10,16),0.0445672 # DEPENDENCYPART_SIBL
(10,1),(10,18),0.00141796 # DEPENDENCYPART_SIBL
(10,1),(10,19),0.00684588 # DEPENDENCYPART_SIBL
(10,1),(10,21),0.0478679 # DEPENDENCYPART_SIBL
(10,2),(10,3),-0.00307406 # DEPENDENCYPART_SIBL
(10,2),(10,4),0.440921 # DEPENDENCYPART_SIBL
(10,2),(10,5),0.303846 # DEPENDENCYPART_SIBL
(10,2),(10,6),-0.00307444 # DEPENDENCYPART_SIBL
(10,2),(10,7),0.0874253 # DEPENDENCYPART_SIBL
(10,2),(10,8),0.0588205 # DEPENDENCYPART_SIBL
(10,2),(10,9),-0.00250174 # DEPENDENCYPART_SIBL
(10,2),(10,12),-0.0329118 # DEPENDENCYPART_SIBL
(10,2),(10,15),0.000202856 # DEPENDENCYPART_SIBL
(10,2),(10,16),0.000216547 # DEPENDENCYPART_SIBL
(10,2),(10,18),-0.00411379 # DEPENDENCYPART_SIBL
(10,2),(10,19),-0.0407426 # DEPENDENCYPART_SIBL
(10,2),(10,21),-0.00425058 # DEPENDENCYPART_SIBL
(10,3),(10,4),0.641687 # DEPENDENCYPART_SIBL
(10,3),(10,5),0.413639 # DEPENDENCYPART_SIBL
(10,3),(10,6),-0.0191875 # DEPENDENCYPART_SIBL
(10,3),(10,7),0.220915 # DEPENDENCYPART_SIBL
(10,3),(10,8),0.202044 # DEPENDENCYPART_SIBL
(10,3),(10,9),0.0479281 # DEPENDENCYPART_SIBL
(10,3),(10,12),-0.00283849 # DEPENDENCYPART_SIBL
(10,3),(10,15),0.0442093 # DEPENDENCYPART_SIBL
(10,3),(10,16),0.0446881 # DEPENDENCYPART_SIBL
(10,3),(10,18),0.00337853 # DEPENDENCYPART_SIBL
(10,3),(10,19),0.00698903 # DEPENDENCYPART_SIBL
(10,3),(10,21),0.041682 # DEPENDENCYPART_SIBL
(10,4),(10,5),0.105326 # DEPENDENCYPART_SIBL
(10,4),(10,6),0.0610717 # DEPENDENCYPART_SIBL
(10,4),(10,7),0.116909 # DEPENDENCYPART_SIBL
(10,4),(10,8),0.0806989 # DEPENDENCYPART_SIBL
(10,4),(10,9),-0.0276629 # DEPENDENCYPART_SIBL
(10,4),(10,12),-0.0346477 # DEPENDENCYPART_SIBL
(10,4),(10,15),-0.00379184 # DEPENDENCYPART_SIBL
(10,4),(10,16),-0.00378308 # DEPENDENCYPART_SIBL
(10,4),(10,18),-0.00844461 # DEPENDENCYPART_SIBL
(10,4),(10,19),-0.0285565 # DEPENDENCYPART_SIBL
(10,4),(10,21),0.0238545 # DEPENDENCYPART_SIBL
(10,5),(10,6),-0.0941664 # DEPENDENCYPART_SIBL
(10,5),(10,7),0.0330491 # DEPENDENCYPART_SIBL
(10,5),(10,8),0.0189001 # DEPENDENCYPART_SIBL
(10,5),(10,9),-0.0118713 # DEPENDENCYPART_SIBL
(10,5),(10,12),-0.0401258 # DEPENDENCYPART_SIBL
(10,5),(10,15),0.0196316 # DEPENDENCYPART_SIBL
(10,5),(10,16),0.0196323 # DEPENDENCYPART_SIBL
(10,5),(10,18),-0.0114091 # DEPENDENCYPART_SIBL
(10,5),(10,19),-0.00386728 # DEPENDENCYPART_SIBL
(10,5),(10,21),0.0872952 # DEPENDENCYPART_SIBL
(10,6),(10,7),0.222409 # DEPENDENCYPART_SIBL
(10,6),(10,8),0.203539 # DEPENDENCYPART_SIBL
(10,6),(10,9),0.0502717 # DEPENDENCYPART_SIBL
(10,6),(10,12),0.00340859 # DEPENDENCYPART_SIBL
(10,6),(10,15),0.0420208 # DEPENDENCYPART_SIBL
(10,6),(10,16),0.0424995 # DEPENDENCYPART_SIBL
(10,6),(10,18),-0.000928122 # DEPENDENCYPART_SIBL
(10,6),(10,19),0.0122426 # DEPENDENCYPART_SIBL
(10,6),(10,21),0.0534614 # DEPENDENCYPART_SIBL
(10,7),(10,8),0.122869 # DEPENDENCYPART_SIBL
(10,7),(10,9),0.0200756 # DEPENDENCYPART_SIBL
(10,7),(10,12),0.0452271 # DEPENDENCYPART_SIBL
(10,7),(10,15),0.0859956 # DEPENDENCYPART_SIBL
(10,7),(10,16),0.0860153 # DEPENDENCYPART_SIBL
(10,7),(10,18),0.0340956 # DEPENDENCYPART_SIBL
(10,7),(10,19),0.0631602 # DEPENDENCYPART_SIBL
(10,7),(10,21),0.121569 # DEPENDENCYPART_SIBL
(10,8),(10,9),0.0170459 # DEPENDENCYPART_SIBL
(10,8),(10,12),0.00719328 # DEPENDENCYPART_SIBL
(10,8),(10,15),0.0663016 # DEPENDENCYPART_SIBL
(10,8),(10,16),0.0663214 # DEPENDENCYPART_SIBL
(10,8),(10,18),0.00931039 # DEPENDENCYPART_SIBL
(10,8),(10,19),0.0430038 # DEPENDENCYPART_SIBL
(10,8),(10,21),0.119674 # DEPENDENCYPART_SIBL
(10,9),(10,12),-0.0132447 # DEPENDENCYPART_SIBL
(10,9),(10,15),0.0042635 # DEPENDENCYPART_SIBL
(10,9),(10,16),0.00454774 # DEPENDENCYPART_SIBL
(10,9),(10,18),0.00168871 # DEPENDENCYPART_SIBL
(10,9),(10,19),0.030877 # DEPENDENCYPART_SIBL
(10,9),(10,21),0.0109825 # DEPENDENCYPART_SIBL
(10,12),(10,15),0.152351 # DEPENDENCYPART_SIBL
(10,12),(10,16),0.153297 # DEPENDENCYPART_SIBL
(10,12),(10,18),0.342981 # DEPENDENCYPART_SIBL
(10,12),(10,19),0.425607 # DEPENDENCYPART_SIBL
(10,12),(10,21),0.0787788 # DEPENDENCYPART_SIBL
(10,15),(10,16),0.00576453 # DEPENDENCYPART_SIBL
(10,15),(10,18),0.0547372 # DEPENDENCYPART_SIBL
(10,15),(10,19),0.0556607 # DEPENDENCYPART_SIBL
(10,15),(10,21),0.104462 # DEPENDENCYPART_SIBL
(10,16),(10,18),0.0547467 # DEPENDENCYPART_SIBL
(10,16),(10,19),0.0558709 # DEPENDENCYPART_SIBL
(10,16),(10,21),0.106008 # DEPENDENCYPART_SIBL
(10,18),(10,19),0.058216 # DEPENDENCYPART_SIBL
(10,18),(10,21),0.0485651 # DEPENDENCYPART_SIBL
(10,19),(10,21),0.208651 # DEPENDENCYPART_SIBL
(11,1),(11,2),-0.00361034 # DEPENDENCYPART_SIBL
(11,1),(11,3),0.00325184 # DEPENDENCYPART_SIBL
(11,1),(11,4),0.0598854 # DEPENDENCYPART_SIBL
(11,1),(11,5),0.0289082 # DEPENDENCYPART_SIBL
(11,1),(11,6),-0.000815267 # DEPENDENCYPART_SIBL
(11,1),(11,7),0.0101495 # DEPENDENCYPART_SIBL
(11,1),(11,8),0.0107601 # DEPENDENCYPART_SIBL
(11,1),(11,9),-0.098831 # DEPENDENCYPART_SIBL
(11,1),(11,10),0.00325184 # DEPENDENCYPART_SIBL
(11,1),(11,12),-0.0345546 # DEPENDENCYPART_SIBL
(11,1),(11,13),-0.00343441 # DEPENDENCYPART_SIBL
(11,1),(11,14),-0.0164662 # DEPENDENCYPART_SIBL
(11,1),(11,15),0.0307706 # DEPENDENCYPART_SIBL
(11,1),(11,16),0.0326832 # DEPENDENCYPART_SIBL
(11,1),(11,17),0.0122226 # DEPENDENCYPART_SIBL
(11,1),(11,18),-0.000175908 # DEPENDENCYPART_SIBL
(11,1),(11,19),-0.0109495 # DEPENDENCYPART_SIBL
(11,1),(11,20),0.00187672 # DEPENDENCYPART_SIBL
(11,1),(11,21),-0.0164677 # DEPENDENCYPART_SIBL
(11,2),(11,3),0.0133648 # DEPENDENCYPART_SIBL
(11,2),(11,4),0.0711824 # DEPENDENCYPART_SIBL
(11,2),(11,5),0.0835271 # DEPENDENCYPART_SIBL
(11,2),(11,6),0.0135407 # DEPENDENCYPART_SIBL
(11,2),(11,7),-0.0132231 # DEPENDENCYPART_SIBL
(11,2),(11,8),-0.00629888 # DEPENDENCYPART_SIBL
(11,2),(11,9),-0.0669843 # DEPENDENCYPART_SIBL
(11,2),(11,10),0.0133648 # DEPENDENCYPART_SIBL
(11,2),(11,12),0.0333413 # DEPENDENCYPART_SIBL
(11,2),(11,13),-0.000671669 # DEPENDENCYPART_SIBL
(11,2),(11,14),0.0155419 # DEPENDENCYPART_SIBL
(11,2),(11,15),0.0218053 # DEPENDENCYPART_SIBL
(11,2),(11,16),0.0227827 # DEPENDENCYPART_SIBL
(11,2),(11,17),0.064734 # DEPENDENCYPART_SIBL
(11,2),(11,18),0.0372295 # DEPENDENCYPART_SIBL
(11,2),(11,19),0.0222906 # DEPENDENCYPART_SIBL
(11,2),(11,20),0.0560938 # DEPENDENCYPART_SIBL
(11,2),(11,21),0.0108179 # DEPENDENCYPART_SIBL
(11,3),(11,4),0.0690176 # DEPENDENCYPART_SIBL
(11,3),(11,5),0.0361014 # DEPENDENCYPART_SIBL
(11,3),(11,6),0.00626566 # DEPENDENCYPART_SIBL
(11,3),(11,7),0.022736 # DEPENDENCYPART_SIBL
(11,3),(11,8),0.0233467 # DEPENDENCYPART_SIBL
(11,3),(11,9),-0.0916372 # DEPENDENCYPART_SIBL
(11,3),(11,10),0.0103328 # DEPENDENCYPART_SIBL
(11,3),(11,12),-0.0329463 # DEPENDENCYPART_SIBL
(11,3),(11,13),-0.00338441 # DEPENDENCYPART_SIBL
(11,3),(11,14),-0.0164162 # DEPENDENCYPART_SIBL
(11,3),(11,15),0.030824 # DEPENDENCYPART_SIBL
(11,3),(11,16),0.0327366 # DEPENDENCYPART_SIBL
(11,3),(11,17),0.0122726 # DEPENDENCYPART_SIBL
(11,3),(11,18),0.000799006 # DEPENDENCYPART_SIBL
(11,3),(11,19),-0.0108497 # DEPENDENCYPART_SIBL
(11,3),(11,20),0.00192672 # DEPENDENCYPART_SIBL
(11,3),(11,21),-0.0195485 # DEPENDENCYPART_SIBL
(11,4),(11,5),0.0382994 # DEPENDENCYPART_SIBL
(11,4),(11,6),0.0162668 # DEPENDENCYPART_SIBL
(11,4),(11,7),0.00137848 # DEPENDENCYPART_SIBL
(11,4),(11,8),0.0361987 # DEPENDENCYPART_SIBL
(11,4),(11,9),-0.0394602 # DEPENDENCYPART_SIBL
(11,4),(11,10),0.00779691 # DEPENDENCYPART_SIBL
(11,4),(11,12),-0.0185184 # DEPENDENCYPART_SIBL
(11,4),(11,13),0.0039698 # DEPENDENCYPART_SIBL
(11,4),(11,14),-0.00453258 # DEPENDENCYPART_SIBL
(11,4),(11,15),0.0243755 # DEPENDENCYPART_SIBL
(11,4),(11,16),0.0253531 # DEPENDENCYPART_SIBL
(11,4),(11,17),0.0272905 # DEPENDENCYPART_SIBL
(11,4),(11,18),0.00515246 # DEPENDENCYPART_SIBL
(11,4),(11,19),-0.0100777 # DEPENDENCYPART_SIBL
(11,4),(11,20),0.0190525 # DEPENDENCYPART_SIBL
(11,4),(11,21),-0.00759937 # DEPENDENCYPART_SIBL
(11,5),(11,6),-0.0957356 # DEPENDENCYPART_SIBL
(11,5),(11,7),-0.0590934 # DEPENDENCYPART_SIBL
(11,5),(11,8),-0.0226344 # DEPENDENCYPART_SIBL
(11,5),(11,9),-0.0224009 # DEPENDENCYPART_SIBL
(11,5),(11,10),-0.0973817 # DEPENDENCYPART_SIBL
(11,5),(11,12),-0.0743561 # DEPENDENCYPART_SIBL
(11,5),(11,13),-0.0299778 # DEPENDENCYPART_SIBL
(11,5),(11,14),-0.0493922 # DEPENDENCYPART_SIBL
(11,5),(11,15),-0.0173339 # DEPENDENCYPART_SIBL
(11,5),(11,16),-0.01637 # DEPENDENCYPART_SIBL
(11,5),(11,17),-0.016865 # DEPENDENCYPART_SIBL
(11,5),(11,18),-0.0220892 # DEPENDENCYPART_SIBL
(11,5),(11,19),-0.068662 # DEPENDENCYPART_SIBL
(11,5),(11,20),-0.033057 # DEPENDENCYPART_SIBL
(11,5),(11,21),0.00501351 # DEPENDENCYPART_SIBL
(11,6),(11,7),0.0210932 # DEPENDENCYPART_SIBL
(11,6),(11,8),0.0217039 # DEPENDENCYPART_SIBL
(11,6),(11,9),-0.0961985 # DEPENDENCYPART_SIBL
(11,6),(11,10),-0.00115107 # DEPENDENCYPART_SIBL
(11,6),(11,12),-0.0237945 # DEPENDENCYPART_SIBL
(11,6),(11,13),-0.00645626 # DEPENDENCYPART_SIBL
(11,6),(11,14),-0.0169551 # DEPENDENCYPART_SIBL
(11,6),(11,15),0.0259417 # DEPENDENCYPART_SIBL
(11,6),(11,16),0.0278543 # DEPENDENCYPART_SIBL
(11,6),(11,17),0.0117321 # DEPENDENCYPART_SIBL
(11,6),(11,18),-0.00583462 # DEPENDENCYPART_SIBL
(11,6),(11,19),-0.00506282 # DEPENDENCYPART_SIBL
(11,6),(11,20),0.00138621 # DEPENDENCYPART_SIBL
(11,6),(11,21),-0.00494454 # DEPENDENCYPART_SIBL
(11,7),(11,8),0.0696551 # DEPENDENCYPART_SIBL
(11,7),(11,9),-0.0149669 # DEPENDENCYPART_SIBL
(11,7),(11,10),0.0977562 # DEPENDENCYPART_SIBL
(11,7),(11,12),-0.0210342 # DEPENDENCYPART_SIBL
(11,7),(11,13),0.030922 # DEPENDENCYPART_SIBL
(11,7),(11,14),-0.0800712 # DEPENDENCYPART_SIBL
(11,7),(11,15),0.0304322 # DEPENDENCYPART_SIBL
(11,7),(11,16),0.0314317 # DEPENDENCYPART_SIBL
(11,7),(11,17),0.0413129 # DEPENDENCYPART_SIBL
(11,7),(11,18),0.0226063 # DEPENDENCYPART_SIBL
(11,7),(11,19),-0.025155 # DEPENDENCYPART_SIBL
(11,7),(11,20),0.0325293 # DEPENDENCYPART_SIBL
(11,7),(11,21),-0.0365709 # DEPENDENCYPART_SIBL
(11,8),(11,9),-0.0437985 # DEPENDENCYPART_SIBL
(11,8),(11,10),0.0271116 # DEPENDENCYPART_SIBL
(11,8),(11,12),-0.0523427 # DEPENDENCYPART_SIBL
(11,8),(11,13),-0.00162559 # DEPENDENCYPART_SIBL
(11,8),(11,14),-0.102814 # DEPENDENCYPART_SIBL
(11,8),(11,15),0.00175696 # DEPENDENCYPART_SIBL
(11,8),(11,16),0.00275648 # DEPENDENCYPART_SIBL
(11,8),(11,17),0.00595957 # DEPENDENCYPART_SIBL
(11,8),(11,18),-0.0291849 # DEPENDENCYPART_SIBL
(11,8),(11,19),-0.0521424 # DEPENDENCYPART_SIBL
(11,8),(11,20),-0.00282404 # DEPENDENCYPART_SIBL
(11,8),(11,21),-0.0329012 # DEPENDENCYPART_SIBL
(11,9),(11,10),0.0426076 # DEPENDENCYPART_SIBL
(11,9),(11,12),-0.109235 # DEPENDENCYPART_SIBL
(11,9),(11,13),-0.0961677 # DEPENDENCYPART_SIBL
(11,9),(11,14),-0.0556559 # DEPENDENCYPART_SIBL
(11,9),(11,15),-0.043902 # DEPENDENCYPART_SIBL
(11,9),(11,16),-0.0423709 # DEPENDENCYPART_SIBL
(11,9),(11,17),-0.033671 # DEPENDENCYPART_SIBL
(11,9),(11,18),-0.0447682 # DEPENDENCYPART_SIBL
(11,9),(11,19),-0.114855 # DEPENDENCYPART_SIBL
(11,9),(11,20),-0.0410192 # DEPENDENCYPART_SIBL
(11,9),(11,21),-0.0582511 # DEPENDENCYPART_SIBL
(11,10),(11,12),-0.0329463 # DEPENDENCYPART_SIBL
(11,10),(11,13),-0.00338441 # DEPENDENCYPART_SIBL
(11,10),(11,14),-0.0164162 # DEPENDENCYPART_SIBL
(11,10),(11,15),0.030824 # DEPENDENCYPART_SIBL
(11,10),(11,16),0.0327366 # DEPENDENCYPART_SIBL
(11,10),(11,17),0.0122726 # DEPENDENCYPART_SIBL
(11,10),(11,18),0.000799006 # DEPENDENCYPART_SIBL
(11,10),(11,19),-0.0108497 # DEPENDENCYPART_SIBL
(11,10),(11,20),0.00192672 # DEPENDENCYPART_SIBL
(11,10),(11,21),-0.0195485 # DEPENDENCYPART_SIBL
(11,12),(11,13),0.144589 # DEPENDENCYPART_SIBL
(11,12),(11,14),0.145547 # DEPENDENCYPART_SIBL
(11,12),(11,15),0.100714 # DEPENDENCYPART_SIBL
(11,12),(11,16),0.10313 # DEPENDENCYPART_SIBL
(11,12),(11,17),0.0257601 # DEPENDENCYPART_SIBL
(11,12),(11,18),0.0861322 # DEPENDENCYPART_SIBL
(11,12),(11,19),0.253045 # DEPENDENCYPART_SIBL
(11,12),(11,20),0.0329915 # DEPENDENCYPART_SIBL
(11,12),(11,21),0.0515949 # DEPENDENCYPART_SIBL
(11,13),(11,14),0.067248 # DEPENDENCYPART_SIBL
(11,13),(11,15),0.0442017 # DEPENDENCYPART_SIBL
(11,13),(11,16),0.0447324 # DEPENDENCYPART_SIBL
(11,13),(11,17),0.0737973 # DEPENDENCYPART_SIBL
(11,13),(11,18),0.102873 # DEPENDENCYPART_SIBL
(11,13),(11,19),0.03455 # DEPENDENCYPART_SIBL
(11,13),(11,20),0.07714 # DEPENDENCYPART_SIBL
(11,13),(11,21),-0.015744 # DEPENDENCYPART_SIBL
(11,14),(11,15),0.000957205 # DEPENDENCYPART_SIBL
(11,14),(11,16),0.00148649 # DEPENDENCYPART_SIBL
(11,14),(11,17),-0.0064123 # DEPENDENCYPART_SIBL
(11,14),(11,18),-0.00283738 # DEPENDENCYPART_SIBL
(11,14),(11,19),-0.0210344 # DEPENDENCYPART_SIBL
(11,14),(11,20),-0.00342563 # DEPENDENCYPART_SIBL
(11,14),(11,21),-0.0416695 # DEPENDENCYPART_SIBL
(11,15),(11,16),0.00597886 # DEPENDENCYPART_SIBL
(11,15),(11,17),0.0126436 # DEPENDENCYPART_SIBL
(11,15),(11,18),-0.00870474 # DEPENDENCYPART_SIBL
(11,15),(11,19),0.0180815 # DEPENDENCYPART_SIBL
(11,15),(11,20),0.0158657 # DEPENDENCYPART_SIBL
(11,15),(11,21),0.00215845 # DEPENDENCYPART_SIBL
(11,16),(11,17),0.0139874 # DEPENDENCYPART_SIBL
(11,16),(11,18),-0.00735444 # DEPENDENCYPART_SIBL
(11,16),(11,19),0.0198394 # DEPENDENCYPART_SIBL
(11,16),(11,20),0.0172095 # DEPENDENCYPART_SIBL
(11,16),(11,21),0.00655882 # DEPENDENCYPART_SIBL
(11,17),(11,18),-0.0125066 # DEPENDENCYPART_SIBL
(11,17),(11,19),-0.0391189 # DEPENDENCYPART_SIBL
(11,17),(11,20),-0.0204237 # DEPENDENCYPART_SIBL
(11,17),(11,21),-0.0300444 # DEPENDENCYPART_SIBL
(11,18),(11,19),0.000776715 # DEPENDENCYPART_SIBL
(11,18),(11,20),0.0464566 # DEPENDENCYPART_SIBL
(11,18),(11,21),-0.00967153 # DEPENDENCYPART_SIBL
(11,19),(11,20),-0.00811405 # DEPENDENCYPART_SIBL
(11,19),(11,21),0.0122233 # DEPENDENCYPART_SIBL
(11,20),(11,21),-0.0323329 # DEPENDENCYPART_SIBL
(13,1),(13,2),0.00186019 # DEPENDENCYPART_SIBL
(13,1),(13,3),0.00758297 # DEPENDENCYPART_SIBL
(13,1),(13,4),0.379459 # DEPENDENCYPART_SIBL
(13,1),(13,5),0.219279 # DEPENDENCYPART_SIBL
(13,1),(13,6),0.00871783 # DEPENDENCYPART_SIBL
(13,1),(13,7),0.0838154 # DEPENDENCYPART_SIBL
(13,1),(13,8),0.0600227 # DEPENDENCYPART_SIBL
(13,1),(13,10),0.00758297 # DEPENDENCYPART_SIBL
(13,1),(13,11),0.0290871 # DEPENDENCYPART_SIBL
(13,1),(13,12),0.379459 # DEPENDENCYPART_SIBL
(13,1),(13,14),0.0477682 # DEPENDENCYPART_SIBL
(13,1),(13,15),0.0254043 # DEPENDENCYPART_SIBL
(13,1),(13,16),0.025916 # DEPENDENCYPART_SIBL
(13,1),(13,18),0.232868 # DEPENDENCYPART_SIBL
(13,1),(13,19),-0.000225197 # DEPENDENCYPART_SIBL
(13,1),(13,21),-0.00503366 # DEPENDENCYPART_SIBL
(13,2),(13,3),-0.0142338 # DEPENDENCYPART_SIBL
(13,2),(13,4),0.298983 # DEPENDENCYPART_SIBL
(13,2),(13,5),0.232085 # DEPENDENCYPART_SIBL
(13,2),(13,6),-0.0119703 # DEPENDENCYPART_SIBL
(13,2),(13,7),0.0110226 # DEPENDENCYPART_SIBL
(13,2),(13,8),-0.0163307 # DEPENDENCYPART_SIBL
(13,2),(13,10),-0.0142338 # DEPENDENCYPART_SIBL
(13,2),(13,11),0.0513848 # DEPENDENCYPART_SIBL
(13,2),(13,12),0.298983 # DEPENDENCYPART_SIBL
(13,2),(13,14),0.0281179 # DEPENDENCYPART_SIBL
(13,2),(13,15),0.0852642 # DEPENDENCYPART_SIBL
(13,2),(13,16),0.0853312 # DEPENDENCYPART_SIBL
(13,2),(13,18),0.00894992 # DEPENDENCYPART_SIBL
(13,2),(13,19),0.00509443 # DEPENDENCYPART_SIBL
(13,2),(13,21),0.0296997 # DEPENDENCYPART_SIBL
(13,3),(13,4),0.375892 # DEPENDENCYPART_SIBL
(13,3),(13,5),0.21929 # DEPENDENCYPART_SIBL
(13,3),(13,6),0.0068838 # DEPENDENCYPART_SIBL
(13,3),(13,7),0.0865241 # DEPENDENCYPART_SIBL
(13,3),(13,8),0.0627313 # DEPENDENCYPART_SIBL
(13,3),(13,10),0.00574894 # DEPENDENCYPART_SIBL
(13,3),(13,11),0.0291006 # DEPENDENCYPART_SIBL
(13,3),(13,12),0.375892 # DEPENDENCYPART_SIBL
(13,3),(13,14),0.0477941 # DEPENDENCYPART_SIBL
(13,3),(13,15),0.0254399 # DEPENDENCYPART_SIBL
(13,3),(13,16),0.0259515 # DEPENDENCYPART_SIBL
(13,3),(13,18),0.233831 # DEPENDENCYPART_SIBL
(13,3),(13,19),-0.000171722 # DEPENDENCYPART_SIBL
(13,3),(13,21),-0.00815188 # DEPENDENCYPART_SIBL
(13,4),(13,5),0.237221 # DEPENDENCYPART_SIBL
(13,4),(13,6),0.03883 # DEPENDENCYPART_SIBL
(13,4),(13,7),0.0445396 # DEPENDENCYPART_SIBL
(13,4),(13,8),-0.0070337 # DEPENDENCYPART_SIBL
(13,4),(13,10),0.0324195 # DEPENDENCYPART_SIBL
(13,4),(13,11),0.107789 # DEPENDENCYPART_SIBL
(13,4),(13,12),0.0345787 # DEPENDENCYPART_SIBL
(13,4),(13,14),0.0876369 # DEPENDENCYPART_SIBL
(13,4),(13,15),0.0701444 # DEPENDENCYPART_SIBL
(13,4),(13,16),0.0701818 # DEPENDENCYPART_SIBL
(13,4),(13,18),0.0218518 # DEPENDENCYPART_SIBL
(13,4),(13,19),0.195911 # DEPENDENCYPART_SIBL
(13,4),(13,21),0.198796 # DEPENDENCYPART_SIBL
(13,5),(13,6),-0.145288 # DEPENDENCYPART_SIBL
(13,5),(13,7),-0.0814497 # DEPENDENCYPART_SIBL
(13,5),(13,8),-0.0886946 # DEPENDENCYPART_SIBL
(13,5),(13,10),-0.147767 # DEPENDENCYPART_SIBL
(13,5),(13,11),-0.00996888 # DEPENDENCYPART_SIBL
(13,5),(13,12),0.0766657 # DEPENDENCYPART_SIBL
(13,5),(13,14),0.00292342 # DEPENDENCYPART_SIBL
(13,5),(13,15),-0.0103605 # DEPENDENCYPART_SIBL
(13,5),(13,16),-0.0103312 # DEPENDENCYPART_SIBL
(13,5),(13,18),-0.0225145 # DEPENDENCYPART_SIBL
(13,5),(13,19),0.0212559 # DEPENDENCYPART_SIBL
(13,5),(13,21),0.0623713 # DEPENDENCYPART_SIBL
(13,6),(13,7),0.0948307 # DEPENDENCYPART_SIBL
(13,6),(13,8),0.071038 # DEPENDENCYPART_SIBL
(13,6),(13,10),0.0124692 # DEPENDENCYPART_SIBL
(13,6),(13,11),0.0355367 # DEPENDENCYPART_SIBL
(13,6),(13,12),0.385076 # DEPENDENCYPART_SIBL
(13,6),(13,14),0.0519887 # DEPENDENCYPART_SIBL
(13,6),(13,15),0.027443 # DEPENDENCYPART_SIBL
(13,6),(13,16),0.0279547 # DEPENDENCYPART_SIBL
(13,6),(13,18),0.233587 # DEPENDENCYPART_SIBL
(13,6),(13,19),0.0115295 # DEPENDENCYPART_SIBL
(13,6),(13,21),0.0123582 # DEPENDENCYPART_SIBL
(13,7),(13,8),0.0239029 # DEPENDENCYPART_SIBL
(13,7),(13,10),0.0404954 # DEPENDENCYPART_SIBL
(13,7),(13,11),-0.00478459 # DEPENDENCYPART_SIBL
(13,7),(13,12),0.192797 # DEPENDENCYPART_SIBL
(13,7),(13,14),-0.0315559 # DEPENDENCYPART_SIBL
(13,7),(13,15),0.0406821 # DEPENDENCYPART_SIBL
(13,7),(13,16),0.0407301 # DEPENDENCYPART_SIBL
(13,7),(13,18),0.0266487 # DEPENDENCYPART_SIBL
(13,7),(13,19),-0.00890946 # DEPENDENCYPART_SIBL
(13,7),(13,21),-0.0500651 # DEPENDENCYPART_SIBL
(13,8),(13,10),-0.0114907 # DEPENDENCYPART_SIBL
(13,8),(13,11),-0.0316146 # DEPENDENCYPART_SIBL
(13,8),(13,12),0.179733 # DEPENDENCYPART_SIBL
(13,8),(13,14),-0.0271749 # DEPENDENCYPART_SIBL
(13,8),(13,15),0.0314778 # DEPENDENCYPART_SIBL
(13,8),(13,16),0.0315258 # DEPENDENCYPART_SIBL
(13,8),(13,18),0.0213711 # DEPENDENCYPART_SIBL
(13,8),(13,19),-0.00752846 # DEPENDENCYPART_SIBL
(13,8),(13,21),-0.0140024 # DEPENDENCYPART_SIBL
