# _root_ Önkéntesek hordták a vizet és az élelmet , a törmelék elszállítását — ha kellett , puszta kézzel — maguk szervezték meg .
#goldHeads=2,0,4,2,2,7,2,2,10,11,20,13,20,13,14,17,14,13,20,2,20,2,
#predictedHeads=2,0,4,2,2,7,2,2,10,11,2,13,2,2,14,17,20,20,20,2,20,2,
(5,2),(5,15),0.0442328 # DEPENDENCYPART_SIBL
(5,2),(5,17),-0.0133621 # DEPENDENCYPART_SIBL
(5,2),(5,18),0.016849 # DEPENDENCYPART_SIBL
(5,2),(5,20),0.213355 # DEPENDENCYPART_SIBL
(5,2),(5,22),0.18358 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.0120904 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.0412088 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.0114368 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.047854 # DEPENDENCYPART_SIBL
(5,3),(5,10),0.0114531 # DEPENDENCYPART_SIBL
(5,3),(5,11),0.0114531 # DEPENDENCYPART_SIBL
(5,3),(5,12),-0.0476351 # DEPENDENCYPART_SIBL
(5,3),(5,13),-0.045447 # DEPENDENCYPART_SIBL
(5,3),(5,14),0.00654555 # DEPENDENCYPART_SIBL
(5,3),(5,15),-0.047854 # DEPENDENCYPART_SIBL
(5,3),(5,17),0.0114508 # DEPENDENCYPART_SIBL
(5,3),(5,18),-0.0476351 # DEPENDENCYPART_SIBL
(5,3),(5,20),-0.0130756 # DEPENDENCYPART_SIBL
(5,3),(5,22),-0.0952526 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.0115431 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.232697 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.00354104 # DEPENDENCYPART_SIBL
(5,4),(5,10),0.232736 # DEPENDENCYPART_SIBL
(5,4),(5,11),0.232736 # DEPENDENCYPART_SIBL
(5,4),(5,12),0.0137921 # DEPENDENCYPART_SIBL
(5,4),(5,13),-0.0250124 # DEPENDENCYPART_SIBL
(5,4),(5,14),0.0301342 # DEPENDENCYPART_SIBL
(5,4),(5,15),-0.00354104 # DEPENDENCYPART_SIBL
(5,4),(5,17),0.232342 # DEPENDENCYPART_SIBL
(5,4),(5,18),0.0137921 # DEPENDENCYPART_SIBL
(5,4),(5,20),-0.000633541 # DEPENDENCYPART_SIBL
(5,4),(5,22),-0.0116528 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.0130124 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.039358 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.0130124 # DEPENDENCYPART_SIBL
(5,6),(5,11),-0.0130124 # DEPENDENCYPART_SIBL
(5,6),(5,12),-0.000219161 # DEPENDENCYPART_SIBL
(5,6),(5,13),-0.0410177 # DEPENDENCYPART_SIBL
(5,6),(5,14),-0.0712013 # DEPENDENCYPART_SIBL
(5,6),(5,15),-0.039358 # DEPENDENCYPART_SIBL
(5,6),(5,17),-0.0130127 # DEPENDENCYPART_SIBL
(5,6),(5,18),-0.000219161 # DEPENDENCYPART_SIBL
(5,6),(5,20),-0.0589499 # DEPENDENCYPART_SIBL
(5,6),(5,22),-0.0358877 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.00941697 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.0462163 # DEPENDENCYPART_SIBL
(5,7),(5,11),-0.0462163 # DEPENDENCYPART_SIBL
(5,7),(5,12),0.0515881 # DEPENDENCYPART_SIBL
(5,7),(5,13),-0.0823565 # DEPENDENCYPART_SIBL
(5,7),(5,14),-0.0736903 # DEPENDENCYPART_SIBL
(5,7),(5,15),-0.00941697 # DEPENDENCYPART_SIBL
(5,7),(5,17),-0.0485704 # DEPENDENCYPART_SIBL
(5,7),(5,18),0.0515881 # DEPENDENCYPART_SIBL
(5,7),(5,20),-0.0601764 # DEPENDENCYPART_SIBL
(5,7),(5,22),-0.0584892 # DEPENDENCYPART_SIBL
(5,8),(5,10),0.0670661 # DEPENDENCYPART_SIBL
(5,8),(5,11),0.0670661 # DEPENDENCYPART_SIBL
(5,8),(5,12),-0.062161 # DEPENDENCYPART_SIBL
(5,8),(5,13),0.0150728 # DEPENDENCYPART_SIBL
(5,8),(5,14),0.217037 # DEPENDENCYPART_SIBL
(5,8),(5,15),-0.0651398 # DEPENDENCYPART_SIBL
(5,8),(5,17),0.0669271 # DEPENDENCYPART_SIBL
(5,8),(5,18),-0.062161 # DEPENDENCYPART_SIBL
(5,8),(5,20),0.185194 # DEPENDENCYPART_SIBL
(5,8),(5,22),0.00726496 # DEPENDENCYPART_SIBL
(5,10),(5,11),-0.0462163 # DEPENDENCYPART_SIBL
(5,10),(5,12),0.0515881 # DEPENDENCYPART_SIBL
(5,10),(5,13),-0.0823565 # DEPENDENCYPART_SIBL
(5,10),(5,14),-0.0736903 # DEPENDENCYPART_SIBL
(5,10),(5,15),-0.00941697 # DEPENDENCYPART_SIBL
(5,10),(5,17),-0.0485704 # DEPENDENCYPART_SIBL
(5,10),(5,18),0.0515881 # DEPENDENCYPART_SIBL
(5,10),(5,20),-0.0601764 # DEPENDENCYPART_SIBL
(5,10),(5,22),-0.0584892 # DEPENDENCYPART_SIBL
(5,11),(5,12),0.0515881 # DEPENDENCYPART_SIBL
(5,11),(5,13),-0.0823565 # DEPENDENCYPART_SIBL
(5,11),(5,14),-0.0736903 # DEPENDENCYPART_SIBL
(5,11),(5,15),-0.00941697 # DEPENDENCYPART_SIBL
(5,11),(5,17),-0.0485704 # DEPENDENCYPART_SIBL
(5,11),(5,18),0.0515881 # DEPENDENCYPART_SIBL
(5,11),(5,20),-0.0601764 # DEPENDENCYPART_SIBL
(5,11),(5,22),-0.0584892 # DEPENDENCYPART_SIBL
(5,12),(5,13),-0.0612647 # DEPENDENCYPART_SIBL
(5,12),(5,14),-0.0248501 # DEPENDENCYPART_SIBL
(5,12),(5,15),-0.0987587 # DEPENDENCYPART_SIBL
(5,12),(5,17),-0.0175287 # DEPENDENCYPART_SIBL
(5,12),(5,18),0.000125869 # DEPENDENCYPART_SIBL
(5,12),(5,20),-0.0331248 # DEPENDENCYPART_SIBL
(5,12),(5,22),-0.050965 # DEPENDENCYPART_SIBL
(5,13),(5,14),-0.0430074 # DEPENDENCYPART_SIBL
(5,13),(5,15),-0.0329068 # DEPENDENCYPART_SIBL
(5,13),(5,17),-0.0423232 # DEPENDENCYPART_SIBL
(5,13),(5,18),0.0124128 # DEPENDENCYPART_SIBL
(5,13),(5,20),-0.0295147 # DEPENDENCYPART_SIBL
(5,13),(5,22),0.0331479 # DEPENDENCYPART_SIBL
(5,14),(5,15),0.17059 # DEPENDENCYPART_SIBL
(5,14),(5,17),0.100823 # DEPENDENCYPART_SIBL
(5,14),(5,18),0.271882 # DEPENDENCYPART_SIBL
(5,14),(5,20),-0.0128896 # DEPENDENCYPART_SIBL
(5,14),(5,22),0.179642 # DEPENDENCYPART_SIBL
(5,15),(5,17),0.0669271 # DEPENDENCYPART_SIBL
(5,15),(5,18),-0.062161 # DEPENDENCYPART_SIBL
(5,15),(5,20),0.185194 # DEPENDENCYPART_SIBL
(5,15),(5,22),0.00726496 # DEPENDENCYPART_SIBL
(5,17),(5,18),0.0501662 # DEPENDENCYPART_SIBL
(5,17),(5,20),-0.060479 # DEPENDENCYPART_SIBL
(5,17),(5,22),-0.0602142 # DEPENDENCYPART_SIBL
(5,18),(5,20),-0.0331248 # DEPENDENCYPART_SIBL
(5,18),(5,22),-0.050965 # DEPENDENCYPART_SIBL
(5,20),(5,22),0.173438 # DEPENDENCYPART_SIBL
(6,5),(6,11),0.0432988 # DEPENDENCYPART_SIBL
(7,3),(7,4),0.0105534 # DEPENDENCYPART_SIBL
(7,3),(7,5),0.138025 # DEPENDENCYPART_SIBL
(7,3),(7,6),-0.567434 # DEPENDENCYPART_SIBL
(7,3),(7,8),-0.00907785 # DEPENDENCYPART_SIBL
(7,3),(7,10),-0.00331961 # DEPENDENCYPART_SIBL
(7,3),(7,11),-0.00331961 # DEPENDENCYPART_SIBL
(7,3),(7,12),-0.0530946 # DEPENDENCYPART_SIBL
(7,3),(7,14),0.0218865 # DEPENDENCYPART_SIBL
(7,3),(7,15),-0.00907785 # DEPENDENCYPART_SIBL
(7,3),(7,17),-0.00331966 # DEPENDENCYPART_SIBL
(7,3),(7,20),0.0086177 # DEPENDENCYPART_SIBL
(7,3),(7,22),-0.0285178 # DEPENDENCYPART_SIBL
(7,4),(7,5),0.793474 # DEPENDENCYPART_SIBL
(7,4),(7,6),-0.269135 # DEPENDENCYPART_SIBL
(7,4),(7,8),-0.00545831 # DEPENDENCYPART_SIBL
(7,4),(7,10),0.00288721 # DEPENDENCYPART_SIBL
(7,4),(7,11),0.00288721 # DEPENDENCYPART_SIBL
(7,4),(7,12),-0.045307 # DEPENDENCYPART_SIBL
(7,4),(7,14),0.0347019 # DEPENDENCYPART_SIBL
(7,4),(7,15),-0.00545831 # DEPENDENCYPART_SIBL
(7,4),(7,17),0.00249667 # DEPENDENCYPART_SIBL
(7,4),(7,20),0.00779001 # DEPENDENCYPART_SIBL
(7,4),(7,22),0.0398118 # DEPENDENCYPART_SIBL
(7,5),(7,6),-0.291422 # DEPENDENCYPART_SIBL
(7,5),(7,8),-0.0168208 # DEPENDENCYPART_SIBL
(7,5),(7,10),-0.00798823 # DEPENDENCYPART_SIBL
(7,5),(7,11),-0.00798823 # DEPENDENCYPART_SIBL
(7,5),(7,12),0.00843729 # DEPENDENCYPART_SIBL
(7,5),(7,14),-0.0050122 # DEPENDENCYPART_SIBL
(7,5),(7,15),-0.0168208 # DEPENDENCYPART_SIBL
(7,5),(7,17),-0.00886141 # DEPENDENCYPART_SIBL
(7,5),(7,20),-0.0141082 # DEPENDENCYPART_SIBL
(7,5),(7,22),0.0197197 # DEPENDENCYPART_SIBL
(7,6),(7,8),-0.0165824 # DEPENDENCYPART_SIBL
(7,6),(7,10),-0.00571552 # DEPENDENCYPART_SIBL
(7,6),(7,11),-0.00571552 # DEPENDENCYPART_SIBL
(7,6),(7,12),-0.0806853 # DEPENDENCYPART_SIBL
(7,6),(7,14),0.00513242 # DEPENDENCYPART_SIBL
(7,6),(7,15),-0.0165824 # DEPENDENCYPART_SIBL
(7,6),(7,17),-0.00571556 # DEPENDENCYPART_SIBL
(7,6),(7,20),-0.0121052 # DEPENDENCYPART_SIBL
(7,6),(7,22),-0.0202729 # DEPENDENCYPART_SIBL
(7,8),(7,10),0.342981 # DEPENDENCYPART_SIBL
(7,8),(7,11),0.342981 # DEPENDENCYPART_SIBL
(7,8),(7,12),0.0110456 # DEPENDENCYPART_SIBL
(7,8),(7,14),0.51176 # DEPENDENCYPART_SIBL
(7,8),(7,15),0.00482316 # DEPENDENCYPART_SIBL
(7,8),(7,17),0.342843 # DEPENDENCYPART_SIBL
(7,8),(7,20),0.425607 # DEPENDENCYPART_SIBL
(7,8),(7,22),0.0787788 # DEPENDENCYPART_SIBL
(7,10),(7,11),0.00471394 # DEPENDENCYPART_SIBL
(7,10),(7,12),0.0612693 # DEPENDENCYPART_SIBL
(7,10),(7,14),0.0809193 # DEPENDENCYPART_SIBL
(7,10),(7,15),0.103086 # DEPENDENCYPART_SIBL
(7,10),(7,17),0.00236004 # DEPENDENCYPART_SIBL
(7,10),(7,20),0.058216 # DEPENDENCYPART_SIBL
(7,10),(7,22),0.0485651 # DEPENDENCYPART_SIBL
(7,11),(7,12),0.0612693 # DEPENDENCYPART_SIBL
(7,11),(7,14),0.0809193 # DEPENDENCYPART_SIBL
(7,11),(7,15),0.103086 # DEPENDENCYPART_SIBL
(7,11),(7,17),0.00236004 # DEPENDENCYPART_SIBL
(7,11),(7,20),0.058216 # DEPENDENCYPART_SIBL
(7,11),(7,22),0.0485651 # DEPENDENCYPART_SIBL
(7,12),(7,14),0.219389 # DEPENDENCYPART_SIBL
(7,12),(7,15),-0.00263645 # DEPENDENCYPART_SIBL
(7,12),(7,17),0.151506 # DEPENDENCYPART_SIBL
(7,12),(7,20),0.164151 # DEPENDENCYPART_SIBL
(7,12),(7,22),0.069421 # DEPENDENCYPART_SIBL
(7,14),(7,15),0.170535 # DEPENDENCYPART_SIBL
(7,14),(7,17),0.087237 # DEPENDENCYPART_SIBL
(7,14),(7,20),0.0604357 # DEPENDENCYPART_SIBL
(7,14),(7,22),0.236413 # DEPENDENCYPART_SIBL
(7,15),(7,17),0.342843 # DEPENDENCYPART_SIBL
(7,15),(7,20),0.425607 # DEPENDENCYPART_SIBL
(7,15),(7,22),0.0787788 # DEPENDENCYPART_SIBL
(7,17),(7,20),0.057914 # DEPENDENCYPART_SIBL
(7,17),(7,22),0.0468407 # DEPENDENCYPART_SIBL
(7,20),(7,22),0.211166 # DEPENDENCYPART_SIBL
(10,3),(10,4),0.0105534 # DEPENDENCYPART_SIBL
(10,3),(10,5),0.138025 # DEPENDENCYPART_SIBL
(10,3),(10,6),-0.567434 # DEPENDENCYPART_SIBL
(10,3),(10,7),0.0129962 # DEPENDENCYPART_SIBL
(10,3),(10,8),0.190771 # DEPENDENCYPART_SIBL
(10,3),(10,9),-0.662013 # DEPENDENCYPART_SIBL
(10,3),(10,17),-0.00331966 # DEPENDENCYPART_SIBL
(10,4),(10,5),0.793475 # DEPENDENCYPART_SIBL
(10,4),(10,6),-0.269135 # DEPENDENCYPART_SIBL
(10,4),(10,7),-0.0214665 # DEPENDENCYPART_SIBL
(10,4),(10,8),0.639128 # DEPENDENCYPART_SIBL
(10,4),(10,9),-0.317146 # DEPENDENCYPART_SIBL
(10,4),(10,17),0.00249667 # DEPENDENCYPART_SIBL
(10,5),(10,6),-0.291422 # DEPENDENCYPART_SIBL
(10,5),(10,7),0.103298 # DEPENDENCYPART_SIBL
(10,5),(10,8),-0.0394076 # DEPENDENCYPART_SIBL
(10,5),(10,9),-0.38659 # DEPENDENCYPART_SIBL
(10,5),(10,17),-0.00886141 # DEPENDENCYPART_SIBL
(10,6),(10,7),0.000855746 # DEPENDENCYPART_SIBL
(10,6),(10,8),0.213182 # DEPENDENCYPART_SIBL
(10,6),(10,9),-0.542227 # DEPENDENCYPART_SIBL
(10,6),(10,17),-0.00571556 # DEPENDENCYPART_SIBL
(10,7),(10,8),0.641687 # DEPENDENCYPART_SIBL
(10,7),(10,9),-0.317123 # DEPENDENCYPART_SIBL
(10,7),(10,17),0.00299019 # DEPENDENCYPART_SIBL
(10,8),(10,9),-0.408123 # DEPENDENCYPART_SIBL
(10,8),(10,17),-0.0102141 # DEPENDENCYPART_SIBL
(10,9),(10,17),-0.00331966 # DEPENDENCYPART_SIBL
(11,1),(11,2),0.153175 # DEPENDENCYPART_SIBL
(11,1),(11,3),-0.317123 # DEPENDENCYPART_SIBL
(11,1),(11,4),-0.0229321 # DEPENDENCYPART_SIBL
(11,1),(11,5),0.794005 # DEPENDENCYPART_SIBL
(11,1),(11,6),-0.269111 # DEPENDENCYPART_SIBL
(11,1),(11,7),-0.0204097 # DEPENDENCYPART_SIBL
(11,1),(11,8),0.641687 # DEPENDENCYPART_SIBL
(11,1),(11,9),-0.317123 # DEPENDENCYPART_SIBL
(11,1),(11,10),-0.018106 # DEPENDENCYPART_SIBL
(11,1),(11,12),-0.042831 # DEPENDENCYPART_SIBL
(11,1),(11,14),0.03457 # DEPENDENCYPART_SIBL
(11,1),(11,15),-0.00283849 # DEPENDENCYPART_SIBL
(11,1),(11,17),0.00298799 # DEPENDENCYPART_SIBL
(11,1),(11,18),-0.042831 # DEPENDENCYPART_SIBL
(11,1),(11,20),0.00765816 # DEPENDENCYPART_SIBL
(11,1),(11,22),0.041682 # DEPENDENCYPART_SIBL
(11,2),(11,3),-0.353523 # DEPENDENCYPART_SIBL
(11,2),(11,4),-0.0529752 # DEPENDENCYPART_SIBL
(11,2),(11,5),0.287835 # DEPENDENCYPART_SIBL
(11,2),(11,6),-0.27088 # DEPENDENCYPART_SIBL
(11,2),(11,7),-0.0505323 # DEPENDENCYPART_SIBL
(11,2),(11,8),0.313481 # DEPENDENCYPART_SIBL
(11,2),(11,9),-0.353523 # DEPENDENCYPART_SIBL
(11,2),(11,10),-0.0505323 # DEPENDENCYPART_SIBL
(11,2),(11,12),-0.0338337 # DEPENDENCYPART_SIBL
(11,2),(11,14),0.0541419 # DEPENDENCYPART_SIBL
(11,2),(11,15),-0.0138433 # DEPENDENCYPART_SIBL
(11,2),(11,17),-0.00698166 # DEPENDENCYPART_SIBL
(11,2),(11,18),-0.0338337 # DEPENDENCYPART_SIBL
(11,2),(11,20),0.0351734 # DEPENDENCYPART_SIBL
(11,2),(11,22),0.121835 # DEPENDENCYPART_SIBL
(11,3),(11,4),0.0105534 # DEPENDENCYPART_SIBL
(11,3),(11,5),0.138025 # DEPENDENCYPART_SIBL
(11,3),(11,6),-0.567434 # DEPENDENCYPART_SIBL
(11,3),(11,7),0.0129962 # DEPENDENCYPART_SIBL
(11,3),(11,8),0.190771 # DEPENDENCYPART_SIBL
(11,3),(11,9),-0.662013 # DEPENDENCYPART_SIBL
(11,3),(11,10),0.0129962 # DEPENDENCYPART_SIBL
(11,3),(11,12),-0.0530946 # DEPENDENCYPART_SIBL
(11,3),(11,14),0.0218865 # DEPENDENCYPART_SIBL
(11,3),(11,15),-0.00907785 # DEPENDENCYPART_SIBL
(11,3),(11,17),-0.00331966 # DEPENDENCYPART_SIBL
(11,3),(11,18),-0.0530946 # DEPENDENCYPART_SIBL
(11,3),(11,20),0.0086177 # DEPENDENCYPART_SIBL
(11,3),(11,22),-0.0285178 # DEPENDENCYPART_SIBL
(11,4),(11,5),0.793475 # DEPENDENCYPART_SIBL
(11,4),(11,6),-0.269135 # DEPENDENCYPART_SIBL
(11,4),(11,7),-0.0214665 # DEPENDENCYPART_SIBL
(11,4),(11,8),0.639128 # DEPENDENCYPART_SIBL
(11,4),(11,9),-0.317146 # DEPENDENCYPART_SIBL
(11,4),(11,10),-0.0192098 # DEPENDENCYPART_SIBL
(11,4),(11,12),-0.045307 # DEPENDENCYPART_SIBL
(11,4),(11,14),0.0347019 # DEPENDENCYPART_SIBL
(11,4),(11,15),-0.00545831 # DEPENDENCYPART_SIBL
(11,4),(11,17),0.00249667 # DEPENDENCYPART_SIBL
(11,4),(11,18),-0.045307 # DEPENDENCYPART_SIBL
(11,4),(11,20),0.00779001 # DEPENDENCYPART_SIBL
(11,4),(11,22),0.0398118 # DEPENDENCYPART_SIBL
(11,5),(11,6),-0.291422 # DEPENDENCYPART_SIBL
(11,5),(11,7),0.103298 # DEPENDENCYPART_SIBL
(11,5),(11,8),-0.0394076 # DEPENDENCYPART_SIBL
(11,5),(11,9),-0.38659 # DEPENDENCYPART_SIBL
(11,5),(11,10),0.102991 # DEPENDENCYPART_SIBL
(11,5),(11,12),0.00843729 # DEPENDENCYPART_SIBL
(11,5),(11,14),-0.0050122 # DEPENDENCYPART_SIBL
(11,5),(11,15),-0.0168208 # DEPENDENCYPART_SIBL
(11,5),(11,17),-0.00886141 # DEPENDENCYPART_SIBL
(11,5),(11,18),0.00843729 # DEPENDENCYPART_SIBL
(11,5),(11,20),-0.0141082 # DEPENDENCYPART_SIBL
(11,5),(11,22),0.0197197 # DEPENDENCYPART_SIBL
(11,6),(11,7),0.000855746 # DEPENDENCYPART_SIBL
(11,6),(11,8),0.213182 # DEPENDENCYPART_SIBL
(11,6),(11,9),-0.542227 # DEPENDENCYPART_SIBL
(11,6),(11,10),0.000855746 # DEPENDENCYPART_SIBL
(11,6),(11,12),-0.0806853 # DEPENDENCYPART_SIBL
(11,6),(11,14),0.00513242 # DEPENDENCYPART_SIBL
(11,6),(11,15),-0.0165824 # DEPENDENCYPART_SIBL
(11,6),(11,17),-0.00571556 # DEPENDENCYPART_SIBL
(11,6),(11,18),-0.0806853 # DEPENDENCYPART_SIBL
(11,6),(11,20),-0.0121052 # DEPENDENCYPART_SIBL
(11,6),(11,22),-0.0202729 # DEPENDENCYPART_SIBL
(11,7),(11,8),0.641687 # DEPENDENCYPART_SIBL
(11,7),(11,9),-0.317123 # DEPENDENCYPART_SIBL
(11,7),(11,10),-0.018106 # DEPENDENCYPART_SIBL
(11,7),(11,12),-0.042831 # DEPENDENCYPART_SIBL
(11,7),(11,14),0.03457 # DEPENDENCYPART_SIBL
(11,7),(11,15),-0.00283849 # DEPENDENCYPART_SIBL
(11,7),(11,17),0.00299019 # DEPENDENCYPART_SIBL
(11,7),(11,18),-0.042831 # DEPENDENCYPART_SIBL
(11,7),(11,20),0.00765816 # DEPENDENCYPART_SIBL
(11,7),(11,22),0.0416578 # DEPENDENCYPART_SIBL
(11,8),(11,9),-0.408123 # DEPENDENCYPART_SIBL
(11,8),(11,10),0.0569251 # DEPENDENCYPART_SIBL
(11,8),(11,12),-0.0507504 # DEPENDENCYPART_SIBL
(11,8),(11,14),0.0244612 # DEPENDENCYPART_SIBL
(11,8),(11,15),-0.0346477 # DEPENDENCYPART_SIBL
(11,8),(11,17),-0.0102141 # DEPENDENCYPART_SIBL
(11,8),(11,18),-0.0507504 # DEPENDENCYPART_SIBL
(11,8),(11,20),-0.0278874 # DEPENDENCYPART_SIBL
(11,8),(11,22),0.0238545 # DEPENDENCYPART_SIBL
(11,9),(11,10),0.0129962 # DEPENDENCYPART_SIBL
(11,9),(11,12),-0.0530946 # DEPENDENCYPART_SIBL
(11,9),(11,14),0.0218865 # DEPENDENCYPART_SIBL
(11,9),(11,15),-0.00907785 # DEPENDENCYPART_SIBL
(11,9),(11,17),-0.00331966 # DEPENDENCYPART_SIBL
(11,9),(11,18),-0.0530946 # DEPENDENCYPART_SIBL
(11,9),(11,20),0.0086177 # DEPENDENCYPART_SIBL
(11,9),(11,22),-0.0285178 # DEPENDENCYPART_SIBL
(11,10),(11,12),-0.042831 # DEPENDENCYPART_SIBL
(11,10),(11,14),0.03457 # DEPENDENCYPART_SIBL
(11,10),(11,15),-0.00283849 # DEPENDENCYPART_SIBL
(11,10),(11,17),0.00298799 # DEPENDENCYPART_SIBL
(11,10),(11,18),-0.042831 # DEPENDENCYPART_SIBL
(11,10),(11,20),0.00765816 # DEPENDENCYPART_SIBL
(11,10),(11,22),0.041682 # DEPENDENCYPART_SIBL
(11,12),(11,14),0.219389 # DEPENDENCYPART_SIBL
(11,12),(11,15),-0.00263645 # DEPENDENCYPART_SIBL
(11,12),(11,17),0.151506 # DEPENDENCYPART_SIBL
(11,12),(11,18),0.0890418 # DEPENDENCYPART_SIBL
(11,12),(11,20),0.164151 # DEPENDENCYPART_SIBL
(11,12),(11,22),0.069421 # DEPENDENCYPART_SIBL
(11,14),(11,15),0.170535 # DEPENDENCYPART_SIBL
(11,14),(11,17),0.087237 # DEPENDENCYPART_SIBL
(11,14),(11,18),0.198119 # DEPENDENCYPART_SIBL
(11,14),(11,20),0.0604357 # DEPENDENCYPART_SIBL
(11,14),(11,22),0.236413 # DEPENDENCYPART_SIBL
(11,15),(11,17),0.342843 # DEPENDENCYPART_SIBL
(11,15),(11,18),0.0110456 # DEPENDENCYPART_SIBL
(11,15),(11,20),0.425607 # DEPENDENCYPART_SIBL
(11,15),(11,22),0.0787788 # DEPENDENCYPART_SIBL
(11,17),(11,18),0.059848 # DEPENDENCYPART_SIBL
(11,17),(11,20),0.057914 # DEPENDENCYPART_SIBL
(11,17),(11,22),0.0468407 # DEPENDENCYPART_SIBL
(11,18),(11,20),0.164151 # DEPENDENCYPART_SIBL
(11,18),(11,22),0.069421 # DEPENDENCYPART_SIBL
(11,20),(11,22),0.211166 # DEPENDENCYPART_SIBL
(13,1),(13,2),0.0999364 # DEPENDENCYPART_SIBL
(13,1),(13,4),0.0122237 # DEPENDENCYPART_SIBL
(13,1),(13,5),0.168156 # DEPENDENCYPART_SIBL
(13,1),(13,7),0.0127059 # DEPENDENCYPART_SIBL
(13,1),(13,8),0.407695 # DEPENDENCYPART_SIBL
(13,1),(13,10),0.0150096 # DEPENDENCYPART_SIBL
(13,1),(13,11),0.0150096 # DEPENDENCYPART_SIBL
(13,1),(13,12),0.0378201 # DEPENDENCYPART_SIBL
(13,1),(13,14),0.0792525 # DEPENDENCYPART_SIBL
(13,1),(13,15),-0.0282282 # DEPENDENCYPART_SIBL
(13,1),(13,16),0.0201061 # DEPENDENCYPART_SIBL
(13,1),(13,17),0.0950319 # DEPENDENCYPART_SIBL
(13,1),(13,18),0.00166135 # DEPENDENCYPART_SIBL
(13,1),(13,19),-0.00794048 # DEPENDENCYPART_SIBL
(13,1),(13,20),0.0491073 # DEPENDENCYPART_SIBL
(13,1),(13,21),0.0496697 # DEPENDENCYPART_SIBL
(13,1),(13,22),0.0508233 # DEPENDENCYPART_SIBL
(13,2),(13,4),-0.0295472 # DEPENDENCYPART_SIBL
(13,2),(13,5),0.0470624 # DEPENDENCYPART_SIBL
(13,2),(13,7),-0.0291426 # DEPENDENCYPART_SIBL
(13,2),(13,8),0.388079 # DEPENDENCYPART_SIBL
(13,2),(13,10),-0.0291426 # DEPENDENCYPART_SIBL
(13,2),(13,11),-0.0291426 # DEPENDENCYPART_SIBL
(13,2),(13,12),0.0826045 # DEPENDENCYPART_SIBL
(13,2),(13,14),0.154216 # DEPENDENCYPART_SIBL
(13,2),(13,15),-0.0535661 # DEPENDENCYPART_SIBL
(13,2),(13,16),-0.0041703 # DEPENDENCYPART_SIBL
(13,2),(13,17),-0.0595733 # DEPENDENCYPART_SIBL
(13,2),(13,18),-0.0464405 # DEPENDENCYPART_SIBL
(13,2),(13,19),-0.0146679 # DEPENDENCYPART_SIBL
(13,2),(13,20),0.12583 # DEPENDENCYPART_SIBL
(13,2),(13,21),0.0114607 # DEPENDENCYPART_SIBL
(13,2),(13,22),0.0964588 # DEPENDENCYPART_SIBL
(13,4),(13,5),0.166409 # DEPENDENCYPART_SIBL
(13,4),(13,7),0.0101675 # DEPENDENCYPART_SIBL
(13,4),(13,8),0.403008 # DEPENDENCYPART_SIBL
(13,4),(13,10),0.0124242 # DEPENDENCYPART_SIBL
(13,4),(13,11),0.0124242 # DEPENDENCYPART_SIBL
(13,4),(13,12),0.0349107 # DEPENDENCYPART_SIBL
(13,4),(13,14),0.0787951 # DEPENDENCYPART_SIBL
(13,4),(13,15),-0.0312044 # DEPENDENCYPART_SIBL
(13,4),(13,16),0.0189856 # DEPENDENCYPART_SIBL
(13,4),(13,17),0.0939452 # DEPENDENCYPART_SIBL
(13,4),(13,18),-0.00102717 # DEPENDENCYPART_SIBL
(13,4),(13,19),-0.00906099 # DEPENDENCYPART_SIBL
(13,4),(13,20),0.0486498 # DEPENDENCYPART_SIBL
(13,4),(13,21),0.0483188 # DEPENDENCYPART_SIBL
(13,4),(13,22),0.0473268 # DEPENDENCYPART_SIBL
(13,5),(13,7),0.0368913 # DEPENDENCYPART_SIBL
(13,5),(13,8),0.119571 # DEPENDENCYPART_SIBL
(13,5),(13,10),0.0365844 # DEPENDENCYPART_SIBL
(13,5),(13,11),0.0365844 # DEPENDENCYPART_SIBL
(13,5),(13,12),0.0282074 # DEPENDENCYPART_SIBL
(13,5),(13,14),0.0192958 # DEPENDENCYPART_SIBL
(13,5),(13,15),-0.0681652 # DEPENDENCYPART_SIBL
(13,5),(13,16),-0.0166147 # DEPENDENCYPART_SIBL
(13,5),(13,17),-0.0551888 # DEPENDENCYPART_SIBL
(13,5),(13,18),-0.0263226 # DEPENDENCYPART_SIBL
(13,5),(13,19),-0.0213853 # DEPENDENCYPART_SIBL
(13,5),(13,20),0.00936773 # DEPENDENCYPART_SIBL
(13,5),(13,21),0.000199559 # DEPENDENCYPART_SIBL
(13,5),(13,22),0.00894924 # DEPENDENCYPART_SIBL
(13,7),(13,8),0.407695 # DEPENDENCYPART_SIBL
(13,7),(13,10),0.0150096 # DEPENDENCYPART_SIBL
