# _root_ Mert csupán úgy adták elő a falhoz tapadó , földön vonagló vagy ölelkező " koreográfiákat " , amilyen szinten prózai színészektől kitelik .
#goldHeads=4,4,4,0,4,7,8,15,15,11,15,15,15,15,4,15,4,19,22,21,22,4,4,
#predictedHeads=4,4,4,0,4,7,8,15,4,11,15,15,15,15,4,15,4,22,20,21,22,4,4,
(4,12),(4,15),0.044523 # DEPENDENCYPART_SIBL
(4,12),(4,16),0.0371394 # DEPENDENCYPART_SIBL
(4,12),(4,17),0.0260172 # DEPENDENCYPART_SIBL
(4,12),(4,18),0.0610178 # DEPENDENCYPART_SIBL
(4,12),(4,19),0.0438557 # DEPENDENCYPART_SIBL
(4,12),(4,20),0.0534217 # DEPENDENCYPART_SIBL
(4,12),(4,21),0.044523 # DEPENDENCYPART_SIBL
(4,12),(4,22),0.0290823 # DEPENDENCYPART_SIBL
(4,12),(4,23),-0.0390727 # DEPENDENCYPART_SIBL
(4,13),(4,14),0.00565718 # DEPENDENCYPART_SIBL
(4,13),(4,15),-0.0237007 # DEPENDENCYPART_SIBL
(4,13),(4,16),0.00565718 # DEPENDENCYPART_SIBL
(4,13),(4,17),0.0334155 # DEPENDENCYPART_SIBL
(4,13),(4,18),-0.00824738 # DEPENDENCYPART_SIBL
(4,13),(4,19),-0.0243536 # DEPENDENCYPART_SIBL
(4,13),(4,20),-0.0253609 # DEPENDENCYPART_SIBL
(4,13),(4,21),-0.0237007 # DEPENDENCYPART_SIBL
(4,13),(4,22),-0.00663899 # DEPENDENCYPART_SIBL
(4,13),(4,23),-0.0147143 # DEPENDENCYPART_SIBL
(4,14),(4,15),0.00904779 # DEPENDENCYPART_SIBL
(4,14),(4,16),-0.00233476 # DEPENDENCYPART_SIBL
(4,14),(4,17),-0.0306312 # DEPENDENCYPART_SIBL
(4,14),(4,18),-0.0292062 # DEPENDENCYPART_SIBL
(4,14),(4,19),0.00774927 # DEPENDENCYPART_SIBL
(4,14),(4,20),0.0145881 # DEPENDENCYPART_SIBL
(4,14),(4,21),0.00904779 # DEPENDENCYPART_SIBL
(4,14),(4,22),0.0195768 # DEPENDENCYPART_SIBL
(4,14),(4,23),0.000189374 # DEPENDENCYPART_SIBL
(4,15),(4,16),-0.0123845 # DEPENDENCYPART_SIBL
(4,15),(4,17),0.0799726 # DEPENDENCYPART_SIBL
(4,15),(4,18),0.0463235 # DEPENDENCYPART_SIBL
(4,15),(4,19),-0.0215546 # DEPENDENCYPART_SIBL
(4,15),(4,20),0.0353454 # DEPENDENCYPART_SIBL
(4,15),(4,21),-0.0209017 # DEPENDENCYPART_SIBL
(4,15),(4,22),0.000622878 # DEPENDENCYPART_SIBL
(4,15),(4,23),-0.00594301 # DEPENDENCYPART_SIBL
(4,16),(4,17),-0.0306312 # DEPENDENCYPART_SIBL
(4,16),(4,18),-0.0292062 # DEPENDENCYPART_SIBL
(4,16),(4,19),0.00774927 # DEPENDENCYPART_SIBL
(4,16),(4,20),0.0145881 # DEPENDENCYPART_SIBL
(4,16),(4,21),0.00904779 # DEPENDENCYPART_SIBL
(4,16),(4,22),0.0195768 # DEPENDENCYPART_SIBL
(4,16),(4,23),0.000189374 # DEPENDENCYPART_SIBL
(4,17),(4,18),0.0210216 # DEPENDENCYPART_SIBL
(4,17),(4,19),0.073136 # DEPENDENCYPART_SIBL
(4,17),(4,20),0.0751971 # DEPENDENCYPART_SIBL
(4,17),(4,21),0.0750802 # DEPENDENCYPART_SIBL
(4,17),(4,22),0.230634 # DEPENDENCYPART_SIBL
(4,17),(4,23),0.0457819 # DEPENDENCYPART_SIBL
(4,18),(4,19),0.00420796 # DEPENDENCYPART_SIBL
(4,18),(4,20),0.0658858 # DEPENDENCYPART_SIBL
(4,18),(4,21),0.00486084 # DEPENDENCYPART_SIBL
(4,18),(4,22),-0.0245042 # DEPENDENCYPART_SIBL
(4,18),(4,23),-0.0203472 # DEPENDENCYPART_SIBL
(4,19),(4,20),0.0350125 # DEPENDENCYPART_SIBL
(4,19),(4,21),-0.0212323 # DEPENDENCYPART_SIBL
(4,19),(4,22),0.000292281 # DEPENDENCYPART_SIBL
(4,19),(4,23),-0.0075355 # DEPENDENCYPART_SIBL
(4,20),(4,21),-0.0237172 # DEPENDENCYPART_SIBL
(4,20),(4,22),-0.00663899 # DEPENDENCYPART_SIBL
(4,20),(4,23),-0.0147921 # DEPENDENCYPART_SIBL
(4,21),(4,22),0.000622878 # DEPENDENCYPART_SIBL
(4,21),(4,23),-0.00594301 # DEPENDENCYPART_SIBL
(4,22),(4,23),0.00464682 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.139002 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.237371 # DEPENDENCYPART_SIBL
(5,1),(5,7),0.0326688 # DEPENDENCYPART_SIBL
(5,1),(5,10),0.0326481 # DEPENDENCYPART_SIBL
(5,1),(5,15),0.0326688 # DEPENDENCYPART_SIBL
(5,1),(5,16),-0.0589599 # DEPENDENCYPART_SIBL
(5,1),(5,17),-0.0240837 # DEPENDENCYPART_SIBL
(5,1),(5,19),0.0323617 # DEPENDENCYPART_SIBL
(5,1),(5,23),0.0422487 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.103325 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.143853 # DEPENDENCYPART_SIBL
(5,2),(5,10),0.145011 # DEPENDENCYPART_SIBL
(5,2),(5,15),0.143853 # DEPENDENCYPART_SIBL
(5,2),(5,16),0.0246298 # DEPENDENCYPART_SIBL
(5,2),(5,17),0.0549332 # DEPENDENCYPART_SIBL
(5,2),(5,19),0.143853 # DEPENDENCYPART_SIBL
(5,2),(5,23),0.168309 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.0910971 # DEPENDENCYPART_SIBL
(5,4),(5,10),0.0910764 # DEPENDENCYPART_SIBL
(5,4),(5,15),0.0910971 # DEPENDENCYPART_SIBL
(5,4),(5,16),-0.0505753 # DEPENDENCYPART_SIBL
(5,4),(5,17),-0.0234897 # DEPENDENCYPART_SIBL
(5,4),(5,19),0.0910359 # DEPENDENCYPART_SIBL
(5,4),(5,23),0.124004 # DEPENDENCYPART_SIBL
(5,7),(5,10),0.00927644 # DEPENDENCYPART_SIBL
(5,7),(5,15),0.00541582 # DEPENDENCYPART_SIBL
(5,7),(5,16),0.0377983 # DEPENDENCYPART_SIBL
(5,7),(5,17),0.0550814 # DEPENDENCYPART_SIBL
(5,7),(5,19),0.00541582 # DEPENDENCYPART_SIBL
(5,7),(5,23),0.0194844 # DEPENDENCYPART_SIBL
(5,10),(5,15),0.00539987 # DEPENDENCYPART_SIBL
(5,10),(5,16),0.0435688 # DEPENDENCYPART_SIBL
(5,10),(5,17),0.0632651 # DEPENDENCYPART_SIBL
(5,10),(5,19),0.00539987 # DEPENDENCYPART_SIBL
(5,10),(5,23),0.0277295 # DEPENDENCYPART_SIBL
(5,15),(5,16),0.0377983 # DEPENDENCYPART_SIBL
(5,15),(5,17),0.0550814 # DEPENDENCYPART_SIBL
(5,15),(5,19),0.00541582 # DEPENDENCYPART_SIBL
(5,15),(5,23),0.0194844 # DEPENDENCYPART_SIBL
(5,16),(5,17),-0.0765063 # DEPENDENCYPART_SIBL
(5,16),(5,19),-0.0370589 # DEPENDENCYPART_SIBL
(5,16),(5,23),0.00752873 # DEPENDENCYPART_SIBL
(5,17),(5,19),0.00662774 # DEPENDENCYPART_SIBL
(5,17),(5,23),0.0552311 # DEPENDENCYPART_SIBL
(5,19),(5,23),0.018851 # DEPENDENCYPART_SIBL
(7,5),(7,6),-0.413335 # DEPENDENCYPART_SIBL
(8,1),(8,2),0.0537081 # DEPENDENCYPART_SIBL
(8,1),(8,3),0.0364282 # DEPENDENCYPART_SIBL
(8,1),(8,4),0.220822 # DEPENDENCYPART_SIBL
(8,1),(8,6),-0.0761953 # DEPENDENCYPART_SIBL
(8,1),(8,7),0.0419337 # DEPENDENCYPART_SIBL
(8,1),(8,9),-0.00486055 # DEPENDENCYPART_SIBL
(8,1),(8,10),0.000420277 # DEPENDENCYPART_SIBL
(8,1),(8,11),0.00817832 # DEPENDENCYPART_SIBL
(8,1),(8,13),0.00817832 # DEPENDENCYPART_SIBL
(8,1),(8,14),-0.00730354 # DEPENDENCYPART_SIBL
(8,1),(8,15),0.000420277 # DEPENDENCYPART_SIBL
(8,1),(8,22),-0.00824382 # DEPENDENCYPART_SIBL
(8,1),(8,23),0.0182588 # DEPENDENCYPART_SIBL
(8,2),(8,3),0.116115 # DEPENDENCYPART_SIBL
(8,2),(8,4),0.159775 # DEPENDENCYPART_SIBL
(8,2),(8,6),-0.0841793 # DEPENDENCYPART_SIBL
(8,2),(8,7),0.154934 # DEPENDENCYPART_SIBL
(8,2),(8,9),0.0350373 # DEPENDENCYPART_SIBL
(8,2),(8,10),0.0362373 # DEPENDENCYPART_SIBL
(8,2),(8,11),0.0357151 # DEPENDENCYPART_SIBL
(8,2),(8,13),0.0357151 # DEPENDENCYPART_SIBL
(8,2),(8,14),0.0522353 # DEPENDENCYPART_SIBL
(8,2),(8,15),0.0350543 # DEPENDENCYPART_SIBL
(8,2),(8,22),0.0215742 # DEPENDENCYPART_SIBL
(8,2),(8,23),0.0656283 # DEPENDENCYPART_SIBL
(8,3),(8,4),0.157949 # DEPENDENCYPART_SIBL
(8,3),(8,6),-0.0802059 # DEPENDENCYPART_SIBL
(8,3),(8,7),0.15183 # DEPENDENCYPART_SIBL
(8,3),(8,9),0.0402788 # DEPENDENCYPART_SIBL
(8,3),(8,10),0.020954 # DEPENDENCYPART_SIBL
(8,3),(8,11),0.0315547 # DEPENDENCYPART_SIBL
(8,3),(8,13),0.0315547 # DEPENDENCYPART_SIBL
(8,3),(8,14),0.0442477 # DEPENDENCYPART_SIBL
(8,3),(8,15),0.019771 # DEPENDENCYPART_SIBL
(8,3),(8,22),0.034184 # DEPENDENCYPART_SIBL
(8,3),(8,23),0.0606545 # DEPENDENCYPART_SIBL
(8,4),(8,6),-0.0763022 # DEPENDENCYPART_SIBL
(8,4),(8,7),0.000602956 # DEPENDENCYPART_SIBL
(8,4),(8,9),0.0233856 # DEPENDENCYPART_SIBL
(8,4),(8,10),0.0592375 # DEPENDENCYPART_SIBL
(8,4),(8,11),0.0384572 # DEPENDENCYPART_SIBL
(8,4),(8,13),0.0384572 # DEPENDENCYPART_SIBL
(8,4),(8,14),0.0294916 # DEPENDENCYPART_SIBL
(8,4),(8,15),0.0592375 # DEPENDENCYPART_SIBL
(8,4),(8,22),0.048687 # DEPENDENCYPART_SIBL
(8,4),(8,23),0.124086 # DEPENDENCYPART_SIBL
(8,6),(8,7),0.0679518 # DEPENDENCYPART_SIBL
(8,6),(8,9),-0.000880212 # DEPENDENCYPART_SIBL
(8,6),(8,10),0.0225845 # DEPENDENCYPART_SIBL
(8,6),(8,11),0.0370992 # DEPENDENCYPART_SIBL
(8,6),(8,13),0.0370992 # DEPENDENCYPART_SIBL
(8,6),(8,14),0.0593277 # DEPENDENCYPART_SIBL
(8,6),(8,15),0.0225869 # DEPENDENCYPART_SIBL
(8,6),(8,22),-0.00548556 # DEPENDENCYPART_SIBL
(8,6),(8,23),-0.0375479 # DEPENDENCYPART_SIBL
(8,7),(8,9),0.0211606 # DEPENDENCYPART_SIBL
(8,7),(8,10),0.0204681 # DEPENDENCYPART_SIBL
(8,7),(8,11),0.0433031 # DEPENDENCYPART_SIBL
(8,7),(8,13),0.0433031 # DEPENDENCYPART_SIBL
(8,7),(8,14),0.0110767 # DEPENDENCYPART_SIBL
(8,7),(8,15),0.0205572 # DEPENDENCYPART_SIBL
(8,7),(8,22),0.0108504 # DEPENDENCYPART_SIBL
(8,7),(8,23),0.0621801 # DEPENDENCYPART_SIBL
(8,9),(8,10),0.167157 # DEPENDENCYPART_SIBL
(8,9),(8,11),0.116245 # DEPENDENCYPART_SIBL
(8,9),(8,13),0.116245 # DEPENDENCYPART_SIBL
(8,9),(8,14),0.00486029 # DEPENDENCYPART_SIBL
(8,9),(8,15),0.162399 # DEPENDENCYPART_SIBL
(8,9),(8,22),0.377582 # DEPENDENCYPART_SIBL
(8,9),(8,23),0.0898977 # DEPENDENCYPART_SIBL
(8,10),(8,11),0.0301082 # DEPENDENCYPART_SIBL
(8,10),(8,13),0.0301082 # DEPENDENCYPART_SIBL
(8,10),(8,14),0.0044033 # DEPENDENCYPART_SIBL
(8,10),(8,15),-0.000574275 # DEPENDENCYPART_SIBL
(8,10),(8,22),0.0477824 # DEPENDENCYPART_SIBL
(8,10),(8,23),0.021882 # DEPENDENCYPART_SIBL
(8,11),(8,13),-0.0272528 # DEPENDENCYPART_SIBL
(8,11),(8,14),-1.06602e-06 # DEPENDENCYPART_SIBL
(8,11),(8,15),0.00651542 # DEPENDENCYPART_SIBL
(8,11),(8,22),0.0291025 # DEPENDENCYPART_SIBL
(8,11),(8,23),0.00090253 # DEPENDENCYPART_SIBL
(8,13),(8,14),-1.06602e-06 # DEPENDENCYPART_SIBL
(8,13),(8,15),0.00651542 # DEPENDENCYPART_SIBL
(8,13),(8,22),0.0291025 # DEPENDENCYPART_SIBL
(8,13),(8,23),0.00090253 # DEPENDENCYPART_SIBL
(8,14),(8,15),0.00740767 # DEPENDENCYPART_SIBL
(8,14),(8,22),0.110896 # DEPENDENCYPART_SIBL
(8,14),(8,23),0.0113038 # DEPENDENCYPART_SIBL
(8,15),(8,22),0.0437356 # DEPENDENCYPART_SIBL
(8,15),(8,23),0.0136211 # DEPENDENCYPART_SIBL
(8,22),(8,23),0.0759838 # DEPENDENCYPART_SIBL
(10,3),(10,6),-0.399584 # DEPENDENCYPART_SIBL
(10,3),(10,7),0.0249456 # DEPENDENCYPART_SIBL
(10,3),(10,8),-0.000610077 # DEPENDENCYPART_SIBL
(10,3),(10,9),0.0731308 # DEPENDENCYPART_SIBL
(10,3),(10,11),0.058903 # DEPENDENCYPART_SIBL
(10,3),(10,13),0.058903 # DEPENDENCYPART_SIBL
(10,3),(10,14),0.0533959 # DEPENDENCYPART_SIBL
(10,3),(10,15),-0.0185202 # DEPENDENCYPART_SIBL
(10,3),(10,16),0.0533959 # DEPENDENCYPART_SIBL
(10,3),(10,17),0.0276293 # DEPENDENCYPART_SIBL
(10,3),(10,19),-0.0185202 # DEPENDENCYPART_SIBL
(10,3),(10,22),0.060662 # DEPENDENCYPART_SIBL
(10,6),(10,7),0.0107423 # DEPENDENCYPART_SIBL
(10,6),(10,8),0.154737 # DEPENDENCYPART_SIBL
(10,6),(10,9),0.188761 # DEPENDENCYPART_SIBL
(10,6),(10,11),0.00424843 # DEPENDENCYPART_SIBL
(10,6),(10,13),0.00424843 # DEPENDENCYPART_SIBL
(10,6),(10,14),0.117984 # DEPENDENCYPART_SIBL
(10,6),(10,15),-0.00334358 # DEPENDENCYPART_SIBL
(10,6),(10,16),0.117984 # DEPENDENCYPART_SIBL
(10,6),(10,17),-0.00910301 # DEPENDENCYPART_SIBL
(10,6),(10,19),-0.00334358 # DEPENDENCYPART_SIBL
(10,6),(10,22),0.00859348 # DEPENDENCYPART_SIBL
(10,7),(10,8),0.0471532 # DEPENDENCYPART_SIBL
(10,7),(10,9),0.641603 # DEPENDENCYPART_SIBL
(10,7),(10,11),0.0446881 # DEPENDENCYPART_SIBL
(10,7),(10,13),0.0446881 # DEPENDENCYPART_SIBL
(10,7),(10,14),0.0131403 # DEPENDENCYPART_SIBL
(10,7),(10,15),0.00337853 # DEPENDENCYPART_SIBL
(10,7),(10,16),0.0131403 # DEPENDENCYPART_SIBL
(10,7),(10,17),-0.00283896 # DEPENDENCYPART_SIBL
(10,7),(10,19),0.00305212 # DEPENDENCYPART_SIBL
(10,7),(10,22),0.00765806 # DEPENDENCYPART_SIBL
(10,8),(10,9),0.440919 # DEPENDENCYPART_SIBL
(10,8),(10,11),0.000216547 # DEPENDENCYPART_SIBL
(10,8),(10,13),0.000216547 # DEPENDENCYPART_SIBL
(10,8),(10,14),0.129943 # DEPENDENCYPART_SIBL
(10,8),(10,15),-0.00411379 # DEPENDENCYPART_SIBL
(10,8),(10,16),0.129943 # DEPENDENCYPART_SIBL
(10,8),(10,17),-0.0329123 # DEPENDENCYPART_SIBL
(10,8),(10,19),-0.00411379 # DEPENDENCYPART_SIBL
(10,8),(10,22),-0.0400736 # DEPENDENCYPART_SIBL
(10,9),(10,11),-0.00378308 # DEPENDENCYPART_SIBL
(10,9),(10,13),-0.00378308 # DEPENDENCYPART_SIBL
(10,9),(10,14),0.0483805 # DEPENDENCYPART_SIBL
(10,9),(10,15),-0.00844461 # DEPENDENCYPART_SIBL
(10,9),(10,16),0.0483805 # DEPENDENCYPART_SIBL
(10,9),(10,17),-0.0346482 # DEPENDENCYPART_SIBL
(10,9),(10,19),-0.00845161 # DEPENDENCYPART_SIBL
(10,9),(10,22),-0.0278875 # DEPENDENCYPART_SIBL
(10,11),(10,13),0.00595486 # DEPENDENCYPART_SIBL
(10,11),(10,14),0.0616899 # DEPENDENCYPART_SIBL
(10,11),(10,15),0.0547462 # DEPENDENCYPART_SIBL
(10,11),(10,16),0.0616899 # DEPENDENCYPART_SIBL
(10,11),(10,17),0.0902072 # DEPENDENCYPART_SIBL
(10,11),(10,19),0.0547462 # DEPENDENCYPART_SIBL
(10,11),(10,22),0.0558708 # DEPENDENCYPART_SIBL
(10,13),(10,14),0.0616899 # DEPENDENCYPART_SIBL
(10,13),(10,15),0.0547462 # DEPENDENCYPART_SIBL
(10,13),(10,16),0.0616899 # DEPENDENCYPART_SIBL
(10,13),(10,17),0.0902072 # DEPENDENCYPART_SIBL
(10,13),(10,19),0.0547462 # DEPENDENCYPART_SIBL
(10,13),(10,22),0.0558708 # DEPENDENCYPART_SIBL
(10,14),(10,15),0.0701797 # DEPENDENCYPART_SIBL
(10,14),(10,16),-0.030513 # DEPENDENCYPART_SIBL
(10,14),(10,17),-0.0350005 # DEPENDENCYPART_SIBL
(10,14),(10,19),0.0698569 # DEPENDENCYPART_SIBL
(10,14),(10,22),0.135194 # DEPENDENCYPART_SIBL
(10,15),(10,16),0.0153991 # DEPENDENCYPART_SIBL
(10,15),(10,17),0.103085 # DEPENDENCYPART_SIBL
(10,15),(10,19),0.00471315 # DEPENDENCYPART_SIBL
(10,15),(10,22),0.0582156 # DEPENDENCYPART_SIBL
(10,16),(10,17),-0.0350005 # DEPENDENCYPART_SIBL
(10,16),(10,19),0.0698569 # DEPENDENCYPART_SIBL
(10,16),(10,22),0.135194 # DEPENDENCYPART_SIBL
(10,17),(10,19),0.342329 # DEPENDENCYPART_SIBL
(10,17),(10,22),0.425601 # DEPENDENCYPART_SIBL
(10,19),(10,22),0.0582156 # DEPENDENCYPART_SIBL
(11,2),(11,3),0.116115 # DEPENDENCYPART_SIBL
(11,2),(11,4),0.159775 # DEPENDENCYPART_SIBL
(11,2),(11,6),-0.0841793 # DEPENDENCYPART_SIBL
(11,2),(11,7),0.154934 # DEPENDENCYPART_SIBL
(11,2),(11,8),0.0819227 # DEPENDENCYPART_SIBL
(11,2),(11,9),0.0810882 # DEPENDENCYPART_SIBL
(11,2),(11,10),0.151707 # DEPENDENCYPART_SIBL
(11,2),(11,12),0.0280824 # DEPENDENCYPART_SIBL
(11,2),(11,13),0.0357151 # DEPENDENCYPART_SIBL
(11,2),(11,22),0.0215742 # DEPENDENCYPART_SIBL
(11,3),(11,4),0.157949 # DEPENDENCYPART_SIBL
(11,3),(11,6),-0.0802059 # DEPENDENCYPART_SIBL
(11,3),(11,7),0.15183 # DEPENDENCYPART_SIBL
(11,3),(11,8),0.079163 # DEPENDENCYPART_SIBL
(11,3),(11,9),0.0705411 # DEPENDENCYPART_SIBL
(11,3),(11,10),0.148604 # DEPENDENCYPART_SIBL
(11,3),(11,12),0.024536 # DEPENDENCYPART_SIBL
(11,3),(11,13),0.0315547 # DEPENDENCYPART_SIBL
(11,3),(11,22),0.034184 # DEPENDENCYPART_SIBL
(11,4),(11,6),-0.0763022 # DEPENDENCYPART_SIBL
(11,4),(11,7),0.000602956 # DEPENDENCYPART_SIBL
(11,4),(11,8),-0.010624 # DEPENDENCYPART_SIBL
(11,4),(11,9),0.254393 # DEPENDENCYPART_SIBL
(11,4),(11,10),-0.00137628 # DEPENDENCYPART_SIBL
(11,4),(11,12),0.045748 # DEPENDENCYPART_SIBL
(11,4),(11,13),0.0384572 # DEPENDENCYPART_SIBL
(11,4),(11,22),0.048687 # DEPENDENCYPART_SIBL
(11,6),(11,7),0.0679518 # DEPENDENCYPART_SIBL
(11,6),(11,8),0.0509195 # DEPENDENCYPART_SIBL
(11,6),(11,9),0.0398805 # DEPENDENCYPART_SIBL
(11,6),(11,10),0.0656891 # DEPENDENCYPART_SIBL
(11,6),(11,12),0.016947 # DEPENDENCYPART_SIBL
(11,6),(11,13),0.0370992 # DEPENDENCYPART_SIBL
(11,6),(11,22),-0.00548556 # DEPENDENCYPART_SIBL
(11,7),(11,8),0.0266294 # DEPENDENCYPART_SIBL
(11,7),(11,9),0.282618 # DEPENDENCYPART_SIBL
(11,7),(11,10),0.0741388 # DEPENDENCYPART_SIBL
(11,7),(11,12),0.00720711 # DEPENDENCYPART_SIBL
(11,7),(11,13),0.0433031 # DEPENDENCYPART_SIBL
(11,7),(11,22),0.0108504 # DEPENDENCYPART_SIBL
(11,8),(11,9),0.257201 # DEPENDENCYPART_SIBL
(11,8),(11,10),0.0116085 # DEPENDENCYPART_SIBL
(11,8),(11,12),-3.78659e-05 # DEPENDENCYPART_SIBL
(11,8),(11,13),0.0032229 # DEPENDENCYPART_SIBL
(11,8),(11,22),-0.0155444 # DEPENDENCYPART_SIBL
(11,9),(11,10),0.044751 # DEPENDENCYPART_SIBL
(11,9),(11,12),-0.00344024 # DEPENDENCYPART_SIBL
(11,9),(11,13),-0.005666 # DEPENDENCYPART_SIBL
(11,9),(11,22),-0.0220022 # DEPENDENCYPART_SIBL
(11,10),(11,12),0.00608033 # DEPENDENCYPART_SIBL
(11,10),(11,13),0.0432092 # DEPENDENCYPART_SIBL
(11,10),(11,22),0.0132602 # DEPENDENCYPART_SIBL
(11,12),(11,13),-0.00313897 # DEPENDENCYPART_SIBL
(11,12),(11,22),0.0376298 # DEPENDENCYPART_SIBL
(11,13),(11,22),0.0291025 # DEPENDENCYPART_SIBL
(12,1),(12,2),0.0654437 # DEPENDENCYPART_SIBL
(12,1),(12,3),0.0504608 # DEPENDENCYPART_SIBL
(12,1),(12,4),0.135227 # DEPENDENCYPART_SIBL
(12,1),(12,8),0.0333726 # DEPENDENCYPART_SIBL
(12,1),(12,9),0.248496 # DEPENDENCYPART_SIBL
(12,1),(12,10),0.0293213 # DEPENDENCYPART_SIBL
(12,1),(12,11),0.0333726 # DEPENDENCYPART_SIBL
(12,1),(12,13),0.0649569 # DEPENDENCYPART_SIBL
(12,1),(12,14),0.0716566 # DEPENDENCYPART_SIBL
(12,1),(12,15),0.031129 # DEPENDENCYPART_SIBL
(12,1),(12,19),0.0307531 # DEPENDENCYPART_SIBL
(12,1),(12,22),0.0580171 # DEPENDENCYPART_SIBL
(12,1),(12,23),0.10894 # DEPENDENCYPART_SIBL
(12,2),(12,3),0.0635978 # DEPENDENCYPART_SIBL
(12,2),(12,4),0.0450644 # DEPENDENCYPART_SIBL
(12,2),(12,8),0.00475303 # DEPENDENCYPART_SIBL
(12,2),(12,9),0.201594 # DEPENDENCYPART_SIBL
(12,2),(12,10),0.0155338 # DEPENDENCYPART_SIBL
(12,2),(12,11),0.00475303 # DEPENDENCYPART_SIBL
(12,2),(12,13),0.0863996 # DEPENDENCYPART_SIBL
(12,2),(12,14),0.0534107 # DEPENDENCYPART_SIBL
(12,2),(12,15),0.0895422 # DEPENDENCYPART_SIBL
(12,2),(12,19),0.0894734 # DEPENDENCYPART_SIBL
(12,2),(12,22),0.043106 # DEPENDENCYPART_SIBL
(12,2),(12,23),0.0581828 # DEPENDENCYPART_SIBL
(12,3),(12,4),0.035174 # DEPENDENCYPART_SIBL
(12,3),(12,8),-0.00976091 # DEPENDENCYPART_SIBL
(12,3),(12,9),0.186427 # DEPENDENCYPART_SIBL
(12,3),(12,10),0.00394404 # DEPENDENCYPART_SIBL
(12,3),(12,11),-0.00976091 # DEPENDENCYPART_SIBL
(12,3),(12,13),0.0597814 # DEPENDENCYPART_SIBL
(12,3),(12,14),0.0236292 # DEPENDENCYPART_SIBL
(12,3),(12,15),0.0642311 # DEPENDENCYPART_SIBL
(12,3),(12,19),0.0641622 # DEPENDENCYPART_SIBL
(12,3),(12,22),0.036584 # DEPENDENCYPART_SIBL
(12,3),(12,23),0.00950191 # DEPENDENCYPART_SIBL
(12,4),(12,8),-0.0170389 # DEPENDENCYPART_SIBL
(12,4),(12,9),0.443676 # DEPENDENCYPART_SIBL
(12,4),(12,10),0.00163027 # DEPENDENCYPART_SIBL
(12,4),(12,11),-0.0170389 # DEPENDENCYPART_SIBL
(12,4),(12,13),0.0891307 # DEPENDENCYPART_SIBL
(12,4),(12,14),0.0705289 # DEPENDENCYPART_SIBL
(12,4),(12,15),0.0339464 # DEPENDENCYPART_SIBL
(12,4),(12,19),0.033755 # DEPENDENCYPART_SIBL
(12,4),(12,22),0.172447 # DEPENDENCYPART_SIBL
(12,4),(12,23),0.189869 # DEPENDENCYPART_SIBL
(12,8),(12,9),0.289622 # DEPENDENCYPART_SIBL
(12,8),(12,10),0.0086692 # DEPENDENCYPART_SIBL
(12,8),(12,11),-0.00452678 # DEPENDENCYPART_SIBL
(12,8),(12,13),0.0849936 # DEPENDENCYPART_SIBL
(12,8),(12,14),0.047036 # DEPENDENCYPART_SIBL
(12,8),(12,15),0.0131144 # DEPENDENCYPART_SIBL
(12,8),(12,19),0.0130456 # DEPENDENCYPART_SIBL
(12,8),(12,22),0.000633613 # DEPENDENCYPART_SIBL
(12,8),(12,23),0.012057 # DEPENDENCYPART_SIBL
(12,9),(12,10),0.0702734 # DEPENDENCYPART_SIBL
(12,9),(12,11),0.02106 # DEPENDENCYPART_SIBL
(12,9),(12,13),0.035524 # DEPENDENCYPART_SIBL
(12,9),(12,14),-0.0329208 # DEPENDENCYPART_SIBL
(12,9),(12,15),0.034221 # DEPENDENCYPART_SIBL
(12,9),(12,19),0.0341381 # DEPENDENCYPART_SIBL
(12,9),(12,22),0.0752257 # DEPENDENCYPART_SIBL
(12,9),(12,23),0.0927207 # DEPENDENCYPART_SIBL
(12,10),(12,11),0.0286864 # DEPENDENCYPART_SIBL
(12,10),(12,13),0.0415861 # DEPENDENCYPART_SIBL
(12,10),(12,14),0.023728 # DEPENDENCYPART_SIBL
(12,10),(12,15),0.162346 # DEPENDENCYPART_SIBL
(12,10),(12,19),0.161947 # DEPENDENCYPART_SIBL
(12,10),(12,22),-0.00733881 # DEPENDENCYPART_SIBL
(12,10),(12,23),0.00753846 # DEPENDENCYPART_SIBL
(12,11),(12,13),0.0849936 # DEPENDENCYPART_SIBL
(12,11),(12,14),0.047036 # DEPENDENCYPART_SIBL
(12,11),(12,15),0.0131144 # DEPENDENCYPART_SIBL
(12,11),(12,19),0.0130456 # DEPENDENCYPART_SIBL
(12,11),(12,22),0.000633613 # DEPENDENCYPART_SIBL
(12,11),(12,23),0.012057 # DEPENDENCYPART_SIBL
(12,13),(12,14),0.0136572 # DEPENDENCYPART_SIBL
(12,13),(12,15),0.00946507 # DEPENDENCYPART_SIBL
(12,13),(12,19),0.00946507 # DEPENDENCYPART_SIBL
(12,13),(12,22),-0.016039 # DEPENDENCYPART_SIBL
(12,13),(12,23),0.0564677 # DEPENDENCYPART_SIBL
(12,14),(12,15),0.0138606 # DEPENDENCYPART_SIBL
(12,14),(12,19),0.0135378 # DEPENDENCYPART_SIBL
(12,14),(12,22),0.0264468 # DEPENDENCYPART_SIBL
