# _root_ Nem volt nagy , ám a másodikhoz már elkelt a segítség , én nyúltam alá a merítőhálóval .
#goldHeads=2,5,2,5,0,7,9,9,5,11,9,5,14,5,14,17,14,5,
#predictedHeads=2,5,2,5,0,7,9,9,5,11,9,9,14,5,14,17,14,5,
(5,8),(5,17),-0.000720601 # DEPENDENCYPART_SIBL
(5,8),(5,18),0.0236549 # DEPENDENCYPART_SIBL
(5,9),(5,11),0.0616133 # DEPENDENCYPART_SIBL
(5,9),(5,12),0.122414 # DEPENDENCYPART_SIBL
(5,9),(5,14),-0.0338919 # DEPENDENCYPART_SIBL
(5,9),(5,17),0.0616133 # DEPENDENCYPART_SIBL
(5,9),(5,18),0.105447 # DEPENDENCYPART_SIBL
(5,11),(5,12),0.00925937 # DEPENDENCYPART_SIBL
(5,11),(5,14),-0.0423943 # DEPENDENCYPART_SIBL
(5,11),(5,17),-0.025932 # DEPENDENCYPART_SIBL
(5,11),(5,18),0.00111406 # DEPENDENCYPART_SIBL
(5,12),(5,14),0.190985 # DEPENDENCYPART_SIBL
(5,12),(5,17),0.0832965 # DEPENDENCYPART_SIBL
(5,12),(5,18),0.0131854 # DEPENDENCYPART_SIBL
(5,14),(5,17),0.0616133 # DEPENDENCYPART_SIBL
(5,14),(5,18),0.105447 # DEPENDENCYPART_SIBL
(5,17),(5,18),0.00111406 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.246097 # DEPENDENCYPART_SIBL
(6,3),(6,11),0.0186425 # DEPENDENCYPART_SIBL
(6,5),(6,11),0.0248676 # DEPENDENCYPART_SIBL
(7,2),(7,3),-0.113891 # DEPENDENCYPART_SIBL
(7,2),(7,4),0.34949 # DEPENDENCYPART_SIBL
(7,2),(7,5),0.228802 # DEPENDENCYPART_SIBL
(7,2),(7,6),-0.357729 # DEPENDENCYPART_SIBL
(7,2),(7,8),-0.018415 # DEPENDENCYPART_SIBL
(7,2),(7,9),0.0215167 # DEPENDENCYPART_SIBL
(7,2),(7,11),0.0143816 # DEPENDENCYPART_SIBL
(7,2),(7,17),0.0143816 # DEPENDENCYPART_SIBL
(7,3),(7,4),0.384769 # DEPENDENCYPART_SIBL
(7,3),(7,5),0.386829 # DEPENDENCYPART_SIBL
(7,3),(7,6),-0.703252 # DEPENDENCYPART_SIBL
(7,3),(7,8),-0.0512377 # DEPENDENCYPART_SIBL
(7,3),(7,9),-0.0480763 # DEPENDENCYPART_SIBL
(7,3),(7,11),-0.0210834 # DEPENDENCYPART_SIBL
(7,3),(7,17),-0.0210834 # DEPENDENCYPART_SIBL
(7,4),(7,5),0.36728 # DEPENDENCYPART_SIBL
(7,4),(7,6),-0.408123 # DEPENDENCYPART_SIBL
(7,4),(7,8),-0.0749834 # DEPENDENCYPART_SIBL
(7,4),(7,9),-0.0278874 # DEPENDENCYPART_SIBL
(7,4),(7,11),-0.00844461 # DEPENDENCYPART_SIBL
(7,4),(7,17),-0.00844461 # DEPENDENCYPART_SIBL
(7,5),(7,6),-0.359363 # DEPENDENCYPART_SIBL
(7,5),(7,8),-0.0428945 # DEPENDENCYPART_SIBL
(7,5),(7,9),0.0149697 # DEPENDENCYPART_SIBL
(7,5),(7,11),-0.00185706 # DEPENDENCYPART_SIBL
(7,5),(7,17),-0.00185706 # DEPENDENCYPART_SIBL
(7,6),(7,8),-0.0799479 # DEPENDENCYPART_SIBL
(7,6),(7,9),0.0086177 # DEPENDENCYPART_SIBL
(7,6),(7,11),-0.00331961 # DEPENDENCYPART_SIBL
(7,6),(7,17),-0.00331961 # DEPENDENCYPART_SIBL
(7,8),(7,9),0.0327226 # DEPENDENCYPART_SIBL
(7,8),(7,11),0.0453873 # DEPENDENCYPART_SIBL
(7,8),(7,17),0.0453873 # DEPENDENCYPART_SIBL
(7,9),(7,11),0.0764132 # DEPENDENCYPART_SIBL
(7,9),(7,17),0.0764132 # DEPENDENCYPART_SIBL
(7,11),(7,17),0.00471394 # DEPENDENCYPART_SIBL
(8,1),(8,2),0.111254 # DEPENDENCYPART_SIBL
(8,1),(8,3),0.180268 # DEPENDENCYPART_SIBL
(8,1),(8,4),0.137427 # DEPENDENCYPART_SIBL
(8,1),(8,5),0.0992461 # DEPENDENCYPART_SIBL
(8,1),(8,7),0.193463 # DEPENDENCYPART_SIBL
(8,1),(8,11),0.176907 # DEPENDENCYPART_SIBL
(8,1),(8,12),0.112372 # DEPENDENCYPART_SIBL
(8,1),(8,14),0.123722 # DEPENDENCYPART_SIBL
(8,1),(8,17),0.176907 # DEPENDENCYPART_SIBL
(8,1),(8,18),0.248955 # DEPENDENCYPART_SIBL
(8,2),(8,3),0.102434 # DEPENDENCYPART_SIBL
(8,2),(8,4),0.500123 # DEPENDENCYPART_SIBL
(8,2),(8,5),0.130904 # DEPENDENCYPART_SIBL
(8,2),(8,7),0.107461 # DEPENDENCYPART_SIBL
(8,2),(8,11),0.130373 # DEPENDENCYPART_SIBL
(8,2),(8,12),0.016843 # DEPENDENCYPART_SIBL
(8,2),(8,14),0.0346443 # DEPENDENCYPART_SIBL
(8,2),(8,17),0.130373 # DEPENDENCYPART_SIBL
(8,2),(8,18),0.134036 # DEPENDENCYPART_SIBL
(8,3),(8,4),0.222033 # DEPENDENCYPART_SIBL
(8,3),(8,5),0.146103 # DEPENDENCYPART_SIBL
(8,3),(8,7),0.067564 # DEPENDENCYPART_SIBL
(8,3),(8,11),0.133984 # DEPENDENCYPART_SIBL
(8,3),(8,12),0.0263916 # DEPENDENCYPART_SIBL
(8,3),(8,14),0.0117923 # DEPENDENCYPART_SIBL
(8,3),(8,17),0.133984 # DEPENDENCYPART_SIBL
(8,3),(8,18),0.0692341 # DEPENDENCYPART_SIBL
(8,4),(8,5),0.184967 # DEPENDENCYPART_SIBL
(8,4),(8,7),0.0251723 # DEPENDENCYPART_SIBL
(8,4),(8,11),0.106268 # DEPENDENCYPART_SIBL
(8,4),(8,12),-0.0208881 # DEPENDENCYPART_SIBL
(8,4),(8,14),0.0303996 # DEPENDENCYPART_SIBL
(8,4),(8,17),0.106268 # DEPENDENCYPART_SIBL
(8,4),(8,18),0.0709007 # DEPENDENCYPART_SIBL
(8,5),(8,7),0.0968848 # DEPENDENCYPART_SIBL
(8,5),(8,11),0.0737413 # DEPENDENCYPART_SIBL
(8,5),(8,12),-0.0121174 # DEPENDENCYPART_SIBL
(8,5),(8,14),-0.0172316 # DEPENDENCYPART_SIBL
(8,5),(8,17),0.0737413 # DEPENDENCYPART_SIBL
(8,5),(8,18),0.100797 # DEPENDENCYPART_SIBL
(8,7),(8,11),0.155304 # DEPENDENCYPART_SIBL
(8,7),(8,12),0.0743582 # DEPENDENCYPART_SIBL
(8,7),(8,14),0.0502915 # DEPENDENCYPART_SIBL
(8,7),(8,17),0.155304 # DEPENDENCYPART_SIBL
(8,7),(8,18),0.0794334 # DEPENDENCYPART_SIBL
(8,11),(8,12),0.0652621 # DEPENDENCYPART_SIBL
(8,11),(8,14),0.0387755 # DEPENDENCYPART_SIBL
(8,11),(8,17),0.0137048 # DEPENDENCYPART_SIBL
(8,11),(8,18),0.0477783 # DEPENDENCYPART_SIBL
(8,12),(8,14),0.251761 # DEPENDENCYPART_SIBL
(8,12),(8,17),0.0146828 # DEPENDENCYPART_SIBL
(8,12),(8,18),0.0844444 # DEPENDENCYPART_SIBL
(8,14),(8,17),0.0192305 # DEPENDENCYPART_SIBL
(8,14),(8,18),0.067625 # DEPENDENCYPART_SIBL
(8,17),(8,18),0.0477783 # DEPENDENCYPART_SIBL
(9,1),(9,2),-0.0193451 # DEPENDENCYPART_SIBL
(9,1),(9,3),0.0532001 # DEPENDENCYPART_SIBL
(9,1),(9,4),0.105751 # DEPENDENCYPART_SIBL
(9,1),(9,5),0.0538913 # DEPENDENCYPART_SIBL
(9,1),(9,6),-0.114355 # DEPENDENCYPART_SIBL
(9,1),(9,7),-0.0379826 # DEPENDENCYPART_SIBL
(9,1),(9,8),0.0206222 # DEPENDENCYPART_SIBL
(9,1),(9,10),-0.0679541 # DEPENDENCYPART_SIBL
(9,1),(9,11),0.00207447 # DEPENDENCYPART_SIBL
(9,1),(9,12),-0.00959942 # DEPENDENCYPART_SIBL
(9,1),(9,13),0.0338773 # DEPENDENCYPART_SIBL
(9,1),(9,14),0.0599421 # DEPENDENCYPART_SIBL
(9,1),(9,15),0.0456096 # DEPENDENCYPART_SIBL
(9,1),(9,16),-0.0679541 # DEPENDENCYPART_SIBL
(9,1),(9,17),0.00207447 # DEPENDENCYPART_SIBL
(9,1),(9,18),-0.00897663 # DEPENDENCYPART_SIBL
(9,2),(9,3),-0.00841757 # DEPENDENCYPART_SIBL
(9,2),(9,4),0.16077 # DEPENDENCYPART_SIBL
(9,2),(9,5),0.0616082 # DEPENDENCYPART_SIBL
(9,2),(9,6),-0.0560418 # DEPENDENCYPART_SIBL
(9,2),(9,7),-0.0237586 # DEPENDENCYPART_SIBL
(9,2),(9,8),0.0616051 # DEPENDENCYPART_SIBL
(9,2),(9,10),-0.0248714 # DEPENDENCYPART_SIBL
(9,2),(9,11),0.0176422 # DEPENDENCYPART_SIBL
(9,2),(9,12),0.0163203 # DEPENDENCYPART_SIBL
(9,2),(9,13),-0.017488 # DEPENDENCYPART_SIBL
(9,2),(9,14),-0.0199966 # DEPENDENCYPART_SIBL
(9,2),(9,15),0.0111399 # DEPENDENCYPART_SIBL
(9,2),(9,16),-0.0248714 # DEPENDENCYPART_SIBL
(9,2),(9,17),0.0176422 # DEPENDENCYPART_SIBL
(9,2),(9,18),0.0348736 # DEPENDENCYPART_SIBL
(9,3),(9,4),0.0301264 # DEPENDENCYPART_SIBL
(9,3),(9,5),0.110285 # DEPENDENCYPART_SIBL
(9,3),(9,6),-0.20965 # DEPENDENCYPART_SIBL
(9,3),(9,7),-0.0185467 # DEPENDENCYPART_SIBL
(9,3),(9,8),0.0382548 # DEPENDENCYPART_SIBL
(9,3),(9,10),-0.00787038 # DEPENDENCYPART_SIBL
(9,3),(9,11),-0.0010606 # DEPENDENCYPART_SIBL
(9,3),(9,12),0.0109923 # DEPENDENCYPART_SIBL
(9,3),(9,13),0.0199902 # DEPENDENCYPART_SIBL
(9,3),(9,14),-0.00667766 # DEPENDENCYPART_SIBL
(9,3),(9,15),0.00245059 # DEPENDENCYPART_SIBL
(9,3),(9,16),-0.00787038 # DEPENDENCYPART_SIBL
(9,3),(9,17),-0.0010606 # DEPENDENCYPART_SIBL
(9,3),(9,18),-0.0028543 # DEPENDENCYPART_SIBL
(9,4),(9,5),0.161712 # DEPENDENCYPART_SIBL
(9,4),(9,6),-0.10614 # DEPENDENCYPART_SIBL
(9,4),(9,7),-0.00800137 # DEPENDENCYPART_SIBL
(9,4),(9,8),0.00602855 # DEPENDENCYPART_SIBL
(9,4),(9,10),-0.0116264 # DEPENDENCYPART_SIBL
(9,4),(9,11),-0.0180136 # DEPENDENCYPART_SIBL
(9,4),(9,12),-0.00490476 # DEPENDENCYPART_SIBL
(9,4),(9,13),-0.0168772 # DEPENDENCYPART_SIBL
(9,4),(9,14),-0.00508159 # DEPENDENCYPART_SIBL
(9,4),(9,15),0.0121185 # DEPENDENCYPART_SIBL
(9,4),(9,16),-0.0116264 # DEPENDENCYPART_SIBL
(9,4),(9,17),-0.0180136 # DEPENDENCYPART_SIBL
(9,4),(9,18),0.0201025 # DEPENDENCYPART_SIBL
(9,5),(9,6),-0.100205 # DEPENDENCYPART_SIBL
(9,5),(9,7),-0.0631734 # DEPENDENCYPART_SIBL
(9,5),(9,8),-0.0415827 # DEPENDENCYPART_SIBL
(9,5),(9,10),-0.0283463 # DEPENDENCYPART_SIBL
(9,5),(9,11),-0.00189379 # DEPENDENCYPART_SIBL
(9,5),(9,12),-0.0102982 # DEPENDENCYPART_SIBL
(9,5),(9,13),-0.0166079 # DEPENDENCYPART_SIBL
(9,5),(9,14),-0.00511678 # DEPENDENCYPART_SIBL
(9,5),(9,15),-0.0134579 # DEPENDENCYPART_SIBL
(9,5),(9,16),-0.0283463 # DEPENDENCYPART_SIBL
(9,5),(9,17),-0.00189379 # DEPENDENCYPART_SIBL
(9,5),(9,18),0.0473535 # DEPENDENCYPART_SIBL
(9,6),(9,7),0.0163912 # DEPENDENCYPART_SIBL
(9,6),(9,8),-0.0088743 # DEPENDENCYPART_SIBL
(9,6),(9,10),0.0223062 # DEPENDENCYPART_SIBL
(9,6),(9,11),-0.0245112 # DEPENDENCYPART_SIBL
(9,6),(9,12),-0.0377119 # DEPENDENCYPART_SIBL
(9,6),(9,13),-0.02127 # DEPENDENCYPART_SIBL
(9,6),(9,14),-0.0134258 # DEPENDENCYPART_SIBL
(9,6),(9,15),0.00542289 # DEPENDENCYPART_SIBL
(9,6),(9,16),0.0223062 # DEPENDENCYPART_SIBL
(9,6),(9,17),-0.0245112 # DEPENDENCYPART_SIBL
(9,6),(9,18),-0.064632 # DEPENDENCYPART_SIBL
(9,7),(9,8),0.0665509 # DEPENDENCYPART_SIBL
(9,7),(9,10),-0.0211777 # DEPENDENCYPART_SIBL
(9,7),(9,11),-0.0111345 # DEPENDENCYPART_SIBL
(9,7),(9,12),-0.00683924 # DEPENDENCYPART_SIBL
(9,7),(9,13),-0.0273643 # DEPENDENCYPART_SIBL
(9,7),(9,14),-0.0161509 # DEPENDENCYPART_SIBL
(9,7),(9,15),0.00798724 # DEPENDENCYPART_SIBL
(9,7),(9,16),-0.0211777 # DEPENDENCYPART_SIBL
(9,7),(9,17),-0.0111345 # DEPENDENCYPART_SIBL
(9,7),(9,18),0.00434458 # DEPENDENCYPART_SIBL
(9,8),(9,10),-0.063747 # DEPENDENCYPART_SIBL
(9,8),(9,11),0.0491958 # DEPENDENCYPART_SIBL
(9,8),(9,12),-0.00076837 # DEPENDENCYPART_SIBL
(9,8),(9,13),0.010703 # DEPENDENCYPART_SIBL
(9,8),(9,14),-0.033506 # DEPENDENCYPART_SIBL
(9,8),(9,15),0.0121403 # DEPENDENCYPART_SIBL
(9,8),(9,16),-0.063747 # DEPENDENCYPART_SIBL
(9,8),(9,17),0.0491958 # DEPENDENCYPART_SIBL
(9,8),(9,18),0.0347468 # DEPENDENCYPART_SIBL
(9,10),(9,11),0.0110333 # DEPENDENCYPART_SIBL
(9,10),(9,12),-0.00728509 # DEPENDENCYPART_SIBL
(9,10),(9,13),-0.00690499 # DEPENDENCYPART_SIBL
(9,10),(9,14),-0.0359816 # DEPENDENCYPART_SIBL
(9,10),(9,15),-0.00916471 # DEPENDENCYPART_SIBL
(9,10),(9,16),0.0888948 # DEPENDENCYPART_SIBL
(9,10),(9,17),0.0110333 # DEPENDENCYPART_SIBL
(9,10),(9,18),-0.0284786 # DEPENDENCYPART_SIBL
(9,11),(9,12),0.0430489 # DEPENDENCYPART_SIBL
(9,11),(9,13),0.0385012 # DEPENDENCYPART_SIBL
(9,11),(9,14),-0.0189344 # DEPENDENCYPART_SIBL
(9,11),(9,15),0.00868616 # DEPENDENCYPART_SIBL
(9,11),(9,16),0.0707783 # DEPENDENCYPART_SIBL
(9,11),(9,17),-0.0191053 # DEPENDENCYPART_SIBL
(9,11),(9,18),-1.62179e-05 # DEPENDENCYPART_SIBL
(9,12),(9,13),0.00575822 # DEPENDENCYPART_SIBL
(9,12),(9,14),0.194562 # DEPENDENCYPART_SIBL
(9,12),(9,15),0.101728 # DEPENDENCYPART_SIBL
(9,12),(9,16),0.124212 # DEPENDENCYPART_SIBL
(9,12),(9,17),0.07652 # DEPENDENCYPART_SIBL
(9,12),(9,18),0.0489202 # DEPENDENCYPART_SIBL
(9,13),(9,14),-0.024409 # DEPENDENCYPART_SIBL
(9,13),(9,15),0.0440911 # DEPENDENCYPART_SIBL
(9,13),(9,16),0.0965237 # DEPENDENCYPART_SIBL
(9,13),(9,17),0.0188959 # DEPENDENCYPART_SIBL
(9,13),(9,18),0.000580314 # DEPENDENCYPART_SIBL
(9,14),(9,15),0.00766938 # DEPENDENCYPART_SIBL
(9,14),(9,16),0.0273033 # DEPENDENCYPART_SIBL
(9,14),(9,17),-0.00448328 # DEPENDENCYPART_SIBL
(9,14),(9,18),0.0178063 # DEPENDENCYPART_SIBL
(9,15),(9,16),0.0383103 # DEPENDENCYPART_SIBL
(9,15),(9,17),0.0321385 # DEPENDENCYPART_SIBL
(9,15),(9,18),0.000415773 # DEPENDENCYPART_SIBL
(9,16),(9,17),0.0110333 # DEPENDENCYPART_SIBL
(9,16),(9,18),-0.0284786 # DEPENDENCYPART_SIBL
(9,17),(9,18),-1.62179e-05 # DEPENDENCYPART_SIBL
(11,4),(11,6),-0.408123 # DEPENDENCYPART_SIBL
(11,4),(11,7),0.0569251 # DEPENDENCYPART_SIBL
(11,4),(11,8),0.0648468 # DEPENDENCYPART_SIBL
(11,4),(11,9),0.140124 # DEPENDENCYPART_SIBL
(11,4),(11,10),-0.408123 # DEPENDENCYPART_SIBL
(11,4),(11,12),-0.0309197 # DEPENDENCYPART_SIBL
(11,4),(11,14),-0.0297741 # DEPENDENCYPART_SIBL
(11,4),(11,17),-0.00840117 # DEPENDENCYPART_SIBL
(11,4),(11,18),0.0203534 # DEPENDENCYPART_SIBL
(11,6),(11,7),0.0133075 # DEPENDENCYPART_SIBL
(11,6),(11,8),0.0257287 # DEPENDENCYPART_SIBL
(11,6),(11,9),0.207301 # DEPENDENCYPART_SIBL
(11,6),(11,10),-0.661702 # DEPENDENCYPART_SIBL
(11,6),(11,12),-0.00437454 # DEPENDENCYPART_SIBL
(11,6),(11,14),0.00557941 # DEPENDENCYPART_SIBL
(11,6),(11,17),-0.0035291 # DEPENDENCYPART_SIBL
(11,6),(11,18),-0.0328494 # DEPENDENCYPART_SIBL
(11,7),(11,8),0.203705 # DEPENDENCYPART_SIBL
(11,7),(11,9),0.153199 # DEPENDENCYPART_SIBL
(11,7),(11,10),-0.317123 # DEPENDENCYPART_SIBL
(11,7),(11,12),-0.000382085 # DEPENDENCYPART_SIBL
(11,7),(11,14),0.00632033 # DEPENDENCYPART_SIBL
(11,7),(11,17),0.00337853 # DEPENDENCYPART_SIBL
(11,7),(11,18),0.0393223 # DEPENDENCYPART_SIBL
(11,8),(11,9),0.0482073 # DEPENDENCYPART_SIBL
(11,8),(11,10),-0.43609 # DEPENDENCYPART_SIBL
(11,8),(11,12),-0.0115098 # DEPENDENCYPART_SIBL
(11,8),(11,14),0.0256547 # DEPENDENCYPART_SIBL
(11,8),(11,17),0.0100453 # DEPENDENCYPART_SIBL
(11,8),(11,18),0.105293 # DEPENDENCYPART_SIBL
(11,9),(11,10),-0.353507 # DEPENDENCYPART_SIBL
(11,9),(11,12),-0.0113199 # DEPENDENCYPART_SIBL
(11,9),(11,14),0.0339593 # DEPENDENCYPART_SIBL
(11,9),(11,17),-0.00602675 # DEPENDENCYPART_SIBL
(11,9),(11,18),0.119576 # DEPENDENCYPART_SIBL
(11,10),(11,12),-0.00437454 # DEPENDENCYPART_SIBL
(11,10),(11,14),0.00557941 # DEPENDENCYPART_SIBL
(11,10),(11,17),-0.0035291 # DEPENDENCYPART_SIBL
(11,10),(11,18),-0.0328494 # DEPENDENCYPART_SIBL
(11,12),(11,14),0.423426 # DEPENDENCYPART_SIBL
(11,12),(11,17),0.341891 # DEPENDENCYPART_SIBL
(11,12),(11,18),0.074018 # DEPENDENCYPART_SIBL
(11,14),(11,17),0.0756676 # DEPENDENCYPART_SIBL
(11,14),(11,18),0.206348 # DEPENDENCYPART_SIBL
(11,17),(11,18),0.0459835 # DEPENDENCYPART_SIBL
(13,2),(13,9),0.0808854 # DEPENDENCYPART_SIBL
(13,2),(13,12),0.292091 # DEPENDENCYPART_SIBL
(13,2),(13,14),-0.0211326 # DEPENDENCYPART_SIBL
(13,2),(13,17),0.0244526 # DEPENDENCYPART_SIBL
(13,2),(13,18),0.0603121 # DEPENDENCYPART_SIBL
(13,9),(13,12),0.242502 # DEPENDENCYPART_SIBL
(13,9),(13,14),0.00281051 # DEPENDENCYPART_SIBL
(13,9),(13,17),0.0182299 # DEPENDENCYPART_SIBL
(13,9),(13,18),0.0743463 # DEPENDENCYPART_SIBL
(13,12),(13,14),0.00367762 # DEPENDENCYPART_SIBL
(13,12),(13,17),0.0755189 # DEPENDENCYPART_SIBL
(13,12),(13,18),0.0857264 # DEPENDENCYPART_SIBL
(13,14),(13,17),-0.0071617 # DEPENDENCYPART_SIBL
(13,14),(13,18),-0.00327482 # DEPENDENCYPART_SIBL
(13,17),(13,18),0.0622723 # DEPENDENCYPART_SIBL
(14,1),(14,2),-0.0191977 # DEPENDENCYPART_SIBL
(14,1),(14,3),0.0533476 # DEPENDENCYPART_SIBL
(14,1),(14,4),0.105898 # DEPENDENCYPART_SIBL
(14,1),(14,5),0.0540387 # DEPENDENCYPART_SIBL
(14,1),(14,6),-0.114208 # DEPENDENCYPART_SIBL
(14,1),(14,7),-0.0367625 # DEPENDENCYPART_SIBL
(14,1),(14,8),0.021695 # DEPENDENCYPART_SIBL
(14,1),(14,9),-0.0241245 # DEPENDENCYPART_SIBL
(14,1),(14,10),-0.114208 # DEPENDENCYPART_SIBL
(14,1),(14,11),-0.0369099 # DEPENDENCYPART_SIBL
(14,1),(14,12),0.105898 # DEPENDENCYPART_SIBL
(14,1),(14,13),-0.0458274 # DEPENDENCYPART_SIBL
(14,1),(14,15),0.0456096 # DEPENDENCYPART_SIBL
(14,1),(14,16),-0.0679541 # DEPENDENCYPART_SIBL
(14,1),(14,17),0.00207447 # DEPENDENCYPART_SIBL
(14,1),(14,18),-0.00775645 # DEPENDENCYPART_SIBL
(14,2),(14,3),-0.00841757 # DEPENDENCYPART_SIBL
(14,2),(14,4),0.16077 # DEPENDENCYPART_SIBL
(14,2),(14,5),0.0616082 # DEPENDENCYPART_SIBL
(14,2),(14,6),-0.0560418 # DEPENDENCYPART_SIBL
(14,2),(14,7),-0.0226858 # DEPENDENCYPART_SIBL
(14,2),(14,8),0.0625305 # DEPENDENCYPART_SIBL
(14,2),(14,9),-0.00731375 # DEPENDENCYPART_SIBL
(14,2),(14,10),-0.0560418 # DEPENDENCYPART_SIBL
(14,2),(14,11),-0.0228333 # DEPENDENCYPART_SIBL
(14,2),(14,12),0.16077 # DEPENDENCYPART_SIBL
(14,2),(14,13),-0.0531219 # DEPENDENCYPART_SIBL
(14,2),(14,15),0.0111399 # DEPENDENCYPART_SIBL
(14,2),(14,16),-0.0248714 # DEPENDENCYPART_SIBL
(14,2),(14,17),0.0176422 # DEPENDENCYPART_SIBL
(14,2),(14,18),0.0360938 # DEPENDENCYPART_SIBL
(14,3),(14,4),0.0301264 # DEPENDENCYPART_SIBL
(14,3),(14,5),0.110285 # DEPENDENCYPART_SIBL
(14,3),(14,6),-0.20965 # DEPENDENCYPART_SIBL
(14,3),(14,7),-0.0174739 # DEPENDENCYPART_SIBL
(14,3),(14,8),0.0391801 # DEPENDENCYPART_SIBL
(14,3),(14,9),-0.00850954 # DEPENDENCYPART_SIBL
(14,3),(14,10),-0.20965 # DEPENDENCYPART_SIBL
(14,3),(14,11),-0.0176214 # DEPENDENCYPART_SIBL
(14,3),(14,12),0.0301264 # DEPENDENCYPART_SIBL
(14,3),(14,13),-0.0627453 # DEPENDENCYPART_SIBL
(14,3),(14,15),0.00245059 # DEPENDENCYPART_SIBL
(14,3),(14,16),-0.00787038 # DEPENDENCYPART_SIBL
(14,3),(14,17),-0.0010606 # DEPENDENCYPART_SIBL
(14,3),(14,18),-0.00163412 # DEPENDENCYPART_SIBL
(14,4),(14,5),0.161712 # DEPENDENCYPART_SIBL
(14,4),(14,6),-0.10614 # DEPENDENCYPART_SIBL
(14,4),(14,7),-0.00692861 # DEPENDENCYPART_SIBL
(14,4),(14,8),0.00695387 # DEPENDENCYPART_SIBL
(14,4),(14,9),0.0158325 # DEPENDENCYPART_SIBL
(14,4),(14,10),-0.10614 # DEPENDENCYPART_SIBL
(14,4),(14,11),-0.00737097 # DEPENDENCYPART_SIBL
(14,4),(14,12),0.00513268 # DEPENDENCYPART_SIBL
(14,4),(14,13),-0.0245776 # DEPENDENCYPART_SIBL
(14,4),(14,15),0.0121185 # DEPENDENCYPART_SIBL
(14,4),(14,16),-0.0116264 # DEPENDENCYPART_SIBL
(14,4),(14,17),-0.0180136 # DEPENDENCYPART_SIBL
(14,4),(14,18),0.0213227 # DEPENDENCYPART_SIBL
(14,5),(14,6),-0.100205 # DEPENDENCYPART_SIBL
(14,5),(14,7),-0.0621006 # DEPENDENCYPART_SIBL
(14,5),(14,8),-0.0406574 # DEPENDENCYPART_SIBL
(14,5),(14,9),0.109599 # DEPENDENCYPART_SIBL
(14,5),(14,10),-0.100205 # DEPENDENCYPART_SIBL
(14,5),(14,11),-0.0622481 # DEPENDENCYPART_SIBL
(14,5),(14,12),0.128957 # DEPENDENCYPART_SIBL
(14,5),(14,13),-0.0811919 # DEPENDENCYPART_SIBL
(14,5),(14,15),-0.0134579 # DEPENDENCYPART_SIBL
(14,5),(14,16),-0.0283463 # DEPENDENCYPART_SIBL
(14,5),(14,17),-0.00189379 # DEPENDENCYPART_SIBL
(14,5),(14,18),0.0485737 # DEPENDENCYPART_SIBL
(14,6),(14,7),0.0174639 # DEPENDENCYPART_SIBL
(14,6),(14,8),-0.00794899 # DEPENDENCYPART_SIBL
(14,6),(14,9),0.0272811 # DEPENDENCYPART_SIBL
(14,6),(14,10),-0.125584 # DEPENDENCYPART_SIBL
(14,6),(14,11),0.0173165 # DEPENDENCYPART_SIBL
(14,6),(14,12),0.0102192 # DEPENDENCYPART_SIBL
(14,6),(14,13),-0.0835978 # DEPENDENCYPART_SIBL
(14,6),(14,15),0.00542289 # DEPENDENCYPART_SIBL
(14,6),(14,16),0.0223062 # DEPENDENCYPART_SIBL
(14,6),(14,17),-0.0245112 # DEPENDENCYPART_SIBL
(14,6),(14,18),-0.0634118 # DEPENDENCYPART_SIBL
(14,7),(14,8),0.0700844 # DEPENDENCYPART_SIBL
(14,7),(14,9),-0.00898354 # DEPENDENCYPART_SIBL
(14,7),(14,10),-0.0619144 # DEPENDENCYPART_SIBL
(14,7),(14,11),-0.0311458 # DEPENDENCYPART_SIBL
(14,7),(14,12),0.0956371 # DEPENDENCYPART_SIBL
(14,7),(14,13),-0.0626745 # DEPENDENCYPART_SIBL
(14,7),(14,15),0.0084499 # DEPENDENCYPART_SIBL
(14,7),(14,16),-0.0207151 # DEPENDENCYPART_SIBL
(14,7),(14,17),-0.0106718 # DEPENDENCYPART_SIBL
(14,7),(14,18),0.00695274 # DEPENDENCYPART_SIBL
(14,8),(14,9),-0.0180332 # DEPENDENCYPART_SIBL
(14,8),(14,10),-0.0969614 # DEPENDENCYPART_SIBL
(14,8),(14,11),0.0460586 # DEPENDENCYPART_SIBL
(14,8),(14,12),0.0481706 # DEPENDENCYPART_SIBL
(14,8),(14,13),-0.0418834 # DEPENDENCYPART_SIBL
(14,8),(14,15),0.0121403 # DEPENDENCYPART_SIBL
(14,8),(14,16),-0.063747 # DEPENDENCYPART_SIBL
(14,8),(14,17),0.0491958 # DEPENDENCYPART_SIBL
(14,8),(14,18),0.035967 # DEPENDENCYPART_SIBL
(14,9),(14,10),-0.0660861 # DEPENDENCYPART_SIBL
(14,9),(14,11),-0.0264872 # DEPENDENCYPART_SIBL
(14,9),(14,12),0.0793449 # DEPENDENCYPART_SIBL
(14,9),(14,13),-0.0558593 # DEPENDENCYPART_SIBL
(14,9),(14,15),0.000348836 # DEPENDENCYPART_SIBL
(14,9),(14,16),-0.0321 # DEPENDENCYPART_SIBL
(14,9),(14,17),-0.00872941 # DEPENDENCYPART_SIBL
(14,9),(14,18),0.0157563 # DEPENDENCYPART_SIBL
(14,10),(14,11),0.0173165 # DEPENDENCYPART_SIBL
(14,10),(14,12),0.0102192 # DEPENDENCYPART_SIBL
