# _root_ Kouchnerhez hasonlóan a tanács többi tagja sem tudja még , miképpen lehetne szavatolni a szerb kisebbség biztonságát , s így a kérdés valószínűleg még többször napirendre kerül a testület ülésein .
#goldHeads=2,8,4,6,6,8,8,19,8,8,13,8,12,16,16,17,13,19,0,27,22,27,27,27,27,27,19,29,30,27,19,
#predictedHeads=2,8,4,6,6,8,8,19,8,8,12,8,12,16,16,17,13,19,0,27,22,27,27,26,26,27,19,29,30,27,19,
(13,4),(13,16),-0.00756604 # DEPENDENCYPART_SIBL
(13,4),(13,17),-0.0107328 # DEPENDENCYPART_SIBL
(13,4),(13,18),-0.01317 # DEPENDENCYPART_SIBL
(13,4),(13,19),-0.055539 # DEPENDENCYPART_SIBL
(13,4),(13,20),-0.0244928 # DEPENDENCYPART_SIBL
(13,4),(13,21),-0.0215019 # DEPENDENCYPART_SIBL
(13,4),(13,22),0.00561911 # DEPENDENCYPART_SIBL
(13,4),(13,23),-0.0156429 # DEPENDENCYPART_SIBL
(13,4),(13,24),-0.00144504 # DEPENDENCYPART_SIBL
(13,4),(13,25),-0.0172983 # DEPENDENCYPART_SIBL
(13,4),(13,26),-0.00726867 # DEPENDENCYPART_SIBL
(13,4),(13,27),-0.0271822 # DEPENDENCYPART_SIBL
(13,4),(13,29),-0.0111105 # DEPENDENCYPART_SIBL
(13,4),(13,30),-0.00826211 # DEPENDENCYPART_SIBL
(13,4),(13,31),0.0116414 # DEPENDENCYPART_SIBL
(13,5),(13,6),0.0655175 # DEPENDENCYPART_SIBL
(13,5),(13,7),0.0263366 # DEPENDENCYPART_SIBL
(13,5),(13,8),0.024818 # DEPENDENCYPART_SIBL
(13,5),(13,9),0.0212655 # DEPENDENCYPART_SIBL
(13,5),(13,10),0.105344 # DEPENDENCYPART_SIBL
(13,5),(13,11),0.00823128 # DEPENDENCYPART_SIBL
(13,5),(13,12),0.0152145 # DEPENDENCYPART_SIBL
(13,5),(13,14),0.00174632 # DEPENDENCYPART_SIBL
(13,5),(13,15),-0.0227644 # DEPENDENCYPART_SIBL
(13,5),(13,16),0.0225898 # DEPENDENCYPART_SIBL
(13,5),(13,17),0.0211102 # DEPENDENCYPART_SIBL
(13,5),(13,18),0.0151859 # DEPENDENCYPART_SIBL
(13,5),(13,19),-0.0354259 # DEPENDENCYPART_SIBL
(13,5),(13,20),0.016996 # DEPENDENCYPART_SIBL
(13,5),(13,21),0.00174632 # DEPENDENCYPART_SIBL
(13,5),(13,22),0.0335446 # DEPENDENCYPART_SIBL
(13,5),(13,23),0.00618852 # DEPENDENCYPART_SIBL
(13,5),(13,24),0.00967227 # DEPENDENCYPART_SIBL
(13,5),(13,25),0.0191299 # DEPENDENCYPART_SIBL
(13,5),(13,26),0.0235802 # DEPENDENCYPART_SIBL
(13,5),(13,27),-0.00487258 # DEPENDENCYPART_SIBL
(13,5),(13,29),0.0219033 # DEPENDENCYPART_SIBL
(13,5),(13,30),0.0224968 # DEPENDENCYPART_SIBL
(13,5),(13,31),0.0246597 # DEPENDENCYPART_SIBL
(13,6),(13,7),0.049234 # DEPENDENCYPART_SIBL
(13,6),(13,8),-0.0113848 # DEPENDENCYPART_SIBL
(13,6),(13,9),0.0479549 # DEPENDENCYPART_SIBL
(13,6),(13,10),0.0815535 # DEPENDENCYPART_SIBL
(13,6),(13,11),0.0052502 # DEPENDENCYPART_SIBL
(13,6),(13,12),-0.0243535 # DEPENDENCYPART_SIBL
(13,6),(13,14),-0.0219972 # DEPENDENCYPART_SIBL
(13,6),(13,15),-0.00958105 # DEPENDENCYPART_SIBL
(13,6),(13,16),-0.0117374 # DEPENDENCYPART_SIBL
(13,6),(13,17),-0.0149042 # DEPENDENCYPART_SIBL
(13,6),(13,18),-0.0179617 # DEPENDENCYPART_SIBL
(13,6),(13,19),-0.0518752 # DEPENDENCYPART_SIBL
(13,6),(13,20),-0.0247194 # DEPENDENCYPART_SIBL
(13,6),(13,21),-0.0219972 # DEPENDENCYPART_SIBL
(13,6),(13,22),0.00144778 # DEPENDENCYPART_SIBL
(13,6),(13,23),-0.0158695 # DEPENDENCYPART_SIBL
(13,6),(13,24),-0.00167163 # DEPENDENCYPART_SIBL
(13,6),(13,25),-0.0178004 # DEPENDENCYPART_SIBL
(13,6),(13,26),-0.01144 # DEPENDENCYPART_SIBL
(13,6),(13,27),-0.0309267 # DEPENDENCYPART_SIBL
(13,6),(13,29),-0.0152818 # DEPENDENCYPART_SIBL
(13,6),(13,30),-0.0124334 # DEPENDENCYPART_SIBL
(13,6),(13,31),0.00696952 # DEPENDENCYPART_SIBL
(13,7),(13,8),-0.0461522 # DEPENDENCYPART_SIBL
(13,7),(13,9),0.00615913 # DEPENDENCYPART_SIBL
(13,7),(13,10),0.0208452 # DEPENDENCYPART_SIBL
(13,7),(13,11),-0.0293763 # DEPENDENCYPART_SIBL
(13,7),(13,12),-0.0552791 # DEPENDENCYPART_SIBL
(13,7),(13,14),-0.0724211 # DEPENDENCYPART_SIBL
(13,7),(13,15),0.0305159 # DEPENDENCYPART_SIBL
(13,7),(13,16),-0.026611 # DEPENDENCYPART_SIBL
(13,7),(13,17),-0.0285958 # DEPENDENCYPART_SIBL
(13,7),(13,18),0.0286709 # DEPENDENCYPART_SIBL
(13,7),(13,19),-0.0596882 # DEPENDENCYPART_SIBL
(13,7),(13,20),-0.0176261 # DEPENDENCYPART_SIBL
(13,7),(13,21),-0.0724211 # DEPENDENCYPART_SIBL
(13,7),(13,22),-0.0156699 # DEPENDENCYPART_SIBL
(13,7),(13,23),-0.0200074 # DEPENDENCYPART_SIBL
(13,7),(13,24),-0.0341725 # DEPENDENCYPART_SIBL
(13,7),(13,25),-0.0262155 # DEPENDENCYPART_SIBL
(13,7),(13,26),-0.0233244 # DEPENDENCYPART_SIBL
(13,7),(13,27),0.00217223 # DEPENDENCYPART_SIBL
(13,7),(13,29),-0.0271549 # DEPENDENCYPART_SIBL
(13,7),(13,30),-0.0265636 # DEPENDENCYPART_SIBL
(13,7),(13,31),0.0343297 # DEPENDENCYPART_SIBL
(13,8),(13,9),-0.0180724 # DEPENDENCYPART_SIBL
(13,8),(13,10),0.0622884 # DEPENDENCYPART_SIBL
(13,8),(13,11),-0.0276549 # DEPENDENCYPART_SIBL
(13,8),(13,12),-0.0509533 # DEPENDENCYPART_SIBL
(13,8),(13,14),-0.0380511 # DEPENDENCYPART_SIBL
(13,8),(13,15),-0.0241004 # DEPENDENCYPART_SIBL
(13,8),(13,16),-0.0194836 # DEPENDENCYPART_SIBL
(13,8),(13,17),-0.0210304 # DEPENDENCYPART_SIBL
(13,8),(13,18),-0.00674573 # DEPENDENCYPART_SIBL
(13,8),(13,19),-0.031026 # DEPENDENCYPART_SIBL
(13,8),(13,20),-0.00706264 # DEPENDENCYPART_SIBL
(13,8),(13,21),-0.0380511 # DEPENDENCYPART_SIBL
(13,8),(13,22),-0.00487659 # DEPENDENCYPART_SIBL
(13,8),(13,23),-0.022742 # DEPENDENCYPART_SIBL
(13,8),(13,24),-0.0221768 # DEPENDENCYPART_SIBL
(13,8),(13,25),-0.018911 # DEPENDENCYPART_SIBL
(13,8),(13,26),-0.0182343 # DEPENDENCYPART_SIBL
(13,8),(13,27),-0.0176298 # DEPENDENCYPART_SIBL
(13,8),(13,29),-0.0199883 # DEPENDENCYPART_SIBL
(13,8),(13,30),-0.0193184 # DEPENDENCYPART_SIBL
(13,8),(13,31),0.00240899 # DEPENDENCYPART_SIBL
(13,9),(13,10),0.0187814 # DEPENDENCYPART_SIBL
(13,9),(13,11),-0.000255746 # DEPENDENCYPART_SIBL
(13,9),(13,12),-0.0186583 # DEPENDENCYPART_SIBL
(13,9),(13,14),-0.0720941 # DEPENDENCYPART_SIBL
(13,9),(13,15),0.0209104 # DEPENDENCYPART_SIBL
(13,9),(13,16),0.0178929 # DEPENDENCYPART_SIBL
(13,9),(13,17),0.0159081 # DEPENDENCYPART_SIBL
(13,9),(13,18),0.0110015 # DEPENDENCYPART_SIBL
(13,9),(13,19),-0.0311637 # DEPENDENCYPART_SIBL
(13,9),(13,20),-0.0175187 # DEPENDENCYPART_SIBL
(13,9),(13,21),-0.0720941 # DEPENDENCYPART_SIBL
(13,9),(13,22),0.028834 # DEPENDENCYPART_SIBL
(13,9),(13,23),-0.0153578 # DEPENDENCYPART_SIBL
(13,9),(13,24),-0.0323591 # DEPENDENCYPART_SIBL
(13,9),(13,25),-0.0272184 # DEPENDENCYPART_SIBL
(13,9),(13,26),0.0211795 # DEPENDENCYPART_SIBL
(13,9),(13,27),-0.0477994 # DEPENDENCYPART_SIBL
(13,9),(13,29),0.0173491 # DEPENDENCYPART_SIBL
(13,9),(13,30),0.0179403 # DEPENDENCYPART_SIBL
(13,9),(13,31),-0.0374008 # DEPENDENCYPART_SIBL
(13,10),(13,11),-0.0236007 # DEPENDENCYPART_SIBL
(13,10),(13,12),-0.0114066 # DEPENDENCYPART_SIBL
(13,10),(13,14),-0.0116264 # DEPENDENCYPART_SIBL
(13,10),(13,15),-0.0187425 # DEPENDENCYPART_SIBL
(13,10),(13,16),-0.0179254 # DEPENDENCYPART_SIBL
(13,10),(13,17),-0.0198651 # DEPENDENCYPART_SIBL
(13,10),(13,18),-0.00490476 # DEPENDENCYPART_SIBL
(13,10),(13,19),-0.00664225 # DEPENDENCYPART_SIBL
(13,10),(13,20),0.00278516 # DEPENDENCYPART_SIBL
(13,10),(13,21),-0.0116264 # DEPENDENCYPART_SIBL
(13,10),(13,22),0.00486613 # DEPENDENCYPART_SIBL
(13,10),(13,23),-0.023169 # DEPENDENCYPART_SIBL
(13,10),(13,24),-0.0324549 # DEPENDENCYPART_SIBL
(13,10),(13,25),0.00350724 # DEPENDENCYPART_SIBL
(13,10),(13,26),-0.016939 # DEPENDENCYPART_SIBL
(13,10),(13,27),-0.00740574 # DEPENDENCYPART_SIBL
(13,10),(13,29),-0.0203418 # DEPENDENCYPART_SIBL
(13,10),(13,30),-0.0180136 # DEPENDENCYPART_SIBL
(13,10),(13,31),0.0213227 # DEPENDENCYPART_SIBL
(13,11),(13,12),-0.0283596 # DEPENDENCYPART_SIBL
(13,11),(13,14),-0.0904279 # DEPENDENCYPART_SIBL
(13,11),(13,15),-0.0118251 # DEPENDENCYPART_SIBL
(13,11),(13,16),-0.0107839 # DEPENDENCYPART_SIBL
(13,11),(13,17),-0.0127688 # DEPENDENCYPART_SIBL
(13,11),(13,18),-0.0423633 # DEPENDENCYPART_SIBL
(13,11),(13,19),-0.0606199 # DEPENDENCYPART_SIBL
(13,11),(13,20),-0.0256672 # DEPENDENCYPART_SIBL
(13,11),(13,21),-0.0904279 # DEPENDENCYPART_SIBL
(13,11),(13,22),0.000157152 # DEPENDENCYPART_SIBL
(13,11),(13,23),-0.0237081 # DEPENDENCYPART_SIBL
(13,11),(13,24),-0.0378462 # DEPENDENCYPART_SIBL
(13,11),(13,25),-0.0439414 # DEPENDENCYPART_SIBL
(13,11),(13,26),-0.00749731 # DEPENDENCYPART_SIBL
(13,11),(13,27),-0.0778575 # DEPENDENCYPART_SIBL
(13,11),(13,29),-0.0113278 # DEPENDENCYPART_SIBL
(13,11),(13,30),-0.0107365 # DEPENDENCYPART_SIBL
(13,11),(13,31),-0.0146871 # DEPENDENCYPART_SIBL
(13,12),(13,14),-0.0455009 # DEPENDENCYPART_SIBL
(13,12),(13,15),-0.0288073 # DEPENDENCYPART_SIBL
(13,12),(13,16),-0.032383 # DEPENDENCYPART_SIBL
(13,12),(13,17),-0.0339299 # DEPENDENCYPART_SIBL
(13,12),(13,18),-0.0226516 # DEPENDENCYPART_SIBL
(13,12),(13,19),-0.0372058 # DEPENDENCYPART_SIBL
(13,12),(13,20),-0.0148845 # DEPENDENCYPART_SIBL
(13,12),(13,21),-0.0455009 # DEPENDENCYPART_SIBL
(13,12),(13,22),-0.0177761 # DEPENDENCYPART_SIBL
(13,12),(13,23),-0.0305638 # DEPENDENCYPART_SIBL
(13,12),(13,24),-0.0299986 # DEPENDENCYPART_SIBL
(13,12),(13,25),-0.0263618 # DEPENDENCYPART_SIBL
(13,12),(13,26),-0.0311338 # DEPENDENCYPART_SIBL
(13,12),(13,27),-0.0310409 # DEPENDENCYPART_SIBL
(13,12),(13,29),-0.0328878 # DEPENDENCYPART_SIBL
(13,12),(13,30),-0.0322179 # DEPENDENCYPART_SIBL
(13,12),(13,31),-0.0114169 # DEPENDENCYPART_SIBL
(13,14),(13,15),-0.00982132 # DEPENDENCYPART_SIBL
(13,14),(13,16),0.0150258 # DEPENDENCYPART_SIBL
(13,14),(13,17),0.0110325 # DEPENDENCYPART_SIBL
(13,14),(13,18),-0.00728509 # DEPENDENCYPART_SIBL
(13,14),(13,19),0.0179481 # DEPENDENCYPART_SIBL
(13,14),(13,20),0.00392416 # DEPENDENCYPART_SIBL
(13,14),(13,21),0.0888948 # DEPENDENCYPART_SIBL
(13,14),(13,22),0.0262279 # DEPENDENCYPART_SIBL
(13,14),(13,23),-0.0120844 # DEPENDENCYPART_SIBL
(13,14),(13,24),-0.0100379 # DEPENDENCYPART_SIBL
(13,14),(13,25),-0.00975107 # DEPENDENCYPART_SIBL
(13,14),(13,26),0.0109932 # DEPENDENCYPART_SIBL
(13,14),(13,27),-0.026515 # DEPENDENCYPART_SIBL
(13,14),(13,29),0.0117449 # DEPENDENCYPART_SIBL
(13,14),(13,30),0.0110333 # DEPENDENCYPART_SIBL
(13,14),(13,31),-0.0284786 # DEPENDENCYPART_SIBL
(13,15),(13,16),-0.0205602 # DEPENDENCYPART_SIBL
(13,15),(13,17),-0.0245538 # DEPENDENCYPART_SIBL
(13,15),(13,18),-0.00694723 # DEPENDENCYPART_SIBL
(13,15),(13,19),-0.0150245 # DEPENDENCYPART_SIBL
(13,15),(13,20),0.00716366 # DEPENDENCYPART_SIBL
(13,15),(13,21),0.0423064 # DEPENDENCYPART_SIBL
(13,15),(13,22),-0.0093656 # DEPENDENCYPART_SIBL
(13,15),(13,23),-0.0151429 # DEPENDENCYPART_SIBL
(13,15),(13,24),-0.0193974 # DEPENDENCYPART_SIBL
(13,15),(13,25),-0.021591 # DEPENDENCYPART_SIBL
(13,15),(13,26),-0.0246032 # DEPENDENCYPART_SIBL
(13,15),(13,27),-0.0244665 # DEPENDENCYPART_SIBL
(13,15),(13,29),-0.0238489 # DEPENDENCYPART_SIBL
(13,15),(13,30),-0.0245531 # DEPENDENCYPART_SIBL
(13,15),(13,31),-0.0140585 # DEPENDENCYPART_SIBL
(13,16),(13,17),-0.0155111 # DEPENDENCYPART_SIBL
(13,16),(13,18),0.0440432 # DEPENDENCYPART_SIBL
(13,16),(13,19),-0.0315505 # DEPENDENCYPART_SIBL
(13,16),(13,20),0.0288411 # DEPENDENCYPART_SIBL
(13,16),(13,21),0.0717747 # DEPENDENCYPART_SIBL
(13,16),(13,22),0.00367971 # DEPENDENCYPART_SIBL
(13,16),(13,23),0.00435502 # DEPENDENCYPART_SIBL
(13,16),(13,24),0.0285286 # DEPENDENCYPART_SIBL
(13,16),(13,25),-0.0196299 # DEPENDENCYPART_SIBL
(13,16),(13,26),-0.0157142 # DEPENDENCYPART_SIBL
(13,16),(13,27),-0.013098 # DEPENDENCYPART_SIBL
(13,16),(13,29),-0.014799 # DEPENDENCYPART_SIBL
(13,16),(13,30),-0.0155103 # DEPENDENCYPART_SIBL
(13,16),(13,31),-0.000237807 # DEPENDENCYPART_SIBL
(13,17),(13,18),0.0422743 # DEPENDENCYPART_SIBL
(13,17),(13,19),-0.0327729 # DEPENDENCYPART_SIBL
(13,17),(13,20),0.0276228 # DEPENDENCYPART_SIBL
(13,17),(13,21),0.0705564 # DEPENDENCYPART_SIBL
(13,17),(13,22),-0.000137196 # DEPENDENCYPART_SIBL
(13,17),(13,23),0.00313674 # DEPENDENCYPART_SIBL
(13,17),(13,24),0.0273104 # DEPENDENCYPART_SIBL
(13,17),(13,25),-0.0208482 # DEPENDENCYPART_SIBL
(13,17),(13,26),-0.0195311 # DEPENDENCYPART_SIBL
(13,17),(13,27),-0.0143163 # DEPENDENCYPART_SIBL
(13,17),(13,29),-0.0186159 # DEPENDENCYPART_SIBL
(13,17),(13,30),-0.0193272 # DEPENDENCYPART_SIBL
(13,17),(13,31),-0.000238162 # DEPENDENCYPART_SIBL
(13,18),(13,19),0.264518 # DEPENDENCYPART_SIBL
(13,18),(13,20),0.15719 # DEPENDENCYPART_SIBL
(13,18),(13,21),0.124212 # DEPENDENCYPART_SIBL
(13,18),(13,22),0.10941 # DEPENDENCYPART_SIBL
(13,18),(13,23),0.0984772 # DEPENDENCYPART_SIBL
(13,18),(13,24),0.0928266 # DEPENDENCYPART_SIBL
(13,18),(13,25),0.0315886 # DEPENDENCYPART_SIBL
(13,18),(13,26),0.0764158 # DEPENDENCYPART_SIBL
(13,18),(13,27),0.213192 # DEPENDENCYPART_SIBL
(13,18),(13,29),0.0772332 # DEPENDENCYPART_SIBL
(13,18),(13,30),0.07652 # DEPENDENCYPART_SIBL
(13,18),(13,31),0.0489202 # DEPENDENCYPART_SIBL
(13,19),(13,20),0.0171587 # DEPENDENCYPART_SIBL
(13,19),(13,21),0.0519887 # DEPENDENCYPART_SIBL
(13,19),(13,22),0.0594134 # DEPENDENCYPART_SIBL
(13,19),(13,23),-0.00104124 # DEPENDENCYPART_SIBL
(13,19),(13,24),-0.00134456 # DEPENDENCYPART_SIBL
(13,19),(13,25),-0.0251607 # DEPENDENCYPART_SIBL
(13,19),(13,26),0.0334386 # DEPENDENCYPART_SIBL
(13,19),(13,27),0.0242385 # DEPENDENCYPART_SIBL
(13,19),(13,29),0.0342758 # DEPENDENCYPART_SIBL
(13,19),(13,30),0.0335607 # DEPENDENCYPART_SIBL
(13,19),(13,31),0.0104397 # DEPENDENCYPART_SIBL
(13,20),(13,21),0.0395365 # DEPENDENCYPART_SIBL
(13,20),(13,22),0.0640601 # DEPENDENCYPART_SIBL
(13,20),(13,23),-0.025174 # DEPENDENCYPART_SIBL
(13,20),(13,24),-0.0175819 # DEPENDENCYPART_SIBL
(13,20),(13,25),-0.0229543 # DEPENDENCYPART_SIBL
(13,20),(13,26),0.041088 # DEPENDENCYPART_SIBL
(13,20),(13,27),-0.0368452 # DEPENDENCYPART_SIBL
(13,20),(13,29),0.0432723 # DEPENDENCYPART_SIBL
(13,20),(13,30),0.0411281 # DEPENDENCYPART_SIBL
(13,20),(13,31),-0.0230426 # DEPENDENCYPART_SIBL
(13,21),(13,22),0.0262279 # DEPENDENCYPART_SIBL
(13,21),(13,23),-0.0120844 # DEPENDENCYPART_SIBL
(13,21),(13,24),-0.0100379 # DEPENDENCYPART_SIBL
(13,21),(13,25),-0.00975107 # DEPENDENCYPART_SIBL
(13,21),(13,26),0.0109932 # DEPENDENCYPART_SIBL
(13,21),(13,27),-0.026515 # DEPENDENCYPART_SIBL
(13,21),(13,29),0.0117449 # DEPENDENCYPART_SIBL
(13,21),(13,30),0.0110333 # DEPENDENCYPART_SIBL
(13,21),(13,31),-0.0284786 # DEPENDENCYPART_SIBL
(13,22),(13,23),0.0243106 # DEPENDENCYPART_SIBL
(13,22),(13,24),0.0484842 # DEPENDENCYPART_SIBL
(13,22),(13,25),-0.00106778 # DEPENDENCYPART_SIBL
(13,22),(13,26),0.0115372 # DEPENDENCYPART_SIBL
(13,22),(13,27),0.00862446 # DEPENDENCYPART_SIBL
(13,22),(13,29),0.0124524 # DEPENDENCYPART_SIBL
(13,22),(13,30),0.0117411 # DEPENDENCYPART_SIBL
(13,22),(13,31),0.0432699 # DEPENDENCYPART_SIBL
(13,23),(13,24),-0.00384174 # DEPENDENCYPART_SIBL
(13,23),(13,25),-0.0244313 # DEPENDENCYPART_SIBL
(13,23),(13,26),0.0303929 # DEPENDENCYPART_SIBL
(13,23),(13,27),-0.0166547 # DEPENDENCYPART_SIBL
(13,23),(13,29),0.0325771 # DEPENDENCYPART_SIBL
(13,23),(13,30),0.030433 # DEPENDENCYPART_SIBL
(13,23),(13,31),-0.0166214 # DEPENDENCYPART_SIBL
(13,24),(13,25),0.00868292 # DEPENDENCYPART_SIBL
(13,24),(13,26),0.0927241 # DEPENDENCYPART_SIBL
(13,24),(13,27),0.00742043 # DEPENDENCYPART_SIBL
(13,24),(13,29),0.0949083 # DEPENDENCYPART_SIBL
(13,24),(13,30),0.0927642 # DEPENDENCYPART_SIBL
(13,24),(13,31),0.023613 # DEPENDENCYPART_SIBL
(13,25),(13,26),-0.0215014 # DEPENDENCYPART_SIBL
(13,25),(13,27),-0.009861 # DEPENDENCYPART_SIBL
(13,25),(13,29),-0.0207462 # DEPENDENCYPART_SIBL
(13,25),(13,30),-0.0214614 # DEPENDENCYPART_SIBL
(13,25),(13,31),-0.00297755 # DEPENDENCYPART_SIBL
(13,26),(13,27),-0.01231 # DEPENDENCYPART_SIBL
(13,26),(13,29),-0.0146476 # DEPENDENCYPART_SIBL
(13,26),(13,30),-0.0153589 # DEPENDENCYPART_SIBL
(13,26),(13,31),0.001357 # DEPENDENCYPART_SIBL
(13,27),(13,29),-0.0114422 # DEPENDENCYPART_SIBL
(13,27),(13,30),-0.0120294 # DEPENDENCYPART_SIBL
(13,27),(13,31),-0.00231513 # DEPENDENCYPART_SIBL
(13,29),(13,30),-0.0338323 # DEPENDENCYPART_SIBL
(13,29),(13,31),-0.0418845 # DEPENDENCYPART_SIBL
(13,30),(13,31),-1.62179e-05 # DEPENDENCYPART_SIBL
(16,3),(16,9),0.0434429 # DEPENDENCYPART_SIBL
(16,3),(16,13),0.21525 # DEPENDENCYPART_SIBL
(16,3),(16,14),-0.653752 # DEPENDENCYPART_SIBL
(16,3),(16,15),0.17789 # DEPENDENCYPART_SIBL
(16,9),(16,13),0.0852728 # DEPENDENCYPART_SIBL
(16,9),(16,14),-0.417154 # DEPENDENCYPART_SIBL
(16,9),(16,15),-0.0217208 # DEPENDENCYPART_SIBL
(16,13),(16,14),-0.353507 # DEPENDENCYPART_SIBL
(16,13),(16,15),-0.0679075 # DEPENDENCYPART_SIBL
(16,14),(16,15),0.17789 # DEPENDENCYPART_SIBL
(17,7),(17,9),0.136539 # DEPENDENCYPART_SIBL
(17,7),(17,10),0.0748931 # DEPENDENCYPART_SIBL
(17,7),(17,14),-0.413063 # DEPENDENCYPART_SIBL
(17,7),(17,15),-0.00441269 # DEPENDENCYPART_SIBL
(17,7),(17,16),0.0386647 # DEPENDENCYPART_SIBL
(17,7),(17,18),0.0205386 # DEPENDENCYPART_SIBL
(17,7),(17,19),0.0336893 # DEPENDENCYPART_SIBL
(17,7),(17,27),0.0764348 # DEPENDENCYPART_SIBL
(17,9),(17,10),0.0614325 # DEPENDENCYPART_SIBL
(17,9),(17,14),-0.417148 # DEPENDENCYPART_SIBL
(17,9),(17,15),-0.0269683 # DEPENDENCYPART_SIBL
(17,9),(17,16),0.103909 # DEPENDENCYPART_SIBL
(17,9),(17,18),0.0452271 # DEPENDENCYPART_SIBL
(17,9),(17,19),0.0576007 # DEPENDENCYPART_SIBL
(17,9),(17,27),0.0576968 # DEPENDENCYPART_SIBL
(17,10),(17,14),-0.408123 # DEPENDENCYPART_SIBL
(17,10),(17,15),-0.00707697 # DEPENDENCYPART_SIBL
(17,10),(17,16),0.0775934 # DEPENDENCYPART_SIBL
(17,10),(17,18),-0.0346477 # DEPENDENCYPART_SIBL
(17,10),(17,19),0.00969091 # DEPENDENCYPART_SIBL
(17,10),(17,27),-0.0169279 # DEPENDENCYPART_SIBL
(17,14),(17,15),0.159714 # DEPENDENCYPART_SIBL
(17,14),(17,16),0.0159144 # DEPENDENCYPART_SIBL
(17,14),(17,18),-0.00907785 # DEPENDENCYPART_SIBL
(17,14),(17,19),-0.0051844 # DEPENDENCYPART_SIBL
(17,14),(17,27),0.0103765 # DEPENDENCYPART_SIBL
(17,15),(17,16),-0.0021201 # DEPENDENCYPART_SIBL
(17,15),(17,18),-0.0229809 # DEPENDENCYPART_SIBL
(17,15),(17,19),-0.0042618 # DEPENDENCYPART_SIBL
(17,15),(17,27),-0.0272218 # DEPENDENCYPART_SIBL
(17,16),(17,18),-0.00583441 # DEPENDENCYPART_SIBL
(17,16),(17,19),0.00848632 # DEPENDENCYPART_SIBL
(17,16),(17,27),0.0109596 # DEPENDENCYPART_SIBL
(17,18),(17,19),0.165906 # DEPENDENCYPART_SIBL
(17,18),(17,27),0.435171 # DEPENDENCYPART_SIBL
(17,19),(17,27),0.0712431 # DEPENDENCYPART_SIBL
(19,1),(19,2),-0.00281727 # DEPENDENCYPART_SIBL
(19,1),(19,4),-0.038125 # DEPENDENCYPART_SIBL
(19,1),(19,5),0.000661983 # DEPENDENCYPART_SIBL
(19,1),(19,6),-0.036754 # DEPENDENCYPART_SIBL
(19,1),(19,7),0.0597459 # DEPENDENCYPART_SIBL
(19,1),(19,8),0.0510201 # DEPENDENCYPART_SIBL
(19,1),(19,9),0.0824587 # DEPENDENCYPART_SIBL
(19,1),(19,10),0.260648 # DEPENDENCYPART_SIBL
(19,1),(19,12),0.0534059 # DEPENDENCYPART_SIBL
(19,1),(19,13),0.0556786 # DEPENDENCYPART_SIBL
(19,1),(19,14),-0.0507473 # DEPENDENCYPART_SIBL
(19,1),(19,15),0.0021638 # DEPENDENCYPART_SIBL
(19,1),(19,16),-0.0336834 # DEPENDENCYPART_SIBL
(19,1),(19,17),-0.038049 # DEPENDENCYPART_SIBL
(19,1),(19,18),0.260648 # DEPENDENCYPART_SIBL
(19,1),(19,20),-0.0505317 # DEPENDENCYPART_SIBL
(19,1),(19,22),0.0967631 # DEPENDENCYPART_SIBL
(19,1),(19,23),-0.0326043 # DEPENDENCYPART_SIBL
(19,1),(19,24),-0.0407683 # DEPENDENCYPART_SIBL
(19,1),(19,25),0.0306021 # DEPENDENCYPART_SIBL
(19,1),(19,26),0.0961873 # DEPENDENCYPART_SIBL
(19,1),(19,27),0.0308694 # DEPENDENCYPART_SIBL
(19,1),(19,29),0.0951491 # DEPENDENCYPART_SIBL
(19,1),(19,30),0.0962876 # DEPENDENCYPART_SIBL
(19,1),(19,31),0.0185967 # DEPENDENCYPART_SIBL
(19,2),(19,4),-0.0385857 # DEPENDENCYPART_SIBL
(19,2),(19,5),-0.0172897 # DEPENDENCYPART_SIBL
(19,2),(19,6),-0.0413066 # DEPENDENCYPART_SIBL
(19,2),(19,7),-0.0196157 # DEPENDENCYPART_SIBL
(19,2),(19,8),0.0423511 # DEPENDENCYPART_SIBL
(19,2),(19,9),0.00108802 # DEPENDENCYPART_SIBL
(19,2),(19,10),0.192967 # DEPENDENCYPART_SIBL
(19,2),(19,12),0.0459835 # DEPENDENCYPART_SIBL
(19,2),(19,13),0.0462318 # DEPENDENCYPART_SIBL
(19,2),(19,14),-0.201997 # DEPENDENCYPART_SIBL
(19,2),(19,15),-0.0131053 # DEPENDENCYPART_SIBL
(19,2),(19,16),-0.0399034 # DEPENDENCYPART_SIBL
(19,2),(19,17),-0.038557 # DEPENDENCYPART_SIBL
(19,2),(19,18),0.192967 # DEPENDENCYPART_SIBL
(19,2),(19,20),-0.0209705 # DEPENDENCYPART_SIBL
(19,2),(19,22),-0.0142872 # DEPENDENCYPART_SIBL
(19,2),(19,23),-0.0201526 # DEPENDENCYPART_SIBL
(19,2),(19,24),-0.035706 # DEPENDENCYPART_SIBL
(19,2),(19,25),0.0319883 # DEPENDENCYPART_SIBL
(19,2),(19,26),-0.0136942 # DEPENDENCYPART_SIBL
(19,2),(19,27),0.0568224 # DEPENDENCYPART_SIBL
(19,2),(19,29),-0.0136845 # DEPENDENCYPART_SIBL
(19,2),(19,30),-0.0136753 # DEPENDENCYPART_SIBL
(19,2),(19,31),0.0501602 # DEPENDENCYPART_SIBL
(19,4),(19,5),0.000671979 # DEPENDENCYPART_SIBL
