# _root_ Wrighték repülésének évében Henry_Ford autógyárat alapított , ahol 1924-ig 10_millió , 1927-ig 15_millió darab készült a legendás T-modellből .
#goldHeads=2,6,6,6,6,0,6,6,6,6,6,15,14,15,6,18,18,15,6,
#predictedHeads=2,6,6,5,6,0,6,15,10,12,12,15,14,15,6,18,18,15,6,
(6,4),(6,18),-0.00635894 # DEPENDENCYPART_SIBL
(6,4),(6,19),-0.00564725 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.0144831 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.0443872 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.0137761 # DEPENDENCYPART_SIBL
(6,5),(6,10),-0.0127803 # DEPENDENCYPART_SIBL
(6,5),(6,11),-0.0144831 # DEPENDENCYPART_SIBL
(6,5),(6,12),-0.0127801 # DEPENDENCYPART_SIBL
(6,5),(6,13),-0.0127802 # DEPENDENCYPART_SIBL
(6,5),(6,14),-0.0354051 # DEPENDENCYPART_SIBL
(6,5),(6,15),-0.0245067 # DEPENDENCYPART_SIBL
(6,5),(6,17),-0.0106501 # DEPENDENCYPART_SIBL
(6,5),(6,18),-0.0129922 # DEPENDENCYPART_SIBL
(6,5),(6,19),-0.0114768 # DEPENDENCYPART_SIBL
(6,7),(6,8),0.0696659 # DEPENDENCYPART_SIBL
(6,7),(6,9),0.0373182 # DEPENDENCYPART_SIBL
(6,7),(6,10),0.0374092 # DEPENDENCYPART_SIBL
(6,7),(6,11),-0.0129099 # DEPENDENCYPART_SIBL
(6,7),(6,12),0.0374092 # DEPENDENCYPART_SIBL
(6,7),(6,13),0.0374092 # DEPENDENCYPART_SIBL
(6,7),(6,14),0.0753104 # DEPENDENCYPART_SIBL
(6,7),(6,15),0.201123 # DEPENDENCYPART_SIBL
(6,7),(6,17),0.0604985 # DEPENDENCYPART_SIBL
(6,7),(6,18),0.07652 # DEPENDENCYPART_SIBL
(6,7),(6,19),0.04892 # DEPENDENCYPART_SIBL
(6,8),(6,9),-0.0179911 # DEPENDENCYPART_SIBL
(6,8),(6,10),-0.0179407 # DEPENDENCYPART_SIBL
(6,8),(6,11),0.0164213 # DEPENDENCYPART_SIBL
(6,8),(6,12),-0.0179407 # DEPENDENCYPART_SIBL
(6,8),(6,13),-0.0179407 # DEPENDENCYPART_SIBL
(6,8),(6,14),0.0225359 # DEPENDENCYPART_SIBL
(6,8),(6,15),-0.0134094 # DEPENDENCYPART_SIBL
(6,8),(6,17),0.047068 # DEPENDENCYPART_SIBL
(6,8),(6,18),0.0230847 # DEPENDENCYPART_SIBL
(6,8),(6,19),-0.0226766 # DEPENDENCYPART_SIBL
(6,9),(6,10),-0.00361598 # DEPENDENCYPART_SIBL
(6,9),(6,11),0.0181222 # DEPENDENCYPART_SIBL
(6,9),(6,12),-0.00361598 # DEPENDENCYPART_SIBL
(6,9),(6,13),-0.00361598 # DEPENDENCYPART_SIBL
(6,9),(6,14),-0.0152098 # DEPENDENCYPART_SIBL
(6,9),(6,15),-0.0126242 # DEPENDENCYPART_SIBL
(6,9),(6,17),0.00772173 # DEPENDENCYPART_SIBL
(6,9),(6,18),-0.0146989 # DEPENDENCYPART_SIBL
(6,9),(6,19),0.00326974 # DEPENDENCYPART_SIBL
(6,10),(6,11),0.0181619 # DEPENDENCYPART_SIBL
(6,10),(6,12),-0.00357626 # DEPENDENCYPART_SIBL
(6,10),(6,13),-0.00357626 # DEPENDENCYPART_SIBL
(6,10),(6,14),-0.0151701 # DEPENDENCYPART_SIBL
(6,10),(6,15),-0.0125845 # DEPENDENCYPART_SIBL
(6,10),(6,17),0.00776144 # DEPENDENCYPART_SIBL
(6,10),(6,18),-0.0146592 # DEPENDENCYPART_SIBL
(6,10),(6,19),0.00346835 # DEPENDENCYPART_SIBL
(6,11),(6,12),0.0374092 # DEPENDENCYPART_SIBL
(6,11),(6,13),0.0374092 # DEPENDENCYPART_SIBL
(6,11),(6,14),0.0753104 # DEPENDENCYPART_SIBL
(6,11),(6,15),0.201123 # DEPENDENCYPART_SIBL
(6,11),(6,17),0.0604985 # DEPENDENCYPART_SIBL
(6,11),(6,18),0.07652 # DEPENDENCYPART_SIBL
(6,11),(6,19),0.04892 # DEPENDENCYPART_SIBL
(6,12),(6,13),-0.00357626 # DEPENDENCYPART_SIBL
(6,12),(6,14),-0.0151701 # DEPENDENCYPART_SIBL
(6,12),(6,15),-0.0125845 # DEPENDENCYPART_SIBL
(6,12),(6,17),0.00776146 # DEPENDENCYPART_SIBL
(6,12),(6,18),-0.0146592 # DEPENDENCYPART_SIBL
(6,12),(6,19),0.00346835 # DEPENDENCYPART_SIBL
(6,13),(6,14),-0.0151702 # DEPENDENCYPART_SIBL
(6,13),(6,15),-0.0125845 # DEPENDENCYPART_SIBL
(6,13),(6,17),0.00776143 # DEPENDENCYPART_SIBL
(6,13),(6,18),-0.0146592 # DEPENDENCYPART_SIBL
(6,13),(6,19),0.00346827 # DEPENDENCYPART_SIBL
(6,14),(6,15),-0.0284695 # DEPENDENCYPART_SIBL
(6,14),(6,17),0.0171912 # DEPENDENCYPART_SIBL
(6,14),(6,18),-0.0383533 # DEPENDENCYPART_SIBL
(6,14),(6,19),-0.0195349 # DEPENDENCYPART_SIBL
(6,15),(6,17),0.00413338 # DEPENDENCYPART_SIBL
(6,15),(6,18),-0.00721372 # DEPENDENCYPART_SIBL
(6,15),(6,19),0.0172164 # DEPENDENCYPART_SIBL
(6,17),(6,18),-0.0236207 # DEPENDENCYPART_SIBL
(6,17),(6,19),-0.0108993 # DEPENDENCYPART_SIBL
(6,18),(6,19),-1.63964e-05 # DEPENDENCYPART_SIBL
(8,2),(8,3),0.0592495 # DEPENDENCYPART_SIBL
(8,2),(8,5),0.06759 # DEPENDENCYPART_SIBL
(8,2),(8,7),0.23047 # DEPENDENCYPART_SIBL
(8,2),(8,11),-0.0159472 # DEPENDENCYPART_SIBL
(8,2),(8,14),0.0690744 # DEPENDENCYPART_SIBL
(8,2),(8,15),0.000670633 # DEPENDENCYPART_SIBL
(8,2),(8,18),0.075794 # DEPENDENCYPART_SIBL
(8,2),(8,19),0.00987927 # DEPENDENCYPART_SIBL
(8,3),(8,5),0.0651659 # DEPENDENCYPART_SIBL
(8,3),(8,7),0.229666 # DEPENDENCYPART_SIBL
(8,3),(8,11),-0.0113513 # DEPENDENCYPART_SIBL
(8,3),(8,14),0.0678746 # DEPENDENCYPART_SIBL
(8,3),(8,15),0.0030193 # DEPENDENCYPART_SIBL
(8,3),(8,18),0.0745942 # DEPENDENCYPART_SIBL
(8,3),(8,19),0.00954425 # DEPENDENCYPART_SIBL
(8,5),(8,7),0.227682 # DEPENDENCYPART_SIBL
(8,5),(8,11),-0.0177413 # DEPENDENCYPART_SIBL
(8,5),(8,14),0.0716253 # DEPENDENCYPART_SIBL
(8,5),(8,15),-0.00147546 # DEPENDENCYPART_SIBL
(8,5),(8,18),0.078345 # DEPENDENCYPART_SIBL
(8,5),(8,19),0.00779999 # DEPENDENCYPART_SIBL
(8,7),(8,11),-0.0946848 # DEPENDENCYPART_SIBL
(8,7),(8,14),0.0169685 # DEPENDENCYPART_SIBL
(8,7),(8,15),-0.00979281 # DEPENDENCYPART_SIBL
(8,7),(8,18),0.0176588 # DEPENDENCYPART_SIBL
(8,7),(8,19),0.003771 # DEPENDENCYPART_SIBL
(8,11),(8,14),-0.0110709 # DEPENDENCYPART_SIBL
(8,11),(8,15),0.211772 # DEPENDENCYPART_SIBL
(8,11),(8,18),-0.0106896 # DEPENDENCYPART_SIBL
(8,11),(8,19),0.0194835 # DEPENDENCYPART_SIBL
(8,14),(8,15),-2.2108e-05 # DEPENDENCYPART_SIBL
(8,14),(8,18),-0.0251136 # DEPENDENCYPART_SIBL
(8,14),(8,19),-0.024252 # DEPENDENCYPART_SIBL
(8,15),(8,18),0.0131633 # DEPENDENCYPART_SIBL
(8,15),(8,19),0.0406171 # DEPENDENCYPART_SIBL
(8,18),(8,19),-0.0180543 # DEPENDENCYPART_SIBL
(9,3),(9,4),0.0673989 # DEPENDENCYPART_SIBL
(9,3),(9,5),0.0710837 # DEPENDENCYPART_SIBL
(9,3),(9,6),0.0911472 # DEPENDENCYPART_SIBL
(9,3),(9,7),0.297378 # DEPENDENCYPART_SIBL
(9,3),(9,8),0.143178 # DEPENDENCYPART_SIBL
(9,3),(9,10),0.0314515 # DEPENDENCYPART_SIBL
(9,3),(9,11),0.102943 # DEPENDENCYPART_SIBL
(9,3),(9,12),0.0314515 # DEPENDENCYPART_SIBL
(9,3),(9,13),0.0314515 # DEPENDENCYPART_SIBL
(9,3),(9,14),0.0205988 # DEPENDENCYPART_SIBL
(9,3),(9,15),0.0798235 # DEPENDENCYPART_SIBL
(9,3),(9,18),0.0273087 # DEPENDENCYPART_SIBL
(9,3),(9,19),0.0408955 # DEPENDENCYPART_SIBL
(9,4),(9,5),0.0808648 # DEPENDENCYPART_SIBL
(9,4),(9,6),0.0912775 # DEPENDENCYPART_SIBL
(9,4),(9,7),0.29817 # DEPENDENCYPART_SIBL
(9,4),(9,8),0.14388 # DEPENDENCYPART_SIBL
(9,4),(9,10),0.0257208 # DEPENDENCYPART_SIBL
(9,4),(9,11),0.0858134 # DEPENDENCYPART_SIBL
(9,4),(9,12),0.0257208 # DEPENDENCYPART_SIBL
(9,4),(9,13),0.0257208 # DEPENDENCYPART_SIBL
(9,4),(9,14),0.0198671 # DEPENDENCYPART_SIBL
(9,4),(9,15),0.0687833 # DEPENDENCYPART_SIBL
(9,4),(9,18),0.026577 # DEPENDENCYPART_SIBL
(9,4),(9,19),0.0342805 # DEPENDENCYPART_SIBL
(9,5),(9,6),0.0912775 # DEPENDENCYPART_SIBL
(9,5),(9,7),0.295382 # DEPENDENCYPART_SIBL
(9,5),(9,8),0.14388 # DEPENDENCYPART_SIBL
(9,5),(9,10),0.0257208 # DEPENDENCYPART_SIBL
(9,5),(9,11),0.0846843 # DEPENDENCYPART_SIBL
(9,5),(9,12),0.0257208 # DEPENDENCYPART_SIBL
(9,5),(9,13),0.0257208 # DEPENDENCYPART_SIBL
(9,5),(9,14),0.018607 # DEPENDENCYPART_SIBL
(9,5),(9,15),0.0669156 # DEPENDENCYPART_SIBL
(9,5),(9,18),0.0253169 # DEPENDENCYPART_SIBL
(9,5),(9,19),0.0334223 # DEPENDENCYPART_SIBL
(9,6),(9,7),0.31563 # DEPENDENCYPART_SIBL
(9,6),(9,8),0.123309 # DEPENDENCYPART_SIBL
(9,6),(9,10),0.000533612 # DEPENDENCYPART_SIBL
(9,6),(9,11),0.0315991 # DEPENDENCYPART_SIBL
(9,6),(9,12),0.000533612 # DEPENDENCYPART_SIBL
(9,6),(9,13),0.000533612 # DEPENDENCYPART_SIBL
(9,6),(9,14),0.00743153 # DEPENDENCYPART_SIBL
(9,6),(9,15),0.0627933 # DEPENDENCYPART_SIBL
(9,6),(9,18),0.00748401 # DEPENDENCYPART_SIBL
(9,6),(9,19),0.0854819 # DEPENDENCYPART_SIBL
(9,7),(9,8),0.087455 # DEPENDENCYPART_SIBL
(9,7),(9,10),-0.0128627 # DEPENDENCYPART_SIBL
(9,7),(9,11),-0.00268289 # DEPENDENCYPART_SIBL
(9,7),(9,12),-0.0128627 # DEPENDENCYPART_SIBL
(9,7),(9,13),-0.0128627 # DEPENDENCYPART_SIBL
(9,7),(9,14),-0.0122521 # DEPENDENCYPART_SIBL
(9,7),(9,15),0.0189201 # DEPENDENCYPART_SIBL
(9,7),(9,18),-0.0115497 # DEPENDENCYPART_SIBL
(9,7),(9,19),0.0154377 # DEPENDENCYPART_SIBL
(9,8),(9,10),-0.00794745 # DEPENDENCYPART_SIBL
(9,8),(9,11),0.0250176 # DEPENDENCYPART_SIBL
(9,8),(9,12),-0.00794745 # DEPENDENCYPART_SIBL
(9,8),(9,13),-0.00794745 # DEPENDENCYPART_SIBL
(9,8),(9,14),0.0636024 # DEPENDENCYPART_SIBL
(9,8),(9,15),0.0275228 # DEPENDENCYPART_SIBL
(9,8),(9,18),0.063636 # DEPENDENCYPART_SIBL
(9,8),(9,19),0.0468204 # DEPENDENCYPART_SIBL
(9,10),(9,11),0.0437098 # DEPENDENCYPART_SIBL
(9,10),(9,12),0.0227215 # DEPENDENCYPART_SIBL
(9,10),(9,13),0.0227215 # DEPENDENCYPART_SIBL
(9,10),(9,14),-0.0197904 # DEPENDENCYPART_SIBL
(9,10),(9,15),0.0629535 # DEPENDENCYPART_SIBL
(9,10),(9,18),-0.0197605 # DEPENDENCYPART_SIBL
(9,10),(9,19),0.0160164 # DEPENDENCYPART_SIBL
(9,11),(9,12),0.0797829 # DEPENDENCYPART_SIBL
(9,11),(9,13),0.0797829 # DEPENDENCYPART_SIBL
(9,11),(9,14),0.0555664 # DEPENDENCYPART_SIBL
(9,11),(9,15),0.360218 # DEPENDENCYPART_SIBL
(9,11),(9,18),0.0559459 # DEPENDENCYPART_SIBL
(9,11),(9,19),0.058709 # DEPENDENCYPART_SIBL
(9,12),(9,13),0.0227215 # DEPENDENCYPART_SIBL
(9,12),(9,14),-0.0197904 # DEPENDENCYPART_SIBL
(9,12),(9,15),0.0629535 # DEPENDENCYPART_SIBL
(9,12),(9,18),-0.0197605 # DEPENDENCYPART_SIBL
(9,12),(9,19),0.0160164 # DEPENDENCYPART_SIBL
(9,13),(9,14),-0.0197904 # DEPENDENCYPART_SIBL
(9,13),(9,15),0.0629535 # DEPENDENCYPART_SIBL
(9,13),(9,18),-0.0197605 # DEPENDENCYPART_SIBL
(9,13),(9,19),0.0160163 # DEPENDENCYPART_SIBL
(9,14),(9,15),0.0448873 # DEPENDENCYPART_SIBL
(9,14),(9,18),-0.0454357 # DEPENDENCYPART_SIBL
(9,14),(9,19),-0.0118706 # DEPENDENCYPART_SIBL
(9,15),(9,18),-0.00323792 # DEPENDENCYPART_SIBL
(9,15),(9,19),0.116125 # DEPENDENCYPART_SIBL
(9,18),(9,19),-0.00651562 # DEPENDENCYPART_SIBL
(10,1),(10,4),0.0698106 # DEPENDENCYPART_SIBL
(10,1),(10,5),0.0734954 # DEPENDENCYPART_SIBL
(10,1),(10,6),0.0912775 # DEPENDENCYPART_SIBL
(10,1),(10,7),0.29817 # DEPENDENCYPART_SIBL
(10,1),(10,8),0.14388 # DEPENDENCYPART_SIBL
(10,1),(10,9),0.0726575 # DEPENDENCYPART_SIBL
(10,1),(10,11),0.0864785 # DEPENDENCYPART_SIBL
(10,1),(10,12),0.0257208 # DEPENDENCYPART_SIBL
(10,1),(10,13),0.0257208 # DEPENDENCYPART_SIBL
(10,1),(10,14),0.016056 # DEPENDENCYPART_SIBL
(10,1),(10,15),0.0690617 # DEPENDENCYPART_SIBL
(10,1),(10,17),0.0656933 # DEPENDENCYPART_SIBL
(10,1),(10,18),0.0227659 # DEPENDENCYPART_SIBL
(10,1),(10,19),0.0355016 # DEPENDENCYPART_SIBL
(10,4),(10,5),0.0808648 # DEPENDENCYPART_SIBL
(10,4),(10,6),0.0912775 # DEPENDENCYPART_SIBL
(10,4),(10,7),0.29817 # DEPENDENCYPART_SIBL
(10,4),(10,8),0.14388 # DEPENDENCYPART_SIBL
(10,4),(10,9),0.0726575 # DEPENDENCYPART_SIBL
(10,4),(10,11),0.0858134 # DEPENDENCYPART_SIBL
(10,4),(10,12),0.0257208 # DEPENDENCYPART_SIBL
(10,4),(10,13),0.0257208 # DEPENDENCYPART_SIBL
(10,4),(10,14),0.0198671 # DEPENDENCYPART_SIBL
(10,4),(10,15),0.0687833 # DEPENDENCYPART_SIBL
(10,4),(10,17),0.0656933 # DEPENDENCYPART_SIBL
(10,4),(10,18),0.026577 # DEPENDENCYPART_SIBL
(10,4),(10,19),0.0342805 # DEPENDENCYPART_SIBL
(10,5),(10,6),0.0912775 # DEPENDENCYPART_SIBL
(10,5),(10,7),0.295382 # DEPENDENCYPART_SIBL
(10,5),(10,8),0.14388 # DEPENDENCYPART_SIBL
(10,5),(10,9),0.0726575 # DEPENDENCYPART_SIBL
(10,5),(10,11),0.0846843 # DEPENDENCYPART_SIBL
(10,5),(10,12),0.0257208 # DEPENDENCYPART_SIBL
(10,5),(10,13),0.0257208 # DEPENDENCYPART_SIBL
(10,5),(10,14),0.018607 # DEPENDENCYPART_SIBL
(10,5),(10,15),0.0669156 # DEPENDENCYPART_SIBL
(10,5),(10,17),0.0656933 # DEPENDENCYPART_SIBL
(10,5),(10,18),0.0253169 # DEPENDENCYPART_SIBL
(10,5),(10,19),0.0334223 # DEPENDENCYPART_SIBL
(10,6),(10,7),0.31563 # DEPENDENCYPART_SIBL
(10,6),(10,8),0.123309 # DEPENDENCYPART_SIBL
(10,6),(10,9),0.112224 # DEPENDENCYPART_SIBL
(10,6),(10,11),0.0315991 # DEPENDENCYPART_SIBL
(10,6),(10,12),0.000533612 # DEPENDENCYPART_SIBL
(10,6),(10,13),0.000533612 # DEPENDENCYPART_SIBL
(10,6),(10,14),0.00743153 # DEPENDENCYPART_SIBL
(10,6),(10,15),0.0627933 # DEPENDENCYPART_SIBL
(10,6),(10,17),0.0398686 # DEPENDENCYPART_SIBL
(10,6),(10,18),0.00748401 # DEPENDENCYPART_SIBL
(10,6),(10,19),0.0854819 # DEPENDENCYPART_SIBL
(10,7),(10,8),0.0874719 # DEPENDENCYPART_SIBL
(10,7),(10,9),0.15592 # DEPENDENCYPART_SIBL
(10,7),(10,11),-0.00268289 # DEPENDENCYPART_SIBL
(10,7),(10,12),-0.0128627 # DEPENDENCYPART_SIBL
(10,7),(10,13),-0.0128627 # DEPENDENCYPART_SIBL
(10,7),(10,14),-0.0122521 # DEPENDENCYPART_SIBL
(10,7),(10,15),0.0189201 # DEPENDENCYPART_SIBL
(10,7),(10,17),0.0219623 # DEPENDENCYPART_SIBL
(10,7),(10,18),-0.0115497 # DEPENDENCYPART_SIBL
(10,7),(10,19),0.0154377 # DEPENDENCYPART_SIBL
(10,8),(10,9),0.173262 # DEPENDENCYPART_SIBL
(10,8),(10,11),0.0250176 # DEPENDENCYPART_SIBL
(10,8),(10,12),-0.00794745 # DEPENDENCYPART_SIBL
(10,8),(10,13),-0.00794745 # DEPENDENCYPART_SIBL
(10,8),(10,14),0.0636024 # DEPENDENCYPART_SIBL
(10,8),(10,15),0.0275228 # DEPENDENCYPART_SIBL
(10,8),(10,17),0.0719801 # DEPENDENCYPART_SIBL
(10,8),(10,18),0.063636 # DEPENDENCYPART_SIBL
(10,8),(10,19),0.0468204 # DEPENDENCYPART_SIBL
(10,9),(10,11),0.0288647 # DEPENDENCYPART_SIBL
(10,9),(10,12),-0.0125491 # DEPENDENCYPART_SIBL
(10,9),(10,13),-0.0125491 # DEPENDENCYPART_SIBL
(10,9),(10,14),0.0217985 # DEPENDENCYPART_SIBL
(10,9),(10,15),0.0297486 # DEPENDENCYPART_SIBL
(10,9),(10,17),0.0176097 # DEPENDENCYPART_SIBL
(10,9),(10,18),0.0218165 # DEPENDENCYPART_SIBL
(10,9),(10,19),0.0229598 # DEPENDENCYPART_SIBL
(10,11),(10,12),0.0797829 # DEPENDENCYPART_SIBL
(10,11),(10,13),0.0797829 # DEPENDENCYPART_SIBL
(10,11),(10,14),0.0555664 # DEPENDENCYPART_SIBL
(10,11),(10,15),0.360218 # DEPENDENCYPART_SIBL
(10,11),(10,17),0.0734581 # DEPENDENCYPART_SIBL
(10,11),(10,18),0.0559459 # DEPENDENCYPART_SIBL
(10,11),(10,19),0.058709 # DEPENDENCYPART_SIBL
(10,12),(10,13),0.0227215 # DEPENDENCYPART_SIBL
(10,12),(10,14),-0.0197904 # DEPENDENCYPART_SIBL
(10,12),(10,15),0.0629535 # DEPENDENCYPART_SIBL
(10,12),(10,17),0.00628088 # DEPENDENCYPART_SIBL
(10,12),(10,18),-0.0197605 # DEPENDENCYPART_SIBL
(10,12),(10,19),0.0160164 # DEPENDENCYPART_SIBL
(10,13),(10,14),-0.0197904 # DEPENDENCYPART_SIBL
(10,13),(10,15),0.0629535 # DEPENDENCYPART_SIBL
(10,13),(10,17),0.00628085 # DEPENDENCYPART_SIBL
(10,13),(10,18),-0.0197605 # DEPENDENCYPART_SIBL
(10,13),(10,19),0.0160163 # DEPENDENCYPART_SIBL
(10,14),(10,15),0.0448873 # DEPENDENCYPART_SIBL
(10,14),(10,17),0.0330778 # DEPENDENCYPART_SIBL
(10,14),(10,18),-0.0454357 # DEPENDENCYPART_SIBL
(10,14),(10,19),-0.0118706 # DEPENDENCYPART_SIBL
(10,15),(10,17),0.0080789 # DEPENDENCYPART_SIBL
(10,15),(10,18),-0.00323792 # DEPENDENCYPART_SIBL
(10,15),(10,19),0.116125 # DEPENDENCYPART_SIBL
(10,17),(10,18),-0.0100285 # DEPENDENCYPART_SIBL
(10,17),(10,19),0.02968 # DEPENDENCYPART_SIBL
(10,18),(10,19),-0.00651562 # DEPENDENCYPART_SIBL
(12,1),(12,4),0.0698106 # DEPENDENCYPART_SIBL
(12,1),(12,7),0.29817 # DEPENDENCYPART_SIBL
(12,1),(12,8),0.14388 # DEPENDENCYPART_SIBL
(12,1),(12,9),0.0726575 # DEPENDENCYPART_SIBL
(12,1),(12,10),0.0728318 # DEPENDENCYPART_SIBL
(12,1),(12,11),0.29817 # DEPENDENCYPART_SIBL
(12,1),(12,13),0.0257208 # DEPENDENCYPART_SIBL
(12,1),(12,14),0.016056 # DEPENDENCYPART_SIBL
(12,1),(12,15),0.0690617 # DEPENDENCYPART_SIBL
(12,1),(12,17),0.0656933 # DEPENDENCYPART_SIBL
(12,1),(12,18),0.0227659 # DEPENDENCYPART_SIBL
(12,1),(12,19),0.0355016 # DEPENDENCYPART_SIBL
(12,4),(12,7),0.29817 # DEPENDENCYPART_SIBL
(12,4),(12,8),0.14388 # DEPENDENCYPART_SIBL
(12,4),(12,9),0.0726575 # DEPENDENCYPART_SIBL
(12,4),(12,10),0.0728318 # DEPENDENCYPART_SIBL
(12,4),(12,11),0.29817 # DEPENDENCYPART_SIBL
(12,4),(12,13),0.0257208 # DEPENDENCYPART_SIBL
(12,4),(12,14),0.0198671 # DEPENDENCYPART_SIBL
(12,4),(12,15),0.0687833 # DEPENDENCYPART_SIBL
(12,4),(12,17),0.0656933 # DEPENDENCYPART_SIBL
(12,4),(12,18),0.026577 # DEPENDENCYPART_SIBL
(12,4),(12,19),0.0342805 # DEPENDENCYPART_SIBL
(12,7),(12,8),0.0874719 # DEPENDENCYPART_SIBL
(12,7),(12,9),0.15592 # DEPENDENCYPART_SIBL
(12,7),(12,10),0.157903 # DEPENDENCYPART_SIBL
(12,7),(12,11),0.180646 # DEPENDENCYPART_SIBL
(12,7),(12,13),-0.0128627 # DEPENDENCYPART_SIBL
(12,7),(12,14),-0.0122521 # DEPENDENCYPART_SIBL
(12,7),(12,15),0.0189201 # DEPENDENCYPART_SIBL
(12,7),(12,17),0.0219623 # DEPENDENCYPART_SIBL
(12,7),(12,18),-0.0115497 # DEPENDENCYPART_SIBL
(12,7),(12,19),0.0154377 # DEPENDENCYPART_SIBL
(12,8),(12,9),0.173262 # DEPENDENCYPART_SIBL
(12,8),(12,10),0.173262 # DEPENDENCYPART_SIBL
(12,8),(12,11),0.135428 # DEPENDENCYPART_SIBL
(12,8),(12,13),-0.00794745 # DEPENDENCYPART_SIBL
(12,8),(12,14),0.0636024 # DEPENDENCYPART_SIBL
(12,8),(12,15),0.0275228 # DEPENDENCYPART_SIBL
(12,8),(12,17),0.0719801 # DEPENDENCYPART_SIBL
(12,8),(12,18),0.063636 # DEPENDENCYPART_SIBL
(12,8),(12,19),0.0468204 # DEPENDENCYPART_SIBL
(12,9),(12,10),0.135223 # DEPENDENCYPART_SIBL
(12,9),(12,11),0.288885 # DEPENDENCYPART_SIBL
(12,9),(12,13),-0.0125491 # DEPENDENCYPART_SIBL
(12,9),(12,14),0.0217985 # DEPENDENCYPART_SIBL
(12,9),(12,15),0.0297486 # DEPENDENCYPART_SIBL
(12,9),(12,17),0.0176097 # DEPENDENCYPART_SIBL
(12,9),(12,18),0.0218165 # DEPENDENCYPART_SIBL
(12,9),(12,19),0.0229598 # DEPENDENCYPART_SIBL
(12,10),(12,11),0.288885 # DEPENDENCYPART_SIBL
(12,10),(12,13),-0.0125491 # DEPENDENCYPART_SIBL
(12,10),(12,14),0.0207391 # DEPENDENCYPART_SIBL
(12,10),(12,15),0.0297486 # DEPENDENCYPART_SIBL
(12,10),(12,17),0.0176097 # DEPENDENCYPART_SIBL
(12,10),(12,18),0.0207571 # DEPENDENCYPART_SIBL
(12,10),(12,19),0.0231012 # DEPENDENCYPART_SIBL
(12,11),(12,13),-0.0128627 # DEPENDENCYPART_SIBL
(12,11),(12,14),-0.0122521 # DEPENDENCYPART_SIBL
(12,11),(12,15),0.0189201 # DEPENDENCYPART_SIBL
(12,11),(12,17),0.0219623 # DEPENDENCYPART_SIBL
(12,11),(12,18),-0.0115497 # DEPENDENCYPART_SIBL
(12,11),(12,19),0.0154377 # DEPENDENCYPART_SIBL
(12,13),(12,14),-0.0197904 # DEPENDENCYPART_SIBL
(12,13),(12,15),0.0629535 # DEPENDENCYPART_SIBL
(12,13),(12,17),0.00628085 # DEPENDENCYPART_SIBL
(12,13),(12,18),-0.0197605 # DEPENDENCYPART_SIBL
(12,13),(12,19),0.0160163 # DEPENDENCYPART_SIBL
(12,14),(12,15),0.0448873 # DEPENDENCYPART_SIBL
(12,14),(12,17),0.0330778 # DEPENDENCYPART_SIBL
(12,14),(12,18),-0.0454357 # DEPENDENCYPART_SIBL
(12,14),(12,19),-0.0118706 # DEPENDENCYPART_SIBL
(12,15),(12,17),0.0080789 # DEPENDENCYPART_SIBL
(12,15),(12,18),-0.00323792 # DEPENDENCYPART_SIBL
(12,15),(12,19),0.116125 # DEPENDENCYPART_SIBL
(12,17),(12,18),-0.0100285 # DEPENDENCYPART_SIBL
(12,17),(12,19),0.02968 # DEPENDENCYPART_SIBL
(12,18),(12,19),-0.00651562 # DEPENDENCYPART_SIBL
(13,7),(13,8),0.0874719 # DEPENDENCYPART_SIBL
(13,7),(13,9),0.15592 # DEPENDENCYPART_SIBL
(13,7),(13,10),0.157903 # DEPENDENCYPART_SIBL
(13,7),(13,11),0.180646 # DEPENDENCYPART_SIBL
(13,7),(13,12),0.157903 # DEPENDENCYPART_SIBL
(13,7),(13,18),-0.0115497 # DEPENDENCYPART_SIBL
(13,7),(13,19),0.0154377 # DEPENDENCYPART_SIBL
(13,8),(13,9),0.173262 # DEPENDENCYPART_SIBL
(13,8),(13,10),0.173262 # DEPENDENCYPART_SIBL
(13,8),(13,11),0.135428 # DEPENDENCYPART_SIBL
(13,8),(13,12),0.173262 # DEPENDENCYPART_SIBL
(13,8),(13,18),0.063636 # DEPENDENCYPART_SIBL
(13,8),(13,19),0.0468204 # DEPENDENCYPART_SIBL
(13,9),(13,10),0.135223 # DEPENDENCYPART_SIBL
(13,9),(13,11),0.288885 # DEPENDENCYPART_SIBL
(13,9),(13,12),0.135223 # DEPENDENCYPART_SIBL
(13,9),(13,18),0.0218165 # DEPENDENCYPART_SIBL
(13,9),(13,19),0.0229598 # DEPENDENCYPART_SIBL
(13,10),(13,11),0.288885 # DEPENDENCYPART_SIBL
(13,10),(13,12),0.135223 # DEPENDENCYPART_SIBL
(13,10),(13,18),0.0207571 # DEPENDENCYPART_SIBL
(13,10),(13,19),0.0231012 # DEPENDENCYPART_SIBL
(13,11),(13,12),0.157903 # DEPENDENCYPART_SIBL
(13,11),(13,18),-0.0115497 # DEPENDENCYPART_SIBL
(13,11),(13,19),0.0154377 # DEPENDENCYPART_SIBL
(13,12),(13,18),0.0207595 # DEPENDENCYPART_SIBL
(13,12),(13,19),0.0231012 # DEPENDENCYPART_SIBL
(13,18),(13,19),-0.00651864 # DEPENDENCYPART_SIBL
