# _root_ A jogszabályok nem voltak ilyen szabadok , de utasításba adtam , hogy minden kétes esetben a kutató javára kell dönteni .
#goldHeads=2,4,4,8,6,4,8,0,10,8,10,10,15,15,20,17,18,20,10,19,8,
#predictedHeads=2,4,4,8,4,4,8,0,10,8,10,10,15,15,20,17,18,20,10,19,8,
(5,19),(5,20),0.00291594 # DEPENDENCYPART_SIBL
(6,1),(6,2),0.0678853 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.0350725 # DEPENDENCYPART_SIBL
(6,1),(6,4),0.144133 # DEPENDENCYPART_SIBL
(6,1),(6,5),0.00227126 # DEPENDENCYPART_SIBL
(6,1),(6,7),-0.000880212 # DEPENDENCYPART_SIBL
(6,1),(6,8),0.0296356 # DEPENDENCYPART_SIBL
(6,1),(6,9),0.0225869 # DEPENDENCYPART_SIBL
(6,1),(6,10),-0.00548556 # DEPENDENCYPART_SIBL
(6,1),(6,11),-0.000880212 # DEPENDENCYPART_SIBL
(6,1),(6,12),0.0116089 # DEPENDENCYPART_SIBL
(6,1),(6,13),-0.00506674 # DEPENDENCYPART_SIBL
(6,1),(6,14),0.0370991 # DEPENDENCYPART_SIBL
(6,1),(6,15),0.0225805 # DEPENDENCYPART_SIBL
(6,1),(6,17),0.0225804 # DEPENDENCYPART_SIBL
(6,1),(6,18),0.0192598 # DEPENDENCYPART_SIBL
(6,1),(6,19),0.00766752 # DEPENDENCYPART_SIBL
(6,1),(6,20),-0.00548952 # DEPENDENCYPART_SIBL
(6,1),(6,21),-0.0375479 # DEPENDENCYPART_SIBL
(6,2),(6,3),0.245813 # DEPENDENCYPART_SIBL
(6,2),(6,4),0.15399 # DEPENDENCYPART_SIBL
(6,2),(6,5),0.133141 # DEPENDENCYPART_SIBL
(6,2),(6,7),0.0251678 # DEPENDENCYPART_SIBL
(6,2),(6,8),0.02304 # DEPENDENCYPART_SIBL
(6,2),(6,9),0.0211629 # DEPENDENCYPART_SIBL
(6,2),(6,10),0.0101053 # DEPENDENCYPART_SIBL
(6,2),(6,11),0.0251678 # DEPENDENCYPART_SIBL
(6,2),(6,12),0.0242696 # DEPENDENCYPART_SIBL
(6,2),(6,13),0.00190638 # DEPENDENCYPART_SIBL
(6,2),(6,14),0.0417963 # DEPENDENCYPART_SIBL
(6,2),(6,15),0.0221641 # DEPENDENCYPART_SIBL
(6,2),(6,17),0.0204016 # DEPENDENCYPART_SIBL
(6,2),(6,18),0.0188846 # DEPENDENCYPART_SIBL
(6,2),(6,19),0.0339143 # DEPENDENCYPART_SIBL
(6,2),(6,20),0.0127417 # DEPENDENCYPART_SIBL
(6,2),(6,21),0.0617117 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.153595 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.0793676 # DEPENDENCYPART_SIBL
(6,3),(6,7),0.00645075 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.00880066 # DEPENDENCYPART_SIBL
(6,3),(6,9),0.0189315 # DEPENDENCYPART_SIBL
(6,3),(6,10),0.0453865 # DEPENDENCYPART_SIBL
(6,3),(6,11),0.00645075 # DEPENDENCYPART_SIBL
(6,3),(6,12),0.0300021 # DEPENDENCYPART_SIBL
(6,3),(6,13),0.00338423 # DEPENDENCYPART_SIBL
(6,3),(6,14),0.0123861 # DEPENDENCYPART_SIBL
(6,3),(6,15),0.0200311 # DEPENDENCYPART_SIBL
(6,3),(6,17),0.0207916 # DEPENDENCYPART_SIBL
(6,3),(6,18),0.0218639 # DEPENDENCYPART_SIBL
(6,3),(6,19),0.0182061 # DEPENDENCYPART_SIBL
(6,3),(6,20),0.0531006 # DEPENDENCYPART_SIBL
(6,3),(6,21),0.0444202 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.0522511 # DEPENDENCYPART_SIBL
(6,4),(6,7),0.0279086 # DEPENDENCYPART_SIBL
(6,4),(6,8),0.0530757 # DEPENDENCYPART_SIBL
(6,4),(6,9),0.0607526 # DEPENDENCYPART_SIBL
(6,4),(6,10),0.0535894 # DEPENDENCYPART_SIBL
(6,4),(6,11),0.0279086 # DEPENDENCYPART_SIBL
(6,4),(6,12),0.0662282 # DEPENDENCYPART_SIBL
(6,4),(6,13),0.0290121 # DEPENDENCYPART_SIBL
(6,4),(6,14),0.04094 # DEPENDENCYPART_SIBL
(6,4),(6,15),0.0604148 # DEPENDENCYPART_SIBL
(6,4),(6,17),0.0628705 # DEPENDENCYPART_SIBL
(6,4),(6,18),0.0607526 # DEPENDENCYPART_SIBL
(6,4),(6,19),0.0404178 # DEPENDENCYPART_SIBL
(6,4),(6,20),0.0506423 # DEPENDENCYPART_SIBL
(6,4),(6,21),0.138937 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.000167196 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.00470194 # DEPENDENCYPART_SIBL
(6,5),(6,9),0.0262404 # DEPENDENCYPART_SIBL
(6,5),(6,10),0.00223712 # DEPENDENCYPART_SIBL
(6,5),(6,11),0.000167196 # DEPENDENCYPART_SIBL
(6,5),(6,12),0.0318551 # DEPENDENCYPART_SIBL
(6,5),(6,13),0.00891157 # DEPENDENCYPART_SIBL
(6,5),(6,14),0.0242309 # DEPENDENCYPART_SIBL
(6,5),(6,15),0.0273907 # DEPENDENCYPART_SIBL
(6,5),(6,17),0.0281177 # DEPENDENCYPART_SIBL
(6,5),(6,18),0.0291766 # DEPENDENCYPART_SIBL
(6,5),(6,19),-0.0130236 # DEPENDENCYPART_SIBL
(6,5),(6,20),0.0099512 # DEPENDENCYPART_SIBL
(6,5),(6,21),0.0302152 # DEPENDENCYPART_SIBL
(6,7),(6,8),0.113616 # DEPENDENCYPART_SIBL
(6,7),(6,9),0.162399 # DEPENDENCYPART_SIBL
(6,7),(6,10),0.37374 # DEPENDENCYPART_SIBL
(6,7),(6,11),0.0298811 # DEPENDENCYPART_SIBL
(6,7),(6,12),0.337358 # DEPENDENCYPART_SIBL
(6,7),(6,13),0.164896 # DEPENDENCYPART_SIBL
(6,7),(6,14),0.116245 # DEPENDENCYPART_SIBL
(6,7),(6,15),0.160078 # DEPENDENCYPART_SIBL
(6,7),(6,17),0.162381 # DEPENDENCYPART_SIBL
(6,7),(6,18),0.160945 # DEPENDENCYPART_SIBL
(6,7),(6,19),0.40347 # DEPENDENCYPART_SIBL
(6,7),(6,20),0.381162 # DEPENDENCYPART_SIBL
(6,7),(6,21),0.0898977 # DEPENDENCYPART_SIBL
(6,8),(6,9),0.00357541 # DEPENDENCYPART_SIBL
(6,8),(6,10),0.0205281 # DEPENDENCYPART_SIBL
(6,8),(6,11),0.00118974 # DEPENDENCYPART_SIBL
(6,8),(6,12),-0.0201399 # DEPENDENCYPART_SIBL
(6,8),(6,13),0.0314683 # DEPENDENCYPART_SIBL
(6,8),(6,14),0.0013758 # DEPENDENCYPART_SIBL
(6,8),(6,15),0.0028565 # DEPENDENCYPART_SIBL
(6,8),(6,17),0.00357434 # DEPENDENCYPART_SIBL
(6,8),(6,18),0.00456922 # DEPENDENCYPART_SIBL
(6,8),(6,19),0.0214544 # DEPENDENCYPART_SIBL
(6,8),(6,20),0.0222821 # DEPENDENCYPART_SIBL
(6,8),(6,21),0.00618762 # DEPENDENCYPART_SIBL
(6,9),(6,10),0.0437337 # DEPENDENCYPART_SIBL
(6,9),(6,11),0.0904807 # DEPENDENCYPART_SIBL
(6,9),(6,12),-0.0286813 # DEPENDENCYPART_SIBL
(6,9),(6,13),0.0591697 # DEPENDENCYPART_SIBL
(6,9),(6,14),0.0301064 # DEPENDENCYPART_SIBL
(6,9),(6,15),-0.00513239 # DEPENDENCYPART_SIBL
(6,9),(6,17),0.00063526 # DEPENDENCYPART_SIBL
(6,9),(6,18),0.00199594 # DEPENDENCYPART_SIBL
(6,9),(6,19),0.0431376 # DEPENDENCYPART_SIBL
(6,9),(6,20),0.0405822 # DEPENDENCYPART_SIBL
(6,9),(6,21),0.0136211 # DEPENDENCYPART_SIBL
(6,10),(6,11),0.0973967 # DEPENDENCYPART_SIBL
(6,10),(6,12),-0.0450048 # DEPENDENCYPART_SIBL
(6,10),(6,13),0.0352268 # DEPENDENCYPART_SIBL
(6,10),(6,14),-0.00371641 # DEPENDENCYPART_SIBL
(6,10),(6,15),0.0265912 # DEPENDENCYPART_SIBL
(6,10),(6,17),0.0265973 # DEPENDENCYPART_SIBL
(6,10),(6,18),0.0265988 # DEPENDENCYPART_SIBL
(6,10),(6,19),0.00856752 # DEPENDENCYPART_SIBL
(6,10),(6,20),0.0161232 # DEPENDENCYPART_SIBL
(6,10),(6,21),0.0774555 # DEPENDENCYPART_SIBL
(6,11),(6,12),0.337358 # DEPENDENCYPART_SIBL
(6,11),(6,13),0.164896 # DEPENDENCYPART_SIBL
(6,11),(6,14),0.116245 # DEPENDENCYPART_SIBL
(6,11),(6,15),0.160078 # DEPENDENCYPART_SIBL
(6,11),(6,17),0.162381 # DEPENDENCYPART_SIBL
(6,11),(6,18),0.160945 # DEPENDENCYPART_SIBL
(6,11),(6,19),0.40347 # DEPENDENCYPART_SIBL
(6,11),(6,20),0.381162 # DEPENDENCYPART_SIBL
(6,11),(6,21),0.0898977 # DEPENDENCYPART_SIBL
(6,12),(6,13),0.0235739 # DEPENDENCYPART_SIBL
(6,12),(6,14),0.00134801 # DEPENDENCYPART_SIBL
(6,12),(6,15),-0.0366223 # DEPENDENCYPART_SIBL
(6,12),(6,17),-0.0360598 # DEPENDENCYPART_SIBL
(6,12),(6,18),-0.0350649 # DEPENDENCYPART_SIBL
(6,12),(6,19),0.0447121 # DEPENDENCYPART_SIBL
(6,12),(6,20),0.042017 # DEPENDENCYPART_SIBL
(6,12),(6,21),0.0302537 # DEPENDENCYPART_SIBL
(6,13),(6,14),0.0263679 # DEPENDENCYPART_SIBL
(6,13),(6,15),0.0154455 # DEPENDENCYPART_SIBL
(6,13),(6,17),0.0191936 # DEPENDENCYPART_SIBL
(6,13),(6,18),0.0173523 # DEPENDENCYPART_SIBL
(6,13),(6,19),0.0252842 # DEPENDENCYPART_SIBL
(6,13),(6,20),0.027232 # DEPENDENCYPART_SIBL
(6,13),(6,21),0.0115213 # DEPENDENCYPART_SIBL
(6,14),(6,15),0.0062044 # DEPENDENCYPART_SIBL
(6,14),(6,17),0.0064888 # DEPENDENCYPART_SIBL
(6,14),(6,18),0.00649058 # DEPENDENCYPART_SIBL
(6,14),(6,19),0.0439167 # DEPENDENCYPART_SIBL
(6,14),(6,20),0.0290773 # DEPENDENCYPART_SIBL
(6,14),(6,21),0.00090242 # DEPENDENCYPART_SIBL
(6,15),(6,17),0.00442452 # DEPENDENCYPART_SIBL
(6,15),(6,18),0.0057852 # DEPENDENCYPART_SIBL
(6,15),(6,19),0.0433129 # DEPENDENCYPART_SIBL
(6,15),(6,20),0.0407588 # DEPENDENCYPART_SIBL
(6,15),(6,21),0.00265126 # DEPENDENCYPART_SIBL
(6,17),(6,18),0.00199453 # DEPENDENCYPART_SIBL
(6,17),(6,19),0.0428202 # DEPENDENCYPART_SIBL
(6,17),(6,20),0.0402647 # DEPENDENCYPART_SIBL
(6,17),(6,21),0.0172693 # DEPENDENCYPART_SIBL
(6,18),(6,19),0.0431376 # DEPENDENCYPART_SIBL
(6,18),(6,20),0.0405822 # DEPENDENCYPART_SIBL
(6,18),(6,21),0.00971348 # DEPENDENCYPART_SIBL
(6,19),(6,20),0.00902317 # DEPENDENCYPART_SIBL
(6,19),(6,21),0.111233 # DEPENDENCYPART_SIBL
(6,20),(6,21),0.0766184 # DEPENDENCYPART_SIBL
(8,2),(8,3),0.032057 # DEPENDENCYPART_SIBL
(8,2),(8,4),0.0641554 # DEPENDENCYPART_SIBL
(8,2),(8,5),0.0323282 # DEPENDENCYPART_SIBL
(8,2),(8,6),-0.0160379 # DEPENDENCYPART_SIBL
(8,2),(8,7),0.24501 # DEPENDENCYPART_SIBL
(8,2),(8,9),0.0893148 # DEPENDENCYPART_SIBL
(8,2),(8,10),-0.00550409 # DEPENDENCYPART_SIBL
(8,2),(8,11),0.00365028 # DEPENDENCYPART_SIBL
(8,2),(8,12),0.0132467 # DEPENDENCYPART_SIBL
(8,2),(8,14),-0.00891642 # DEPENDENCYPART_SIBL
(8,2),(8,15),0.0885767 # DEPENDENCYPART_SIBL
(8,2),(8,17),0.0885543 # DEPENDENCYPART_SIBL
(8,2),(8,18),0.087035 # DEPENDENCYPART_SIBL
(8,2),(8,19),0.0847362 # DEPENDENCYPART_SIBL
(8,2),(8,20),-0.00315171 # DEPENDENCYPART_SIBL
(8,2),(8,21),0.0185324 # DEPENDENCYPART_SIBL
(8,3),(8,4),-0.0167961 # DEPENDENCYPART_SIBL
(8,3),(8,5),-0.0809943 # DEPENDENCYPART_SIBL
(8,3),(8,6),-0.0263221 # DEPENDENCYPART_SIBL
(8,3),(8,7),0.114356 # DEPENDENCYPART_SIBL
(8,3),(8,9),0.0153616 # DEPENDENCYPART_SIBL
(8,3),(8,10),0.0225941 # DEPENDENCYPART_SIBL
(8,3),(8,11),-0.0481165 # DEPENDENCYPART_SIBL
(8,3),(8,12),-0.0117 # DEPENDENCYPART_SIBL
(8,3),(8,14),-0.0248396 # DEPENDENCYPART_SIBL
(8,3),(8,15),0.0149861 # DEPENDENCYPART_SIBL
(8,3),(8,17),0.0172225 # DEPENDENCYPART_SIBL
(8,3),(8,18),0.0182922 # DEPENDENCYPART_SIBL
(8,3),(8,19),0.0229717 # DEPENDENCYPART_SIBL
(8,3),(8,20),0.0329368 # DEPENDENCYPART_SIBL
(8,3),(8,21),0.00848728 # DEPENDENCYPART_SIBL
(8,4),(8,5),-0.0243773 # DEPENDENCYPART_SIBL
(8,4),(8,6),-0.0349459 # DEPENDENCYPART_SIBL
(8,4),(8,7),0.382309 # DEPENDENCYPART_SIBL
(8,4),(8,9),-0.016977 # DEPENDENCYPART_SIBL
(8,4),(8,10),0.0907828 # DEPENDENCYPART_SIBL
(8,4),(8,11),-0.0124011 # DEPENDENCYPART_SIBL
(8,4),(8,12),0.141333 # DEPENDENCYPART_SIBL
(8,4),(8,14),-0.0038884 # DEPENDENCYPART_SIBL
(8,4),(8,15),-0.0190553 # DEPENDENCYPART_SIBL
(8,4),(8,17),-0.0148585 # DEPENDENCYPART_SIBL
(8,4),(8,18),-0.0169786 # DEPENDENCYPART_SIBL
(8,4),(8,19),0.0843065 # DEPENDENCYPART_SIBL
(8,4),(8,20),0.0839807 # DEPENDENCYPART_SIBL
(8,4),(8,21),0.17801 # DEPENDENCYPART_SIBL
(8,5),(8,6),-0.0812792 # DEPENDENCYPART_SIBL
(8,5),(8,7),0.056492 # DEPENDENCYPART_SIBL
(8,5),(8,9),-0.000784684 # DEPENDENCYPART_SIBL
(8,5),(8,10),-0.0404768 # DEPENDENCYPART_SIBL
(8,5),(8,11),-0.0512807 # DEPENDENCYPART_SIBL
(8,5),(8,12),-0.0121053 # DEPENDENCYPART_SIBL
(8,5),(8,14),-0.0210217 # DEPENDENCYPART_SIBL
(8,5),(8,15),-0.00110422 # DEPENDENCYPART_SIBL
(8,5),(8,17),0.00109331 # DEPENDENCYPART_SIBL
(8,5),(8,18),0.00214971 # DEPENDENCYPART_SIBL
(8,5),(8,19),-0.0239849 # DEPENDENCYPART_SIBL
(8,5),(8,20),-0.0301341 # DEPENDENCYPART_SIBL
(8,5),(8,21),-0.0493127 # DEPENDENCYPART_SIBL
(8,6),(8,7),0.14783 # DEPENDENCYPART_SIBL
(8,6),(8,9),-0.0071153 # DEPENDENCYPART_SIBL
(8,6),(8,10),0.00188871 # DEPENDENCYPART_SIBL
(8,6),(8,11),0.0106659 # DEPENDENCYPART_SIBL
(8,6),(8,12),0.0593691 # DEPENDENCYPART_SIBL
(8,6),(8,14),0.0529649 # DEPENDENCYPART_SIBL
(8,6),(8,15),-0.0106876 # DEPENDENCYPART_SIBL
(8,6),(8,17),-0.00784554 # DEPENDENCYPART_SIBL
(8,6),(8,18),-0.00859279 # DEPENDENCYPART_SIBL
(8,6),(8,19),0.0424182 # DEPENDENCYPART_SIBL
(8,6),(8,20),-2.10904e-06 # DEPENDENCYPART_SIBL
(8,6),(8,21),0.0499465 # DEPENDENCYPART_SIBL
(8,7),(8,9),0.0243364 # DEPENDENCYPART_SIBL
(8,7),(8,10),0.124192 # DEPENDENCYPART_SIBL
(8,7),(8,11),-0.0119128 # DEPENDENCYPART_SIBL
(8,7),(8,12),0.109452 # DEPENDENCYPART_SIBL
(8,7),(8,14),0.00714169 # DEPENDENCYPART_SIBL
(8,7),(8,15),0.0167675 # DEPENDENCYPART_SIBL
(8,7),(8,17),0.0308228 # DEPENDENCYPART_SIBL
(8,7),(8,18),0.0222808 # DEPENDENCYPART_SIBL
(8,7),(8,19),0.246959 # DEPENDENCYPART_SIBL
(8,7),(8,20),0.135699 # DEPENDENCYPART_SIBL
(8,7),(8,21),0.29769 # DEPENDENCYPART_SIBL
(8,9),(8,10),-0.0394197 # DEPENDENCYPART_SIBL
(8,9),(8,11),0.0293031 # DEPENDENCYPART_SIBL
(8,9),(8,12),-0.0447415 # DEPENDENCYPART_SIBL
(8,9),(8,14),0.0387631 # DEPENDENCYPART_SIBL
(8,9),(8,15),-0.0315121 # DEPENDENCYPART_SIBL
(8,9),(8,17),-0.0253577 # DEPENDENCYPART_SIBL
(8,9),(8,18),-0.0239988 # DEPENDENCYPART_SIBL
(8,9),(8,19),-0.0594883 # DEPENDENCYPART_SIBL
(8,9),(8,20),-0.0425535 # DEPENDENCYPART_SIBL
(8,9),(8,21),0.000430906 # DEPENDENCYPART_SIBL
(8,10),(8,11),0.182521 # DEPENDENCYPART_SIBL
(8,10),(8,12),0.000449732 # DEPENDENCYPART_SIBL
(8,10),(8,14),0.0606358 # DEPENDENCYPART_SIBL
(8,10),(8,15),0.11679 # DEPENDENCYPART_SIBL
(8,10),(8,17),0.117184 # DEPENDENCYPART_SIBL
(8,10),(8,18),0.117184 # DEPENDENCYPART_SIBL
(8,10),(8,19),-0.0186257 # DEPENDENCYPART_SIBL
(8,10),(8,20),0.00934278 # DEPENDENCYPART_SIBL
(8,10),(8,21),0.219576 # DEPENDENCYPART_SIBL
(8,11),(8,12),0.25586 # DEPENDENCYPART_SIBL
(8,11),(8,14),0.106273 # DEPENDENCYPART_SIBL
(8,11),(8,15),0.138699 # DEPENDENCYPART_SIBL
(8,11),(8,17),0.141622 # DEPENDENCYPART_SIBL
(8,11),(8,18),0.140185 # DEPENDENCYPART_SIBL
(8,11),(8,19),0.242472 # DEPENDENCYPART_SIBL
(8,11),(8,20),0.243854 # DEPENDENCYPART_SIBL
(8,11),(8,21),0.0842808 # DEPENDENCYPART_SIBL
(8,12),(8,14),-0.0370019 # DEPENDENCYPART_SIBL
(8,12),(8,15),-0.0968714 # DEPENDENCYPART_SIBL
(8,12),(8,17),-0.0959227 # DEPENDENCYPART_SIBL
(8,12),(8,18),-0.094929 # DEPENDENCYPART_SIBL
(8,12),(8,19),-0.0690495 # DEPENDENCYPART_SIBL
(8,12),(8,20),-0.0574149 # DEPENDENCYPART_SIBL
(8,12),(8,21),0.0938853 # DEPENDENCYPART_SIBL
(8,14),(8,15),-0.0145928 # DEPENDENCYPART_SIBL
(8,14),(8,17),-0.0136597 # DEPENDENCYPART_SIBL
(8,14),(8,18),-0.0136591 # DEPENDENCYPART_SIBL
(8,14),(8,19),-0.0490148 # DEPENDENCYPART_SIBL
(8,14),(8,20),-0.0503951 # DEPENDENCYPART_SIBL
(8,14),(8,21),0.0306642 # DEPENDENCYPART_SIBL
(8,15),(8,17),-0.022108 # DEPENDENCYPART_SIBL
(8,15),(8,18),-0.020749 # DEPENDENCYPART_SIBL
(8,15),(8,19),-0.0598455 # DEPENDENCYPART_SIBL
(8,15),(8,20),-0.0429101 # DEPENDENCYPART_SIBL
(8,15),(8,21),-0.0110829 # DEPENDENCYPART_SIBL
(8,17),(8,18),-0.0240002 # DEPENDENCYPART_SIBL
(8,17),(8,19),-0.0598057 # DEPENDENCYPART_SIBL
(8,17),(8,20),-0.042871 # DEPENDENCYPART_SIBL
(8,17),(8,21),0.00407904 # DEPENDENCYPART_SIBL
(8,18),(8,19),-0.0594883 # DEPENDENCYPART_SIBL
(8,18),(8,20),-0.0425535 # DEPENDENCYPART_SIBL
(8,18),(8,21),-0.00347675 # DEPENDENCYPART_SIBL
(8,19),(8,20),-0.0264405 # DEPENDENCYPART_SIBL
(8,19),(8,21),0.244469 # DEPENDENCYPART_SIBL
(8,20),(8,21),0.210273 # DEPENDENCYPART_SIBL
(9,1),(9,3),0.092186 # DEPENDENCYPART_SIBL
(9,1),(9,4),0.20626 # DEPENDENCYPART_SIBL
(9,1),(9,5),0.0235154 # DEPENDENCYPART_SIBL
(9,1),(9,6),0.155843 # DEPENDENCYPART_SIBL
(9,1),(9,7),0.190771 # DEPENDENCYPART_SIBL
(9,1),(9,8),0.305374 # DEPENDENCYPART_SIBL
(9,1),(9,15),-0.00336445 # DEPENDENCYPART_SIBL
(9,1),(9,19),0.044682 # DEPENDENCYPART_SIBL
(9,1),(9,20),0.00856877 # DEPENDENCYPART_SIBL
(9,1),(9,21),-0.0285178 # DEPENDENCYPART_SIBL
(9,3),(9,4),0.0545537 # DEPENDENCYPART_SIBL
(9,3),(9,5),0.0541266 # DEPENDENCYPART_SIBL
(9,3),(9,6),0.0464381 # DEPENDENCYPART_SIBL
(9,3),(9,7),0.0716173 # DEPENDENCYPART_SIBL
(9,3),(9,8),0.210445 # DEPENDENCYPART_SIBL
(9,3),(9,15),0.0144673 # DEPENDENCYPART_SIBL
(9,3),(9,19),0.100771 # DEPENDENCYPART_SIBL
(9,3),(9,20),0.121705 # DEPENDENCYPART_SIBL
(9,3),(9,21),0.215983 # DEPENDENCYPART_SIBL
(9,4),(9,5),0.0311598 # DEPENDENCYPART_SIBL
(9,4),(9,6),-0.0663339 # DEPENDENCYPART_SIBL
(9,4),(9,7),0.336908 # DEPENDENCYPART_SIBL
(9,4),(9,8),0.3004 # DEPENDENCYPART_SIBL
(9,4),(9,15),-0.00690072 # DEPENDENCYPART_SIBL
(9,4),(9,19),0.0384468 # DEPENDENCYPART_SIBL
(9,4),(9,20),0.0347224 # DEPENDENCYPART_SIBL
(9,4),(9,21),0.133186 # DEPENDENCYPART_SIBL
(9,5),(9,6),-0.12016 # DEPENDENCYPART_SIBL
(9,5),(9,7),0.0201529 # DEPENDENCYPART_SIBL
(9,5),(9,8),0.205309 # DEPENDENCYPART_SIBL
(9,5),(9,15),0.010179 # DEPENDENCYPART_SIBL
(9,5),(9,19),0.0479633 # DEPENDENCYPART_SIBL
(9,5),(9,20),0.0573844 # DEPENDENCYPART_SIBL
(9,5),(9,21),0.118814 # DEPENDENCYPART_SIBL
(9,6),(9,7),0.440921 # DEPENDENCYPART_SIBL
(9,6),(9,8),0.511056 # DEPENDENCYPART_SIBL
(9,6),(9,15),-0.00626579 # DEPENDENCYPART_SIBL
(9,6),(9,19),-0.0189868 # DEPENDENCYPART_SIBL
(9,6),(9,20),-0.0419093 # DEPENDENCYPART_SIBL
(9,6),(9,21),-0.00425058 # DEPENDENCYPART_SIBL
(9,7),(9,8),0.569029 # DEPENDENCYPART_SIBL
(9,7),(9,15),-0.0134237 # DEPENDENCYPART_SIBL
(9,7),(9,19),0.00597341 # DEPENDENCYPART_SIBL
(9,7),(9,20),-0.0310894 # DEPENDENCYPART_SIBL
(9,7),(9,21),0.0238545 # DEPENDENCYPART_SIBL
(9,8),(9,15),-0.0170095 # DEPENDENCYPART_SIBL
(9,8),(9,19),0.056776 # DEPENDENCYPART_SIBL
(9,8),(9,20),0.028594 # DEPENDENCYPART_SIBL
(9,8),(9,21),0.194901 # DEPENDENCYPART_SIBL
(9,15),(9,19),0.0673973 # DEPENDENCYPART_SIBL
(9,15),(9,20),0.055098 # DEPENDENCYPART_SIBL
(9,15),(9,21),0.0375862 # DEPENDENCYPART_SIBL
(9,19),(9,20),0.0577026 # DEPENDENCYPART_SIBL
(9,19),(9,21),0.281764 # DEPENDENCYPART_SIBL
(9,20),(9,21),0.21175 # DEPENDENCYPART_SIBL
(10,1),(10,2),0.014331 # DEPENDENCYPART_SIBL
(10,1),(10,3),-0.0613676 # DEPENDENCYPART_SIBL
(10,1),(10,4),0.0269009 # DEPENDENCYPART_SIBL
(10,1),(10,5),-0.0568582 # DEPENDENCYPART_SIBL
(10,1),(10,6),-0.0164009 # DEPENDENCYPART_SIBL
(10,1),(10,7),0.00904677 # DEPENDENCYPART_SIBL
(10,1),(10,8),0.0912606 # DEPENDENCYPART_SIBL
(10,1),(10,9),0.0157449 # DEPENDENCYPART_SIBL
(10,1),(10,11),-0.0377119 # DEPENDENCYPART_SIBL
(10,1),(10,12),-0.0259395 # DEPENDENCYPART_SIBL
(10,1),(10,13),-0.0301717 # DEPENDENCYPART_SIBL
(10,1),(10,14),0.00254032 # DEPENDENCYPART_SIBL
(10,1),(10,15),-0.0317929 # DEPENDENCYPART_SIBL
(10,1),(10,16),0.0223062 # DEPENDENCYPART_SIBL
(10,1),(10,17),-0.0110103 # DEPENDENCYPART_SIBL
(10,1),(10,18),-0.0264977 # DEPENDENCYPART_SIBL
(10,1),(10,19),-0.0111108 # DEPENDENCYPART_SIBL
(10,1),(10,20),-0.0145485 # DEPENDENCYPART_SIBL
(10,1),(10,21),-0.0654256 # DEPENDENCYPART_SIBL
(10,2),(10,3),0.0242789 # DEPENDENCYPART_SIBL
(10,2),(10,4),-0.00441893 # DEPENDENCYPART_SIBL
(10,2),(10,5),-0.0198655 # DEPENDENCYPART_SIBL
(10,2),(10,6),-0.00191121 # DEPENDENCYPART_SIBL
(10,2),(10,7),0.0925654 # DEPENDENCYPART_SIBL
(10,2),(10,8),0.0458781 # DEPENDENCYPART_SIBL
(10,2),(10,9),-0.0346523 # DEPENDENCYPART_SIBL
(10,2),(10,11),0.0090272 # DEPENDENCYPART_SIBL
(10,2),(10,12),0.00754906 # DEPENDENCYPART_SIBL
(10,2),(10,13),-0.0293291 # DEPENDENCYPART_SIBL
(10,2),(10,14),-0.00176103 # DEPENDENCYPART_SIBL
(10,2),(10,15),-0.0102136 # DEPENDENCYPART_SIBL
(10,2),(10,16),-0.0133269 # DEPENDENCYPART_SIBL
(10,2),(10,17),0.00991435 # DEPENDENCYPART_SIBL
(10,2),(10,18),-0.00336714 # DEPENDENCYPART_SIBL
(10,2),(10,19),0.0218805 # DEPENDENCYPART_SIBL
(10,2),(10,20),-0.00548821 # DEPENDENCYPART_SIBL
(10,2),(10,21),0.0113555 # DEPENDENCYPART_SIBL
(10,3),(10,4),-0.0261848 # DEPENDENCYPART_SIBL
(10,3),(10,5),-0.0733158 # DEPENDENCYPART_SIBL
(10,3),(10,6),0.0635277 # DEPENDENCYPART_SIBL
(10,3),(10,7),0.103617 # DEPENDENCYPART_SIBL
(10,3),(10,8),0.0486171 # DEPENDENCYPART_SIBL
(10,3),(10,9),-0.0400949 # DEPENDENCYPART_SIBL
(10,3),(10,11),-0.010756 # DEPENDENCYPART_SIBL
(10,3),(10,12),0.0320075 # DEPENDENCYPART_SIBL
(10,3),(10,13),0.0150319 # DEPENDENCYPART_SIBL
(10,3),(10,14),0.0170354 # DEPENDENCYPART_SIBL
(10,3),(10,15),-0.00375885 # DEPENDENCYPART_SIBL
(10,3),(10,16),-0.0691106 # DEPENDENCYPART_SIBL
(10,3),(10,17),0.0183204 # DEPENDENCYPART_SIBL
(10,3),(10,18),0.00595953 # DEPENDENCYPART_SIBL
(10,3),(10,19),0.00458739 # DEPENDENCYPART_SIBL
(10,3),(10,20),0.0659893 # DEPENDENCYPART_SIBL
(10,3),(10,21),-0.01155 # DEPENDENCYPART_SIBL
(10,4),(10,5),-0.0203267 # DEPENDENCYPART_SIBL
