# _root_ — A kérdés provokatív , ám — bár ezt senki nem mondta ki — a le nem fektetett etikai normákból kiolvasható , hogy egy MÁV-vezérnek nem illik lecövekelni egyetlen párt mellé sem .
#goldHeads=6,3,4,6,6,0,23,23,12,12,12,23,12,23,20,18,18,20,20,23,23,23,6,25,28,27,23,27,30,31,28,27,6,
#predictedHeads=8,3,8,8,8,8,12,0,12,12,12,8,12,12,20,18,18,20,20,21,23,23,8,25,27,27,23,27,30,31,28,12,8,
(11,7),(11,9),0.0729849 # DEPENDENCYPART_SIBL
(11,8),(11,9),0.116358 # DEPENDENCYPART_SIBL
(12,1),(12,2),-0.0774485 # DEPENDENCYPART_SIBL
(12,1),(12,3),-0.0276501 # DEPENDENCYPART_SIBL
(12,1),(12,4),0.0359817 # DEPENDENCYPART_SIBL
(12,1),(12,5),-0.0177409 # DEPENDENCYPART_SIBL
(12,1),(12,6),0.0833271 # DEPENDENCYPART_SIBL
(12,1),(12,7),0.822079 # DEPENDENCYPART_SIBL
(12,1),(12,8),0.0248469 # DEPENDENCYPART_SIBL
(12,1),(12,9),-0.0382992 # DEPENDENCYPART_SIBL
(12,1),(12,10),0.00312153 # DEPENDENCYPART_SIBL
(12,1),(12,11),0.0419409 # DEPENDENCYPART_SIBL
(12,1),(12,13),0.103947 # DEPENDENCYPART_SIBL
(12,1),(12,14),0.31004 # DEPENDENCYPART_SIBL
(12,1),(12,15),0.039814 # DEPENDENCYPART_SIBL
(12,1),(12,16),0.108068 # DEPENDENCYPART_SIBL
(12,1),(12,17),0.0595023 # DEPENDENCYPART_SIBL
(12,1),(12,18),0.0569876 # DEPENDENCYPART_SIBL
(12,1),(12,19),0.0569876 # DEPENDENCYPART_SIBL
(12,1),(12,20),0.147731 # DEPENDENCYPART_SIBL
(12,1),(12,21),0.0569876 # DEPENDENCYPART_SIBL
(12,1),(12,22),0.0817343 # DEPENDENCYPART_SIBL
(12,1),(12,23),0.0614065 # DEPENDENCYPART_SIBL
(12,1),(12,25),0.147731 # DEPENDENCYPART_SIBL
(12,1),(12,26),0.0595023 # DEPENDENCYPART_SIBL
(12,1),(12,27),0.0412084 # DEPENDENCYPART_SIBL
(12,1),(12,28),0.037341 # DEPENDENCYPART_SIBL
(12,1),(12,29),0.063465 # DEPENDENCYPART_SIBL
(12,1),(12,30),0.128286 # DEPENDENCYPART_SIBL
(12,1),(12,31),0.0580051 # DEPENDENCYPART_SIBL
(12,1),(12,32),0.0849204 # DEPENDENCYPART_SIBL
(12,1),(12,33),0.226998 # DEPENDENCYPART_SIBL
(12,2),(12,3),0.024315 # DEPENDENCYPART_SIBL
(12,2),(12,4),0.00228178 # DEPENDENCYPART_SIBL
(12,2),(12,5),-0.0209346 # DEPENDENCYPART_SIBL
(12,2),(12,6),0.0580473 # DEPENDENCYPART_SIBL
(12,2),(12,7),0.100826 # DEPENDENCYPART_SIBL
(12,2),(12,8),0.0551877 # DEPENDENCYPART_SIBL
(12,2),(12,9),-0.102282 # DEPENDENCYPART_SIBL
(12,2),(12,10),-0.0632007 # DEPENDENCYPART_SIBL
(12,2),(12,11),-0.0646788 # DEPENDENCYPART_SIBL
(12,2),(12,13),0.0334285 # DEPENDENCYPART_SIBL
(12,2),(12,14),-0.0536765 # DEPENDENCYPART_SIBL
(12,2),(12,15),0.0218439 # DEPENDENCYPART_SIBL
(12,2),(12,16),0.0177189 # DEPENDENCYPART_SIBL
(12,2),(12,17),-0.0141192 # DEPENDENCYPART_SIBL
(12,2),(12,18),0.010706 # DEPENDENCYPART_SIBL
(12,2),(12,19),0.010706 # DEPENDENCYPART_SIBL
(12,2),(12,20),-0.0215979 # DEPENDENCYPART_SIBL
(12,2),(12,21),0.010706 # DEPENDENCYPART_SIBL
(12,2),(12,22),-0.0233698 # DEPENDENCYPART_SIBL
(12,2),(12,23),-0.0153801 # DEPENDENCYPART_SIBL
(12,2),(12,25),-0.0215979 # DEPENDENCYPART_SIBL
(12,2),(12,26),-0.0141192 # DEPENDENCYPART_SIBL
(12,2),(12,27),-0.022054 # DEPENDENCYPART_SIBL
(12,2),(12,28),-0.0210643 # DEPENDENCYPART_SIBL
(12,2),(12,29),-0.014941 # DEPENDENCYPART_SIBL
(12,2),(12,30),-0.0336428 # DEPENDENCYPART_SIBL
(12,2),(12,31),0.0124112 # DEPENDENCYPART_SIBL
(12,2),(12,32),0.0222731 # DEPENDENCYPART_SIBL
(12,2),(12,33),-0.0668267 # DEPENDENCYPART_SIBL
(12,3),(12,4),-0.0156429 # DEPENDENCYPART_SIBL
(12,3),(12,5),0.00973478 # DEPENDENCYPART_SIBL
(12,3),(12,6),0.0173453 # DEPENDENCYPART_SIBL
(12,3),(12,7),-0.0142439 # DEPENDENCYPART_SIBL
(12,3),(12,8),0.0611302 # DEPENDENCYPART_SIBL
(12,3),(12,9),-0.104908 # DEPENDENCYPART_SIBL
(12,3),(12,10),-0.071315 # DEPENDENCYPART_SIBL
(12,3),(12,11),-0.0204879 # DEPENDENCYPART_SIBL
(12,3),(12,13),0.0392903 # DEPENDENCYPART_SIBL
(12,3),(12,14),-0.0256185 # DEPENDENCYPART_SIBL
(12,3),(12,15),-0.0691885 # DEPENDENCYPART_SIBL
(12,3),(12,16),-0.0435748 # DEPENDENCYPART_SIBL
(12,3),(12,17),-0.100167 # DEPENDENCYPART_SIBL
(12,3),(12,18),-0.0471944 # DEPENDENCYPART_SIBL
(12,3),(12,19),-0.0471944 # DEPENDENCYPART_SIBL
(12,3),(12,20),-0.0904815 # DEPENDENCYPART_SIBL
(12,3),(12,21),-0.0471944 # DEPENDENCYPART_SIBL
(12,3),(12,22),0.0062279 # DEPENDENCYPART_SIBL
(12,3),(12,23),-0.0369509 # DEPENDENCYPART_SIBL
(12,3),(12,25),-0.0904815 # DEPENDENCYPART_SIBL
(12,3),(12,26),-0.100167 # DEPENDENCYPART_SIBL
(12,3),(12,27),-0.0588677 # DEPENDENCYPART_SIBL
(12,3),(12,28),-0.0578458 # DEPENDENCYPART_SIBL
(12,3),(12,29),-0.045888 # DEPENDENCYPART_SIBL
(12,3),(12,30),-0.124166 # DEPENDENCYPART_SIBL
(12,3),(12,31),-0.0405748 # DEPENDENCYPART_SIBL
(12,3),(12,32),-0.0439156 # DEPENDENCYPART_SIBL
(12,3),(12,33),-0.037754 # DEPENDENCYPART_SIBL
(12,4),(12,5),0.0275446 # DEPENDENCYPART_SIBL
(12,4),(12,6),0.0955152 # DEPENDENCYPART_SIBL
(12,4),(12,7),0.126012 # DEPENDENCYPART_SIBL
(12,4),(12,8),0.0874532 # DEPENDENCYPART_SIBL
(12,4),(12,9),-0.0738994 # DEPENDENCYPART_SIBL
(12,4),(12,10),-0.0308161 # DEPENDENCYPART_SIBL
(12,4),(12,11),-0.0264 # DEPENDENCYPART_SIBL
(12,4),(12,13),0.0245425 # DEPENDENCYPART_SIBL
(12,4),(12,14),-0.0429529 # DEPENDENCYPART_SIBL
(12,4),(12,15),-0.00943813 # DEPENDENCYPART_SIBL
(12,4),(12,16),0.0113529 # DEPENDENCYPART_SIBL
(12,4),(12,17),-0.00669433 # DEPENDENCYPART_SIBL
(12,4),(12,18),-0.0244143 # DEPENDENCYPART_SIBL
(12,4),(12,19),-0.0244143 # DEPENDENCYPART_SIBL
(12,4),(12,20),0.0123895 # DEPENDENCYPART_SIBL
(12,4),(12,21),-0.0244143 # DEPENDENCYPART_SIBL
(12,4),(12,22),0.0175377 # DEPENDENCYPART_SIBL
(12,4),(12,23),0.0452564 # DEPENDENCYPART_SIBL
(12,4),(12,25),0.0123895 # DEPENDENCYPART_SIBL
(12,4),(12,26),-0.00669433 # DEPENDENCYPART_SIBL
(12,4),(12,27),-0.0133652 # DEPENDENCYPART_SIBL
(12,4),(12,28),-0.0123721 # DEPENDENCYPART_SIBL
(12,4),(12,29),0.0195036 # DEPENDENCYPART_SIBL
(12,4),(12,30),0.000462393 # DEPENDENCYPART_SIBL
(12,4),(12,31),0.0260073 # DEPENDENCYPART_SIBL
(12,4),(12,32),0.0244445 # DEPENDENCYPART_SIBL
(12,4),(12,33),0.000970152 # DEPENDENCYPART_SIBL
(12,5),(12,6),0.139764 # DEPENDENCYPART_SIBL
(12,5),(12,7),0.0436931 # DEPENDENCYPART_SIBL
(12,5),(12,8),0.0696377 # DEPENDENCYPART_SIBL
(12,5),(12,9),-0.0487975 # DEPENDENCYPART_SIBL
(12,5),(12,10),0.0219656 # DEPENDENCYPART_SIBL
(12,5),(12,11),0.0246433 # DEPENDENCYPART_SIBL
(12,5),(12,13),0.00879639 # DEPENDENCYPART_SIBL
(12,5),(12,14),-0.0414689 # DEPENDENCYPART_SIBL
(12,5),(12,15),-0.00410769 # DEPENDENCYPART_SIBL
(12,5),(12,16),0.0342182 # DEPENDENCYPART_SIBL
(12,5),(12,17),-0.00378438 # DEPENDENCYPART_SIBL
(12,5),(12,18),0.00540065 # DEPENDENCYPART_SIBL
(12,5),(12,19),0.00540065 # DEPENDENCYPART_SIBL
(12,5),(12,20),0.00252358 # DEPENDENCYPART_SIBL
(12,5),(12,21),0.00540065 # DEPENDENCYPART_SIBL
(12,5),(12,22),0.00930005 # DEPENDENCYPART_SIBL
(12,5),(12,23),0.0162588 # DEPENDENCYPART_SIBL
(12,5),(12,25),0.00252358 # DEPENDENCYPART_SIBL
(12,5),(12,26),-0.00378438 # DEPENDENCYPART_SIBL
(12,5),(12,27),-0.00324261 # DEPENDENCYPART_SIBL
(12,5),(12,28),-0.0119673 # DEPENDENCYPART_SIBL
(12,5),(12,29),0.0259203 # DEPENDENCYPART_SIBL
(12,5),(12,30),-0.015778 # DEPENDENCYPART_SIBL
(12,5),(12,31),0.0270392 # DEPENDENCYPART_SIBL
(12,5),(12,32),0.0178564 # DEPENDENCYPART_SIBL
(12,5),(12,33),0.0507079 # DEPENDENCYPART_SIBL
(12,6),(12,7),-0.010048 # DEPENDENCYPART_SIBL
(12,6),(12,8),-0.082097 # DEPENDENCYPART_SIBL
(12,6),(12,9),-0.155668 # DEPENDENCYPART_SIBL
(12,6),(12,10),-0.0880455 # DEPENDENCYPART_SIBL
(12,6),(12,11),-0.0999847 # DEPENDENCYPART_SIBL
(12,6),(12,13),0.0450351 # DEPENDENCYPART_SIBL
(12,6),(12,14),0.030522 # DEPENDENCYPART_SIBL
(12,6),(12,15),0.00108801 # DEPENDENCYPART_SIBL
(12,6),(12,16),0.0230567 # DEPENDENCYPART_SIBL
(12,6),(12,17),0.0150553 # DEPENDENCYPART_SIBL
(12,6),(12,18),0.0198883 # DEPENDENCYPART_SIBL
(12,6),(12,19),0.0198883 # DEPENDENCYPART_SIBL
(12,6),(12,20),0.0447025 # DEPENDENCYPART_SIBL
(12,6),(12,21),0.0198883 # DEPENDENCYPART_SIBL
(12,6),(12,22),0.0451041 # DEPENDENCYPART_SIBL
(12,6),(12,23),0.0504989 # DEPENDENCYPART_SIBL
(12,6),(12,25),0.0447025 # DEPENDENCYPART_SIBL
(12,6),(12,26),0.0150553 # DEPENDENCYPART_SIBL
(12,6),(12,27),0.0222502 # DEPENDENCYPART_SIBL
(12,6),(12,28),0.0178288 # DEPENDENCYPART_SIBL
(12,6),(12,29),0.0419506 # DEPENDENCYPART_SIBL
(12,6),(12,30),0.0252575 # DEPENDENCYPART_SIBL
(12,6),(12,31),0.0409333 # DEPENDENCYPART_SIBL
(12,6),(12,32),0.0271057 # DEPENDENCYPART_SIBL
(12,6),(12,33),0.0748299 # DEPENDENCYPART_SIBL
(12,7),(12,8),0.0248469 # DEPENDENCYPART_SIBL
(12,7),(12,9),-0.0382992 # DEPENDENCYPART_SIBL
(12,7),(12,10),0.00312153 # DEPENDENCYPART_SIBL
(12,7),(12,11),0.0419409 # DEPENDENCYPART_SIBL
(12,7),(12,13),0.103947 # DEPENDENCYPART_SIBL
(12,7),(12,14),0.31004 # DEPENDENCYPART_SIBL
(12,7),(12,15),0.039814 # DEPENDENCYPART_SIBL
(12,7),(12,16),0.108068 # DEPENDENCYPART_SIBL
(12,7),(12,17),0.0595023 # DEPENDENCYPART_SIBL
(12,7),(12,18),0.0569876 # DEPENDENCYPART_SIBL
(12,7),(12,19),0.0569876 # DEPENDENCYPART_SIBL
(12,7),(12,20),0.147731 # DEPENDENCYPART_SIBL
(12,7),(12,21),0.0569876 # DEPENDENCYPART_SIBL
(12,7),(12,22),0.0817343 # DEPENDENCYPART_SIBL
(12,7),(12,23),0.0614065 # DEPENDENCYPART_SIBL
(12,7),(12,25),0.147731 # DEPENDENCYPART_SIBL
(12,7),(12,26),0.0595023 # DEPENDENCYPART_SIBL
(12,7),(12,27),0.0412084 # DEPENDENCYPART_SIBL
(12,7),(12,28),0.037341 # DEPENDENCYPART_SIBL
(12,7),(12,29),0.063465 # DEPENDENCYPART_SIBL
(12,7),(12,30),0.128286 # DEPENDENCYPART_SIBL
(12,7),(12,31),0.0580051 # DEPENDENCYPART_SIBL
(12,7),(12,32),0.0849204 # DEPENDENCYPART_SIBL
(12,7),(12,33),0.226998 # DEPENDENCYPART_SIBL
(12,8),(12,9),-0.0784755 # DEPENDENCYPART_SIBL
(12,8),(12,10),-0.0122172 # DEPENDENCYPART_SIBL
(12,8),(12,11),0.00126687 # DEPENDENCYPART_SIBL
(12,8),(12,13),0.0616128 # DEPENDENCYPART_SIBL
(12,8),(12,14),0.0105729 # DEPENDENCYPART_SIBL
(12,8),(12,15),-0.00551653 # DEPENDENCYPART_SIBL
(12,8),(12,16),0.0373505 # DEPENDENCYPART_SIBL
(12,8),(12,17),0.0293079 # DEPENDENCYPART_SIBL
(12,8),(12,18),0.00829438 # DEPENDENCYPART_SIBL
(12,8),(12,19),0.00829438 # DEPENDENCYPART_SIBL
(12,8),(12,20),0.0408951 # DEPENDENCYPART_SIBL
(12,8),(12,21),0.00829438 # DEPENDENCYPART_SIBL
(12,8),(12,22),0.0125918 # DEPENDENCYPART_SIBL
(12,8),(12,23),0.0669745 # DEPENDENCYPART_SIBL
(12,8),(12,25),0.0408951 # DEPENDENCYPART_SIBL
(12,8),(12,26),0.0293079 # DEPENDENCYPART_SIBL
(12,8),(12,27),0.0028202 # DEPENDENCYPART_SIBL
(12,8),(12,28),-0.00160123 # DEPENDENCYPART_SIBL
(12,8),(12,29),0.038909 # DEPENDENCYPART_SIBL
(12,8),(12,30),0.0214502 # DEPENDENCYPART_SIBL
(12,8),(12,31),0.0409296 # DEPENDENCYPART_SIBL
(12,8),(12,32),0.0413949 # DEPENDENCYPART_SIBL
(12,8),(12,33),0.0676273 # DEPENDENCYPART_SIBL
(12,9),(12,10),-0.156686 # DEPENDENCYPART_SIBL
(12,9),(12,11),-0.0287654 # DEPENDENCYPART_SIBL
(12,9),(12,13),0.0150612 # DEPENDENCYPART_SIBL
(12,9),(12,14),-0.105536 # DEPENDENCYPART_SIBL
(12,9),(12,15),-0.0593286 # DEPENDENCYPART_SIBL
(12,9),(12,16),0.00129414 # DEPENDENCYPART_SIBL
(12,9),(12,17),-0.0371859 # DEPENDENCYPART_SIBL
(12,9),(12,18),-0.0640837 # DEPENDENCYPART_SIBL
(12,9),(12,19),-0.0640837 # DEPENDENCYPART_SIBL
(12,9),(12,20),-0.0594581 # DEPENDENCYPART_SIBL
(12,9),(12,21),-0.0640837 # DEPENDENCYPART_SIBL
(12,9),(12,22),-0.121709 # DEPENDENCYPART_SIBL
(12,9),(12,23),-0.00596933 # DEPENDENCYPART_SIBL
(12,9),(12,25),-0.0594581 # DEPENDENCYPART_SIBL
(12,9),(12,26),-0.0371859 # DEPENDENCYPART_SIBL
(12,9),(12,27),-0.128727 # DEPENDENCYPART_SIBL
(12,9),(12,28),-0.127737 # DEPENDENCYPART_SIBL
(12,9),(12,29),-0.0441189 # DEPENDENCYPART_SIBL
(12,9),(12,30),-0.0784086 # DEPENDENCYPART_SIBL
(12,9),(12,31),0.00304711 # DEPENDENCYPART_SIBL
(12,9),(12,32),-0.00245628 # DEPENDENCYPART_SIBL
(12,9),(12,33),-0.056678 # DEPENDENCYPART_SIBL
(12,10),(12,11),0.0214475 # DEPENDENCYPART_SIBL
(12,10),(12,13),0.0359244 # DEPENDENCYPART_SIBL
(12,10),(12,14),-0.0665419 # DEPENDENCYPART_SIBL
(12,10),(12,15),-0.0236303 # DEPENDENCYPART_SIBL
(12,10),(12,16),0.0253793 # DEPENDENCYPART_SIBL
(12,10),(12,17),-0.0133394 # DEPENDENCYPART_SIBL
(12,10),(12,18),-0.0243123 # DEPENDENCYPART_SIBL
(12,10),(12,19),-0.0243123 # DEPENDENCYPART_SIBL
(12,10),(12,20),-0.0157037 # DEPENDENCYPART_SIBL
(12,10),(12,21),-0.0243123 # DEPENDENCYPART_SIBL
(12,10),(12,22),-0.0427054 # DEPENDENCYPART_SIBL
(12,10),(12,23),0.042429 # DEPENDENCYPART_SIBL
(12,10),(12,25),-0.0157037 # DEPENDENCYPART_SIBL
(12,10),(12,26),-0.0133394 # DEPENDENCYPART_SIBL
(12,10),(12,27),-0.0848453 # DEPENDENCYPART_SIBL
(12,10),(12,28),-0.0838556 # DEPENDENCYPART_SIBL
(12,10),(12,29),-0.0143078 # DEPENDENCYPART_SIBL
(12,10),(12,30),-0.0346542 # DEPENDENCYPART_SIBL
(12,10),(12,31),0.0367716 # DEPENDENCYPART_SIBL
(12,10),(12,32),0.0216402 # DEPENDENCYPART_SIBL
(12,10),(12,33),-0.00292639 # DEPENDENCYPART_SIBL
(12,11),(12,13),0.121256 # DEPENDENCYPART_SIBL
(12,11),(12,14),-0.0353668 # DEPENDENCYPART_SIBL
(12,11),(12,15),-0.075757 # DEPENDENCYPART_SIBL
(12,11),(12,16),0.0556265 # DEPENDENCYPART_SIBL
(12,11),(12,17),0.0159871 # DEPENDENCYPART_SIBL
(12,11),(12,18),0.0190173 # DEPENDENCYPART_SIBL
(12,11),(12,19),0.0190173 # DEPENDENCYPART_SIBL
(12,11),(12,20),-0.0058578 # DEPENDENCYPART_SIBL
(12,11),(12,21),0.0190173 # DEPENDENCYPART_SIBL
(12,11),(12,22),0.000383349 # DEPENDENCYPART_SIBL
(12,11),(12,23),0.0418272 # DEPENDENCYPART_SIBL
(12,11),(12,25),-0.0058578 # DEPENDENCYPART_SIBL
(12,11),(12,26),0.0159871 # DEPENDENCYPART_SIBL
(12,11),(12,27),0.0369246 # DEPENDENCYPART_SIBL
(12,11),(12,28),0.041454 # DEPENDENCYPART_SIBL
(12,11),(12,29),0.00627768 # DEPENDENCYPART_SIBL
(12,11),(12,30),-0.0289106 # DEPENDENCYPART_SIBL
(12,11),(12,31),0.0415609 # DEPENDENCYPART_SIBL
(12,11),(12,32),0.167028 # DEPENDENCYPART_SIBL
(12,11),(12,33),-0.0370036 # DEPENDENCYPART_SIBL
(12,13),(12,14),0.0245243 # DEPENDENCYPART_SIBL
(12,13),(12,15),0.0806479 # DEPENDENCYPART_SIBL
(12,13),(12,16),-0.0135186 # DEPENDENCYPART_SIBL
(12,13),(12,17),0.000577446 # DEPENDENCYPART_SIBL
(12,13),(12,18),0.0909447 # DEPENDENCYPART_SIBL
(12,13),(12,19),0.0909447 # DEPENDENCYPART_SIBL
(12,13),(12,20),0.0467006 # DEPENDENCYPART_SIBL
(12,13),(12,21),0.0909447 # DEPENDENCYPART_SIBL
(12,13),(12,22),0.0804396 # DEPENDENCYPART_SIBL
(12,13),(12,23),0.0942993 # DEPENDENCYPART_SIBL
(12,13),(12,25),0.0467006 # DEPENDENCYPART_SIBL
(12,13),(12,26),0.000577446 # DEPENDENCYPART_SIBL
(12,13),(12,27),0.0119232 # DEPENDENCYPART_SIBL
(12,13),(12,28),0.0150683 # DEPENDENCYPART_SIBL
(12,13),(12,29),0.011803 # DEPENDENCYPART_SIBL
(12,13),(12,30),0.0445669 # DEPENDENCYPART_SIBL
(12,13),(12,31),0.0360378 # DEPENDENCYPART_SIBL
(12,13),(12,32),0.0593918 # DEPENDENCYPART_SIBL
(12,13),(12,33),0.0893312 # DEPENDENCYPART_SIBL
(12,14),(12,15),0.0600395 # DEPENDENCYPART_SIBL
(12,14),(12,16),0.00567566 # DEPENDENCYPART_SIBL
(12,14),(12,17),0.0416218 # DEPENDENCYPART_SIBL
(12,14),(12,18),0.0160394 # DEPENDENCYPART_SIBL
(12,14),(12,19),0.0160394 # DEPENDENCYPART_SIBL
(12,14),(12,20),-0.00359035 # DEPENDENCYPART_SIBL
(12,14),(12,21),0.0160394 # DEPENDENCYPART_SIBL
(12,14),(12,22),-0.0346625 # DEPENDENCYPART_SIBL
(12,14),(12,23),0.189831 # DEPENDENCYPART_SIBL
(12,14),(12,25),-0.00359035 # DEPENDENCYPART_SIBL
(12,14),(12,26),0.0416218 # DEPENDENCYPART_SIBL
(12,14),(12,27),-0.0365403 # DEPENDENCYPART_SIBL
(12,14),(12,28),-0.0291766 # DEPENDENCYPART_SIBL
(12,14),(12,29),0.00267394 # DEPENDENCYPART_SIBL
(12,14),(12,30),-0.0116661 # DEPENDENCYPART_SIBL
(12,14),(12,31),-0.0224006 # DEPENDENCYPART_SIBL
(12,14),(12,32),0.0323264 # DEPENDENCYPART_SIBL
(12,14),(12,33),-0.0203914 # DEPENDENCYPART_SIBL
(12,15),(12,16),-0.0186124 # DEPENDENCYPART_SIBL
(12,15),(12,17),0.0021048 # DEPENDENCYPART_SIBL
(12,15),(12,18),-0.0101263 # DEPENDENCYPART_SIBL
(12,15),(12,19),-0.0101263 # DEPENDENCYPART_SIBL
(12,15),(12,20),0.00236532 # DEPENDENCYPART_SIBL
(12,15),(12,21),-0.0101263 # DEPENDENCYPART_SIBL
(12,15),(12,22),-0.00587155 # DEPENDENCYPART_SIBL
(12,15),(12,23),0.068052 # DEPENDENCYPART_SIBL
(12,15),(12,25),0.00236532 # DEPENDENCYPART_SIBL
(12,15),(12,26),0.0021048 # DEPENDENCYPART_SIBL
(12,15),(12,27),-0.0519169 # DEPENDENCYPART_SIBL
(12,15),(12,28),-0.0487719 # DEPENDENCYPART_SIBL
(12,15),(12,29),-0.00229296 # DEPENDENCYPART_SIBL
(12,15),(12,30),0.000755542 # DEPENDENCYPART_SIBL
(12,15),(12,31),-0.0212385 # DEPENDENCYPART_SIBL
(12,15),(12,32),0.00671429 # DEPENDENCYPART_SIBL
(12,15),(12,33),-0.0162375 # DEPENDENCYPART_SIBL
(12,16),(12,17),0.0131815 # DEPENDENCYPART_SIBL
(12,16),(12,18),0.0563634 # DEPENDENCYPART_SIBL
(12,16),(12,19),0.0563634 # DEPENDENCYPART_SIBL
(12,16),(12,20),0.0151497 # DEPENDENCYPART_SIBL
(12,16),(12,21),0.0563634 # DEPENDENCYPART_SIBL
(12,16),(12,22),0.0465358 # DEPENDENCYPART_SIBL
(12,16),(12,23),0.0783755 # DEPENDENCYPART_SIBL
(12,16),(12,25),0.0151497 # DEPENDENCYPART_SIBL
(12,16),(12,26),0.0131815 # DEPENDENCYPART_SIBL
(12,16),(12,27),-0.0460763 # DEPENDENCYPART_SIBL
(12,16),(12,28),-0.0429312 # DEPENDENCYPART_SIBL
(12,16),(12,29),0.00110046 # DEPENDENCYPART_SIBL
(12,16),(12,30),0.0130161 # DEPENDENCYPART_SIBL
(12,16),(12,31),0.00573255 # DEPENDENCYPART_SIBL
(12,16),(12,32),0.0638075 # DEPENDENCYPART_SIBL
(12,16),(12,33),0.00702424 # DEPENDENCYPART_SIBL
(12,17),(12,18),0.0915802 # DEPENDENCYPART_SIBL
(12,17),(12,19),0.0915802 # DEPENDENCYPART_SIBL
(12,17),(12,20),0.0309511 # DEPENDENCYPART_SIBL
(12,17),(12,21),0.0915802 # DEPENDENCYPART_SIBL
(12,17),(12,22),0.0361689 # DEPENDENCYPART_SIBL
(12,17),(12,23),0.0627804 # DEPENDENCYPART_SIBL
(12,17),(12,25),0.0309511 # DEPENDENCYPART_SIBL
(12,17),(12,26),0.0413579 # DEPENDENCYPART_SIBL
(12,17),(12,27),-0.0317636 # DEPENDENCYPART_SIBL
(12,17),(12,28),-0.0286185 # DEPENDENCYPART_SIBL
(12,17),(12,29),0.000485044 # DEPENDENCYPART_SIBL
(12,17),(12,30),0.0288175 # DEPENDENCYPART_SIBL
(12,17),(12,31),0.0149399 # DEPENDENCYPART_SIBL
(12,17),(12,32),0.0982601 # DEPENDENCYPART_SIBL
(12,17),(12,33),0.0283606 # DEPENDENCYPART_SIBL
(12,18),(12,19),-0.026371 # DEPENDENCYPART_SIBL
(12,18),(12,20),-0.0240782 # DEPENDENCYPART_SIBL
(12,18),(12,21),-0.026371 # DEPENDENCYPART_SIBL
(12,18),(12,22),0.0146175 # DEPENDENCYPART_SIBL
(12,18),(12,23),0.0735736 # DEPENDENCYPART_SIBL
(12,18),(12,25),-0.0240782 # DEPENDENCYPART_SIBL
(12,18),(12,26),0.0092491 # DEPENDENCYPART_SIBL
(12,18),(12,27),-0.0385743 # DEPENDENCYPART_SIBL
(12,18),(12,28),-0.0354292 # DEPENDENCYPART_SIBL
(12,18),(12,29),-0.00510075 # DEPENDENCYPART_SIBL
(12,18),(12,30),-0.0258126 # DEPENDENCYPART_SIBL
(12,18),(12,31),-0.0162675 # DEPENDENCYPART_SIBL
(12,18),(12,32),0.0232134 # DEPENDENCYPART_SIBL
(12,18),(12,33),0.0133521 # DEPENDENCYPART_SIBL
(12,19),(12,20),-0.0240782 # DEPENDENCYPART_SIBL
(12,19),(12,21),-0.026371 # DEPENDENCYPART_SIBL
(12,19),(12,22),0.0146175 # DEPENDENCYPART_SIBL
(12,19),(12,23),0.0735736 # DEPENDENCYPART_SIBL
(12,19),(12,25),-0.0240782 # DEPENDENCYPART_SIBL
(12,19),(12,26),0.0092491 # DEPENDENCYPART_SIBL
(12,19),(12,27),-0.0385743 # DEPENDENCYPART_SIBL
(12,19),(12,28),-0.0354292 # DEPENDENCYPART_SIBL
(12,19),(12,29),-0.00510075 # DEPENDENCYPART_SIBL
(12,19),(12,30),-0.0258126 # DEPENDENCYPART_SIBL
(12,19),(12,31),-0.0162675 # DEPENDENCYPART_SIBL
(12,19),(12,32),0.0232134 # DEPENDENCYPART_SIBL
(12,19),(12,33),0.0133521 # DEPENDENCYPART_SIBL
(12,20),(12,21),0.0422245 # DEPENDENCYPART_SIBL
(12,20),(12,22),0.0704883 # DEPENDENCYPART_SIBL
(12,20),(12,23),0.0495471 # DEPENDENCYPART_SIBL
(12,20),(12,25),-0.00719123 # DEPENDENCYPART_SIBL
(12,20),(12,26),0.017936 # DEPENDENCYPART_SIBL
(12,20),(12,27),-0.016479 # DEPENDENCYPART_SIBL
(12,20),(12,28),-0.0126311 # DEPENDENCYPART_SIBL
(12,20),(12,29),0.00623497 # DEPENDENCYPART_SIBL
(12,20),(12,30),-0.00757113 # DEPENDENCYPART_SIBL
(12,20),(12,31),-0.00227651 # DEPENDENCYPART_SIBL
(12,20),(12,32),0.0453359 # DEPENDENCYPART_SIBL
(12,20),(12,33),0.0711747 # DEPENDENCYPART_SIBL
(12,21),(12,22),0.0146175 # DEPENDENCYPART_SIBL
(12,21),(12,23),0.0735736 # DEPENDENCYPART_SIBL
(12,21),(12,25),-0.0240782 # DEPENDENCYPART_SIBL
(12,21),(12,26),0.0092491 # DEPENDENCYPART_SIBL
(12,21),(12,27),-0.0385743 # DEPENDENCYPART_SIBL
(12,21),(12,28),-0.0354292 # DEPENDENCYPART_SIBL
(12,21),(12,29),-0.00510075 # DEPENDENCYPART_SIBL
(12,21),(12,30),-0.0258126 # DEPENDENCYPART_SIBL
(12,21),(12,31),-0.0162675 # DEPENDENCYPART_SIBL
(12,21),(12,32),0.0232134 # DEPENDENCYPART_SIBL
(12,21),(12,33),0.0133521 # DEPENDENCYPART_SIBL
(12,22),(12,23),0.773354 # DEPENDENCYPART_SIBL
