# _root_ Azt azonban elárulja , hogy az áremelés lehetetlen helyzetbe hozná a csapat költségvetését , hiszen a teljes kézilabdapénz egynegyedét a két kubai játékosra kellene fordítani .
#goldHeads=3,3,0,3,3,7,10,9,10,1,12,13,10,1,1,18,18,19,25,23,23,23,25,1,24,3,
#predictedHeads=3,3,0,3,3,7,10,9,10,1,12,13,10,15,0,18,18,19,24,23,23,23,25,1,24,15,
(10,14),(10,23),0.0690573 # DEPENDENCYPART_SIBL
(10,14),(10,24),0.182561 # DEPENDENCYPART_SIBL
(10,14),(10,25),0.188177 # DEPENDENCYPART_SIBL
(10,14),(10,26),0.0300287 # DEPENDENCYPART_SIBL
(10,15),(10,16),0.0558859 # DEPENDENCYPART_SIBL
(10,15),(10,17),0.0435889 # DEPENDENCYPART_SIBL
(10,15),(10,18),0.0198388 # DEPENDENCYPART_SIBL
(10,15),(10,21),-0.016896 # DEPENDENCYPART_SIBL
(10,15),(10,22),0.0436301 # DEPENDENCYPART_SIBL
(10,15),(10,23),0.0198388 # DEPENDENCYPART_SIBL
(10,15),(10,24),-0.00355768 # DEPENDENCYPART_SIBL
(10,15),(10,25),0.00996386 # DEPENDENCYPART_SIBL
(10,15),(10,26),-0.0239846 # DEPENDENCYPART_SIBL
(10,16),(10,17),-0.0102808 # DEPENDENCYPART_SIBL
(10,16),(10,18),0.0103007 # DEPENDENCYPART_SIBL
(10,16),(10,21),-0.00887605 # DEPENDENCYPART_SIBL
(10,16),(10,22),-0.0102764 # DEPENDENCYPART_SIBL
(10,16),(10,23),0.0103007 # DEPENDENCYPART_SIBL
(10,16),(10,24),-0.0407944 # DEPENDENCYPART_SIBL
(10,16),(10,25),-0.036042 # DEPENDENCYPART_SIBL
(10,16),(10,26),-0.0372591 # DEPENDENCYPART_SIBL
(10,17),(10,18),-0.0280891 # DEPENDENCYPART_SIBL
(10,17),(10,21),-0.0211407 # DEPENDENCYPART_SIBL
(10,17),(10,22),-0.037456 # DEPENDENCYPART_SIBL
(10,17),(10,23),-0.0280891 # DEPENDENCYPART_SIBL
(10,17),(10,24),-0.0368467 # DEPENDENCYPART_SIBL
(10,17),(10,25),-0.0321099 # DEPENDENCYPART_SIBL
(10,17),(10,26),-0.0245423 # DEPENDENCYPART_SIBL
(10,18),(10,21),-0.0200972 # DEPENDENCYPART_SIBL
(10,18),(10,22),0.0208557 # DEPENDENCYPART_SIBL
(10,18),(10,23),-0.0247816 # DEPENDENCYPART_SIBL
(10,18),(10,24),-0.0346906 # DEPENDENCYPART_SIBL
(10,18),(10,25),-0.0238313 # DEPENDENCYPART_SIBL
(10,18),(10,26),-0.0163052 # DEPENDENCYPART_SIBL
(10,21),(10,22),0.00224215 # DEPENDENCYPART_SIBL
(10,21),(10,23),-0.0211147 # DEPENDENCYPART_SIBL
(10,21),(10,24),-0.0218592 # DEPENDENCYPART_SIBL
(10,21),(10,25),-0.0171254 # DEPENDENCYPART_SIBL
(10,21),(10,26),-0.0110978 # DEPENDENCYPART_SIBL
(10,22),(10,23),-0.0251338 # DEPENDENCYPART_SIBL
(10,22),(10,24),-0.0350244 # DEPENDENCYPART_SIBL
(10,22),(10,25),-0.0302877 # DEPENDENCYPART_SIBL
(10,22),(10,26),-0.0203811 # DEPENDENCYPART_SIBL
(10,23),(10,24),-0.0346906 # DEPENDENCYPART_SIBL
(10,23),(10,25),-0.0238313 # DEPENDENCYPART_SIBL
(10,23),(10,26),-0.0163052 # DEPENDENCYPART_SIBL
(10,24),(10,25),0.00046696 # DEPENDENCYPART_SIBL
(10,24),(10,26),-0.0043657 # DEPENDENCYPART_SIBL
(10,25),(10,26),0.0150436 # DEPENDENCYPART_SIBL
(12,6),(12,11),-0.544098 # DEPENDENCYPART_SIBL
(12,6),(12,19),-0.0198246 # DEPENDENCYPART_SIBL
(12,11),(12,19),-0.0176286 # DEPENDENCYPART_SIBL
(13,6),(13,7),0.000855671 # DEPENDENCYPART_SIBL
(13,6),(13,8),0.203202 # DEPENDENCYPART_SIBL
(13,6),(13,9),0.000848547 # DEPENDENCYPART_SIBL
(13,6),(13,11),-0.542227 # DEPENDENCYPART_SIBL
(13,6),(13,12),0.000855671 # DEPENDENCYPART_SIBL
(13,6),(13,14),-0.0165824 # DEPENDENCYPART_SIBL
(13,6),(13,18),-0.00571552 # DEPENDENCYPART_SIBL
(13,6),(13,19),-0.0198246 # DEPENDENCYPART_SIBL
(13,6),(13,23),-0.00571552 # DEPENDENCYPART_SIBL
(13,6),(13,24),-0.0135084 # DEPENDENCYPART_SIBL
(13,6),(13,25),-0.0121058 # DEPENDENCYPART_SIBL
(13,6),(13,26),-0.0202729 # DEPENDENCYPART_SIBL
(13,7),(13,8),0.0467096 # DEPENDENCYPART_SIBL
(13,7),(13,9),-0.0132429 # DEPENDENCYPART_SIBL
(13,7),(13,11),-0.317123 # DEPENDENCYPART_SIBL
(13,7),(13,12),-0.0183925 # DEPENDENCYPART_SIBL
(13,7),(13,14),-0.00283849 # DEPENDENCYPART_SIBL
(13,7),(13,18),0.00337853 # DEPENDENCYPART_SIBL
(13,7),(13,19),0.0566582 # DEPENDENCYPART_SIBL
(13,7),(13,23),0.00337853 # DEPENDENCYPART_SIBL
(13,7),(13,24),0.00730119 # DEPENDENCYPART_SIBL
(13,7),(13,25),0.00660304 # DEPENDENCYPART_SIBL
(13,7),(13,26),0.041682 # DEPENDENCYPART_SIBL
(13,8),(13,9),-0.0041637 # DEPENDENCYPART_SIBL
(13,8),(13,11),-0.675213 # DEPENDENCYPART_SIBL
(13,8),(13,12),-0.0062718 # DEPENDENCYPART_SIBL
(13,8),(13,14),-0.0302964 # DEPENDENCYPART_SIBL
(13,8),(13,18),-0.00984126 # DEPENDENCYPART_SIBL
(13,8),(13,19),0.00488317 # DEPENDENCYPART_SIBL
(13,8),(13,23),-0.00984126 # DEPENDENCYPART_SIBL
(13,8),(13,24),-0.0341308 # DEPENDENCYPART_SIBL
(13,8),(13,25),-0.035194 # DEPENDENCYPART_SIBL
(13,8),(13,26),-0.00923298 # DEPENDENCYPART_SIBL
(13,9),(13,11),-0.317164 # DEPENDENCYPART_SIBL
(13,9),(13,12),-0.0192618 # DEPENDENCYPART_SIBL
(13,9),(13,14),0.0120796 # DEPENDENCYPART_SIBL
(13,9),(13,18),0.00353536 # DEPENDENCYPART_SIBL
(13,9),(13,19),0.0561826 # DEPENDENCYPART_SIBL
(13,9),(13,23),0.00353536 # DEPENDENCYPART_SIBL
(13,9),(13,24),0.00497351 # DEPENDENCYPART_SIBL
(13,9),(13,25),0.00427535 # DEPENDENCYPART_SIBL
(13,9),(13,26),0.0472805 # DEPENDENCYPART_SIBL
(13,11),(13,12),0.0129961 # DEPENDENCYPART_SIBL
(13,11),(13,14),-0.00907785 # DEPENDENCYPART_SIBL
(13,11),(13,18),-0.00331961 # DEPENDENCYPART_SIBL
(13,11),(13,19),-0.0176286 # DEPENDENCYPART_SIBL
(13,11),(13,23),-0.00331961 # DEPENDENCYPART_SIBL
(13,11),(13,24),0.00836928 # DEPENDENCYPART_SIBL
(13,11),(13,25),0.00861637 # DEPENDENCYPART_SIBL
(13,11),(13,26),-0.0285178 # DEPENDENCYPART_SIBL
(13,12),(13,14),-0.00284324 # DEPENDENCYPART_SIBL
(13,12),(13,18),0.00263016 # DEPENDENCYPART_SIBL
(13,12),(13,19),0.0566582 # DEPENDENCYPART_SIBL
(13,12),(13,23),0.00263016 # DEPENDENCYPART_SIBL
(13,12),(13,24),0.00729655 # DEPENDENCYPART_SIBL
(13,12),(13,25),0.0065984 # DEPENDENCYPART_SIBL
(13,12),(13,26),0.0402343 # DEPENDENCYPART_SIBL
(13,14),(13,18),0.342981 # DEPENDENCYPART_SIBL
(13,14),(13,19),0.16283 # DEPENDENCYPART_SIBL
(13,14),(13,23),0.342981 # DEPENDENCYPART_SIBL
(13,14),(13,24),0.425014 # DEPENDENCYPART_SIBL
(13,14),(13,25),0.425607 # DEPENDENCYPART_SIBL
(13,14),(13,26),0.0787788 # DEPENDENCYPART_SIBL
(13,18),(13,19),0.0309029 # DEPENDENCYPART_SIBL
(13,18),(13,23),0.00471394 # DEPENDENCYPART_SIBL
(13,18),(13,24),0.0545235 # DEPENDENCYPART_SIBL
(13,18),(13,25),0.0581733 # DEPENDENCYPART_SIBL
(13,18),(13,26),0.0485651 # DEPENDENCYPART_SIBL
(13,19),(13,23),0.025387 # DEPENDENCYPART_SIBL
(13,19),(13,24),0.0505949 # DEPENDENCYPART_SIBL
(13,19),(13,25),0.0508503 # DEPENDENCYPART_SIBL
(13,19),(13,26),0.120833 # DEPENDENCYPART_SIBL
(13,23),(13,24),0.0545235 # DEPENDENCYPART_SIBL
(13,23),(13,25),0.0581733 # DEPENDENCYPART_SIBL
(13,23),(13,26),0.0485651 # DEPENDENCYPART_SIBL
(13,24),(13,25),0.0524706 # DEPENDENCYPART_SIBL
(13,24),(13,26),0.20074 # DEPENDENCYPART_SIBL
(13,25),(13,26),0.213995 # DEPENDENCYPART_SIBL
(15,1),(15,2),0.0523293 # DEPENDENCYPART_SIBL
(15,1),(15,3),-0.0488269 # DEPENDENCYPART_SIBL
(15,1),(15,4),0.176032 # DEPENDENCYPART_SIBL
(15,1),(15,5),0.140846 # DEPENDENCYPART_SIBL
(15,1),(15,7),-0.017282 # DEPENDENCYPART_SIBL
(15,1),(15,8),0.00969896 # DEPENDENCYPART_SIBL
(15,1),(15,9),-0.018394 # DEPENDENCYPART_SIBL
(15,1),(15,10),-0.0488134 # DEPENDENCYPART_SIBL
(15,1),(15,11),0.200896 # DEPENDENCYPART_SIBL
(15,1),(15,12),-0.017282 # DEPENDENCYPART_SIBL
(15,1),(15,13),-0.0173831 # DEPENDENCYPART_SIBL
(15,1),(15,14),0.176032 # DEPENDENCYPART_SIBL
(15,1),(15,16),-0.00836809 # DEPENDENCYPART_SIBL
(15,1),(15,17),-0.0285023 # DEPENDENCYPART_SIBL
(15,1),(15,18),-0.00978127 # DEPENDENCYPART_SIBL
(15,1),(15,19),-0.00676159 # DEPENDENCYPART_SIBL
(15,1),(15,21),-0.0163675 # DEPENDENCYPART_SIBL
(15,1),(15,22),-0.0265074 # DEPENDENCYPART_SIBL
(15,1),(15,23),-0.00978127 # DEPENDENCYPART_SIBL
(15,1),(15,24),-0.0246689 # DEPENDENCYPART_SIBL
(15,1),(15,25),-0.0191996 # DEPENDENCYPART_SIBL
(15,1),(15,26),0.0165501 # DEPENDENCYPART_SIBL
(15,2),(15,3),-0.0133625 # DEPENDENCYPART_SIBL
(15,2),(15,4),0.0669618 # DEPENDENCYPART_SIBL
(15,2),(15,5),0.0890939 # DEPENDENCYPART_SIBL
(15,2),(15,7),-0.0530396 # DEPENDENCYPART_SIBL
(15,2),(15,8),0.00679067 # DEPENDENCYPART_SIBL
(15,2),(15,9),-0.0510177 # DEPENDENCYPART_SIBL
(15,2),(15,10),-0.0133957 # DEPENDENCYPART_SIBL
(15,2),(15,11),-0.0701361 # DEPENDENCYPART_SIBL
(15,2),(15,12),-0.0530397 # DEPENDENCYPART_SIBL
(15,2),(15,13),-0.0530451 # DEPENDENCYPART_SIBL
(15,2),(15,14),0.0669618 # DEPENDENCYPART_SIBL
(15,2),(15,16),-0.0415035 # DEPENDENCYPART_SIBL
(15,2),(15,17),-0.0344121 # DEPENDENCYPART_SIBL
(15,2),(15,18),-0.0488244 # DEPENDENCYPART_SIBL
(15,2),(15,19),-0.00846781 # DEPENDENCYPART_SIBL
(15,2),(15,21),-0.0199386 # DEPENDENCYPART_SIBL
(15,2),(15,22),-0.0320841 # DEPENDENCYPART_SIBL
(15,2),(15,23),-0.0488244 # DEPENDENCYPART_SIBL
(15,2),(15,24),-0.0269151 # DEPENDENCYPART_SIBL
(15,2),(15,25),-0.0206535 # DEPENDENCYPART_SIBL
(15,2),(15,26),0.074529 # DEPENDENCYPART_SIBL
(15,3),(15,4),0.258086 # DEPENDENCYPART_SIBL
(15,3),(15,5),0.0545289 # DEPENDENCYPART_SIBL
(15,3),(15,7),-0.0649564 # DEPENDENCYPART_SIBL
(15,3),(15,8),-0.0503217 # DEPENDENCYPART_SIBL
(15,3),(15,9),-0.0649914 # DEPENDENCYPART_SIBL
(15,3),(15,10),-0.0956873 # DEPENDENCYPART_SIBL
(15,3),(15,11),-0.0767227 # DEPENDENCYPART_SIBL
(15,3),(15,12),-0.0656059 # DEPENDENCYPART_SIBL
(15,3),(15,13),-0.0649564 # DEPENDENCYPART_SIBL
(15,3),(15,14),0.258086 # DEPENDENCYPART_SIBL
(15,3),(15,16),-0.0353745 # DEPENDENCYPART_SIBL
(15,3),(15,17),-0.0232423 # DEPENDENCYPART_SIBL
(15,3),(15,18),-0.0504567 # DEPENDENCYPART_SIBL
(15,3),(15,19),-0.0118446 # DEPENDENCYPART_SIBL
(15,3),(15,21),-0.023748 # DEPENDENCYPART_SIBL
(15,3),(15,22),-0.0214982 # DEPENDENCYPART_SIBL
(15,3),(15,23),-0.0504567 # DEPENDENCYPART_SIBL
(15,3),(15,24),0.0271791 # DEPENDENCYPART_SIBL
(15,3),(15,25),0.0347424 # DEPENDENCYPART_SIBL
(15,3),(15,26),0.108792 # DEPENDENCYPART_SIBL
(15,4),(15,5),0.235633 # DEPENDENCYPART_SIBL
(15,4),(15,7),0.0163136 # DEPENDENCYPART_SIBL
(15,4),(15,8),0.0188023 # DEPENDENCYPART_SIBL
(15,4),(15,9),0.0286946 # DEPENDENCYPART_SIBL
(15,4),(15,10),0.0407202 # DEPENDENCYPART_SIBL
(15,4),(15,11),-0.0418702 # DEPENDENCYPART_SIBL
(15,4),(15,12),0.0163136 # DEPENDENCYPART_SIBL
(15,4),(15,13),0.0163136 # DEPENDENCYPART_SIBL
(15,4),(15,14),0.0164661 # DEPENDENCYPART_SIBL
(15,4),(15,16),0.0498137 # DEPENDENCYPART_SIBL
(15,4),(15,17),0.0436938 # DEPENDENCYPART_SIBL
(15,4),(15,18),0.049547 # DEPENDENCYPART_SIBL
(15,4),(15,19),0.0950581 # DEPENDENCYPART_SIBL
(15,4),(15,21),0.0757219 # DEPENDENCYPART_SIBL
(15,4),(15,22),0.0477 # DEPENDENCYPART_SIBL
(15,4),(15,23),0.049547 # DEPENDENCYPART_SIBL
(15,4),(15,24),0.16778 # DEPENDENCYPART_SIBL
(15,4),(15,25),0.163531 # DEPENDENCYPART_SIBL
(15,4),(15,26),0.338188 # DEPENDENCYPART_SIBL
(15,5),(15,7),-0.0909184 # DEPENDENCYPART_SIBL
(15,5),(15,8),-0.00308937 # DEPENDENCYPART_SIBL
(15,5),(15,9),-0.0888965 # DEPENDENCYPART_SIBL
(15,5),(15,10),-0.00024572 # DEPENDENCYPART_SIBL
(15,5),(15,11),-0.0592873 # DEPENDENCYPART_SIBL
(15,5),(15,12),-0.0909184 # DEPENDENCYPART_SIBL
(15,5),(15,13),-0.0909238 # DEPENDENCYPART_SIBL
(15,5),(15,14),0.143356 # DEPENDENCYPART_SIBL
(15,5),(15,16),-0.00185428 # DEPENDENCYPART_SIBL
(15,5),(15,17),0.00269595 # DEPENDENCYPART_SIBL
(15,5),(15,18),0.0042386 # DEPENDENCYPART_SIBL
(15,5),(15,19),0.0279425 # DEPENDENCYPART_SIBL
(15,5),(15,21),0.0164678 # DEPENDENCYPART_SIBL
(15,5),(15,22),0.0053039 # DEPENDENCYPART_SIBL
(15,5),(15,23),0.0042386 # DEPENDENCYPART_SIBL
(15,5),(15,24),0.0371035 # DEPENDENCYPART_SIBL
(15,5),(15,25),0.0431983 # DEPENDENCYPART_SIBL
(15,5),(15,26),0.149593 # DEPENDENCYPART_SIBL
(15,7),(15,8),-0.00764961 # DEPENDENCYPART_SIBL
(15,7),(15,9),-0.0270579 # DEPENDENCYPART_SIBL
(15,7),(15,10),-0.00708129 # DEPENDENCYPART_SIBL
(15,7),(15,11),-0.0535648 # DEPENDENCYPART_SIBL
(15,7),(15,12),-0.0321606 # DEPENDENCYPART_SIBL
(15,7),(15,13),-0.0318742 # DEPENDENCYPART_SIBL
(15,7),(15,14),0.244032 # DEPENDENCYPART_SIBL
(15,7),(15,16),-0.0124745 # DEPENDENCYPART_SIBL
(15,7),(15,17),0.000652621 # DEPENDENCYPART_SIBL
(15,7),(15,18),0.0953596 # DEPENDENCYPART_SIBL
(15,7),(15,19),0.0160921 # DEPENDENCYPART_SIBL
(15,7),(15,21),0.00602702 # DEPENDENCYPART_SIBL
(15,7),(15,22),0.0033522 # DEPENDENCYPART_SIBL
(15,7),(15,23),0.0953596 # DEPENDENCYPART_SIBL
(15,7),(15,24),-0.030643 # DEPENDENCYPART_SIBL
(15,7),(15,25),-0.0292301 # DEPENDENCYPART_SIBL
(15,7),(15,26),0.03157 # DEPENDENCYPART_SIBL
(15,8),(15,9),-0.0148649 # DEPENDENCYPART_SIBL
(15,8),(15,10),-0.00467132 # DEPENDENCYPART_SIBL
(15,8),(15,11),-0.197082 # DEPENDENCYPART_SIBL
(15,8),(15,12),-0.0169429 # DEPENDENCYPART_SIBL
(15,8),(15,13),-0.0169429 # DEPENDENCYPART_SIBL
(15,8),(15,14),0.20857 # DEPENDENCYPART_SIBL
(15,8),(15,16),0.00189532 # DEPENDENCYPART_SIBL
(15,8),(15,17),0.0617525 # DEPENDENCYPART_SIBL
(15,8),(15,18),-0.00676689 # DEPENDENCYPART_SIBL
(15,8),(15,19),0.0265598 # DEPENDENCYPART_SIBL
(15,8),(15,21),0.0161833 # DEPENDENCYPART_SIBL
(15,8),(15,22),0.0642258 # DEPENDENCYPART_SIBL
(15,8),(15,23),-0.00676689 # DEPENDENCYPART_SIBL
(15,8),(15,24),0.00752501 # DEPENDENCYPART_SIBL
(15,8),(15,25),0.00965865 # DEPENDENCYPART_SIBL
(15,8),(15,26),0.07779 # DEPENDENCYPART_SIBL
(15,9),(15,10),-0.00712331 # DEPENDENCYPART_SIBL
(15,9),(15,11),-0.053605 # DEPENDENCYPART_SIBL
(15,9),(15,12),-0.0330162 # DEPENDENCYPART_SIBL
(15,9),(15,13),-0.0327298 # DEPENDENCYPART_SIBL
(15,9),(15,14),0.241542 # DEPENDENCYPART_SIBL
(15,9),(15,16),-0.0128662 # DEPENDENCYPART_SIBL
(15,9),(15,17),-0.0003553 # DEPENDENCYPART_SIBL
(15,9),(15,18),0.0952688 # DEPENDENCYPART_SIBL
(15,9),(15,19),0.0154238 # DEPENDENCYPART_SIBL
(15,9),(15,21),0.00535878 # DEPENDENCYPART_SIBL
(15,9),(15,22),0.00234428 # DEPENDENCYPART_SIBL
(15,9),(15,23),0.0952688 # DEPENDENCYPART_SIBL
(15,9),(15,24),-0.0331633 # DEPENDENCYPART_SIBL
(15,9),(15,25),-0.0317504 # DEPENDENCYPART_SIBL
(15,9),(15,26),0.0369407 # DEPENDENCYPART_SIBL
(15,10),(15,11),-0.0740214 # DEPENDENCYPART_SIBL
(15,10),(15,12),-0.0628919 # DEPENDENCYPART_SIBL
(15,10),(15,13),-0.0622424 # DEPENDENCYPART_SIBL
(15,10),(15,14),0.267832 # DEPENDENCYPART_SIBL
(15,10),(15,16),-0.0299607 # DEPENDENCYPART_SIBL
(15,10),(15,17),-0.00916165 # DEPENDENCYPART_SIBL
(15,10),(15,18),-0.0472077 # DEPENDENCYPART_SIBL
(15,10),(15,19),-0.00643076 # DEPENDENCYPART_SIBL
(15,10),(15,21),-0.0183342 # DEPENDENCYPART_SIBL
(15,10),(15,22),-0.00741761 # DEPENDENCYPART_SIBL
(15,10),(15,23),-0.0472077 # DEPENDENCYPART_SIBL
(15,10),(15,24),0.0326041 # DEPENDENCYPART_SIBL
(15,10),(15,25),0.0401674 # DEPENDENCYPART_SIBL
(15,10),(15,26),0.121367 # DEPENDENCYPART_SIBL
(15,11),(15,12),-0.0208669 # DEPENDENCYPART_SIBL
(15,11),(15,13),-0.0208669 # DEPENDENCYPART_SIBL
(15,11),(15,14),0.0465569 # DEPENDENCYPART_SIBL
(15,11),(15,16),0.0502486 # DEPENDENCYPART_SIBL
(15,11),(15,17),-0.0139514 # DEPENDENCYPART_SIBL
(15,11),(15,18),-0.0103445 # DEPENDENCYPART_SIBL
(15,11),(15,19),-0.0327157 # DEPENDENCYPART_SIBL
(15,11),(15,21),-0.0423937 # DEPENDENCYPART_SIBL
(15,11),(15,22),-0.0121804 # DEPENDENCYPART_SIBL
(15,11),(15,23),-0.0103445 # DEPENDENCYPART_SIBL
(15,11),(15,24),-0.0430804 # DEPENDENCYPART_SIBL
(15,11),(15,25),-0.0406784 # DEPENDENCYPART_SIBL
(15,11),(15,26),-0.053423 # DEPENDENCYPART_SIBL
(15,12),(15,13),-0.0308665 # DEPENDENCYPART_SIBL
(15,12),(15,14),0.242528 # DEPENDENCYPART_SIBL
(15,12),(15,16),-0.0124761 # DEPENDENCYPART_SIBL
(15,12),(15,17),0.000650929 # DEPENDENCYPART_SIBL
(15,12),(15,18),0.0946095 # DEPENDENCYPART_SIBL
(15,12),(15,19),0.0160904 # DEPENDENCYPART_SIBL
(15,12),(15,21),0.00602533 # DEPENDENCYPART_SIBL
(15,12),(15,22),0.00335051 # DEPENDENCYPART_SIBL
(15,12),(15,23),0.0946095 # DEPENDENCYPART_SIBL
(15,12),(15,24),-0.0306505 # DEPENDENCYPART_SIBL
(15,12),(15,25),-0.0292376 # DEPENDENCYPART_SIBL
(15,12),(15,26),0.0301194 # DEPENDENCYPART_SIBL
(15,13),(15,14),0.244028 # DEPENDENCYPART_SIBL
(15,13),(15,16),-0.0124745 # DEPENDENCYPART_SIBL
(15,13),(15,17),0.000652621 # DEPENDENCYPART_SIBL
(15,13),(15,18),0.0950972 # DEPENDENCYPART_SIBL
(15,13),(15,19),0.0160921 # DEPENDENCYPART_SIBL
(15,13),(15,21),0.00602702 # DEPENDENCYPART_SIBL
(15,13),(15,22),0.0033522 # DEPENDENCYPART_SIBL
(15,13),(15,23),0.0950972 # DEPENDENCYPART_SIBL
(15,13),(15,24),-0.0316497 # DEPENDENCYPART_SIBL
(15,13),(15,25),-0.0302368 # DEPENDENCYPART_SIBL
(15,13),(15,26),0.0315658 # DEPENDENCYPART_SIBL
(15,14),(15,16),0.0498137 # DEPENDENCYPART_SIBL
(15,14),(15,17),0.0436938 # DEPENDENCYPART_SIBL
(15,14),(15,18),0.049547 # DEPENDENCYPART_SIBL
(15,14),(15,19),0.0950581 # DEPENDENCYPART_SIBL
(15,14),(15,21),0.0757219 # DEPENDENCYPART_SIBL
(15,14),(15,22),0.0477 # DEPENDENCYPART_SIBL
(15,14),(15,23),0.049547 # DEPENDENCYPART_SIBL
(15,14),(15,24),0.16778 # DEPENDENCYPART_SIBL
(15,14),(15,25),0.163531 # DEPENDENCYPART_SIBL
(15,14),(15,26),0.338188 # DEPENDENCYPART_SIBL
(15,16),(15,17),-0.0391667 # DEPENDENCYPART_SIBL
(15,16),(15,18),-0.0226536 # DEPENDENCYPART_SIBL
(15,16),(15,19),0.00625187 # DEPENDENCYPART_SIBL
(15,16),(15,21),0.00472064 # DEPENDENCYPART_SIBL
(15,16),(15,22),-0.0388969 # DEPENDENCYPART_SIBL
(15,16),(15,23),-0.0226536 # DEPENDENCYPART_SIBL
(15,16),(15,24),-0.0711919 # DEPENDENCYPART_SIBL
(15,16),(15,25),-0.0703749 # DEPENDENCYPART_SIBL
(15,16),(15,26),-0.0492902 # DEPENDENCYPART_SIBL
(15,17),(15,18),-0.00407768 # DEPENDENCYPART_SIBL
(15,17),(15,19),0.0224185 # DEPENDENCYPART_SIBL
(15,17),(15,21),0.0216549 # DEPENDENCYPART_SIBL
(15,17),(15,22),-0.0328463 # DEPENDENCYPART_SIBL
(15,17),(15,23),-0.00407768 # DEPENDENCYPART_SIBL
(15,17),(15,24),-0.0467649 # DEPENDENCYPART_SIBL
(15,17),(15,25),-0.0459502 # DEPENDENCYPART_SIBL
(15,17),(15,26),0.0327827 # DEPENDENCYPART_SIBL
(15,18),(15,19),0.0113816 # DEPENDENCYPART_SIBL
(15,18),(15,21),0.0102862 # DEPENDENCYPART_SIBL
(15,18),(15,22),0.0191015 # DEPENDENCYPART_SIBL
(15,18),(15,23),-0.0310193 # DEPENDENCYPART_SIBL
(15,18),(15,24),-0.0537418 # DEPENDENCYPART_SIBL
(15,18),(15,25),-0.0495461 # DEPENDENCYPART_SIBL
(15,18),(15,26),-0.00542877 # DEPENDENCYPART_SIBL
(15,19),(15,21),0.0252865 # DEPENDENCYPART_SIBL
(15,19),(15,22),-0.01957 # DEPENDENCYPART_SIBL
(15,19),(15,23),-0.0200611 # DEPENDENCYPART_SIBL
(15,19),(15,24),-0.0449781 # DEPENDENCYPART_SIBL
(15,19),(15,25),-0.0441669 # DEPENDENCYPART_SIBL
(15,19),(15,26),0.0188526 # DEPENDENCYPART_SIBL
(15,21),(15,22),-0.0232423 # DEPENDENCYPART_SIBL
(15,21),(15,23),-0.0241726 # DEPENDENCYPART_SIBL
(15,21),(15,24),-0.046902 # DEPENDENCYPART_SIBL
(15,21),(15,25),-0.04609 # DEPENDENCYPART_SIBL
(15,21),(15,26),0.0132749 # DEPENDENCYPART_SIBL
(15,22),(15,23),-0.00218935 # DEPENDENCYPART_SIBL
(15,22),(15,24),-0.0455444 # DEPENDENCYPART_SIBL
(15,22),(15,25),-0.0447296 # DEPENDENCYPART_SIBL
(15,22),(15,26),0.0355312 # DEPENDENCYPART_SIBL
(15,23),(15,24),-0.0537418 # DEPENDENCYPART_SIBL
(15,23),(15,25),-0.0495461 # DEPENDENCYPART_SIBL
(15,23),(15,26),-0.00542877 # DEPENDENCYPART_SIBL
(15,24),(15,25),-0.028163 # DEPENDENCYPART_SIBL
(15,24),(15,26),0.107041 # DEPENDENCYPART_SIBL
(15,25),(15,26),0.128313 # DEPENDENCYPART_SIBL
(17,16),(17,19),-0.0155867 # DEPENDENCYPART_SIBL
(18,10),(18,11),-0.35351 # DEPENDENCYPART_SIBL
(18,10),(18,12),-0.0510967 # DEPENDENCYPART_SIBL
(18,10),(18,13),-0.0504472 # DEPENDENCYPART_SIBL
(18,10),(18,14),0.316655 # DEPENDENCYPART_SIBL
(18,10),(18,15),0.189781 # DEPENDENCYPART_SIBL
(18,10),(18,16),-0.35351 # DEPENDENCYPART_SIBL
(18,10),(18,17),-0.0940915 # DEPENDENCYPART_SIBL
(18,10),(18,19),0.0284029 # DEPENDENCYPART_SIBL
(18,10),(18,21),0.0248917 # DEPENDENCYPART_SIBL
(18,10),(18,23),-0.00679537 # DEPENDENCYPART_SIBL
(18,11),(18,12),0.0129962 # DEPENDENCYPART_SIBL
(18,11),(18,13),0.0129962 # DEPENDENCYPART_SIBL
(18,11),(18,14),0.190771 # DEPENDENCYPART_SIBL
(18,11),(18,15),0.145683 # DEPENDENCYPART_SIBL
(18,11),(18,16),-0.662013 # DEPENDENCYPART_SIBL
(18,11),(18,17),0.118355 # DEPENDENCYPART_SIBL
(18,11),(18,19),-0.0176286 # DEPENDENCYPART_SIBL
(18,11),(18,21),-0.0218633 # DEPENDENCYPART_SIBL
(18,11),(18,23),-0.00331961 # DEPENDENCYPART_SIBL
(18,12),(18,13),-0.017097 # DEPENDENCYPART_SIBL
(18,12),(18,14),0.640186 # DEPENDENCYPART_SIBL
(18,12),(18,15),0.435498 # DEPENDENCYPART_SIBL
(18,12),(18,16),-0.317123 # DEPENDENCYPART_SIBL
(18,12),(18,17),-0.00106382 # DEPENDENCYPART_SIBL
(18,12),(18,19),0.0566582 # DEPENDENCYPART_SIBL
(18,12),(18,21),0.0538264 # DEPENDENCYPART_SIBL
(18,12),(18,23),0.00263016 # DEPENDENCYPART_SIBL
(18,13),(18,14),0.641684 # DEPENDENCYPART_SIBL
(18,13),(18,15),0.435789 # DEPENDENCYPART_SIBL
