# _root_ Drága mulatság a washoku , de a legfinomabb alapanyagokból készítik , és elképesztő dúskálást lehet vele csapni .
#goldHeads=2,12,4,2,12,12,9,9,10,12,12,0,14,17,12,17,15,12,
#predictedHeads=2,10,4,10,12,12,9,9,10,12,12,0,14,17,12,17,15,12,
(8,2),(8,7),-0.0374862 # DEPENDENCYPART_SIBL
(8,3),(8,4),0.121693 # DEPENDENCYPART_SIBL
(8,3),(8,7),-0.229753 # DEPENDENCYPART_SIBL
(8,4),(8,7),-0.0257201 # DEPENDENCYPART_SIBL
(9,1),(9,2),0.0170654 # DEPENDENCYPART_SIBL
(9,1),(9,3),-0.655951 # DEPENDENCYPART_SIBL
(9,1),(9,4),0.0707682 # DEPENDENCYPART_SIBL
(9,1),(9,5),0.447418 # DEPENDENCYPART_SIBL
(9,1),(9,6),0.517778 # DEPENDENCYPART_SIBL
(9,1),(9,7),-0.655951 # DEPENDENCYPART_SIBL
(9,1),(9,8),0.0120759 # DEPENDENCYPART_SIBL
(9,1),(9,14),-0.00564982 # DEPENDENCYPART_SIBL
(9,1),(9,15),-0.0459761 # DEPENDENCYPART_SIBL
(9,1),(9,17),-0.0415018 # DEPENDENCYPART_SIBL
(9,2),(9,3),-0.317123 # DEPENDENCYPART_SIBL
(9,2),(9,4),0.0504348 # DEPENDENCYPART_SIBL
(9,2),(9,5),0.641687 # DEPENDENCYPART_SIBL
(9,2),(9,6),0.538152 # DEPENDENCYPART_SIBL
(9,2),(9,7),-0.317123 # DEPENDENCYPART_SIBL
(9,2),(9,8),0.0462258 # DEPENDENCYPART_SIBL
(9,2),(9,14),0.00337853 # DEPENDENCYPART_SIBL
(9,2),(9,15),0.0285825 # DEPENDENCYPART_SIBL
(9,2),(9,17),0.00741421 # DEPENDENCYPART_SIBL
(9,3),(9,4),0.147615 # DEPENDENCYPART_SIBL
(9,3),(9,5),0.190771 # DEPENDENCYPART_SIBL
(9,3),(9,6),0.305374 # DEPENDENCYPART_SIBL
(9,3),(9,7),-0.662013 # DEPENDENCYPART_SIBL
(9,3),(9,8),0.155843 # DEPENDENCYPART_SIBL
(9,3),(9,14),-0.00331961 # DEPENDENCYPART_SIBL
(9,3),(9,15),0.0253671 # DEPENDENCYPART_SIBL
(9,3),(9,17),0.00837271 # DEPENDENCYPART_SIBL
(9,4),(9,5),0.203729 # DEPENDENCYPART_SIBL
(9,4),(9,6),0.359761 # DEPENDENCYPART_SIBL
(9,4),(9,7),-0.299726 # DEPENDENCYPART_SIBL
(9,4),(9,8),-0.0172814 # DEPENDENCYPART_SIBL
(9,4),(9,14),-0.0103106 # DEPENDENCYPART_SIBL
(9,4),(9,15),-0.00470012 # DEPENDENCYPART_SIBL
(9,4),(9,17),-0.00568185 # DEPENDENCYPART_SIBL
(9,5),(9,6),0.569029 # DEPENDENCYPART_SIBL
(9,5),(9,7),-0.408123 # DEPENDENCYPART_SIBL
(9,5),(9,8),0.0253304 # DEPENDENCYPART_SIBL
(9,5),(9,14),-0.00844461 # DEPENDENCYPART_SIBL
(9,5),(9,15),-0.0485259 # DEPENDENCYPART_SIBL
(9,5),(9,17),-0.0282226 # DEPENDENCYPART_SIBL
(9,6),(9,7),-0.347663 # DEPENDENCYPART_SIBL
(9,6),(9,8),0.0441697 # DEPENDENCYPART_SIBL
(9,6),(9,14),-0.0132787 # DEPENDENCYPART_SIBL
(9,6),(9,15),0.0229986 # DEPENDENCYPART_SIBL
(9,6),(9,17),0.0266704 # DEPENDENCYPART_SIBL
(9,7),(9,8),0.155843 # DEPENDENCYPART_SIBL
(9,7),(9,14),-0.00331961 # DEPENDENCYPART_SIBL
(9,7),(9,15),0.0253671 # DEPENDENCYPART_SIBL
(9,7),(9,17),0.00837271 # DEPENDENCYPART_SIBL
(9,8),(9,14),-0.00411379 # DEPENDENCYPART_SIBL
(9,8),(9,15),-0.044808 # DEPENDENCYPART_SIBL
(9,8),(9,17),-0.0403336 # DEPENDENCYPART_SIBL
(9,14),(9,15),0.0381984 # DEPENDENCYPART_SIBL
(9,14),(9,17),0.058216 # DEPENDENCYPART_SIBL
(9,15),(9,17),0.0457947 # DEPENDENCYPART_SIBL
(10,1),(10,2),-0.011714 # DEPENDENCYPART_SIBL
(10,1),(10,3),-0.201602 # DEPENDENCYPART_SIBL
(10,1),(10,4),0.0157824 # DEPENDENCYPART_SIBL
(10,1),(10,5),0.0482572 # DEPENDENCYPART_SIBL
(10,1),(10,6),0.117116 # DEPENDENCYPART_SIBL
(10,1),(10,7),-0.201602 # DEPENDENCYPART_SIBL
(10,1),(10,8),-0.0219865 # DEPENDENCYPART_SIBL
(10,1),(10,9),-0.011714 # DEPENDENCYPART_SIBL
(10,1),(10,11),-0.00712653 # DEPENDENCYPART_SIBL
(10,1),(10,12),-0.043124 # DEPENDENCYPART_SIBL
(10,1),(10,13),-0.0345067 # DEPENDENCYPART_SIBL
(10,1),(10,14),0.00115944 # DEPENDENCYPART_SIBL
(10,1),(10,15),-0.00954829 # DEPENDENCYPART_SIBL
(10,1),(10,16),-0.0128785 # DEPENDENCYPART_SIBL
(10,1),(10,17),-0.00851146 # DEPENDENCYPART_SIBL
(10,1),(10,18),-0.0188343 # DEPENDENCYPART_SIBL
(10,2),(10,3),-0.0612489 # DEPENDENCYPART_SIBL
(10,2),(10,4),-0.00647119 # DEPENDENCYPART_SIBL
(10,2),(10,5),0.0963025 # DEPENDENCYPART_SIBL
(10,2),(10,6),0.0528898 # DEPENDENCYPART_SIBL
(10,2),(10,7),-0.0612489 # DEPENDENCYPART_SIBL
(10,2),(10,8),5.73852e-05 # DEPENDENCYPART_SIBL
(10,2),(10,9),-0.0331352 # DEPENDENCYPART_SIBL
(10,2),(10,11),-0.0103233 # DEPENDENCYPART_SIBL
(10,2),(10,12),-0.0302804 # DEPENDENCYPART_SIBL
(10,2),(10,13),-0.0100832 # DEPENDENCYPART_SIBL
(10,2),(10,14),-0.0146185 # DEPENDENCYPART_SIBL
(10,2),(10,15),0.00457706 # DEPENDENCYPART_SIBL
(10,2),(10,16),-0.0121075 # DEPENDENCYPART_SIBL
(10,2),(10,17),-0.019871 # DEPENDENCYPART_SIBL
(10,2),(10,18),-0.0222726 # DEPENDENCYPART_SIBL
(10,3),(10,4),0.0819219 # DEPENDENCYPART_SIBL
(10,3),(10,5),0.0102192 # DEPENDENCYPART_SIBL
(10,3),(10,6),0.0943105 # DEPENDENCYPART_SIBL
(10,3),(10,7),-0.125584 # DEPENDENCYPART_SIBL
(10,3),(10,8),-0.0164009 # DEPENDENCYPART_SIBL
(10,3),(10,9),0.0141832 # DEPENDENCYPART_SIBL
(10,3),(10,11),-0.0377119 # DEPENDENCYPART_SIBL
(10,3),(10,12),-0.0309529 # DEPENDENCYPART_SIBL
(10,3),(10,13),0.0025406 # DEPENDENCYPART_SIBL
(10,3),(10,14),-0.0245112 # DEPENDENCYPART_SIBL
(10,3),(10,15),-0.000560577 # DEPENDENCYPART_SIBL
(10,3),(10,16),-0.00973856 # DEPENDENCYPART_SIBL
(10,3),(10,17),-0.0136624 # DEPENDENCYPART_SIBL
(10,3),(10,18),-0.0807971 # DEPENDENCYPART_SIBL
(10,4),(10,5),0.0358881 # DEPENDENCYPART_SIBL
(10,4),(10,6),0.0511263 # DEPENDENCYPART_SIBL
(10,4),(10,7),-0.0154963 # DEPENDENCYPART_SIBL
(10,4),(10,8),0.00337453 # DEPENDENCYPART_SIBL
(10,4),(10,9),-0.0193811 # DEPENDENCYPART_SIBL
(10,4),(10,11),-0.0394644 # DEPENDENCYPART_SIBL
(10,4),(10,12),-0.0233458 # DEPENDENCYPART_SIBL
(10,4),(10,13),-0.00241911 # DEPENDENCYPART_SIBL
(10,4),(10,14),-0.0299038 # DEPENDENCYPART_SIBL
(10,4),(10,15),-0.0281295 # DEPENDENCYPART_SIBL
(10,4),(10,16),0.0116935 # DEPENDENCYPART_SIBL
(10,4),(10,17),-0.0327697 # DEPENDENCYPART_SIBL
(10,4),(10,18),-0.0247641 # DEPENDENCYPART_SIBL
(10,5),(10,6),0.254448 # DEPENDENCYPART_SIBL
(10,5),(10,7),-0.106141 # DEPENDENCYPART_SIBL
(10,5),(10,8),-0.00899608 # DEPENDENCYPART_SIBL
(10,5),(10,9),-0.0102095 # DEPENDENCYPART_SIBL
(10,5),(10,11),-0.00490476 # DEPENDENCYPART_SIBL
(10,5),(10,12),-0.0227697 # DEPENDENCYPART_SIBL
(10,5),(10,13),-0.0172928 # DEPENDENCYPART_SIBL
(10,5),(10,14),-0.0180136 # DEPENDENCYPART_SIBL
(10,5),(10,15),-0.0114113 # DEPENDENCYPART_SIBL
(10,5),(10,16),-0.0139852 # DEPENDENCYPART_SIBL
(10,5),(10,17),-0.00550927 # DEPENDENCYPART_SIBL
(10,5),(10,18),0.00393736 # DEPENDENCYPART_SIBL
(10,6),(10,7),-0.118545 # DEPENDENCYPART_SIBL
(10,6),(10,8),-0.01244 # DEPENDENCYPART_SIBL
(10,6),(10,9),-0.0723388 # DEPENDENCYPART_SIBL
(10,6),(10,11),-0.00245432 # DEPENDENCYPART_SIBL
(10,6),(10,12),0.0334152 # DEPENDENCYPART_SIBL
(10,6),(10,13),-0.0219877 # DEPENDENCYPART_SIBL
(10,6),(10,14),0.00452332 # DEPENDENCYPART_SIBL
(10,6),(10,15),0.0377762 # DEPENDENCYPART_SIBL
(10,6),(10,16),-0.0183893 # DEPENDENCYPART_SIBL
(10,6),(10,17),0.0384311 # DEPENDENCYPART_SIBL
(10,6),(10,18),0.18754 # DEPENDENCYPART_SIBL
(10,7),(10,8),-0.0164009 # DEPENDENCYPART_SIBL
(10,7),(10,9),0.0141832 # DEPENDENCYPART_SIBL
(10,7),(10,11),-0.0377119 # DEPENDENCYPART_SIBL
(10,7),(10,12),-0.0309529 # DEPENDENCYPART_SIBL
(10,7),(10,13),0.0025406 # DEPENDENCYPART_SIBL
(10,7),(10,14),-0.0245112 # DEPENDENCYPART_SIBL
(10,7),(10,15),-0.000560577 # DEPENDENCYPART_SIBL
(10,7),(10,16),-0.00973856 # DEPENDENCYPART_SIBL
(10,7),(10,17),-0.0136624 # DEPENDENCYPART_SIBL
(10,7),(10,18),-0.0807971 # DEPENDENCYPART_SIBL
(10,8),(10,9),-0.0182927 # DEPENDENCYPART_SIBL
(10,8),(10,11),0.0135504 # DEPENDENCYPART_SIBL
(10,8),(10,12),-0.0374188 # DEPENDENCYPART_SIBL
(10,8),(10,13),-0.029435 # DEPENDENCYPART_SIBL
(10,8),(10,14),0.00929095 # DEPENDENCYPART_SIBL
(10,8),(10,15),-0.00215636 # DEPENDENCYPART_SIBL
(10,8),(10,16),-0.00780713 # DEPENDENCYPART_SIBL
(10,8),(10,17),-0.00111954 # DEPENDENCYPART_SIBL
(10,8),(10,18),-0.0122738 # DEPENDENCYPART_SIBL
(10,9),(10,11),-0.0103233 # DEPENDENCYPART_SIBL
(10,9),(10,12),-0.0302804 # DEPENDENCYPART_SIBL
(10,9),(10,13),-0.0100832 # DEPENDENCYPART_SIBL
(10,9),(10,14),-0.0146185 # DEPENDENCYPART_SIBL
(10,9),(10,15),0.00457706 # DEPENDENCYPART_SIBL
(10,9),(10,16),-0.0121075 # DEPENDENCYPART_SIBL
(10,9),(10,17),-0.019871 # DEPENDENCYPART_SIBL
(10,9),(10,18),-0.0222726 # DEPENDENCYPART_SIBL
(10,11),(10,12),0.0709146 # DEPENDENCYPART_SIBL
(10,11),(10,13),0.0604985 # DEPENDENCYPART_SIBL
(10,11),(10,14),0.07652 # DEPENDENCYPART_SIBL
(10,11),(10,15),0.171241 # DEPENDENCYPART_SIBL
(10,11),(10,16),0.0848309 # DEPENDENCYPART_SIBL
(10,11),(10,17),0.194562 # DEPENDENCYPART_SIBL
(10,11),(10,18),0.0489202 # DEPENDENCYPART_SIBL
(10,12),(10,13),0.0299412 # DEPENDENCYPART_SIBL
(10,12),(10,14),0.107612 # DEPENDENCYPART_SIBL
(10,12),(10,15),0.00405163 # DEPENDENCYPART_SIBL
(10,12),(10,16),0.0361781 # DEPENDENCYPART_SIBL
(10,12),(10,17),0.0220002 # DEPENDENCYPART_SIBL
(10,12),(10,18),0.00340412 # DEPENDENCYPART_SIBL
(10,13),(10,14),-0.0236203 # DEPENDENCYPART_SIBL
(10,13),(10,15),-0.0506713 # DEPENDENCYPART_SIBL
(10,13),(10,16),-0.0185741 # DEPENDENCYPART_SIBL
(10,13),(10,17),-0.0297871 # DEPENDENCYPART_SIBL
(10,13),(10,18),-0.0109019 # DEPENDENCYPART_SIBL
(10,14),(10,15),-0.0647622 # DEPENDENCYPART_SIBL
(10,14),(10,16),-0.00620476 # DEPENDENCYPART_SIBL
(10,14),(10,17),-0.0189344 # DEPENDENCYPART_SIBL
(10,14),(10,18),-1.62179e-05 # DEPENDENCYPART_SIBL
(10,15),(10,16),-0.0114299 # DEPENDENCYPART_SIBL
(10,15),(10,17),-0.0307713 # DEPENDENCYPART_SIBL
(10,15),(10,18),0.0102221 # DEPENDENCYPART_SIBL
(10,16),(10,17),-0.0468287 # DEPENDENCYPART_SIBL
(10,16),(10,18),-0.0562014 # DEPENDENCYPART_SIBL
(10,17),(10,18),0.0177988 # DEPENDENCYPART_SIBL
(12,1),(12,2),-0.00754727 # DEPENDENCYPART_SIBL
(12,1),(12,4),0.0606984 # DEPENDENCYPART_SIBL
(12,1),(12,5),0.298742 # DEPENDENCYPART_SIBL
(12,1),(12,6),0.238172 # DEPENDENCYPART_SIBL
(12,1),(12,7),-0.161132 # DEPENDENCYPART_SIBL
(12,1),(12,8),0.0112389 # DEPENDENCYPART_SIBL
(12,1),(12,9),-0.00754727 # DEPENDENCYPART_SIBL
(12,1),(12,10),0.0652747 # DEPENDENCYPART_SIBL
(12,1),(12,11),0.298742 # DEPENDENCYPART_SIBL
(12,1),(12,13),0.0853071 # DEPENDENCYPART_SIBL
(12,1),(12,14),0.00739018 # DEPENDENCYPART_SIBL
(12,1),(12,15),-0.0458575 # DEPENDENCYPART_SIBL
(12,1),(12,16),-0.00524018 # DEPENDENCYPART_SIBL
(12,1),(12,17),0.00390002 # DEPENDENCYPART_SIBL
(12,1),(12,18),0.0289281 # DEPENDENCYPART_SIBL
(12,2),(12,4),0.0388968 # DEPENDENCYPART_SIBL
(12,2),(12,5),0.375892 # DEPENDENCYPART_SIBL
(12,2),(12,6),0.170097 # DEPENDENCYPART_SIBL
(12,2),(12,7),-0.0157665 # DEPENDENCYPART_SIBL
(12,2),(12,8),0.00190322 # DEPENDENCYPART_SIBL
(12,2),(12,9),0.00574894 # DEPENDENCYPART_SIBL
(12,2),(12,10),0.0513976 # DEPENDENCYPART_SIBL
(12,2),(12,11),0.375892 # DEPENDENCYPART_SIBL
(12,2),(12,13),0.0259458 # DEPENDENCYPART_SIBL
(12,2),(12,14),0.233831 # DEPENDENCYPART_SIBL
(12,2),(12,15),-0.0137222 # DEPENDENCYPART_SIBL
(12,2),(12,16),0.0056947 # DEPENDENCYPART_SIBL
(12,2),(12,17),-0.000174752 # DEPENDENCYPART_SIBL
(12,2),(12,18),-0.00815188 # DEPENDENCYPART_SIBL
(12,4),(12,5),0.287555 # DEPENDENCYPART_SIBL
(12,4),(12,6),0.229852 # DEPENDENCYPART_SIBL
(12,4),(12,7),0.074335 # DEPENDENCYPART_SIBL
(12,4),(12,8),0.0570011 # DEPENDENCYPART_SIBL
(12,4),(12,9),0.0452857 # DEPENDENCYPART_SIBL
(12,4),(12,10),0.0615508 # DEPENDENCYPART_SIBL
(12,4),(12,11),0.287555 # DEPENDENCYPART_SIBL
(12,4),(12,13),0.0759134 # DEPENDENCYPART_SIBL
(12,4),(12,14),0.0638556 # DEPENDENCYPART_SIBL
(12,4),(12,15),-0.00742903 # DEPENDENCYPART_SIBL
(12,4),(12,16),0.036276 # DEPENDENCYPART_SIBL
(12,4),(12,17),0.0371168 # DEPENDENCYPART_SIBL
(12,4),(12,18),-0.0250218 # DEPENDENCYPART_SIBL
(12,5),(12,6),0.551134 # DEPENDENCYPART_SIBL
(12,5),(12,7),0.00113436 # DEPENDENCYPART_SIBL
(12,5),(12,8),0.0254623 # DEPENDENCYPART_SIBL
(12,5),(12,9),0.0324195 # DEPENDENCYPART_SIBL
(12,5),(12,10),0.111924 # DEPENDENCYPART_SIBL
(12,5),(12,11),0.0345787 # DEPENDENCYPART_SIBL
(12,5),(12,13),0.0701703 # DEPENDENCYPART_SIBL
(12,5),(12,14),0.0218518 # DEPENDENCYPART_SIBL
(12,5),(12,15),0.0995068 # DEPENDENCYPART_SIBL
(12,5),(12,16),0.0407829 # DEPENDENCYPART_SIBL
(12,5),(12,17),0.195814 # DEPENDENCYPART_SIBL
(12,5),(12,18),0.198796 # DEPENDENCYPART_SIBL
(12,6),(12,7),-0.0325824 # DEPENDENCYPART_SIBL
(12,6),(12,8),0.0233215 # DEPENDENCYPART_SIBL
(12,6),(12,9),-0.0183236 # DEPENDENCYPART_SIBL
(12,6),(12,10),0.0484168 # DEPENDENCYPART_SIBL
(12,6),(12,11),0.182751 # DEPENDENCYPART_SIBL
(12,6),(12,13),0.0208587 # DEPENDENCYPART_SIBL
(12,6),(12,14),0.0161394 # DEPENDENCYPART_SIBL
(12,6),(12,15),0.0440672 # DEPENDENCYPART_SIBL
(12,6),(12,16),0.0154419 # DEPENDENCYPART_SIBL
(12,6),(12,17),0.0983184 # DEPENDENCYPART_SIBL
(12,6),(12,18),0.247434 # DEPENDENCYPART_SIBL
(12,7),(12,8),0.0202901 # DEPENDENCYPART_SIBL
(12,7),(12,9),-0.0116838 # DEPENDENCYPART_SIBL
(12,7),(12,10),0.066557 # DEPENDENCYPART_SIBL
(12,7),(12,11),0.144914 # DEPENDENCYPART_SIBL
(12,7),(12,13),0.0085887 # DEPENDENCYPART_SIBL
(12,7),(12,14),0.0114531 # DEPENDENCYPART_SIBL
(12,7),(12,15),-0.0497608 # DEPENDENCYPART_SIBL
(12,7),(12,16),-0.0397366 # DEPENDENCYPART_SIBL
(12,7),(12,17),-0.0130792 # DEPENDENCYPART_SIBL
(12,7),(12,18),-0.0952526 # DEPENDENCYPART_SIBL
(12,8),(12,9),-0.0142338 # DEPENDENCYPART_SIBL
(12,8),(12,10),0.0652819 # DEPENDENCYPART_SIBL
(12,8),(12,11),0.298983 # DEPENDENCYPART_SIBL
(12,8),(12,13),0.0853227 # DEPENDENCYPART_SIBL
(12,8),(12,14),0.00894992 # DEPENDENCYPART_SIBL
(12,8),(12,15),-0.0446742 # DEPENDENCYPART_SIBL
(12,8),(12,16),-0.00522555 # DEPENDENCYPART_SIBL
(12,8),(12,17),0.0050833 # DEPENDENCYPART_SIBL
(12,8),(12,18),0.0296997 # DEPENDENCYPART_SIBL
(12,9),(12,10),0.0513976 # DEPENDENCYPART_SIBL
(12,9),(12,11),0.375892 # DEPENDENCYPART_SIBL
(12,9),(12,13),0.0259458 # DEPENDENCYPART_SIBL
(12,9),(12,14),0.233831 # DEPENDENCYPART_SIBL
(12,9),(12,15),-0.0137222 # DEPENDENCYPART_SIBL
(12,9),(12,16),0.0056947 # DEPENDENCYPART_SIBL
(12,9),(12,17),-0.000174752 # DEPENDENCYPART_SIBL
(12,9),(12,18),-0.00815188 # DEPENDENCYPART_SIBL
(12,10),(12,11),0.437808 # DEPENDENCYPART_SIBL
(12,10),(12,13),0.0452501 # DEPENDENCYPART_SIBL
(12,10),(12,14),-0.0124633 # DEPENDENCYPART_SIBL
(12,10),(12,15),0.125365 # DEPENDENCYPART_SIBL
(12,10),(12,16),0.0642126 # DEPENDENCYPART_SIBL
(12,10),(12,17),0.213315 # DEPENDENCYPART_SIBL
(12,10),(12,18),0.183631 # DEPENDENCYPART_SIBL
(12,11),(12,13),0.0701703 # DEPENDENCYPART_SIBL
(12,11),(12,14),0.0218518 # DEPENDENCYPART_SIBL
(12,11),(12,15),0.0995068 # DEPENDENCYPART_SIBL
(12,11),(12,16),0.0407829 # DEPENDENCYPART_SIBL
(12,11),(12,17),0.195814 # DEPENDENCYPART_SIBL
(12,11),(12,18),0.198796 # DEPENDENCYPART_SIBL
(12,13),(12,14),-0.0124796 # DEPENDENCYPART_SIBL
(12,13),(12,15),-0.0462591 # DEPENDENCYPART_SIBL
(12,13),(12,16),-0.0390958 # DEPENDENCYPART_SIBL
(12,13),(12,17),-0.0458658 # DEPENDENCYPART_SIBL
(12,13),(12,18),0.0562167 # DEPENDENCYPART_SIBL
(12,14),(12,15),-0.0764709 # DEPENDENCYPART_SIBL
(12,14),(12,16),-0.050996 # DEPENDENCYPART_SIBL
(12,14),(12,17),-0.0601764 # DEPENDENCYPART_SIBL
(12,14),(12,18),-0.0584892 # DEPENDENCYPART_SIBL
(12,15),(12,16),0.0390447 # DEPENDENCYPART_SIBL
(12,15),(12,17),-0.0195241 # DEPENDENCYPART_SIBL
(12,15),(12,18),0.189548 # DEPENDENCYPART_SIBL
(12,16),(12,17),-0.0669515 # DEPENDENCYPART_SIBL
(12,16),(12,18),-0.00781482 # DEPENDENCYPART_SIBL
(12,17),(12,18),0.17343 # DEPENDENCYPART_SIBL
(13,7),(13,9),0.0678063 # DEPENDENCYPART_SIBL
(13,7),(13,10),0.144773 # DEPENDENCYPART_SIBL
(13,7),(13,11),0.0398805 # DEPENDENCYPART_SIBL
(13,7),(13,12),0.102495 # DEPENDENCYPART_SIBL
(13,7),(13,17),-0.00548911 # DEPENDENCYPART_SIBL
(13,7),(13,18),-0.0375479 # DEPENDENCYPART_SIBL
(13,9),(13,10),0.15158 # DEPENDENCYPART_SIBL
(13,9),(13,11),0.282505 # DEPENDENCYPART_SIBL
(13,9),(13,12),0.436302 # DEPENDENCYPART_SIBL
(13,9),(13,17),0.0108473 # DEPENDENCYPART_SIBL
(13,9),(13,18),0.0621801 # DEPENDENCYPART_SIBL
(13,10),(13,11),0.256209 # DEPENDENCYPART_SIBL
(13,10),(13,12),0.159801 # DEPENDENCYPART_SIBL
(13,10),(13,17),0.0489309 # DEPENDENCYPART_SIBL
(13,10),(13,18),0.125238 # DEPENDENCYPART_SIBL
(13,11),(13,12),0.162839 # DEPENDENCYPART_SIBL
(13,11),(13,17),-0.0220995 # DEPENDENCYPART_SIBL
(13,11),(13,18),0.0204113 # DEPENDENCYPART_SIBL
(13,12),(13,17),-0.0289196 # DEPENDENCYPART_SIBL
(13,12),(13,18),0.00386746 # DEPENDENCYPART_SIBL
(13,17),(13,18),0.0759764 # DEPENDENCYPART_SIBL
(14,1),(14,2),0.0170654 # DEPENDENCYPART_SIBL
(14,1),(14,3),-0.655951 # DEPENDENCYPART_SIBL
(14,1),(14,4),0.0707682 # DEPENDENCYPART_SIBL
(14,1),(14,5),0.447418 # DEPENDENCYPART_SIBL
(14,1),(14,6),0.517778 # DEPENDENCYPART_SIBL
(14,1),(14,7),-0.655951 # DEPENDENCYPART_SIBL
(14,1),(14,8),0.0120759 # DEPENDENCYPART_SIBL
(14,1),(14,9),0.0170654 # DEPENDENCYPART_SIBL
(14,1),(14,10),0.120276 # DEPENDENCYPART_SIBL
(14,1),(14,11),0.447418 # DEPENDENCYPART_SIBL
(14,1),(14,12),0.584629 # DEPENDENCYPART_SIBL
(14,1),(14,13),0.00346462 # DEPENDENCYPART_SIBL
(14,1),(14,15),-0.0459761 # DEPENDENCYPART_SIBL
(14,1),(14,17),-0.0415018 # DEPENDENCYPART_SIBL
(14,1),(14,18),-0.0050065 # DEPENDENCYPART_SIBL
(14,2),(14,3),-0.317123 # DEPENDENCYPART_SIBL
(14,2),(14,4),0.0504348 # DEPENDENCYPART_SIBL
(14,2),(14,5),0.641687 # DEPENDENCYPART_SIBL
(14,2),(14,6),0.538152 # DEPENDENCYPART_SIBL
(14,2),(14,7),-0.317123 # DEPENDENCYPART_SIBL
(14,2),(14,8),0.0462258 # DEPENDENCYPART_SIBL
(14,2),(14,9),-0.018106 # DEPENDENCYPART_SIBL
(14,2),(14,10),0.153199 # DEPENDENCYPART_SIBL
(14,2),(14,11),0.641687 # DEPENDENCYPART_SIBL
(14,2),(14,12),0.794005 # DEPENDENCYPART_SIBL
(14,2),(14,13),0.0444421 # DEPENDENCYPART_SIBL
(14,2),(14,15),0.0285825 # DEPENDENCYPART_SIBL
(14,2),(14,17),0.00741421 # DEPENDENCYPART_SIBL
(14,2),(14,18),0.041682 # DEPENDENCYPART_SIBL
(14,3),(14,4),0.147615 # DEPENDENCYPART_SIBL
(14,3),(14,5),0.190771 # DEPENDENCYPART_SIBL
(14,3),(14,6),0.305374 # DEPENDENCYPART_SIBL
(14,3),(14,7),-0.662013 # DEPENDENCYPART_SIBL
(14,3),(14,8),0.155843 # DEPENDENCYPART_SIBL
(14,3),(14,9),0.0129962 # DEPENDENCYPART_SIBL
(14,3),(14,10),0.20699 # DEPENDENCYPART_SIBL
(14,3),(14,11),0.190771 # DEPENDENCYPART_SIBL
(14,3),(14,12),0.138025 # DEPENDENCYPART_SIBL
(14,3),(14,13),0.15406 # DEPENDENCYPART_SIBL
(14,3),(14,15),0.0253671 # DEPENDENCYPART_SIBL
(14,3),(14,17),0.00837271 # DEPENDENCYPART_SIBL
(14,3),(14,18),-0.0285178 # DEPENDENCYPART_SIBL
(14,4),(14,5),0.203729 # DEPENDENCYPART_SIBL
(14,4),(14,6),0.359761 # DEPENDENCYPART_SIBL
(14,4),(14,7),-0.299726 # DEPENDENCYPART_SIBL
(14,4),(14,8),-0.0172814 # DEPENDENCYPART_SIBL
(14,4),(14,9),-0.00686505 # DEPENDENCYPART_SIBL
(14,4),(14,10),0.0715783 # DEPENDENCYPART_SIBL
(14,4),(14,11),0.203729 # DEPENDENCYPART_SIBL
(14,4),(14,12),0.416147 # DEPENDENCYPART_SIBL
(14,4),(14,13),-0.0190632 # DEPENDENCYPART_SIBL
(14,4),(14,15),-0.00470012 # DEPENDENCYPART_SIBL
(14,4),(14,17),-0.00568185 # DEPENDENCYPART_SIBL
(14,4),(14,18),0.0289004 # DEPENDENCYPART_SIBL
(14,5),(14,6),0.569029 # DEPENDENCYPART_SIBL
(14,5),(14,7),-0.408123 # DEPENDENCYPART_SIBL
(14,5),(14,8),0.0253304 # DEPENDENCYPART_SIBL
(14,5),(14,9),0.0569251 # DEPENDENCYPART_SIBL
(14,5),(14,10),0.140124 # DEPENDENCYPART_SIBL
(14,5),(14,11),0.0456326 # DEPENDENCYPART_SIBL
(14,5),(14,12),0.231586 # DEPENDENCYPART_SIBL
(14,5),(14,13),0.0119013 # DEPENDENCYPART_SIBL
(14,5),(14,15),-0.0485259 # DEPENDENCYPART_SIBL
(14,5),(14,17),-0.0282226 # DEPENDENCYPART_SIBL
(14,5),(14,18),0.0238545 # DEPENDENCYPART_SIBL
(14,6),(14,7),-0.347663 # DEPENDENCYPART_SIBL
(14,6),(14,8),0.0441697 # DEPENDENCYPART_SIBL
(14,6),(14,9),0.00565405 # DEPENDENCYPART_SIBL
(14,6),(14,10),0.154091 # DEPENDENCYPART_SIBL
(14,6),(14,11),0.111435 # DEPENDENCYPART_SIBL
(14,6),(14,12),0.0652889 # DEPENDENCYPART_SIBL
(14,6),(14,13),0.0421935 # DEPENDENCYPART_SIBL
(14,6),(14,15),0.0229986 # DEPENDENCYPART_SIBL
(14,6),(14,17),0.0266704 # DEPENDENCYPART_SIBL
(14,6),(14,18),0.194901 # DEPENDENCYPART_SIBL
(14,7),(14,8),0.155843 # DEPENDENCYPART_SIBL
(14,7),(14,9),0.0129962 # DEPENDENCYPART_SIBL
(14,7),(14,10),0.20699 # DEPENDENCYPART_SIBL
(14,7),(14,11),0.190771 # DEPENDENCYPART_SIBL
(14,7),(14,12),0.138025 # DEPENDENCYPART_SIBL
(14,7),(14,13),0.15406 # DEPENDENCYPART_SIBL
(14,7),(14,15),0.0253671 # DEPENDENCYPART_SIBL
