# _root_ Mint mondja , ősszel ők ketten lőtték a csapat góljainak felét , és ők vittek látványosságot a játékba .
#goldHeads=2,0,2,7,7,7,2,9,10,7,7,2,2,15,2,15,18,15,2,
#predictedHeads=2,13,2,7,7,7,13,9,10,7,7,13,0,15,13,15,18,15,13,
(5,7),(5,19),-0.00103329 # DEPENDENCYPART_SIBL
(5,9),(5,10),0.013832 # DEPENDENCYPART_SIBL
(5,9),(5,11),0.0138319 # DEPENDENCYPART_SIBL
(5,9),(5,15),-0.00450464 # DEPENDENCYPART_SIBL
(5,9),(5,16),0.013832 # DEPENDENCYPART_SIBL
(5,9),(5,18),0.013832 # DEPENDENCYPART_SIBL
(5,9),(5,19),0.0811485 # DEPENDENCYPART_SIBL
(5,10),(5,11),0.0151698 # DEPENDENCYPART_SIBL
(5,10),(5,15),-0.00106399 # DEPENDENCYPART_SIBL
(5,10),(5,16),0.0151699 # DEPENDENCYPART_SIBL
(5,10),(5,18),0.0151699 # DEPENDENCYPART_SIBL
(5,10),(5,19),0.0818795 # DEPENDENCYPART_SIBL
(5,11),(5,15),-0.00106682 # DEPENDENCYPART_SIBL
(5,11),(5,16),0.0151699 # DEPENDENCYPART_SIBL
(5,11),(5,18),0.0151699 # DEPENDENCYPART_SIBL
(5,11),(5,19),0.0818741 # DEPENDENCYPART_SIBL
(5,15),(5,16),-0.00844919 # DEPENDENCYPART_SIBL
(5,15),(5,18),-0.00844919 # DEPENDENCYPART_SIBL
(5,15),(5,19),-0.00103329 # DEPENDENCYPART_SIBL
(5,16),(5,18),0.0151699 # DEPENDENCYPART_SIBL
(5,16),(5,19),0.0818795 # DEPENDENCYPART_SIBL
(5,18),(5,19),0.0818795 # DEPENDENCYPART_SIBL
(6,1),(6,2),0.0702103 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.109991 # DEPENDENCYPART_SIBL
(6,1),(6,4),0.124732 # DEPENDENCYPART_SIBL
(6,1),(6,7),0.0350538 # DEPENDENCYPART_SIBL
(6,1),(6,9),0.0555176 # DEPENDENCYPART_SIBL
(6,1),(6,10),0.0544187 # DEPENDENCYPART_SIBL
(6,1),(6,11),0.0544187 # DEPENDENCYPART_SIBL
(6,1),(6,12),0.0355019 # DEPENDENCYPART_SIBL
(6,1),(6,15),0.0350538 # DEPENDENCYPART_SIBL
(6,1),(6,16),0.0544187 # DEPENDENCYPART_SIBL
(6,1),(6,18),0.0544187 # DEPENDENCYPART_SIBL
(6,1),(6,19),0.0688437 # DEPENDENCYPART_SIBL
(6,2),(6,3),0.313346 # DEPENDENCYPART_SIBL
(6,2),(6,4),0.124071 # DEPENDENCYPART_SIBL
(6,2),(6,7),0.0586358 # DEPENDENCYPART_SIBL
(6,2),(6,9),0.0079324 # DEPENDENCYPART_SIBL
(6,2),(6,10),0.00817417 # DEPENDENCYPART_SIBL
(6,2),(6,11),0.00817417 # DEPENDENCYPART_SIBL
(6,2),(6,12),0.0374333 # DEPENDENCYPART_SIBL
(6,2),(6,15),0.0586358 # DEPENDENCYPART_SIBL
(6,2),(6,16),0.00817417 # DEPENDENCYPART_SIBL
(6,2),(6,18),0.00817417 # DEPENDENCYPART_SIBL
(6,2),(6,19),0.0886412 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.130256 # DEPENDENCYPART_SIBL
(6,3),(6,7),0.0143387 # DEPENDENCYPART_SIBL
(6,3),(6,9),-0.0115497 # DEPENDENCYPART_SIBL
(6,3),(6,10),-0.0115497 # DEPENDENCYPART_SIBL
(6,3),(6,11),-0.0115497 # DEPENDENCYPART_SIBL
(6,3),(6,12),-0.00269917 # DEPENDENCYPART_SIBL
(6,3),(6,15),0.0143387 # DEPENDENCYPART_SIBL
(6,3),(6,16),-0.0115497 # DEPENDENCYPART_SIBL
(6,3),(6,18),-0.0115497 # DEPENDENCYPART_SIBL
(6,3),(6,19),0.0154318 # DEPENDENCYPART_SIBL
(6,4),(6,7),0.0428487 # DEPENDENCYPART_SIBL
(6,4),(6,9),0.0567255 # DEPENDENCYPART_SIBL
(6,4),(6,10),0.0556266 # DEPENDENCYPART_SIBL
(6,4),(6,11),0.0556266 # DEPENDENCYPART_SIBL
(6,4),(6,12),0.0588747 # DEPENDENCYPART_SIBL
(6,4),(6,15),0.0428487 # DEPENDENCYPART_SIBL
(6,4),(6,16),0.0556266 # DEPENDENCYPART_SIBL
(6,4),(6,18),0.0556266 # DEPENDENCYPART_SIBL
(6,4),(6,19),0.0767723 # DEPENDENCYPART_SIBL
(6,7),(6,9),-0.00363665 # DEPENDENCYPART_SIBL
(6,7),(6,10),-0.00304816 # DEPENDENCYPART_SIBL
(6,7),(6,11),-0.00304816 # DEPENDENCYPART_SIBL
(6,7),(6,12),0.0734237 # DEPENDENCYPART_SIBL
(6,7),(6,15),0.028006 # DEPENDENCYPART_SIBL
(6,7),(6,16),-0.00304816 # DEPENDENCYPART_SIBL
(6,7),(6,18),-0.00304816 # DEPENDENCYPART_SIBL
(6,7),(6,19),0.110835 # DEPENDENCYPART_SIBL
(6,9),(6,10),-0.0403765 # DEPENDENCYPART_SIBL
(6,9),(6,11),-0.0403766 # DEPENDENCYPART_SIBL
(6,9),(6,12),0.0505515 # DEPENDENCYPART_SIBL
(6,9),(6,15),0.045361 # DEPENDENCYPART_SIBL
(6,9),(6,16),-0.0403765 # DEPENDENCYPART_SIBL
(6,9),(6,18),-0.0403765 # DEPENDENCYPART_SIBL
(6,9),(6,19),-0.00591898 # DEPENDENCYPART_SIBL
(6,10),(6,11),-0.0403742 # DEPENDENCYPART_SIBL
(6,10),(6,12),0.05035 # DEPENDENCYPART_SIBL
(6,10),(6,15),0.0461304 # DEPENDENCYPART_SIBL
(6,10),(6,16),-0.0403742 # DEPENDENCYPART_SIBL
(6,10),(6,18),-0.0403742 # DEPENDENCYPART_SIBL
(6,10),(6,19),-0.00652369 # DEPENDENCYPART_SIBL
(6,11),(6,12),0.05035 # DEPENDENCYPART_SIBL
(6,11),(6,15),0.0461276 # DEPENDENCYPART_SIBL
(6,11),(6,16),-0.0403742 # DEPENDENCYPART_SIBL
(6,11),(6,18),-0.0403742 # DEPENDENCYPART_SIBL
(6,11),(6,19),-0.00652902 # DEPENDENCYPART_SIBL
(6,12),(6,15),0.354414 # DEPENDENCYPART_SIBL
(6,12),(6,16),0.0559387 # DEPENDENCYPART_SIBL
(6,12),(6,18),0.0559387 # DEPENDENCYPART_SIBL
(6,12),(6,19),0.0586836 # DEPENDENCYPART_SIBL
(6,15),(6,16),-0.00304816 # DEPENDENCYPART_SIBL
(6,15),(6,18),-0.00304816 # DEPENDENCYPART_SIBL
(6,15),(6,19),0.110835 # DEPENDENCYPART_SIBL
(6,16),(6,18),-0.0403742 # DEPENDENCYPART_SIBL
(6,16),(6,19),-0.00652369 # DEPENDENCYPART_SIBL
(6,18),(6,19),-0.00652369 # DEPENDENCYPART_SIBL
(7,1),(7,2),0.0193964 # DEPENDENCYPART_SIBL
(7,1),(7,3),0.0828185 # DEPENDENCYPART_SIBL
(7,1),(7,4),0.00765365 # DEPENDENCYPART_SIBL
(7,1),(7,5),-0.0218121 # DEPENDENCYPART_SIBL
(7,1),(7,6),0.129476 # DEPENDENCYPART_SIBL
(7,1),(7,8),-0.0984868 # DEPENDENCYPART_SIBL
(7,1),(7,9),-0.00298172 # DEPENDENCYPART_SIBL
(7,1),(7,10),-0.00659714 # DEPENDENCYPART_SIBL
(7,1),(7,11),-0.00659714 # DEPENDENCYPART_SIBL
(7,1),(7,12),-0.0811586 # DEPENDENCYPART_SIBL
(7,1),(7,13),-0.0357763 # DEPENDENCYPART_SIBL
(7,1),(7,14),-0.0136604 # DEPENDENCYPART_SIBL
(7,1),(7,15),-0.0611739 # DEPENDENCYPART_SIBL
(7,1),(7,16),-0.00659714 # DEPENDENCYPART_SIBL
(7,1),(7,18),-0.00659714 # DEPENDENCYPART_SIBL
(7,1),(7,19),-0.0345295 # DEPENDENCYPART_SIBL
(7,2),(7,3),0.0787228 # DEPENDENCYPART_SIBL
(7,2),(7,4),-0.017419 # DEPENDENCYPART_SIBL
(7,2),(7,5),-0.0763559 # DEPENDENCYPART_SIBL
(7,2),(7,6),-0.00898705 # DEPENDENCYPART_SIBL
(7,2),(7,8),-0.0314061 # DEPENDENCYPART_SIBL
(7,2),(7,9),-0.00882759 # DEPENDENCYPART_SIBL
(7,2),(7,10),-0.0100034 # DEPENDENCYPART_SIBL
(7,2),(7,11),-0.0100034 # DEPENDENCYPART_SIBL
(7,2),(7,12),0.0115444 # DEPENDENCYPART_SIBL
(7,2),(7,13),-0.0219364 # DEPENDENCYPART_SIBL
(7,2),(7,14),-0.0241886 # DEPENDENCYPART_SIBL
(7,2),(7,15),-0.0153579 # DEPENDENCYPART_SIBL
(7,2),(7,16),-0.0100034 # DEPENDENCYPART_SIBL
(7,2),(7,18),-0.0100034 # DEPENDENCYPART_SIBL
(7,2),(7,19),0.0157 # DEPENDENCYPART_SIBL
(7,3),(7,4),-0.0267293 # DEPENDENCYPART_SIBL
(7,3),(7,5),-0.0511705 # DEPENDENCYPART_SIBL
(7,3),(7,6),-0.0179044 # DEPENDENCYPART_SIBL
(7,3),(7,8),-0.0116264 # DEPENDENCYPART_SIBL
(7,3),(7,9),-0.016596 # DEPENDENCYPART_SIBL
(7,3),(7,10),-0.0180136 # DEPENDENCYPART_SIBL
(7,3),(7,11),-0.0180136 # DEPENDENCYPART_SIBL
(7,3),(7,12),-0.00490476 # DEPENDENCYPART_SIBL
(7,3),(7,13),-0.0227697 # DEPENDENCYPART_SIBL
(7,3),(7,14),-0.0138011 # DEPENDENCYPART_SIBL
(7,3),(7,15),-0.00508159 # DEPENDENCYPART_SIBL
(7,3),(7,16),-0.0180136 # DEPENDENCYPART_SIBL
(7,3),(7,18),-0.0180136 # DEPENDENCYPART_SIBL
(7,3),(7,19),0.0213227 # DEPENDENCYPART_SIBL
(7,4),(7,5),-0.0602004 # DEPENDENCYPART_SIBL
(7,4),(7,6),0.0651345 # DEPENDENCYPART_SIBL
(7,4),(7,8),-0.0827015 # DEPENDENCYPART_SIBL
(7,4),(7,9),-0.00103033 # DEPENDENCYPART_SIBL
(7,4),(7,10),-0.00464575 # DEPENDENCYPART_SIBL
(7,4),(7,11),-0.00464575 # DEPENDENCYPART_SIBL
(7,4),(7,12),-0.015867 # DEPENDENCYPART_SIBL
(7,4),(7,13),-0.0306407 # DEPENDENCYPART_SIBL
(7,4),(7,14),-0.0017049 # DEPENDENCYPART_SIBL
(7,4),(7,15),-0.0353362 # DEPENDENCYPART_SIBL
(7,4),(7,16),-0.00464575 # DEPENDENCYPART_SIBL
(7,4),(7,18),-0.00464575 # DEPENDENCYPART_SIBL
(7,4),(7,19),0.00328739 # DEPENDENCYPART_SIBL
(7,5),(7,6),0.0156242 # DEPENDENCYPART_SIBL
(7,5),(7,8),-0.0269985 # DEPENDENCYPART_SIBL
(7,5),(7,9),-0.00600878 # DEPENDENCYPART_SIBL
(7,5),(7,10),-0.00742635 # DEPENDENCYPART_SIBL
(7,5),(7,11),-0.00742635 # DEPENDENCYPART_SIBL
(7,5),(7,12),-0.0621922 # DEPENDENCYPART_SIBL
(7,5),(7,13),-0.0750694 # DEPENDENCYPART_SIBL
(7,5),(7,14),-0.0345363 # DEPENDENCYPART_SIBL
(7,5),(7,15),-0.0554882 # DEPENDENCYPART_SIBL
(7,5),(7,16),-0.00742635 # DEPENDENCYPART_SIBL
(7,5),(7,18),-0.00742635 # DEPENDENCYPART_SIBL
(7,5),(7,19),-0.0286263 # DEPENDENCYPART_SIBL
(7,6),(7,8),-0.00236639 # DEPENDENCYPART_SIBL
(7,6),(7,9),0.00328092 # DEPENDENCYPART_SIBL
(7,6),(7,10),0.00186335 # DEPENDENCYPART_SIBL
(7,6),(7,11),0.00186335 # DEPENDENCYPART_SIBL
(7,6),(7,12),-0.0200682 # DEPENDENCYPART_SIBL
(7,6),(7,13),-0.0827154 # DEPENDENCYPART_SIBL
(7,6),(7,14),-0.006279 # DEPENDENCYPART_SIBL
(7,6),(7,15),-0.0223628 # DEPENDENCYPART_SIBL
(7,6),(7,16),0.00186335 # DEPENDENCYPART_SIBL
(7,6),(7,18),0.00186335 # DEPENDENCYPART_SIBL
(7,6),(7,19),-0.00389377 # DEPENDENCYPART_SIBL
(7,8),(7,9),0.0119539 # DEPENDENCYPART_SIBL
(7,8),(7,10),0.0110333 # DEPENDENCYPART_SIBL
(7,8),(7,11),0.0103929 # DEPENDENCYPART_SIBL
(7,8),(7,12),-0.00728509 # DEPENDENCYPART_SIBL
(7,8),(7,13),0.0339442 # DEPENDENCYPART_SIBL
(7,8),(7,14),-0.00371703 # DEPENDENCYPART_SIBL
(7,8),(7,15),-0.0359816 # DEPENDENCYPART_SIBL
(7,8),(7,16),0.0110333 # DEPENDENCYPART_SIBL
(7,8),(7,18),0.0110333 # DEPENDENCYPART_SIBL
(7,8),(7,19),-0.0284786 # DEPENDENCYPART_SIBL
(7,9),(7,10),-0.0186811 # DEPENDENCYPART_SIBL
(7,9),(7,11),-0.0193216 # DEPENDENCYPART_SIBL
(7,9),(7,12),0.0438807 # DEPENDENCYPART_SIBL
(7,9),(7,13),0.0293793 # DEPENDENCYPART_SIBL
(7,9),(7,14),0.0430035 # DEPENDENCYPART_SIBL
(7,9),(7,15),-0.018709 # DEPENDENCYPART_SIBL
(7,9),(7,16),-0.0186811 # DEPENDENCYPART_SIBL
(7,9),(7,18),-0.0186811 # DEPENDENCYPART_SIBL
(7,9),(7,19),0.00162201 # DEPENDENCYPART_SIBL
(7,10),(7,11),-0.0197457 # DEPENDENCYPART_SIBL
(7,10),(7,12),0.0430489 # DEPENDENCYPART_SIBL
(7,10),(7,13),0.0300049 # DEPENDENCYPART_SIBL
(7,10),(7,14),0.0425747 # DEPENDENCYPART_SIBL
(7,10),(7,15),-0.0189344 # DEPENDENCYPART_SIBL
(7,10),(7,16),-0.0191053 # DEPENDENCYPART_SIBL
(7,10),(7,18),-0.0191053 # DEPENDENCYPART_SIBL
(7,10),(7,19),-1.62179e-05 # DEPENDENCYPART_SIBL
(7,11),(7,12),0.0430488 # DEPENDENCYPART_SIBL
(7,11),(7,13),0.0300022 # DEPENDENCYPART_SIBL
(7,11),(7,14),0.0425747 # DEPENDENCYPART_SIBL
(7,11),(7,15),-0.0189372 # DEPENDENCYPART_SIBL
(7,11),(7,16),-0.0191053 # DEPENDENCYPART_SIBL
(7,11),(7,18),-0.0191053 # DEPENDENCYPART_SIBL
(7,11),(7,19),-2.15518e-05 # DEPENDENCYPART_SIBL
(7,12),(7,13),0.0709146 # DEPENDENCYPART_SIBL
(7,12),(7,14),0.0154609 # DEPENDENCYPART_SIBL
(7,12),(7,15),0.194562 # DEPENDENCYPART_SIBL
(7,12),(7,16),0.07652 # DEPENDENCYPART_SIBL
(7,12),(7,18),0.07652 # DEPENDENCYPART_SIBL
(7,12),(7,19),0.0489202 # DEPENDENCYPART_SIBL
(7,13),(7,14),0.0661762 # DEPENDENCYPART_SIBL
(7,13),(7,15),0.0220002 # DEPENDENCYPART_SIBL
(7,13),(7,16),0.107612 # DEPENDENCYPART_SIBL
(7,13),(7,18),0.107612 # DEPENDENCYPART_SIBL
(7,13),(7,19),0.00340412 # DEPENDENCYPART_SIBL
(7,14),(7,15),-0.0245542 # DEPENDENCYPART_SIBL
(7,14),(7,16),0.0171307 # DEPENDENCYPART_SIBL
(7,14),(7,18),0.0171307 # DEPENDENCYPART_SIBL
(7,14),(7,19),0.00714029 # DEPENDENCYPART_SIBL
(7,15),(7,16),-0.00448328 # DEPENDENCYPART_SIBL
(7,15),(7,18),-0.00448328 # DEPENDENCYPART_SIBL
(7,15),(7,19),0.0178063 # DEPENDENCYPART_SIBL
(7,16),(7,18),-0.0191053 # DEPENDENCYPART_SIBL
(7,16),(7,19),-1.62179e-05 # DEPENDENCYPART_SIBL
(7,18),(7,19),-1.62179e-05 # DEPENDENCYPART_SIBL
(9,4),(9,5),0.0149004 # DEPENDENCYPART_SIBL
(9,4),(9,6),0.142232 # DEPENDENCYPART_SIBL
(9,4),(9,8),-0.414482 # DEPENDENCYPART_SIBL
(9,5),(9,6),0.00547896 # DEPENDENCYPART_SIBL
(9,5),(9,8),0.0288928 # DEPENDENCYPART_SIBL
(9,6),(9,8),-0.391517 # DEPENDENCYPART_SIBL
(10,2),(10,3),0.315964 # DEPENDENCYPART_SIBL
(10,2),(10,4),0.0403665 # DEPENDENCYPART_SIBL
(10,2),(10,5),-0.0129849 # DEPENDENCYPART_SIBL
(10,2),(10,6),-0.00992058 # DEPENDENCYPART_SIBL
(10,2),(10,7),0.0316578 # DEPENDENCYPART_SIBL
(10,2),(10,8),-0.353507 # DEPENDENCYPART_SIBL
(10,2),(10,9),-0.0458636 # DEPENDENCYPART_SIBL
(10,2),(10,11),-0.00728057 # DEPENDENCYPART_SIBL
(10,2),(10,12),-0.00848409 # DEPENDENCYPART_SIBL
(10,2),(10,13),0.0358918 # DEPENDENCYPART_SIBL
(10,3),(10,4),0.0586839 # DEPENDENCYPART_SIBL
(10,3),(10,5),-0.0239124 # DEPENDENCYPART_SIBL
(10,3),(10,6),-0.0455172 # DEPENDENCYPART_SIBL
(10,3),(10,7),0.140124 # DEPENDENCYPART_SIBL
(10,3),(10,8),-0.408123 # DEPENDENCYPART_SIBL
(10,3),(10,9),0.0569251 # DEPENDENCYPART_SIBL
(10,3),(10,11),-0.00844462 # DEPENDENCYPART_SIBL
(10,3),(10,12),-0.0346477 # DEPENDENCYPART_SIBL
(10,3),(10,13),-0.00334054 # DEPENDENCYPART_SIBL
(10,4),(10,5),0.0149004 # DEPENDENCYPART_SIBL
(10,4),(10,6),0.144099 # DEPENDENCYPART_SIBL
(10,4),(10,7),0.0691284 # DEPENDENCYPART_SIBL
(10,4),(10,8),-0.414482 # DEPENDENCYPART_SIBL
(10,4),(10,9),0.0289218 # DEPENDENCYPART_SIBL
(10,4),(10,11),0.00854837 # DEPENDENCYPART_SIBL
(10,4),(10,12),0.00927113 # DEPENDENCYPART_SIBL
(10,4),(10,13),0.0453849 # DEPENDENCYPART_SIBL
(10,5),(10,6),0.00734553 # DEPENDENCYPART_SIBL
(10,5),(10,7),0.0920223 # DEPENDENCYPART_SIBL
(10,5),(10,8),0.0288928 # DEPENDENCYPART_SIBL
(10,5),(10,9),-0.0430724 # DEPENDENCYPART_SIBL
(10,5),(10,11),0.0162266 # DEPENDENCYPART_SIBL
(10,5),(10,12),-0.015412 # DEPENDENCYPART_SIBL
(10,5),(10,13),-0.00361346 # DEPENDENCYPART_SIBL
(10,6),(10,7),0.089256 # DEPENDENCYPART_SIBL
(10,6),(10,8),-0.390222 # DEPENDENCYPART_SIBL
(10,6),(10,9),-0.015024 # DEPENDENCYPART_SIBL
(10,6),(10,11),0.0136223 # DEPENDENCYPART_SIBL
(10,6),(10,12),-0.0211906 # DEPENDENCYPART_SIBL
(10,6),(10,13),-0.0179502 # DEPENDENCYPART_SIBL
(10,7),(10,8),-0.353507 # DEPENDENCYPART_SIBL
(10,7),(10,9),-0.051077 # DEPENDENCYPART_SIBL
(10,7),(10,11),-0.00602676 # DEPENDENCYPART_SIBL
(10,7),(10,12),-0.0137764 # DEPENDENCYPART_SIBL
(10,7),(10,13),0.0341642 # DEPENDENCYPART_SIBL
(10,8),(10,9),0.0129962 # DEPENDENCYPART_SIBL
(10,8),(10,11),-0.00331967 # DEPENDENCYPART_SIBL
(10,8),(10,12),-0.00907785 # DEPENDENCYPART_SIBL
(10,8),(10,13),0.00449301 # DEPENDENCYPART_SIBL
(10,9),(10,11),0.00262502 # DEPENDENCYPART_SIBL
(10,9),(10,12),-0.00284324 # DEPENDENCYPART_SIBL
(10,9),(10,13),0.0300399 # DEPENDENCYPART_SIBL
(10,11),(10,12),0.103086 # DEPENDENCYPART_SIBL
(10,11),(10,13),-0.000975592 # DEPENDENCYPART_SIBL
(10,12),(10,13),0.0802639 # DEPENDENCYPART_SIBL
(11,2),(11,3),0.315964 # DEPENDENCYPART_SIBL
(11,2),(11,4),0.0403665 # DEPENDENCYPART_SIBL
(11,2),(11,5),-0.0128127 # DEPENDENCYPART_SIBL
(11,2),(11,6),-0.00992058 # DEPENDENCYPART_SIBL
(11,2),(11,8),-0.353507 # DEPENDENCYPART_SIBL
(11,2),(11,9),-0.0458636 # DEPENDENCYPART_SIBL
(11,2),(11,10),-0.045214 # DEPENDENCYPART_SIBL
(11,2),(11,12),-0.00848409 # DEPENDENCYPART_SIBL
(11,2),(11,13),0.0358918 # DEPENDENCYPART_SIBL
(11,2),(11,15),0.0312577 # DEPENDENCYPART_SIBL
(11,2),(11,16),-0.00728056 # DEPENDENCYPART_SIBL
(11,2),(11,18),-0.00728056 # DEPENDENCYPART_SIBL
(11,3),(11,4),0.0586839 # DEPENDENCYPART_SIBL
(11,3),(11,5),-0.0237401 # DEPENDENCYPART_SIBL
(11,3),(11,6),-0.0455172 # DEPENDENCYPART_SIBL
(11,3),(11,8),-0.408123 # DEPENDENCYPART_SIBL
(11,3),(11,9),0.0569251 # DEPENDENCYPART_SIBL
(11,3),(11,10),0.0569251 # DEPENDENCYPART_SIBL
(11,3),(11,12),-0.0346477 # DEPENDENCYPART_SIBL
(11,3),(11,13),-0.00334054 # DEPENDENCYPART_SIBL
(11,3),(11,15),-0.0278874 # DEPENDENCYPART_SIBL
(11,3),(11,16),-0.00844461 # DEPENDENCYPART_SIBL
(11,3),(11,18),-0.00844461 # DEPENDENCYPART_SIBL
(11,4),(11,5),0.0150727 # DEPENDENCYPART_SIBL
(11,4),(11,6),0.144099 # DEPENDENCYPART_SIBL
(11,4),(11,8),-0.414482 # DEPENDENCYPART_SIBL
(11,4),(11,9),0.0289218 # DEPENDENCYPART_SIBL
(11,4),(11,10),0.0289219 # DEPENDENCYPART_SIBL
(11,4),(11,12),0.00927113 # DEPENDENCYPART_SIBL
(11,4),(11,13),0.0453849 # DEPENDENCYPART_SIBL
(11,4),(11,15),0.0468125 # DEPENDENCYPART_SIBL
(11,4),(11,16),0.00854838 # DEPENDENCYPART_SIBL
(11,4),(11,18),0.00854838 # DEPENDENCYPART_SIBL
(11,5),(11,6),0.00734553 # DEPENDENCYPART_SIBL
(11,5),(11,8),0.0288928 # DEPENDENCYPART_SIBL
(11,5),(11,9),-0.0430724 # DEPENDENCYPART_SIBL
(11,5),(11,10),-0.0430724 # DEPENDENCYPART_SIBL
(11,5),(11,12),-0.015412 # DEPENDENCYPART_SIBL
(11,5),(11,13),-0.0036135 # DEPENDENCYPART_SIBL
(11,5),(11,15),0.0435848 # DEPENDENCYPART_SIBL
(11,5),(11,16),0.0162265 # DEPENDENCYPART_SIBL
(11,5),(11,18),0.0162265 # DEPENDENCYPART_SIBL
(11,6),(11,8),-0.390222 # DEPENDENCYPART_SIBL
(11,6),(11,9),-0.015024 # DEPENDENCYPART_SIBL
(11,6),(11,10),-0.015024 # DEPENDENCYPART_SIBL
(11,6),(11,12),-0.0211906 # DEPENDENCYPART_SIBL
(11,6),(11,13),-0.0179502 # DEPENDENCYPART_SIBL
(11,6),(11,15),-0.000522835 # DEPENDENCYPART_SIBL
(11,6),(11,16),0.0136223 # DEPENDENCYPART_SIBL
(11,6),(11,18),0.0136223 # DEPENDENCYPART_SIBL
(11,8),(11,9),0.0129962 # DEPENDENCYPART_SIBL
(11,8),(11,10),0.0129962 # DEPENDENCYPART_SIBL
(11,8),(11,12),-0.00907785 # DEPENDENCYPART_SIBL
(11,8),(11,13),0.00449301 # DEPENDENCYPART_SIBL
(11,8),(11,15),0.00861766 # DEPENDENCYPART_SIBL
(11,8),(11,16),-0.00331961 # DEPENDENCYPART_SIBL
(11,8),(11,18),-0.00331961 # DEPENDENCYPART_SIBL
(11,9),(11,10),-0.0169248 # DEPENDENCYPART_SIBL
(11,9),(11,12),-0.00284324 # DEPENDENCYPART_SIBL
(11,9),(11,13),0.0300399 # DEPENDENCYPART_SIBL
(11,9),(11,15),0.00765348 # DEPENDENCYPART_SIBL
(11,9),(11,16),0.00263016 # DEPENDENCYPART_SIBL
(11,9),(11,18),0.00263016 # DEPENDENCYPART_SIBL
(11,10),(11,12),-0.00283849 # DEPENDENCYPART_SIBL
(11,10),(11,13),0.0300658 # DEPENDENCYPART_SIBL
(11,10),(11,15),0.00765812 # DEPENDENCYPART_SIBL
(11,10),(11,16),0.00337853 # DEPENDENCYPART_SIBL
(11,10),(11,18),0.00337853 # DEPENDENCYPART_SIBL
(11,12),(11,13),0.0802639 # DEPENDENCYPART_SIBL
(11,12),(11,15),0.425607 # DEPENDENCYPART_SIBL
(11,12),(11,16),0.342981 # DEPENDENCYPART_SIBL
(11,12),(11,18),0.342981 # DEPENDENCYPART_SIBL
(11,13),(11,15),0.0674514 # DEPENDENCYPART_SIBL
(11,13),(11,16),0.0392933 # DEPENDENCYPART_SIBL
(11,13),(11,18),0.0392933 # DEPENDENCYPART_SIBL
(11,15),(11,16),0.0764131 # DEPENDENCYPART_SIBL
(11,15),(11,18),0.0764131 # DEPENDENCYPART_SIBL
(11,16),(11,18),0.00471394 # DEPENDENCYPART_SIBL
(13,2),(13,3),0.45464 # DEPENDENCYPART_SIBL
(13,2),(13,4),-0.0286598 # DEPENDENCYPART_SIBL
(13,2),(13,6),0.0456837 # DEPENDENCYPART_SIBL
(13,2),(13,7),0.0154972 # DEPENDENCYPART_SIBL
(13,2),(13,8),-0.00320066 # DEPENDENCYPART_SIBL
(13,2),(13,9),-0.00512376 # DEPENDENCYPART_SIBL
(13,2),(13,10),-0.00447422 # DEPENDENCYPART_SIBL
(13,2),(13,11),-0.00482258 # DEPENDENCYPART_SIBL
(13,2),(13,12),0.45464 # DEPENDENCYPART_SIBL
(13,2),(13,15),0.205195 # DEPENDENCYPART_SIBL
(13,2),(13,16),-0.014988 # DEPENDENCYPART_SIBL
(13,2),(13,18),-0.014988 # DEPENDENCYPART_SIBL
(13,2),(13,19),0.17394 # DEPENDENCYPART_SIBL
(13,3),(13,4),-0.0274929 # DEPENDENCYPART_SIBL
(13,3),(13,6),0.0475991 # DEPENDENCYPART_SIBL
(13,3),(13,7),0.111924 # DEPENDENCYPART_SIBL
(13,3),(13,8),0.00113436 # DEPENDENCYPART_SIBL
(13,3),(13,9),0.0324195 # DEPENDENCYPART_SIBL
(13,3),(13,10),0.0324195 # DEPENDENCYPART_SIBL
(13,3),(13,11),0.0324182 # DEPENDENCYPART_SIBL
(13,3),(13,12),0.0345787 # DEPENDENCYPART_SIBL
(13,3),(13,15),0.195911 # DEPENDENCYPART_SIBL
(13,3),(13,16),0.0218518 # DEPENDENCYPART_SIBL
(13,3),(13,18),0.0218518 # DEPENDENCYPART_SIBL
(13,3),(13,19),0.198796 # DEPENDENCYPART_SIBL
(13,4),(13,6),0.0493589 # DEPENDENCYPART_SIBL
(13,4),(13,7),-0.00894906 # DEPENDENCYPART_SIBL
(13,4),(13,8),-0.0761726 # DEPENDENCYPART_SIBL
(13,4),(13,9),-0.0254344 # DEPENDENCYPART_SIBL
(13,4),(13,10),-0.0254343 # DEPENDENCYPART_SIBL
(13,4),(13,11),-0.0233847 # DEPENDENCYPART_SIBL
(13,4),(13,12),0.170216 # DEPENDENCYPART_SIBL
(13,4),(13,15),-0.0109527 # DEPENDENCYPART_SIBL
(13,4),(13,16),0.0123139 # DEPENDENCYPART_SIBL
(13,4),(13,18),0.0123139 # DEPENDENCYPART_SIBL
(13,4),(13,19),-0.0224717 # DEPENDENCYPART_SIBL
(13,6),(13,7),0.0331383 # DEPENDENCYPART_SIBL
(13,6),(13,8),-0.00564682 # DEPENDENCYPART_SIBL
(13,6),(13,9),-0.00239141 # DEPENDENCYPART_SIBL
(13,6),(13,10),-0.00239139 # DEPENDENCYPART_SIBL
