# _root_ — Öt percet kaptunk , hogy elhagyjuk a lakásunkat — meséli egy asszony , akit az EBESZ-szóvivő találomra állít meg .
#goldHeads=11,3,4,11,4,4,4,9,7,11,0,13,11,11,19,17,19,19,11,19,11,
#predictedHeads=11,3,4,11,4,4,4,9,7,11,0,13,11,11,19,17,19,19,11,19,11,
(4,15),(4,18),0.0273744 # DEPENDENCYPART_SIBL
(4,15),(4,19),-0.0458293 # DEPENDENCYPART_SIBL
(4,15),(4,20),0.0072163 # DEPENDENCYPART_SIBL
(4,15),(4,21),-0.00821862 # DEPENDENCYPART_SIBL
(4,17),(4,18),0.0054206 # DEPENDENCYPART_SIBL
(4,17),(4,19),-0.0269017 # DEPENDENCYPART_SIBL
(4,17),(4,20),-0.0175573 # DEPENDENCYPART_SIBL
(4,17),(4,21),-4.35272e-05 # DEPENDENCYPART_SIBL
(4,18),(4,19),-0.0307731 # DEPENDENCYPART_SIBL
(4,18),(4,20),-0.0460984 # DEPENDENCYPART_SIBL
(4,18),(4,21),-0.0116212 # DEPENDENCYPART_SIBL
(4,19),(4,20),-0.0203713 # DEPENDENCYPART_SIBL
(4,19),(4,21),0.010354 # DEPENDENCYPART_SIBL
(4,20),(4,21),0.0174487 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.0286696 # DEPENDENCYPART_SIBL
(6,1),(6,4),0.161333 # DEPENDENCYPART_SIBL
(6,1),(6,5),0.133918 # DEPENDENCYPART_SIBL
(6,1),(6,7),0.21915 # DEPENDENCYPART_SIBL
(6,1),(6,9),0.000540199 # DEPENDENCYPART_SIBL
(6,1),(6,10),0.466024 # DEPENDENCYPART_SIBL
(6,1),(6,11),0.21915 # DEPENDENCYPART_SIBL
(6,1),(6,13),0.0138226 # DEPENDENCYPART_SIBL
(6,1),(6,14),-0.0153626 # DEPENDENCYPART_SIBL
(6,1),(6,17),0.000540199 # DEPENDENCYPART_SIBL
(6,1),(6,18),0.0871676 # DEPENDENCYPART_SIBL
(6,1),(6,19),0.212462 # DEPENDENCYPART_SIBL
(6,1),(6,21),0.0457735 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.0497252 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.389861 # DEPENDENCYPART_SIBL
(6,3),(6,7),0.113356 # DEPENDENCYPART_SIBL
(6,3),(6,9),0.0804092 # DEPENDENCYPART_SIBL
(6,3),(6,10),-0.029373 # DEPENDENCYPART_SIBL
(6,3),(6,11),0.113356 # DEPENDENCYPART_SIBL
(6,3),(6,13),0.102914 # DEPENDENCYPART_SIBL
(6,3),(6,14),-0.0217812 # DEPENDENCYPART_SIBL
(6,3),(6,17),0.0804092 # DEPENDENCYPART_SIBL
(6,3),(6,18),0.0247682 # DEPENDENCYPART_SIBL
(6,3),(6,19),0.106809 # DEPENDENCYPART_SIBL
(6,3),(6,21),0.132645 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.439553 # DEPENDENCYPART_SIBL
(6,4),(6,7),0.102829 # DEPENDENCYPART_SIBL
(6,4),(6,9),-0.122592 # DEPENDENCYPART_SIBL
(6,4),(6,10),-0.127399 # DEPENDENCYPART_SIBL
(6,4),(6,11),0.102829 # DEPENDENCYPART_SIBL
(6,4),(6,13),-0.114629 # DEPENDENCYPART_SIBL
(6,4),(6,14),-0.098224 # DEPENDENCYPART_SIBL
(6,4),(6,17),-0.122592 # DEPENDENCYPART_SIBL
(6,4),(6,18),-0.0163147 # DEPENDENCYPART_SIBL
(6,4),(6,19),0.0970789 # DEPENDENCYPART_SIBL
(6,4),(6,21),0.0574694 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.297142 # DEPENDENCYPART_SIBL
(6,5),(6,9),0.0175236 # DEPENDENCYPART_SIBL
(6,5),(6,10),0.0221512 # DEPENDENCYPART_SIBL
(6,5),(6,11),0.297142 # DEPENDENCYPART_SIBL
(6,5),(6,13),0.0354822 # DEPENDENCYPART_SIBL
(6,5),(6,14),0.00885234 # DEPENDENCYPART_SIBL
(6,5),(6,17),0.0175236 # DEPENDENCYPART_SIBL
(6,5),(6,18),0.112601 # DEPENDENCYPART_SIBL
(6,5),(6,19),0.289624 # DEPENDENCYPART_SIBL
(6,5),(6,21),0.213472 # DEPENDENCYPART_SIBL
(6,7),(6,9),0.0612641 # DEPENDENCYPART_SIBL
(6,7),(6,10),0.151061 # DEPENDENCYPART_SIBL
(6,7),(6,11),-0.0217105 # DEPENDENCYPART_SIBL
(6,7),(6,13),0.0612575 # DEPENDENCYPART_SIBL
(6,7),(6,14),0.137759 # DEPENDENCYPART_SIBL
(6,7),(6,17),0.0612641 # DEPENDENCYPART_SIBL
(6,7),(6,18),0.0263108 # DEPENDENCYPART_SIBL
(6,7),(6,19),-0.021794 # DEPENDENCYPART_SIBL
(6,7),(6,21),0.0329812 # DEPENDENCYPART_SIBL
(6,9),(6,10),0.0247047 # DEPENDENCYPART_SIBL
(6,9),(6,11),-0.0414629 # DEPENDENCYPART_SIBL
(6,9),(6,13),-0.0268423 # DEPENDENCYPART_SIBL
(6,9),(6,14),0.013313 # DEPENDENCYPART_SIBL
(6,9),(6,17),-0.0240434 # DEPENDENCYPART_SIBL
(6,9),(6,18),-0.0161422 # DEPENDENCYPART_SIBL
(6,9),(6,19),-0.042661 # DEPENDENCYPART_SIBL
(6,9),(6,21),0.00247674 # DEPENDENCYPART_SIBL
(6,10),(6,11),0.00996707 # DEPENDENCYPART_SIBL
(6,10),(6,13),0.0206378 # DEPENDENCYPART_SIBL
(6,10),(6,14),-0.0364428 # DEPENDENCYPART_SIBL
(6,10),(6,17),0.0199357 # DEPENDENCYPART_SIBL
(6,10),(6,18),0.0333723 # DEPENDENCYPART_SIBL
(6,10),(6,19),0.00699164 # DEPENDENCYPART_SIBL
(6,10),(6,21),-0.0408288 # DEPENDENCYPART_SIBL
(6,11),(6,13),0.0612575 # DEPENDENCYPART_SIBL
(6,11),(6,14),0.137759 # DEPENDENCYPART_SIBL
(6,11),(6,17),0.0612641 # DEPENDENCYPART_SIBL
(6,11),(6,18),0.0263108 # DEPENDENCYPART_SIBL
(6,11),(6,19),-0.021794 # DEPENDENCYPART_SIBL
(6,11),(6,21),0.0329812 # DEPENDENCYPART_SIBL
(6,13),(6,14),0.0125219 # DEPENDENCYPART_SIBL
(6,13),(6,17),-0.0221284 # DEPENDENCYPART_SIBL
(6,13),(6,18),-0.0164969 # DEPENDENCYPART_SIBL
(6,13),(6,19),-0.0429243 # DEPENDENCYPART_SIBL
(6,13),(6,21),0.00340733 # DEPENDENCYPART_SIBL
(6,14),(6,17),0.121388 # DEPENDENCYPART_SIBL
(6,14),(6,18),0.126833 # DEPENDENCYPART_SIBL
(6,14),(6,19),0.222318 # DEPENDENCYPART_SIBL
(6,14),(6,21),0.0259896 # DEPENDENCYPART_SIBL
(6,17),(6,18),-0.0161422 # DEPENDENCYPART_SIBL
(6,17),(6,19),-0.042661 # DEPENDENCYPART_SIBL
(6,17),(6,21),0.00247674 # DEPENDENCYPART_SIBL
(6,18),(6,19),-0.0386415 # DEPENDENCYPART_SIBL
(6,18),(6,21),0.00261761 # DEPENDENCYPART_SIBL
(6,19),(6,21),0.0274377 # DEPENDENCYPART_SIBL
(7,1),(7,2),-0.0185492 # DEPENDENCYPART_SIBL
(7,1),(7,3),-0.0751288 # DEPENDENCYPART_SIBL
(7,1),(7,4),0.0778934 # DEPENDENCYPART_SIBL
(7,1),(7,5),-0.0208054 # DEPENDENCYPART_SIBL
(7,1),(7,6),0.027769 # DEPENDENCYPART_SIBL
(7,1),(7,8),-0.0293929 # DEPENDENCYPART_SIBL
(7,1),(7,9),0.0311363 # DEPENDENCYPART_SIBL
(7,1),(7,10),0.225113 # DEPENDENCYPART_SIBL
(7,1),(7,11),-0.020675 # DEPENDENCYPART_SIBL
(7,1),(7,13),0.039389 # DEPENDENCYPART_SIBL
(7,1),(7,14),-0.000864756 # DEPENDENCYPART_SIBL
(7,1),(7,15),-0.0520008 # DEPENDENCYPART_SIBL
(7,1),(7,17),0.0311363 # DEPENDENCYPART_SIBL
(7,1),(7,18),-0.0135464 # DEPENDENCYPART_SIBL
(7,1),(7,19),-0.0229214 # DEPENDENCYPART_SIBL
(7,1),(7,20),0.0220728 # DEPENDENCYPART_SIBL
(7,1),(7,21),0.109061 # DEPENDENCYPART_SIBL
(7,2),(7,3),0.00949877 # DEPENDENCYPART_SIBL
(7,2),(7,4),-0.0300212 # DEPENDENCYPART_SIBL
(7,2),(7,5),0.0619685 # DEPENDENCYPART_SIBL
(7,2),(7,6),0.0981194 # DEPENDENCYPART_SIBL
(7,2),(7,8),0.00188127 # DEPENDENCYPART_SIBL
(7,2),(7,9),0.00967891 # DEPENDENCYPART_SIBL
(7,2),(7,10),-0.0260116 # DEPENDENCYPART_SIBL
(7,2),(7,11),-0.0146485 # DEPENDENCYPART_SIBL
(7,2),(7,13),0.00902713 # DEPENDENCYPART_SIBL
(7,2),(7,14),-0.0133232 # DEPENDENCYPART_SIBL
(7,2),(7,15),-0.00121568 # DEPENDENCYPART_SIBL
(7,2),(7,17),0.00967891 # DEPENDENCYPART_SIBL
(7,2),(7,18),0.0459933 # DEPENDENCYPART_SIBL
(7,2),(7,19),-0.0159913 # DEPENDENCYPART_SIBL
(7,2),(7,20),0.0875757 # DEPENDENCYPART_SIBL
(7,2),(7,21),-0.00139484 # DEPENDENCYPART_SIBL
(7,3),(7,4),-0.0104691 # DEPENDENCYPART_SIBL
(7,3),(7,5),0.0956238 # DEPENDENCYPART_SIBL
(7,3),(7,6),0.0468068 # DEPENDENCYPART_SIBL
(7,3),(7,8),-0.0220939 # DEPENDENCYPART_SIBL
(7,3),(7,9),-0.0120342 # DEPENDENCYPART_SIBL
(7,3),(7,10),-0.0431734 # DEPENDENCYPART_SIBL
(7,3),(7,11),-0.0182762 # DEPENDENCYPART_SIBL
(7,3),(7,13),-0.00731823 # DEPENDENCYPART_SIBL
(7,3),(7,14),-0.00928249 # DEPENDENCYPART_SIBL
(7,3),(7,15),-0.0273829 # DEPENDENCYPART_SIBL
(7,3),(7,17),-0.0120342 # DEPENDENCYPART_SIBL
(7,3),(7,18),-0.0138174 # DEPENDENCYPART_SIBL
(7,3),(7,19),-0.021086 # DEPENDENCYPART_SIBL
(7,3),(7,20),0.0870169 # DEPENDENCYPART_SIBL
(7,3),(7,21),0.00402558 # DEPENDENCYPART_SIBL
(7,4),(7,5),0.0770246 # DEPENDENCYPART_SIBL
(7,4),(7,6),-0.056955 # DEPENDENCYPART_SIBL
(7,4),(7,8),-0.0338179 # DEPENDENCYPART_SIBL
(7,4),(7,9),-0.0113983 # DEPENDENCYPART_SIBL
(7,4),(7,10),-0.0125799 # DEPENDENCYPART_SIBL
(7,4),(7,11),-0.0131867 # DEPENDENCYPART_SIBL
(7,4),(7,13),-0.0103603 # DEPENDENCYPART_SIBL
(7,4),(7,14),-0.00223336 # DEPENDENCYPART_SIBL
(7,4),(7,15),-0.0245528 # DEPENDENCYPART_SIBL
(7,4),(7,17),-0.0113983 # DEPENDENCYPART_SIBL
(7,4),(7,18),-0.0164169 # DEPENDENCYPART_SIBL
(7,4),(7,19),-0.0148532 # DEPENDENCYPART_SIBL
(7,4),(7,20),0.0296453 # DEPENDENCYPART_SIBL
(7,4),(7,21),0.0190871 # DEPENDENCYPART_SIBL
(7,5),(7,6),0.0307099 # DEPENDENCYPART_SIBL
(7,5),(7,8),-0.0116264 # DEPENDENCYPART_SIBL
(7,5),(7,9),-0.0180136 # DEPENDENCYPART_SIBL
(7,5),(7,10),-0.0580021 # DEPENDENCYPART_SIBL
(7,5),(7,11),-0.00508159 # DEPENDENCYPART_SIBL
(7,5),(7,13),-0.00085869 # DEPENDENCYPART_SIBL
(7,5),(7,14),-0.00490476 # DEPENDENCYPART_SIBL
(7,5),(7,15),-0.01597 # DEPENDENCYPART_SIBL
(7,5),(7,17),-0.0180136 # DEPENDENCYPART_SIBL
(7,5),(7,18),-0.0212006 # DEPENDENCYPART_SIBL
(7,5),(7,19),-0.00764237 # DEPENDENCYPART_SIBL
(7,5),(7,20),0.0427109 # DEPENDENCYPART_SIBL
(7,5),(7,21),0.0213227 # DEPENDENCYPART_SIBL
(7,6),(7,8),-0.042521 # DEPENDENCYPART_SIBL
(7,6),(7,9),-0.019771 # DEPENDENCYPART_SIBL
(7,6),(7,10),-0.0569907 # DEPENDENCYPART_SIBL
(7,6),(7,11),-0.0462302 # DEPENDENCYPART_SIBL
(7,6),(7,13),-0.0174018 # DEPENDENCYPART_SIBL
(7,6),(7,14),-0.044926 # DEPENDENCYPART_SIBL
(7,6),(7,15),-0.0324218 # DEPENDENCYPART_SIBL
(7,6),(7,17),-0.019771 # DEPENDENCYPART_SIBL
(7,6),(7,18),-0.0312996 # DEPENDENCYPART_SIBL
(7,6),(7,19),-0.0477913 # DEPENDENCYPART_SIBL
(7,6),(7,20),0.0106139 # DEPENDENCYPART_SIBL
(7,6),(7,21),0.0165303 # DEPENDENCYPART_SIBL
(7,8),(7,9),0.0110333 # DEPENDENCYPART_SIBL
(7,8),(7,10),-0.0247267 # DEPENDENCYPART_SIBL
(7,8),(7,11),-0.0359816 # DEPENDENCYPART_SIBL
(7,8),(7,13),0.00273746 # DEPENDENCYPART_SIBL
(7,8),(7,14),-0.00728509 # DEPENDENCYPART_SIBL
(7,8),(7,15),-0.00444632 # DEPENDENCYPART_SIBL
(7,8),(7,17),0.0110333 # DEPENDENCYPART_SIBL
(7,8),(7,18),-0.0110524 # DEPENDENCYPART_SIBL
(7,8),(7,19),-0.0404824 # DEPENDENCYPART_SIBL
(7,8),(7,20),-0.0175983 # DEPENDENCYPART_SIBL
(7,8),(7,21),-0.0284786 # DEPENDENCYPART_SIBL
(7,9),(7,10),0.00623983 # DEPENDENCYPART_SIBL
(7,9),(7,11),-0.0189344 # DEPENDENCYPART_SIBL
(7,9),(7,13),-0.0328389 # DEPENDENCYPART_SIBL
(7,9),(7,14),0.0430489 # DEPENDENCYPART_SIBL
(7,9),(7,15),0.0406913 # DEPENDENCYPART_SIBL
(7,9),(7,17),-0.0191053 # DEPENDENCYPART_SIBL
(7,9),(7,18),0.00542112 # DEPENDENCYPART_SIBL
(7,9),(7,19),-0.0256103 # DEPENDENCYPART_SIBL
(7,9),(7,20),-0.0175568 # DEPENDENCYPART_SIBL
(7,9),(7,21),-1.62179e-05 # DEPENDENCYPART_SIBL
(7,10),(7,11),0.0110027 # DEPENDENCYPART_SIBL
(7,10),(7,13),0.0214681 # DEPENDENCYPART_SIBL
(7,10),(7,14),0.00626865 # DEPENDENCYPART_SIBL
(7,10),(7,15),0.00499792 # DEPENDENCYPART_SIBL
(7,10),(7,17),0.0316142 # DEPENDENCYPART_SIBL
(7,10),(7,18),0.0414009 # DEPENDENCYPART_SIBL
(7,10),(7,19),0.00117807 # DEPENDENCYPART_SIBL
(7,10),(7,20),0.00915437 # DEPENDENCYPART_SIBL
(7,10),(7,21),0.00261462 # DEPENDENCYPART_SIBL
(7,11),(7,13),-0.0127824 # DEPENDENCYPART_SIBL
(7,11),(7,14),0.0599745 # DEPENDENCYPART_SIBL
(7,11),(7,15),-0.02687 # DEPENDENCYPART_SIBL
(7,11),(7,17),-0.00448328 # DEPENDENCYPART_SIBL
(7,11),(7,18),0.00686378 # DEPENDENCYPART_SIBL
(7,11),(7,19),-0.00995435 # DEPENDENCYPART_SIBL
(7,11),(7,20),-0.0171881 # DEPENDENCYPART_SIBL
(7,11),(7,21),0.0178063 # DEPENDENCYPART_SIBL
(7,13),(7,14),0.0406839 # DEPENDENCYPART_SIBL
(7,13),(7,15),0.0388512 # DEPENDENCYPART_SIBL
(7,13),(7,17),-0.0188259 # DEPENDENCYPART_SIBL
(7,13),(7,18),0.00333841 # DEPENDENCYPART_SIBL
(7,13),(7,19),-0.0275081 # DEPENDENCYPART_SIBL
(7,13),(7,20),-0.0196395 # DEPENDENCYPART_SIBL
(7,13),(7,21),-0.00405889 # DEPENDENCYPART_SIBL
(7,14),(7,15),0.0121242 # DEPENDENCYPART_SIBL
(7,14),(7,17),0.07652 # DEPENDENCYPART_SIBL
(7,14),(7,18),0.10013 # DEPENDENCYPART_SIBL
(7,14),(7,19),0.179855 # DEPENDENCYPART_SIBL
(7,14),(7,20),0.0533773 # DEPENDENCYPART_SIBL
(7,14),(7,21),0.0489202 # DEPENDENCYPART_SIBL
(7,15),(7,17),0.00787517 # DEPENDENCYPART_SIBL
(7,15),(7,18),0.0274202 # DEPENDENCYPART_SIBL
(7,15),(7,19),-0.0444928 # DEPENDENCYPART_SIBL
(7,15),(7,20),0.00726202 # DEPENDENCYPART_SIBL
(7,15),(7,21),-0.00814611 # DEPENDENCYPART_SIBL
(7,17),(7,18),0.00542112 # DEPENDENCYPART_SIBL
(7,17),(7,19),-0.0256103 # DEPENDENCYPART_SIBL
(7,17),(7,20),-0.0175568 # DEPENDENCYPART_SIBL
(7,17),(7,21),-1.62179e-05 # DEPENDENCYPART_SIBL
(7,18),(7,19),-0.0294823 # DEPENDENCYPART_SIBL
(7,18),(7,20),-0.0460984 # DEPENDENCYPART_SIBL
(7,18),(7,21),-0.0115944 # DEPENDENCYPART_SIBL
(7,19),(7,20),-0.020304 # DEPENDENCYPART_SIBL
(7,19),(7,21),0.0104605 # DEPENDENCYPART_SIBL
(7,20),(7,21),0.0174755 # DEPENDENCYPART_SIBL
(9,1),(9,2),-0.0306998 # DEPENDENCYPART_SIBL
(9,1),(9,4),0.168223 # DEPENDENCYPART_SIBL
(9,1),(9,5),0.00488246 # DEPENDENCYPART_SIBL
(9,1),(9,6),0.0910929 # DEPENDENCYPART_SIBL
(9,1),(9,7),0.15659 # DEPENDENCYPART_SIBL
(9,1),(9,8),-0.38176 # DEPENDENCYPART_SIBL
(9,1),(9,10),0.288957 # DEPENDENCYPART_SIBL
(9,1),(9,11),-0.0440423 # DEPENDENCYPART_SIBL
(9,1),(9,13),-0.0196418 # DEPENDENCYPART_SIBL
(9,1),(9,17),-0.0330674 # DEPENDENCYPART_SIBL
(9,1),(9,19),-0.0449908 # DEPENDENCYPART_SIBL
(9,1),(9,21),-0.0415529 # DEPENDENCYPART_SIBL
(9,2),(9,4),0.0896837 # DEPENDENCYPART_SIBL
(9,2),(9,5),0.388592 # DEPENDENCYPART_SIBL
(9,2),(9,6),0.332811 # DEPENDENCYPART_SIBL
(9,2),(9,7),0.0896837 # DEPENDENCYPART_SIBL
(9,2),(9,8),-0.390221 # DEPENDENCYPART_SIBL
(9,2),(9,10),-0.0317951 # DEPENDENCYPART_SIBL
(9,2),(9,11),0.00136303 # DEPENDENCYPART_SIBL
(9,2),(9,13),0.0199568 # DEPENDENCYPART_SIBL
(9,2),(9,17),0.0154455 # DEPENDENCYPART_SIBL
(9,2),(9,19),0.00130612 # DEPENDENCYPART_SIBL
(9,2),(9,21),0.0208839 # DEPENDENCYPART_SIBL
(9,4),(9,5),0.317041 # DEPENDENCYPART_SIBL
(9,4),(9,6),0.0994449 # DEPENDENCYPART_SIBL
(9,4),(9,7),0.0309372 # DEPENDENCYPART_SIBL
(9,4),(9,8),-0.353507 # DEPENDENCYPART_SIBL
(9,4),(9,10),-0.0364024 # DEPENDENCYPART_SIBL
(9,4),(9,11),0.0362655 # DEPENDENCYPART_SIBL
(9,4),(9,13),-0.00169259 # DEPENDENCYPART_SIBL
(9,4),(9,17),-0.00650247 # DEPENDENCYPART_SIBL
(9,4),(9,19),0.0358969 # DEPENDENCYPART_SIBL
(9,4),(9,21),0.127959 # DEPENDENCYPART_SIBL
(9,5),(9,6),0.105326 # DEPENDENCYPART_SIBL
(9,5),(9,7),0.140124 # DEPENDENCYPART_SIBL
(9,5),(9,8),-0.408123 # DEPENDENCYPART_SIBL
(9,5),(9,10),-0.0507504 # DEPENDENCYPART_SIBL
(9,5),(9,11),-0.0278874 # DEPENDENCYPART_SIBL
(9,5),(9,13),0.0138928 # DEPENDENCYPART_SIBL
(9,5),(9,17),-0.00844461 # DEPENDENCYPART_SIBL
(9,5),(9,19),-0.0291502 # DEPENDENCYPART_SIBL
(9,5),(9,21),0.0238545 # DEPENDENCYPART_SIBL
(9,6),(9,7),0.116208 # DEPENDENCYPART_SIBL
(9,6),(9,8),-0.403357 # DEPENDENCYPART_SIBL
(9,6),(9,10),-0.0207583 # DEPENDENCYPART_SIBL
(9,6),(9,11),-0.00319815 # DEPENDENCYPART_SIBL
(9,6),(9,13),-0.0033874 # DEPENDENCYPART_SIBL
(9,6),(9,17),-0.0114091 # DEPENDENCYPART_SIBL
(9,6),(9,19),-0.00346127 # DEPENDENCYPART_SIBL
(9,6),(9,21),0.0872952 # DEPENDENCYPART_SIBL
(9,7),(9,8),-0.353507 # DEPENDENCYPART_SIBL
(9,7),(9,10),-0.0337668 # DEPENDENCYPART_SIBL
(9,7),(9,11),0.0352971 # DEPENDENCYPART_SIBL
(9,7),(9,13),-0.00121687 # DEPENDENCYPART_SIBL
(9,7),(9,17),-0.00602675 # DEPENDENCYPART_SIBL
(9,7),(9,19),0.0349285 # DEPENDENCYPART_SIBL
(9,7),(9,21),0.121936 # DEPENDENCYPART_SIBL
(9,8),(9,10),-0.0530946 # DEPENDENCYPART_SIBL
(9,8),(9,11),0.0086177 # DEPENDENCYPART_SIBL
(9,8),(9,13),-0.00691176 # DEPENDENCYPART_SIBL
(9,8),(9,17),-0.00331961 # DEPENDENCYPART_SIBL
(9,8),(9,19),0.0085567 # DEPENDENCYPART_SIBL
(9,8),(9,21),-0.0285178 # DEPENDENCYPART_SIBL
(9,10),(9,11),0.164151 # DEPENDENCYPART_SIBL
(9,10),(9,13),0.158875 # DEPENDENCYPART_SIBL
(9,10),(9,17),0.151575 # DEPENDENCYPART_SIBL
(9,10),(9,19),0.161037 # DEPENDENCYPART_SIBL
(9,10),(9,21),0.069421 # DEPENDENCYPART_SIBL
(9,11),(9,13),0.0797026 # DEPENDENCYPART_SIBL
(9,11),(9,17),0.0764132 # DEPENDENCYPART_SIBL
(9,11),(9,19),0.0508772 # DEPENDENCYPART_SIBL
(9,11),(9,21),0.211166 # DEPENDENCYPART_SIBL
(9,13),(9,17),0.00669862 # DEPENDENCYPART_SIBL
(9,13),(9,19),0.0567254 # DEPENDENCYPART_SIBL
(9,13),(9,21),0.0495494 # DEPENDENCYPART_SIBL
(9,17),(9,19),0.0569165 # DEPENDENCYPART_SIBL
(9,17),(9,21),0.0485651 # DEPENDENCYPART_SIBL
(9,19),(9,21),0.208343 # DEPENDENCYPART_SIBL
(11,1),(11,2),-0.0185492 # DEPENDENCYPART_SIBL
(11,1),(11,3),-0.0751288 # DEPENDENCYPART_SIBL
(11,1),(11,4),0.0778934 # DEPENDENCYPART_SIBL
(11,1),(11,5),-0.0208054 # DEPENDENCYPART_SIBL
(11,1),(11,6),0.027769 # DEPENDENCYPART_SIBL
(11,1),(11,7),0.0690203 # DEPENDENCYPART_SIBL
(11,1),(11,8),-0.101571 # DEPENDENCYPART_SIBL
(11,1),(11,9),-0.0751249 # DEPENDENCYPART_SIBL
(11,1),(11,10),0.756249 # DEPENDENCYPART_SIBL
(11,1),(11,13),0.039389 # DEPENDENCYPART_SIBL
(11,1),(11,14),-0.000864756 # DEPENDENCYPART_SIBL
(11,1),(11,15),-0.0520008 # DEPENDENCYPART_SIBL
(11,1),(11,16),-0.0109608 # DEPENDENCYPART_SIBL
(11,1),(11,17),0.0311363 # DEPENDENCYPART_SIBL
(11,1),(11,18),-0.0135464 # DEPENDENCYPART_SIBL
(11,1),(11,19),-0.0229214 # DEPENDENCYPART_SIBL
(11,1),(11,20),0.0220728 # DEPENDENCYPART_SIBL
(11,1),(11,21),0.109061 # DEPENDENCYPART_SIBL
(11,2),(11,3),0.00949877 # DEPENDENCYPART_SIBL
(11,2),(11,4),-0.0300212 # DEPENDENCYPART_SIBL
(11,2),(11,5),0.0619685 # DEPENDENCYPART_SIBL
(11,2),(11,6),0.0981194 # DEPENDENCYPART_SIBL
(11,2),(11,7),-0.02856 # DEPENDENCYPART_SIBL
(11,2),(11,8),-0.0726331 # DEPENDENCYPART_SIBL
(11,2),(11,9),0.00950271 # DEPENDENCYPART_SIBL
(11,2),(11,10),0.0438219 # DEPENDENCYPART_SIBL
(11,2),(11,13),0.00902713 # DEPENDENCYPART_SIBL
(11,2),(11,14),-0.0133232 # DEPENDENCYPART_SIBL
(11,2),(11,15),-0.00121568 # DEPENDENCYPART_SIBL
(11,2),(11,16),0.0488776 # DEPENDENCYPART_SIBL
(11,2),(11,17),0.00967891 # DEPENDENCYPART_SIBL
(11,2),(11,18),0.0459933 # DEPENDENCYPART_SIBL
(11,2),(11,19),-0.0159913 # DEPENDENCYPART_SIBL
(11,2),(11,20),0.0875757 # DEPENDENCYPART_SIBL
(11,2),(11,21),-0.00139484 # DEPENDENCYPART_SIBL
(11,3),(11,4),-0.0104691 # DEPENDENCYPART_SIBL
(11,3),(11,5),0.0956238 # DEPENDENCYPART_SIBL
(11,3),(11,6),0.0468068 # DEPENDENCYPART_SIBL
(11,3),(11,7),-0.00900781 # DEPENDENCYPART_SIBL
(11,3),(11,8),-0.0619144 # DEPENDENCYPART_SIBL
(11,3),(11,9),-0.0310147 # DEPENDENCYPART_SIBL
(11,3),(11,10),0.0359307 # DEPENDENCYPART_SIBL
(11,3),(11,13),-0.00731823 # DEPENDENCYPART_SIBL
(11,3),(11,14),-0.00928249 # DEPENDENCYPART_SIBL
(11,3),(11,15),-0.0273829 # DEPENDENCYPART_SIBL
(11,3),(11,16),-0.0286084 # DEPENDENCYPART_SIBL
(11,3),(11,17),-0.0120342 # DEPENDENCYPART_SIBL
(11,3),(11,18),-0.0138174 # DEPENDENCYPART_SIBL
(11,3),(11,19),-0.021086 # DEPENDENCYPART_SIBL
(11,3),(11,20),0.0870169 # DEPENDENCYPART_SIBL
(11,3),(11,21),0.00402558 # DEPENDENCYPART_SIBL
(11,4),(11,5),0.0770246 # DEPENDENCYPART_SIBL
(11,4),(11,6),-0.056955 # DEPENDENCYPART_SIBL
(11,4),(11,7),-0.0400357 # DEPENDENCYPART_SIBL
(11,4),(11,8),-0.0696215 # DEPENDENCYPART_SIBL
(11,4),(11,9),-0.0298752 # DEPENDENCYPART_SIBL
(11,4),(11,10),0.289749 # DEPENDENCYPART_SIBL
(11,4),(11,13),-0.0103603 # DEPENDENCYPART_SIBL
(11,4),(11,14),-0.00223336 # DEPENDENCYPART_SIBL
(11,4),(11,15),-0.0245528 # DEPENDENCYPART_SIBL
(11,4),(11,16),-0.0133429 # DEPENDENCYPART_SIBL
(11,4),(11,17),-0.0113983 # DEPENDENCYPART_SIBL
(11,4),(11,18),-0.0164169 # DEPENDENCYPART_SIBL
(11,4),(11,19),-0.0148532 # DEPENDENCYPART_SIBL
(11,4),(11,20),0.0296453 # DEPENDENCYPART_SIBL
(11,4),(11,21),0.0190871 # DEPENDENCYPART_SIBL
(11,5),(11,6),0.0307099 # DEPENDENCYPART_SIBL
(11,5),(11,7),0.0158325 # DEPENDENCYPART_SIBL
(11,5),(11,8),-0.10614 # DEPENDENCYPART_SIBL
(11,5),(11,9),-0.00692861 # DEPENDENCYPART_SIBL
(11,5),(11,10),0.00468932 # DEPENDENCYPART_SIBL
(11,5),(11,13),-0.00085869 # DEPENDENCYPART_SIBL
(11,5),(11,14),-0.00490476 # DEPENDENCYPART_SIBL
(11,5),(11,15),-0.01597 # DEPENDENCYPART_SIBL
(11,5),(11,16),-0.00943395 # DEPENDENCYPART_SIBL
(11,5),(11,17),-0.0180136 # DEPENDENCYPART_SIBL
(11,5),(11,18),-0.0212006 # DEPENDENCYPART_SIBL
(11,5),(11,19),-0.00764237 # DEPENDENCYPART_SIBL
(11,5),(11,20),0.0427109 # DEPENDENCYPART_SIBL
