# _root_ Mint arról korábban beszámoltunk , márciusban csaknem kétszáz mázsa busa , harcsa és amur pusztult el a természetvédelmi területen található vajai őstóban .
#goldHeads=4,4,4,15,15,15,9,9,10,15,15,15,15,15,0,15,19,19,20,22,22,15,15,
#predictedHeads=4,4,4,15,15,15,9,9,10,12,12,15,15,15,0,15,19,19,20,21,22,15,15,
(3,1),(3,2),0.126167 # DEPENDENCYPART_SIBL
(3,1),(3,15),0.0261361 # DEPENDENCYPART_SIBL
(3,1),(3,23),0.146337 # DEPENDENCYPART_SIBL
(3,2),(3,15),0.0649159 # DEPENDENCYPART_SIBL
(3,2),(3,23),0.129628 # DEPENDENCYPART_SIBL
(3,15),(3,23),0.0266106 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.053109 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.0480445 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.181547 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.0410901 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.0702945 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.0764295 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.0410901 # DEPENDENCYPART_SIBL
(4,1),(4,10),-0.0410901 # DEPENDENCYPART_SIBL
(4,1),(4,11),-0.181547 # DEPENDENCYPART_SIBL
(4,1),(4,12),-0.041095 # DEPENDENCYPART_SIBL
(4,1),(4,13),-0.0783843 # DEPENDENCYPART_SIBL
(4,1),(4,14),-0.0410901 # DEPENDENCYPART_SIBL
(4,1),(4,15),-0.0998724 # DEPENDENCYPART_SIBL
(4,1),(4,16),-0.0138675 # DEPENDENCYPART_SIBL
(4,1),(4,18),-0.0549456 # DEPENDENCYPART_SIBL
(4,1),(4,20),-0.0710928 # DEPENDENCYPART_SIBL
(4,1),(4,21),-0.0419414 # DEPENDENCYPART_SIBL
(4,1),(4,22),-0.0404509 # DEPENDENCYPART_SIBL
(4,1),(4,23),-0.123481 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.044995 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.138753 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0631096 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0876679 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.0703528 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.0631096 # DEPENDENCYPART_SIBL
(4,2),(4,10),-0.0631096 # DEPENDENCYPART_SIBL
(4,2),(4,11),-0.138753 # DEPENDENCYPART_SIBL
(4,2),(4,12),-0.0631113 # DEPENDENCYPART_SIBL
(4,2),(4,13),-0.130019 # DEPENDENCYPART_SIBL
(4,2),(4,14),-0.0631096 # DEPENDENCYPART_SIBL
(4,2),(4,15),-0.149595 # DEPENDENCYPART_SIBL
(4,2),(4,16),-0.0612559 # DEPENDENCYPART_SIBL
(4,2),(4,18),-0.0815293 # DEPENDENCYPART_SIBL
(4,2),(4,20),-0.0896971 # DEPENDENCYPART_SIBL
(4,2),(4,21),-0.0639609 # DEPENDENCYPART_SIBL
(4,2),(4,22),-0.0624704 # DEPENDENCYPART_SIBL
(4,2),(4,23),-0.105541 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.109787 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.0293302 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.05856 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.0442217 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.0293302 # DEPENDENCYPART_SIBL
(4,3),(4,10),0.0293302 # DEPENDENCYPART_SIBL
(4,3),(4,11),-0.109787 # DEPENDENCYPART_SIBL
(4,3),(4,12),0.0293253 # DEPENDENCYPART_SIBL
(4,3),(4,13),-0.038531 # DEPENDENCYPART_SIBL
(4,3),(4,14),0.0293302 # DEPENDENCYPART_SIBL
(4,3),(4,15),-0.0661827 # DEPENDENCYPART_SIBL
(4,3),(4,16),0.000127162 # DEPENDENCYPART_SIBL
(4,3),(4,18),-0.0172675 # DEPENDENCYPART_SIBL
(4,3),(4,20),-0.0334147 # DEPENDENCYPART_SIBL
(4,3),(4,21),0.0284788 # DEPENDENCYPART_SIBL
(4,3),(4,22),0.0299694 # DEPENDENCYPART_SIBL
(4,3),(4,23),-0.102547 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.0420365 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.0496582 # DEPENDENCYPART_SIBL
(4,5),(4,8),0.00330592 # DEPENDENCYPART_SIBL
(4,5),(4,9),0.0420365 # DEPENDENCYPART_SIBL
(4,5),(4,10),0.0420365 # DEPENDENCYPART_SIBL
(4,5),(4,11),-0.0605398 # DEPENDENCYPART_SIBL
(4,5),(4,12),0.0420365 # DEPENDENCYPART_SIBL
(4,5),(4,13),0.0203401 # DEPENDENCYPART_SIBL
(4,5),(4,14),0.0420365 # DEPENDENCYPART_SIBL
(4,5),(4,15),0.152392 # DEPENDENCYPART_SIBL
(4,5),(4,16),0.0340673 # DEPENDENCYPART_SIBL
(4,5),(4,18),0.0264001 # DEPENDENCYPART_SIBL
(4,5),(4,20),0.0144669 # DEPENDENCYPART_SIBL
(4,5),(4,21),0.0417656 # DEPENDENCYPART_SIBL
(4,5),(4,22),0.042776 # DEPENDENCYPART_SIBL
(4,5),(4,23),-0.0458818 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.00476532 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.0128775 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.0194501 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.0194501 # DEPENDENCYPART_SIBL
(4,6),(4,11),0.0344294 # DEPENDENCYPART_SIBL
(4,6),(4,12),-0.0194501 # DEPENDENCYPART_SIBL
(4,6),(4,13),0.0221729 # DEPENDENCYPART_SIBL
(4,6),(4,14),-0.0194501 # DEPENDENCYPART_SIBL
(4,6),(4,15),-0.0231863 # DEPENDENCYPART_SIBL
(4,6),(4,16),-0.00671161 # DEPENDENCYPART_SIBL
(4,6),(4,18),0.0261223 # DEPENDENCYPART_SIBL
(4,6),(4,20),0.0227485 # DEPENDENCYPART_SIBL
(4,6),(4,21),-0.020263 # DEPENDENCYPART_SIBL
(4,6),(4,22),-0.0172318 # DEPENDENCYPART_SIBL
(4,6),(4,23),-0.0331273 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.0234238 # DEPENDENCYPART_SIBL
(4,7),(4,9),0.0181646 # DEPENDENCYPART_SIBL
(4,7),(4,10),0.0181646 # DEPENDENCYPART_SIBL
(4,7),(4,11),-0.00439396 # DEPENDENCYPART_SIBL
(4,7),(4,12),0.0181646 # DEPENDENCYPART_SIBL
(4,7),(4,13),-0.0356492 # DEPENDENCYPART_SIBL
(4,7),(4,14),0.0181646 # DEPENDENCYPART_SIBL
(4,7),(4,15),-0.0402424 # DEPENDENCYPART_SIBL
(4,7),(4,16),-0.0221543 # DEPENDENCYPART_SIBL
(4,7),(4,18),0.0421953 # DEPENDENCYPART_SIBL
(4,7),(4,20),0.0396376 # DEPENDENCYPART_SIBL
(4,7),(4,21),0.0178936 # DEPENDENCYPART_SIBL
(4,7),(4,22),0.0189041 # DEPENDENCYPART_SIBL
(4,7),(4,23),-0.0585126 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.0148001 # DEPENDENCYPART_SIBL
(4,8),(4,10),-0.0148001 # DEPENDENCYPART_SIBL
(4,8),(4,11),0.010091 # DEPENDENCYPART_SIBL
(4,8),(4,12),-0.0148001 # DEPENDENCYPART_SIBL
(4,8),(4,13),-0.0283705 # DEPENDENCYPART_SIBL
(4,8),(4,14),-0.0148001 # DEPENDENCYPART_SIBL
(4,8),(4,15),-0.0181614 # DEPENDENCYPART_SIBL
(4,8),(4,16),-0.016297 # DEPENDENCYPART_SIBL
(4,8),(4,18),0.00775713 # DEPENDENCYPART_SIBL
(4,8),(4,20),0.00535839 # DEPENDENCYPART_SIBL
(4,8),(4,21),-0.0150711 # DEPENDENCYPART_SIBL
(4,8),(4,22),-0.0140607 # DEPENDENCYPART_SIBL
(4,8),(4,23),-0.0293689 # DEPENDENCYPART_SIBL
(4,9),(4,10),-0.0194501 # DEPENDENCYPART_SIBL
(4,9),(4,11),0.034517 # DEPENDENCYPART_SIBL
(4,9),(4,12),-0.0194501 # DEPENDENCYPART_SIBL
(4,9),(4,13),0.0221729 # DEPENDENCYPART_SIBL
(4,9),(4,14),-0.0194501 # DEPENDENCYPART_SIBL
(4,9),(4,15),-0.0231862 # DEPENDENCYPART_SIBL
(4,9),(4,16),-0.00671161 # DEPENDENCYPART_SIBL
(4,9),(4,18),0.0261223 # DEPENDENCYPART_SIBL
(4,9),(4,20),0.0227485 # DEPENDENCYPART_SIBL
(4,9),(4,21),-0.020263 # DEPENDENCYPART_SIBL
(4,9),(4,22),-0.0172317 # DEPENDENCYPART_SIBL
(4,9),(4,23),-0.0331273 # DEPENDENCYPART_SIBL
(4,10),(4,11),0.034517 # DEPENDENCYPART_SIBL
(4,10),(4,12),-0.0194501 # DEPENDENCYPART_SIBL
(4,10),(4,13),0.0221729 # DEPENDENCYPART_SIBL
(4,10),(4,14),-0.0194501 # DEPENDENCYPART_SIBL
(4,10),(4,15),-0.0231862 # DEPENDENCYPART_SIBL
(4,10),(4,16),-0.00671161 # DEPENDENCYPART_SIBL
(4,10),(4,18),0.0261223 # DEPENDENCYPART_SIBL
(4,10),(4,20),0.0227485 # DEPENDENCYPART_SIBL
(4,10),(4,21),-0.020263 # DEPENDENCYPART_SIBL
(4,10),(4,22),-0.0172317 # DEPENDENCYPART_SIBL
(4,10),(4,23),-0.0331273 # DEPENDENCYPART_SIBL
(4,11),(4,12),0.0420365 # DEPENDENCYPART_SIBL
(4,11),(4,13),0.0203401 # DEPENDENCYPART_SIBL
(4,11),(4,14),0.0420365 # DEPENDENCYPART_SIBL
(4,11),(4,15),0.152392 # DEPENDENCYPART_SIBL
(4,11),(4,16),0.0340673 # DEPENDENCYPART_SIBL
(4,11),(4,18),0.0264001 # DEPENDENCYPART_SIBL
(4,11),(4,20),0.0144669 # DEPENDENCYPART_SIBL
(4,11),(4,21),0.0417656 # DEPENDENCYPART_SIBL
(4,11),(4,22),0.042776 # DEPENDENCYPART_SIBL
(4,11),(4,23),-0.0458818 # DEPENDENCYPART_SIBL
(4,12),(4,13),0.0223746 # DEPENDENCYPART_SIBL
(4,12),(4,14),-0.0193935 # DEPENDENCYPART_SIBL
(4,12),(4,15),-0.0231301 # DEPENDENCYPART_SIBL
(4,12),(4,16),-0.00665503 # DEPENDENCYPART_SIBL
(4,12),(4,18),0.0261789 # DEPENDENCYPART_SIBL
(4,12),(4,20),0.0228051 # DEPENDENCYPART_SIBL
(4,12),(4,21),-0.0202064 # DEPENDENCYPART_SIBL
(4,12),(4,22),-0.0171752 # DEPENDENCYPART_SIBL
(4,12),(4,23),-0.0331356 # DEPENDENCYPART_SIBL
(4,13),(4,14),0.103625 # DEPENDENCYPART_SIBL
(4,13),(4,15),0.0135625 # DEPENDENCYPART_SIBL
(4,13),(4,16),0.0573374 # DEPENDENCYPART_SIBL
(4,13),(4,18),0.0260873 # DEPENDENCYPART_SIBL
(4,13),(4,20),0.0236765 # DEPENDENCYPART_SIBL
(4,13),(4,21),0.103354 # DEPENDENCYPART_SIBL
(4,13),(4,22),0.104365 # DEPENDENCYPART_SIBL
(4,13),(4,23),-0.0398069 # DEPENDENCYPART_SIBL
(4,14),(4,15),-0.0231862 # DEPENDENCYPART_SIBL
(4,14),(4,16),-0.00671161 # DEPENDENCYPART_SIBL
(4,14),(4,18),0.0261223 # DEPENDENCYPART_SIBL
(4,14),(4,20),0.0227485 # DEPENDENCYPART_SIBL
(4,14),(4,21),-0.020263 # DEPENDENCYPART_SIBL
(4,14),(4,22),-0.0172317 # DEPENDENCYPART_SIBL
(4,14),(4,23),-0.0331273 # DEPENDENCYPART_SIBL
(4,15),(4,16),0.00439722 # DEPENDENCYPART_SIBL
(4,15),(4,18),0.00515424 # DEPENDENCYPART_SIBL
(4,15),(4,20),0.00270896 # DEPENDENCYPART_SIBL
(4,15),(4,21),-0.00648118 # DEPENDENCYPART_SIBL
(4,15),(4,22),-0.00547072 # DEPENDENCYPART_SIBL
(4,15),(4,23),-0.0190434 # DEPENDENCYPART_SIBL
(4,16),(4,18),0.0460673 # DEPENDENCYPART_SIBL
(4,16),(4,20),0.0435096 # DEPENDENCYPART_SIBL
(4,16),(4,21),0.0308004 # DEPENDENCYPART_SIBL
(4,16),(4,22),0.0318109 # DEPENDENCYPART_SIBL
(4,16),(4,23),-0.0132947 # DEPENDENCYPART_SIBL
(4,18),(4,20),-0.0369361 # DEPENDENCYPART_SIBL
(4,18),(4,21),-0.0240252 # DEPENDENCYPART_SIBL
(4,18),(4,22),-0.0230147 # DEPENDENCYPART_SIBL
(4,18),(4,23),-0.0437334 # DEPENDENCYPART_SIBL
(4,20),(4,21),-0.0319412 # DEPENDENCYPART_SIBL
(4,20),(4,22),-0.0309307 # DEPENDENCYPART_SIBL
(4,20),(4,23),-0.0511692 # DEPENDENCYPART_SIBL
(4,21),(4,22),-0.0200736 # DEPENDENCYPART_SIBL
(4,21),(4,23),-0.0340534 # DEPENDENCYPART_SIBL
(4,22),(4,23),-0.0335581 # DEPENDENCYPART_SIBL
(6,1),(6,2),0.0569461 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.125677 # DEPENDENCYPART_SIBL
(6,1),(6,4),0.0914647 # DEPENDENCYPART_SIBL
(6,1),(6,5),0.10295 # DEPENDENCYPART_SIBL
(6,1),(6,7),-0.0240405 # DEPENDENCYPART_SIBL
(6,1),(6,8),0.0182608 # DEPENDENCYPART_SIBL
(6,1),(6,9),-0.00108565 # DEPENDENCYPART_SIBL
(6,1),(6,10),-0.00108565 # DEPENDENCYPART_SIBL
(6,1),(6,11),-0.0249802 # DEPENDENCYPART_SIBL
(6,1),(6,15),0.0293917 # DEPENDENCYPART_SIBL
(6,2),(6,3),0.118578 # DEPENDENCYPART_SIBL
(6,2),(6,4),0.110724 # DEPENDENCYPART_SIBL
(6,2),(6,5),0.31878 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.0364421 # DEPENDENCYPART_SIBL
(6,2),(6,8),0.0161476 # DEPENDENCYPART_SIBL
(6,2),(6,9),0.00695928 # DEPENDENCYPART_SIBL
(6,2),(6,10),0.00695928 # DEPENDENCYPART_SIBL
(6,2),(6,11),0.00399765 # DEPENDENCYPART_SIBL
(6,2),(6,15),0.0182988 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.0580322 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.0557164 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.0248603 # DEPENDENCYPART_SIBL
(6,3),(6,8),0.0268521 # DEPENDENCYPART_SIBL
(6,3),(6,9),0.0367256 # DEPENDENCYPART_SIBL
(6,3),(6,10),0.0367256 # DEPENDENCYPART_SIBL
(6,3),(6,11),0.0039704 # DEPENDENCYPART_SIBL
(6,3),(6,15),0.0403004 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.326259 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.0154357 # DEPENDENCYPART_SIBL
(6,4),(6,8),0.0284106 # DEPENDENCYPART_SIBL
(6,4),(6,9),0.00216825 # DEPENDENCYPART_SIBL
(6,4),(6,10),0.00216825 # DEPENDENCYPART_SIBL
(6,4),(6,11),-0.0032414 # DEPENDENCYPART_SIBL
(6,4),(6,15),0.0385984 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.0686725 # DEPENDENCYPART_SIBL
(6,5),(6,8),0.02548 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.00844461 # DEPENDENCYPART_SIBL
(6,5),(6,10),-0.00844461 # DEPENDENCYPART_SIBL
(6,5),(6,11),-0.0346477 # DEPENDENCYPART_SIBL
(6,5),(6,15),-0.0268008 # DEPENDENCYPART_SIBL
(6,7),(6,8),0.0191246 # DEPENDENCYPART_SIBL
(6,7),(6,9),0.0385416 # DEPENDENCYPART_SIBL
(6,7),(6,10),0.0385416 # DEPENDENCYPART_SIBL
(6,7),(6,11),0.0516904 # DEPENDENCYPART_SIBL
(6,7),(6,15),0.0286902 # DEPENDENCYPART_SIBL
(6,8),(6,9),0.02538 # DEPENDENCYPART_SIBL
(6,8),(6,10),0.02538 # DEPENDENCYPART_SIBL
(6,8),(6,11),0.0570525 # DEPENDENCYPART_SIBL
(6,8),(6,15),0.0508446 # DEPENDENCYPART_SIBL
(6,9),(6,10),0.00471394 # DEPENDENCYPART_SIBL
(6,9),(6,11),0.103086 # DEPENDENCYPART_SIBL
(6,9),(6,15),0.0582129 # DEPENDENCYPART_SIBL
(6,10),(6,11),0.103086 # DEPENDENCYPART_SIBL
(6,10),(6,15),0.0582129 # DEPENDENCYPART_SIBL
(6,11),(6,15),0.426143 # DEPENDENCYPART_SIBL
(7,1),(7,3),0.1601 # DEPENDENCYPART_SIBL
(7,1),(7,4),0.095138 # DEPENDENCYPART_SIBL
(7,1),(7,6),0.187162 # DEPENDENCYPART_SIBL
(7,1),(7,8),0.0302211 # DEPENDENCYPART_SIBL
(7,1),(7,9),0.143713 # DEPENDENCYPART_SIBL
(7,1),(7,10),0.143713 # DEPENDENCYPART_SIBL
(7,1),(7,11),0.0142101 # DEPENDENCYPART_SIBL
(7,1),(7,12),0.14371 # DEPENDENCYPART_SIBL
(7,1),(7,13),0.0565949 # DEPENDENCYPART_SIBL
(7,1),(7,14),0.143713 # DEPENDENCYPART_SIBL
(7,1),(7,15),0.0273767 # DEPENDENCYPART_SIBL
(7,1),(7,19),0.166052 # DEPENDENCYPART_SIBL
(7,1),(7,21),0.143713 # DEPENDENCYPART_SIBL
(7,1),(7,22),0.143713 # DEPENDENCYPART_SIBL
(7,1),(7,23),0.141776 # DEPENDENCYPART_SIBL
(7,3),(7,4),0.0977489 # DEPENDENCYPART_SIBL
(7,3),(7,6),0.208233 # DEPENDENCYPART_SIBL
(7,3),(7,8),0.0217311 # DEPENDENCYPART_SIBL
(7,3),(7,9),0.167067 # DEPENDENCYPART_SIBL
(7,3),(7,10),0.167067 # DEPENDENCYPART_SIBL
(7,3),(7,11),0.0157546 # DEPENDENCYPART_SIBL
(7,3),(7,12),0.167064 # DEPENDENCYPART_SIBL
(7,3),(7,13),0.0517564 # DEPENDENCYPART_SIBL
(7,3),(7,14),0.167067 # DEPENDENCYPART_SIBL
(7,3),(7,15),0.0181196 # DEPENDENCYPART_SIBL
(7,3),(7,19),0.189406 # DEPENDENCYPART_SIBL
(7,3),(7,21),0.167067 # DEPENDENCYPART_SIBL
(7,3),(7,22),0.167067 # DEPENDENCYPART_SIBL
(7,3),(7,23),0.110544 # DEPENDENCYPART_SIBL
(7,4),(7,6),0.130353 # DEPENDENCYPART_SIBL
(7,4),(7,8),0.0175842 # DEPENDENCYPART_SIBL
(7,4),(7,9),0.0989562 # DEPENDENCYPART_SIBL
(7,4),(7,10),0.0989562 # DEPENDENCYPART_SIBL
(7,4),(7,11),-0.0120287 # DEPENDENCYPART_SIBL
(7,4),(7,12),0.0989548 # DEPENDENCYPART_SIBL
(7,4),(7,13),0.0320007 # DEPENDENCYPART_SIBL
(7,4),(7,14),0.0989562 # DEPENDENCYPART_SIBL
(7,4),(7,15),0.0489275 # DEPENDENCYPART_SIBL
(7,4),(7,19),0.121893 # DEPENDENCYPART_SIBL
(7,4),(7,21),0.0989562 # DEPENDENCYPART_SIBL
(7,4),(7,22),0.0989562 # DEPENDENCYPART_SIBL
(7,4),(7,23),0.133484 # DEPENDENCYPART_SIBL
(7,6),(7,8),0.0363059 # DEPENDENCYPART_SIBL
(7,6),(7,9),0.0961602 # DEPENDENCYPART_SIBL
(7,6),(7,10),0.0961602 # DEPENDENCYPART_SIBL
(7,6),(7,11),0.0108682 # DEPENDENCYPART_SIBL
(7,6),(7,12),0.0961562 # DEPENDENCYPART_SIBL
(7,6),(7,13),0.00643464 # DEPENDENCYPART_SIBL
(7,6),(7,14),0.0961602 # DEPENDENCYPART_SIBL
(7,6),(7,15),0.0147549 # DEPENDENCYPART_SIBL
(7,6),(7,19),0.134531 # DEPENDENCYPART_SIBL
(7,6),(7,21),0.0951373 # DEPENDENCYPART_SIBL
(7,6),(7,22),0.0967984 # DEPENDENCYPART_SIBL
(7,6),(7,23),0.0155461 # DEPENDENCYPART_SIBL
(7,8),(7,9),0.0105327 # DEPENDENCYPART_SIBL
(7,8),(7,10),0.0105327 # DEPENDENCYPART_SIBL
(7,8),(7,11),0.0560353 # DEPENDENCYPART_SIBL
(7,8),(7,12),0.0105327 # DEPENDENCYPART_SIBL
(7,8),(7,13),0.0227074 # DEPENDENCYPART_SIBL
(7,8),(7,14),0.0105327 # DEPENDENCYPART_SIBL
(7,8),(7,15),0.0370927 # DEPENDENCYPART_SIBL
(7,8),(7,19),0.010327 # DEPENDENCYPART_SIBL
(7,8),(7,21),0.0105327 # DEPENDENCYPART_SIBL
(7,8),(7,22),0.0105327 # DEPENDENCYPART_SIBL
(7,8),(7,23),0.0937743 # DEPENDENCYPART_SIBL
(7,9),(7,10),0.00530065 # DEPENDENCYPART_SIBL
(7,9),(7,11),0.0548925 # DEPENDENCYPART_SIBL
(7,9),(7,12),0.00530065 # DEPENDENCYPART_SIBL
(7,9),(7,13),0.0269311 # DEPENDENCYPART_SIBL
(7,9),(7,14),0.00530065 # DEPENDENCYPART_SIBL
(7,9),(7,15),0.030221 # DEPENDENCYPART_SIBL
(7,9),(7,19),0.00485278 # DEPENDENCYPART_SIBL
(7,9),(7,21),0.00502968 # DEPENDENCYPART_SIBL
(7,9),(7,22),0.00604005 # DEPENDENCYPART_SIBL
(7,9),(7,23),0.0139099 # DEPENDENCYPART_SIBL
(7,10),(7,11),0.0548925 # DEPENDENCYPART_SIBL
(7,10),(7,12),0.00530065 # DEPENDENCYPART_SIBL
(7,10),(7,13),0.0269311 # DEPENDENCYPART_SIBL
(7,10),(7,14),0.00530065 # DEPENDENCYPART_SIBL
(7,10),(7,15),0.030221 # DEPENDENCYPART_SIBL
(7,10),(7,19),0.00485278 # DEPENDENCYPART_SIBL
(7,10),(7,21),0.00502968 # DEPENDENCYPART_SIBL
(7,10),(7,22),0.00604005 # DEPENDENCYPART_SIBL
(7,10),(7,23),0.0139099 # DEPENDENCYPART_SIBL
(7,11),(7,12),0.00722602 # DEPENDENCYPART_SIBL
(7,11),(7,13),0.0244495 # DEPENDENCYPART_SIBL
(7,11),(7,14),0.00722602 # DEPENDENCYPART_SIBL
(7,11),(7,15),0.232677 # DEPENDENCYPART_SIBL
(7,11),(7,19),0.00299715 # DEPENDENCYPART_SIBL
(7,11),(7,21),0.00722602 # DEPENDENCYPART_SIBL
(7,11),(7,22),0.00722602 # DEPENDENCYPART_SIBL
(7,11),(7,23),0.0497741 # DEPENDENCYPART_SIBL
(7,12),(7,13),0.0270031 # DEPENDENCYPART_SIBL
(7,12),(7,14),0.0053003 # DEPENDENCYPART_SIBL
(7,12),(7,15),0.0302202 # DEPENDENCYPART_SIBL
(7,12),(7,19),0.00485243 # DEPENDENCYPART_SIBL
(7,12),(7,21),0.00502933 # DEPENDENCYPART_SIBL
(7,12),(7,22),0.0060397 # DEPENDENCYPART_SIBL
(7,12),(7,23),0.0138763 # DEPENDENCYPART_SIBL
(7,13),(7,14),-0.0107075 # DEPENDENCYPART_SIBL
(7,13),(7,15),0.018285 # DEPENDENCYPART_SIBL
(7,13),(7,19),-0.0109073 # DEPENDENCYPART_SIBL
(7,13),(7,21),-0.0107075 # DEPENDENCYPART_SIBL
(7,13),(7,22),-0.0107075 # DEPENDENCYPART_SIBL
(7,13),(7,23),0.0306015 # DEPENDENCYPART_SIBL
(7,14),(7,15),0.030221 # DEPENDENCYPART_SIBL
(7,14),(7,19),0.00485278 # DEPENDENCYPART_SIBL
(7,14),(7,21),0.00502968 # DEPENDENCYPART_SIBL
(7,14),(7,22),0.00604005 # DEPENDENCYPART_SIBL
(7,14),(7,23),0.0139099 # DEPENDENCYPART_SIBL
(7,15),(7,19),0.0191677 # DEPENDENCYPART_SIBL
(7,15),(7,21),0.0193677 # DEPENDENCYPART_SIBL
(7,15),(7,22),0.0193677 # DEPENDENCYPART_SIBL
(7,15),(7,23),0.0506293 # DEPENDENCYPART_SIBL
(7,19),(7,21),0.00686599 # DEPENDENCYPART_SIBL
(7,19),(7,22),0.00787636 # DEPENDENCYPART_SIBL
(7,19),(7,23),0.0237731 # DEPENDENCYPART_SIBL
(7,21),(7,22),0.00507407 # DEPENDENCYPART_SIBL
(7,21),(7,23),0.0139012 # DEPENDENCYPART_SIBL
(7,22),(7,23),0.0139065 # DEPENDENCYPART_SIBL
(8,1),(8,2),0.103061 # DEPENDENCYPART_SIBL
(8,1),(8,3),0.131046 # DEPENDENCYPART_SIBL
(8,1),(8,4),0.0627717 # DEPENDENCYPART_SIBL
(8,1),(8,6),0.111513 # DEPENDENCYPART_SIBL
(8,1),(8,7),0.122593 # DEPENDENCYPART_SIBL
(8,1),(8,15),0.035064 # DEPENDENCYPART_SIBL
(8,1),(8,23),0.0688625 # DEPENDENCYPART_SIBL
(8,2),(8,3),0.169963 # DEPENDENCYPART_SIBL
(8,2),(8,4),0.0856892 # DEPENDENCYPART_SIBL
(8,2),(8,6),0.103791 # DEPENDENCYPART_SIBL
(8,2),(8,7),0.16378 # DEPENDENCYPART_SIBL
(8,2),(8,15),0.0521939 # DEPENDENCYPART_SIBL
(8,2),(8,23),0.0900488 # DEPENDENCYPART_SIBL
(8,3),(8,4),0.0671168 # DEPENDENCYPART_SIBL
(8,3),(8,6),0.134159 # DEPENDENCYPART_SIBL
(8,3),(8,7),0.127784 # DEPENDENCYPART_SIBL
(8,3),(8,15),0.0364354 # DEPENDENCYPART_SIBL
(8,3),(8,23),0.0546286 # DEPENDENCYPART_SIBL
(8,4),(8,6),0.0808515 # DEPENDENCYPART_SIBL
(8,4),(8,7),0.12884 # DEPENDENCYPART_SIBL
(8,4),(8,15),0.065969 # DEPENDENCYPART_SIBL
(8,4),(8,23),0.107854 # DEPENDENCYPART_SIBL
(8,6),(8,7),0.158564 # DEPENDENCYPART_SIBL
(8,6),(8,15),0.0717996 # DEPENDENCYPART_SIBL
(8,6),(8,23),0.037605 # DEPENDENCYPART_SIBL
(8,7),(8,15),0.0402929 # DEPENDENCYPART_SIBL
(8,7),(8,23),0.0775193 # DEPENDENCYPART_SIBL
(8,15),(8,23),0.111928 # DEPENDENCYPART_SIBL
(9,2),(9,3),0.118578 # DEPENDENCYPART_SIBL
(9,2),(9,4),0.110724 # DEPENDENCYPART_SIBL
(9,2),(9,5),0.31878 # DEPENDENCYPART_SIBL
(9,2),(9,6),-0.0235282 # DEPENDENCYPART_SIBL
(9,2),(9,7),0.111804 # DEPENDENCYPART_SIBL
(9,2),(9,8),0.0445868 # DEPENDENCYPART_SIBL
(9,3),(9,4),0.0580322 # DEPENDENCYPART_SIBL
(9,3),(9,5),0.0557164 # DEPENDENCYPART_SIBL
(9,3),(9,6),0.0328201 # DEPENDENCYPART_SIBL
(9,3),(9,7),0.0814904 # DEPENDENCYPART_SIBL
(9,3),(9,8),0.125729 # DEPENDENCYPART_SIBL
(9,4),(9,5),0.326259 # DEPENDENCYPART_SIBL
(9,4),(9,6),-0.0415084 # DEPENDENCYPART_SIBL
(9,4),(9,7),0.0418366 # DEPENDENCYPART_SIBL
(9,4),(9,8),-0.00897376 # DEPENDENCYPART_SIBL
(9,5),(9,6),0.0569251 # DEPENDENCYPART_SIBL
(9,5),(9,7),0.051402 # DEPENDENCYPART_SIBL
(9,5),(9,8),-0.0407121 # DEPENDENCYPART_SIBL
