# _root_ Az a kérdés , hogy sikerül -e az előtt tárgyalóasztalhoz ültetni Szlobodan_Milosevicset , hogy a jugoszláv hadsereg teljesen kiűzi az albánokat a tartományból .
#goldHeads=5,3,5,5,0,5,6,9,11,11,6,11,6,6,17,17,19,19,6,21,19,23,19,5,
#predictedHeads=5,3,5,5,0,5,6,10,11,11,6,11,6,6,17,17,19,19,11,21,19,23,19,5,
(5,3),(5,18),0.105368 # DEPENDENCYPART_SIBL
(5,3),(5,19),0.210695 # DEPENDENCYPART_SIBL
(5,3),(5,24),0.250397 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.289482 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.110015 # DEPENDENCYPART_SIBL
(5,4),(5,10),0.0151034 # DEPENDENCYPART_SIBL
(5,4),(5,11),0.297142 # DEPENDENCYPART_SIBL
(5,4),(5,12),0.0175236 # DEPENDENCYPART_SIBL
(5,4),(5,13),0.00885234 # DEPENDENCYPART_SIBL
(5,4),(5,14),0.123247 # DEPENDENCYPART_SIBL
(5,4),(5,18),0.0794646 # DEPENDENCYPART_SIBL
(5,4),(5,19),0.297142 # DEPENDENCYPART_SIBL
(5,4),(5,24),0.213472 # DEPENDENCYPART_SIBL
(5,6),(5,7),0.0230314 # DEPENDENCYPART_SIBL
(5,6),(5,10),0.0587032 # DEPENDENCYPART_SIBL
(5,6),(5,11),-0.0250419 # DEPENDENCYPART_SIBL
(5,6),(5,12),0.0587356 # DEPENDENCYPART_SIBL
(5,6),(5,13),0.129992 # DEPENDENCYPART_SIBL
(5,6),(5,14),-0.0859277 # DEPENDENCYPART_SIBL
(5,6),(5,18),-0.000241561 # DEPENDENCYPART_SIBL
(5,6),(5,19),-0.0250419 # DEPENDENCYPART_SIBL
(5,6),(5,24),0.0209556 # DEPENDENCYPART_SIBL
(5,7),(5,10),0.0129655 # DEPENDENCYPART_SIBL
(5,7),(5,11),-0.00596785 # DEPENDENCYPART_SIBL
(5,7),(5,12),0.0130298 # DEPENDENCYPART_SIBL
(5,7),(5,13),0.0448871 # DEPENDENCYPART_SIBL
(5,7),(5,14),-0.0708972 # DEPENDENCYPART_SIBL
(5,7),(5,18),-0.0227228 # DEPENDENCYPART_SIBL
(5,7),(5,19),-0.00596785 # DEPENDENCYPART_SIBL
(5,7),(5,24),-0.0264257 # DEPENDENCYPART_SIBL
(5,10),(5,11),-0.0414691 # DEPENDENCYPART_SIBL
(5,10),(5,12),-0.0220721 # DEPENDENCYPART_SIBL
(5,10),(5,13),0.0133067 # DEPENDENCYPART_SIBL
(5,10),(5,14),-0.0799064 # DEPENDENCYPART_SIBL
(5,10),(5,18),0.0208443 # DEPENDENCYPART_SIBL
(5,10),(5,19),-0.0414691 # DEPENDENCYPART_SIBL
(5,10),(5,24),0.00244326 # DEPENDENCYPART_SIBL
(5,11),(5,12),0.0612641 # DEPENDENCYPART_SIBL
(5,11),(5,13),0.137759 # DEPENDENCYPART_SIBL
(5,11),(5,14),-0.0826278 # DEPENDENCYPART_SIBL
(5,11),(5,18),0.00227919 # DEPENDENCYPART_SIBL
(5,11),(5,19),-0.0217105 # DEPENDENCYPART_SIBL
(5,11),(5,24),0.0329812 # DEPENDENCYPART_SIBL
(5,12),(5,13),0.013313 # DEPENDENCYPART_SIBL
(5,12),(5,14),-0.0799001 # DEPENDENCYPART_SIBL
(5,12),(5,18),0.0208507 # DEPENDENCYPART_SIBL
(5,12),(5,19),-0.0414629 # DEPENDENCYPART_SIBL
(5,12),(5,24),0.00247674 # DEPENDENCYPART_SIBL
(5,13),(5,14),0.206027 # DEPENDENCYPART_SIBL
(5,13),(5,18),0.0797006 # DEPENDENCYPART_SIBL
(5,13),(5,19),0.227816 # DEPENDENCYPART_SIBL
(5,13),(5,24),0.0259896 # DEPENDENCYPART_SIBL
(5,14),(5,18),-0.0272417 # DEPENDENCYPART_SIBL
(5,14),(5,19),-0.0347207 # DEPENDENCYPART_SIBL
(5,14),(5,24),0.0829169 # DEPENDENCYPART_SIBL
(5,18),(5,19),-0.0229434 # DEPENDENCYPART_SIBL
(5,18),(5,24),0.031318 # DEPENDENCYPART_SIBL
(5,19),(5,24),0.0329812 # DEPENDENCYPART_SIBL
(6,1),(6,3),-0.0528259 # DEPENDENCYPART_SIBL
(6,1),(6,4),0.0659399 # DEPENDENCYPART_SIBL
(6,1),(6,5),0.118455 # DEPENDENCYPART_SIBL
(6,1),(6,7),-0.0501904 # DEPENDENCYPART_SIBL
(6,1),(6,8),0.030646 # DEPENDENCYPART_SIBL
(6,1),(6,9),0.0304574 # DEPENDENCYPART_SIBL
(6,1),(6,10),-0.0188278 # DEPENDENCYPART_SIBL
(6,1),(6,11),-0.0891096 # DEPENDENCYPART_SIBL
(6,1),(6,12),-0.0231273 # DEPENDENCYPART_SIBL
(6,1),(6,13),0.00456287 # DEPENDENCYPART_SIBL
(6,1),(6,14),0.0732586 # DEPENDENCYPART_SIBL
(6,1),(6,16),-0.0129592 # DEPENDENCYPART_SIBL
(6,1),(6,17),-0.0258707 # DEPENDENCYPART_SIBL
(6,1),(6,18),-0.0224062 # DEPENDENCYPART_SIBL
(6,1),(6,19),-0.0891096 # DEPENDENCYPART_SIBL
(6,1),(6,21),-0.0216403 # DEPENDENCYPART_SIBL
(6,1),(6,23),-0.0231273 # DEPENDENCYPART_SIBL
(6,1),(6,24),0.0792472 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.0359113 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.00856806 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.110328 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.0746994 # DEPENDENCYPART_SIBL
(6,3),(6,9),-0.0521005 # DEPENDENCYPART_SIBL
(6,3),(6,10),-0.0686507 # DEPENDENCYPART_SIBL
(6,3),(6,11),-0.0742968 # DEPENDENCYPART_SIBL
(6,3),(6,12),-0.0678091 # DEPENDENCYPART_SIBL
(6,3),(6,13),-0.033357 # DEPENDENCYPART_SIBL
(6,3),(6,14),-0.0592388 # DEPENDENCYPART_SIBL
(6,3),(6,16),-0.0541169 # DEPENDENCYPART_SIBL
(6,3),(6,17),-0.0753827 # DEPENDENCYPART_SIBL
(6,3),(6,18),-0.0587821 # DEPENDENCYPART_SIBL
(6,3),(6,19),-0.0742968 # DEPENDENCYPART_SIBL
(6,3),(6,21),-0.068248 # DEPENDENCYPART_SIBL
(6,3),(6,23),-0.0678091 # DEPENDENCYPART_SIBL
(6,3),(6,24),-0.0180503 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.0265409 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.0215306 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.0162287 # DEPENDENCYPART_SIBL
(6,4),(6,9),-0.0168138 # DEPENDENCYPART_SIBL
(6,4),(6,10),-0.0296706 # DEPENDENCYPART_SIBL
(6,4),(6,11),-0.0283233 # DEPENDENCYPART_SIBL
(6,4),(6,12),-0.0260456 # DEPENDENCYPART_SIBL
(6,4),(6,13),-0.0264039 # DEPENDENCYPART_SIBL
(6,4),(6,14),-0.00459893 # DEPENDENCYPART_SIBL
(6,4),(6,16),-0.0240861 # DEPENDENCYPART_SIBL
(6,4),(6,17),-0.0288463 # DEPENDENCYPART_SIBL
(6,4),(6,18),-0.0211846 # DEPENDENCYPART_SIBL
(6,4),(6,19),-0.0283233 # DEPENDENCYPART_SIBL
(6,4),(6,21),-0.0211936 # DEPENDENCYPART_SIBL
(6,4),(6,23),-0.0260456 # DEPENDENCYPART_SIBL
(6,4),(6,24),0.011272 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.0279394 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.0146721 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.0389485 # DEPENDENCYPART_SIBL
(6,5),(6,10),-0.024848 # DEPENDENCYPART_SIBL
(6,5),(6,11),-0.0674703 # DEPENDENCYPART_SIBL
(6,5),(6,12),-0.0257261 # DEPENDENCYPART_SIBL
(6,5),(6,13),-0.061857 # DEPENDENCYPART_SIBL
(6,5),(6,14),-0.00205859 # DEPENDENCYPART_SIBL
(6,5),(6,16),-0.0364482 # DEPENDENCYPART_SIBL
(6,5),(6,17),-0.0284614 # DEPENDENCYPART_SIBL
(6,5),(6,18),-0.0486216 # DEPENDENCYPART_SIBL
(6,5),(6,19),-0.0674703 # DEPENDENCYPART_SIBL
(6,5),(6,21),-0.0234669 # DEPENDENCYPART_SIBL
(6,5),(6,23),-0.0257261 # DEPENDENCYPART_SIBL
(6,5),(6,24),0.00946507 # DEPENDENCYPART_SIBL
(6,7),(6,8),0.06063 # DEPENDENCYPART_SIBL
(6,7),(6,9),0.0305572 # DEPENDENCYPART_SIBL
(6,7),(6,10),0.0942134 # DEPENDENCYPART_SIBL
(6,7),(6,11),0.051965 # DEPENDENCYPART_SIBL
(6,7),(6,12),0.0929321 # DEPENDENCYPART_SIBL
(6,7),(6,13),0.0408466 # DEPENDENCYPART_SIBL
(6,7),(6,14),0.0466914 # DEPENDENCYPART_SIBL
(6,7),(6,16),0.0517169 # DEPENDENCYPART_SIBL
(6,7),(6,17),0.0866525 # DEPENDENCYPART_SIBL
(6,7),(6,18),0.0447469 # DEPENDENCYPART_SIBL
(6,7),(6,19),0.051965 # DEPENDENCYPART_SIBL
(6,7),(6,21),0.0946729 # DEPENDENCYPART_SIBL
(6,7),(6,23),0.0929321 # DEPENDENCYPART_SIBL
(6,7),(6,24),-0.0542773 # DEPENDENCYPART_SIBL
(6,8),(6,9),-0.0112467 # DEPENDENCYPART_SIBL
(6,8),(6,10),0.0533671 # DEPENDENCYPART_SIBL
(6,8),(6,11),-0.00916402 # DEPENDENCYPART_SIBL
(6,8),(6,12),0.0519584 # DEPENDENCYPART_SIBL
(6,8),(6,13),0.0280779 # DEPENDENCYPART_SIBL
(6,8),(6,14),0.104748 # DEPENDENCYPART_SIBL
(6,8),(6,16),-0.00126439 # DEPENDENCYPART_SIBL
(6,8),(6,17),0.0484782 # DEPENDENCYPART_SIBL
(6,8),(6,18),-0.00712214 # DEPENDENCYPART_SIBL
(6,8),(6,19),-0.00916402 # DEPENDENCYPART_SIBL
(6,8),(6,21),0.0538397 # DEPENDENCYPART_SIBL
(6,8),(6,23),0.0519584 # DEPENDENCYPART_SIBL
(6,8),(6,24),-0.0170902 # DEPENDENCYPART_SIBL
(6,9),(6,10),0.027019 # DEPENDENCYPART_SIBL
(6,9),(6,11),-0.0413936 # DEPENDENCYPART_SIBL
(6,9),(6,12),0.0256108 # DEPENDENCYPART_SIBL
(6,9),(6,13),0.0553423 # DEPENDENCYPART_SIBL
(6,9),(6,14),0.0513615 # DEPENDENCYPART_SIBL
(6,9),(6,16),0.0751925 # DEPENDENCYPART_SIBL
(6,9),(6,17),0.0221306 # DEPENDENCYPART_SIBL
(6,9),(6,18),0.0684361 # DEPENDENCYPART_SIBL
(6,9),(6,19),-0.0413936 # DEPENDENCYPART_SIBL
(6,9),(6,21),0.0274921 # DEPENDENCYPART_SIBL
(6,9),(6,23),0.0256108 # DEPENDENCYPART_SIBL
(6,9),(6,24),-0.00660828 # DEPENDENCYPART_SIBL
(6,10),(6,11),-0.0263694 # DEPENDENCYPART_SIBL
(6,10),(6,12),-0.0132555 # DEPENDENCYPART_SIBL
(6,10),(6,13),0.0467054 # DEPENDENCYPART_SIBL
(6,10),(6,14),0.0462495 # DEPENDENCYPART_SIBL
(6,10),(6,16),0.0282947 # DEPENDENCYPART_SIBL
(6,10),(6,17),-0.0173573 # DEPENDENCYPART_SIBL
(6,10),(6,18),0.0222083 # DEPENDENCYPART_SIBL
(6,10),(6,19),-0.0263694 # DEPENDENCYPART_SIBL
(6,10),(6,21),-0.00734159 # DEPENDENCYPART_SIBL
(6,10),(6,23),-0.0132555 # DEPENDENCYPART_SIBL
(6,10),(6,24),-0.00856571 # DEPENDENCYPART_SIBL
(6,11),(6,12),-0.0106022 # DEPENDENCYPART_SIBL
(6,11),(6,13),0.0590681 # DEPENDENCYPART_SIBL
(6,11),(6,14),-0.00674326 # DEPENDENCYPART_SIBL
(6,11),(6,16),0.000724857 # DEPENDENCYPART_SIBL
(6,11),(6,17),-0.0140826 # DEPENDENCYPART_SIBL
(6,11),(6,18),-0.00712994 # DEPENDENCYPART_SIBL
(6,11),(6,19),-0.0241125 # DEPENDENCYPART_SIBL
(6,11),(6,21),-0.00872196 # DEPENDENCYPART_SIBL
(6,11),(6,23),-0.0106022 # DEPENDENCYPART_SIBL
(6,11),(6,24),-0.00559299 # DEPENDENCYPART_SIBL
(6,12),(6,13),0.0447327 # DEPENDENCYPART_SIBL
(6,12),(6,14),0.0442768 # DEPENDENCYPART_SIBL
(6,12),(6,16),0.0263226 # DEPENDENCYPART_SIBL
(6,12),(6,17),-0.0232852 # DEPENDENCYPART_SIBL
(6,12),(6,18),0.0202359 # DEPENDENCYPART_SIBL
(6,12),(6,19),-0.0283421 # DEPENDENCYPART_SIBL
(6,12),(6,21),-0.0132695 # DEPENDENCYPART_SIBL
(6,12),(6,23),-0.0191834 # DEPENDENCYPART_SIBL
(6,12),(6,24),-0.0105108 # DEPENDENCYPART_SIBL
(6,13),(6,14),0.800564 # DEPENDENCYPART_SIBL
(6,13),(6,16),0.0483598 # DEPENDENCYPART_SIBL
(6,13),(6,17),0.0536943 # DEPENDENCYPART_SIBL
(6,13),(6,18),0.0321783 # DEPENDENCYPART_SIBL
(6,13),(6,19),0.166365 # DEPENDENCYPART_SIBL
(6,13),(6,21),0.0658723 # DEPENDENCYPART_SIBL
(6,13),(6,23),0.0642561 # DEPENDENCYPART_SIBL
(6,13),(6,24),0.0209075 # DEPENDENCYPART_SIBL
(6,14),(6,16),0.0768933 # DEPENDENCYPART_SIBL
(6,14),(6,17),-0.0231033 # DEPENDENCYPART_SIBL
(6,14),(6,18),0.0691224 # DEPENDENCYPART_SIBL
(6,14),(6,19),0.0881007 # DEPENDENCYPART_SIBL
(6,14),(6,21),-0.0177439 # DEPENDENCYPART_SIBL
(6,14),(6,23),-0.0196231 # DEPENDENCYPART_SIBL
(6,14),(6,24),0.108567 # DEPENDENCYPART_SIBL
(6,16),(6,17),-0.0271669 # DEPENDENCYPART_SIBL
(6,16),(6,18),-0.0403856 # DEPENDENCYPART_SIBL
(6,16),(6,19),-0.0391824 # DEPENDENCYPART_SIBL
(6,16),(6,21),-0.0218044 # DEPENDENCYPART_SIBL
(6,16),(6,23),-0.0236858 # DEPENDENCYPART_SIBL
(6,16),(6,24),-0.0213823 # DEPENDENCYPART_SIBL
(6,17),(6,18),0.0106788 # DEPENDENCYPART_SIBL
(6,17),(6,19),-0.0429401 # DEPENDENCYPART_SIBL
(6,17),(6,21),-0.0245805 # DEPENDENCYPART_SIBL
(6,17),(6,23),-0.0304943 # DEPENDENCYPART_SIBL
(6,17),(6,24),-0.0286979 # DEPENDENCYPART_SIBL
(6,18),(6,19),-0.0354855 # DEPENDENCYPART_SIBL
(6,18),(6,21),-0.0236154 # DEPENDENCYPART_SIBL
(6,18),(6,23),-0.0254968 # DEPENDENCYPART_SIBL
(6,18),(6,24),-0.0255354 # DEPENDENCYPART_SIBL
(6,19),(6,21),-0.00872196 # DEPENDENCYPART_SIBL
(6,19),(6,23),-0.0106022 # DEPENDENCYPART_SIBL
(6,19),(6,24),-0.00559299 # DEPENDENCYPART_SIBL
(6,21),(6,23),-0.0205393 # DEPENDENCYPART_SIBL
(6,21),(6,24),-0.0153837 # DEPENDENCYPART_SIBL
(6,23),(6,24),-0.0105108 # DEPENDENCYPART_SIBL
(7,4),(7,5),0.0692233 # DEPENDENCYPART_SIBL
(7,4),(7,10),0.0660125 # DEPENDENCYPART_SIBL
(7,5),(7,10),0.0683018 # DEPENDENCYPART_SIBL
(9,3),(9,4),0.304242 # DEPENDENCYPART_SIBL
(9,3),(9,8),-0.0662468 # DEPENDENCYPART_SIBL
(9,3),(9,10),-0.049978 # DEPENDENCYPART_SIBL
(9,3),(9,12),-0.0490163 # DEPENDENCYPART_SIBL
(9,3),(9,17),-0.0514417 # DEPENDENCYPART_SIBL
(9,3),(9,19),-0.0128467 # DEPENDENCYPART_SIBL
(9,4),(9,8),-0.0168757 # DEPENDENCYPART_SIBL
(9,4),(9,10),-0.0488989 # DEPENDENCYPART_SIBL
(9,4),(9,12),-0.0465491 # DEPENDENCYPART_SIBL
(9,4),(9,17),-0.0466148 # DEPENDENCYPART_SIBL
(9,4),(9,19),-0.0158936 # DEPENDENCYPART_SIBL
(9,8),(9,10),-0.00789886 # DEPENDENCYPART_SIBL
(9,8),(9,12),-0.00789526 # DEPENDENCYPART_SIBL
(9,8),(9,17),-0.00789607 # DEPENDENCYPART_SIBL
(9,8),(9,19),-0.0018501 # DEPENDENCYPART_SIBL
(9,10),(9,12),0.0886184 # DEPENDENCYPART_SIBL
(9,10),(9,17),0.0883067 # DEPENDENCYPART_SIBL
(9,10),(9,19),0.0877745 # DEPENDENCYPART_SIBL
(9,12),(9,17),0.0863296 # DEPENDENCYPART_SIBL
(9,12),(9,19),0.0877747 # DEPENDENCYPART_SIBL
(9,17),(9,19),0.0852466 # DEPENDENCYPART_SIBL
(10,1),(10,2),0.103076 # DEPENDENCYPART_SIBL
(10,1),(10,3),-0.0367253 # DEPENDENCYPART_SIBL
(10,1),(10,5),0.153358 # DEPENDENCYPART_SIBL
(10,1),(10,6),0.111986 # DEPENDENCYPART_SIBL
(10,1),(10,8),0.027997 # DEPENDENCYPART_SIBL
(10,1),(10,9),0.048489 # DEPENDENCYPART_SIBL
(10,1),(10,12),-0.00185025 # DEPENDENCYPART_SIBL
(10,1),(10,13),0.00620366 # DEPENDENCYPART_SIBL
(10,1),(10,17),-0.00185857 # DEPENDENCYPART_SIBL
(10,1),(10,19),0.0291579 # DEPENDENCYPART_SIBL
(10,1),(10,21),-0.00257721 # DEPENDENCYPART_SIBL
(10,1),(10,23),-0.00185025 # DEPENDENCYPART_SIBL
(10,1),(10,24),0.0416473 # DEPENDENCYPART_SIBL
(10,2),(10,3),0.0242147 # DEPENDENCYPART_SIBL
(10,2),(10,5),0.0972859 # DEPENDENCYPART_SIBL
(10,2),(10,6),0.206953 # DEPENDENCYPART_SIBL
(10,2),(10,8),-0.567455 # DEPENDENCYPART_SIBL
(10,2),(10,9),0.0481066 # DEPENDENCYPART_SIBL
(10,2),(10,12),-0.00331961 # DEPENDENCYPART_SIBL
(10,2),(10,13),-0.00907785 # DEPENDENCYPART_SIBL
(10,2),(10,17),-0.00332394 # DEPENDENCYPART_SIBL
(10,2),(10,19),0.0086177 # DEPENDENCYPART_SIBL
(10,2),(10,21),-0.00331961 # DEPENDENCYPART_SIBL
(10,2),(10,23),-0.00331961 # DEPENDENCYPART_SIBL
(10,2),(10,24),-0.0285178 # DEPENDENCYPART_SIBL
(10,3),(10,5),0.412774 # DEPENDENCYPART_SIBL
(10,3),(10,6),0.14671 # DEPENDENCYPART_SIBL
(10,3),(10,8),-0.276866 # DEPENDENCYPART_SIBL
(10,3),(10,9),0.0440545 # DEPENDENCYPART_SIBL
(10,3),(10,12),0.00281885 # DEPENDENCYPART_SIBL
(10,3),(10,13),0.0313526 # DEPENDENCYPART_SIBL
(10,3),(10,17),0.000386946 # DEPENDENCYPART_SIBL
(10,3),(10,19),0.0238895 # DEPENDENCYPART_SIBL
(10,3),(10,21),0.00112871 # DEPENDENCYPART_SIBL
(10,3),(10,23),0.00281885 # DEPENDENCYPART_SIBL
(10,3),(10,24),0.0746294 # DEPENDENCYPART_SIBL
(10,5),(10,6),0.132844 # DEPENDENCYPART_SIBL
(10,5),(10,8),-0.287471 # DEPENDENCYPART_SIBL
(10,5),(10,9),-0.0627527 # DEPENDENCYPART_SIBL
(10,5),(10,12),-0.0114091 # DEPENDENCYPART_SIBL
(10,5),(10,13),-0.0401258 # DEPENDENCYPART_SIBL
(10,5),(10,17),-0.0114128 # DEPENDENCYPART_SIBL
(10,5),(10,19),-0.00319815 # DEPENDENCYPART_SIBL
(10,5),(10,21),-0.0117501 # DEPENDENCYPART_SIBL
(10,5),(10,23),-0.0114091 # DEPENDENCYPART_SIBL
(10,5),(10,24),0.0872952 # DEPENDENCYPART_SIBL
(10,6),(10,8),-0.270866 # DEPENDENCYPART_SIBL
(10,6),(10,9),-0.0317449 # DEPENDENCYPART_SIBL
(10,6),(10,12),0.0014287 # DEPENDENCYPART_SIBL
(10,6),(10,13),-0.0122978 # DEPENDENCYPART_SIBL
(10,6),(10,17),0.00141024 # DEPENDENCYPART_SIBL
(10,6),(10,19),0.034891 # DEPENDENCYPART_SIBL
(10,6),(10,21),7.99496e-05 # DEPENDENCYPART_SIBL
(10,6),(10,23),0.0014287 # DEPENDENCYPART_SIBL
(10,6),(10,24),0.120297 # DEPENDENCYPART_SIBL
(10,8),(10,9),0.0320115 # DEPENDENCYPART_SIBL
(10,8),(10,12),-0.00571552 # DEPENDENCYPART_SIBL
(10,8),(10,13),-0.0165824 # DEPENDENCYPART_SIBL
(10,8),(10,17),-0.00572041 # DEPENDENCYPART_SIBL
(10,8),(10,19),-0.0121052 # DEPENDENCYPART_SIBL
(10,8),(10,21),-0.00571552 # DEPENDENCYPART_SIBL
(10,8),(10,23),-0.00571552 # DEPENDENCYPART_SIBL
(10,8),(10,24),-0.0202729 # DEPENDENCYPART_SIBL
(10,9),(10,12),0.0806763 # DEPENDENCYPART_SIBL
(10,9),(10,13),0.0797513 # DEPENDENCYPART_SIBL
(10,9),(10,17),0.0806694 # DEPENDENCYPART_SIBL
(10,9),(10,19),0.0545968 # DEPENDENCYPART_SIBL
(10,9),(10,21),0.0806763 # DEPENDENCYPART_SIBL
(10,9),(10,23),0.0806763 # DEPENDENCYPART_SIBL
(10,9),(10,24),0.129768 # DEPENDENCYPART_SIBL
(10,12),(10,13),0.103086 # DEPENDENCYPART_SIBL
(10,12),(10,17),0.00440118 # DEPENDENCYPART_SIBL
(10,12),(10,19),0.058216 # DEPENDENCYPART_SIBL
(10,12),(10,21),0.0067293 # DEPENDENCYPART_SIBL
(10,12),(10,23),0.00471394 # DEPENDENCYPART_SIBL
(10,12),(10,24),0.0485651 # DEPENDENCYPART_SIBL
(10,13),(10,17),0.339435 # DEPENDENCYPART_SIBL
(10,13),(10,19),0.425607 # DEPENDENCYPART_SIBL
(10,13),(10,21),0.342848 # DEPENDENCYPART_SIBL
(10,13),(10,23),0.342981 # DEPENDENCYPART_SIBL
(10,13),(10,24),0.0787788 # DEPENDENCYPART_SIBL
(10,17),(10,19),0.0556804 # DEPENDENCYPART_SIBL
(10,17),(10,21),0.00583749 # DEPENDENCYPART_SIBL
(10,17),(10,23),0.00382212 # DEPENDENCYPART_SIBL
(10,17),(10,24),0.0442404 # DEPENDENCYPART_SIBL
(10,19),(10,21),0.0764121 # DEPENDENCYPART_SIBL
(10,19),(10,23),0.0764132 # DEPENDENCYPART_SIBL
(10,19),(10,24),0.211166 # DEPENDENCYPART_SIBL
(10,21),(10,23),0.00448657 # DEPENDENCYPART_SIBL
(10,21),(10,24),0.04658 # DEPENDENCYPART_SIBL
(10,23),(10,24),0.0485651 # DEPENDENCYPART_SIBL
(11,1),(11,2),0.0535376 # DEPENDENCYPART_SIBL
(11,1),(11,3),-0.0520964 # DEPENDENCYPART_SIBL
(11,1),(11,4),0.0619553 # DEPENDENCYPART_SIBL
(11,1),(11,5),0.115258 # DEPENDENCYPART_SIBL
(11,1),(11,6),-0.0055583 # DEPENDENCYPART_SIBL
(11,1),(11,7),-0.0324482 # DEPENDENCYPART_SIBL
(11,1),(11,8),0.0694153 # DEPENDENCYPART_SIBL
(11,1),(11,9),0.0156665 # DEPENDENCYPART_SIBL
(11,1),(11,10),-0.0580595 # DEPENDENCYPART_SIBL
(11,1),(11,12),-0.0235705 # DEPENDENCYPART_SIBL
(11,1),(11,13),0.0135096 # DEPENDENCYPART_SIBL
(11,1),(11,14),0.0716116 # DEPENDENCYPART_SIBL
(11,1),(11,15),-0.00460323 # DEPENDENCYPART_SIBL
(11,1),(11,16),-0.0146383 # DEPENDENCYPART_SIBL
(11,1),(11,17),-0.026314 # DEPENDENCYPART_SIBL
(11,1),(11,18),-0.0240853 # DEPENDENCYPART_SIBL
(11,1),(11,19),-0.0763332 # DEPENDENCYPART_SIBL
(11,1),(11,21),-0.0220836 # DEPENDENCYPART_SIBL
(11,1),(11,23),-0.0235705 # DEPENDENCYPART_SIBL
(11,1),(11,24),0.0732146 # DEPENDENCYPART_SIBL
(11,2),(11,3),0.0204297 # DEPENDENCYPART_SIBL
(11,2),(11,4),0.0102192 # DEPENDENCYPART_SIBL
(11,2),(11,5),0.0424639 # DEPENDENCYPART_SIBL
(11,2),(11,6),0.0380574 # DEPENDENCYPART_SIBL
(11,2),(11,7),-0.0545277 # DEPENDENCYPART_SIBL
(11,2),(11,8),-0.106556 # DEPENDENCYPART_SIBL
(11,2),(11,9),0.0150664 # DEPENDENCYPART_SIBL
(11,2),(11,10),0.0117537 # DEPENDENCYPART_SIBL
(11,2),(11,12),-0.0245112 # DEPENDENCYPART_SIBL
(11,2),(11,13),-0.0377119 # DEPENDENCYPART_SIBL
(11,2),(11,14),-0.0259395 # DEPENDENCYPART_SIBL
(11,2),(11,15),0.0223062 # DEPENDENCYPART_SIBL
(11,2),(11,16),0.00253883 # DEPENDENCYPART_SIBL
(11,2),(11,17),-0.0272469 # DEPENDENCYPART_SIBL
(11,2),(11,18),-0.00295312 # DEPENDENCYPART_SIBL
(11,2),(11,19),-0.0134258 # DEPENDENCYPART_SIBL
(11,2),(11,21),-0.0215704 # DEPENDENCYPART_SIBL
(11,2),(11,23),-0.0245112 # DEPENDENCYPART_SIBL
(11,2),(11,24),-0.0634118 # DEPENDENCYPART_SIBL
(11,3),(11,4),0.0336756 # DEPENDENCYPART_SIBL
(11,3),(11,5),0.00712075 # DEPENDENCYPART_SIBL
(11,3),(11,6),-0.0398296 # DEPENDENCYPART_SIBL
(11,3),(11,7),-0.0495867 # DEPENDENCYPART_SIBL
(11,3),(11,8),-0.070894 # DEPENDENCYPART_SIBL
(11,3),(11,9),-0.0372384 # DEPENDENCYPART_SIBL
(11,3),(11,10),-0.0973685 # DEPENDENCYPART_SIBL
(11,3),(11,12),-0.0590075 # DEPENDENCYPART_SIBL
(11,3),(11,13),-0.0156097 # DEPENDENCYPART_SIBL
(11,3),(11,14),-0.0520954 # DEPENDENCYPART_SIBL
(11,3),(11,15),-0.0610017 # DEPENDENCYPART_SIBL
(11,3),(11,16),-0.0470056 # DEPENDENCYPART_SIBL
(11,3),(11,17),-0.0665811 # DEPENDENCYPART_SIBL
(11,3),(11,18),-0.0516708 # DEPENDENCYPART_SIBL
(11,3),(11,19),-0.0454391 # DEPENDENCYPART_SIBL
(11,3),(11,21),-0.0594465 # DEPENDENCYPART_SIBL
(11,3),(11,23),-0.0590075 # DEPENDENCYPART_SIBL
(11,3),(11,24),-0.0132167 # DEPENDENCYPART_SIBL
(11,4),(11,5),0.0307099 # DEPENDENCYPART_SIBL
(11,4),(11,6),0.0263871 # DEPENDENCYPART_SIBL
(11,4),(11,7),-0.0191708 # DEPENDENCYPART_SIBL
(11,4),(11,8),0.084078 # DEPENDENCYPART_SIBL
(11,4),(11,9),-0.0253197 # DEPENDENCYPART_SIBL
(11,4),(11,10),-0.016956 # DEPENDENCYPART_SIBL
(11,4),(11,12),-0.0180136 # DEPENDENCYPART_SIBL
(11,4),(11,13),-0.00490476 # DEPENDENCYPART_SIBL
(11,4),(11,14),0.00248497 # DEPENDENCYPART_SIBL
(11,4),(11,15),-0.0116264 # DEPENDENCYPART_SIBL
(11,4),(11,16),-0.0172914 # DEPENDENCYPART_SIBL
(11,4),(11,17),-0.0208143 # DEPENDENCYPART_SIBL
