# _root_ Az ÁPTF 1997 szeptemberében nem járult hozzá , hogy Happy_Bank néven egy vállalkozás alakuljon , mivel semmilyen banki tevékenységet nem végzett volna .
#goldHeads=2,6,4,6,6,0,6,6,6,11,14,13,14,6,6,6,19,19,21,21,6,21,6,
#predictedHeads=2,6,4,6,6,0,6,6,6,11,14,13,14,6,6,6,19,19,21,21,6,21,6,
(6,14),(6,22),-0.0534333 # DEPENDENCYPART_SIBL
(6,14),(6,23),0.0176889 # DEPENDENCYPART_SIBL
(6,15),(6,16),0.33352 # DEPENDENCYPART_SIBL
(6,15),(6,18),0.0608565 # DEPENDENCYPART_SIBL
(6,15),(6,19),0.074988 # DEPENDENCYPART_SIBL
(6,15),(6,20),0.132828 # DEPENDENCYPART_SIBL
(6,15),(6,21),0.19683 # DEPENDENCYPART_SIBL
(6,15),(6,22),0.112687 # DEPENDENCYPART_SIBL
(6,15),(6,23),0.0533136 # DEPENDENCYPART_SIBL
(6,16),(6,18),0.103216 # DEPENDENCYPART_SIBL
(6,16),(6,19),0.0788735 # DEPENDENCYPART_SIBL
(6,16),(6,20),0.0334515 # DEPENDENCYPART_SIBL
(6,16),(6,21),0.0823016 # DEPENDENCYPART_SIBL
(6,16),(6,22),0.0324067 # DEPENDENCYPART_SIBL
(6,16),(6,23),0.0795132 # DEPENDENCYPART_SIBL
(6,18),(6,19),-0.0255078 # DEPENDENCYPART_SIBL
(6,18),(6,20),-0.0111562 # DEPENDENCYPART_SIBL
(6,18),(6,21),-0.0303693 # DEPENDENCYPART_SIBL
(6,18),(6,22),-0.0706094 # DEPENDENCYPART_SIBL
(6,18),(6,23),-0.00932538 # DEPENDENCYPART_SIBL
(6,19),(6,20),-0.00689142 # DEPENDENCYPART_SIBL
(6,19),(6,21),-0.028087 # DEPENDENCYPART_SIBL
(6,19),(6,22),-0.0711025 # DEPENDENCYPART_SIBL
(6,19),(6,23),-0.00749531 # DEPENDENCYPART_SIBL
(6,20),(6,21),-0.0239648 # DEPENDENCYPART_SIBL
(6,20),(6,22),-0.0523473 # DEPENDENCYPART_SIBL
(6,20),(6,23),0.000360138 # DEPENDENCYPART_SIBL
(6,21),(6,22),-0.037008 # DEPENDENCYPART_SIBL
(6,21),(6,23),0.0329361 # DEPENDENCYPART_SIBL
(6,22),(6,23),-0.0101137 # DEPENDENCYPART_SIBL
(7,4),(7,5),0.160105 # DEPENDENCYPART_SIBL
(7,4),(7,6),0.0909219 # DEPENDENCYPART_SIBL
(7,4),(7,8),0.011062 # DEPENDENCYPART_SIBL
(7,4),(7,9),0.00167389 # DEPENDENCYPART_SIBL
(7,4),(7,11),0.0928839 # DEPENDENCYPART_SIBL
(7,4),(7,19),0.0904827 # DEPENDENCYPART_SIBL
(7,4),(7,23),0.0115986 # DEPENDENCYPART_SIBL
(7,5),(7,6),0.104466 # DEPENDENCYPART_SIBL
(7,5),(7,8),0.0959651 # DEPENDENCYPART_SIBL
(7,5),(7,9),0.0775743 # DEPENDENCYPART_SIBL
(7,5),(7,11),0.150099 # DEPENDENCYPART_SIBL
(7,5),(7,19),0.151813 # DEPENDENCYPART_SIBL
(7,5),(7,23),0.219352 # DEPENDENCYPART_SIBL
(7,6),(7,8),-0.0143965 # DEPENDENCYPART_SIBL
(7,6),(7,9),0.0244071 # DEPENDENCYPART_SIBL
(7,6),(7,11),0.0914808 # DEPENDENCYPART_SIBL
(7,6),(7,19),0.0914792 # DEPENDENCYPART_SIBL
(7,6),(7,23),0.120744 # DEPENDENCYPART_SIBL
(7,8),(7,9),0.350116 # DEPENDENCYPART_SIBL
(7,8),(7,11),0.0272735 # DEPENDENCYPART_SIBL
(7,8),(7,19),0.0280716 # DEPENDENCYPART_SIBL
(7,8),(7,23),0.114047 # DEPENDENCYPART_SIBL
(7,9),(7,11),-0.0558766 # DEPENDENCYPART_SIBL
(7,9),(7,19),-0.0557701 # DEPENDENCYPART_SIBL
(7,9),(7,23),0.0793977 # DEPENDENCYPART_SIBL
(7,11),(7,19),0.00536766 # DEPENDENCYPART_SIBL
(7,11),(7,23),0.0401776 # DEPENDENCYPART_SIBL
(7,19),(7,23),0.0381324 # DEPENDENCYPART_SIBL
(9,2),(9,4),-0.0151216 # DEPENDENCYPART_SIBL
(9,2),(9,5),0.00160754 # DEPENDENCYPART_SIBL
(9,2),(9,6),0.0326323 # DEPENDENCYPART_SIBL
(9,2),(9,7),0.0127219 # DEPENDENCYPART_SIBL
(9,2),(9,8),0.38474 # DEPENDENCYPART_SIBL
(9,2),(9,10),0.086589 # DEPENDENCYPART_SIBL
(9,2),(9,11),0.0863849 # DEPENDENCYPART_SIBL
(9,2),(9,13),0.0865113 # DEPENDENCYPART_SIBL
(9,2),(9,14),0.116752 # DEPENDENCYPART_SIBL
(9,2),(9,15),-0.0153607 # DEPENDENCYPART_SIBL
(9,2),(9,16),-0.00368911 # DEPENDENCYPART_SIBL
(9,2),(9,19),0.0839543 # DEPENDENCYPART_SIBL
(9,2),(9,21),0.118329 # DEPENDENCYPART_SIBL
(9,2),(9,22),0.0923931 # DEPENDENCYPART_SIBL
(9,2),(9,23),0.139528 # DEPENDENCYPART_SIBL
(9,4),(9,5),0.00160768 # DEPENDENCYPART_SIBL
(9,4),(9,6),0.0326325 # DEPENDENCYPART_SIBL
(9,4),(9,7),0.012722 # DEPENDENCYPART_SIBL
(9,4),(9,8),0.389874 # DEPENDENCYPART_SIBL
(9,4),(9,10),0.0804009 # DEPENDENCYPART_SIBL
(9,4),(9,11),0.0801968 # DEPENDENCYPART_SIBL
(9,4),(9,13),0.0803233 # DEPENDENCYPART_SIBL
(9,4),(9,14),0.113961 # DEPENDENCYPART_SIBL
(9,4),(9,15),-0.0210176 # DEPENDENCYPART_SIBL
(9,4),(9,16),-0.00666859 # DEPENDENCYPART_SIBL
(9,4),(9,19),0.0777662 # DEPENDENCYPART_SIBL
(9,4),(9,21),0.115538 # DEPENDENCYPART_SIBL
(9,4),(9,22),0.0896018 # DEPENDENCYPART_SIBL
(9,4),(9,23),0.13343 # DEPENDENCYPART_SIBL
(9,5),(9,6),0.0209501 # DEPENDENCYPART_SIBL
(9,5),(9,7),-0.00315598 # DEPENDENCYPART_SIBL
(9,5),(9,8),0.38192 # DEPENDENCYPART_SIBL
(9,5),(9,10),0.0259028 # DEPENDENCYPART_SIBL
(9,5),(9,11),0.0238382 # DEPENDENCYPART_SIBL
(9,5),(9,13),0.0258639 # DEPENDENCYPART_SIBL
(9,5),(9,14),0.232427 # DEPENDENCYPART_SIBL
(9,5),(9,15),-0.0410074 # DEPENDENCYPART_SIBL
(9,5),(9,16),-0.000357794 # DEPENDENCYPART_SIBL
(9,5),(9,19),0.0254979 # DEPENDENCYPART_SIBL
(9,5),(9,21),0.232146 # DEPENDENCYPART_SIBL
(9,5),(9,22),0.180584 # DEPENDENCYPART_SIBL
(9,5),(9,23),0.0833736 # DEPENDENCYPART_SIBL
(9,6),(9,7),-0.0284911 # DEPENDENCYPART_SIBL
(9,6),(9,8),0.434586 # DEPENDENCYPART_SIBL
(9,6),(9,10),-0.124016 # DEPENDENCYPART_SIBL
(9,6),(9,11),-0.124072 # DEPENDENCYPART_SIBL
(9,6),(9,13),-0.124055 # DEPENDENCYPART_SIBL
(9,6),(9,14),0.0984761 # DEPENDENCYPART_SIBL
(9,6),(9,15),-0.0949833 # DEPENDENCYPART_SIBL
(9,6),(9,16),-0.0364654 # DEPENDENCYPART_SIBL
(9,6),(9,19),-0.124158 # DEPENDENCYPART_SIBL
(9,6),(9,21),0.0984706 # DEPENDENCYPART_SIBL
(9,6),(9,22),0.0736264 # DEPENDENCYPART_SIBL
(9,6),(9,23),0.0424799 # DEPENDENCYPART_SIBL
(9,7),(9,8),0.290024 # DEPENDENCYPART_SIBL
(9,7),(9,10),0.00533003 # DEPENDENCYPART_SIBL
(9,7),(9,11),0.00326543 # DEPENDENCYPART_SIBL
(9,7),(9,13),0.00529106 # DEPENDENCYPART_SIBL
(9,7),(9,14),0.155005 # DEPENDENCYPART_SIBL
(9,7),(9,15),-0.0287535 # DEPENDENCYPART_SIBL
(9,7),(9,16),-0.0224994 # DEPENDENCYPART_SIBL
(9,7),(9,19),0.00492507 # DEPENDENCYPART_SIBL
(9,7),(9,21),0.154724 # DEPENDENCYPART_SIBL
(9,7),(9,22),0.112065 # DEPENDENCYPART_SIBL
(9,7),(9,23),0.0290129 # DEPENDENCYPART_SIBL
(9,8),(9,10),0.0175236 # DEPENDENCYPART_SIBL
(9,8),(9,11),0.0155343 # DEPENDENCYPART_SIBL
(9,8),(9,13),0.0174532 # DEPENDENCYPART_SIBL
(9,8),(9,14),0.297142 # DEPENDENCYPART_SIBL
(9,8),(9,15),0.00885234 # DEPENDENCYPART_SIBL
(9,8),(9,16),0.062352 # DEPENDENCYPART_SIBL
(9,8),(9,19),0.0173465 # DEPENDENCYPART_SIBL
(9,8),(9,21),0.296937 # DEPENDENCYPART_SIBL
(9,8),(9,22),0.241763 # DEPENDENCYPART_SIBL
(9,8),(9,23),0.213472 # DEPENDENCYPART_SIBL
(9,10),(9,11),-0.0247632 # DEPENDENCYPART_SIBL
(9,10),(9,13),-0.0265165 # DEPENDENCYPART_SIBL
(9,10),(9,14),-0.0414629 # DEPENDENCYPART_SIBL
(9,10),(9,15),0.013313 # DEPENDENCYPART_SIBL
(9,10),(9,16),-0.0579847 # DEPENDENCYPART_SIBL
(9,10),(9,19),-0.0240498 # DEPENDENCYPART_SIBL
(9,10),(9,21),-0.0415927 # DEPENDENCYPART_SIBL
(9,10),(9,22),-0.0448271 # DEPENDENCYPART_SIBL
(9,10),(9,23),0.00247674 # DEPENDENCYPART_SIBL
(9,11),(9,13),-0.0265322 # DEPENDENCYPART_SIBL
(9,11),(9,14),-0.0415478 # DEPENDENCYPART_SIBL
(9,11),(9,15),0.0126231 # DEPENDENCYPART_SIBL
(9,11),(9,16),-0.0580403 # DEPENDENCYPART_SIBL
(9,11),(9,19),-0.0240654 # DEPENDENCYPART_SIBL
(9,11),(9,21),-0.0416777 # DEPENDENCYPART_SIBL
(9,11),(9,22),-0.0449121 # DEPENDENCYPART_SIBL
(9,11),(9,23),0.00236275 # DEPENDENCYPART_SIBL
(9,13),(9,14),-0.039241 # DEPENDENCYPART_SIBL
(9,13),(9,15),0.0139044 # DEPENDENCYPART_SIBL
(9,13),(9,16),-0.0596381 # DEPENDENCYPART_SIBL
(9,13),(9,19),-0.0193503 # DEPENDENCYPART_SIBL
(9,13),(9,21),-0.0393708 # DEPENDENCYPART_SIBL
(9,13),(9,22),-0.0426053 # DEPENDENCYPART_SIBL
(9,13),(9,23),1.89331e-05 # DEPENDENCYPART_SIBL
(9,14),(9,15),0.137759 # DEPENDENCYPART_SIBL
(9,14),(9,16),-0.0417329 # DEPENDENCYPART_SIBL
(9,14),(9,19),0.0612603 # DEPENDENCYPART_SIBL
(9,14),(9,21),-0.0217784 # DEPENDENCYPART_SIBL
(9,14),(9,22),-0.0291117 # DEPENDENCYPART_SIBL
(9,14),(9,23),0.0329812 # DEPENDENCYPART_SIBL
(9,15),(9,16),0.0656005 # DEPENDENCYPART_SIBL
(9,15),(9,19),0.121388 # DEPENDENCYPART_SIBL
(9,15),(9,21),0.228765 # DEPENDENCYPART_SIBL
(9,15),(9,22),0.210382 # DEPENDENCYPART_SIBL
(9,15),(9,23),0.0259896 # DEPENDENCYPART_SIBL
(9,16),(9,19),-0.0459478 # DEPENDENCYPART_SIBL
(9,16),(9,21),-0.0451922 # DEPENDENCYPART_SIBL
(9,16),(9,22),-0.0529771 # DEPENDENCYPART_SIBL
(9,16),(9,23),0.0062094 # DEPENDENCYPART_SIBL
(9,19),(9,21),-0.0422545 # DEPENDENCYPART_SIBL
(9,19),(9,22),-0.045489 # DEPENDENCYPART_SIBL
(9,19),(9,23),0.000280342 # DEPENDENCYPART_SIBL
(9,21),(9,22),-0.0256357 # DEPENDENCYPART_SIBL
(9,21),(9,23),0.0350457 # DEPENDENCYPART_SIBL
(9,22),(9,23),-0.0001929 # DEPENDENCYPART_SIBL
(10,9),(10,11),-0.0114097 # DEPENDENCYPART_SIBL
(10,9),(10,13),-0.0114091 # DEPENDENCYPART_SIBL
(10,11),(10,13),0.00223409 # DEPENDENCYPART_SIBL
(11,1),(11,2),-0.00609818 # DEPENDENCYPART_SIBL
(11,1),(11,3),-0.00154299 # DEPENDENCYPART_SIBL
(11,1),(11,4),0.00113119 # DEPENDENCYPART_SIBL
(11,1),(11,5),0.0907627 # DEPENDENCYPART_SIBL
(11,1),(11,6),0.156888 # DEPENDENCYPART_SIBL
(11,1),(11,8),0.221208 # DEPENDENCYPART_SIBL
(11,1),(11,9),0.088878 # DEPENDENCYPART_SIBL
(11,1),(11,10),0.00113119 # DEPENDENCYPART_SIBL
(11,1),(11,13),-0.00571667 # DEPENDENCYPART_SIBL
(11,1),(11,14),-0.012115 # DEPENDENCYPART_SIBL
(11,1),(11,15),-0.0165899 # DEPENDENCYPART_SIBL
(11,1),(11,19),-0.00572115 # DEPENDENCYPART_SIBL
(11,1),(11,21),-0.0148258 # DEPENDENCYPART_SIBL
(11,1),(11,23),-0.0202767 # DEPENDENCYPART_SIBL
(11,2),(11,3),-0.019072 # DEPENDENCYPART_SIBL
(11,2),(11,4),-0.00171367 # DEPENDENCYPART_SIBL
(11,2),(11,5),0.283491 # DEPENDENCYPART_SIBL
(11,2),(11,6),0.159493 # DEPENDENCYPART_SIBL
(11,2),(11,8),0.660187 # DEPENDENCYPART_SIBL
(11,2),(11,9),0.418344 # DEPENDENCYPART_SIBL
(11,2),(11,10),-0.00171367 # DEPENDENCYPART_SIBL
(11,2),(11,13),0.00954621 # DEPENDENCYPART_SIBL
(11,2),(11,14),0.0104278 # DEPENDENCYPART_SIBL
(11,2),(11,15),0.00280357 # DEPENDENCYPART_SIBL
(11,2),(11,19),0.00700668 # DEPENDENCYPART_SIBL
(11,2),(11,21),0.0106575 # DEPENDENCYPART_SIBL
(11,2),(11,23),0.0477682 # DEPENDENCYPART_SIBL
(11,3),(11,4),-0.0159822 # DEPENDENCYPART_SIBL
(11,3),(11,5),0.141967 # DEPENDENCYPART_SIBL
(11,3),(11,6),0.0868271 # DEPENDENCYPART_SIBL
(11,3),(11,8),0.396771 # DEPENDENCYPART_SIBL
(11,3),(11,9),0.329538 # DEPENDENCYPART_SIBL
(11,3),(11,10),-0.0159822 # DEPENDENCYPART_SIBL
(11,3),(11,13),0.0260526 # DEPENDENCYPART_SIBL
(11,3),(11,14),0.0064443 # DEPENDENCYPART_SIBL
(11,3),(11,15),0.00319152 # DEPENDENCYPART_SIBL
(11,3),(11,19),0.0260524 # DEPENDENCYPART_SIBL
(11,3),(11,21),0.00340611 # DEPENDENCYPART_SIBL
(11,3),(11,23),0.0227106 # DEPENDENCYPART_SIBL
(11,4),(11,5),0.288885 # DEPENDENCYPART_SIBL
(11,4),(11,6),0.164888 # DEPENDENCYPART_SIBL
(11,4),(11,8),0.673306 # DEPENDENCYPART_SIBL
(11,4),(11,9),0.424828 # DEPENDENCYPART_SIBL
(11,4),(11,10),0.00038162 # DEPENDENCYPART_SIBL
(11,4),(11,13),0.0033579 # DEPENDENCYPART_SIBL
(11,4),(11,14),0.00763637 # DEPENDENCYPART_SIBL
(11,4),(11,15),-0.00285345 # DEPENDENCYPART_SIBL
(11,4),(11,19),0.000818374 # DEPENDENCYPART_SIBL
(11,4),(11,21),0.00786603 # DEPENDENCYPART_SIBL
(11,4),(11,23),0.0416697 # DEPENDENCYPART_SIBL
(11,5),(11,6),0.0557225 # DEPENDENCYPART_SIBL
(11,5),(11,8),0.0827027 # DEPENDENCYPART_SIBL
(11,5),(11,9),0.101843 # DEPENDENCYPART_SIBL
(11,5),(11,10),-0.00966027 # DEPENDENCYPART_SIBL
(11,5),(11,13),0.0134026 # DEPENDENCYPART_SIBL
(11,5),(11,14),0.117636 # DEPENDENCYPART_SIBL
(11,5),(11,15),0.0113248 # DEPENDENCYPART_SIBL
(11,5),(11,19),0.0130759 # DEPENDENCYPART_SIBL
(11,5),(11,21),0.115731 # DEPENDENCYPART_SIBL
(11,5),(11,23),0.215979 # DEPENDENCYPART_SIBL
(11,6),(11,8),0.324819 # DEPENDENCYPART_SIBL
(11,6),(11,9),0.100671 # DEPENDENCYPART_SIBL
(11,6),(11,10),-0.0466104 # DEPENDENCYPART_SIBL
(11,6),(11,13),-0.00604259 # DEPENDENCYPART_SIBL
(11,6),(11,14),0.0352256 # DEPENDENCYPART_SIBL
(11,6),(11,15),-0.0137824 # DEPENDENCYPART_SIBL
(11,6),(11,19),-0.00607487 # DEPENDENCYPART_SIBL
(11,6),(11,21),0.0338705 # DEPENDENCYPART_SIBL
(11,6),(11,23),0.121851 # DEPENDENCYPART_SIBL
(11,8),(11,9),0.108232 # DEPENDENCYPART_SIBL
(11,8),(11,10),0.0667862 # DEPENDENCYPART_SIBL
(11,8),(11,13),-0.00845779 # DEPENDENCYPART_SIBL
(11,8),(11,14),-0.027896 # DEPENDENCYPART_SIBL
(11,8),(11,15),-0.0346534 # DEPENDENCYPART_SIBL
(11,8),(11,19),-0.0084941 # DEPENDENCYPART_SIBL
(11,8),(11,21),-0.0296452 # DEPENDENCYPART_SIBL
(11,8),(11,23),0.0238517 # DEPENDENCYPART_SIBL
(11,9),(11,10),-0.0924527 # DEPENDENCYPART_SIBL
(11,9),(11,13),-0.0114092 # DEPENDENCYPART_SIBL
(11,9),(11,14),-0.0032067 # DEPENDENCYPART_SIBL
(11,9),(11,15),-0.0401314 # DEPENDENCYPART_SIBL
(11,9),(11,19),-0.0114214 # DEPENDENCYPART_SIBL
(11,9),(11,21),-0.00455454 # DEPENDENCYPART_SIBL
(11,9),(11,23),0.0872924 # DEPENDENCYPART_SIBL
(11,10),(11,13),0.0033579 # DEPENDENCYPART_SIBL
(11,10),(11,14),0.00763637 # DEPENDENCYPART_SIBL
(11,10),(11,15),-0.00285345 # DEPENDENCYPART_SIBL
(11,10),(11,19),0.000818374 # DEPENDENCYPART_SIBL
(11,10),(11,21),0.00786603 # DEPENDENCYPART_SIBL
(11,10),(11,23),0.0416697 # DEPENDENCYPART_SIBL
(11,13),(11,14),0.0604397 # DEPENDENCYPART_SIBL
(11,13),(11,15),0.103685 # DEPENDENCYPART_SIBL
(11,13),(11,19),0.0094097 # DEPENDENCYPART_SIBL
(11,13),(11,21),0.0600212 # DEPENDENCYPART_SIBL
(11,13),(11,23),0.0461066 # DEPENDENCYPART_SIBL
(11,14),(11,15),0.169076 # DEPENDENCYPART_SIBL
(11,14),(11,19),0.0764068 # DEPENDENCYPART_SIBL
(11,14),(11,21),0.0506946 # DEPENDENCYPART_SIBL
(11,14),(11,23),0.211156 # DEPENDENCYPART_SIBL
(11,15),(11,19),0.342972 # DEPENDENCYPART_SIBL
(11,15),(11,21),0.425766 # DEPENDENCYPART_SIBL
(11,15),(11,23),0.0787654 # DEPENDENCYPART_SIBL
(11,19),(11,21),0.0571664 # DEPENDENCYPART_SIBL
(11,19),(11,23),0.0463888 # DEPENDENCYPART_SIBL
(11,21),(11,23),0.212488 # DEPENDENCYPART_SIBL
(13,3),(13,8),0.391943 # DEPENDENCYPART_SIBL
(13,3),(13,10),-0.0182901 # DEPENDENCYPART_SIBL
(13,3),(13,11),-0.0183778 # DEPENDENCYPART_SIBL
(13,3),(13,12),-0.302531 # DEPENDENCYPART_SIBL
(13,3),(13,19),0.0260435 # DEPENDENCYPART_SIBL
(13,8),(13,10),0.072573 # DEPENDENCYPART_SIBL
(13,8),(13,11),0.0686883 # DEPENDENCYPART_SIBL
(13,8),(13,12),-0.358271 # DEPENDENCYPART_SIBL
(13,8),(13,19),-0.0061762 # DEPENDENCYPART_SIBL
(13,10),(13,11),-0.0237053 # DEPENDENCYPART_SIBL
(13,10),(13,12),-0.173475 # DEPENDENCYPART_SIBL
(13,10),(13,19),0.000727698 # DEPENDENCYPART_SIBL
(13,11),(13,12),-0.174041 # DEPENDENCYPART_SIBL
(13,11),(13,19),0.00606212 # DEPENDENCYPART_SIBL
(13,12),(13,19),-0.0143559 # DEPENDENCYPART_SIBL
(14,1),(14,2),-0.0314992 # DEPENDENCYPART_SIBL
(14,1),(14,3),-0.040607 # DEPENDENCYPART_SIBL
(14,1),(14,4),-0.0320467 # DEPENDENCYPART_SIBL
(14,1),(14,5),-0.055272 # DEPENDENCYPART_SIBL
(14,1),(14,6),0.0115019 # DEPENDENCYPART_SIBL
(14,1),(14,7),-0.077638 # DEPENDENCYPART_SIBL
(14,1),(14,8),0.015601 # DEPENDENCYPART_SIBL
(14,1),(14,9),0.0514229 # DEPENDENCYPART_SIBL
(14,1),(14,10),-0.0320467 # DEPENDENCYPART_SIBL
(14,1),(14,11),-0.0354614 # DEPENDENCYPART_SIBL
(14,1),(14,12),-0.15107 # DEPENDENCYPART_SIBL
(14,1),(14,13),-0.0362955 # DEPENDENCYPART_SIBL
(14,1),(14,15),0.0122401 # DEPENDENCYPART_SIBL
(14,1),(14,16),0.0413396 # DEPENDENCYPART_SIBL
(14,1),(14,17),0.0153524 # DEPENDENCYPART_SIBL
(14,1),(14,18),0.0140053 # DEPENDENCYPART_SIBL
(14,1),(14,19),-0.00793808 # DEPENDENCYPART_SIBL
(14,1),(14,20),-0.0274463 # DEPENDENCYPART_SIBL
(14,1),(14,21),-0.0236535 # DEPENDENCYPART_SIBL
(14,1),(14,22),0.027903 # DEPENDENCYPART_SIBL
(14,1),(14,23),0.0155209 # DEPENDENCYPART_SIBL
(14,2),(14,3),-0.0180154 # DEPENDENCYPART_SIBL
(14,2),(14,4),-0.0150543 # DEPENDENCYPART_SIBL
(14,2),(14,5),0.0335662 # DEPENDENCYPART_SIBL
(14,2),(14,6),-0.00481775 # DEPENDENCYPART_SIBL
(14,2),(14,7),0.0121081 # DEPENDENCYPART_SIBL
(14,2),(14,8),0.0924411 # DEPENDENCYPART_SIBL
(14,2),(14,9),0.0495576 # DEPENDENCYPART_SIBL
(14,2),(14,10),-0.0150543 # DEPENDENCYPART_SIBL
(14,2),(14,11),-0.0296194 # DEPENDENCYPART_SIBL
(14,2),(14,12),-0.0431429 # DEPENDENCYPART_SIBL
(14,2),(14,13),-0.0157079 # DEPENDENCYPART_SIBL
(14,2),(14,15),0.0239503 # DEPENDENCYPART_SIBL
(14,2),(14,16),0.0383206 # DEPENDENCYPART_SIBL
(14,2),(14,17),-0.00374066 # DEPENDENCYPART_SIBL
(14,2),(14,18),0.0128674 # DEPENDENCYPART_SIBL
(14,2),(14,19),0.0111513 # DEPENDENCYPART_SIBL
(14,2),(14,20),-0.0150552 # DEPENDENCYPART_SIBL
(14,2),(14,21),0.0129089 # DEPENDENCYPART_SIBL
(14,2),(14,22),0.0746263 # DEPENDENCYPART_SIBL
(14,2),(14,23),0.0381627 # DEPENDENCYPART_SIBL
(14,3),(14,4),0.00800962 # DEPENDENCYPART_SIBL
(14,3),(14,5),0.0129657 # DEPENDENCYPART_SIBL
(14,3),(14,6),-0.029191 # DEPENDENCYPART_SIBL
(14,3),(14,7),0.0120132 # DEPENDENCYPART_SIBL
(14,3),(14,8),0.0616125 # DEPENDENCYPART_SIBL
(14,3),(14,9),0.0977914 # DEPENDENCYPART_SIBL
(14,3),(14,10),0.00800962 # DEPENDENCYPART_SIBL
(14,3),(14,11),0.00237341 # DEPENDENCYPART_SIBL
(14,3),(14,12),-0.0872339 # DEPENDENCYPART_SIBL
(14,3),(14,13),0.00103946 # DEPENDENCYPART_SIBL
(14,3),(14,15),-0.00500991 # DEPENDENCYPART_SIBL
(14,3),(14,16),-0.0248418 # DEPENDENCYPART_SIBL
(14,3),(14,17),-0.000295156 # DEPENDENCYPART_SIBL
(14,3),(14,18),-0.0188513 # DEPENDENCYPART_SIBL
(14,3),(14,19),0.00743207 # DEPENDENCYPART_SIBL
(14,3),(14,20),0.0155909 # DEPENDENCYPART_SIBL
(14,3),(14,21),-0.0170996 # DEPENDENCYPART_SIBL
(14,3),(14,22),0.00915033 # DEPENDENCYPART_SIBL
(14,3),(14,23),-0.00356245 # DEPENDENCYPART_SIBL
(14,4),(14,5),0.0290878 # DEPENDENCYPART_SIBL
(14,4),(14,6),-0.00929603 # DEPENDENCYPART_SIBL
(14,4),(14,7),0.0076297 # DEPENDENCYPART_SIBL
(14,4),(14,8),0.0956371 # DEPENDENCYPART_SIBL
(14,4),(14,9),0.0468174 # DEPENDENCYPART_SIBL
(14,4),(14,10),-0.0309984 # DEPENDENCYPART_SIBL
(14,4),(14,11),-0.0455635 # DEPENDENCYPART_SIBL
(14,4),(14,12),-0.0476213 # DEPENDENCYPART_SIBL
(14,4),(14,13),-0.031652 # DEPENDENCYPART_SIBL
(14,4),(14,15),-0.00637658 # DEPENDENCYPART_SIBL
(14,4),(14,16),0.0133485 # DEPENDENCYPART_SIBL
(14,4),(14,17),-0.0227535 # DEPENDENCYPART_SIBL
(14,4),(14,18),-0.0061454 # DEPENDENCYPART_SIBL
(14,4),(14,19),-0.0202383 # DEPENDENCYPART_SIBL
(14,4),(14,20),-0.0364195 # DEPENDENCYPART_SIBL
(14,4),(14,21),-0.0116869 # DEPENDENCYPART_SIBL
(14,4),(14,22),0.0500305 # DEPENDENCYPART_SIBL
(14,4),(14,23),0.00695274 # DEPENDENCYPART_SIBL
(14,5),(14,6),-0.0245767 # DEPENDENCYPART_SIBL
(14,5),(14,7),-0.0403963 # DEPENDENCYPART_SIBL
(14,5),(14,8),0.105898 # DEPENDENCYPART_SIBL
(14,5),(14,9),0.0290667 # DEPENDENCYPART_SIBL
(14,5),(14,10),-0.0367625 # DEPENDENCYPART_SIBL
(14,5),(14,11),-0.0391662 # DEPENDENCYPART_SIBL
(14,5),(14,12),-0.0765813 # DEPENDENCYPART_SIBL
(14,5),(14,13),-0.0404021 # DEPENDENCYPART_SIBL
(14,5),(14,15),-0.00959942 # DEPENDENCYPART_SIBL
(14,5),(14,16),0.0180163 # DEPENDENCYPART_SIBL
(14,5),(14,17),0.0269994 # DEPENDENCYPART_SIBL
(14,5),(14,18),0.0181882 # DEPENDENCYPART_SIBL
(14,5),(14,19),-0.00304361 # DEPENDENCYPART_SIBL
(14,5),(14,20),0.00711077 # DEPENDENCYPART_SIBL
(14,5),(14,21),0.0602813 # DEPENDENCYPART_SIBL
(14,5),(14,22),0.0728356 # DEPENDENCYPART_SIBL
(14,5),(14,23),-0.00775645 # DEPENDENCYPART_SIBL
(14,6),(14,7),-0.0199673 # DEPENDENCYPART_SIBL
(14,6),(14,8),0.0788787 # DEPENDENCYPART_SIBL
(14,6),(14,9),-0.0509643 # DEPENDENCYPART_SIBL
(14,6),(14,10),-0.0266512 # DEPENDENCYPART_SIBL
(14,6),(14,11),-0.0338175 # DEPENDENCYPART_SIBL
(14,6),(14,12),-0.0777463 # DEPENDENCYPART_SIBL
(14,6),(14,13),-0.0311693 # DEPENDENCYPART_SIBL
(14,6),(14,15),0.00220114 # DEPENDENCYPART_SIBL
(14,6),(14,16),0.0429072 # DEPENDENCYPART_SIBL
(14,6),(14,17),-0.0215603 # DEPENDENCYPART_SIBL
(14,6),(14,18),-0.0142709 # DEPENDENCYPART_SIBL
(14,6),(14,19),-0.0133179 # DEPENDENCYPART_SIBL
(14,6),(14,20),-0.0234624 # DEPENDENCYPART_SIBL
(14,6),(14,21),-0.0114928 # DEPENDENCYPART_SIBL
(14,6),(14,22),0.0451695 # DEPENDENCYPART_SIBL
(14,6),(14,23),0.0155231 # DEPENDENCYPART_SIBL
(14,7),(14,8),-0.00713396 # DEPENDENCYPART_SIBL
(14,7),(14,9),-0.00332482 # DEPENDENCYPART_SIBL
(14,7),(14,10),-0.0245635 # DEPENDENCYPART_SIBL
(14,7),(14,11),-0.0269672 # DEPENDENCYPART_SIBL
