# _root_ Koszovó székhelyének , Pristinának egyik kerületében összegyűjtik az embereket , majd vonatokon és autóbuszokon elindítják őket Macedónia felé .
#goldHeads=2,4,4,7,6,7,11,9,7,11,0,15,15,15,11,15,18,15,11,
#predictedHeads=2,7,7,7,6,7,11,9,7,11,0,15,15,15,11,15,18,15,11,
(7,2),(7,3),0.0956371 # DEPENDENCYPART_SIBL
(7,2),(7,4),-0.0309984 # DEPENDENCYPART_SIBL
(7,2),(7,5),-0.084028 # DEPENDENCYPART_SIBL
(7,2),(7,6),-0.0313381 # DEPENDENCYPART_SIBL
(7,2),(7,8),-0.0272295 # DEPENDENCYPART_SIBL
(7,2),(7,9),-0.0185598 # DEPENDENCYPART_SIBL
(7,2),(7,10),-0.00637658 # DEPENDENCYPART_SIBL
(7,2),(7,11),-0.015432 # DEPENDENCYPART_SIBL
(7,2),(7,12),-0.0106718 # DEPENDENCYPART_SIBL
(7,2),(7,13),-0.0263338 # DEPENDENCYPART_SIBL
(7,2),(7,14),-0.0106718 # DEPENDENCYPART_SIBL
(7,2),(7,15),-0.0156883 # DEPENDENCYPART_SIBL
(7,2),(7,16),-0.0246483 # DEPENDENCYPART_SIBL
(7,2),(7,17),-0.0140245 # DEPENDENCYPART_SIBL
(7,2),(7,18),0.0252848 # DEPENDENCYPART_SIBL
(7,2),(7,19),0.00695274 # DEPENDENCYPART_SIBL
(7,3),(7,4),-0.00692861 # DEPENDENCYPART_SIBL
(7,3),(7,5),-0.0779661 # DEPENDENCYPART_SIBL
(7,3),(7,6),-0.00692862 # DEPENDENCYPART_SIBL
(7,3),(7,8),-0.00943395 # DEPENDENCYPART_SIBL
(7,3),(7,9),-0.0389296 # DEPENDENCYPART_SIBL
(7,3),(7,10),-0.00490476 # DEPENDENCYPART_SIBL
(7,3),(7,11),-0.0221844 # DEPENDENCYPART_SIBL
(7,3),(7,12),-0.0180136 # DEPENDENCYPART_SIBL
(7,3),(7,13),-0.0227697 # DEPENDENCYPART_SIBL
(7,3),(7,14),-0.0180136 # DEPENDENCYPART_SIBL
(7,3),(7,15),-0.00508159 # DEPENDENCYPART_SIBL
(7,3),(7,16),-0.0268368 # DEPENDENCYPART_SIBL
(7,3),(7,17),-0.0195268 # DEPENDENCYPART_SIBL
(7,3),(7,18),0.00257319 # DEPENDENCYPART_SIBL
(7,3),(7,19),0.0213227 # DEPENDENCYPART_SIBL
(7,4),(7,5),-0.084028 # DEPENDENCYPART_SIBL
(7,4),(7,6),-0.0313381 # DEPENDENCYPART_SIBL
(7,4),(7,8),-0.0272295 # DEPENDENCYPART_SIBL
(7,4),(7,9),-0.0185598 # DEPENDENCYPART_SIBL
(7,4),(7,10),-0.00637658 # DEPENDENCYPART_SIBL
(7,4),(7,11),-0.015432 # DEPENDENCYPART_SIBL
(7,4),(7,12),-0.0106718 # DEPENDENCYPART_SIBL
(7,4),(7,13),-0.0263338 # DEPENDENCYPART_SIBL
(7,4),(7,14),-0.0106718 # DEPENDENCYPART_SIBL
(7,4),(7,15),-0.0156883 # DEPENDENCYPART_SIBL
(7,4),(7,16),-0.0246483 # DEPENDENCYPART_SIBL
(7,4),(7,17),-0.0140245 # DEPENDENCYPART_SIBL
(7,4),(7,18),0.0252848 # DEPENDENCYPART_SIBL
(7,4),(7,19),0.00695274 # DEPENDENCYPART_SIBL
(7,5),(7,6),-0.0634928 # DEPENDENCYPART_SIBL
(7,5),(7,8),-0.0275989 # DEPENDENCYPART_SIBL
(7,5),(7,9),-0.0587557 # DEPENDENCYPART_SIBL
(7,5),(7,10),-0.0670327 # DEPENDENCYPART_SIBL
(7,5),(7,11),-0.0700679 # DEPENDENCYPART_SIBL
(7,5),(7,12),-0.0488995 # DEPENDENCYPART_SIBL
(7,5),(7,13),-0.101018 # DEPENDENCYPART_SIBL
(7,5),(7,14),-0.0488995 # DEPENDENCYPART_SIBL
(7,5),(7,15),-0.0697137 # DEPENDENCYPART_SIBL
(7,5),(7,16),-0.0394775 # DEPENDENCYPART_SIBL
(7,5),(7,17),-0.0502397 # DEPENDENCYPART_SIBL
(7,5),(7,18),-0.000975221 # DEPENDENCYPART_SIBL
(7,5),(7,19),-0.0494917 # DEPENDENCYPART_SIBL
(7,6),(7,8),-0.0272295 # DEPENDENCYPART_SIBL
(7,6),(7,9),-0.0185598 # DEPENDENCYPART_SIBL
(7,6),(7,10),-0.00637658 # DEPENDENCYPART_SIBL
(7,6),(7,11),-0.015432 # DEPENDENCYPART_SIBL
(7,6),(7,12),-0.0106718 # DEPENDENCYPART_SIBL
(7,6),(7,13),-0.0263338 # DEPENDENCYPART_SIBL
(7,6),(7,14),-0.0106718 # DEPENDENCYPART_SIBL
(7,6),(7,15),-0.0156883 # DEPENDENCYPART_SIBL
(7,6),(7,16),-0.0246483 # DEPENDENCYPART_SIBL
(7,6),(7,17),-0.0140245 # DEPENDENCYPART_SIBL
(7,6),(7,18),0.0252848 # DEPENDENCYPART_SIBL
(7,6),(7,19),0.00695274 # DEPENDENCYPART_SIBL
(7,8),(7,9),0.0608367 # DEPENDENCYPART_SIBL
(7,8),(7,10),0.0263673 # DEPENDENCYPART_SIBL
(7,8),(7,11),0.0415486 # DEPENDENCYPART_SIBL
(7,8),(7,12),0.0520221 # DEPENDENCYPART_SIBL
(7,8),(7,13),0.039084 # DEPENDENCYPART_SIBL
(7,8),(7,14),0.0520221 # DEPENDENCYPART_SIBL
(7,8),(7,15),0.000231333 # DEPENDENCYPART_SIBL
(7,8),(7,16),-0.0090705 # DEPENDENCYPART_SIBL
(7,8),(7,17),0.0510459 # DEPENDENCYPART_SIBL
(7,8),(7,18),-0.000118124 # DEPENDENCYPART_SIBL
(7,8),(7,19),-0.00660792 # DEPENDENCYPART_SIBL
(7,9),(7,10),0.0199617 # DEPENDENCYPART_SIBL
(7,9),(7,11),-0.0207557 # DEPENDENCYPART_SIBL
(7,9),(7,12),-0.0304495 # DEPENDENCYPART_SIBL
(7,9),(7,13),0.0146173 # DEPENDENCYPART_SIBL
(7,9),(7,14),-0.0304495 # DEPENDENCYPART_SIBL
(7,9),(7,15),-0.0305397 # DEPENDENCYPART_SIBL
(7,9),(7,16),0.0248953 # DEPENDENCYPART_SIBL
(7,9),(7,17),-0.0314267 # DEPENDENCYPART_SIBL
(7,9),(7,18),-0.0111535 # DEPENDENCYPART_SIBL
(7,9),(7,19),-0.0185876 # DEPENDENCYPART_SIBL
(7,10),(7,11),0.218793 # DEPENDENCYPART_SIBL
(7,10),(7,12),0.07652 # DEPENDENCYPART_SIBL
(7,10),(7,13),0.0709146 # DEPENDENCYPART_SIBL
(7,10),(7,14),0.07652 # DEPENDENCYPART_SIBL
(7,10),(7,15),0.194562 # DEPENDENCYPART_SIBL
(7,10),(7,16),0.00645968 # DEPENDENCYPART_SIBL
(7,10),(7,17),0.0755436 # DEPENDENCYPART_SIBL
(7,10),(7,18),-0.0169946 # DEPENDENCYPART_SIBL
(7,10),(7,19),0.0489202 # DEPENDENCYPART_SIBL
(7,11),(7,12),0.053948 # DEPENDENCYPART_SIBL
(7,11),(7,13),-0.0265068 # DEPENDENCYPART_SIBL
(7,11),(7,14),0.053948 # DEPENDENCYPART_SIBL
(7,11),(7,15),-0.0173269 # DEPENDENCYPART_SIBL
(7,11),(7,16),0.0323067 # DEPENDENCYPART_SIBL
(7,11),(7,17),0.0529717 # DEPENDENCYPART_SIBL
(7,11),(7,18),-0.0440167 # DEPENDENCYPART_SIBL
(7,11),(7,19),-0.0143566 # DEPENDENCYPART_SIBL
(7,12),(7,13),0.0300049 # DEPENDENCYPART_SIBL
(7,12),(7,14),-0.0191053 # DEPENDENCYPART_SIBL
(7,12),(7,15),-0.0189344 # DEPENDENCYPART_SIBL
(7,12),(7,16),0.0359724 # DEPENDENCYPART_SIBL
(7,12),(7,17),-0.0200826 # DEPENDENCYPART_SIBL
(7,12),(7,18),-0.00113654 # DEPENDENCYPART_SIBL
(7,12),(7,19),-1.62179e-05 # DEPENDENCYPART_SIBL
(7,13),(7,14),0.107612 # DEPENDENCYPART_SIBL
(7,13),(7,15),0.0220002 # DEPENDENCYPART_SIBL
(7,13),(7,16),0.0605308 # DEPENDENCYPART_SIBL
(7,13),(7,17),0.106635 # DEPENDENCYPART_SIBL
(7,13),(7,18),-0.0346079 # DEPENDENCYPART_SIBL
(7,13),(7,19),0.00340412 # DEPENDENCYPART_SIBL
(7,14),(7,15),-0.0189344 # DEPENDENCYPART_SIBL
(7,14),(7,16),0.0359724 # DEPENDENCYPART_SIBL
(7,14),(7,17),-0.0200826 # DEPENDENCYPART_SIBL
(7,14),(7,18),-0.00113654 # DEPENDENCYPART_SIBL
(7,14),(7,19),-1.62179e-05 # DEPENDENCYPART_SIBL
(7,15),(7,16),-0.040227 # DEPENDENCYPART_SIBL
(7,15),(7,17),-0.00546005 # DEPENDENCYPART_SIBL
(7,15),(7,18),-0.0606561 # DEPENDENCYPART_SIBL
(7,15),(7,19),0.0178063 # DEPENDENCYPART_SIBL
(7,16),(7,17),0.0344509 # DEPENDENCYPART_SIBL
(7,16),(7,18),0.0149604 # DEPENDENCYPART_SIBL
(7,16),(7,19),-0.00973347 # DEPENDENCYPART_SIBL
(7,17),(7,18),-0.00222048 # DEPENDENCYPART_SIBL
(7,17),(7,19),-0.00109742 # DEPENDENCYPART_SIBL
(7,18),(7,19),-0.0202606 # DEPENDENCYPART_SIBL
(9,4),(9,5),0.190446 # DEPENDENCYPART_SIBL
(9,4),(9,6),-0.0188758 # DEPENDENCYPART_SIBL
(9,4),(9,8),-0.270151 # DEPENDENCYPART_SIBL
(9,4),(9,10),-0.00283853 # DEPENDENCYPART_SIBL
(9,4),(9,11),0.00351943 # DEPENDENCYPART_SIBL
(9,4),(9,12),0.00337852 # DEPENDENCYPART_SIBL
(9,4),(9,13),0.0300658 # DEPENDENCYPART_SIBL
(9,4),(9,14),0.00337852 # DEPENDENCYPART_SIBL
(9,4),(9,15),0.00765815 # DEPENDENCYPART_SIBL
(9,4),(9,18),0.0292382 # DEPENDENCYPART_SIBL
(9,5),(9,6),-0.0427394 # DEPENDENCYPART_SIBL
(9,5),(9,8),0.0236566 # DEPENDENCYPART_SIBL
(9,5),(9,10),-0.0133197 # DEPENDENCYPART_SIBL
(9,5),(9,11),-0.0192902 # DEPENDENCYPART_SIBL
(9,5),(9,12),0.00492737 # DEPENDENCYPART_SIBL
(9,5),(9,13),-0.0149483 # DEPENDENCYPART_SIBL
(9,5),(9,14),0.00492737 # DEPENDENCYPART_SIBL
(9,5),(9,15),0.047305 # DEPENDENCYPART_SIBL
(9,5),(9,18),0.00663573 # DEPENDENCYPART_SIBL
(9,6),(9,8),-0.270151 # DEPENDENCYPART_SIBL
(9,6),(9,10),-0.00283853 # DEPENDENCYPART_SIBL
(9,6),(9,11),0.00351943 # DEPENDENCYPART_SIBL
(9,6),(9,12),0.00337852 # DEPENDENCYPART_SIBL
(9,6),(9,13),0.0300658 # DEPENDENCYPART_SIBL
(9,6),(9,14),0.00337852 # DEPENDENCYPART_SIBL
(9,6),(9,15),0.00765815 # DEPENDENCYPART_SIBL
(9,6),(9,18),0.0292382 # DEPENDENCYPART_SIBL
(9,8),(9,10),-0.0165824 # DEPENDENCYPART_SIBL
(9,8),(9,11),-0.0106019 # DEPENDENCYPART_SIBL
(9,8),(9,12),-0.00571553 # DEPENDENCYPART_SIBL
(9,8),(9,13),-0.00521889 # DEPENDENCYPART_SIBL
(9,8),(9,14),-0.00571553 # DEPENDENCYPART_SIBL
(9,8),(9,15),-0.0121052 # DEPENDENCYPART_SIBL
(9,8),(9,18),-0.0206603 # DEPENDENCYPART_SIBL
(9,10),(9,11),0.116526 # DEPENDENCYPART_SIBL
(9,10),(9,12),0.342981 # DEPENDENCYPART_SIBL
(9,10),(9,13),0.0802639 # DEPENDENCYPART_SIBL
(9,10),(9,14),0.342981 # DEPENDENCYPART_SIBL
(9,10),(9,15),0.425607 # DEPENDENCYPART_SIBL
(9,10),(9,18),0.0844417 # DEPENDENCYPART_SIBL
(9,11),(9,12),0.0160144 # DEPENDENCYPART_SIBL
(9,11),(9,13),-0.0368965 # DEPENDENCYPART_SIBL
(9,11),(9,14),0.0160144 # DEPENDENCYPART_SIBL
(9,11),(9,15),0.0268342 # DEPENDENCYPART_SIBL
(9,11),(9,18),-0.00713082 # DEPENDENCYPART_SIBL
(9,12),(9,13),-0.000972934 # DEPENDENCYPART_SIBL
(9,12),(9,14),0.00471394 # DEPENDENCYPART_SIBL
(9,12),(9,15),0.058216 # DEPENDENCYPART_SIBL
(9,12),(9,18),0.0307474 # DEPENDENCYPART_SIBL
(9,13),(9,14),0.0392933 # DEPENDENCYPART_SIBL
(9,13),(9,15),0.0674514 # DEPENDENCYPART_SIBL
(9,13),(9,18),0.011109 # DEPENDENCYPART_SIBL
(9,14),(9,15),0.058216 # DEPENDENCYPART_SIBL
(9,14),(9,18),0.0307474 # DEPENDENCYPART_SIBL
(9,15),(9,18),0.0227325 # DEPENDENCYPART_SIBL
(11,1),(11,2),0.00953306 # DEPENDENCYPART_SIBL
(11,1),(11,3),0.366717 # DEPENDENCYPART_SIBL
(11,1),(11,4),0.00953306 # DEPENDENCYPART_SIBL
(11,1),(11,5),0.0605369 # DEPENDENCYPART_SIBL
(11,1),(11,6),0.00919331 # DEPENDENCYPART_SIBL
(11,1),(11,7),0.0899255 # DEPENDENCYPART_SIBL
(11,1),(11,8),0.0119962 # DEPENDENCYPART_SIBL
(11,1),(11,9),0.00913167 # DEPENDENCYPART_SIBL
(11,1),(11,10),0.366717 # DEPENDENCYPART_SIBL
(11,1),(11,12),0.0864843 # DEPENDENCYPART_SIBL
(11,1),(11,13),-0.0147143 # DEPENDENCYPART_SIBL
(11,1),(11,14),0.0864843 # DEPENDENCYPART_SIBL
(11,1),(11,15),0.0219904 # DEPENDENCYPART_SIBL
(11,1),(11,17),0.085476 # DEPENDENCYPART_SIBL
(11,1),(11,18),-0.0200086 # DEPENDENCYPART_SIBL
(11,1),(11,19),-0.00777699 # DEPENDENCYPART_SIBL
(11,2),(11,3),0.363354 # DEPENDENCYPART_SIBL
(11,2),(11,4),0.0131763 # DEPENDENCYPART_SIBL
(11,2),(11,5),0.0607379 # DEPENDENCYPART_SIBL
(11,2),(11,6),0.0128365 # DEPENDENCYPART_SIBL
(11,2),(11,7),0.0903857 # DEPENDENCYPART_SIBL
(11,2),(11,8),0.0121873 # DEPENDENCYPART_SIBL
(11,2),(11,9),0.0127749 # DEPENDENCYPART_SIBL
(11,2),(11,10),0.363354 # DEPENDENCYPART_SIBL
(11,2),(11,12),0.0876707 # DEPENDENCYPART_SIBL
(11,2),(11,13),-0.0152125 # DEPENDENCYPART_SIBL
(11,2),(11,14),0.0876707 # DEPENDENCYPART_SIBL
(11,2),(11,15),0.0248562 # DEPENDENCYPART_SIBL
(11,2),(11,17),0.0866624 # DEPENDENCYPART_SIBL
(11,2),(11,18),-0.0194696 # DEPENDENCYPART_SIBL
(11,2),(11,19),0.00300527 # DEPENDENCYPART_SIBL
(11,3),(11,4),-0.0069124 # DEPENDENCYPART_SIBL
(11,3),(11,5),-0.029223 # DEPENDENCYPART_SIBL
(11,3),(11,6),-0.0069124 # DEPENDENCYPART_SIBL
(11,3),(11,7),0.0833226 # DEPENDENCYPART_SIBL
(11,3),(11,8),0.00749622 # DEPENDENCYPART_SIBL
(11,3),(11,9),-0.00849318 # DEPENDENCYPART_SIBL
(11,3),(11,10),-0.00717915 # DEPENDENCYPART_SIBL
(11,3),(11,12),0.021292 # DEPENDENCYPART_SIBL
(11,3),(11,13),0.0314583 # DEPENDENCYPART_SIBL
(11,3),(11,14),0.021292 # DEPENDENCYPART_SIBL
(11,3),(11,15),0.218826 # DEPENDENCYPART_SIBL
(11,3),(11,17),0.0212042 # DEPENDENCYPART_SIBL
(11,3),(11,18),0.0295063 # DEPENDENCYPART_SIBL
(11,3),(11,19),0.210933 # DEPENDENCYPART_SIBL
(11,4),(11,5),0.0607379 # DEPENDENCYPART_SIBL
(11,4),(11,6),0.0128365 # DEPENDENCYPART_SIBL
(11,4),(11,7),0.0903857 # DEPENDENCYPART_SIBL
(11,4),(11,8),0.0121873 # DEPENDENCYPART_SIBL
(11,4),(11,9),0.0127749 # DEPENDENCYPART_SIBL
(11,4),(11,10),0.363354 # DEPENDENCYPART_SIBL
(11,4),(11,12),0.0876707 # DEPENDENCYPART_SIBL
(11,4),(11,13),-0.0152125 # DEPENDENCYPART_SIBL
(11,4),(11,14),0.0876707 # DEPENDENCYPART_SIBL
(11,4),(11,15),0.0248562 # DEPENDENCYPART_SIBL
(11,4),(11,17),0.0866624 # DEPENDENCYPART_SIBL
(11,4),(11,18),-0.0194696 # DEPENDENCYPART_SIBL
(11,4),(11,19),0.00300527 # DEPENDENCYPART_SIBL
(11,5),(11,6),0.0301419 # DEPENDENCYPART_SIBL
(11,5),(11,7),0.0592438 # DEPENDENCYPART_SIBL
(11,5),(11,8),0.150712 # DEPENDENCYPART_SIBL
(11,5),(11,9),0.0301381 # DEPENDENCYPART_SIBL
(11,5),(11,10),0.302918 # DEPENDENCYPART_SIBL
(11,5),(11,12),0.0542791 # DEPENDENCYPART_SIBL
(11,5),(11,13),-0.0206185 # DEPENDENCYPART_SIBL
(11,5),(11,14),0.0542791 # DEPENDENCYPART_SIBL
(11,5),(11,15),0.160642 # DEPENDENCYPART_SIBL
(11,5),(11,17),0.054277 # DEPENDENCYPART_SIBL
(11,5),(11,18),0.0200916 # DEPENDENCYPART_SIBL
(11,5),(11,19),0.0189658 # DEPENDENCYPART_SIBL
(11,6),(11,7),0.0903857 # DEPENDENCYPART_SIBL
(11,6),(11,8),0.0121873 # DEPENDENCYPART_SIBL
(11,6),(11,9),0.0158148 # DEPENDENCYPART_SIBL
(11,6),(11,10),0.369434 # DEPENDENCYPART_SIBL
(11,6),(11,12),0.0876707 # DEPENDENCYPART_SIBL
(11,6),(11,13),-0.0152125 # DEPENDENCYPART_SIBL
(11,6),(11,14),0.0876707 # DEPENDENCYPART_SIBL
(11,6),(11,15),0.0248562 # DEPENDENCYPART_SIBL
(11,6),(11,17),0.0866624 # DEPENDENCYPART_SIBL
(11,6),(11,18),-0.0194696 # DEPENDENCYPART_SIBL
(11,6),(11,19),0.00300526 # DEPENDENCYPART_SIBL
(11,7),(11,8),-0.0225967 # DEPENDENCYPART_SIBL
(11,7),(11,9),-0.0422791 # DEPENDENCYPART_SIBL
(11,7),(11,10),0.365579 # DEPENDENCYPART_SIBL
(11,7),(11,12),-0.0128174 # DEPENDENCYPART_SIBL
(11,7),(11,13),0.0454284 # DEPENDENCYPART_SIBL
(11,7),(11,14),-0.0128174 # DEPENDENCYPART_SIBL
(11,7),(11,15),0.183459 # DEPENDENCYPART_SIBL
(11,7),(11,17),-0.0128293 # DEPENDENCYPART_SIBL
(11,7),(11,18),0.00470159 # DEPENDENCYPART_SIBL
(11,7),(11,19),0.178453 # DEPENDENCYPART_SIBL
(11,8),(11,9),0.03455 # DEPENDENCYPART_SIBL
(11,8),(11,10),0.230046 # DEPENDENCYPART_SIBL
(11,8),(11,12),0.00814404 # DEPENDENCYPART_SIBL
(11,8),(11,13),-0.044657 # DEPENDENCYPART_SIBL
(11,8),(11,14),0.00814404 # DEPENDENCYPART_SIBL
(11,8),(11,15),0.051918 # DEPENDENCYPART_SIBL
(11,8),(11,17),0.00814235 # DEPENDENCYPART_SIBL
(11,8),(11,18),-0.0469731 # DEPENDENCYPART_SIBL
(11,8),(11,19),-0.00453342 # DEPENDENCYPART_SIBL
(11,9),(11,10),0.36265 # DEPENDENCYPART_SIBL
(11,9),(11,12),0.0857254 # DEPENDENCYPART_SIBL
(11,9),(11,13),-0.0153494 # DEPENDENCYPART_SIBL
(11,9),(11,14),0.0857254 # DEPENDENCYPART_SIBL
(11,9),(11,15),0.0244984 # DEPENDENCYPART_SIBL
(11,9),(11,17),0.0847171 # DEPENDENCYPART_SIBL
(11,9),(11,18),-0.0196063 # DEPENDENCYPART_SIBL
(11,9),(11,19),0.00189904 # DEPENDENCYPART_SIBL
(11,10),(11,12),0.021292 # DEPENDENCYPART_SIBL
(11,10),(11,13),0.0314583 # DEPENDENCYPART_SIBL
(11,10),(11,14),0.021292 # DEPENDENCYPART_SIBL
(11,10),(11,15),0.218826 # DEPENDENCYPART_SIBL
(11,10),(11,17),0.0212042 # DEPENDENCYPART_SIBL
(11,10),(11,18),0.0295063 # DEPENDENCYPART_SIBL
(11,10),(11,19),0.210933 # DEPENDENCYPART_SIBL
(11,12),(11,13),-0.0316458 # DEPENDENCYPART_SIBL
(11,12),(11,14),-0.01971 # DEPENDENCYPART_SIBL
(11,12),(11,15),-0.041518 # DEPENDENCYPART_SIBL
(11,12),(11,17),-0.019711 # DEPENDENCYPART_SIBL
(11,12),(11,18),0.0113747 # DEPENDENCYPART_SIBL
(11,12),(11,19),-0.00631886 # DEPENDENCYPART_SIBL
(11,13),(11,14),-0.0120263 # DEPENDENCYPART_SIBL
(11,13),(11,15),-0.0341108 # DEPENDENCYPART_SIBL
(11,13),(11,17),-0.0120264 # DEPENDENCYPART_SIBL
(11,13),(11,18),-0.0250048 # DEPENDENCYPART_SIBL
(11,13),(11,19),0.0711342 # DEPENDENCYPART_SIBL
(11,14),(11,15),-0.041518 # DEPENDENCYPART_SIBL
(11,14),(11,17),-0.019711 # DEPENDENCYPART_SIBL
(11,14),(11,18),0.0113747 # DEPENDENCYPART_SIBL
(11,14),(11,19),-0.00631886 # DEPENDENCYPART_SIBL
(11,15),(11,17),0.081268 # DEPENDENCYPART_SIBL
(11,15),(11,18),0.0113685 # DEPENDENCYPART_SIBL
(11,15),(11,19),0.126113 # DEPENDENCYPART_SIBL
(11,17),(11,18),0.011372 # DEPENDENCYPART_SIBL
(11,17),(11,19),-0.00631886 # DEPENDENCYPART_SIBL
(11,18),(11,19),0.0124205 # DEPENDENCYPART_SIBL
(12,1),(12,5),0.197988 # DEPENDENCYPART_SIBL
(12,1),(12,7),0.160237 # DEPENDENCYPART_SIBL
(12,1),(12,8),-0.261839 # DEPENDENCYPART_SIBL
(12,1),(12,9),-0.0155165 # DEPENDENCYPART_SIBL
(12,1),(12,10),0.656212 # DEPENDENCYPART_SIBL
(12,1),(12,11),0.552813 # DEPENDENCYPART_SIBL
(12,1),(12,13),0.0285935 # DEPENDENCYPART_SIBL
(12,1),(12,14),0.00031353 # DEPENDENCYPART_SIBL
(12,1),(12,18),0.0264671 # DEPENDENCYPART_SIBL
(12,5),(12,7),0.112776 # DEPENDENCYPART_SIBL
(12,5),(12,8),0.0244133 # DEPENDENCYPART_SIBL
(12,5),(12,9),-0.0425928 # DEPENDENCYPART_SIBL
(12,5),(12,10),0.340028 # DEPENDENCYPART_SIBL
(12,5),(12,11),0.253267 # DEPENDENCYPART_SIBL
(12,5),(12,13),-0.0149483 # DEPENDENCYPART_SIBL
(12,5),(12,14),0.00492737 # DEPENDENCYPART_SIBL
(12,5),(12,18),0.00663573 # DEPENDENCYPART_SIBL
(12,7),(12,8),-0.270863 # DEPENDENCYPART_SIBL
(12,7),(12,9),-0.0512216 # DEPENDENCYPART_SIBL
(12,7),(12,10),0.313879 # DEPENDENCYPART_SIBL
(12,7),(12,11),0.204966 # DEPENDENCYPART_SIBL
(12,7),(12,13),0.0341642 # DEPENDENCYPART_SIBL
(12,7),(12,14),-0.00602675 # DEPENDENCYPART_SIBL
(12,7),(12,18),-0.00603188 # DEPENDENCYPART_SIBL
(12,8),(12,9),0.000855746 # DEPENDENCYPART_SIBL
(12,8),(12,10),0.213182 # DEPENDENCYPART_SIBL
(12,8),(12,11),0.170741 # DEPENDENCYPART_SIBL
(12,8),(12,13),-0.00521889 # DEPENDENCYPART_SIBL
(12,8),(12,14),-0.00571552 # DEPENDENCYPART_SIBL
(12,8),(12,18),-0.0206603 # DEPENDENCYPART_SIBL
(12,9),(12,10),0.641111 # DEPENDENCYPART_SIBL
(12,9),(12,11),0.547195 # DEPENDENCYPART_SIBL
(12,9),(12,13),0.0300656 # DEPENDENCYPART_SIBL
(12,9),(12,14),0.00157495 # DEPENDENCYPART_SIBL
(12,9),(12,18),0.0292382 # DEPENDENCYPART_SIBL
(12,10),(12,11),0.348087 # DEPENDENCYPART_SIBL
(12,10),(12,13),-0.00334054 # DEPENDENCYPART_SIBL
(12,10),(12,14),-0.00844461 # DEPENDENCYPART_SIBL
(12,10),(12,18),-0.0184815 # DEPENDENCYPART_SIBL
(12,11),(12,13),0.0357702 # DEPENDENCYPART_SIBL
(12,11),(12,14),-0.0106723 # DEPENDENCYPART_SIBL
(12,11),(12,18),0.0158122 # DEPENDENCYPART_SIBL
(12,13),(12,14),0.0392933 # DEPENDENCYPART_SIBL
(12,13),(12,18),0.011109 # DEPENDENCYPART_SIBL
(12,14),(12,18),0.0307474 # DEPENDENCYPART_SIBL
(13,2),(13,3),0.375892 # DEPENDENCYPART_SIBL
(13,2),(13,5),0.0380056 # DEPENDENCYPART_SIBL
(13,2),(13,7),0.0513976 # DEPENDENCYPART_SIBL
(13,2),(13,8),-0.000514563 # DEPENDENCYPART_SIBL
(13,2),(13,9),0.00534269 # DEPENDENCYPART_SIBL
(13,2),(13,10),0.375892 # DEPENDENCYPART_SIBL
(13,2),(13,11),0.169432 # DEPENDENCYPART_SIBL
(13,2),(13,12),0.00574894 # DEPENDENCYPART_SIBL
(13,2),(13,14),0.233831 # DEPENDENCYPART_SIBL
(13,2),(13,15),-0.000171722 # DEPENDENCYPART_SIBL
(13,2),(13,17),0.232823 # DEPENDENCYPART_SIBL
(13,2),(13,18),0.0187869 # DEPENDENCYPART_SIBL
(13,2),(13,19),-0.00815188 # DEPENDENCYPART_SIBL
(13,3),(13,5),9.71382e-05 # DEPENDENCYPART_SIBL
(13,3),(13,7),0.111924 # DEPENDENCYPART_SIBL
(13,3),(13,8),0.059293 # DEPENDENCYPART_SIBL
(13,3),(13,9),0.0308327 # DEPENDENCYPART_SIBL
(13,3),(13,10),0.0345787 # DEPENDENCYPART_SIBL
(13,3),(13,11),0.318301 # DEPENDENCYPART_SIBL
(13,3),(13,12),0.0324195 # DEPENDENCYPART_SIBL
(13,3),(13,14),0.0218518 # DEPENDENCYPART_SIBL
(13,3),(13,15),0.195911 # DEPENDENCYPART_SIBL
(13,3),(13,17),0.021764 # DEPENDENCYPART_SIBL
(13,3),(13,18),0.0578848 # DEPENDENCYPART_SIBL
(13,3),(13,19),0.198796 # DEPENDENCYPART_SIBL
(13,5),(13,7),0.037738 # DEPENDENCYPART_SIBL
(13,5),(13,8),0.14608 # DEPENDENCYPART_SIBL
(13,5),(13,9),0.0102348 # DEPENDENCYPART_SIBL
(13,5),(13,10),0.321787 # DEPENDENCYPART_SIBL
(13,5),(13,11),0.115229 # DEPENDENCYPART_SIBL
(13,5),(13,12),0.0102422 # DEPENDENCYPART_SIBL
(13,5),(13,14),0.0506977 # DEPENDENCYPART_SIBL
(13,5),(13,15),0.0992316 # DEPENDENCYPART_SIBL
(13,5),(13,17),0.0506956 # DEPENDENCYPART_SIBL
(13,5),(13,18),0.0156241 # DEPENDENCYPART_SIBL
(13,5),(13,19),-0.0221306 # DEPENDENCYPART_SIBL
(13,7),(13,8),0.0111779 # DEPENDENCYPART_SIBL
(13,7),(13,9),-0.0250752 # DEPENDENCYPART_SIBL
(13,7),(13,10),0.437808 # DEPENDENCYPART_SIBL
(13,7),(13,11),0.154497 # DEPENDENCYPART_SIBL
(13,7),(13,12),-0.0242734 # DEPENDENCYPART_SIBL
(13,7),(13,14),-0.0124633 # DEPENDENCYPART_SIBL
(13,7),(13,15),0.213428 # DEPENDENCYPART_SIBL
(13,7),(13,17),-0.0124753 # DEPENDENCYPART_SIBL
