# _root_ Krőzsel pénzügyi okokkal magyarázta , hogy az ORFK vezetése csökkentette a MESZ létszámát , pedig elégedett volt az eddigi tevékenységével .
#goldHeads=4,3,4,0,4,4,8,9,10,4,12,13,10,4,4,17,4,20,20,17,4,
#predictedHeads=4,3,4,0,4,4,8,9,10,4,12,13,10,10,17,17,4,20,20,17,4,
(4,16),(4,19),-0.0363449 # DEPENDENCYPART_SIBL
(4,16),(4,20),-0.0207479 # DEPENDENCYPART_SIBL
(4,16),(4,21),0.0120642 # DEPENDENCYPART_SIBL
(4,17),(4,19),-0.00363833 # DEPENDENCYPART_SIBL
(4,17),(4,20),-0.00332863 # DEPENDENCYPART_SIBL
(4,17),(4,21),0.0352625 # DEPENDENCYPART_SIBL
(4,19),(4,20),-0.02794 # DEPENDENCYPART_SIBL
(4,19),(4,21),-0.01104 # DEPENDENCYPART_SIBL
(4,20),(4,21),0.0261967 # DEPENDENCYPART_SIBL
(6,1),(6,2),0.0294551 # DEPENDENCYPART_SIBL
(6,1),(6,3),-0.021345 # DEPENDENCYPART_SIBL
(6,1),(6,4),0.0325381 # DEPENDENCYPART_SIBL
(6,1),(6,5),0.38974 # DEPENDENCYPART_SIBL
(6,1),(6,8),0.0801929 # DEPENDENCYPART_SIBL
(6,1),(6,9),0.0759045 # DEPENDENCYPART_SIBL
(6,1),(6,10),0.11671 # DEPENDENCYPART_SIBL
(6,1),(6,12),0.0812277 # DEPENDENCYPART_SIBL
(6,1),(6,13),0.0803881 # DEPENDENCYPART_SIBL
(6,1),(6,14),-0.0210255 # DEPENDENCYPART_SIBL
(6,1),(6,15),-0.00826158 # DEPENDENCYPART_SIBL
(6,1),(6,16),0.0467933 # DEPENDENCYPART_SIBL
(6,1),(6,17),0.0896439 # DEPENDENCYPART_SIBL
(6,1),(6,20),0.0803881 # DEPENDENCYPART_SIBL
(6,1),(6,21),0.133414 # DEPENDENCYPART_SIBL
(6,2),(6,3),-0.0204619 # DEPENDENCYPART_SIBL
(6,2),(6,4),0.0279796 # DEPENDENCYPART_SIBL
(6,2),(6,5),0.326261 # DEPENDENCYPART_SIBL
(6,2),(6,8),-0.0160442 # DEPENDENCYPART_SIBL
(6,2),(6,9),-0.0156855 # DEPENDENCYPART_SIBL
(6,2),(6,10),0.134446 # DEPENDENCYPART_SIBL
(6,2),(6,12),-0.0155967 # DEPENDENCYPART_SIBL
(6,2),(6,13),-0.0155967 # DEPENDENCYPART_SIBL
(6,2),(6,14),0.0011063 # DEPENDENCYPART_SIBL
(6,2),(6,15),0.025879 # DEPENDENCYPART_SIBL
(6,2),(6,16),0.0974554 # DEPENDENCYPART_SIBL
(6,2),(6,17),0.096024 # DEPENDENCYPART_SIBL
(6,2),(6,20),-0.0155967 # DEPENDENCYPART_SIBL
(6,2),(6,21),0.102953 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.0326269 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.389874 # DEPENDENCYPART_SIBL
(6,3),(6,8),0.0802056 # DEPENDENCYPART_SIBL
(6,3),(6,9),0.0759173 # DEPENDENCYPART_SIBL
(6,3),(6,10),0.116721 # DEPENDENCYPART_SIBL
(6,3),(6,12),0.0812405 # DEPENDENCYPART_SIBL
(6,3),(6,13),0.0804009 # DEPENDENCYPART_SIBL
(6,3),(6,14),-0.0210176 # DEPENDENCYPART_SIBL
(6,3),(6,15),-0.00825431 # DEPENDENCYPART_SIBL
(6,3),(6,16),0.0471185 # DEPENDENCYPART_SIBL
(6,3),(6,17),0.0896555 # DEPENDENCYPART_SIBL
(6,3),(6,20),0.0804009 # DEPENDENCYPART_SIBL
(6,3),(6,21),0.13343 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.434726 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.124025 # DEPENDENCYPART_SIBL
(6,4),(6,9),-0.124081 # DEPENDENCYPART_SIBL
(6,4),(6,10),0.097524 # DEPENDENCYPART_SIBL
(6,4),(6,12),-0.124025 # DEPENDENCYPART_SIBL
(6,4),(6,13),-0.124025 # DEPENDENCYPART_SIBL
(6,4),(6,14),-0.0949929 # DEPENDENCYPART_SIBL
(6,4),(6,15),-0.0471167 # DEPENDENCYPART_SIBL
(6,4),(6,16),-0.0335888 # DEPENDENCYPART_SIBL
(6,4),(6,17),0.0808529 # DEPENDENCYPART_SIBL
(6,4),(6,20),-0.124025 # DEPENDENCYPART_SIBL
(6,4),(6,21),0.0425186 # DEPENDENCYPART_SIBL
(6,5),(6,8),0.0175236 # DEPENDENCYPART_SIBL
(6,5),(6,9),0.0163311 # DEPENDENCYPART_SIBL
(6,5),(6,10),0.295534 # DEPENDENCYPART_SIBL
(6,5),(6,12),0.0175236 # DEPENDENCYPART_SIBL
(6,5),(6,13),0.0175236 # DEPENDENCYPART_SIBL
(6,5),(6,14),0.00885234 # DEPENDENCYPART_SIBL
(6,5),(6,15),0.0558479 # DEPENDENCYPART_SIBL
(6,5),(6,16),0.0752755 # DEPENDENCYPART_SIBL
(6,5),(6,17),0.268568 # DEPENDENCYPART_SIBL
(6,5),(6,20),0.0175236 # DEPENDENCYPART_SIBL
(6,5),(6,21),0.213472 # DEPENDENCYPART_SIBL
(6,8),(6,9),-0.0255181 # DEPENDENCYPART_SIBL
(6,8),(6,10),-0.0418708 # DEPENDENCYPART_SIBL
(6,8),(6,12),-0.0244913 # DEPENDENCYPART_SIBL
(6,8),(6,13),-0.024711 # DEPENDENCYPART_SIBL
(6,8),(6,14),0.0129827 # DEPENDENCYPART_SIBL
(6,8),(6,15),-0.0693259 # DEPENDENCYPART_SIBL
(6,8),(6,16),0.0198423 # DEPENDENCYPART_SIBL
(6,8),(6,17),-0.0278904 # DEPENDENCYPART_SIBL
(6,8),(6,20),-0.0242694 # DEPENDENCYPART_SIBL
(6,8),(6,21),0.00164409 # DEPENDENCYPART_SIBL
(6,9),(6,10),-0.042272 # DEPENDENCYPART_SIBL
(6,9),(6,12),-0.0246106 # DEPENDENCYPART_SIBL
(6,9),(6,13),-0.0250527 # DEPENDENCYPART_SIBL
(6,9),(6,14),0.00882178 # DEPENDENCYPART_SIBL
(6,9),(6,15),-0.070237 # DEPENDENCYPART_SIBL
(6,9),(6,16),0.0198147 # DEPENDENCYPART_SIBL
(6,9),(6,17),-0.0282915 # DEPENDENCYPART_SIBL
(6,9),(6,20),-0.0246111 # DEPENDENCYPART_SIBL
(6,9),(6,21),0.000629371 # DEPENDENCYPART_SIBL
(6,10),(6,12),0.0607659 # DEPENDENCYPART_SIBL
(6,10),(6,13),0.060992 # DEPENDENCYPART_SIBL
(6,10),(6,14),0.137487 # DEPENDENCYPART_SIBL
(6,10),(6,15),-0.0415011 # DEPENDENCYPART_SIBL
(6,10),(6,16),0.0011199 # DEPENDENCYPART_SIBL
(6,10),(6,17),-0.00276775 # DEPENDENCYPART_SIBL
(6,10),(6,20),0.060992 # DEPENDENCYPART_SIBL
(6,10),(6,21),0.0321703 # DEPENDENCYPART_SIBL
(6,12),(6,13),-0.0244853 # DEPENDENCYPART_SIBL
(6,12),(6,14),0.0111233 # DEPENDENCYPART_SIBL
(6,12),(6,15),-0.0691591 # DEPENDENCYPART_SIBL
(6,12),(6,16),0.0198432 # DEPENDENCYPART_SIBL
(6,12),(6,17),-0.0275315 # DEPENDENCYPART_SIBL
(6,12),(6,20),-0.0240437 # DEPENDENCYPART_SIBL
(6,12),(6,21),0.00291753 # DEPENDENCYPART_SIBL
(6,13),(6,14),0.0121836 # DEPENDENCYPART_SIBL
(6,13),(6,15),-0.0697173 # DEPENDENCYPART_SIBL
(6,13),(6,16),0.0198417 # DEPENDENCYPART_SIBL
(6,13),(6,17),-0.0279231 # DEPENDENCYPART_SIBL
(6,13),(6,20),-0.0249242 # DEPENDENCYPART_SIBL
(6,13),(6,21),0.00187433 # DEPENDENCYPART_SIBL
(6,14),(6,15),0.0366263 # DEPENDENCYPART_SIBL
(6,14),(6,16),0.0716129 # DEPENDENCYPART_SIBL
(6,14),(6,17),0.298173 # DEPENDENCYPART_SIBL
(6,14),(6,20),0.121388 # DEPENDENCYPART_SIBL
(6,14),(6,21),0.0259896 # DEPENDENCYPART_SIBL
(6,15),(6,16),-0.0208004 # DEPENDENCYPART_SIBL
(6,15),(6,17),-0.0592288 # DEPENDENCYPART_SIBL
(6,15),(6,20),-0.0407772 # DEPENDENCYPART_SIBL
(6,15),(6,21),0.0315727 # DEPENDENCYPART_SIBL
(6,16),(6,17),-0.0187522 # DEPENDENCYPART_SIBL
(6,16),(6,20),0.00700426 # DEPENDENCYPART_SIBL
(6,16),(6,21),0.0460708 # DEPENDENCYPART_SIBL
(6,17),(6,20),0.0718577 # DEPENDENCYPART_SIBL
(6,17),(6,21),0.0272566 # DEPENDENCYPART_SIBL
(6,20),(6,21),0.00247674 # DEPENDENCYPART_SIBL
(8,4),(8,6),0.101086 # DEPENDENCYPART_SIBL
(8,4),(8,7),-0.272281 # DEPENDENCYPART_SIBL
(8,4),(8,13),-0.0060481 # DEPENDENCYPART_SIBL
(8,6),(8,7),-0.288888 # DEPENDENCYPART_SIBL
(8,6),(8,13),-0.011417 # DEPENDENCYPART_SIBL
(8,7),(8,13),-0.00575932 # DEPENDENCYPART_SIBL
(9,1),(9,3),-0.0252823 # DEPENDENCYPART_SIBL
(9,1),(9,4),0.151462 # DEPENDENCYPART_SIBL
(9,1),(9,5),0.636996 # DEPENDENCYPART_SIBL
(9,1),(9,6),0.411621 # DEPENDENCYPART_SIBL
(9,1),(9,7),-0.270832 # DEPENDENCYPART_SIBL
(9,1),(9,8),-0.0358057 # DEPENDENCYPART_SIBL
(9,1),(9,12),0.00366062 # DEPENDENCYPART_SIBL
(9,1),(9,13),0.0030539 # DEPENDENCYPART_SIBL
(9,1),(9,14),-0.00304452 # DEPENDENCYPART_SIBL
(9,1),(9,15),-0.00474579 # DEPENDENCYPART_SIBL
(9,1),(9,17),-7.1591e-05 # DEPENDENCYPART_SIBL
(9,1),(9,20),0.0030539 # DEPENDENCYPART_SIBL
(9,3),(9,4),0.151481 # DEPENDENCYPART_SIBL
(9,3),(9,5),0.637038 # DEPENDENCYPART_SIBL
(9,3),(9,6),0.411649 # DEPENDENCYPART_SIBL
(9,3),(9,7),-0.270818 # DEPENDENCYPART_SIBL
(9,3),(9,8),-0.0348712 # DEPENDENCYPART_SIBL
(9,3),(9,12),0.00366608 # DEPENDENCYPART_SIBL
(9,3),(9,13),0.00305936 # DEPENDENCYPART_SIBL
(9,3),(9,14),-0.00304393 # DEPENDENCYPART_SIBL
(9,3),(9,15),-0.00474579 # DEPENDENCYPART_SIBL
(9,3),(9,17),-6.97524e-05 # DEPENDENCYPART_SIBL
(9,3),(9,20),0.00305936 # DEPENDENCYPART_SIBL
(9,4),(9,5),0.312209 # DEPENDENCYPART_SIBL
(9,4),(9,6),0.100765 # DEPENDENCYPART_SIBL
(9,4),(9,7),-0.270906 # DEPENDENCYPART_SIBL
(9,4),(9,8),-0.0592744 # DEPENDENCYPART_SIBL
(9,4),(9,12),-0.00637736 # DEPENDENCYPART_SIBL
(9,4),(9,13),-0.0061445 # DEPENDENCYPART_SIBL
(9,4),(9,14),-0.0138659 # DEPENDENCYPART_SIBL
(9,4),(9,15),0.0269852 # DEPENDENCYPART_SIBL
(9,4),(9,17),0.0277241 # DEPENDENCYPART_SIBL
(9,4),(9,20),-0.0061445 # DEPENDENCYPART_SIBL
(9,5),(9,6),0.100412 # DEPENDENCYPART_SIBL
(9,5),(9,7),-0.277869 # DEPENDENCYPART_SIBL
(9,5),(9,8),0.0345971 # DEPENDENCYPART_SIBL
(9,5),(9,12),-0.00877887 # DEPENDENCYPART_SIBL
(9,5),(9,13),-0.00854601 # DEPENDENCYPART_SIBL
(9,5),(9,14),-0.0347343 # DEPENDENCYPART_SIBL
(9,5),(9,15),-0.017556 # DEPENDENCYPART_SIBL
(9,5),(9,17),-0.0448016 # DEPENDENCYPART_SIBL
(9,5),(9,20),-0.00854601 # DEPENDENCYPART_SIBL
(9,6),(9,7),-0.287768 # DEPENDENCYPART_SIBL
(9,6),(9,8),-0.10366 # DEPENDENCYPART_SIBL
(9,6),(9,12),-0.0117427 # DEPENDENCYPART_SIBL
(9,6),(9,13),-0.0115098 # DEPENDENCYPART_SIBL
(9,6),(9,14),-0.0402118 # DEPENDENCYPART_SIBL
(9,6),(9,15),-0.00867878 # DEPENDENCYPART_SIBL
(9,6),(9,17),-0.0122738 # DEPENDENCYPART_SIBL
(9,6),(9,20),-0.0115098 # DEPENDENCYPART_SIBL
(9,7),(9,8),-0.0088558 # DEPENDENCYPART_SIBL
(9,7),(9,12),-0.00607945 # DEPENDENCYPART_SIBL
(9,7),(9,13),-0.00581689 # DEPENDENCYPART_SIBL
(9,7),(9,14),-0.016669 # DEPENDENCYPART_SIBL
(9,7),(9,15),-0.00932934 # DEPENDENCYPART_SIBL
(9,7),(9,17),-0.0248342 # DEPENDENCYPART_SIBL
(9,7),(9,20),-0.00581689 # DEPENDENCYPART_SIBL
(9,8),(9,12),0.00377653 # DEPENDENCYPART_SIBL
(9,8),(9,13),0.00271521 # DEPENDENCYPART_SIBL
(9,8),(9,14),-0.00954287 # DEPENDENCYPART_SIBL
(9,8),(9,15),-0.00474584 # DEPENDENCYPART_SIBL
(9,8),(9,17),-0.00151396 # DEPENDENCYPART_SIBL
(9,8),(9,20),0.00271521 # DEPENDENCYPART_SIBL
(9,12),(9,13),0.00380349 # DEPENDENCYPART_SIBL
(9,12),(9,14),0.100217 # DEPENDENCYPART_SIBL
(9,12),(9,15),-0.0363867 # DEPENDENCYPART_SIBL
(9,12),(9,17),0.0605067 # DEPENDENCYPART_SIBL
(9,12),(9,20),0.00424505 # DEPENDENCYPART_SIBL
(9,13),(9,14),0.101956 # DEPENDENCYPART_SIBL
(9,13),(9,15),-0.0364922 # DEPENDENCYPART_SIBL
(9,13),(9,17),0.0605679 # DEPENDENCYPART_SIBL
(9,13),(9,20),0.00381761 # DEPENDENCYPART_SIBL
(9,14),(9,15),0.123282 # DEPENDENCYPART_SIBL
(9,14),(9,17),0.482397 # DEPENDENCYPART_SIBL
(9,14),(9,20),0.342834 # DEPENDENCYPART_SIBL
(9,15),(9,17),0.0137592 # DEPENDENCYPART_SIBL
(9,15),(9,20),-0.000385816 # DEPENDENCYPART_SIBL
(9,17),(9,20),0.0740893 # DEPENDENCYPART_SIBL
(10,1),(10,2),0.00480411 # DEPENDENCYPART_SIBL
(10,1),(10,3),-0.0165348 # DEPENDENCYPART_SIBL
(10,1),(10,4),-0.00587336 # DEPENDENCYPART_SIBL
(10,1),(10,5),0.0987512 # DEPENDENCYPART_SIBL
(10,1),(10,6),0.049947 # DEPENDENCYPART_SIBL
(10,1),(10,7),-0.0207829 # DEPENDENCYPART_SIBL
(10,1),(10,8),-0.0143595 # DEPENDENCYPART_SIBL
(10,1),(10,9),-0.018361 # DEPENDENCYPART_SIBL
(10,1),(10,11),-0.0168816 # DEPENDENCYPART_SIBL
(10,1),(10,12),0.00277112 # DEPENDENCYPART_SIBL
(10,1),(10,13),0.00183047 # DEPENDENCYPART_SIBL
(10,1),(10,14),-0.00254317 # DEPENDENCYPART_SIBL
(10,1),(10,15),-0.0534771 # DEPENDENCYPART_SIBL
(10,1),(10,16),-0.000769305 # DEPENDENCYPART_SIBL
(10,1),(10,17),-0.0125915 # DEPENDENCYPART_SIBL
(10,1),(10,18),-0.0233958 # DEPENDENCYPART_SIBL
(10,1),(10,19),-0.00497539 # DEPENDENCYPART_SIBL
(10,1),(10,20),0.000252392 # DEPENDENCYPART_SIBL
(10,1),(10,21),0.0107815 # DEPENDENCYPART_SIBL
(10,2),(10,3),-0.00665651 # DEPENDENCYPART_SIBL
(10,2),(10,4),-0.00303546 # DEPENDENCYPART_SIBL
(10,2),(10,5),0.0478187 # DEPENDENCYPART_SIBL
(10,2),(10,6),0.0778997 # DEPENDENCYPART_SIBL
(10,2),(10,7),-0.132042 # DEPENDENCYPART_SIBL
(10,2),(10,8),-0.00714918 # DEPENDENCYPART_SIBL
(10,2),(10,9),-0.00650997 # DEPENDENCYPART_SIBL
(10,2),(10,11),-0.00583558 # DEPENDENCYPART_SIBL
(10,2),(10,12),0.0146273 # DEPENDENCYPART_SIBL
(10,2),(10,13),0.0153658 # DEPENDENCYPART_SIBL
(10,2),(10,14),0.013369 # DEPENDENCYPART_SIBL
(10,2),(10,15),-0.0304223 # DEPENDENCYPART_SIBL
(10,2),(10,16),-0.0267528 # DEPENDENCYPART_SIBL
(10,2),(10,17),-0.00692649 # DEPENDENCYPART_SIBL
(10,2),(10,18),0.0327695 # DEPENDENCYPART_SIBL
(10,2),(10,19),-0.031082 # DEPENDENCYPART_SIBL
(10,2),(10,20),0.0137877 # DEPENDENCYPART_SIBL
(10,2),(10,21),0.00508125 # DEPENDENCYPART_SIBL
(10,3),(10,4),-0.00586591 # DEPENDENCYPART_SIBL
(10,3),(10,5),0.098782 # DEPENDENCYPART_SIBL
(10,3),(10,6),0.0499612 # DEPENDENCYPART_SIBL
(10,3),(10,7),-0.0207809 # DEPENDENCYPART_SIBL
(10,3),(10,8),-0.0134442 # DEPENDENCYPART_SIBL
(10,3),(10,9),-0.0174458 # DEPENDENCYPART_SIBL
(10,3),(10,11),-0.015537 # DEPENDENCYPART_SIBL
(10,3),(10,12),0.00412599 # DEPENDENCYPART_SIBL
(10,3),(10,13),0.00318534 # DEPENDENCYPART_SIBL
(10,3),(10,14),-0.00119853 # DEPENDENCYPART_SIBL
(10,3),(10,15),-0.052133 # DEPENDENCYPART_SIBL
(10,3),(10,16),0.00121047 # DEPENDENCYPART_SIBL
(10,3),(10,17),-0.0112456 # DEPENDENCYPART_SIBL
(10,3),(10,18),-0.0220515 # DEPENDENCYPART_SIBL
(10,3),(10,19),-0.00299562 # DEPENDENCYPART_SIBL
(10,3),(10,20),0.00160726 # DEPENDENCYPART_SIBL
(10,3),(10,21),0.0121306 # DEPENDENCYPART_SIBL
(10,4),(10,5),0.0793247 # DEPENDENCYPART_SIBL
(10,4),(10,6),-0.050818 # DEPENDENCYPART_SIBL
(10,4),(10,7),0.0121647 # DEPENDENCYPART_SIBL
(10,4),(10,8),-0.0175105 # DEPENDENCYPART_SIBL
(10,4),(10,9),-0.0136358 # DEPENDENCYPART_SIBL
(10,4),(10,11),-0.0321381 # DEPENDENCYPART_SIBL
(10,4),(10,12),-0.00339795 # DEPENDENCYPART_SIBL
(10,4),(10,13),-0.00265945 # DEPENDENCYPART_SIBL
(10,4),(10,14),0.00223904 # DEPENDENCYPART_SIBL
(10,4),(10,15),-0.0235622 # DEPENDENCYPART_SIBL
(10,4),(10,16),-0.0115407 # DEPENDENCYPART_SIBL
(10,4),(10,17),-0.0123147 # DEPENDENCYPART_SIBL
(10,4),(10,18),-0.0116629 # DEPENDENCYPART_SIBL
(10,4),(10,19),-0.0157293 # DEPENDENCYPART_SIBL
(10,4),(10,20),-0.00423753 # DEPENDENCYPART_SIBL
(10,4),(10,21),0.0156638 # DEPENDENCYPART_SIBL
(10,5),(10,6),0.0307094 # DEPENDENCYPART_SIBL
(10,5),(10,7),0.084078 # DEPENDENCYPART_SIBL
(10,5),(10,8),-0.00578875 # DEPENDENCYPART_SIBL
(10,5),(10,9),0.00109042 # DEPENDENCYPART_SIBL
(10,5),(10,11),-0.0116264 # DEPENDENCYPART_SIBL
(10,5),(10,12),-0.0126179 # DEPENDENCYPART_SIBL
(10,5),(10,13),-0.0118794 # DEPENDENCYPART_SIBL
(10,5),(10,14),-0.00490476 # DEPENDENCYPART_SIBL
(10,5),(10,15),-0.0283193 # DEPENDENCYPART_SIBL
(10,5),(10,16),-0.0147397 # DEPENDENCYPART_SIBL
(10,5),(10,17),-0.0186481 # DEPENDENCYPART_SIBL
(10,5),(10,18),-0.00943395 # DEPENDENCYPART_SIBL
(10,5),(10,19),-0.0188172 # DEPENDENCYPART_SIBL
(10,5),(10,20),-0.0134575 # DEPENDENCYPART_SIBL
(10,5),(10,21),0.0213226 # DEPENDENCYPART_SIBL
(10,6),(10,7),0.0404072 # DEPENDENCYPART_SIBL
(10,6),(10,8),-0.122498 # DEPENDENCYPART_SIBL
(10,6),(10,9),-0.122965 # DEPENDENCYPART_SIBL
(10,6),(10,11),-0.0434542 # DEPENDENCYPART_SIBL
(10,6),(10,12),-0.0157751 # DEPENDENCYPART_SIBL
(10,6),(10,13),-0.0150366 # DEPENDENCYPART_SIBL
(10,6),(10,14),-0.0458592 # DEPENDENCYPART_SIBL
(10,6),(10,15),-0.0540813 # DEPENDENCYPART_SIBL
(10,6),(10,16),-0.0299765 # DEPENDENCYPART_SIBL
(10,6),(10,17),-0.0397915 # DEPENDENCYPART_SIBL
(10,6),(10,18),-0.0108911 # DEPENDENCYPART_SIBL
(10,6),(10,19),-0.0350569 # DEPENDENCYPART_SIBL
(10,6),(10,20),-0.0166147 # DEPENDENCYPART_SIBL
(10,6),(10,21),0.015597 # DEPENDENCYPART_SIBL
(10,7),(10,8),-0.023244 # DEPENDENCYPART_SIBL
(10,7),(10,9),-0.0225571 # DEPENDENCYPART_SIBL
(10,7),(10,11),0.036946 # DEPENDENCYPART_SIBL
(10,7),(10,12),0.00191213 # DEPENDENCYPART_SIBL
(10,7),(10,13),0.00266548 # DEPENDENCYPART_SIBL
(10,7),(10,14),0.0122401 # DEPENDENCYPART_SIBL
(10,7),(10,15),-0.00838832 # DEPENDENCYPART_SIBL
(10,7),(10,16),0.025149 # DEPENDENCYPART_SIBL
(10,7),(10,17),-0.0239883 # DEPENDENCYPART_SIBL
(10,7),(10,18),0.0814325 # DEPENDENCYPART_SIBL
(10,7),(10,19),0.0122791 # DEPENDENCYPART_SIBL
(10,7),(10,20),0.00108741 # DEPENDENCYPART_SIBL
(10,7),(10,21),0.0155208 # DEPENDENCYPART_SIBL
(10,8),(10,9),-0.0231327 # DEPENDENCYPART_SIBL
(10,8),(10,11),-0.0256884 # DEPENDENCYPART_SIBL
(10,8),(10,12),-0.00729004 # DEPENDENCYPART_SIBL
(10,8),(10,13),-0.00913991 # DEPENDENCYPART_SIBL
(10,8),(10,14),-0.0243393 # DEPENDENCYPART_SIBL
(10,8),(10,15),-0.0622844 # DEPENDENCYPART_SIBL
(10,8),(10,16),-0.00894568 # DEPENDENCYPART_SIBL
(10,8),(10,17),-0.0238372 # DEPENDENCYPART_SIBL
(10,8),(10,18),-0.0322028 # DEPENDENCYPART_SIBL
(10,8),(10,19),-0.0131518 # DEPENDENCYPART_SIBL
(10,8),(10,20),-0.010718 # DEPENDENCYPART_SIBL
(10,8),(10,21),-0.00185955 # DEPENDENCYPART_SIBL
(10,9),(10,11),-0.00825659 # DEPENDENCYPART_SIBL
(10,9),(10,12),0.025474 # DEPENDENCYPART_SIBL
(10,9),(10,13),0.0245333 # DEPENDENCYPART_SIBL
(10,9),(10,14),0.0096548 # DEPENDENCYPART_SIBL
(10,9),(10,15),-0.0381201 # DEPENDENCYPART_SIBL
(10,9),(10,16),0.00792982 # DEPENDENCYPART_SIBL
(10,9),(10,17),-0.00661906 # DEPENDENCYPART_SIBL
(10,9),(10,18),-0.0147709 # DEPENDENCYPART_SIBL
(10,9),(10,19),0.00372373 # DEPENDENCYPART_SIBL
(10,9),(10,20),0.0229552 # DEPENDENCYPART_SIBL
(10,9),(10,21),0.0124111 # DEPENDENCYPART_SIBL
(10,11),(10,12),0.00979668 # DEPENDENCYPART_SIBL
(10,11),(10,13),0.0110704 # DEPENDENCYPART_SIBL
(10,11),(10,14),-0.00728509 # DEPENDENCYPART_SIBL
(10,11),(10,15),0.0376508 # DEPENDENCYPART_SIBL
(10,11),(10,16),-0.0104012 # DEPENDENCYPART_SIBL
(10,11),(10,17),-0.0275413 # DEPENDENCYPART_SIBL
(10,11),(10,18),0.0664756 # DEPENDENCYPART_SIBL
(10,11),(10,19),-0.0114461 # DEPENDENCYPART_SIBL
(10,11),(10,20),0.0115341 # DEPENDENCYPART_SIBL
(10,11),(10,21),-0.0284786 # DEPENDENCYPART_SIBL
(10,12),(10,13),-0.0214511 # DEPENDENCYPART_SIBL
(10,12),(10,14),0.0373786 # DEPENDENCYPART_SIBL
(10,12),(10,15),-0.0269438 # DEPENDENCYPART_SIBL
(10,12),(10,16),0.0230507 # DEPENDENCYPART_SIBL
(10,12),(10,17),-0.00226658 # DEPENDENCYPART_SIBL
(10,12),(10,18),0.0342882 # DEPENDENCYPART_SIBL
(10,12),(10,19),0.0228952 # DEPENDENCYPART_SIBL
(10,12),(10,20),-0.0201216 # DEPENDENCYPART_SIBL
(10,12),(10,21),-0.000198812 # DEPENDENCYPART_SIBL
(10,13),(10,14),0.0379915 # DEPENDENCYPART_SIBL
(10,13),(10,15),-0.029342 # DEPENDENCYPART_SIBL
(10,13),(10,16),0.021766 # DEPENDENCYPART_SIBL
(10,13),(10,17),-0.00433143 # DEPENDENCYPART_SIBL
(10,13),(10,18),0.0330064 # DEPENDENCYPART_SIBL
(10,13),(10,19),0.0216105 # DEPENDENCYPART_SIBL
(10,13),(10,20),-0.0231648 # DEPENDENCYPART_SIBL
(10,13),(10,21),-0.00401973 # DEPENDENCYPART_SIBL
(10,14),(10,15),0.238947 # DEPENDENCYPART_SIBL
(10,14),(10,16),0.0465417 # DEPENDENCYPART_SIBL
(10,14),(10,17),0.291304 # DEPENDENCYPART_SIBL
(10,14),(10,18),0.0711085 # DEPENDENCYPART_SIBL
(10,14),(10,19),0.0560933 # DEPENDENCYPART_SIBL
(10,14),(10,20),0.0770209 # DEPENDENCYPART_SIBL
(10,14),(10,21),0.0489202 # DEPENDENCYPART_SIBL
(10,15),(10,16),0.0458019 # DEPENDENCYPART_SIBL
(10,15),(10,17),-0.0333236 # DEPENDENCYPART_SIBL
(10,15),(10,18),0.0263158 # DEPENDENCYPART_SIBL
(10,15),(10,19),0.0444291 # DEPENDENCYPART_SIBL
(10,15),(10,20),0.00775732 # DEPENDENCYPART_SIBL
(10,15),(10,21),0.0159931 # DEPENDENCYPART_SIBL
(10,16),(10,17),-0.0199567 # DEPENDENCYPART_SIBL
(10,16),(10,18),0.00723219 # DEPENDENCYPART_SIBL
(10,16),(10,19),-0.0363434 # DEPENDENCYPART_SIBL
(10,16),(10,20),-0.0232973 # DEPENDENCYPART_SIBL
(10,16),(10,21),0.00130443 # DEPENDENCYPART_SIBL
(10,17),(10,18),0.0164884 # DEPENDENCYPART_SIBL
(10,17),(10,19),-0.00439611 # DEPENDENCYPART_SIBL
(10,17),(10,20),-0.00663734 # DEPENDENCYPART_SIBL
(10,17),(10,21),0.0222227 # DEPENDENCYPART_SIBL
(10,18),(10,19),-0.00290194 # DEPENDENCYPART_SIBL
(10,18),(10,20),0.052523 # DEPENDENCYPART_SIBL
(10,18),(10,21),-0.00660792 # DEPENDENCYPART_SIBL
(10,19),(10,20),-0.0304894 # DEPENDENCYPART_SIBL
(10,19),(10,21),-0.0217998 # DEPENDENCYPART_SIBL
(10,20),(10,21),-1.62179e-05 # DEPENDENCYPART_SIBL
(11,12),(11,16),0.0629357 # DEPENDENCYPART_SIBL
(12,7),(12,11),-0.550826 # DEPENDENCYPART_SIBL
(12,7),(12,13),-0.00572064 # DEPENDENCYPART_SIBL
(12,7),(12,20),-0.00572064 # DEPENDENCYPART_SIBL
(12,11),(12,13),-0.00332243 # DEPENDENCYPART_SIBL
(12,11),(12,20),-0.00332243 # DEPENDENCYPART_SIBL
(12,13),(12,20),0.00383305 # DEPENDENCYPART_SIBL
(13,1),(13,4),0.153177 # DEPENDENCYPART_SIBL
(13,1),(13,5),0.641645 # DEPENDENCYPART_SIBL
(13,1),(13,6),0.41361 # DEPENDENCYPART_SIBL
(13,1),(13,7),-0.269125 # DEPENDENCYPART_SIBL
