# _root_ Az új idők igényeihez igazodva ez a cég is szeretne a nagyok beszállítójává válni , hiszen a multiknak és a bankoknak is kellenek a jól zárható , biztonságos iratszekrények .
#goldHeads=3,3,4,5,10,8,8,10,10,16,12,13,14,10,16,0,18,23,23,21,23,23,16,29,26,29,29,29,23,16,
#predictedHeads=3,3,4,5,10,8,8,10,10,16,12,13,14,10,16,0,18,23,23,21,23,23,16,29,26,29,29,29,23,16,
(14,7),(14,30),-0.0634118 # DEPENDENCYPART_SIBL
(14,8),(14,9),0.106217 # DEPENDENCYPART_SIBL
(14,8),(14,10),-0.00819595 # DEPENDENCYPART_SIBL
(14,8),(14,11),-0.0552599 # DEPENDENCYPART_SIBL
(14,8),(14,12),-0.0225504 # DEPENDENCYPART_SIBL
(14,8),(14,13),-0.0231836 # DEPENDENCYPART_SIBL
(14,8),(14,15),0.0352346 # DEPENDENCYPART_SIBL
(14,8),(14,16),-0.0277711 # DEPENDENCYPART_SIBL
(14,8),(14,17),0.000200409 # DEPENDENCYPART_SIBL
(14,8),(14,18),0.0111636 # DEPENDENCYPART_SIBL
(14,8),(14,19),0.00182877 # DEPENDENCYPART_SIBL
(14,8),(14,20),0.000200409 # DEPENDENCYPART_SIBL
(14,8),(14,21),0.0111636 # DEPENDENCYPART_SIBL
(14,8),(14,22),0.0179291 # DEPENDENCYPART_SIBL
(14,8),(14,23),0.0287931 # DEPENDENCYPART_SIBL
(14,8),(14,25),0.00165024 # DEPENDENCYPART_SIBL
(14,8),(14,26),0.0113282 # DEPENDENCYPART_SIBL
(14,8),(14,27),0.0352346 # DEPENDENCYPART_SIBL
(14,8),(14,28),0.0125729 # DEPENDENCYPART_SIBL
(14,8),(14,29),0.0111634 # DEPENDENCYPART_SIBL
(14,8),(14,30),0.0425937 # DEPENDENCYPART_SIBL
(14,9),(14,10),0.0453723 # DEPENDENCYPART_SIBL
(14,9),(14,11),-0.111263 # DEPENDENCYPART_SIBL
(14,9),(14,12),-0.0602982 # DEPENDENCYPART_SIBL
(14,9),(14,13),-0.0609307 # DEPENDENCYPART_SIBL
(14,9),(14,15),0.0219613 # DEPENDENCYPART_SIBL
(14,9),(14,16),-0.0232596 # DEPENDENCYPART_SIBL
(14,9),(14,17),-0.0335502 # DEPENDENCYPART_SIBL
(14,9),(14,18),-0.0435696 # DEPENDENCYPART_SIBL
(14,9),(14,19),-0.00572407 # DEPENDENCYPART_SIBL
(14,9),(14,20),-0.0335502 # DEPENDENCYPART_SIBL
(14,9),(14,21),-0.0435696 # DEPENDENCYPART_SIBL
(14,9),(14,22),-0.00621488 # DEPENDENCYPART_SIBL
(14,9),(14,23),-0.002414 # DEPENDENCYPART_SIBL
(14,9),(14,25),-0.0322604 # DEPENDENCYPART_SIBL
(14,9),(14,26),-0.0357888 # DEPENDENCYPART_SIBL
(14,9),(14,27),0.0219613 # DEPENDENCYPART_SIBL
(14,9),(14,28),-0.0353739 # DEPENDENCYPART_SIBL
(14,9),(14,29),-0.0435696 # DEPENDENCYPART_SIBL
(14,9),(14,30),0.029386 # DEPENDENCYPART_SIBL
(14,10),(14,11),-0.0773406 # DEPENDENCYPART_SIBL
(14,10),(14,12),-0.043258 # DEPENDENCYPART_SIBL
(14,10),(14,13),-0.0438905 # DEPENDENCYPART_SIBL
(14,10),(14,15),-0.00641274 # DEPENDENCYPART_SIBL
(14,10),(14,16),-0.0297059 # DEPENDENCYPART_SIBL
(14,10),(14,17),-0.0379985 # DEPENDENCYPART_SIBL
(14,10),(14,18),-0.0159459 # DEPENDENCYPART_SIBL
(14,10),(14,19),-0.0304363 # DEPENDENCYPART_SIBL
(14,10),(14,20),-0.0379985 # DEPENDENCYPART_SIBL
(14,10),(14,21),-0.0159459 # DEPENDENCYPART_SIBL
(14,10),(14,22),0.00892495 # DEPENDENCYPART_SIBL
(14,10),(14,23),-0.017869 # DEPENDENCYPART_SIBL
(14,10),(14,25),-0.0241506 # DEPENDENCYPART_SIBL
(14,10),(14,26),-0.0205092 # DEPENDENCYPART_SIBL
(14,10),(14,27),-0.00641274 # DEPENDENCYPART_SIBL
(14,10),(14,28),-0.0200943 # DEPENDENCYPART_SIBL
(14,10),(14,29),-0.015946 # DEPENDENCYPART_SIBL
(14,10),(14,30),0.00224178 # DEPENDENCYPART_SIBL
(14,11),(14,12),0.0180965 # DEPENDENCYPART_SIBL
(14,11),(14,13),0.0174639 # DEPENDENCYPART_SIBL
(14,11),(14,15),-0.0377119 # DEPENDENCYPART_SIBL
(14,11),(14,16),-0.0492293 # DEPENDENCYPART_SIBL
(14,11),(14,17),0.0223062 # DEPENDENCYPART_SIBL
(14,11),(14,18),-0.0245112 # DEPENDENCYPART_SIBL
(14,11),(14,19),-0.0309529 # DEPENDENCYPART_SIBL
(14,11),(14,20),0.0223062 # DEPENDENCYPART_SIBL
(14,11),(14,21),-0.0245112 # DEPENDENCYPART_SIBL
(14,11),(14,22),-0.0327493 # DEPENDENCYPART_SIBL
(14,11),(14,23),-0.0102276 # DEPENDENCYPART_SIBL
(14,11),(14,25),-0.00954607 # DEPENDENCYPART_SIBL
(14,11),(14,26),0.00212568 # DEPENDENCYPART_SIBL
(14,11),(14,27),-0.0377119 # DEPENDENCYPART_SIBL
(14,11),(14,28),0.0025406 # DEPENDENCYPART_SIBL
(14,11),(14,29),-0.0245113 # DEPENDENCYPART_SIBL
(14,11),(14,30),-0.0634118 # DEPENDENCYPART_SIBL
(14,12),(14,13),-0.0309984 # DEPENDENCYPART_SIBL
(14,12),(14,15),-0.00637634 # DEPENDENCYPART_SIBL
(14,12),(14,16),-0.057571 # DEPENDENCYPART_SIBL
(14,12),(14,17),-0.0207148 # DEPENDENCYPART_SIBL
(14,12),(14,18),-0.0106716 # DEPENDENCYPART_SIBL
(14,12),(14,19),-0.0263335 # DEPENDENCYPART_SIBL
(14,12),(14,20),-0.0207148 # DEPENDENCYPART_SIBL
(14,12),(14,21),-0.0106716 # DEPENDENCYPART_SIBL
(14,12),(14,22),-0.0226752 # DEPENDENCYPART_SIBL
(14,12),(14,23),-0.00997016 # DEPENDENCYPART_SIBL
(14,12),(14,25),-0.0176748 # DEPENDENCYPART_SIBL
(14,12),(14,26),-0.00738106 # DEPENDENCYPART_SIBL
(14,12),(14,27),-0.00637634 # DEPENDENCYPART_SIBL
(14,12),(14,28),-0.0061363 # DEPENDENCYPART_SIBL
(14,12),(14,29),-0.0106717 # DEPENDENCYPART_SIBL
(14,12),(14,30),0.00695394 # DEPENDENCYPART_SIBL
(14,13),(14,15),-0.00637658 # DEPENDENCYPART_SIBL
(14,13),(14,16),-0.0575713 # DEPENDENCYPART_SIBL
(14,13),(14,17),-0.0207151 # DEPENDENCYPART_SIBL
(14,13),(14,18),-0.0106718 # DEPENDENCYPART_SIBL
(14,13),(14,19),-0.0263338 # DEPENDENCYPART_SIBL
(14,13),(14,20),-0.0207151 # DEPENDENCYPART_SIBL
(14,13),(14,21),-0.0106718 # DEPENDENCYPART_SIBL
(14,13),(14,22),-0.0226755 # DEPENDENCYPART_SIBL
(14,13),(14,23),-0.0099704 # DEPENDENCYPART_SIBL
(14,13),(14,25),-0.017675 # DEPENDENCYPART_SIBL
(14,13),(14,26),-0.0073813 # DEPENDENCYPART_SIBL
(14,13),(14,27),-0.00637658 # DEPENDENCYPART_SIBL
(14,13),(14,28),-0.00613654 # DEPENDENCYPART_SIBL
(14,13),(14,29),-0.010672 # DEPENDENCYPART_SIBL
(14,13),(14,30),0.00695274 # DEPENDENCYPART_SIBL
(14,15),(14,16),0.223287 # DEPENDENCYPART_SIBL
(14,15),(14,17),0.124212 # DEPENDENCYPART_SIBL
(14,15),(14,18),0.07652 # DEPENDENCYPART_SIBL
(14,15),(14,19),0.0709146 # DEPENDENCYPART_SIBL
(14,15),(14,20),0.124212 # DEPENDENCYPART_SIBL
(14,15),(14,21),0.07652 # DEPENDENCYPART_SIBL
(14,15),(14,22),0.0235503 # DEPENDENCYPART_SIBL
(14,15),(14,23),0.206627 # DEPENDENCYPART_SIBL
(14,15),(14,25),0.0950235 # DEPENDENCYPART_SIBL
(14,15),(14,26),0.0601152 # DEPENDENCYPART_SIBL
(14,15),(14,27),-0.0129099 # DEPENDENCYPART_SIBL
(14,15),(14,28),0.0604985 # DEPENDENCYPART_SIBL
(14,15),(14,29),0.0765197 # DEPENDENCYPART_SIBL
(14,15),(14,30),0.0489202 # DEPENDENCYPART_SIBL
(14,16),(14,17),0.058569 # DEPENDENCYPART_SIBL
(14,16),(14,18),0.0232561 # DEPENDENCYPART_SIBL
(14,16),(14,19),-0.0110566 # DEPENDENCYPART_SIBL
(14,16),(14,20),0.058569 # DEPENDENCYPART_SIBL
(14,16),(14,21),0.0232561 # DEPENDENCYPART_SIBL
(14,16),(14,22),-0.00140188 # DEPENDENCYPART_SIBL
(14,16),(14,23),0.0208131 # DEPENDENCYPART_SIBL
(14,16),(14,25),0.00823955 # DEPENDENCYPART_SIBL
(14,16),(14,26),0.046401 # DEPENDENCYPART_SIBL
(14,16),(14,27),-0.0181287 # DEPENDENCYPART_SIBL
(14,16),(14,28),0.0467843 # DEPENDENCYPART_SIBL
(14,16),(14,29),0.0232558 # DEPENDENCYPART_SIBL
(14,16),(14,30),-0.0100046 # DEPENDENCYPART_SIBL
(14,17),(14,18),0.0110333 # DEPENDENCYPART_SIBL
(14,17),(14,19),0.0339442 # DEPENDENCYPART_SIBL
(14,17),(14,20),0.0888948 # DEPENDENCYPART_SIBL
(14,17),(14,21),0.0110333 # DEPENDENCYPART_SIBL
(14,17),(14,22),0.0271066 # DEPENDENCYPART_SIBL
(14,17),(14,23),-0.0318995 # DEPENDENCYPART_SIBL
(14,17),(14,25),-0.013156 # DEPENDENCYPART_SIBL
(14,17),(14,26),-0.0101943 # DEPENDENCYPART_SIBL
(14,17),(14,27),-0.00728509 # DEPENDENCYPART_SIBL
(14,17),(14,28),-0.00981097 # DEPENDENCYPART_SIBL
(14,17),(14,29),0.0110329 # DEPENDENCYPART_SIBL
(14,17),(14,30),-0.0284786 # DEPENDENCYPART_SIBL
(14,18),(14,19),0.0300049 # DEPENDENCYPART_SIBL
(14,18),(14,20),0.0707783 # DEPENDENCYPART_SIBL
(14,18),(14,21),-0.0191053 # DEPENDENCYPART_SIBL
(14,18),(14,22),0.0705722 # DEPENDENCYPART_SIBL
(14,18),(14,23),-0.0149658 # DEPENDENCYPART_SIBL
(14,18),(14,25),0.00131095 # DEPENDENCYPART_SIBL
(14,18),(14,26),0.0259524 # DEPENDENCYPART_SIBL
(14,18),(14,27),0.0430489 # DEPENDENCYPART_SIBL
(14,18),(14,28),0.0263357 # DEPENDENCYPART_SIBL
(14,18),(14,29),-0.0191063 # DEPENDENCYPART_SIBL
(14,18),(14,30),-1.62179e-05 # DEPENDENCYPART_SIBL
(14,19),(14,20),0.0660952 # DEPENDENCYPART_SIBL
(14,19),(14,21),0.107612 # DEPENDENCYPART_SIBL
(14,19),(14,22),-0.0328938 # DEPENDENCYPART_SIBL
(14,19),(14,23),0.0301181 # DEPENDENCYPART_SIBL
(14,19),(14,25),0.0427627 # DEPENDENCYPART_SIBL
(14,19),(14,26),0.0295579 # DEPENDENCYPART_SIBL
(14,19),(14,27),-0.00243477 # DEPENDENCYPART_SIBL
(14,19),(14,28),0.0299412 # DEPENDENCYPART_SIBL
(14,19),(14,29),0.107611 # DEPENDENCYPART_SIBL
(14,19),(14,30),0.00340412 # DEPENDENCYPART_SIBL
(14,20),(14,21),0.0110333 # DEPENDENCYPART_SIBL
(14,20),(14,22),0.0271066 # DEPENDENCYPART_SIBL
(14,20),(14,23),-0.0318995 # DEPENDENCYPART_SIBL
(14,20),(14,25),-0.013156 # DEPENDENCYPART_SIBL
(14,20),(14,26),-0.0101943 # DEPENDENCYPART_SIBL
(14,20),(14,27),-0.00728509 # DEPENDENCYPART_SIBL
(14,20),(14,28),-0.00981097 # DEPENDENCYPART_SIBL
(14,20),(14,29),0.0110329 # DEPENDENCYPART_SIBL
(14,20),(14,30),-0.0284786 # DEPENDENCYPART_SIBL
(14,21),(14,22),0.0705722 # DEPENDENCYPART_SIBL
(14,21),(14,23),-0.0149658 # DEPENDENCYPART_SIBL
(14,21),(14,25),0.00131095 # DEPENDENCYPART_SIBL
(14,21),(14,26),0.0259524 # DEPENDENCYPART_SIBL
(14,21),(14,27),0.0430489 # DEPENDENCYPART_SIBL
(14,21),(14,28),0.0263357 # DEPENDENCYPART_SIBL
(14,21),(14,29),-0.0191063 # DEPENDENCYPART_SIBL
(14,21),(14,30),-1.62179e-05 # DEPENDENCYPART_SIBL
(14,22),(14,23),0.0738654 # DEPENDENCYPART_SIBL
(14,22),(14,25),0.0983732 # DEPENDENCYPART_SIBL
(14,22),(14,26),0.172796 # DEPENDENCYPART_SIBL
(14,22),(14,27),0.0701766 # DEPENDENCYPART_SIBL
(14,22),(14,28),0.173179 # DEPENDENCYPART_SIBL
(14,22),(14,29),0.0841887 # DEPENDENCYPART_SIBL
(14,22),(14,30),0.036328 # DEPENDENCYPART_SIBL
(14,23),(14,25),0.000828118 # DEPENDENCYPART_SIBL
(14,23),(14,26),0.00298461 # DEPENDENCYPART_SIBL
(14,23),(14,27),0.047019 # DEPENDENCYPART_SIBL
(14,23),(14,28),0.0033679 # DEPENDENCYPART_SIBL
(14,23),(14,29),-0.00786723 # DEPENDENCYPART_SIBL
(14,23),(14,30),0.00176417 # DEPENDENCYPART_SIBL
(14,25),(14,26),0.0410194 # DEPENDENCYPART_SIBL
(14,25),(14,27),0.00449328 # DEPENDENCYPART_SIBL
(14,25),(14,28),0.0429358 # DEPENDENCYPART_SIBL
(14,25),(14,29),0.0251768 # DEPENDENCYPART_SIBL
(14,25),(14,30),-0.0226524 # DEPENDENCYPART_SIBL
(14,26),(14,27),-0.00303387 # DEPENDENCYPART_SIBL
(14,26),(14,28),-0.0356784 # DEPENDENCYPART_SIBL
(14,26),(14,29),-0.0255338 # DEPENDENCYPART_SIBL
(14,26),(14,30),-0.0135725 # DEPENDENCYPART_SIBL
(14,27),(14,28),0.0604985 # DEPENDENCYPART_SIBL
(14,27),(14,29),0.0765197 # DEPENDENCYPART_SIBL
(14,27),(14,30),0.0489202 # DEPENDENCYPART_SIBL
(14,28),(14,29),-0.0236206 # DEPENDENCYPART_SIBL
(14,28),(14,30),-0.010899 # DEPENDENCYPART_SIBL
(14,29),(14,30),-1.62179e-05 # DEPENDENCYPART_SIBL
(16,2),(16,3),-0.0178382 # DEPENDENCYPART_SIBL
(16,2),(16,4),-0.0175904 # DEPENDENCYPART_SIBL
(16,2),(16,5),-0.028221 # DEPENDENCYPART_SIBL
(16,2),(16,6),-0.00986931 # DEPENDENCYPART_SIBL
(16,2),(16,8),-0.0195625 # DEPENDENCYPART_SIBL
(16,2),(16,9),0.110948 # DEPENDENCYPART_SIBL
(16,2),(16,10),0.0143922 # DEPENDENCYPART_SIBL
(16,2),(16,11),-0.191742 # DEPENDENCYPART_SIBL
(16,2),(16,12),-0.0175904 # DEPENDENCYPART_SIBL
(16,2),(16,13),-0.0175904 # DEPENDENCYPART_SIBL
(16,2),(16,14),0.014667 # DEPENDENCYPART_SIBL
(16,2),(16,15),0.233756 # DEPENDENCYPART_SIBL
(16,2),(16,17),0.0196448 # DEPENDENCYPART_SIBL
(16,2),(16,18),0.0189794 # DEPENDENCYPART_SIBL
(16,2),(16,19),0.0189665 # DEPENDENCYPART_SIBL
(16,2),(16,21),0.0189794 # DEPENDENCYPART_SIBL
(16,2),(16,22),0.0174286 # DEPENDENCYPART_SIBL
(16,2),(16,23),0.0183545 # DEPENDENCYPART_SIBL
(16,2),(16,25),0.0130267 # DEPENDENCYPART_SIBL
(16,2),(16,26),0.081114 # DEPENDENCYPART_SIBL
(16,2),(16,27),0.00143025 # DEPENDENCYPART_SIBL
(16,2),(16,28),0.081114 # DEPENDENCYPART_SIBL
(16,2),(16,29),0.0189794 # DEPENDENCYPART_SIBL
(16,2),(16,30),0.112625 # DEPENDENCYPART_SIBL
(16,3),(16,4),-0.0330236 # DEPENDENCYPART_SIBL
(16,3),(16,5),0.0168585 # DEPENDENCYPART_SIBL
(16,3),(16,6),-0.0295237 # DEPENDENCYPART_SIBL
(16,3),(16,8),-0.0412897 # DEPENDENCYPART_SIBL
(16,3),(16,9),0.0822724 # DEPENDENCYPART_SIBL
(16,3),(16,10),-0.00832482 # DEPENDENCYPART_SIBL
(16,3),(16,11),-0.0535648 # DEPENDENCYPART_SIBL
(16,3),(16,12),-0.0330233 # DEPENDENCYPART_SIBL
(16,3),(16,13),-0.0330236 # DEPENDENCYPART_SIBL
(16,3),(16,14),-0.00699089 # DEPENDENCYPART_SIBL
(16,3),(16,15),0.238708 # DEPENDENCYPART_SIBL
(16,3),(16,17),-0.0124745 # DEPENDENCYPART_SIBL
(16,3),(16,18),0.0945675 # DEPENDENCYPART_SIBL
(16,3),(16,19),-0.00335288 # DEPENDENCYPART_SIBL
(16,3),(16,21),0.0945675 # DEPENDENCYPART_SIBL
(16,3),(16,22),-0.0374346 # DEPENDENCYPART_SIBL
(16,3),(16,23),-0.0425119 # DEPENDENCYPART_SIBL
(16,3),(16,25),-0.0273611 # DEPENDENCYPART_SIBL
(16,3),(16,26),0.00293459 # DEPENDENCYPART_SIBL
(16,3),(16,27),-0.0321656 # DEPENDENCYPART_SIBL
(16,3),(16,28),0.00334951 # DEPENDENCYPART_SIBL
(16,3),(16,29),0.0945675 # DEPENDENCYPART_SIBL
(16,3),(16,30),0.0310151 # DEPENDENCYPART_SIBL
(16,4),(16,5),0.0178175 # DEPENDENCYPART_SIBL
(16,4),(16,6),-0.0295237 # DEPENDENCYPART_SIBL
(16,4),(16,8),-0.0401402 # DEPENDENCYPART_SIBL
(16,4),(16,9),0.0824107 # DEPENDENCYPART_SIBL
(16,4),(16,10),-0.00832477 # DEPENDENCYPART_SIBL
(16,4),(16,11),-0.0535648 # DEPENDENCYPART_SIBL
(16,4),(16,12),-0.0318739 # DEPENDENCYPART_SIBL
(16,4),(16,13),-0.0318742 # DEPENDENCYPART_SIBL
(16,4),(16,14),-0.00699084 # DEPENDENCYPART_SIBL
(16,4),(16,15),0.244032 # DEPENDENCYPART_SIBL
(16,4),(16,17),-0.0124745 # DEPENDENCYPART_SIBL
(16,4),(16,18),0.0953596 # DEPENDENCYPART_SIBL
(16,4),(16,19),-0.00335288 # DEPENDENCYPART_SIBL
(16,4),(16,21),0.0953596 # DEPENDENCYPART_SIBL
(16,4),(16,22),-0.0374346 # DEPENDENCYPART_SIBL
(16,4),(16,23),-0.04244 # DEPENDENCYPART_SIBL
(16,4),(16,25),-0.027361 # DEPENDENCYPART_SIBL
(16,4),(16,26),0.00293728 # DEPENDENCYPART_SIBL
(16,4),(16,27),-0.0308971 # DEPENDENCYPART_SIBL
(16,4),(16,28),0.0033522 # DEPENDENCYPART_SIBL
(16,4),(16,29),0.0953595 # DEPENDENCYPART_SIBL
(16,4),(16,30),0.03157 # DEPENDENCYPART_SIBL
(16,5),(16,6),0.044052 # DEPENDENCYPART_SIBL
(16,5),(16,8),0.0186153 # DEPENDENCYPART_SIBL
(16,5),(16,9),0.172933 # DEPENDENCYPART_SIBL
(16,5),(16,10),-0.0133371 # DEPENDENCYPART_SIBL
(16,5),(16,11),-0.0575247 # DEPENDENCYPART_SIBL
(16,5),(16,12),0.0169049 # DEPENDENCYPART_SIBL
(16,5),(16,13),0.0169049 # DEPENDENCYPART_SIBL
(16,5),(16,14),-0.0124946 # DEPENDENCYPART_SIBL
(16,5),(16,15),0.143985 # DEPENDENCYPART_SIBL
(16,5),(16,17),-0.0637801 # DEPENDENCYPART_SIBL
(16,5),(16,18),0.00887072 # DEPENDENCYPART_SIBL
(16,5),(16,19),0.0002475 # DEPENDENCYPART_SIBL
(16,5),(16,21),0.00887072 # DEPENDENCYPART_SIBL
(16,5),(16,22),-0.0579092 # DEPENDENCYPART_SIBL
(16,5),(16,23),-0.0425753 # DEPENDENCYPART_SIBL
(16,5),(16,25),-0.05147 # DEPENDENCYPART_SIBL
(16,5),(16,26),0.0030147 # DEPENDENCYPART_SIBL
(16,5),(16,27),-0.072617 # DEPENDENCYPART_SIBL
(16,5),(16,28),0.0030147 # DEPENDENCYPART_SIBL
(16,5),(16,29),0.00887072 # DEPENDENCYPART_SIBL
(16,5),(16,30),0.00100358 # DEPENDENCYPART_SIBL
(16,6),(16,8),0.0192526 # DEPENDENCYPART_SIBL
(16,6),(16,9),0.118272 # DEPENDENCYPART_SIBL
(16,6),(16,10),-0.025843 # DEPENDENCYPART_SIBL
(16,6),(16,11),0.192135 # DEPENDENCYPART_SIBL
(16,6),(16,12),0.0192282 # DEPENDENCYPART_SIBL
(16,6),(16,13),0.0192282 # DEPENDENCYPART_SIBL
(16,6),(16,14),-0.0255054 # DEPENDENCYPART_SIBL
(16,6),(16,15),0.13882 # DEPENDENCYPART_SIBL
(16,6),(16,17),0.00353134 # DEPENDENCYPART_SIBL
(16,6),(16,18),0.0521568 # DEPENDENCYPART_SIBL
(16,6),(16,19),-0.0327088 # DEPENDENCYPART_SIBL
(16,6),(16,21),0.0521568 # DEPENDENCYPART_SIBL
(16,6),(16,22),-0.0285937 # DEPENDENCYPART_SIBL
(16,6),(16,23),0.0502269 # DEPENDENCYPART_SIBL
(16,6),(16,25),-0.00984913 # DEPENDENCYPART_SIBL
(16,6),(16,26),-0.0147605 # DEPENDENCYPART_SIBL
(16,6),(16,27),0.0162975 # DEPENDENCYPART_SIBL
(16,6),(16,28),-0.0147605 # DEPENDENCYPART_SIBL
(16,6),(16,29),0.0521568 # DEPENDENCYPART_SIBL
(16,6),(16,30),0.0681668 # DEPENDENCYPART_SIBL
(16,8),(16,9),0.087003 # DEPENDENCYPART_SIBL
(16,8),(16,10),-0.00962322 # DEPENDENCYPART_SIBL
(16,8),(16,11),-0.0542965 # DEPENDENCYPART_SIBL
(16,8),(16,12),-0.032013 # DEPENDENCYPART_SIBL
(16,8),(16,13),-0.0320133 # DEPENDENCYPART_SIBL
(16,8),(16,14),-0.0082893 # DEPENDENCYPART_SIBL
(16,8),(16,15),0.237092 # DEPENDENCYPART_SIBL
(16,8),(16,17),-0.0129075 # DEPENDENCYPART_SIBL
(16,8),(16,18),0.0952889 # DEPENDENCYPART_SIBL
(16,8),(16,19),-0.000175352 # DEPENDENCYPART_SIBL
(16,8),(16,21),0.0952889 # DEPENDENCYPART_SIBL
(16,8),(16,22),-0.0280359 # DEPENDENCYPART_SIBL
(16,8),(16,23),-0.0347178 # DEPENDENCYPART_SIBL
(16,8),(16,25),-0.0286098 # DEPENDENCYPART_SIBL
(16,8),(16,26),0.00128897 # DEPENDENCYPART_SIBL
(16,8),(16,27),-0.0211457 # DEPENDENCYPART_SIBL
(16,8),(16,28),0.00170389 # DEPENDENCYPART_SIBL
(16,8),(16,29),0.0952889 # DEPENDENCYPART_SIBL
(16,8),(16,30),0.0383184 # DEPENDENCYPART_SIBL
(16,9),(16,10),-0.00884372 # DEPENDENCYPART_SIBL
(16,9),(16,11),-0.0566364 # DEPENDENCYPART_SIBL
(16,9),(16,12),-0.0400165 # DEPENDENCYPART_SIBL
(16,9),(16,13),-0.0400165 # DEPENDENCYPART_SIBL
(16,9),(16,14),-0.00760487 # DEPENDENCYPART_SIBL
(16,9),(16,15),0.0610477 # DEPENDENCYPART_SIBL
(16,9),(16,17),-0.0366577 # DEPENDENCYPART_SIBL
(16,9),(16,18),-0.0439518 # DEPENDENCYPART_SIBL
(16,9),(16,19),0.00755874 # DEPENDENCYPART_SIBL
(16,9),(16,21),-0.0439518 # DEPENDENCYPART_SIBL
(16,9),(16,22),-0.0224967 # DEPENDENCYPART_SIBL
(16,9),(16,23),-0.00249989 # DEPENDENCYPART_SIBL
(16,9),(16,25),-0.0542652 # DEPENDENCYPART_SIBL
(16,9),(16,26),-0.0217909 # DEPENDENCYPART_SIBL
(16,9),(16,27),-0.0404248 # DEPENDENCYPART_SIBL
(16,9),(16,28),-0.0217909 # DEPENDENCYPART_SIBL
(16,9),(16,29),-0.0439518 # DEPENDENCYPART_SIBL
(16,9),(16,30),0.0445304 # DEPENDENCYPART_SIBL
(16,10),(16,11),-0.0764618 # DEPENDENCYPART_SIBL
(16,10),(16,12),-0.06781 # DEPENDENCYPART_SIBL
(16,10),(16,13),-0.06781 # DEPENDENCYPART_SIBL
(16,10),(16,14),-0.095382 # DEPENDENCYPART_SIBL
(16,10),(16,15),0.252427 # DEPENDENCYPART_SIBL
(16,10),(16,17),-0.0348204 # DEPENDENCYPART_SIBL
(16,10),(16,18),-0.0506199 # DEPENDENCYPART_SIBL
(16,10),(16,19),0.0134487 # DEPENDENCYPART_SIBL
(16,10),(16,21),-0.0506199 # DEPENDENCYPART_SIBL
(16,10),(16,22),0.00956923 # DEPENDENCYPART_SIBL
(16,10),(16,23),0.0188358 # DEPENDENCYPART_SIBL
(16,10),(16,25),-0.0234761 # DEPENDENCYPART_SIBL
(16,10),(16,26),-0.020951 # DEPENDENCYPART_SIBL
(16,10),(16,27),-0.071882 # DEPENDENCYPART_SIBL
(16,10),(16,28),-0.020951 # DEPENDENCYPART_SIBL
(16,10),(16,29),-0.0506199 # DEPENDENCYPART_SIBL
(16,10),(16,30),0.106751 # DEPENDENCYPART_SIBL
(16,11),(16,12),-0.0208669 # DEPENDENCYPART_SIBL
(16,11),(16,13),-0.0208669 # DEPENDENCYPART_SIBL
(16,11),(16,14),0.0129486 # DEPENDENCYPART_SIBL
(16,11),(16,15),0.0465569 # DEPENDENCYPART_SIBL
(16,11),(16,17),0.0502486 # DEPENDENCYPART_SIBL
(16,11),(16,18),-0.0103445 # DEPENDENCYPART_SIBL
(16,11),(16,19),-0.0176679 # DEPENDENCYPART_SIBL
(16,11),(16,21),-0.0103445 # DEPENDENCYPART_SIBL
(16,11),(16,22),-0.0569654 # DEPENDENCYPART_SIBL
(16,11),(16,23),-0.0539312 # DEPENDENCYPART_SIBL
(16,11),(16,25),-0.0541932 # DEPENDENCYPART_SIBL
(16,11),(16,26),-0.0121804 # DEPENDENCYPART_SIBL
(16,11),(16,27),-0.06956 # DEPENDENCYPART_SIBL
(16,11),(16,28),-0.0121804 # DEPENDENCYPART_SIBL
(16,11),(16,29),-0.0103445 # DEPENDENCYPART_SIBL
(16,11),(16,30),-0.053423 # DEPENDENCYPART_SIBL
(16,12),(16,13),-0.0318742 # DEPENDENCYPART_SIBL
(16,12),(16,14),-0.00699084 # DEPENDENCYPART_SIBL
(16,12),(16,15),0.244032 # DEPENDENCYPART_SIBL
(16,12),(16,17),-0.0124745 # DEPENDENCYPART_SIBL
(16,12),(16,18),0.0953596 # DEPENDENCYPART_SIBL
(16,12),(16,19),-0.00335288 # DEPENDENCYPART_SIBL
(16,12),(16,21),0.0953596 # DEPENDENCYPART_SIBL
(16,12),(16,22),-0.0374346 # DEPENDENCYPART_SIBL
(16,12),(16,23),-0.04244 # DEPENDENCYPART_SIBL
(16,12),(16,25),-0.027361 # DEPENDENCYPART_SIBL
(16,12),(16,26),0.00293728 # DEPENDENCYPART_SIBL
(16,12),(16,27),-0.0308971 # DEPENDENCYPART_SIBL
(16,12),(16,28),0.0033522 # DEPENDENCYPART_SIBL
(16,12),(16,29),0.0953595 # DEPENDENCYPART_SIBL
(16,12),(16,30),0.0315705 # DEPENDENCYPART_SIBL
(16,13),(16,14),-0.00699084 # DEPENDENCYPART_SIBL
(16,13),(16,15),0.244032 # DEPENDENCYPART_SIBL
(16,13),(16,17),-0.0124745 # DEPENDENCYPART_SIBL
(16,13),(16,18),0.0953596 # DEPENDENCYPART_SIBL
(16,13),(16,19),-0.00335288 # DEPENDENCYPART_SIBL
(16,13),(16,21),0.0953596 # DEPENDENCYPART_SIBL
