# _root_ Ám csak egy banktól lehet igényelni a termények — búza , kukorica , rozs és árpa — termelési költségeire felvett éven belüli hitel törlesztésének halasztását .
#goldHeads=5,6,4,6,0,5,8,19,19,16,16,16,16,16,16,19,19,19,20,23,22,23,24,5,6,5,
#predictedHeads=5,6,4,6,0,5,8,19,12,12,24,19,16,19,16,19,19,19,20,21,22,23,24,25,6,5,
(20,7),-0.522102 # DEPENDENCYPART_ARC
(20,8),-0.634072 # DEPENDENCYPART_ARC
(20,9),0.515753 # DEPENDENCYPART_ARC
(20,10),-0.539211 # DEPENDENCYPART_ARC
(20,11),0.499162 # DEPENDENCYPART_ARC
(20,12),-0.489434 # DEPENDENCYPART_ARC
(20,13),0.584504 # DEPENDENCYPART_ARC
(20,14),0.0236773 # DEPENDENCYPART_ARC
(20,15),0.886454 # DEPENDENCYPART_ARC
(20,16),-0.365374 # DEPENDENCYPART_ARC
(20,17),0.733215 # DEPENDENCYPART_ARC
(20,18),0.545778 # DEPENDENCYPART_ARC
(20,19),2.32692 # DEPENDENCYPART_ARC
(20,21),-0.00823938 # DEPENDENCYPART_ARC
(20,22),-0.671453 # DEPENDENCYPART_ARC
(20,23),-0.833877 # DEPENDENCYPART_ARC
(20,24),-1.0599 # DEPENDENCYPART_ARC
(20,25),-1.87022 # DEPENDENCYPART_ARC
(20,26),-0.470877 # DEPENDENCYPART_ARC
(21,1),-0.621545 # DEPENDENCYPART_ARC
(21,2),-0.680787 # DEPENDENCYPART_ARC
(21,3),-0.240219 # DEPENDENCYPART_ARC
(21,4),-3.27416 # DEPENDENCYPART_ARC
(21,5),-2.67968 # DEPENDENCYPART_ARC
(21,6),-0.504119 # DEPENDENCYPART_ARC
(21,7),1.20752 # DEPENDENCYPART_ARC
(21,8),-1.32112 # DEPENDENCYPART_ARC
(21,9),0.749597 # DEPENDENCYPART_ARC
(21,10),-1.00581 # DEPENDENCYPART_ARC
(21,11),0.566721 # DEPENDENCYPART_ARC
(21,12),-1.03257 # DEPENDENCYPART_ARC
(21,13),0.536773 # DEPENDENCYPART_ARC
(21,14),-0.410427 # DEPENDENCYPART_ARC
(21,15),0.632657 # DEPENDENCYPART_ARC
(21,16),-0.736961 # DEPENDENCYPART_ARC
(21,17),0.574264 # DEPENDENCYPART_ARC
(21,18),2.01288 # DEPENDENCYPART_ARC
(21,19),-0.396983 # DEPENDENCYPART_ARC
(21,20),3.80272 # DEPENDENCYPART_ARC
(21,22),-0.701095 # DEPENDENCYPART_ARC
(21,23),-0.0407458 # DEPENDENCYPART_ARC
(21,24),-0.810974 # DEPENDENCYPART_ARC
(21,25),-0.981471 # DEPENDENCYPART_ARC
(21,26),-0.287418 # DEPENDENCYPART_ARC
(22,1),0.209866 # DEPENDENCYPART_ARC
(22,2),-0.487164 # DEPENDENCYPART_ARC
(22,3),-0.86 # DEPENDENCYPART_ARC
(22,4),-0.297239 # DEPENDENCYPART_ARC
(22,5),-0.909984 # DEPENDENCYPART_ARC
(22,6),-0.277306 # DEPENDENCYPART_ARC
(22,7),-0.470187 # DEPENDENCYPART_ARC
(22,8),-0.294784 # DEPENDENCYPART_ARC
(22,9),0.76529 # DEPENDENCYPART_ARC
(22,10),-0.408058 # DEPENDENCYPART_ARC
(22,11),0.617685 # DEPENDENCYPART_ARC
(22,12),-0.15887 # DEPENDENCYPART_ARC
(22,13),0.825992 # DEPENDENCYPART_ARC
(22,14),0.323873 # DEPENDENCYPART_ARC
(22,15),1.24264 # DEPENDENCYPART_ARC
(22,16),-0.219785 # DEPENDENCYPART_ARC
(22,17),0.663116 # DEPENDENCYPART_ARC
(22,18),0.0336886 # DEPENDENCYPART_ARC
(22,19),1.52018 # DEPENDENCYPART_ARC
(22,20),0.545037 # DEPENDENCYPART_ARC
(22,21),2.84365 # DEPENDENCYPART_ARC
(22,23),-0.387799 # DEPENDENCYPART_ARC
(22,24),-0.685004 # DEPENDENCYPART_ARC
(22,25),-1.75688 # DEPENDENCYPART_ARC
(22,26),-0.661235 # DEPENDENCYPART_ARC
(23,1),-0.77933 # DEPENDENCYPART_ARC
(23,2),-0.828623 # DEPENDENCYPART_ARC
(23,3),-0.851291 # DEPENDENCYPART_ARC
(23,4),-3.30678 # DEPENDENCYPART_ARC
(23,5),-1.95816 # DEPENDENCYPART_ARC
(23,6),-0.128613 # DEPENDENCYPART_ARC
(23,7),0.951542 # DEPENDENCYPART_ARC
(23,8),-1.34141 # DEPENDENCYPART_ARC
(23,9),0.668914 # DEPENDENCYPART_ARC
(23,10),-1.15525 # DEPENDENCYPART_ARC
(23,11),0.533203 # DEPENDENCYPART_ARC
(23,12),-1.2585 # DEPENDENCYPART_ARC
(23,13),0.569923 # DEPENDENCYPART_ARC
(23,14),-0.498185 # DEPENDENCYPART_ARC
(23,15),0.617987 # DEPENDENCYPART_ARC
(23,16),-1.08553 # DEPENDENCYPART_ARC
(23,17),0.524171 # DEPENDENCYPART_ARC
(23,18),1.78344 # DEPENDENCYPART_ARC
(23,19),-1.45209 # DEPENDENCYPART_ARC
(23,20),2.32084 # DEPENDENCYPART_ARC
(23,21),0.503148 # DEPENDENCYPART_ARC
(23,22),3.71405 # DEPENDENCYPART_ARC
(23,24),-0.861205 # DEPENDENCYPART_ARC
(23,25),-1.2605 # DEPENDENCYPART_ARC
(23,26),-0.202576 # DEPENDENCYPART_ARC
(24,1),-0.401281 # DEPENDENCYPART_ARC
(24,2),-0.715416 # DEPENDENCYPART_ARC
(24,3),-0.908742 # DEPENDENCYPART_ARC
(24,4),-2.14321 # DEPENDENCYPART_ARC
(24,5),-3.23528 # DEPENDENCYPART_ARC
(24,6),-0.515943 # DEPENDENCYPART_ARC
(24,7),-0.257933 # DEPENDENCYPART_ARC
(24,8),1.31668 # DEPENDENCYPART_ARC
(24,9),1.1984 # DEPENDENCYPART_ARC
(24,10),1.0943 # DEPENDENCYPART_ARC
(24,11),1.24988 # DEPENDENCYPART_ARC
(24,12),1.0087 # DEPENDENCYPART_ARC
(24,13),1.17301 # DEPENDENCYPART_ARC
(24,14),1.85318 # DEPENDENCYPART_ARC
(24,15),1.36615 # DEPENDENCYPART_ARC
(24,16),1.26329 # DEPENDENCYPART_ARC
(24,17),0.839674 # DEPENDENCYPART_ARC
(24,18),0.6602 # DEPENDENCYPART_ARC
(24,19),-0.940134 # DEPENDENCYPART_ARC
(24,20),1.22854 # DEPENDENCYPART_ARC
(24,21),0.153251 # DEPENDENCYPART_ARC
(24,22),2.19184 # DEPENDENCYPART_ARC
(24,23),5.01488 # DEPENDENCYPART_ARC
(24,25),-1.07852 # DEPENDENCYPART_ARC
(24,26),-0.559042 # DEPENDENCYPART_ARC
(25,1),-0.599744 # DEPENDENCYPART_ARC
(25,2),-1.15884 # DEPENDENCYPART_ARC
(25,3),-1.50318 # DEPENDENCYPART_ARC
(25,4),-3.03071 # DEPENDENCYPART_ARC
(25,5),-3.63736 # DEPENDENCYPART_ARC
(25,6),-0.740145 # DEPENDENCYPART_ARC
(25,7),-0.54231 # DEPENDENCYPART_ARC
(25,8),1.47104 # DEPENDENCYPART_ARC
(25,9),0.829161 # DEPENDENCYPART_ARC
(25,10),0.851869 # DEPENDENCYPART_ARC
(25,11),0.967118 # DEPENDENCYPART_ARC
(25,12),0.8423 # DEPENDENCYPART_ARC
(25,13),0.907889 # DEPENDENCYPART_ARC
(25,14),1.39773 # DEPENDENCYPART_ARC
(25,15),1.00393 # DEPENDENCYPART_ARC
(25,16),0.934009 # DEPENDENCYPART_ARC
(25,17),0.368074 # DEPENDENCYPART_ARC
(25,18),0.126902 # DEPENDENCYPART_ARC
(25,19),-1.87953 # DEPENDENCYPART_ARC
(25,20),0.618258 # DEPENDENCYPART_ARC
(25,21),-0.934222 # DEPENDENCYPART_ARC
(25,22),0.969346 # DEPENDENCYPART_ARC
(25,23),3.31078 # DEPENDENCYPART_ARC
(25,24),1.07963 # DEPENDENCYPART_ARC
(25,26),0.522472 # DEPENDENCYPART_ARC
(26,1),-3.40487 # DEPENDENCYPART_ARC
(26,2),-3.53037 # DEPENDENCYPART_ARC
(26,3),-3.55221 # DEPENDENCYPART_ARC
(26,4),-4.53302 # DEPENDENCYPART_ARC
(26,5),-3.51257 # DEPENDENCYPART_ARC
(26,6),-3.16023 # DEPENDENCYPART_ARC
(26,7),-2.95275 # DEPENDENCYPART_ARC
(26,8),-4.139 # DEPENDENCYPART_ARC
(26,9),-2.62078 # DEPENDENCYPART_ARC
(26,10),-4.04843 # DEPENDENCYPART_ARC
(26,11),-2.62447 # DEPENDENCYPART_ARC
(26,12),-3.95087 # DEPENDENCYPART_ARC
(26,13),-2.50694 # DEPENDENCYPART_ARC
(26,14),-3.90454 # DEPENDENCYPART_ARC
(26,15),-2.6088 # DEPENDENCYPART_ARC
(26,16),-3.73351 # DEPENDENCYPART_ARC
(26,17),-2.38856 # DEPENDENCYPART_ARC
(26,18),-2.91532 # DEPENDENCYPART_ARC
(26,19),-3.69151 # DEPENDENCYPART_ARC
(26,20),-2.8262 # DEPENDENCYPART_ARC
(26,21),-3.51555 # DEPENDENCYPART_ARC
(26,22),-2.6414 # DEPENDENCYPART_ARC
(26,23),-3.15336 # DEPENDENCYPART_ARC
(26,24),-2.86646 # DEPENDENCYPART_ARC
(26,25),-2.51035 # DEPENDENCYPART_ARC
