# _root_ Jelenleg a határőrség nyolc közösségi szállásán mintegy 1500 külföldit helyezhetnek el , ám igazán jó körülményeket csupán 500-nak nyújthatnak , miközben a tényleges létszám megközelíti az 1200-at .
#goldHeads=10,3,10,6,6,10,9,9,10,0,10,10,10,15,16,19,19,19,10,19,25,24,24,25,19,27,25,10,
#predictedHeads=10,3,6,6,6,10,9,9,10,13,10,13,0,15,16,19,19,19,13,19,25,24,24,25,19,27,25,13,
(22,23),0.0674753 # DEPENDENCYPART_ARC
(22,24),-0.922536 # DEPENDENCYPART_ARC
(23,1),-3.37024 # DEPENDENCYPART_ARC
(23,2),-3.26455 # DEPENDENCYPART_ARC
(23,3),-3.91805 # DEPENDENCYPART_ARC
(23,4),-2.48548 # DEPENDENCYPART_ARC
(23,5),-3.33205 # DEPENDENCYPART_ARC
(23,6),-3.32203 # DEPENDENCYPART_ARC
(23,7),-2.28588 # DEPENDENCYPART_ARC
(23,8),-2.43908 # DEPENDENCYPART_ARC
(23,9),-3.09959 # DEPENDENCYPART_ARC
(23,10),-2.17509 # DEPENDENCYPART_ARC
(23,11),-2.06111 # DEPENDENCYPART_ARC
(23,12),-1.80107 # DEPENDENCYPART_ARC
(23,13),-1.61081 # DEPENDENCYPART_ARC
(23,14),-1.5949 # DEPENDENCYPART_ARC
(23,15),-2.37389 # DEPENDENCYPART_ARC
(23,16),-2.7094 # DEPENDENCYPART_ARC
(23,17),-1.48943 # DEPENDENCYPART_ARC
(23,18),-1.27539 # DEPENDENCYPART_ARC
(23,19),-1.58834 # DEPENDENCYPART_ARC
(23,20),-0.924044 # DEPENDENCYPART_ARC
(23,21),-0.557175 # DEPENDENCYPART_ARC
(23,22),0.707085 # DEPENDENCYPART_ARC
(23,24),-0.799698 # DEPENDENCYPART_ARC
(23,25),-0.908181 # DEPENDENCYPART_ARC
(23,26),-1.79717 # DEPENDENCYPART_ARC
(23,27),-1.51114 # DEPENDENCYPART_ARC
(23,28),-1.1228 # DEPENDENCYPART_ARC
(24,1),-1.34495 # DEPENDENCYPART_ARC
(24,2),-1.95746 # DEPENDENCYPART_ARC
(24,3),-4.13088 # DEPENDENCYPART_ARC
(24,4),-1.6808 # DEPENDENCYPART_ARC
(24,5),-0.986047 # DEPENDENCYPART_ARC
(24,6),-5.85281 # DEPENDENCYPART_ARC
(24,7),-0.416265 # DEPENDENCYPART_ARC
(24,8),-0.971739 # DEPENDENCYPART_ARC
(24,9),-5.27642 # DEPENDENCYPART_ARC
(24,10),-1.97111 # DEPENDENCYPART_ARC
(24,11),-1.11099 # DEPENDENCYPART_ARC
(24,12),-1.65618 # DEPENDENCYPART_ARC
(24,13),-0.317616 # DEPENDENCYPART_ARC
(24,14),-0.952258 # DEPENDENCYPART_ARC
(24,15),-0.896079 # DEPENDENCYPART_ARC
(24,16),-5.31407 # DEPENDENCYPART_ARC
(24,17),-0.52726 # DEPENDENCYPART_ARC
(24,18),-1.34395 # DEPENDENCYPART_ARC
(24,19),-1.38315 # DEPENDENCYPART_ARC
(24,20),-0.412279 # DEPENDENCYPART_ARC
(24,21),-0.0641631 # DEPENDENCYPART_ARC
(24,22),2.7315 # DEPENDENCYPART_ARC
(24,23),3.43823 # DEPENDENCYPART_ARC
(24,25),-0.533069 # DEPENDENCYPART_ARC
(24,26),-1.35296 # DEPENDENCYPART_ARC
(24,27),-1.29484 # DEPENDENCYPART_ARC
(24,28),-0.521923 # DEPENDENCYPART_ARC
(25,1),0.830798 # DEPENDENCYPART_ARC
(25,2),-1.96759 # DEPENDENCYPART_ARC
(25,3),-0.310831 # DEPENDENCYPART_ARC
(25,4),-1.3527 # DEPENDENCYPART_ARC
(25,5),-1.78804 # DEPENDENCYPART_ARC
(25,6),0.0451271 # DEPENDENCYPART_ARC
(25,7),-1.62624 # DEPENDENCYPART_ARC
(25,8),-1.17159 # DEPENDENCYPART_ARC
(25,9),0.203828 # DEPENDENCYPART_ARC
(25,10),0.138817 # DEPENDENCYPART_ARC
(25,11),-0.758409 # DEPENDENCYPART_ARC
(25,12),0.507562 # DEPENDENCYPART_ARC
(25,13),0.80541 # DEPENDENCYPART_ARC
(25,14),0.429332 # DEPENDENCYPART_ARC
(25,15),-1.47115 # DEPENDENCYPART_ARC
(25,16),0.883893 # DEPENDENCYPART_ARC
(25,17),0.824244 # DEPENDENCYPART_ARC
(25,18),0.576757 # DEPENDENCYPART_ARC
(25,19),0.730544 # DEPENDENCYPART_ARC
(25,20),0.977111 # DEPENDENCYPART_ARC
(25,21),2.64589 # DEPENDENCYPART_ARC
(25,22),-0.28878 # DEPENDENCYPART_ARC
(25,23),0.680686 # DEPENDENCYPART_ARC
(25,24),3.61872 # DEPENDENCYPART_ARC
(25,26),-0.121794 # DEPENDENCYPART_ARC
(25,27),1.69602 # DEPENDENCYPART_ARC
(25,28),1.93357 # DEPENDENCYPART_ARC
(26,3),-3.45918 # DEPENDENCYPART_ARC
(26,5),-2.15121 # DEPENDENCYPART_ARC
(26,6),-3.70045 # DEPENDENCYPART_ARC
(26,9),-3.09518 # DEPENDENCYPART_ARC
(26,12),-1.23431 # DEPENDENCYPART_ARC
(26,13),-1.32226 # DEPENDENCYPART_ARC
(26,15),-1.95564 # DEPENDENCYPART_ARC
(26,16),-2.78702 # DEPENDENCYPART_ARC
(26,20),-1.05484 # DEPENDENCYPART_ARC
(26,23),-1.32682 # DEPENDENCYPART_ARC
(26,24),-2.05157 # DEPENDENCYPART_ARC
(27,1),-0.86771 # DEPENDENCYPART_ARC
(27,2),-0.232508 # DEPENDENCYPART_ARC
(27,3),-1.37432 # DEPENDENCYPART_ARC
(27,4),-0.890987 # DEPENDENCYPART_ARC
(27,5),-0.66615 # DEPENDENCYPART_ARC
(27,6),-2.53592 # DEPENDENCYPART_ARC
(27,7),-0.545949 # DEPENDENCYPART_ARC
(27,8),-0.547212 # DEPENDENCYPART_ARC
(27,9),-1.58594 # DEPENDENCYPART_ARC
(27,10),-0.914758 # DEPENDENCYPART_ARC
(27,12),-1.07705 # DEPENDENCYPART_ARC
(27,13),-0.625734 # DEPENDENCYPART_ARC
(27,14),-0.380408 # DEPENDENCYPART_ARC
(27,15),-0.242613 # DEPENDENCYPART_ARC
(27,16),-1.43241 # DEPENDENCYPART_ARC
(27,17),-0.396413 # DEPENDENCYPART_ARC
(27,18),-0.466709 # DEPENDENCYPART_ARC
(27,19),-0.710985 # DEPENDENCYPART_ARC
(27,20),-0.662341 # DEPENDENCYPART_ARC
(27,21),-0.0848685 # DEPENDENCYPART_ARC
(27,22),0.717497 # DEPENDENCYPART_ARC
(27,23),0.379115 # DEPENDENCYPART_ARC
(27,24),-0.0687611 # DEPENDENCYPART_ARC
(27,25),0.0190426 # DEPENDENCYPART_ARC
(27,26),2.16869 # DEPENDENCYPART_ARC
(27,28),-0.0746327 # DEPENDENCYPART_ARC
