# _root_ A tervgazdaságban , ahol nem működik valódi gazdasági kalkuláció , a központi tervezőnek nincs eszköze a versengő beruházási javaslatok közötti ésszerű választáshoz .
#goldHeads=2,14,14,6,6,14,9,9,6,14,13,13,14,0,14,19,19,19,20,22,22,14,14,
#predictedHeads=2,6,6,6,6,0,9,9,6,6,13,13,14,6,14,19,19,19,20,22,22,14,6,
(23,1),-3.51071 # DEPENDENCYPART_ARC
(23,2),-4.62085 # DEPENDENCYPART_ARC
(23,3),-3.10212 # DEPENDENCYPART_ARC
(23,4),-3.37655 # DEPENDENCYPART_ARC
(23,5),-3.38285 # DEPENDENCYPART_ARC
(23,6),-3.40427 # DEPENDENCYPART_ARC
(23,7),-3.47843 # DEPENDENCYPART_ARC
(23,8),-3.47072 # DEPENDENCYPART_ARC
(23,9),-4.28604 # DEPENDENCYPART_ARC
(23,10),-2.83811 # DEPENDENCYPART_ARC
(23,11),-3.0561 # DEPENDENCYPART_ARC
(23,12),-3.32056 # DEPENDENCYPART_ARC
(23,13),-4.07593 # DEPENDENCYPART_ARC
(23,14),-2.95439 # DEPENDENCYPART_ARC
(23,15),-3.72085 # DEPENDENCYPART_ARC
(23,16),-2.62668 # DEPENDENCYPART_ARC
(23,17),-2.85989 # DEPENDENCYPART_ARC
(23,18),-2.83058 # DEPENDENCYPART_ARC
(23,19),-3.42483 # DEPENDENCYPART_ARC
(23,20),-2.50062 # DEPENDENCYPART_ARC
(23,21),-2.25049 # DEPENDENCYPART_ARC
(23,22),-2.62378 # DEPENDENCYPART_ARC
