# _root_ Európában elsősorban az olaszok és a franciák híresek kávézóikról , ahol a fekete ital számos változatát készítik , fogyasztásuk pedig mindennapos szertartássá vált .
#goldHeads=9,9,4,5,9,7,5,9,0,9,17,14,14,16,16,17,9,17,23,23,22,23,17,9,
#predictedHeads=17,17,4,17,17,7,8,9,17,23,17,14,14,16,16,17,0,17,23,23,22,23,17,23,
(22,1),-4.58424 # DEPENDENCYPART_ARC
(22,2),-0.646621 # DEPENDENCYPART_ARC
(22,3),-1.77894 # DEPENDENCYPART_ARC
(22,4),-3.26923 # DEPENDENCYPART_ARC
(22,5),-0.860293 # DEPENDENCYPART_ARC
(22,6),-0.853693 # DEPENDENCYPART_ARC
(22,7),-2.70222 # DEPENDENCYPART_ARC
(22,8),-1.42224 # DEPENDENCYPART_ARC
(22,9),-4.69856 # DEPENDENCYPART_ARC
(22,10),-0.793275 # DEPENDENCYPART_ARC
(22,11),-0.470262 # DEPENDENCYPART_ARC
(22,12),0.454128 # DEPENDENCYPART_ARC
(22,13),0.713765 # DEPENDENCYPART_ARC
(22,14),-1.10885 # DEPENDENCYPART_ARC
(22,15),0.420969 # DEPENDENCYPART_ARC
(22,16),-2.68145 # DEPENDENCYPART_ARC
(22,17),-0.433675 # DEPENDENCYPART_ARC
(22,18),0.744061 # DEPENDENCYPART_ARC
(22,19),0.760952 # DEPENDENCYPART_ARC
(22,20),0.829762 # DEPENDENCYPART_ARC
(22,21),3.643 # DEPENDENCYPART_ARC
(22,23),0.0952987 # DEPENDENCYPART_ARC
(22,24),-0.67716 # DEPENDENCYPART_ARC
(23,1),1.1573 # DEPENDENCYPART_ARC
(23,2),1.58754 # DEPENDENCYPART_ARC
(23,3),-0.329207 # DEPENDENCYPART_ARC
(23,4),0.589514 # DEPENDENCYPART_ARC
(23,5),1.23944 # DEPENDENCYPART_ARC
(23,6),-0.586854 # DEPENDENCYPART_ARC
(23,7),0.373615 # DEPENDENCYPART_ARC
(23,8),-0.62254 # DEPENDENCYPART_ARC
(23,9),-0.0392381 # DEPENDENCYPART_ARC
(23,10),1.12592 # DEPENDENCYPART_ARC
(23,11),2.23419 # DEPENDENCYPART_ARC
(23,12),-0.404296 # DEPENDENCYPART_ARC
(23,13),-0.670109 # DEPENDENCYPART_ARC
(23,14),1.9046 # DEPENDENCYPART_ARC
(23,15),-0.333536 # DEPENDENCYPART_ARC
(23,16),1.7983 # DEPENDENCYPART_ARC
(23,17),0.405183 # DEPENDENCYPART_ARC
(23,18),1.32848 # DEPENDENCYPART_ARC
(23,19),2.55953 # DEPENDENCYPART_ARC
(23,20),3.23644 # DEPENDENCYPART_ARC
(23,21),1.19314 # DEPENDENCYPART_ARC
(23,22),3.72397 # DEPENDENCYPART_ARC
(23,24),2.11473 # DEPENDENCYPART_ARC
(24,1),-4.6911 # DEPENDENCYPART_ARC
(24,2),-3.76242 # DEPENDENCYPART_ARC
(24,3),-3.6222 # DEPENDENCYPART_ARC
(24,4),-4.57642 # DEPENDENCYPART_ARC
(24,5),-3.36996 # DEPENDENCYPART_ARC
(24,6),-3.49505 # DEPENDENCYPART_ARC
(24,7),-4.4934 # DEPENDENCYPART_ARC
(24,8),-3.74795 # DEPENDENCYPART_ARC
(24,9),-4.48901 # DEPENDENCYPART_ARC
(24,10),-3.1265 # DEPENDENCYPART_ARC
(24,11),-3.39156 # DEPENDENCYPART_ARC
(24,12),-3.30107 # DEPENDENCYPART_ARC
(24,13),-3.56776 # DEPENDENCYPART_ARC
(24,14),-4.20003 # DEPENDENCYPART_ARC
(24,15),-3.32043 # DEPENDENCYPART_ARC
(24,16),-4.07896 # DEPENDENCYPART_ARC
(24,17),-3.33298 # DEPENDENCYPART_ARC
(24,18),-2.74626 # DEPENDENCYPART_ARC
(24,19),-3.80748 # DEPENDENCYPART_ARC
(24,20),-2.80139 # DEPENDENCYPART_ARC
(24,21),-2.91552 # DEPENDENCYPART_ARC
(24,22),-3.24361 # DEPENDENCYPART_ARC
(24,23),-1.73214 # DEPENDENCYPART_ARC
