# _root_ Az ÁPTF április 30-ig meghosszabbította a CB_Bróker_Értékpapír-forgalmazó_Rt.-nek , a LaSalle_Értékpapír-forgalmazó_Rt.-nek , a Pannonbróker_Értékpapír-forgalmazó_Rt.-nek és a Pest-Buda_Értékház_Értékpapír-kereskedő_és_Befektetési_Tanácsadó_Rt.-nek a Központi_Elszámolóház_és_Értéktár_(KELER)_Rt.-nél vezetett valamennyi számlája feletti rendelkezési joga felfüggesztését .
#goldHeads=2,5,4,5,0,7,14,14,10,14,14,13,14,5,16,14,18,19,21,21,22,23,24,25,5,5,
#predictedHeads=2,3,4,5,0,7,5,5,10,5,5,13,14,5,16,14,18,19,21,21,22,24,24,25,5,5,
(19,18),2.60352 # DEPENDENCYPART_ARC
(19,20),-0.515049 # DEPENDENCYPART_ARC
(19,21),-0.0187638 # DEPENDENCYPART_ARC
(19,22),-0.389358 # DEPENDENCYPART_ARC
(19,23),-0.48813 # DEPENDENCYPART_ARC
(19,24),-0.558447 # DEPENDENCYPART_ARC
(19,25),-1.31228 # DEPENDENCYPART_ARC
(19,26),0.576662 # DEPENDENCYPART_ARC
(20,1),-1.66083 # DEPENDENCYPART_ARC
(20,2),-1.5675 # DEPENDENCYPART_ARC
(20,3),-1.47446 # DEPENDENCYPART_ARC
(20,4),-1.42586 # DEPENDENCYPART_ARC
(20,5),-0.626656 # DEPENDENCYPART_ARC
(20,6),-1.04695 # DEPENDENCYPART_ARC
(20,7),-1.39023 # DEPENDENCYPART_ARC
(20,8),-0.492899 # DEPENDENCYPART_ARC
(20,9),-0.872496 # DEPENDENCYPART_ARC
(20,10),-1.20576 # DEPENDENCYPART_ARC
(20,11),-0.348286 # DEPENDENCYPART_ARC
(20,12),-0.660044 # DEPENDENCYPART_ARC
(20,13),-1.06851 # DEPENDENCYPART_ARC
(20,14),-0.0224435 # DEPENDENCYPART_ARC
(20,15),-0.646389 # DEPENDENCYPART_ARC
(20,16),-0.980344 # DEPENDENCYPART_ARC
(20,17),-0.239953 # DEPENDENCYPART_ARC
(20,18),-0.448381 # DEPENDENCYPART_ARC
(20,19),-0.195676 # DEPENDENCYPART_ARC
(20,21),-0.142231 # DEPENDENCYPART_ARC
(20,22),-0.904137 # DEPENDENCYPART_ARC
(20,23),-0.75998 # DEPENDENCYPART_ARC
(20,24),-0.507826 # DEPENDENCYPART_ARC
(20,25),-1.16949 # DEPENDENCYPART_ARC
(20,26),-0.380898 # DEPENDENCYPART_ARC
(21,1),-4.48498 # DEPENDENCYPART_ARC
(21,2),-2.88518 # DEPENDENCYPART_ARC
(21,3),-2.90701 # DEPENDENCYPART_ARC
(21,4),-6.94295 # DEPENDENCYPART_ARC
(21,5),-1.83123 # DEPENDENCYPART_ARC
(21,6),-3.35489 # DEPENDENCYPART_ARC
(21,7),-2.87185 # DEPENDENCYPART_ARC
(21,8),-1.01899 # DEPENDENCYPART_ARC
(21,9),-2.51459 # DEPENDENCYPART_ARC
(21,10),-2.46004 # DEPENDENCYPART_ARC
(21,11),-0.645176 # DEPENDENCYPART_ARC
(21,12),-1.75873 # DEPENDENCYPART_ARC
(21,13),-1.48922 # DEPENDENCYPART_ARC
(21,14),0.0532084 # DEPENDENCYPART_ARC
(21,15),-0.480447 # DEPENDENCYPART_ARC
(21,16),-1.06937 # DEPENDENCYPART_ARC
(21,17),0.513976 # DEPENDENCYPART_ARC
(21,18),-0.410528 # DEPENDENCYPART_ARC
(21,19),1.43577 # DEPENDENCYPART_ARC
(21,20),3.1347 # DEPENDENCYPART_ARC
(21,22),-0.389711 # DEPENDENCYPART_ARC
(21,23),-0.244172 # DEPENDENCYPART_ARC
(21,24),-0.0703491 # DEPENDENCYPART_ARC
(21,25),-1.22398 # DEPENDENCYPART_ARC
(21,26),0.00574881 # DEPENDENCYPART_ARC
(22,1),-1.04972 # DEPENDENCYPART_ARC
(22,2),-0.835591 # DEPENDENCYPART_ARC
(22,3),-1.44912 # DEPENDENCYPART_ARC
(22,4),-1.12661 # DEPENDENCYPART_ARC
(22,5),-0.450458 # DEPENDENCYPART_ARC
(22,6),-0.875753 # DEPENDENCYPART_ARC
(22,7),-1.56323 # DEPENDENCYPART_ARC
(22,8),-0.114302 # DEPENDENCYPART_ARC
(22,9),-0.547968 # DEPENDENCYPART_ARC
(22,10),-1.21562 # DEPENDENCYPART_ARC
(22,11),0.0908297 # DEPENDENCYPART_ARC
(22,12),-0.198142 # DEPENDENCYPART_ARC
(22,13),-0.402048 # DEPENDENCYPART_ARC
(22,14),1.04838 # DEPENDENCYPART_ARC
(22,15),0.191739 # DEPENDENCYPART_ARC
(22,16),-0.556928 # DEPENDENCYPART_ARC
(22,17),0.535678 # DEPENDENCYPART_ARC
(22,18),2.33086 # DEPENDENCYPART_ARC
(22,19),0.354166 # DEPENDENCYPART_ARC
(22,20),1.13346 # DEPENDENCYPART_ARC
(22,21),1.97191 # DEPENDENCYPART_ARC
(22,23),-0.304714 # DEPENDENCYPART_ARC
(22,24),-0.353747 # DEPENDENCYPART_ARC
(22,25),-1.31183 # DEPENDENCYPART_ARC
(22,26),-0.248714 # DEPENDENCYPART_ARC
(23,1),-1.5871 # DEPENDENCYPART_ARC
(23,2),-2.49138 # DEPENDENCYPART_ARC
(23,3),-2.83927 # DEPENDENCYPART_ARC
(23,4),-2.37267 # DEPENDENCYPART_ARC
(23,5),-1.04255 # DEPENDENCYPART_ARC
(23,6),-1.45463 # DEPENDENCYPART_ARC
(23,7),-3.11765 # DEPENDENCYPART_ARC
(23,8),-0.961027 # DEPENDENCYPART_ARC
(23,9),-1.22186 # DEPENDENCYPART_ARC
(23,10),-2.71158 # DEPENDENCYPART_ARC
(23,11),-0.685235 # DEPENDENCYPART_ARC
(23,12),-0.927349 # DEPENDENCYPART_ARC
(23,13),-1.84165 # DEPENDENCYPART_ARC
(23,14),0.109323 # DEPENDENCYPART_ARC
(23,15),-0.38677 # DEPENDENCYPART_ARC
(23,16),-1.82404 # DEPENDENCYPART_ARC
(23,17),-0.108214 # DEPENDENCYPART_ARC
(23,18),1.0843 # DEPENDENCYPART_ARC
(23,19),-0.416683 # DEPENDENCYPART_ARC
(23,20),-0.0112336 # DEPENDENCYPART_ARC
(23,21),0.391908 # DEPENDENCYPART_ARC
(23,22),1.33865 # DEPENDENCYPART_ARC
(23,24),-0.500925 # DEPENDENCYPART_ARC
(23,25),-1.32376 # DEPENDENCYPART_ARC
(23,26),-0.717127 # DEPENDENCYPART_ARC
(24,1),-3.88345 # DEPENDENCYPART_ARC
(24,2),-2.23037 # DEPENDENCYPART_ARC
(24,3),-2.36265 # DEPENDENCYPART_ARC
(24,4),-6.48755 # DEPENDENCYPART_ARC
(24,5),-1.04465 # DEPENDENCYPART_ARC
(24,6),-2.72827 # DEPENDENCYPART_ARC
(24,7),-2.51401 # DEPENDENCYPART_ARC
(24,8),-0.735899 # DEPENDENCYPART_ARC
(24,9),-1.94153 # DEPENDENCYPART_ARC
(24,10),-2.09459 # DEPENDENCYPART_ARC
(24,11),-0.365827 # DEPENDENCYPART_ARC
(24,12),-1.10044 # DEPENDENCYPART_ARC
(24,13),-0.900146 # DEPENDENCYPART_ARC
(24,14),0.501555 # DEPENDENCYPART_ARC
(24,15),0.0915276 # DEPENDENCYPART_ARC
(24,16),-0.772589 # DEPENDENCYPART_ARC
(24,17),0.799397 # DEPENDENCYPART_ARC
(24,18),-0.0144872 # DEPENDENCYPART_ARC
(24,19),1.38486 # DEPENDENCYPART_ARC
(24,20),1.75751 # DEPENDENCYPART_ARC
(24,21),1.42412 # DEPENDENCYPART_ARC
(24,22),2.70878 # DEPENDENCYPART_ARC
(24,23),3.43324 # DEPENDENCYPART_ARC
(24,25),-1.48631 # DEPENDENCYPART_ARC
(24,26),-0.711205 # DEPENDENCYPART_ARC
(25,1),-4.73959 # DEPENDENCYPART_ARC
(25,2),-2.91512 # DEPENDENCYPART_ARC
(25,3),-2.62544 # DEPENDENCYPART_ARC
(25,4),-6.91228 # DEPENDENCYPART_ARC
(25,5),-1.98645 # DEPENDENCYPART_ARC
(25,6),-3.1855 # DEPENDENCYPART_ARC
(25,7),-3.25982 # DEPENDENCYPART_ARC
(25,8),-0.401468 # DEPENDENCYPART_ARC
(25,9),-2.76424 # DEPENDENCYPART_ARC
(25,10),-2.85924 # DEPENDENCYPART_ARC
(25,11),-0.0927627 # DEPENDENCYPART_ARC
(25,12),-1.90697 # DEPENDENCYPART_ARC
(25,13),-1.71441 # DEPENDENCYPART_ARC
(25,14),0.887524 # DEPENDENCYPART_ARC
(25,15),-0.805829 # DEPENDENCYPART_ARC
(25,16),-2.14191 # DEPENDENCYPART_ARC
(25,17),0.203379 # DEPENDENCYPART_ARC
(25,18),-1.34012 # DEPENDENCYPART_ARC
(25,19),0.529467 # DEPENDENCYPART_ARC
(25,20),0.888231 # DEPENDENCYPART_ARC
(25,21),0.344535 # DEPENDENCYPART_ARC
(25,22),1.33708 # DEPENDENCYPART_ARC
(25,23),1.89693 # DEPENDENCYPART_ARC
(25,24),3.29947 # DEPENDENCYPART_ARC
(25,26),0.401538 # DEPENDENCYPART_ARC
(26,1),-3.40312 # DEPENDENCYPART_ARC
(26,2),-4.53715 # DEPENDENCYPART_ARC
(26,3),-4.5196 # DEPENDENCYPART_ARC
(26,4),-4.51652 # DEPENDENCYPART_ARC
(26,5),-3.25748 # DEPENDENCYPART_ARC
(26,6),-2.98269 # DEPENDENCYPART_ARC
(26,7),-4.13922 # DEPENDENCYPART_ARC
(26,8),-2.69426 # DEPENDENCYPART_ARC
(26,9),-2.89075 # DEPENDENCYPART_ARC
(26,10),-4.10347 # DEPENDENCYPART_ARC
(26,11),-2.64044 # DEPENDENCYPART_ARC
(26,12),-2.80917 # DEPENDENCYPART_ARC
(26,13),-3.96462 # DEPENDENCYPART_ARC
(26,14),-2.64831 # DEPENDENCYPART_ARC
(26,15),-2.7352 # DEPENDENCYPART_ARC
(26,16),-3.80268 # DEPENDENCYPART_ARC
(26,17),-2.6942 # DEPENDENCYPART_ARC
(26,18),-3.7319 # DEPENDENCYPART_ARC
(26,19),-2.91494 # DEPENDENCYPART_ARC
(26,20),-2.79322 # DEPENDENCYPART_ARC
(26,21),-3.45925 # DEPENDENCYPART_ARC
(26,22),-2.65738 # DEPENDENCYPART_ARC
(26,23),-2.44707 # DEPENDENCYPART_ARC
(26,24),-2.91116 # DEPENDENCYPART_ARC
(26,25),-2.52633 # DEPENDENCYPART_ARC
