# _root_ Ha ezt a hitelező nem adja meg , és a bank beváltja a hitelekhez járó állami garanciát , az az érintett gazdáknak az állami agrártámogatásokból való kizárását jelenti .
#goldHeads=28,6,4,6,6,28,6,28,28,11,12,28,14,15,17,17,12,28,28,22,22,28,25,25,26,27,28,0,28,
#predictedHeads=28,6,4,6,6,9,6,9,0,11,12,9,14,15,17,17,12,12,28,22,22,28,25,25,26,27,28,12,6,
(22,19),0.521578 # DEPENDENCYPART_ARC
(22,20),3.01893 # DEPENDENCYPART_ARC
(22,21),3.70645 # DEPENDENCYPART_ARC
(22,23),-0.73253 # DEPENDENCYPART_ARC
(22,24),-0.257578 # DEPENDENCYPART_ARC
(22,25),-0.507126 # DEPENDENCYPART_ARC
(22,26),-0.5287 # DEPENDENCYPART_ARC
(22,27),-0.835931 # DEPENDENCYPART_ARC
(22,28),-1.13189 # DEPENDENCYPART_ARC
(22,29),0.0162131 # DEPENDENCYPART_ARC
(23,4),-3.35279 # DEPENDENCYPART_ARC
(23,8),-1.23795 # DEPENDENCYPART_ARC
(23,9),-1.4208 # DEPENDENCYPART_ARC
(23,11),-3.16274 # DEPENDENCYPART_ARC
(23,14),-2.48726 # DEPENDENCYPART_ARC
(23,15),-1.46974 # DEPENDENCYPART_ARC
(23,16),-1.39191 # DEPENDENCYPART_ARC
(23,17),-2.41768 # DEPENDENCYPART_ARC
(23,18),-0.927592 # DEPENDENCYPART_ARC
(23,21),-0.839423 # DEPENDENCYPART_ARC
(23,22),-1.00472 # DEPENDENCYPART_ARC
(23,24),0.239844 # DEPENDENCYPART_ARC
(23,25),-0.699151 # DEPENDENCYPART_ARC
(23,26),-0.391941 # DEPENDENCYPART_ARC
(23,27),-1.5133 # DEPENDENCYPART_ARC
(24,1),-2.3353 # DEPENDENCYPART_ARC
(24,2),-3.5353 # DEPENDENCYPART_ARC
(24,3),-3.87233 # DEPENDENCYPART_ARC
(24,4),-4.62839 # DEPENDENCYPART_ARC
(24,5),-3.04712 # DEPENDENCYPART_ARC
(24,6),-2.51859 # DEPENDENCYPART_ARC
(24,7),-3.00232 # DEPENDENCYPART_ARC
(24,8),-2.44342 # DEPENDENCYPART_ARC
(24,9),-2.44254 # DEPENDENCYPART_ARC
(24,10),-2.83839 # DEPENDENCYPART_ARC
(24,11),-4.05158 # DEPENDENCYPART_ARC
(24,12),-2.19023 # DEPENDENCYPART_ARC
(24,13),-2.20881 # DEPENDENCYPART_ARC
(24,14),-1.80301 # DEPENDENCYPART_ARC
(24,15),-2.77741 # DEPENDENCYPART_ARC
(24,16),-2.67083 # DEPENDENCYPART_ARC
(24,17),-2.73251 # DEPENDENCYPART_ARC
(24,18),-1.7558 # DEPENDENCYPART_ARC
(24,19),-2.33768 # DEPENDENCYPART_ARC
(24,20),-1.3147 # DEPENDENCYPART_ARC
(24,21),-1.72607 # DEPENDENCYPART_ARC
(24,22),-3.50695 # DEPENDENCYPART_ARC
(24,23),0.0526064 # DEPENDENCYPART_ARC
(24,25),-1.46082 # DEPENDENCYPART_ARC
(24,26),-1.40429 # DEPENDENCYPART_ARC
(24,27),-2.13342 # DEPENDENCYPART_ARC
(24,28),-1.23093 # DEPENDENCYPART_ARC
(24,29),-1.5275 # DEPENDENCYPART_ARC
(25,1),-2.21687 # DEPENDENCYPART_ARC
(25,2),-2.61608 # DEPENDENCYPART_ARC
(25,3),-3.50683 # DEPENDENCYPART_ARC
(25,4),-5.30908 # DEPENDENCYPART_ARC
(25,5),-1.21924 # DEPENDENCYPART_ARC
(25,6),-2.84168 # DEPENDENCYPART_ARC
(25,7),-1.70606 # DEPENDENCYPART_ARC
(25,8),-2.49036 # DEPENDENCYPART_ARC
(25,9),-1.5075 # DEPENDENCYPART_ARC
(25,10),-1.85379 # DEPENDENCYPART_ARC
(25,11),-4.0629 # DEPENDENCYPART_ARC
(25,12),-2.19025 # DEPENDENCYPART_ARC
(25,13),-0.489793 # DEPENDENCYPART_ARC
(25,14),-3.11969 # DEPENDENCYPART_ARC
(25,15),-0.398846 # DEPENDENCYPART_ARC
(25,16),-0.448122 # DEPENDENCYPART_ARC
(25,17),-3.54454 # DEPENDENCYPART_ARC
(25,18),-1.05756 # DEPENDENCYPART_ARC
(25,19),-0.824389 # DEPENDENCYPART_ARC
(25,20),1.01692 # DEPENDENCYPART_ARC
(25,21),1.30109 # DEPENDENCYPART_ARC
(25,22),-2.29849 # DEPENDENCYPART_ARC
(25,23),2.94361 # DEPENDENCYPART_ARC
(25,24),4.16999 # DEPENDENCYPART_ARC
(25,26),-0.821477 # DEPENDENCYPART_ARC
(25,27),-1.57668 # DEPENDENCYPART_ARC
(25,28),-1.44491 # DEPENDENCYPART_ARC
(25,29),-0.765249 # DEPENDENCYPART_ARC
(26,1),-1.29086 # DEPENDENCYPART_ARC
(26,2),-1.92182 # DEPENDENCYPART_ARC
(26,3),-2.6075 # DEPENDENCYPART_ARC
(26,4),-2.66708 # DEPENDENCYPART_ARC
(26,5),-1.56382 # DEPENDENCYPART_ARC
(26,6),-1.03563 # DEPENDENCYPART_ARC
(26,7),-1.68003 # DEPENDENCYPART_ARC
(26,8),-1.20673 # DEPENDENCYPART_ARC
(26,9),-1.48947 # DEPENDENCYPART_ARC
(26,10),-1.68541 # DEPENDENCYPART_ARC
(26,11),-1.94933 # DEPENDENCYPART_ARC
(26,12),-0.719827 # DEPENDENCYPART_ARC
(26,13),-0.922766 # DEPENDENCYPART_ARC
(26,14),0.279545 # DEPENDENCYPART_ARC
(26,15),-1.36767 # DEPENDENCYPART_ARC
(26,16),-1.22667 # DEPENDENCYPART_ARC
(26,17),-0.564828 # DEPENDENCYPART_ARC
(26,18),-0.374019 # DEPENDENCYPART_ARC
(26,19),-0.845456 # DEPENDENCYPART_ARC
(26,20),-0.203905 # DEPENDENCYPART_ARC
(26,21),-0.497434 # DEPENDENCYPART_ARC
(26,22),-1.8963 # DEPENDENCYPART_ARC
(26,23),0.321381 # DEPENDENCYPART_ARC
(26,24),0.56381 # DEPENDENCYPART_ARC
(26,25),2.64137 # DEPENDENCYPART_ARC
(26,27),-1.25 # DEPENDENCYPART_ARC
(26,28),-0.594198 # DEPENDENCYPART_ARC
(26,29),-0.680594 # DEPENDENCYPART_ARC
(27,1),-1.31074 # DEPENDENCYPART_ARC
(27,2),-1.22732 # DEPENDENCYPART_ARC
(27,3),-4.42076 # DEPENDENCYPART_ARC
(27,4),-3.12251 # DEPENDENCYPART_ARC
(27,5),-0.710554 # DEPENDENCYPART_ARC
(27,6),-2.76915 # DEPENDENCYPART_ARC
(27,7),-1.1115 # DEPENDENCYPART_ARC
(27,8),-1.92044 # DEPENDENCYPART_ARC
(27,9),-0.748366 # DEPENDENCYPART_ARC
(27,10),-2.9178 # DEPENDENCYPART_ARC
(27,11),-1.93245 # DEPENDENCYPART_ARC
(27,12),-2.08508 # DEPENDENCYPART_ARC
(27,13),-1.49587 # DEPENDENCYPART_ARC
(27,14),-1.51324 # DEPENDENCYPART_ARC
(27,15),-0.577476 # DEPENDENCYPART_ARC
(27,16),-0.59345 # DEPENDENCYPART_ARC
(27,17),-3.19036 # DEPENDENCYPART_ARC
(27,18),-0.591651 # DEPENDENCYPART_ARC
(27,19),-0.0846535 # DEPENDENCYPART_ARC
(27,20),0.0556186 # DEPENDENCYPART_ARC
(27,21),0.581783 # DEPENDENCYPART_ARC
(27,22),-0.711376 # DEPENDENCYPART_ARC
(27,23),0.902981 # DEPENDENCYPART_ARC
(27,24),1.78204 # DEPENDENCYPART_ARC
(27,25),0.436877 # DEPENDENCYPART_ARC
(27,26),3.30132 # DEPENDENCYPART_ARC
(27,28),-1.91617 # DEPENDENCYPART_ARC
(27,29),-1.32317 # DEPENDENCYPART_ARC
(28,1),2.10331 # DEPENDENCYPART_ARC
(28,2),-0.391741 # DEPENDENCYPART_ARC
(28,3),-1.40616 # DEPENDENCYPART_ARC
(28,4),-0.414833 # DEPENDENCYPART_ARC
(28,5),-0.141818 # DEPENDENCYPART_ARC
(28,6),1.02026 # DEPENDENCYPART_ARC
(28,7),-1.13251 # DEPENDENCYPART_ARC
(28,8),0.659604 # DEPENDENCYPART_ARC
(28,9),0.553085 # DEPENDENCYPART_ARC
(28,10),-0.939529 # DEPENDENCYPART_ARC
(28,11),0.582644 # DEPENDENCYPART_ARC
(28,12),1.17663 # DEPENDENCYPART_ARC
(28,13),-0.612611 # DEPENDENCYPART_ARC
(28,14),-1.04195 # DEPENDENCYPART_ARC
(28,15),-0.556322 # DEPENDENCYPART_ARC
(28,16),-0.69664 # DEPENDENCYPART_ARC
(28,17),0.576721 # DEPENDENCYPART_ARC
(28,18),0.985563 # DEPENDENCYPART_ARC
(28,19),2.79962 # DEPENDENCYPART_ARC
(28,20),0.131888 # DEPENDENCYPART_ARC
(28,21),0.137855 # DEPENDENCYPART_ARC
(28,22),2.20938 # DEPENDENCYPART_ARC
(28,23),0.129465 # DEPENDENCYPART_ARC
(28,24),0.28393 # DEPENDENCYPART_ARC
(28,25),1.66618 # DEPENDENCYPART_ARC
(28,26),1.16773 # DEPENDENCYPART_ARC
(28,27),4.44667 # DEPENDENCYPART_ARC
(28,29),1.81245 # DEPENDENCYPART_ARC
