# _root_ 1994-ben Márkus_Gyulával közösen alapítója volt a privatizációk lebonyolítására szakosodott Márkus_Pénzügyi_Gazdasági_Tanácsadó_Kft.-nek , amely utóbb fiktív cégnek bizonyult ( HVG , 1998. február 28. ) .
#goldHeads=5,3,5,5,0,7,8,9,10,5,5,16,16,15,16,5,18,5,18,22,22,18,18,5,
#predictedHeads=5,3,5,5,0,7,8,9,10,5,5,16,16,15,16,5,18,16,18,21,22,18,18,5,
(21,22),-0.290452 # DEPENDENCYPART_ARC
(21,23),-0.0829227 # DEPENDENCYPART_ARC
(21,24),-0.149355 # DEPENDENCYPART_ARC
(22,1),-3.8238 # DEPENDENCYPART_ARC
(22,2),-4.19116 # DEPENDENCYPART_ARC
(22,3),-3.78947 # DEPENDENCYPART_ARC
(22,4),-2.8411 # DEPENDENCYPART_ARC
(22,5),-2.30783 # DEPENDENCYPART_ARC
(22,6),-0.902472 # DEPENDENCYPART_ARC
(22,7),0.392274 # DEPENDENCYPART_ARC
(22,8),-3.52168 # DEPENDENCYPART_ARC
(22,9),-0.0663012 # DEPENDENCYPART_ARC
(22,10),-2.00525 # DEPENDENCYPART_ARC
(22,11),-0.464807 # DEPENDENCYPART_ARC
(22,12),-1.94372 # DEPENDENCYPART_ARC
(22,13),-0.356389 # DEPENDENCYPART_ARC
(22,14),-0.326388 # DEPENDENCYPART_ARC
(22,15),-1.53232 # DEPENDENCYPART_ARC
(22,16),-1.32147 # DEPENDENCYPART_ARC
(22,17),0.686149 # DEPENDENCYPART_ARC
(22,18),1.42221 # DEPENDENCYPART_ARC
(22,19),0.948841 # DEPENDENCYPART_ARC
(22,20),2.27125 # DEPENDENCYPART_ARC
(22,21),4.69198 # DEPENDENCYPART_ARC
(22,23),0.0869422 # DEPENDENCYPART_ARC
(22,24),-0.0858603 # DEPENDENCYPART_ARC
(23,1),-2.42868 # DEPENDENCYPART_ARC
(23,2),-3.12934 # DEPENDENCYPART_ARC
(23,3),-2.43165 # DEPENDENCYPART_ARC
(23,4),-3.03314 # DEPENDENCYPART_ARC
(23,5),-2.26766 # DEPENDENCYPART_ARC
(23,6),-1.84372 # DEPENDENCYPART_ARC
(23,7),-2.92516 # DEPENDENCYPART_ARC
(23,8),-2.89378 # DEPENDENCYPART_ARC
(23,9),-2.20712 # DEPENDENCYPART_ARC
(23,10),-2.98845 # DEPENDENCYPART_ARC
(23,11),-1.61204 # DEPENDENCYPART_ARC
(23,12),-2.01274 # DEPENDENCYPART_ARC
(23,13),-1.80373 # DEPENDENCYPART_ARC
(23,14),-2.0912 # DEPENDENCYPART_ARC
(23,15),-2.57291 # DEPENDENCYPART_ARC
(23,16),-1.6902 # DEPENDENCYPART_ARC
(23,17),-1.06526 # DEPENDENCYPART_ARC
(23,18),-2.33864 # DEPENDENCYPART_ARC
(23,19),-1.04807 # DEPENDENCYPART_ARC
(23,20),-1.12657 # DEPENDENCYPART_ARC
(23,21),-1.5445 # DEPENDENCYPART_ARC
(23,22),-1.11405 # DEPENDENCYPART_ARC
(23,24),-0.584169 # DEPENDENCYPART_ARC
(24,1),-2.81974 # DEPENDENCYPART_ARC
(24,2),-3.723 # DEPENDENCYPART_ARC
(24,3),-2.92013 # DEPENDENCYPART_ARC
(24,4),-3.61515 # DEPENDENCYPART_ARC
(24,5),-2.69172 # DEPENDENCYPART_ARC
(24,6),-2.4683 # DEPENDENCYPART_ARC
(24,7),-3.44476 # DEPENDENCYPART_ARC
(24,8),-3.45756 # DEPENDENCYPART_ARC
(24,9),-2.69579 # DEPENDENCYPART_ARC
(24,10),-3.36533 # DEPENDENCYPART_ARC
(24,11),-2.04965 # DEPENDENCYPART_ARC
(24,12),-2.56145 # DEPENDENCYPART_ARC
(24,13),-2.33204 # DEPENDENCYPART_ARC
(24,14),-2.51382 # DEPENDENCYPART_ARC
(24,15),-3.1265 # DEPENDENCYPART_ARC
(24,16),-2.12381 # DEPENDENCYPART_ARC
(24,17),-1.57532 # DEPENDENCYPART_ARC
(24,18),-2.71549 # DEPENDENCYPART_ARC
(24,19),-1.62939 # DEPENDENCYPART_ARC
(24,20),-1.70265 # DEPENDENCYPART_ARC
(24,21),-2.27181 # DEPENDENCYPART_ARC
(24,22),-2.04404 # DEPENDENCYPART_ARC
(24,23),-0.712306 # DEPENDENCYPART_ARC
