# _root_ Érdekes helyzet volt : a vezetőség nem nagyon éreztette , hogy szükség van rám , és én se nagyon forszíroztam a dolgot .
#goldHeads=2,3,0,3,6,9,9,9,16,9,9,13,9,13,16,3,20,20,20,16,22,20,3,
#predictedHeads=2,3,16,3,6,9,9,9,3,9,9,13,9,13,16,0,20,20,20,16,22,20,16,
(23,3),-3.42545 # DEPENDENCYPART_ARC
(23,4),-2.9166 # DEPENDENCYPART_ARC
(23,5),-3.13897 # DEPENDENCYPART_ARC
(23,6),-4.20086 # DEPENDENCYPART_ARC
(23,7),-3.19182 # DEPENDENCYPART_ARC
(23,8),-3.17533 # DEPENDENCYPART_ARC
(23,9),-3.2524 # DEPENDENCYPART_ARC
(23,10),-2.75889 # DEPENDENCYPART_ARC
(23,11),-2.88008 # DEPENDENCYPART_ARC
(23,12),-4.00774 # DEPENDENCYPART_ARC
(23,13),-3.10776 # DEPENDENCYPART_ARC
(23,14),-2.87027 # DEPENDENCYPART_ARC
(23,15),-2.53126 # DEPENDENCYPART_ARC
(23,16),-2.56478 # DEPENDENCYPART_ARC
(23,17),-2.94886 # DEPENDENCYPART_ARC
(23,18),-2.60216 # DEPENDENCYPART_ARC
(23,19),-2.45545 # DEPENDENCYPART_ARC
(23,20),-2.25655 # DEPENDENCYPART_ARC
(23,21),-1.76475 # DEPENDENCYPART_ARC
(23,22),-2.43706 # DEPENDENCYPART_ARC
