# _root_ De például a májjal már más a helyzet : a sertés mája más enzimeket termel , mint az emberé , más nagyságú vörösvérsejteket hoz létre és így tovább .
#goldHeads=0,6,4,6,6,1,8,6,1,11,12,15,14,15,26,15,15,19,15,26,22,23,24,26,24,1,28,26,1,
#predictedHeads=24,15,4,2,15,8,8,12,1,11,12,15,14,15,1,15,15,19,24,24,24,23,24,26,24,27,0,24,1,
(23,25),-1.11125 # DEPENDENCYPART_ARC
(23,26),-0.743927 # DEPENDENCYPART_ARC
(23,27),-1.06802 # DEPENDENCYPART_ARC
(23,28),-1.24367 # DEPENDENCYPART_ARC
(23,29),-0.923798 # DEPENDENCYPART_ARC
(24,1),1.72209 # DEPENDENCYPART_ARC
(24,2),-0.382117 # DEPENDENCYPART_ARC
(24,3),-1.98629 # DEPENDENCYPART_ARC
(24,4),-1.10005 # DEPENDENCYPART_ARC
(24,5),-0.175308 # DEPENDENCYPART_ARC
(24,6),-2.29649 # DEPENDENCYPART_ARC
(24,7),-1.65141 # DEPENDENCYPART_ARC
(24,8),-1.10085 # DEPENDENCYPART_ARC
(24,9),0.287716 # DEPENDENCYPART_ARC
(24,10),-1.45021 # DEPENDENCYPART_ARC
(24,11),-0.24706 # DEPENDENCYPART_ARC
(24,12),0.380972 # DEPENDENCYPART_ARC
(24,13),-1.7135 # DEPENDENCYPART_ARC
(24,14),0.157341 # DEPENDENCYPART_ARC
(24,15),-0.73016 # DEPENDENCYPART_ARC
(24,16),0.86422 # DEPENDENCYPART_ARC
(24,17),0.628714 # DEPENDENCYPART_ARC
(24,18),-0.510253 # DEPENDENCYPART_ARC
(24,19),0.621228 # DEPENDENCYPART_ARC
(24,20),0.919922 # DEPENDENCYPART_ARC
(24,21),1.6484 # DEPENDENCYPART_ARC
(24,22),0.668068 # DEPENDENCYPART_ARC
(24,23),2.34486 # DEPENDENCYPART_ARC
(24,25),2.61033 # DEPENDENCYPART_ARC
(24,26),0.907483 # DEPENDENCYPART_ARC
(24,27),0.581923 # DEPENDENCYPART_ARC
(24,28),1.02535 # DEPENDENCYPART_ARC
(24,29),1.50334 # DEPENDENCYPART_ARC
(25,1),-2.0634 # DEPENDENCYPART_ARC
(25,2),-2.43222 # DEPENDENCYPART_ARC
(25,4),-2.36844 # DEPENDENCYPART_ARC
(25,5),-1.88426 # DEPENDENCYPART_ARC
(25,8),-2.21091 # DEPENDENCYPART_ARC
(25,9),-2.00118 # DEPENDENCYPART_ARC
(25,11),-1.71893 # DEPENDENCYPART_ARC
(25,12),-1.90789 # DEPENDENCYPART_ARC
(25,14),-1.63283 # DEPENDENCYPART_ARC
(25,15),-1.41485 # DEPENDENCYPART_ARC
(25,16),-1.14489 # DEPENDENCYPART_ARC
(25,17),-0.87973 # DEPENDENCYPART_ARC
(25,19),-1.23088 # DEPENDENCYPART_ARC
(25,20),-1.20147 # DEPENDENCYPART_ARC
(25,22),-0.652123 # DEPENDENCYPART_ARC
(25,23),-0.340908 # DEPENDENCYPART_ARC
(25,24),-0.153826 # DEPENDENCYPART_ARC
(25,26),-0.871325 # DEPENDENCYPART_ARC
(25,28),-1.46784 # DEPENDENCYPART_ARC
(25,29),-1.23712 # DEPENDENCYPART_ARC
(26,1),1.2146 # DEPENDENCYPART_ARC
(26,2),-1.20078 # DEPENDENCYPART_ARC
(26,3),-2.29444 # DEPENDENCYPART_ARC
(26,4),-1.15441 # DEPENDENCYPART_ARC
(26,5),-1.62422 # DEPENDENCYPART_ARC
(26,6),-1.2703 # DEPENDENCYPART_ARC
(26,7),-1.93308 # DEPENDENCYPART_ARC
(26,8),-1.0486 # DEPENDENCYPART_ARC
(26,9),0.18255 # DEPENDENCYPART_ARC
(26,10),-1.78233 # DEPENDENCYPART_ARC
(26,11),-1.26332 # DEPENDENCYPART_ARC
(26,12),-1.18845 # DEPENDENCYPART_ARC
(26,13),-1.34734 # DEPENDENCYPART_ARC
(26,14),-1.52305 # DEPENDENCYPART_ARC
(26,15),0.161954 # DEPENDENCYPART_ARC
(26,16),0.783845 # DEPENDENCYPART_ARC
(26,17),0.505191 # DEPENDENCYPART_ARC
(26,18),-0.772745 # DEPENDENCYPART_ARC
(26,19),-1.10564 # DEPENDENCYPART_ARC
(26,20),0.706939 # DEPENDENCYPART_ARC
(26,21),-0.86898 # DEPENDENCYPART_ARC
(26,22),-0.466255 # DEPENDENCYPART_ARC
(26,23),-0.717366 # DEPENDENCYPART_ARC
(26,24),1.21617 # DEPENDENCYPART_ARC
(26,27),-0.32304 # DEPENDENCYPART_ARC
(26,28),-0.235662 # DEPENDENCYPART_ARC
(26,29),1.13777 # DEPENDENCYPART_ARC
(27,1),-0.926929 # DEPENDENCYPART_ARC
(27,2),-2.71401 # DEPENDENCYPART_ARC
(27,4),-1.58155 # DEPENDENCYPART_ARC
(27,5),-2.62866 # DEPENDENCYPART_ARC
(27,8),-1.39152 # DEPENDENCYPART_ARC
(27,9),-1.07251 # DEPENDENCYPART_ARC
(27,11),-1.24831 # DEPENDENCYPART_ARC
(27,12),-1.43361 # DEPENDENCYPART_ARC
(27,14),-1.16181 # DEPENDENCYPART_ARC
(27,15),-0.75061 # DEPENDENCYPART_ARC
(27,16),-0.621453 # DEPENDENCYPART_ARC
(27,17),-0.608637 # DEPENDENCYPART_ARC
(27,19),-0.916723 # DEPENDENCYPART_ARC
(27,20),-0.395604 # DEPENDENCYPART_ARC
(27,22),-0.806247 # DEPENDENCYPART_ARC
(27,23),-0.373803 # DEPENDENCYPART_ARC
(27,24),0.140352 # DEPENDENCYPART_ARC
(27,26),0.578114 # DEPENDENCYPART_ARC
(27,28),-0.15711 # DEPENDENCYPART_ARC
(27,29),0.362848 # DEPENDENCYPART_ARC
(28,1),-1.15641 # DEPENDENCYPART_ARC
(28,2),-1.65884 # DEPENDENCYPART_ARC
(28,3),-2.14672 # DEPENDENCYPART_ARC
(28,4),-1.52008 # DEPENDENCYPART_ARC
(28,5),-1.55917 # DEPENDENCYPART_ARC
(28,6),-2.05606 # DEPENDENCYPART_ARC
(28,7),-1.96816 # DEPENDENCYPART_ARC
(28,8),-1.43865 # DEPENDENCYPART_ARC
(28,9),-1.03676 # DEPENDENCYPART_ARC
(28,10),-1.55391 # DEPENDENCYPART_ARC
(28,11),-0.992621 # DEPENDENCYPART_ARC
(28,12),-1.19688 # DEPENDENCYPART_ARC
(28,13),-1.17481 # DEPENDENCYPART_ARC
(28,14),-0.886954 # DEPENDENCYPART_ARC
(28,15),-0.346073 # DEPENDENCYPART_ARC
(28,16),-0.228425 # DEPENDENCYPART_ARC
(28,17),-0.14554 # DEPENDENCYPART_ARC
(28,18),-0.846449 # DEPENDENCYPART_ARC
(28,19),-0.542536 # DEPENDENCYPART_ARC
(28,20),-0.119158 # DEPENDENCYPART_ARC
(28,21),-0.276324 # DEPENDENCYPART_ARC
(28,22),-0.0961545 # DEPENDENCYPART_ARC
(28,23),0.137193 # DEPENDENCYPART_ARC
(28,24),0.290639 # DEPENDENCYPART_ARC
(28,25),0.920386 # DEPENDENCYPART_ARC
(28,26),0.722966 # DEPENDENCYPART_ARC
(28,27),1.46594 # DEPENDENCYPART_ARC
(28,29),1.12914 # DEPENDENCYPART_ARC
