# _root_ A társadalmi munkákat halmozó Kukorelli a Magyar_Politikatudományi_Társaság , a Független_Jogász_Fórum és a Népfőiskolai_Társaság tagja , emellett több tanácsadó testület és kodifikációs bizottság munkájában is közreműködik .
#goldHeads=5,3,4,5,0,7,14,14,10,14,14,13,14,5,5,25,19,19,23,23,22,23,25,25,5,5,
#predictedHeads=3,3,4,5,25,7,25,25,10,14,14,13,14,25,25,25,19,19,25,23,22,23,25,25,0,25,
(23,21),1.55855 # DEPENDENCYPART_ARC
(23,22),3.44411 # DEPENDENCYPART_ARC
(23,24),-0.880854 # DEPENDENCYPART_ARC
(23,25),-1.61023 # DEPENDENCYPART_ARC
(23,26),-0.772871 # DEPENDENCYPART_ARC
(24,1),-2.90863 # DEPENDENCYPART_ARC
(24,2),-1.1087 # DEPENDENCYPART_ARC
(24,3),-1.55425 # DEPENDENCYPART_ARC
(24,4),-1.02112 # DEPENDENCYPART_ARC
(24,5),-1.18511 # DEPENDENCYPART_ARC
(24,6),-2.42635 # DEPENDENCYPART_ARC
(24,7),-1.24194 # DEPENDENCYPART_ARC
(24,8),-0.852339 # DEPENDENCYPART_ARC
(24,9),-2.16081 # DEPENDENCYPART_ARC
(24,10),-1.30782 # DEPENDENCYPART_ARC
(24,11),-0.96078 # DEPENDENCYPART_ARC
(24,12),-1.96955 # DEPENDENCYPART_ARC
(24,13),-1.08407 # DEPENDENCYPART_ARC
(24,14),-1.31301 # DEPENDENCYPART_ARC
(24,15),-0.29269 # DEPENDENCYPART_ARC
(24,16),-0.544564 # DEPENDENCYPART_ARC
(24,17),-0.571916 # DEPENDENCYPART_ARC
(24,18),-0.72772 # DEPENDENCYPART_ARC
(24,19),-1.20294 # DEPENDENCYPART_ARC
(24,20),-0.248544 # DEPENDENCYPART_ARC
(24,21),-0.26072 # DEPENDENCYPART_ARC
(24,22),-0.708503 # DEPENDENCYPART_ARC
(24,23),-0.203423 # DEPENDENCYPART_ARC
(24,25),-0.0838054 # DEPENDENCYPART_ARC
(24,26),-0.406906 # DEPENDENCYPART_ARC
(25,1),-0.598785 # DEPENDENCYPART_ARC
(25,2),-0.821675 # DEPENDENCYPART_ARC
(25,3),-0.429332 # DEPENDENCYPART_ARC
(25,4),-0.577619 # DEPENDENCYPART_ARC
(25,5),1.58033 # DEPENDENCYPART_ARC
(25,6),-0.585491 # DEPENDENCYPART_ARC
(25,7),0.414083 # DEPENDENCYPART_ARC
(25,8),0.935015 # DEPENDENCYPART_ARC
(25,9),-0.528115 # DEPENDENCYPART_ARC
(25,10),1.14593 # DEPENDENCYPART_ARC
(25,11),0.670599 # DEPENDENCYPART_ARC
(25,12),-0.478412 # DEPENDENCYPART_ARC
(25,13),0.973142 # DEPENDENCYPART_ARC
(25,14),0.865444 # DEPENDENCYPART_ARC
(25,15),0.952151 # DEPENDENCYPART_ARC
(25,16),1.4985 # DEPENDENCYPART_ARC
(25,17),-0.258386 # DEPENDENCYPART_ARC
(25,18),0.0163706 # DEPENDENCYPART_ARC
(25,19),2.09682 # DEPENDENCYPART_ARC
(25,20),1.29694 # DEPENDENCYPART_ARC
(25,21),0.509802 # DEPENDENCYPART_ARC
(25,22),2.43537 # DEPENDENCYPART_ARC
(25,23),3.08682 # DEPENDENCYPART_ARC
(25,24),3.22461 # DEPENDENCYPART_ARC
(25,26),1.36526 # DEPENDENCYPART_ARC
