# _root_ Azt azonban elárulja , hogy az áremelés lehetetlen helyzetbe hozná a csapat költségvetését , hiszen a teljes kézilabdapénz egynegyedét a két kubai játékosra kellene fordítani .
#goldHeads=3,3,0,3,3,7,10,9,10,1,12,13,10,1,1,18,18,19,25,23,23,23,25,1,24,3,
#predictedHeads=3,3,0,3,3,7,10,9,10,1,12,13,10,15,10,18,18,19,25,23,23,23,25,1,24,15,
(20,6),-1.48323 # DEPENDENCYPART_ARC
(20,7),-2.78325 # DEPENDENCYPART_ARC
(20,8),-1.59452 # DEPENDENCYPART_ARC
(20,9),-2.7009 # DEPENDENCYPART_ARC
(20,10),-1.75939 # DEPENDENCYPART_ARC
(20,11),-1.10636 # DEPENDENCYPART_ARC
(20,12),-2.31044 # DEPENDENCYPART_ARC
(20,13),-2.56922 # DEPENDENCYPART_ARC
(20,14),-0.551357 # DEPENDENCYPART_ARC
(20,15),-0.826463 # DEPENDENCYPART_ARC
(20,16),-0.823481 # DEPENDENCYPART_ARC
(20,17),-0.826294 # DEPENDENCYPART_ARC
(20,18),-1.54505 # DEPENDENCYPART_ARC
(20,19),-0.0826366 # DEPENDENCYPART_ARC
(20,21),0.464044 # DEPENDENCYPART_ARC
(20,22),0.504945 # DEPENDENCYPART_ARC
(20,23),-0.707525 # DEPENDENCYPART_ARC
(20,24),-0.664298 # DEPENDENCYPART_ARC
(20,25),-0.507456 # DEPENDENCYPART_ARC
(20,26),-0.748888 # DEPENDENCYPART_ARC
(21,1),-2.65359 # DEPENDENCYPART_ARC
(21,2),-2.26015 # DEPENDENCYPART_ARC
(21,3),-2.82181 # DEPENDENCYPART_ARC
(21,4),-2.95591 # DEPENDENCYPART_ARC
(21,5),-1.79447 # DEPENDENCYPART_ARC
(21,6),-1.55903 # DEPENDENCYPART_ARC
(21,7),-2.5462 # DEPENDENCYPART_ARC
(21,8),-2.4287 # DEPENDENCYPART_ARC
(21,9),-2.91344 # DEPENDENCYPART_ARC
(21,10),-2.33402 # DEPENDENCYPART_ARC
(21,11),-1.12332 # DEPENDENCYPART_ARC
(21,12),-1.88229 # DEPENDENCYPART_ARC
(21,13),-2.74551 # DEPENDENCYPART_ARC
(21,14),-1.44396 # DEPENDENCYPART_ARC
(21,15),-1.46259 # DEPENDENCYPART_ARC
(21,16),-0.839704 # DEPENDENCYPART_ARC
(21,17),-1.56825 # DEPENDENCYPART_ARC
(21,18),-1.1503 # DEPENDENCYPART_ARC
(21,19),-1.21386 # DEPENDENCYPART_ARC
(21,20),0.541192 # DEPENDENCYPART_ARC
(21,22),-0.613962 # DEPENDENCYPART_ARC
(21,23),-0.920917 # DEPENDENCYPART_ARC
(21,24),-0.849814 # DEPENDENCYPART_ARC
(21,25),-1.13724 # DEPENDENCYPART_ARC
(21,26),-0.610719 # DEPENDENCYPART_ARC
(22,1),-1.98821 # DEPENDENCYPART_ARC
(22,2),-0.970786 # DEPENDENCYPART_ARC
(22,3),-1.52725 # DEPENDENCYPART_ARC
(22,4),-1.55985 # DEPENDENCYPART_ARC
(22,5),-1.0764 # DEPENDENCYPART_ARC
(22,6),-1.45239 # DEPENDENCYPART_ARC
(22,7),-2.42233 # DEPENDENCYPART_ARC
(22,8),-2.67739 # DEPENDENCYPART_ARC
(22,9),-2.16643 # DEPENDENCYPART_ARC
(22,10),-1.05273 # DEPENDENCYPART_ARC
(22,11),-1.25218 # DEPENDENCYPART_ARC
(22,12),-1.83565 # DEPENDENCYPART_ARC
(22,13),-1.79011 # DEPENDENCYPART_ARC
(22,14),-0.64711 # DEPENDENCYPART_ARC
(22,15),-0.66108 # DEPENDENCYPART_ARC
(22,16),-0.615534 # DEPENDENCYPART_ARC
(22,17),-0.986841 # DEPENDENCYPART_ARC
(22,18),-1.60162 # DEPENDENCYPART_ARC
(22,19),-0.0922015 # DEPENDENCYPART_ARC
(22,20),0.267999 # DEPENDENCYPART_ARC
(22,21),1.63365 # DEPENDENCYPART_ARC
(22,23),-0.277207 # DEPENDENCYPART_ARC
(22,24),-0.232039 # DEPENDENCYPART_ARC
(22,25),-0.925017 # DEPENDENCYPART_ARC
(22,26),-0.554746 # DEPENDENCYPART_ARC
(23,1),-2.25902 # DEPENDENCYPART_ARC
(23,2),-1.72416 # DEPENDENCYPART_ARC
(23,3),-2.32394 # DEPENDENCYPART_ARC
(23,4),-1.73553 # DEPENDENCYPART_ARC
(23,5),-1.28819 # DEPENDENCYPART_ARC
(23,6),-1.60173 # DEPENDENCYPART_ARC
(23,7),-3.11182 # DEPENDENCYPART_ARC
(23,8),-1.36751 # DEPENDENCYPART_ARC
(23,9),-4.00761 # DEPENDENCYPART_ARC
(23,10),-1.35104 # DEPENDENCYPART_ARC
(23,11),-0.220437 # DEPENDENCYPART_ARC
(23,12),-0.676011 # DEPENDENCYPART_ARC
(23,13),-4.43016 # DEPENDENCYPART_ARC
(23,14),-0.348711 # DEPENDENCYPART_ARC
(23,15),0.0507132 # DEPENDENCYPART_ARC
(23,16),1.29546 # DEPENDENCYPART_ARC
(23,17),0.999509 # DEPENDENCYPART_ARC
(23,18),-0.217552 # DEPENDENCYPART_ARC
(23,19),-0.740228 # DEPENDENCYPART_ARC
(23,20),2.37229 # DEPENDENCYPART_ARC
(23,21),2.87383 # DEPENDENCYPART_ARC
(23,22),3.91879 # DEPENDENCYPART_ARC
(23,24),-0.856308 # DEPENDENCYPART_ARC
(23,25),-0.607349 # DEPENDENCYPART_ARC
(23,26),-0.141934 # DEPENDENCYPART_ARC
(24,1),-1.49581 # DEPENDENCYPART_ARC
(24,2),1.0896 # DEPENDENCYPART_ARC
(24,3),-0.473507 # DEPENDENCYPART_ARC
(24,4),0.442161 # DEPENDENCYPART_ARC
(24,5),0.146436 # DEPENDENCYPART_ARC
(24,6),-0.926276 # DEPENDENCYPART_ARC
(24,7),-0.566127 # DEPENDENCYPART_ARC
(24,8),-1.48247 # DEPENDENCYPART_ARC
(24,9),-1.00152 # DEPENDENCYPART_ARC
(24,10),0.357077 # DEPENDENCYPART_ARC
(24,11),-0.800429 # DEPENDENCYPART_ARC
(24,12),-0.194393 # DEPENDENCYPART_ARC
(24,13),-1.25517 # DEPENDENCYPART_ARC
(24,14),0.783993 # DEPENDENCYPART_ARC
(24,15),0.657641 # DEPENDENCYPART_ARC
(24,16),-0.590175 # DEPENDENCYPART_ARC
(24,17),-0.907029 # DEPENDENCYPART_ARC
(24,18),0.703135 # DEPENDENCYPART_ARC
(24,19),1.46003 # DEPENDENCYPART_ARC
(24,20),-0.435393 # DEPENDENCYPART_ARC
(24,21),-0.106173 # DEPENDENCYPART_ARC
(24,22),0.0165105 # DEPENDENCYPART_ARC
(24,23),1.76124 # DEPENDENCYPART_ARC
(24,25),4.28066 # DEPENDENCYPART_ARC
(24,26),2.13841 # DEPENDENCYPART_ARC
(25,1),0.97842 # DEPENDENCYPART_ARC
(25,2),-0.202233 # DEPENDENCYPART_ARC
(25,3),-0.425494 # DEPENDENCYPART_ARC
(25,4),0.111978 # DEPENDENCYPART_ARC
(25,5),-0.0962858 # DEPENDENCYPART_ARC
(25,6),-0.121418 # DEPENDENCYPART_ARC
(25,7),-0.883458 # DEPENDENCYPART_ARC
(25,8),-0.0855281 # DEPENDENCYPART_ARC
(25,9),1.62979 # DEPENDENCYPART_ARC
(25,10),-0.34735 # DEPENDENCYPART_ARC
(25,11),-0.309927 # DEPENDENCYPART_ARC
(25,12),-0.440318 # DEPENDENCYPART_ARC
(25,13),1.57486 # DEPENDENCYPART_ARC
(25,14),0.659191 # DEPENDENCYPART_ARC
(25,15),0.19684 # DEPENDENCYPART_ARC
(25,16),-0.150651 # DEPENDENCYPART_ARC
(25,17),0.338361 # DEPENDENCYPART_ARC
(25,18),0.597938 # DEPENDENCYPART_ARC
(25,19),2.24472 # DEPENDENCYPART_ARC
(25,20),-0.132335 # DEPENDENCYPART_ARC
(25,21),0.633503 # DEPENDENCYPART_ARC
(25,22),0.998965 # DEPENDENCYPART_ARC
(25,23),3.41534 # DEPENDENCYPART_ARC
(25,24),1.35178 # DEPENDENCYPART_ARC
(25,26),0.450527 # DEPENDENCYPART_ARC
(26,1),-4.05984 # DEPENDENCYPART_ARC
(26,2),-3.70838 # DEPENDENCYPART_ARC
(26,3),-3.81297 # DEPENDENCYPART_ARC
(26,4),-3.48947 # DEPENDENCYPART_ARC
(26,5),-3.5677 # DEPENDENCYPART_ARC
(26,6),-3.45238 # DEPENDENCYPART_ARC
(26,7),-4.51262 # DEPENDENCYPART_ARC
(26,8),-3.75082 # DEPENDENCYPART_ARC
(26,9),-4.45701 # DEPENDENCYPART_ARC
(26,10),-3.66102 # DEPENDENCYPART_ARC
(26,11),-3.39626 # DEPENDENCYPART_ARC
(26,12),-4.37021 # DEPENDENCYPART_ARC
(26,13),-4.31581 # DEPENDENCYPART_ARC
(26,14),-3.05789 # DEPENDENCYPART_ARC
(26,15),-3.15585 # DEPENDENCYPART_ARC
(26,16),-3.22023 # DEPENDENCYPART_ARC
(26,17),-3.49067 # DEPENDENCYPART_ARC
(26,18),-4.09274 # DEPENDENCYPART_ARC
(26,19),-3.21254 # DEPENDENCYPART_ARC
(26,20),-3.0291 # DEPENDENCYPART_ARC
(26,21),-3.12924 # DEPENDENCYPART_ARC
(26,22),-3.15233 # DEPENDENCYPART_ARC
(26,23),-3.5384 # DEPENDENCYPART_ARC
(26,24),-2.62474 # DEPENDENCYPART_ARC
(26,25),-1.68031 # DEPENDENCYPART_ARC
