# _root_ A junior lányok versenyén Mester_Orsolyáé ( 347 ) az első hely , a fiúk között Dienes_Miklósé ( 505 ) , aki mögött Varga_Zoltán a harmadik lett ( 495 ) .
#goldHeads=3,3,4,5,0,7,5,7,11,11,5,5,14,15,16,5,18,16,18,16,22,26,26,25,26,16,28,26,28,5,
#predictedHeads=3,3,4,5,0,7,11,7,11,11,15,15,14,15,16,18,18,5,18,16,22,26,26,25,26,16,28,26,28,26,
(26,16),-0.0524593 # DEPENDENCYPART_ARC
(26,17),0.254298 # DEPENDENCYPART_ARC
(26,18),-0.752007 # DEPENDENCYPART_ARC
(26,19),-0.16712 # DEPENDENCYPART_ARC
(26,20),0.543287 # DEPENDENCYPART_ARC
(26,21),1.56258 # DEPENDENCYPART_ARC
(26,22),1.93555 # DEPENDENCYPART_ARC
(26,23),2.49441 # DEPENDENCYPART_ARC
(26,24),0.149203 # DEPENDENCYPART_ARC
(26,25),1.58377 # DEPENDENCYPART_ARC
(26,27),1.13232 # DEPENDENCYPART_ARC
(26,28),0.414172 # DEPENDENCYPART_ARC
(26,29),0.853975 # DEPENDENCYPART_ARC
(26,30),2.10938 # DEPENDENCYPART_ARC
(28,1),-1.14193 # DEPENDENCYPART_ARC
(28,2),-1.78003 # DEPENDENCYPART_ARC
(28,3),-1.71306 # DEPENDENCYPART_ARC
(28,4),-2.3697 # DEPENDENCYPART_ARC
(28,5),-1.56281 # DEPENDENCYPART_ARC
(28,6),-0.447937 # DEPENDENCYPART_ARC
(28,7),-1.34222 # DEPENDENCYPART_ARC
(28,8),-0.720844 # DEPENDENCYPART_ARC
(28,9),-1.25451 # DEPENDENCYPART_ARC
(28,10),-1.11597 # DEPENDENCYPART_ARC
(28,11),-1.416 # DEPENDENCYPART_ARC
(28,12),-0.827902 # DEPENDENCYPART_ARC
(28,13),-0.884019 # DEPENDENCYPART_ARC
(28,14),-1.085 # DEPENDENCYPART_ARC
(28,15),-0.514147 # DEPENDENCYPART_ARC
(28,16),-1.03128 # DEPENDENCYPART_ARC
(28,17),0.216184 # DEPENDENCYPART_ARC
(28,18),-0.709766 # DEPENDENCYPART_ARC
(28,19),-0.13623 # DEPENDENCYPART_ARC
(28,20),-0.359113 # DEPENDENCYPART_ARC
(28,21),-0.351566 # DEPENDENCYPART_ARC
(28,22),-0.296391 # DEPENDENCYPART_ARC
(28,23),-0.25866 # DEPENDENCYPART_ARC
(28,24),-0.228735 # DEPENDENCYPART_ARC
(28,25),-0.0129303 # DEPENDENCYPART_ARC
(28,26),0.513925 # DEPENDENCYPART_ARC
(28,27),1.32832 # DEPENDENCYPART_ARC
(28,29),1.32242 # DEPENDENCYPART_ARC
(28,30),0.0738505 # DEPENDENCYPART_ARC
