# _root_ — A kérdés provokatív , ám — bár ezt senki nem mondta ki — a le nem fektetett etikai normákból kiolvasható , hogy egy MÁV-vezérnek nem illik lecövekelni egyetlen párt mellé sem .
#goldHeads=6,3,4,6,6,0,23,23,12,12,12,23,12,23,20,18,18,20,20,23,23,23,6,25,28,27,23,27,30,31,28,27,6,
#predictedHeads=12,3,4,8,6,0,8,6,12,12,12,6,12,12,20,18,23,20,20,21,23,12,12,25,27,27,23,27,30,31,28,28,6,
(15,24),-0.601952 # DEPENDENCYPART_ARC
(15,25),-1.32363 # DEPENDENCYPART_ARC
(15,26),-0.644684 # DEPENDENCYPART_ARC
(15,27),-1.14911 # DEPENDENCYPART_ARC
(15,28),-0.914319 # DEPENDENCYPART_ARC
(15,29),-0.549896 # DEPENDENCYPART_ARC
(15,30),-1.3858 # DEPENDENCYPART_ARC
(15,31),-0.751381 # DEPENDENCYPART_ARC
(15,32),-0.658248 # DEPENDENCYPART_ARC
(15,33),-1.40672 # DEPENDENCYPART_ARC
(16,1),-0.609858 # DEPENDENCYPART_ARC
(16,2),-1.48753 # DEPENDENCYPART_ARC
(16,3),-1.58159 # DEPENDENCYPART_ARC
(16,4),-1.34062 # DEPENDENCYPART_ARC
(16,5),-0.704096 # DEPENDENCYPART_ARC
(16,6),-0.612923 # DEPENDENCYPART_ARC
(16,7),-0.378238 # DEPENDENCYPART_ARC
(16,8),-0.393349 # DEPENDENCYPART_ARC
(16,9),-0.916282 # DEPENDENCYPART_ARC
(16,10),-0.816039 # DEPENDENCYPART_ARC
(16,11),-0.492309 # DEPENDENCYPART_ARC
(16,12),-0.285788 # DEPENDENCYPART_ARC
(16,13),-0.0842542 # DEPENDENCYPART_ARC
(16,14),-0.082461 # DEPENDENCYPART_ARC
(16,15),0.98155 # DEPENDENCYPART_ARC
(16,17),0.0997955 # DEPENDENCYPART_ARC
(16,18),0.262869 # DEPENDENCYPART_ARC
(16,19),0.0594507 # DEPENDENCYPART_ARC
(16,20),-0.110781 # DEPENDENCYPART_ARC
(16,21),-0.213996 # DEPENDENCYPART_ARC
(16,22),-0.0559942 # DEPENDENCYPART_ARC
(16,23),-0.0341522 # DEPENDENCYPART_ARC
(16,24),-0.760019 # DEPENDENCYPART_ARC
(16,25),-0.804152 # DEPENDENCYPART_ARC
(16,26),-0.652078 # DEPENDENCYPART_ARC
(16,27),-0.397568 # DEPENDENCYPART_ARC
(16,28),-0.737148 # DEPENDENCYPART_ARC
(16,29),-0.834495 # DEPENDENCYPART_ARC
(16,30),-1.32425 # DEPENDENCYPART_ARC
(16,31),-0.312874 # DEPENDENCYPART_ARC
(16,32),-0.72669 # DEPENDENCYPART_ARC
(16,33),0.0813425 # DEPENDENCYPART_ARC
(17,1),-0.240333 # DEPENDENCYPART_ARC
(17,2),-1.59896 # DEPENDENCYPART_ARC
(17,3),-1.06964 # DEPENDENCYPART_ARC
(17,4),-1.3274 # DEPENDENCYPART_ARC
(17,5),0.0241347 # DEPENDENCYPART_ARC
(17,6),-0.502264 # DEPENDENCYPART_ARC
(17,7),0.0492978 # DEPENDENCYPART_ARC
(17,8),-0.177386 # DEPENDENCYPART_ARC
(17,9),-0.778946 # DEPENDENCYPART_ARC
(17,10),-0.645502 # DEPENDENCYPART_ARC
(17,11),-0.445351 # DEPENDENCYPART_ARC
(17,12),-0.101814 # DEPENDENCYPART_ARC
(17,13),-0.208491 # DEPENDENCYPART_ARC
(17,14),0.40857 # DEPENDENCYPART_ARC
(17,15),0.0593674 # DEPENDENCYPART_ARC
(17,16),0.699342 # DEPENDENCYPART_ARC
(17,18),0.338884 # DEPENDENCYPART_ARC
(17,19),0.428712 # DEPENDENCYPART_ARC
(17,20),0.0836654 # DEPENDENCYPART_ARC
(17,21),-0.0206208 # DEPENDENCYPART_ARC
(17,22),-0.0132661 # DEPENDENCYPART_ARC
(17,23),-0.0774168 # DEPENDENCYPART_ARC
(17,24),-0.731683 # DEPENDENCYPART_ARC
(17,25),-0.879536 # DEPENDENCYPART_ARC
(17,26),-0.702152 # DEPENDENCYPART_ARC
(17,27),-0.432872 # DEPENDENCYPART_ARC
(17,28),-0.816383 # DEPENDENCYPART_ARC
(17,29),-0.772169 # DEPENDENCYPART_ARC
(17,30),-1.43459 # DEPENDENCYPART_ARC
(17,31),-0.23767 # DEPENDENCYPART_ARC
(17,32),-0.74104 # DEPENDENCYPART_ARC
(17,33),0.265563 # DEPENDENCYPART_ARC
(18,1),-0.495774 # DEPENDENCYPART_ARC
(18,2),-1.74428 # DEPENDENCYPART_ARC
(18,3),-2.27064 # DEPENDENCYPART_ARC
(18,4),-1.6905 # DEPENDENCYPART_ARC
(18,5),-0.803017 # DEPENDENCYPART_ARC
(18,6),-0.438446 # DEPENDENCYPART_ARC
(18,7),-0.452057 # DEPENDENCYPART_ARC
(18,8),0.0420701 # DEPENDENCYPART_ARC
(18,9),-0.631793 # DEPENDENCYPART_ARC
(18,10),-0.793354 # DEPENDENCYPART_ARC
(18,11),-0.597064 # DEPENDENCYPART_ARC
(18,12),-0.384999 # DEPENDENCYPART_ARC
(18,13),0.37912 # DEPENDENCYPART_ARC
(18,14),0.388029 # DEPENDENCYPART_ARC
(18,15),0.226635 # DEPENDENCYPART_ARC
(18,16),2.13245 # DEPENDENCYPART_ARC
(18,17),1.75186 # DEPENDENCYPART_ARC
(18,19),-0.245139 # DEPENDENCYPART_ARC
(18,20),-0.567978 # DEPENDENCYPART_ARC
(18,21),-0.607044 # DEPENDENCYPART_ARC
(18,22),-0.168397 # DEPENDENCYPART_ARC
(18,23),-0.599643 # DEPENDENCYPART_ARC
(18,24),-0.709248 # DEPENDENCYPART_ARC
(18,25),-1.2445 # DEPENDENCYPART_ARC
(18,26),-0.592512 # DEPENDENCYPART_ARC
(18,27),-0.486653 # DEPENDENCYPART_ARC
(18,28),-0.69203 # DEPENDENCYPART_ARC
(18,29),-0.594836 # DEPENDENCYPART_ARC
(18,30),-1.41908 # DEPENDENCYPART_ARC
(18,31),-0.63963 # DEPENDENCYPART_ARC
(18,32),-1.0474 # DEPENDENCYPART_ARC
(18,33),0.479459 # DEPENDENCYPART_ARC
(19,1),-0.900724 # DEPENDENCYPART_ARC
(19,2),-1.96047 # DEPENDENCYPART_ARC
(19,3),-2.73718 # DEPENDENCYPART_ARC
(19,4),-2.04858 # DEPENDENCYPART_ARC
(19,5),-1.12676 # DEPENDENCYPART_ARC
(19,6),-0.908907 # DEPENDENCYPART_ARC
(19,7),-0.837862 # DEPENDENCYPART_ARC
(19,8),-0.571462 # DEPENDENCYPART_ARC
(19,9),-1.03678 # DEPENDENCYPART_ARC
(19,10),-1.27707 # DEPENDENCYPART_ARC
(19,11),-0.848608 # DEPENDENCYPART_ARC
(19,12),-0.836705 # DEPENDENCYPART_ARC
(19,13),-0.258186 # DEPENDENCYPART_ARC
(19,14),-0.13291 # DEPENDENCYPART_ARC
(19,15),-0.234464 # DEPENDENCYPART_ARC
(19,16),1.41897 # DEPENDENCYPART_ARC
(19,17),0.925752 # DEPENDENCYPART_ARC
(19,18),1.57569 # DEPENDENCYPART_ARC
(19,20),-0.948338 # DEPENDENCYPART_ARC
(19,21),-0.868254 # DEPENDENCYPART_ARC
(19,22),-0.543683 # DEPENDENCYPART_ARC
(19,23),-1.00417 # DEPENDENCYPART_ARC
(19,24),-1.21686 # DEPENDENCYPART_ARC
(19,25),-1.74267 # DEPENDENCYPART_ARC
(19,26),-1.08208 # DEPENDENCYPART_ARC
(19,27),-1.06502 # DEPENDENCYPART_ARC
(19,28),-1.27363 # DEPENDENCYPART_ARC
(19,29),-1.00226 # DEPENDENCYPART_ARC
(19,30),-1.90355 # DEPENDENCYPART_ARC
(19,31),-1.12802 # DEPENDENCYPART_ARC
(19,32),-1.54587 # DEPENDENCYPART_ARC
(19,33),-0.185054 # DEPENDENCYPART_ARC
(20,1),-0.998358 # DEPENDENCYPART_ARC
(20,2),-1.10491 # DEPENDENCYPART_ARC
(20,3),-2.78107 # DEPENDENCYPART_ARC
(20,4),-0.680538 # DEPENDENCYPART_ARC
(20,5),-0.687919 # DEPENDENCYPART_ARC
(20,6),-0.188204 # DEPENDENCYPART_ARC
(20,7),-0.842755 # DEPENDENCYPART_ARC
(20,8),-0.694157 # DEPENDENCYPART_ARC
(20,9),-1.49145 # DEPENDENCYPART_ARC
(20,10),-0.89038 # DEPENDENCYPART_ARC
(20,11),0.0922534 # DEPENDENCYPART_ARC
(20,12),-1.0047 # DEPENDENCYPART_ARC
(20,13),-0.109798 # DEPENDENCYPART_ARC
(20,14),0.101569 # DEPENDENCYPART_ARC
(20,15),1.8566 # DEPENDENCYPART_ARC
(20,16),0.723858 # DEPENDENCYPART_ARC
(20,17),0.843877 # DEPENDENCYPART_ARC
(20,18),2.81568 # DEPENDENCYPART_ARC
(20,19),4.02168 # DEPENDENCYPART_ARC
(20,21),-0.367365 # DEPENDENCYPART_ARC
(20,22),-0.286771 # DEPENDENCYPART_ARC
(20,23),-0.468861 # DEPENDENCYPART_ARC
(20,24),-0.728559 # DEPENDENCYPART_ARC
(20,25),-2.24325 # DEPENDENCYPART_ARC
(20,26),-0.847292 # DEPENDENCYPART_ARC
(20,27),-1.40323 # DEPENDENCYPART_ARC
(20,28),-0.969637 # DEPENDENCYPART_ARC
(20,29),-1.0304 # DEPENDENCYPART_ARC
(20,30),-2.34266 # DEPENDENCYPART_ARC
(20,31),-0.576526 # DEPENDENCYPART_ARC
(20,32),-0.960942 # DEPENDENCYPART_ARC
(20,33),0.144117 # DEPENDENCYPART_ARC
(21,1),-0.492456 # DEPENDENCYPART_ARC
(21,2),-1.84579 # DEPENDENCYPART_ARC
(21,3),-2.03058 # DEPENDENCYPART_ARC
(21,4),-1.76291 # DEPENDENCYPART_ARC
(21,5),-0.855913 # DEPENDENCYPART_ARC
(21,6),-0.546022 # DEPENDENCYPART_ARC
(21,7),-0.50281 # DEPENDENCYPART_ARC
(21,8),-0.0196154 # DEPENDENCYPART_ARC
(21,9),-0.889972 # DEPENDENCYPART_ARC
(21,10),-1.02385 # DEPENDENCYPART_ARC
(21,11),-0.404606 # DEPENDENCYPART_ARC
(21,12),-0.570433 # DEPENDENCYPART_ARC
(21,13),0.0622262 # DEPENDENCYPART_ARC
(21,14),0.368384 # DEPENDENCYPART_ARC
(21,15),-0.139758 # DEPENDENCYPART_ARC
(21,16),1.53627 # DEPENDENCYPART_ARC
(21,17),0.745815 # DEPENDENCYPART_ARC
(21,18),0.491494 # DEPENDENCYPART_ARC
(21,19),0.665528 # DEPENDENCYPART_ARC
(21,20),2.74091 # DEPENDENCYPART_ARC
(21,22),0.328845 # DEPENDENCYPART_ARC
(21,23),-0.212023 # DEPENDENCYPART_ARC
(21,24),-0.3434 # DEPENDENCYPART_ARC
(21,25),-0.781432 # DEPENDENCYPART_ARC
(21,26),-0.421523 # DEPENDENCYPART_ARC
(21,27),-0.0189348 # DEPENDENCYPART_ARC
(21,28),-0.327796 # DEPENDENCYPART_ARC
(21,29),-0.309562 # DEPENDENCYPART_ARC
(21,30),-1.06432 # DEPENDENCYPART_ARC
(21,31),-0.194928 # DEPENDENCYPART_ARC
(21,32),-0.665952 # DEPENDENCYPART_ARC
(21,33),0.980882 # DEPENDENCYPART_ARC
(22,1),-2.81651 # DEPENDENCYPART_ARC
(22,2),-2.71921 # DEPENDENCYPART_ARC
(22,3),-3.67842 # DEPENDENCYPART_ARC
(22,4),-3.24656 # DEPENDENCYPART_ARC
(22,5),-2.52746 # DEPENDENCYPART_ARC
(22,6),-2.60414 # DEPENDENCYPART_ARC
(22,7),-2.52812 # DEPENDENCYPART_ARC
(22,8),-2.50594 # DEPENDENCYPART_ARC
(22,9),-2.84948 # DEPENDENCYPART_ARC
(22,10),-2.84917 # DEPENDENCYPART_ARC
(22,11),-2.67569 # DEPENDENCYPART_ARC
(22,12),-2.59019 # DEPENDENCYPART_ARC
(22,13),-2.31908 # DEPENDENCYPART_ARC
(22,14),-1.97976 # DEPENDENCYPART_ARC
(22,15),-2.10154 # DEPENDENCYPART_ARC
(22,16),-2.14332 # DEPENDENCYPART_ARC
(22,17),-2.0463 # DEPENDENCYPART_ARC
(22,18),-2.35405 # DEPENDENCYPART_ARC
(22,19),-2.1568 # DEPENDENCYPART_ARC
(22,20),-2.30464 # DEPENDENCYPART_ARC
(22,21),-1.31614 # DEPENDENCYPART_ARC
(22,23),-1.43081 # DEPENDENCYPART_ARC
(22,24),-1.74357 # DEPENDENCYPART_ARC
(22,25),-2.4001 # DEPENDENCYPART_ARC
(22,26),-1.91927 # DEPENDENCYPART_ARC
(22,27),-1.95826 # DEPENDENCYPART_ARC
(22,28),-1.98532 # DEPENDENCYPART_ARC
(22,29),-1.97651 # DEPENDENCYPART_ARC
(22,30),-2.83039 # DEPENDENCYPART_ARC
(22,31),-1.91345 # DEPENDENCYPART_ARC
(22,32),-2.01724 # DEPENDENCYPART_ARC
(22,33),-1.78094 # DEPENDENCYPART_ARC
(23,1),0.163349 # DEPENDENCYPART_ARC
(23,2),-1.7532 # DEPENDENCYPART_ARC
(23,3),0.812841 # DEPENDENCYPART_ARC
(23,4),-0.100549 # DEPENDENCYPART_ARC
(23,5),0.466429 # DEPENDENCYPART_ARC
(23,6),0.118884 # DEPENDENCYPART_ARC
(23,7),0.0508948 # DEPENDENCYPART_ARC
(23,8),0.793892 # DEPENDENCYPART_ARC
(23,9),-0.340569 # DEPENDENCYPART_ARC
(23,10),0.211538 # DEPENDENCYPART_ARC
(23,11),0.863149 # DEPENDENCYPART_ARC
(23,12),-0.644032 # DEPENDENCYPART_ARC
(23,13),1.01712 # DEPENDENCYPART_ARC
(23,14),0.261994 # DEPENDENCYPART_ARC
(23,15),-0.376956 # DEPENDENCYPART_ARC
(23,16),1.02657 # DEPENDENCYPART_ARC
(23,17),1.7882 # DEPENDENCYPART_ARC
(23,18),1.24217 # DEPENDENCYPART_ARC
(23,19),0.987876 # DEPENDENCYPART_ARC
(23,20),1.5795 # DEPENDENCYPART_ARC
(23,21),1.42708 # DEPENDENCYPART_ARC
(23,22),1.34147 # DEPENDENCYPART_ARC
(23,24),-0.111359 # DEPENDENCYPART_ARC
(23,25),-0.523836 # DEPENDENCYPART_ARC
(23,26),0.372878 # DEPENDENCYPART_ARC
(23,27),1.37637 # DEPENDENCYPART_ARC
(23,28),0.561819 # DEPENDENCYPART_ARC
(23,29),0.11635 # DEPENDENCYPART_ARC
(23,30),-0.459782 # DEPENDENCYPART_ARC
(23,31),-0.0614275 # DEPENDENCYPART_ARC
(23,32),-0.130236 # DEPENDENCYPART_ARC
(23,33),2.70741 # DEPENDENCYPART_ARC
(24,1),-2.26806 # DEPENDENCYPART_ARC
(24,2),-2.46569 # DEPENDENCYPART_ARC
(24,3),-3.621 # DEPENDENCYPART_ARC
(24,4),-2.38991 # DEPENDENCYPART_ARC
(24,5),-1.65663 # DEPENDENCYPART_ARC
(24,6),-2.10347 # DEPENDENCYPART_ARC
(24,7),-1.84764 # DEPENDENCYPART_ARC
(24,8),-2.08176 # DEPENDENCYPART_ARC
(24,9),-2.79854 # DEPENDENCYPART_ARC
(24,10),-2.72756 # DEPENDENCYPART_ARC
(24,11),-2.36693 # DEPENDENCYPART_ARC
(24,12),-2.09453 # DEPENDENCYPART_ARC
(24,13),-2.08309 # DEPENDENCYPART_ARC
(24,14),-1.59489 # DEPENDENCYPART_ARC
(24,15),-1.76142 # DEPENDENCYPART_ARC
(24,16),-1.92093 # DEPENDENCYPART_ARC
(24,17),-1.88825 # DEPENDENCYPART_ARC
(24,18),-1.88815 # DEPENDENCYPART_ARC
(24,19),-1.78328 # DEPENDENCYPART_ARC
(24,20),-2.31967 # DEPENDENCYPART_ARC
(24,21),-1.46053 # DEPENDENCYPART_ARC
(24,22),-1.12046 # DEPENDENCYPART_ARC
(24,23),-0.607576 # DEPENDENCYPART_ARC
(24,25),-0.265181 # DEPENDENCYPART_ARC
(24,26),-0.540699 # DEPENDENCYPART_ARC
(24,27),-0.570098 # DEPENDENCYPART_ARC
(24,28),-0.665057 # DEPENDENCYPART_ARC
(24,29),-0.710367 # DEPENDENCYPART_ARC
(24,30),-1.16491 # DEPENDENCYPART_ARC
(24,31),-0.844237 # DEPENDENCYPART_ARC
(24,32),-0.903013 # DEPENDENCYPART_ARC
(24,33),-1.04884 # DEPENDENCYPART_ARC
(25,1),-2.32924 # DEPENDENCYPART_ARC
(25,2),-2.97392 # DEPENDENCYPART_ARC
(25,3),-5.10839 # DEPENDENCYPART_ARC
(25,4),-3.3244 # DEPENDENCYPART_ARC
(25,5),-2.37177 # DEPENDENCYPART_ARC
(25,6),-1.67773 # DEPENDENCYPART_ARC
(25,7),-2.11089 # DEPENDENCYPART_ARC
(25,8),-1.88168 # DEPENDENCYPART_ARC
(25,9),-2.54184 # DEPENDENCYPART_ARC
(25,10),-2.0419 # DEPENDENCYPART_ARC
(25,11),-1.34912 # DEPENDENCYPART_ARC
(25,12),-2.0142 # DEPENDENCYPART_ARC
(25,13),-1.69228 # DEPENDENCYPART_ARC
(25,14),-1.1702 # DEPENDENCYPART_ARC
(25,15),-0.515788 # DEPENDENCYPART_ARC
(25,16),-1.20882 # DEPENDENCYPART_ARC
(25,17),-0.979161 # DEPENDENCYPART_ARC
(25,18),-1.15425 # DEPENDENCYPART_ARC
(25,19),-0.843221 # DEPENDENCYPART_ARC
(25,20),-3.37907 # DEPENDENCYPART_ARC
(25,21),-0.71086 # DEPENDENCYPART_ARC
(25,22),-0.0634695 # DEPENDENCYPART_ARC
(25,23),-0.731127 # DEPENDENCYPART_ARC
(25,24),3.61024 # DEPENDENCYPART_ARC
(25,26),-0.643018 # DEPENDENCYPART_ARC
(25,27),-0.639423 # DEPENDENCYPART_ARC
(25,28),-0.354903 # DEPENDENCYPART_ARC
(25,29),-0.859054 # DEPENDENCYPART_ARC
(25,30),-1.26777 # DEPENDENCYPART_ARC
(25,31),-0.365651 # DEPENDENCYPART_ARC
(25,32),-0.855265 # DEPENDENCYPART_ARC
(25,33),-0.0112514 # DEPENDENCYPART_ARC
(26,1),-0.47226 # DEPENDENCYPART_ARC
(26,2),-2.61245 # DEPENDENCYPART_ARC
(26,3),-1.20029 # DEPENDENCYPART_ARC
(26,4),-1.87779 # DEPENDENCYPART_ARC
(26,5),-0.519754 # DEPENDENCYPART_ARC
(26,6),-1.18715 # DEPENDENCYPART_ARC
(26,7),-0.142811 # DEPENDENCYPART_ARC
(26,8),-1.00697 # DEPENDENCYPART_ARC
(26,9),-1.38019 # DEPENDENCYPART_ARC
(26,10),-1.38042 # DEPENDENCYPART_ARC
(26,11),-0.891128 # DEPENDENCYPART_ARC
(26,12),-0.602027 # DEPENDENCYPART_ARC
(26,13),-0.947546 # DEPENDENCYPART_ARC
(26,14),0.203281 # DEPENDENCYPART_ARC
(26,15),-1.26043 # DEPENDENCYPART_ARC
(26,16),-0.49405 # DEPENDENCYPART_ARC
(26,17),-0.36993 # DEPENDENCYPART_ARC
(26,18),-0.83111 # DEPENDENCYPART_ARC
(26,19),-0.852587 # DEPENDENCYPART_ARC
(26,20),-0.311999 # DEPENDENCYPART_ARC
(26,21),-0.868543 # DEPENDENCYPART_ARC
(26,22),-0.0817466 # DEPENDENCYPART_ARC
(26,23),-0.27591 # DEPENDENCYPART_ARC
(26,24),-0.125327 # DEPENDENCYPART_ARC
(26,25),0.531172 # DEPENDENCYPART_ARC
(26,27),0.0615746 # DEPENDENCYPART_ARC
(26,28),-0.427637 # DEPENDENCYPART_ARC
(26,29),-0.443927 # DEPENDENCYPART_ARC
(26,30),-0.573241 # DEPENDENCYPART_ARC
(26,31),-0.244404 # DEPENDENCYPART_ARC
(26,32),-0.680478 # DEPENDENCYPART_ARC
(26,33),-0.274571 # DEPENDENCYPART_ARC
(27,1),0.514022 # DEPENDENCYPART_ARC
(27,2),-1.64024 # DEPENDENCYPART_ARC
(27,3),-2.76492 # DEPENDENCYPART_ARC
(27,4),-2.4426 # DEPENDENCYPART_ARC
(27,5),-0.764414 # DEPENDENCYPART_ARC
(27,6),-0.577985 # DEPENDENCYPART_ARC
(27,7),-0.0410823 # DEPENDENCYPART_ARC
(27,8),0.391872 # DEPENDENCYPART_ARC
(27,9),-1.79854 # DEPENDENCYPART_ARC
(27,10),-0.506173 # DEPENDENCYPART_ARC
(27,11),-0.161804 # DEPENDENCYPART_ARC
(27,12),-0.0702889 # DEPENDENCYPART_ARC
(27,13),-0.147028 # DEPENDENCYPART_ARC
(27,14),1.07289 # DEPENDENCYPART_ARC
(27,15),-0.91347 # DEPENDENCYPART_ARC
(27,16),0.0189037 # DEPENDENCYPART_ARC
(27,17),0.319552 # DEPENDENCYPART_ARC
(27,18),-0.858719 # DEPENDENCYPART_ARC
(27,19),-0.712691 # DEPENDENCYPART_ARC
(27,20),0.337125 # DEPENDENCYPART_ARC
(27,21),-0.393279 # DEPENDENCYPART_ARC
(27,22),0.59493 # DEPENDENCYPART_ARC
(27,23),0.509438 # DEPENDENCYPART_ARC
(27,24),0.166784 # DEPENDENCYPART_ARC
(27,25),2.58601 # DEPENDENCYPART_ARC
(27,26),3.45864 # DEPENDENCYPART_ARC
(27,28),3.51827 # DEPENDENCYPART_ARC
(27,29),0.48659 # DEPENDENCYPART_ARC
(27,30),0.4055 # DEPENDENCYPART_ARC
(27,31),0.873825 # DEPENDENCYPART_ARC
(27,32),0.85299 # DEPENDENCYPART_ARC
(27,33),1.74568 # DEPENDENCYPART_ARC
(28,1),0.0175298 # DEPENDENCYPART_ARC
(28,2),-0.984452 # DEPENDENCYPART_ARC
(28,3),-3.78323 # DEPENDENCYPART_ARC
(28,4),-1.70071 # DEPENDENCYPART_ARC
(28,5),-0.797499 # DEPENDENCYPART_ARC
(28,6),-1.17058 # DEPENDENCYPART_ARC
(28,7),-0.167048 # DEPENDENCYPART_ARC
(28,8),-0.0696262 # DEPENDENCYPART_ARC
(28,9),-0.285934 # DEPENDENCYPART_ARC
(28,10),-1.01878 # DEPENDENCYPART_ARC
(28,11),-0.669531 # DEPENDENCYPART_ARC
(28,12),-0.69549 # DEPENDENCYPART_ARC
(28,13),-0.320204 # DEPENDENCYPART_ARC
(28,14),0.467395 # DEPENDENCYPART_ARC
(28,15),-0.468349 # DEPENDENCYPART_ARC
(28,16),0.300321 # DEPENDENCYPART_ARC
(28,17),0.0993035 # DEPENDENCYPART_ARC
(28,18),-0.235258 # DEPENDENCYPART_ARC
(28,19),-0.0830065 # DEPENDENCYPART_ARC
(28,20),1.38631 # DEPENDENCYPART_ARC
(28,21),0.0732838 # DEPENDENCYPART_ARC
(28,22),0.454371 # DEPENDENCYPART_ARC
(28,23),0.0767815 # DEPENDENCYPART_ARC
(28,24),-0.0479461 # DEPENDENCYPART_ARC
(28,25),2.1132 # DEPENDENCYPART_ARC
(28,26),1.87714 # DEPENDENCYPART_ARC
(28,27),1.70436 # DEPENDENCYPART_ARC
(28,29),0.880182 # DEPENDENCYPART_ARC
(28,30),1.07538 # DEPENDENCYPART_ARC
(28,31),1.23795 # DEPENDENCYPART_ARC
(28,32),0.95769 # DEPENDENCYPART_ARC
(28,33),1.24724 # DEPENDENCYPART_ARC
(29,1),-2.43936 # DEPENDENCYPART_ARC
(29,2),-2.23073 # DEPENDENCYPART_ARC
(29,3),-3.12234 # DEPENDENCYPART_ARC
(29,4),-2.86142 # DEPENDENCYPART_ARC
(29,5),-2.61443 # DEPENDENCYPART_ARC
(29,6),-2.25652 # DEPENDENCYPART_ARC
(29,7),-2.26552 # DEPENDENCYPART_ARC
(29,8),-1.48367 # DEPENDENCYPART_ARC
(29,9),-2.55537 # DEPENDENCYPART_ARC
(29,10),-1.7757 # DEPENDENCYPART_ARC
(29,11),-1.62755 # DEPENDENCYPART_ARC
(29,12),-2.00889 # DEPENDENCYPART_ARC
(29,13),-1.52366 # DEPENDENCYPART_ARC
(29,14),-1.98234 # DEPENDENCYPART_ARC
(29,15),-1.56968 # DEPENDENCYPART_ARC
(29,16),-1.42033 # DEPENDENCYPART_ARC
(29,17),-1.48751 # DEPENDENCYPART_ARC
(29,18),-2.31976 # DEPENDENCYPART_ARC
(29,19),-2.27045 # DEPENDENCYPART_ARC
(29,20),-2.63786 # DEPENDENCYPART_ARC
(29,21),-2.20759 # DEPENDENCYPART_ARC
(29,22),-1.68281 # DEPENDENCYPART_ARC
(29,23),-1.00016 # DEPENDENCYPART_ARC
(29,24),-1.21507 # DEPENDENCYPART_ARC
(29,25),-1.97175 # DEPENDENCYPART_ARC
(29,26),-0.907679 # DEPENDENCYPART_ARC
(29,27),-1.43216 # DEPENDENCYPART_ARC
(29,28),0.0596454 # DEPENDENCYPART_ARC
(29,30),-0.220182 # DEPENDENCYPART_ARC
(29,31),-0.694528 # DEPENDENCYPART_ARC
(29,32),-1.10619 # DEPENDENCYPART_ARC
(29,33),-1.02667 # DEPENDENCYPART_ARC
(30,1),-2.08591 # DEPENDENCYPART_ARC
(30,2),-3.59799 # DEPENDENCYPART_ARC
(30,3),-5.10521 # DEPENDENCYPART_ARC
(30,4),-2.55894 # DEPENDENCYPART_ARC
(30,5),-2.55293 # DEPENDENCYPART_ARC
(30,6),-1.09414 # DEPENDENCYPART_ARC
(30,7),-2.18937 # DEPENDENCYPART_ARC
(30,8),-1.2576 # DEPENDENCYPART_ARC
(30,9),-3.67514 # DEPENDENCYPART_ARC
(30,10),-1.90214 # DEPENDENCYPART_ARC
(30,11),-0.418791 # DEPENDENCYPART_ARC
(30,12),-1.18206 # DEPENDENCYPART_ARC
(30,13),-1.11408 # DEPENDENCYPART_ARC
(30,14),-1.49996 # DEPENDENCYPART_ARC
(30,15),-1.43875 # DEPENDENCYPART_ARC
(30,16),-0.70748 # DEPENDENCYPART_ARC
(30,17),-0.295761 # DEPENDENCYPART_ARC
(30,18),-0.946512 # DEPENDENCYPART_ARC
(30,19),-0.728583 # DEPENDENCYPART_ARC
(30,20),-4.65769 # DEPENDENCYPART_ARC
(30,21),-1.01756 # DEPENDENCYPART_ARC
(30,22),-0.78801 # DEPENDENCYPART_ARC
(30,23),-0.880567 # DEPENDENCYPART_ARC
(30,24),0.714227 # DEPENDENCYPART_ARC
(30,25),-2.74958 # DEPENDENCYPART_ARC
(30,26),0.21758 # DEPENDENCYPART_ARC
(30,27),-0.866263 # DEPENDENCYPART_ARC
(30,28),1.79519 # DEPENDENCYPART_ARC
(30,29),3.47495 # DEPENDENCYPART_ARC
(30,31),-0.018615 # DEPENDENCYPART_ARC
(30,32),-0.842037 # DEPENDENCYPART_ARC
(30,33),-0.330014 # DEPENDENCYPART_ARC
(31,1),-1.85286 # DEPENDENCYPART_ARC
(31,2),-1.44544 # DEPENDENCYPART_ARC
(31,3),-3.17988 # DEPENDENCYPART_ARC
(31,4),-1.29471 # DEPENDENCYPART_ARC
(31,5),-2.33767 # DEPENDENCYPART_ARC
(31,6),-2.43507 # DEPENDENCYPART_ARC
(31,7),-1.93654 # DEPENDENCYPART_ARC
(31,8),-2.32218 # DEPENDENCYPART_ARC
(31,9),-2.24376 # DEPENDENCYPART_ARC
(31,10),-2.10195 # DEPENDENCYPART_ARC
(31,11),-1.2995 # DEPENDENCYPART_ARC
(31,12),-1.49814 # DEPENDENCYPART_ARC
(31,13),-1.26022 # DEPENDENCYPART_ARC
(31,14),-1.31065 # DEPENDENCYPART_ARC
(31,15),-0.990334 # DEPENDENCYPART_ARC
(31,16),-1.1179 # DEPENDENCYPART_ARC
(31,17),-1.12901 # DEPENDENCYPART_ARC
(31,18),-0.926791 # DEPENDENCYPART_ARC
(31,19),-0.998656 # DEPENDENCYPART_ARC
(31,20),-1.29222 # DEPENDENCYPART_ARC
(31,21),-0.92394 # DEPENDENCYPART_ARC
(31,22),-0.705201 # DEPENDENCYPART_ARC
