# _root_ Szerinte az egyéves lejáratú hitelek jó részét több év múlva megtérülő vásárlásokra , például alkatrészek és műtrágya beszerzésére fordították a gazdák , ezért e tartozások három-öt éves hitelekké történő átütemezése is szükséges lenne .
#goldHeads=19,5,4,5,7,7,19,9,10,11,12,19,19,19,18,18,18,19,23,21,19,23,0,25,30,29,28,29,30,33,33,33,23,23,
#predictedHeads=19,5,5,5,7,7,19,9,10,11,12,19,19,19,18,19,18,19,23,21,19,19,0,25,30,27,28,29,30,33,33,33,19,19,
(16,23),-0.563812 # DEPENDENCYPART_ARC
(16,24),-1.17794 # DEPENDENCYPART_ARC
(16,25),-1.52395 # DEPENDENCYPART_ARC
(16,26),-0.973475 # DEPENDENCYPART_ARC
(16,27),-1.28896 # DEPENDENCYPART_ARC
(16,28),-1.77738 # DEPENDENCYPART_ARC
(16,29),-1.42168 # DEPENDENCYPART_ARC
(16,30),-1.99505 # DEPENDENCYPART_ARC
(16,31),-1.62457 # DEPENDENCYPART_ARC
(16,32),-1.7741 # DEPENDENCYPART_ARC
(16,33),-1.97972 # DEPENDENCYPART_ARC
(16,34),-0.320248 # DEPENDENCYPART_ARC
(17,1),-1.00493 # DEPENDENCYPART_ARC
(17,2),0.0852126 # DEPENDENCYPART_ARC
(17,3),0.354133 # DEPENDENCYPART_ARC
(17,4),0.379542 # DEPENDENCYPART_ARC
(17,5),-2.18291 # DEPENDENCYPART_ARC
(17,6),-0.816747 # DEPENDENCYPART_ARC
(17,7),-3.45426 # DEPENDENCYPART_ARC
(17,8),-0.201061 # DEPENDENCYPART_ARC
(17,9),-0.809423 # DEPENDENCYPART_ARC
(17,10),-0.577857 # DEPENDENCYPART_ARC
(17,11),0.660144 # DEPENDENCYPART_ARC
(17,12),-1.85888 # DEPENDENCYPART_ARC
(17,13),0.510793 # DEPENDENCYPART_ARC
(17,14),-0.0788608 # DEPENDENCYPART_ARC
(17,15),0.388712 # DEPENDENCYPART_ARC
(17,16),1.1054 # DEPENDENCYPART_ARC
(17,18),-1.03543 # DEPENDENCYPART_ARC
(17,19),-0.356411 # DEPENDENCYPART_ARC
(17,20),-1.18308 # DEPENDENCYPART_ARC
(17,21),-1.33233 # DEPENDENCYPART_ARC
(17,22),-0.478491 # DEPENDENCYPART_ARC
(17,23),-0.81211 # DEPENDENCYPART_ARC
(17,24),-1.91315 # DEPENDENCYPART_ARC
(17,25),-2.13636 # DEPENDENCYPART_ARC
(17,26),-1.3234 # DEPENDENCYPART_ARC
(17,27),-1.56239 # DEPENDENCYPART_ARC
(17,28),-2.5987 # DEPENDENCYPART_ARC
(17,29),-1.9985 # DEPENDENCYPART_ARC
(17,30),-2.14719 # DEPENDENCYPART_ARC
(17,31),-1.67815 # DEPENDENCYPART_ARC
(17,32),-1.97041 # DEPENDENCYPART_ARC
(17,33),-1.41559 # DEPENDENCYPART_ARC
(17,34),0.0849241 # DEPENDENCYPART_ARC
(18,1),-0.63525 # DEPENDENCYPART_ARC
(18,2),-0.875015 # DEPENDENCYPART_ARC
(18,3),-0.314244 # DEPENDENCYPART_ARC
(18,4),-0.152748 # DEPENDENCYPART_ARC
(18,5),-0.532874 # DEPENDENCYPART_ARC
(18,6),-0.389706 # DEPENDENCYPART_ARC
(18,7),-4.39218 # DEPENDENCYPART_ARC
(18,8),-0.168462 # DEPENDENCYPART_ARC
(18,9),0.484355 # DEPENDENCYPART_ARC
(18,10),-0.272131 # DEPENDENCYPART_ARC
(18,11),-0.0288081 # DEPENDENCYPART_ARC
(18,12),-1.11182 # DEPENDENCYPART_ARC
(18,13),0.512448 # DEPENDENCYPART_ARC
(18,14),0.295776 # DEPENDENCYPART_ARC
(18,15),2.2247 # DEPENDENCYPART_ARC
(18,16),1.7201 # DEPENDENCYPART_ARC
(18,17),4.13557 # DEPENDENCYPART_ARC
(18,19),-0.982277 # DEPENDENCYPART_ARC
(18,20),-1.56038 # DEPENDENCYPART_ARC
(18,21),-0.977374 # DEPENDENCYPART_ARC
(18,22),-0.683345 # DEPENDENCYPART_ARC
(18,23),-1.11555 # DEPENDENCYPART_ARC
(18,24),-2.79006 # DEPENDENCYPART_ARC
(18,25),-1.78953 # DEPENDENCYPART_ARC
(18,26),-1.56423 # DEPENDENCYPART_ARC
(18,27),-1.45846 # DEPENDENCYPART_ARC
(18,28),-2.06158 # DEPENDENCYPART_ARC
(18,29),-1.78202 # DEPENDENCYPART_ARC
(18,30),-2.53962 # DEPENDENCYPART_ARC
(18,31),-1.81765 # DEPENDENCYPART_ARC
(18,32),-1.83545 # DEPENDENCYPART_ARC
(18,33),-2.57988 # DEPENDENCYPART_ARC
(18,34),-0.251589 # DEPENDENCYPART_ARC
(19,1),2.0845 # DEPENDENCYPART_ARC
(19,2),-0.283555 # DEPENDENCYPART_ARC
(19,3),-1.45439 # DEPENDENCYPART_ARC
(19,4),-1.37863 # DEPENDENCYPART_ARC
(19,5),1.00676 # DEPENDENCYPART_ARC
(19,6),-0.30326 # DEPENDENCYPART_ARC
(19,7),1.48565 # DEPENDENCYPART_ARC
(19,8),-0.928836 # DEPENDENCYPART_ARC
(19,9),-1.08208 # DEPENDENCYPART_ARC
(19,10),1.58893 # DEPENDENCYPART_ARC
(19,11),-0.683799 # DEPENDENCYPART_ARC
(19,12),0.49029 # DEPENDENCYPART_ARC
(19,13),0.898395 # DEPENDENCYPART_ARC
(19,14),1.89537 # DEPENDENCYPART_ARC
(19,15),1.87771 # DEPENDENCYPART_ARC
(19,16),1.89539 # DEPENDENCYPART_ARC
(19,17),1.72626 # DEPENDENCYPART_ARC
(19,18),3.35008 # DEPENDENCYPART_ARC
(19,20),0.302316 # DEPENDENCYPART_ARC
(19,21),2.546 # DEPENDENCYPART_ARC
(19,22),2.04259 # DEPENDENCYPART_ARC
(19,23),1.22765 # DEPENDENCYPART_ARC
(19,24),-0.538915 # DEPENDENCYPART_ARC
(19,25),-0.812089 # DEPENDENCYPART_ARC
(19,26),-0.867449 # DEPENDENCYPART_ARC
(19,27),-1.01387 # DEPENDENCYPART_ARC
(19,28),-0.886072 # DEPENDENCYPART_ARC
(19,29),-0.913001 # DEPENDENCYPART_ARC
(19,30),-0.212504 # DEPENDENCYPART_ARC
(19,31),0.850057 # DEPENDENCYPART_ARC
(19,32),-1.04356 # DEPENDENCYPART_ARC
(19,33),1.98606 # DEPENDENCYPART_ARC
(19,34),2.70197 # DEPENDENCYPART_ARC
(20,3),-2.54671 # DEPENDENCYPART_ARC
(20,4),-2.53142 # DEPENDENCYPART_ARC
(20,5),-3.8131 # DEPENDENCYPART_ARC
(20,7),-4.18755 # DEPENDENCYPART_ARC
(20,9),-3.72345 # DEPENDENCYPART_ARC
(20,11),-2.34393 # DEPENDENCYPART_ARC
(20,12),-3.3663 # DEPENDENCYPART_ARC
(20,13),-1.71483 # DEPENDENCYPART_ARC
(20,15),-3.20516 # DEPENDENCYPART_ARC
(20,16),-1.81823 # DEPENDENCYPART_ARC
(20,17),-2.95409 # DEPENDENCYPART_ARC
(20,18),-3.13207 # DEPENDENCYPART_ARC
(20,21),-0.300018 # DEPENDENCYPART_ARC
(20,22),-0.349476 # DEPENDENCYPART_ARC
(20,23),-0.741731 # DEPENDENCYPART_ARC
(20,25),-1.27426 # DEPENDENCYPART_ARC
(20,27),-1.0125 # DEPENDENCYPART_ARC
(20,28),-1.70837 # DEPENDENCYPART_ARC
(20,29),-1.25956 # DEPENDENCYPART_ARC
(20,30),-2.06805 # DEPENDENCYPART_ARC
(20,31),-1.60265 # DEPENDENCYPART_ARC
(20,32),-1.66029 # DEPENDENCYPART_ARC
(21,1),-2.17464 # DEPENDENCYPART_ARC
(21,2),-1.95891 # DEPENDENCYPART_ARC
(21,3),-2.30639 # DEPENDENCYPART_ARC
(21,4),-2.36177 # DEPENDENCYPART_ARC
(21,5),-4.82948 # DEPENDENCYPART_ARC
(21,6),-2.02527 # DEPENDENCYPART_ARC
(21,7),-5.58462 # DEPENDENCYPART_ARC
(21,8),-2.86305 # DEPENDENCYPART_ARC
(21,9),-3.75946 # DEPENDENCYPART_ARC
(21,10),-1.49078 # DEPENDENCYPART_ARC
(21,11),-2.08793 # DEPENDENCYPART_ARC
(21,12),-4.87133 # DEPENDENCYPART_ARC
(21,13),-1.49074 # DEPENDENCYPART_ARC
(21,14),-1.54718 # DEPENDENCYPART_ARC
(21,15),-3.24427 # DEPENDENCYPART_ARC
(21,16),-0.922766 # DEPENDENCYPART_ARC
(21,17),-2.41546 # DEPENDENCYPART_ARC
(21,18),-4.16245 # DEPENDENCYPART_ARC
(21,19),-0.551383 # DEPENDENCYPART_ARC
(21,20),3.12362 # DEPENDENCYPART_ARC
(21,22),-0.356258 # DEPENDENCYPART_ARC
(21,23),-1.08528 # DEPENDENCYPART_ARC
(21,24),-1.56471 # DEPENDENCYPART_ARC
(21,25),-1.55512 # DEPENDENCYPART_ARC
(21,26),-1.33441 # DEPENDENCYPART_ARC
(21,27),-1.19993 # DEPENDENCYPART_ARC
(21,28),-1.79208 # DEPENDENCYPART_ARC
(21,29),-1.52491 # DEPENDENCYPART_ARC
(21,30),-1.84029 # DEPENDENCYPART_ARC
(21,31),-1.59703 # DEPENDENCYPART_ARC
(21,32),-1.5883 # DEPENDENCYPART_ARC
(21,33),-1.69716 # DEPENDENCYPART_ARC
(21,34),-0.372588 # DEPENDENCYPART_ARC
(23,1),0.339877 # DEPENDENCYPART_ARC
(23,2),-1.01483 # DEPENDENCYPART_ARC
(23,3),0.776555 # DEPENDENCYPART_ARC
(23,4),0.655185 # DEPENDENCYPART_ARC
(23,5),-0.933889 # DEPENDENCYPART_ARC
(23,6),-0.798255 # DEPENDENCYPART_ARC
(23,7),-1.24648 # DEPENDENCYPART_ARC
(23,8),-0.318165 # DEPENDENCYPART_ARC
(23,9),-0.978807 # DEPENDENCYPART_ARC
(23,10),0.0865625 # DEPENDENCYPART_ARC
(23,11),0.285449 # DEPENDENCYPART_ARC
(23,12),-1.40808 # DEPENDENCYPART_ARC
(23,13),0.73901 # DEPENDENCYPART_ARC
(23,14),0.132695 # DEPENDENCYPART_ARC
(23,15),-0.828683 # DEPENDENCYPART_ARC
(23,16),0.735779 # DEPENDENCYPART_ARC
(23,17),-0.595032 # DEPENDENCYPART_ARC
(23,18),-0.790956 # DEPENDENCYPART_ARC
(23,19),1.90482 # DEPENDENCYPART_ARC
(23,20),0.00114203 # DEPENDENCYPART_ARC
(23,21),-0.285504 # DEPENDENCYPART_ARC
(23,22),1.62714 # DEPENDENCYPART_ARC
(23,24),-0.58613 # DEPENDENCYPART_ARC
(23,25),-0.0154259 # DEPENDENCYPART_ARC
(23,26),-0.0879437 # DEPENDENCYPART_ARC
(23,27),-0.115175 # DEPENDENCYPART_ARC
(23,28),-0.73393 # DEPENDENCYPART_ARC
(23,29),-0.29898 # DEPENDENCYPART_ARC
(23,30),-0.965587 # DEPENDENCYPART_ARC
(23,31),0.0235752 # DEPENDENCYPART_ARC
(23,32),-0.714118 # DEPENDENCYPART_ARC
(23,33),1.37174 # DEPENDENCYPART_ARC
(23,34),2.6613 # DEPENDENCYPART_ARC
(24,1),-1.48008 # DEPENDENCYPART_ARC
(24,2),-2.53031 # DEPENDENCYPART_ARC
(24,3),-2.29739 # DEPENDENCYPART_ARC
(24,4),-2.15855 # DEPENDENCYPART_ARC
(24,5),-1.80867 # DEPENDENCYPART_ARC
(24,6),-1.18808 # DEPENDENCYPART_ARC
(24,7),-2.59576 # DEPENDENCYPART_ARC
(24,8),-1.81519 # DEPENDENCYPART_ARC
(24,9),-2.05411 # DEPENDENCYPART_ARC
(24,10),-1.67563 # DEPENDENCYPART_ARC
(24,11),-2.04864 # DEPENDENCYPART_ARC
(24,12),-2.006 # DEPENDENCYPART_ARC
(24,13),-1.24807 # DEPENDENCYPART_ARC
(24,14),-1.099 # DEPENDENCYPART_ARC
(24,15),-1.75586 # DEPENDENCYPART_ARC
(24,16),-1.0427 # DEPENDENCYPART_ARC
(24,17),-1.82643 # DEPENDENCYPART_ARC
(24,18),-1.92448 # DEPENDENCYPART_ARC
(24,19),-1.03781 # DEPENDENCYPART_ARC
(24,20),-0.923811 # DEPENDENCYPART_ARC
(24,21),-1.35832 # DEPENDENCYPART_ARC
(24,22),-1.04409 # DEPENDENCYPART_ARC
(24,23),-0.35202 # DEPENDENCYPART_ARC
(24,25),0.102567 # DEPENDENCYPART_ARC
(24,26),-0.541639 # DEPENDENCYPART_ARC
(24,27),-0.286734 # DEPENDENCYPART_ARC
(24,28),-0.436429 # DEPENDENCYPART_ARC
(24,29),-0.316759 # DEPENDENCYPART_ARC
(24,30),-0.525951 # DEPENDENCYPART_ARC
(24,31),-0.503312 # DEPENDENCYPART_ARC
(24,32),-0.235364 # DEPENDENCYPART_ARC
(24,33),0.48771 # DEPENDENCYPART_ARC
(24,34),-0.458994 # DEPENDENCYPART_ARC
(25,1),-1.46049 # DEPENDENCYPART_ARC
(25,2),-1.54485 # DEPENDENCYPART_ARC
(25,3),-1.4215 # DEPENDENCYPART_ARC
(25,4),-1.50636 # DEPENDENCYPART_ARC
(25,5),-4.53603 # DEPENDENCYPART_ARC
(25,6),-1.16041 # DEPENDENCYPART_ARC
(25,7),-5.25189 # DEPENDENCYPART_ARC
(25,8),-2.31798 # DEPENDENCYPART_ARC
(25,9),-3.41912 # DEPENDENCYPART_ARC
(25,10),-0.810987 # DEPENDENCYPART_ARC
(25,11),-1.1102 # DEPENDENCYPART_ARC
(25,12),-4.70468 # DEPENDENCYPART_ARC
(25,13),-0.908274 # DEPENDENCYPART_ARC
(25,14),-0.809345 # DEPENDENCYPART_ARC
(25,15),-3.08227 # DEPENDENCYPART_ARC
(25,16),-0.504885 # DEPENDENCYPART_ARC
(25,17),-2.47832 # DEPENDENCYPART_ARC
(25,18),-4.44164 # DEPENDENCYPART_ARC
(25,19),-0.842896 # DEPENDENCYPART_ARC
(25,20),1.28236 # DEPENDENCYPART_ARC
(25,21),-1.16316 # DEPENDENCYPART_ARC
(25,22),0.368165 # DEPENDENCYPART_ARC
(25,23),0.664217 # DEPENDENCYPART_ARC
(25,24),3.04251 # DEPENDENCYPART_ARC
(25,26),-0.14864 # DEPENDENCYPART_ARC
(25,27),0.239294 # DEPENDENCYPART_ARC
(25,28),-0.487896 # DEPENDENCYPART_ARC
(25,29),-0.24036 # DEPENDENCYPART_ARC
(25,30),-0.58546 # DEPENDENCYPART_ARC
(25,31),-0.426183 # DEPENDENCYPART_ARC
(25,32),-0.514009 # DEPENDENCYPART_ARC
(25,33),-0.747001 # DEPENDENCYPART_ARC
(25,34),0.185539 # DEPENDENCYPART_ARC
(26,1),-1.23949 # DEPENDENCYPART_ARC
(26,2),-1.34497 # DEPENDENCYPART_ARC
(26,3),-2.24294 # DEPENDENCYPART_ARC
(26,4),-2.26484 # DEPENDENCYPART_ARC
(26,5),-2.2799 # DEPENDENCYPART_ARC
(26,6),-1.16425 # DEPENDENCYPART_ARC
(26,7),-2.77163 # DEPENDENCYPART_ARC
(26,8),-1.74694 # DEPENDENCYPART_ARC
(26,9),-2.08649 # DEPENDENCYPART_ARC
(26,10),-1.29051 # DEPENDENCYPART_ARC
(26,11),-2.011 # DEPENDENCYPART_ARC
(26,12),-2.05463 # DEPENDENCYPART_ARC
(26,13),-1.81669 # DEPENDENCYPART_ARC
(26,14),-1.17503 # DEPENDENCYPART_ARC
(26,15),-1.7627 # DEPENDENCYPART_ARC
(26,16),-1.21922 # DEPENDENCYPART_ARC
(26,17),-1.58519 # DEPENDENCYPART_ARC
(26,18),-1.80751 # DEPENDENCYPART_ARC
(26,19),-0.813094 # DEPENDENCYPART_ARC
(26,20),-0.40604 # DEPENDENCYPART_ARC
(26,21),-0.927811 # DEPENDENCYPART_ARC
(26,22),-0.504882 # DEPENDENCYPART_ARC
(26,23),-0.527643 # DEPENDENCYPART_ARC
(26,24),0.278634 # DEPENDENCYPART_ARC
(26,25),0.484753 # DEPENDENCYPART_ARC
(26,27),-0.365798 # DEPENDENCYPART_ARC
(26,28),-1.01984 # DEPENDENCYPART_ARC
(26,29),-0.896055 # DEPENDENCYPART_ARC
(26,30),-0.80487 # DEPENDENCYPART_ARC
(26,31),-0.981119 # DEPENDENCYPART_ARC
(26,32),-1.16858 # DEPENDENCYPART_ARC
(26,33),-0.927038 # DEPENDENCYPART_ARC
(26,34),-0.324628 # DEPENDENCYPART_ARC
(27,1),-1.48554 # DEPENDENCYPART_ARC
(27,2),-1.273 # DEPENDENCYPART_ARC
(27,3),-2.08024 # DEPENDENCYPART_ARC
(27,4),-2.43015 # DEPENDENCYPART_ARC
(27,5),-2.72321 # DEPENDENCYPART_ARC
(27,6),-0.965849 # DEPENDENCYPART_ARC
(27,7),-1.66064 # DEPENDENCYPART_ARC
(27,8),-0.591456 # DEPENDENCYPART_ARC
(27,9),-2.05724 # DEPENDENCYPART_ARC
(27,10),-0.564912 # DEPENDENCYPART_ARC
(27,11),-1.99609 # DEPENDENCYPART_ARC
(27,12),-1.96319 # DEPENDENCYPART_ARC
(27,13),-0.59591 # DEPENDENCYPART_ARC
(27,14),-0.418765 # DEPENDENCYPART_ARC
(27,15),-2.31747 # DEPENDENCYPART_ARC
(27,16),-0.0486822 # DEPENDENCYPART_ARC
(27,17),-2.02578 # DEPENDENCYPART_ARC
(27,18),-1.34142 # DEPENDENCYPART_ARC
(27,19),-0.77078 # DEPENDENCYPART_ARC
(27,20),-0.240387 # DEPENDENCYPART_ARC
(27,21),-1.48791 # DEPENDENCYPART_ARC
(27,22),0.169169 # DEPENDENCYPART_ARC
(27,23),0.305219 # DEPENDENCYPART_ARC
(27,24),0.0162573 # DEPENDENCYPART_ARC
(27,25),-0.287397 # DEPENDENCYPART_ARC
(27,26),2.45778 # DEPENDENCYPART_ARC
(27,28),-1.13091 # DEPENDENCYPART_ARC
(27,29),-1.15314 # DEPENDENCYPART_ARC
(27,30),-1.50513 # DEPENDENCYPART_ARC
(27,31),-1.5295 # DEPENDENCYPART_ARC
(27,32),-1.65094 # DEPENDENCYPART_ARC
(27,33),-0.663889 # DEPENDENCYPART_ARC
(27,34),-1.07067 # DEPENDENCYPART_ARC
(28,1),-1.50646 # DEPENDENCYPART_ARC
(28,2),-1.81265 # DEPENDENCYPART_ARC
(28,3),-1.04385 # DEPENDENCYPART_ARC
(28,4),-1.00773 # DEPENDENCYPART_ARC
(28,5),-4.61492 # DEPENDENCYPART_ARC
(28,6),-1.19072 # DEPENDENCYPART_ARC
(28,7),-4.77377 # DEPENDENCYPART_ARC
(28,8),-2.90595 # DEPENDENCYPART_ARC
(28,9),-3.4524 # DEPENDENCYPART_ARC
(28,10),-0.676325 # DEPENDENCYPART_ARC
(28,11),-0.683123 # DEPENDENCYPART_ARC
(28,12),-4.79557 # DEPENDENCYPART_ARC
(28,13),-1.08238 # DEPENDENCYPART_ARC
(28,14),-0.568473 # DEPENDENCYPART_ARC
(28,15),-3.3386 # DEPENDENCYPART_ARC
(28,16),-0.691118 # DEPENDENCYPART_ARC
(28,17),-2.47401 # DEPENDENCYPART_ARC
(28,18),-4.29073 # DEPENDENCYPART_ARC
(28,19),-1.29979 # DEPENDENCYPART_ARC
(28,20),0.742933 # DEPENDENCYPART_ARC
(28,21),-1.80662 # DEPENDENCYPART_ARC
(28,22),0.011961 # DEPENDENCYPART_ARC
(28,23),0.19336 # DEPENDENCYPART_ARC
(28,24),0.539744 # DEPENDENCYPART_ARC
(28,25),-0.370584 # DEPENDENCYPART_ARC
(28,26),0.409136 # DEPENDENCYPART_ARC
(28,27),3.44468 # DEPENDENCYPART_ARC
(28,29),-0.384345 # DEPENDENCYPART_ARC
(28,30),-1.17646 # DEPENDENCYPART_ARC
(28,31),-0.908991 # DEPENDENCYPART_ARC
(28,32),-0.670505 # DEPENDENCYPART_ARC
(28,33),-0.914445 # DEPENDENCYPART_ARC
(28,34),-0.519569 # DEPENDENCYPART_ARC
(29,1),-1.32217 # DEPENDENCYPART_ARC
(29,2),-1.00053 # DEPENDENCYPART_ARC
(29,3),-1.88245 # DEPENDENCYPART_ARC
(29,4),-2.31176 # DEPENDENCYPART_ARC
(29,5),-1.22308 # DEPENDENCYPART_ARC
(29,6),-0.946451 # DEPENDENCYPART_ARC
(29,7),-0.42982 # DEPENDENCYPART_ARC
(29,8),-1.09773 # DEPENDENCYPART_ARC
(29,9),-0.650686 # DEPENDENCYPART_ARC
(29,10),-0.16104 # DEPENDENCYPART_ARC
(29,11),-1.88107 # DEPENDENCYPART_ARC
(29,12),-0.588433 # DEPENDENCYPART_ARC
(29,13),-0.0403996 # DEPENDENCYPART_ARC
(29,14),-0.299779 # DEPENDENCYPART_ARC
(29,15),-1.08365 # DEPENDENCYPART_ARC
(29,16),0.364361 # DEPENDENCYPART_ARC
(29,17),-1.18595 # DEPENDENCYPART_ARC
(29,18),-0.490603 # DEPENDENCYPART_ARC
(29,19),-0.673414 # DEPENDENCYPART_ARC
(29,20),-0.103581 # DEPENDENCYPART_ARC
(29,21),-0.379721 # DEPENDENCYPART_ARC
(29,22),0.608656 # DEPENDENCYPART_ARC
(29,23),0.504334 # DEPENDENCYPART_ARC
(29,24),-0.159051 # DEPENDENCYPART_ARC
(29,25),-0.0264608 # DEPENDENCYPART_ARC
(29,26),0.690862 # DEPENDENCYPART_ARC
(29,27),0.598759 # DEPENDENCYPART_ARC
(29,28),2.14734 # DEPENDENCYPART_ARC
(29,30),-0.666255 # DEPENDENCYPART_ARC
(29,31),-1.07656 # DEPENDENCYPART_ARC
(29,32),-1.17457 # DEPENDENCYPART_ARC
(29,33),-0.212709 # DEPENDENCYPART_ARC
(29,34),-0.728539 # DEPENDENCYPART_ARC
(30,1),-1.43899 # DEPENDENCYPART_ARC
(30,2),-2.5933 # DEPENDENCYPART_ARC
(30,3),-1.47855 # DEPENDENCYPART_ARC
(30,4),-1.3403 # DEPENDENCYPART_ARC
(30,5),-1.98828 # DEPENDENCYPART_ARC
(30,6),-1.25361 # DEPENDENCYPART_ARC
(30,7),-6.29973 # DEPENDENCYPART_ARC
(30,8),-2.16541 # DEPENDENCYPART_ARC
(30,9),-1.80815 # DEPENDENCYPART_ARC
(30,10),-0.569328 # DEPENDENCYPART_ARC
(30,11),-0.945896 # DEPENDENCYPART_ARC
(30,12),-3.67432 # DEPENDENCYPART_ARC
(30,13),-0.923852 # DEPENDENCYPART_ARC
(30,14),-0.61403 # DEPENDENCYPART_ARC
(30,15),-0.872875 # DEPENDENCYPART_ARC
(30,16),-0.666552 # DEPENDENCYPART_ARC
(30,17),-0.865566 # DEPENDENCYPART_ARC
(30,18),-4.35484 # DEPENDENCYPART_ARC
(30,19),-0.67318 # DEPENDENCYPART_ARC
(30,20),0.107766 # DEPENDENCYPART_ARC
(30,21),0.578799 # DEPENDENCYPART_ARC
(30,22),-0.0696417 # DEPENDENCYPART_ARC
(30,23),0.281188 # DEPENDENCYPART_ARC
(30,24),0.649928 # DEPENDENCYPART_ARC
(30,25),1.74241 # DEPENDENCYPART_ARC
(30,26),0.6097 # DEPENDENCYPART_ARC
(30,27),1.53983 # DEPENDENCYPART_ARC
(30,28),1.73291 # DEPENDENCYPART_ARC
(30,29),3.25705 # DEPENDENCYPART_ARC
(30,31),-1.01298 # DEPENDENCYPART_ARC
(30,32),-1.15639 # DEPENDENCYPART_ARC
(30,33),-1.87392 # DEPENDENCYPART_ARC
(30,34),-0.817094 # DEPENDENCYPART_ARC
(31,1),-0.923552 # DEPENDENCYPART_ARC
(31,2),-1.93104 # DEPENDENCYPART_ARC
(31,3),-1.21034 # DEPENDENCYPART_ARC
(31,4),-1.44281 # DEPENDENCYPART_ARC
(31,5),-1.65753 # DEPENDENCYPART_ARC
(31,6),-2.45442 # DEPENDENCYPART_ARC
(31,7),-2.18623 # DEPENDENCYPART_ARC
(31,8),-1.25733 # DEPENDENCYPART_ARC
(31,9),-1.97038 # DEPENDENCYPART_ARC
(31,10),-0.689025 # DEPENDENCYPART_ARC
(31,11),-1.38203 # DEPENDENCYPART_ARC
(31,12),-1.99759 # DEPENDENCYPART_ARC
(31,13),-0.972211 # DEPENDENCYPART_ARC
(31,14),-1.44533 # DEPENDENCYPART_ARC
(31,15),-1.89954 # DEPENDENCYPART_ARC
(31,16),-1.11137 # DEPENDENCYPART_ARC
(31,17),-1.61694 # DEPENDENCYPART_ARC
(31,18),-1.84528 # DEPENDENCYPART_ARC
(31,19),-1.12914 # DEPENDENCYPART_ARC
(31,20),-1.80445 # DEPENDENCYPART_ARC
(31,21),-1.10327 # DEPENDENCYPART_ARC
(31,22),-0.393942 # DEPENDENCYPART_ARC
(31,23),-0.17058 # DEPENDENCYPART_ARC
(31,24),-0.829718 # DEPENDENCYPART_ARC
(31,25),-0.851269 # DEPENDENCYPART_ARC
(31,26),-0.321952 # DEPENDENCYPART_ARC
(31,27),-0.577874 # DEPENDENCYPART_ARC
(31,28),-0.355288 # DEPENDENCYPART_ARC
(31,29),-0.339637 # DEPENDENCYPART_ARC
(31,30),-0.0291827 # DEPENDENCYPART_ARC
(31,32),-0.40941 # DEPENDENCYPART_ARC
(31,33),0.0557985 # DEPENDENCYPART_ARC
(31,34),-0.016331 # DEPENDENCYPART_ARC
(32,1),-1.61551 # DEPENDENCYPART_ARC
(32,2),-1.28033 # DEPENDENCYPART_ARC
(32,3),-2.45622 # DEPENDENCYPART_ARC
(32,4),-2.72737 # DEPENDENCYPART_ARC
(32,5),-2.91646 # DEPENDENCYPART_ARC
(32,6),-1.47662 # DEPENDENCYPART_ARC
(32,7),-1.93159 # DEPENDENCYPART_ARC
(32,8),-1.61186 # DEPENDENCYPART_ARC
(32,9),-2.37298 # DEPENDENCYPART_ARC
(32,10),-1.30461 # DEPENDENCYPART_ARC
(32,11),-2.31928 # DEPENDENCYPART_ARC
(32,12),-1.87772 # DEPENDENCYPART_ARC
(32,13),-0.763038 # DEPENDENCYPART_ARC
(32,14),-0.66822 # DEPENDENCYPART_ARC
(32,15),-2.62606 # DEPENDENCYPART_ARC
(32,16),-0.583948 # DEPENDENCYPART_ARC
(32,17),-2.44159 # DEPENDENCYPART_ARC
(32,18),-1.66767 # DEPENDENCYPART_ARC
(32,19),-1.03411 # DEPENDENCYPART_ARC
(32,20),-0.891277 # DEPENDENCYPART_ARC
(32,21),-1.79911 # DEPENDENCYPART_ARC
(32,22),-0.0100302 # DEPENDENCYPART_ARC
(32,23),-0.0197662 # DEPENDENCYPART_ARC
(32,24),-0.737795 # DEPENDENCYPART_ARC
(32,25),-1.13405 # DEPENDENCYPART_ARC
(32,26),-0.0903986 # DEPENDENCYPART_ARC
(32,27),-0.537799 # DEPENDENCYPART_ARC
(32,28),-0.355422 # DEPENDENCYPART_ARC
(32,29),-0.211742 # DEPENDENCYPART_ARC
(32,30),-0.399557 # DEPENDENCYPART_ARC
(32,31),0.975783 # DEPENDENCYPART_ARC
(32,33),0.438712 # DEPENDENCYPART_ARC
(32,34),-0.34113 # DEPENDENCYPART_ARC
(33,1),0.401755 # DEPENDENCYPART_ARC
(33,2),0.0913442 # DEPENDENCYPART_ARC
(33,3),-1.84972 # DEPENDENCYPART_ARC
(33,4),-1.69775 # DEPENDENCYPART_ARC
(33,5),-0.126847 # DEPENDENCYPART_ARC
(33,6),-2.95974 # DEPENDENCYPART_ARC
(33,7),0.204642 # DEPENDENCYPART_ARC
(33,8),-1.75338 # DEPENDENCYPART_ARC
(33,9),-1.98763 # DEPENDENCYPART_ARC
(33,10),1.19345 # DEPENDENCYPART_ARC
(33,11),-1.41234 # DEPENDENCYPART_ARC
(33,12),-0.922896 # DEPENDENCYPART_ARC
(33,13),0.391293 # DEPENDENCYPART_ARC
(33,14),-0.0339153 # DEPENDENCYPART_ARC
(33,15),0.0292093 # DEPENDENCYPART_ARC
