# _root_ Kouchnerhez hasonlóan a tanács többi tagja sem tudja még , miképpen lehetne szavatolni a szerb kisebbség biztonságát , s így a kérdés valószínűleg még többször napirendre kerül a testület ülésein .
#goldHeads=2,8,4,6,6,8,8,19,8,8,13,8,12,16,16,17,13,19,0,27,22,27,27,27,27,27,19,29,30,27,19,
#predictedHeads=2,8,4,6,6,8,8,19,8,8,12,8,12,16,16,17,13,19,0,27,22,27,27,27,26,27,19,29,30,27,12,
(21,4),-3.66555 # DEPENDENCYPART_ARC
(21,5),-2.29094 # DEPENDENCYPART_ARC
(21,6),-4.19586 # DEPENDENCYPART_ARC
(21,10),-1.61754 # DEPENDENCYPART_ARC
(21,15),-1.62564 # DEPENDENCYPART_ARC
(21,16),-2.81116 # DEPENDENCYPART_ARC
(21,17),-3.07779 # DEPENDENCYPART_ARC
(21,18),-0.827477 # DEPENDENCYPART_ARC
(21,19),-1.02118 # DEPENDENCYPART_ARC
(21,22),-0.303876 # DEPENDENCYPART_ARC
(21,26),-1.1637 # DEPENDENCYPART_ARC
(21,29),-1.4975 # DEPENDENCYPART_ARC
(21,30),-1.98321 # DEPENDENCYPART_ARC
(22,1),-6.10022 # DEPENDENCYPART_ARC
(22,2),-6.67531 # DEPENDENCYPART_ARC
(22,3),-3.19129 # DEPENDENCYPART_ARC
(22,4),-5.29136 # DEPENDENCYPART_ARC
(22,5),-3.2381 # DEPENDENCYPART_ARC
(22,6),-6.02429 # DEPENDENCYPART_ARC
(22,7),-2.19049 # DEPENDENCYPART_ARC
(22,8),-2.86102 # DEPENDENCYPART_ARC
(22,9),-2.12277 # DEPENDENCYPART_ARC
(22,10),-2.75856 # DEPENDENCYPART_ARC
(22,12),-3.11668 # DEPENDENCYPART_ARC
(22,13),-1.05932 # DEPENDENCYPART_ARC
(22,14),-0.966166 # DEPENDENCYPART_ARC
(22,15),-1.03672 # DEPENDENCYPART_ARC
(22,16),-1.78661 # DEPENDENCYPART_ARC
(22,17),-4.67375 # DEPENDENCYPART_ARC
(22,18),-1.02839 # DEPENDENCYPART_ARC
(22,19),-0.706465 # DEPENDENCYPART_ARC
(22,20),-0.549252 # DEPENDENCYPART_ARC
(22,21),3.09363 # DEPENDENCYPART_ARC
(22,23),-0.597305 # DEPENDENCYPART_ARC
(22,24),-0.713719 # DEPENDENCYPART_ARC
(22,25),-0.741089 # DEPENDENCYPART_ARC
(22,26),-1.44796 # DEPENDENCYPART_ARC
(22,27),-0.311544 # DEPENDENCYPART_ARC
(22,28),-1.1321 # DEPENDENCYPART_ARC
(22,29),-1.55133 # DEPENDENCYPART_ARC
(22,30),-2.87772 # DEPENDENCYPART_ARC
(22,31),-0.174313 # DEPENDENCYPART_ARC
(23,1),-1.91838 # DEPENDENCYPART_ARC
(23,2),-1.5961 # DEPENDENCYPART_ARC
(23,3),-2.89123 # DEPENDENCYPART_ARC
(23,4),-1.79009 # DEPENDENCYPART_ARC
(23,5),-1.57686 # DEPENDENCYPART_ARC
(23,6),-2.23807 # DEPENDENCYPART_ARC
(23,7),-1.68759 # DEPENDENCYPART_ARC
(23,8),-1.42983 # DEPENDENCYPART_ARC
(23,9),-1.70418 # DEPENDENCYPART_ARC
(23,10),-1.50493 # DEPENDENCYPART_ARC
(23,11),-1.46146 # DEPENDENCYPART_ARC
(23,12),-1.65437 # DEPENDENCYPART_ARC
(23,13),-1.3393 # DEPENDENCYPART_ARC
(23,14),-1.72209 # DEPENDENCYPART_ARC
(23,15),-1.21664 # DEPENDENCYPART_ARC
(23,16),-1.26179 # DEPENDENCYPART_ARC
(23,17),-1.42092 # DEPENDENCYPART_ARC
(23,18),-0.853746 # DEPENDENCYPART_ARC
(23,19),-0.793828 # DEPENDENCYPART_ARC
(23,20),-0.15723 # DEPENDENCYPART_ARC
(23,21),-0.621523 # DEPENDENCYPART_ARC
(23,22),-0.245882 # DEPENDENCYPART_ARC
(23,24),-0.192837 # DEPENDENCYPART_ARC
(23,25),-0.407218 # DEPENDENCYPART_ARC
(23,26),-0.360308 # DEPENDENCYPART_ARC
(23,27),-0.218213 # DEPENDENCYPART_ARC
(23,28),-0.91917 # DEPENDENCYPART_ARC
(23,29),-1.04162 # DEPENDENCYPART_ARC
(23,30),-1.07377 # DEPENDENCYPART_ARC
(23,31),-0.0980598 # DEPENDENCYPART_ARC
(24,1),-1.3754 # DEPENDENCYPART_ARC
(24,2),-1.24053 # DEPENDENCYPART_ARC
(24,3),-2.8021 # DEPENDENCYPART_ARC
(24,4),-1.34952 # DEPENDENCYPART_ARC
(24,5),-1.10608 # DEPENDENCYPART_ARC
(24,6),-1.67916 # DEPENDENCYPART_ARC
(24,7),-1.44846 # DEPENDENCYPART_ARC
(24,8),-1.05515 # DEPENDENCYPART_ARC
(24,9),-1.46959 # DEPENDENCYPART_ARC
(24,10),-0.703961 # DEPENDENCYPART_ARC
(24,11),-1.22491 # DEPENDENCYPART_ARC
(24,12),-1.16717 # DEPENDENCYPART_ARC
(24,13),-0.96453 # DEPENDENCYPART_ARC
(24,14),-1.40626 # DEPENDENCYPART_ARC
(24,15),-0.762427 # DEPENDENCYPART_ARC
(24,16),-0.897288 # DEPENDENCYPART_ARC
(24,17),-1.22509 # DEPENDENCYPART_ARC
(24,18),0.0112497 # DEPENDENCYPART_ARC
(24,19),-0.421604 # DEPENDENCYPART_ARC
(24,20),-0.0732439 # DEPENDENCYPART_ARC
(24,21),-0.536609 # DEPENDENCYPART_ARC
(24,22),-0.453813 # DEPENDENCYPART_ARC
(24,23),0.310364 # DEPENDENCYPART_ARC
(24,25),-0.263946 # DEPENDENCYPART_ARC
(24,26),-0.145152 # DEPENDENCYPART_ARC
(24,27),-0.202749 # DEPENDENCYPART_ARC
(24,28),-0.897032 # DEPENDENCYPART_ARC
(24,29),-1.00746 # DEPENDENCYPART_ARC
(24,30),-1.20046 # DEPENDENCYPART_ARC
(24,31),-0.43045 # DEPENDENCYPART_ARC
(25,1),-3.1385 # DEPENDENCYPART_ARC
(25,2),-2.8162 # DEPENDENCYPART_ARC
(25,3),-1.77287 # DEPENDENCYPART_ARC
(25,4),-3.11267 # DEPENDENCYPART_ARC
(25,5),-2.28418 # DEPENDENCYPART_ARC
(25,6),-2.99056 # DEPENDENCYPART_ARC
(25,7),-2.01076 # DEPENDENCYPART_ARC
(25,8),-2.40384 # DEPENDENCYPART_ARC
(25,9),-1.66126 # DEPENDENCYPART_ARC
(25,10),-2.57899 # DEPENDENCYPART_ARC
(25,12),-2.29388 # DEPENDENCYPART_ARC
(25,13),-1.58194 # DEPENDENCYPART_ARC
(25,14),-0.959175 # DEPENDENCYPART_ARC
(25,15),-1.58499 # DEPENDENCYPART_ARC
(25,16),-2.11733 # DEPENDENCYPART_ARC
(25,17),-2.42973 # DEPENDENCYPART_ARC
(25,18),-1.4678 # DEPENDENCYPART_ARC
(25,19),-1.06748 # DEPENDENCYPART_ARC
(25,20),-1.00841 # DEPENDENCYPART_ARC
(25,21),-0.498436 # DEPENDENCYPART_ARC
(25,22),-1.32855 # DEPENDENCYPART_ARC
(25,23),-0.693569 # DEPENDENCYPART_ARC
(25,24),-0.15469 # DEPENDENCYPART_ARC
(25,26),-1.09112 # DEPENDENCYPART_ARC
(25,27),-0.65577 # DEPENDENCYPART_ARC
(25,28),-1.65623 # DEPENDENCYPART_ARC
(25,29),-1.70973 # DEPENDENCYPART_ARC
(25,30),-2.47717 # DEPENDENCYPART_ARC
(25,31),-0.74616 # DEPENDENCYPART_ARC
(26,1),-6.46733 # DEPENDENCYPART_ARC
(26,2),-5.72905 # DEPENDENCYPART_ARC
(26,3),-3.64206 # DEPENDENCYPART_ARC
(26,4),-5.37187 # DEPENDENCYPART_ARC
(26,5),-2.81217 # DEPENDENCYPART_ARC
(26,6),-6.35752 # DEPENDENCYPART_ARC
(26,7),-0.815688 # DEPENDENCYPART_ARC
(26,8),-2.83821 # DEPENDENCYPART_ARC
(26,9),-1.00439 # DEPENDENCYPART_ARC
(26,10),-2.26264 # DEPENDENCYPART_ARC
(26,12),-3.10929 # DEPENDENCYPART_ARC
(26,13),-0.61252 # DEPENDENCYPART_ARC
(26,14),-1.03887 # DEPENDENCYPART_ARC
(26,15),-0.520085 # DEPENDENCYPART_ARC
(26,16),-1.93015 # DEPENDENCYPART_ARC
(26,17),-5.01268 # DEPENDENCYPART_ARC
(26,18),-0.375607 # DEPENDENCYPART_ARC
(26,19),0.122098 # DEPENDENCYPART_ARC
(26,20),-0.19516 # DEPENDENCYPART_ARC
(26,21),0.520002 # DEPENDENCYPART_ARC
(26,22),-1.19131 # DEPENDENCYPART_ARC
(26,23),0.466351 # DEPENDENCYPART_ARC
(26,24),1.36866 # DEPENDENCYPART_ARC
(26,25),1.76665 # DEPENDENCYPART_ARC
(26,27),-0.461708 # DEPENDENCYPART_ARC
(26,28),-1.18325 # DEPENDENCYPART_ARC
(26,29),-1.04943 # DEPENDENCYPART_ARC
(26,30),-1.76394 # DEPENDENCYPART_ARC
(26,31),-0.627899 # DEPENDENCYPART_ARC
(27,1),-0.982071 # DEPENDENCYPART_ARC
(27,2),-0.233313 # DEPENDENCYPART_ARC
(27,3),-2.48084 # DEPENDENCYPART_ARC
(27,4),-0.619965 # DEPENDENCYPART_ARC
(27,5),-1.03528 # DEPENDENCYPART_ARC
(27,6),0.251073 # DEPENDENCYPART_ARC
(27,7),-1.70594 # DEPENDENCYPART_ARC
(27,8),-0.430959 # DEPENDENCYPART_ARC
(27,9),-1.83172 # DEPENDENCYPART_ARC
(27,10),0.219143 # DEPENDENCYPART_ARC
(27,11),-0.596607 # DEPENDENCYPART_ARC
(27,12),0.327019 # DEPENDENCYPART_ARC
(27,13),0.413598 # DEPENDENCYPART_ARC
(27,14),-1.26619 # DEPENDENCYPART_ARC
(27,15),-0.687078 # DEPENDENCYPART_ARC
(27,16),0.322378 # DEPENDENCYPART_ARC
(27,17),-0.401452 # DEPENDENCYPART_ARC
(27,18),0.332142 # DEPENDENCYPART_ARC
(27,19),0.403684 # DEPENDENCYPART_ARC
(27,20),0.914424 # DEPENDENCYPART_ARC
(27,21),-1.11416 # DEPENDENCYPART_ARC
(27,22),1.48733 # DEPENDENCYPART_ARC
(27,23),1.47824 # DEPENDENCYPART_ARC
(27,24),1.37068 # DEPENDENCYPART_ARC
(27,25),1.65131 # DEPENDENCYPART_ARC
(27,26),2.97114 # DEPENDENCYPART_ARC
(27,28),-0.396418 # DEPENDENCYPART_ARC
(27,29),1.45206 # DEPENDENCYPART_ARC
(27,30),2.01736 # DEPENDENCYPART_ARC
(27,31),1.11759 # DEPENDENCYPART_ARC
(28,1),-3.994 # DEPENDENCYPART_ARC
(28,2),-2.76097 # DEPENDENCYPART_ARC
(28,4),-4.11726 # DEPENDENCYPART_ARC
(28,5),-2.67594 # DEPENDENCYPART_ARC
(28,6),-4.65922 # DEPENDENCYPART_ARC
(28,10),-1.93376 # DEPENDENCYPART_ARC
(28,15),-2.25644 # DEPENDENCYPART_ARC
(28,16),-3.61719 # DEPENDENCYPART_ARC
(28,17),-4.01386 # DEPENDENCYPART_ARC
(28,18),-1.61007 # DEPENDENCYPART_ARC
(28,19),-1.8046 # DEPENDENCYPART_ARC
(28,22),-3.23874 # DEPENDENCYPART_ARC
(28,26),-2.45139 # DEPENDENCYPART_ARC
(28,29),-0.556863 # DEPENDENCYPART_ARC
(28,30),-1.24872 # DEPENDENCYPART_ARC
(29,1),-7.65498 # DEPENDENCYPART_ARC
(29,2),-8.07094 # DEPENDENCYPART_ARC
(29,3),-4.82317 # DEPENDENCYPART_ARC
(29,4),-6.89903 # DEPENDENCYPART_ARC
(29,5),-4.58581 # DEPENDENCYPART_ARC
(29,6),-7.76386 # DEPENDENCYPART_ARC
(29,7),-2.44348 # DEPENDENCYPART_ARC
(29,8),-3.26634 # DEPENDENCYPART_ARC
(29,9),-2.06166 # DEPENDENCYPART_ARC
(29,10),-3.43013 # DEPENDENCYPART_ARC
(29,12),-3.48113 # DEPENDENCYPART_ARC
(29,13),-1.72021 # DEPENDENCYPART_ARC
(29,14),-3.02046 # DEPENDENCYPART_ARC
(29,15),-2.65509 # DEPENDENCYPART_ARC
(29,16),-4.25177 # DEPENDENCYPART_ARC
(29,17),-7.4292 # DEPENDENCYPART_ARC
(29,18),-2.33201 # DEPENDENCYPART_ARC
(29,19),-1.34302 # DEPENDENCYPART_ARC
(29,20),-1.68416 # DEPENDENCYPART_ARC
(29,21),-1.1294 # DEPENDENCYPART_ARC
(29,22),-3.92879 # DEPENDENCYPART_ARC
(29,23),-1.52482 # DEPENDENCYPART_ARC
(29,24),-1.16282 # DEPENDENCYPART_ARC
(29,25),-2.23845 # DEPENDENCYPART_ARC
(29,26),-3.27365 # DEPENDENCYPART_ARC
(29,27),-1.08614 # DEPENDENCYPART_ARC
(29,28),2.92422 # DEPENDENCYPART_ARC
(29,30),-2.27234 # DEPENDENCYPART_ARC
(29,31),-1.45054 # DEPENDENCYPART_ARC
(30,1),-8.25209 # DEPENDENCYPART_ARC
(30,2),-7.55047 # DEPENDENCYPART_ARC
(30,3),-5.22093 # DEPENDENCYPART_ARC
(30,4),-4.82217 # DEPENDENCYPART_ARC
(30,5),-4.19947 # DEPENDENCYPART_ARC
(30,6),-6.13518 # DEPENDENCYPART_ARC
(30,7),-1.54652 # DEPENDENCYPART_ARC
(30,8),-3.83632 # DEPENDENCYPART_ARC
(30,9),-1.44997 # DEPENDENCYPART_ARC
(30,10),-2.63271 # DEPENDENCYPART_ARC
(30,12),-4.57681 # DEPENDENCYPART_ARC
(30,13),-1.28962 # DEPENDENCYPART_ARC
(30,14),-2.83518 # DEPENDENCYPART_ARC
(30,15),-2.42582 # DEPENDENCYPART_ARC
(30,16),-1.79122 # DEPENDENCYPART_ARC
(30,17),-5.98176 # DEPENDENCYPART_ARC
(30,18),-1.20309 # DEPENDENCYPART_ARC
(30,19),-0.0124709 # DEPENDENCYPART_ARC
(30,20),-0.864032 # DEPENDENCYPART_ARC
(30,21),-1.69755 # DEPENDENCYPART_ARC
(30,22),-1.75982 # DEPENDENCYPART_ARC
(30,23),-0.637149 # DEPENDENCYPART_ARC
(30,24),-0.512366 # DEPENDENCYPART_ARC
(30,25),-2.29032 # DEPENDENCYPART_ARC
(30,26),-2.28999 # DEPENDENCYPART_ARC
(30,27),-2.80445 # DEPENDENCYPART_ARC
(30,28),1.72527 # DEPENDENCYPART_ARC
(30,29),4.06749 # DEPENDENCYPART_ARC
(30,31),-0.318886 # DEPENDENCYPART_ARC
