# _root_ Amiből még olyan következtetést is le lehet vonni , hogy nem is maga a szabadság olyan fontos és nélkülözhetetlen az emberfajtának , hanem a szabadság utáni vágy : a szabadság szivárványos képe .
#goldHeads=8,8,4,8,8,7,0,7,7,7,12,3,12,15,13,17,19,19,12,21,12,3,3,25,26,27,3,27,30,32,32,27,7,
#predictedHeads=8,8,4,8,7,7,0,7,7,7,23,23,15,15,32,17,19,19,23,21,26,23,3,25,26,27,32,27,30,32,32,23,7,
(18,24),-0.705857 # DEPENDENCYPART_ARC
(18,25),-0.832015 # DEPENDENCYPART_ARC
(18,26),-0.9752 # DEPENDENCYPART_ARC
(18,27),-1.01816 # DEPENDENCYPART_ARC
(18,28),0.243761 # DEPENDENCYPART_ARC
(18,29),-0.970394 # DEPENDENCYPART_ARC
(18,30),-1.61585 # DEPENDENCYPART_ARC
(18,31),-1.49049 # DEPENDENCYPART_ARC
(18,32),-2.08429 # DEPENDENCYPART_ARC
(18,33),-0.347797 # DEPENDENCYPART_ARC
(19,1),-1.28499 # DEPENDENCYPART_ARC
(19,2),-0.854635 # DEPENDENCYPART_ARC
(19,3),-1.50664 # DEPENDENCYPART_ARC
(19,4),-1.94653 # DEPENDENCYPART_ARC
(19,5),-0.951714 # DEPENDENCYPART_ARC
(19,6),-0.679367 # DEPENDENCYPART_ARC
(19,7),-1.08233 # DEPENDENCYPART_ARC
(19,8),-0.359297 # DEPENDENCYPART_ARC
(19,9),-0.0915968 # DEPENDENCYPART_ARC
(19,10),-0.276676 # DEPENDENCYPART_ARC
(19,11),-0.196695 # DEPENDENCYPART_ARC
(19,12),-0.266383 # DEPENDENCYPART_ARC
(19,13),-0.657035 # DEPENDENCYPART_ARC
(19,14),-0.249408 # DEPENDENCYPART_ARC
(19,15),-0.450163 # DEPENDENCYPART_ARC
(19,16),0.901572 # DEPENDENCYPART_ARC
(19,17),0.564675 # DEPENDENCYPART_ARC
(19,18),1.20307 # DEPENDENCYPART_ARC
(19,20),-0.160094 # DEPENDENCYPART_ARC
(19,21),0.529621 # DEPENDENCYPART_ARC
(19,22),0.338726 # DEPENDENCYPART_ARC
(19,23),-0.123557 # DEPENDENCYPART_ARC
(19,24),-0.621197 # DEPENDENCYPART_ARC
(19,25),-0.54051 # DEPENDENCYPART_ARC
(19,26),-0.674642 # DEPENDENCYPART_ARC
(19,27),-0.210948 # DEPENDENCYPART_ARC
(19,28),0.0943768 # DEPENDENCYPART_ARC
(19,29),-0.712482 # DEPENDENCYPART_ARC
(19,30),-0.953737 # DEPENDENCYPART_ARC
(19,31),-0.951418 # DEPENDENCYPART_ARC
(19,32),-1.17448 # DEPENDENCYPART_ARC
(19,33),1.0344 # DEPENDENCYPART_ARC
(20,4),-3.20083 # DEPENDENCYPART_ARC
(20,5),-1.63595 # DEPENDENCYPART_ARC
(20,9),-0.970019 # DEPENDENCYPART_ARC
(20,13),-1.55113 # DEPENDENCYPART_ARC
(20,15),-2.45958 # DEPENDENCYPART_ARC
(20,17),-1.24327 # DEPENDENCYPART_ARC
(20,18),-0.786001 # DEPENDENCYPART_ARC
(20,19),-0.531556 # DEPENDENCYPART_ARC
(20,21),-0.648985 # DEPENDENCYPART_ARC
(20,22),-0.392963 # DEPENDENCYPART_ARC
(20,23),-0.937395 # DEPENDENCYPART_ARC
(20,25),-1.36099 # DEPENDENCYPART_ARC
(20,26),-1.22128 # DEPENDENCYPART_ARC
(20,27),-1.6532 # DEPENDENCYPART_ARC
(20,28),-0.491039 # DEPENDENCYPART_ARC
(20,30),-1.77044 # DEPENDENCYPART_ARC
(20,31),-1.61764 # DEPENDENCYPART_ARC
(20,32),-2.35119 # DEPENDENCYPART_ARC
(21,1),-4.29461 # DEPENDENCYPART_ARC
(21,2),-2.15202 # DEPENDENCYPART_ARC
(21,3),-2.55966 # DEPENDENCYPART_ARC
(21,4),-6.53767 # DEPENDENCYPART_ARC
(21,5),-2.84878 # DEPENDENCYPART_ARC
(21,6),-2.28494 # DEPENDENCYPART_ARC
(21,7),-3.37517 # DEPENDENCYPART_ARC
(21,8),-1.17145 # DEPENDENCYPART_ARC
(21,9),-1.73566 # DEPENDENCYPART_ARC
(21,10),-1.97256 # DEPENDENCYPART_ARC
(21,11),-1.29681 # DEPENDENCYPART_ARC
(21,12),-2.01207 # DEPENDENCYPART_ARC
(21,13),-0.590186 # DEPENDENCYPART_ARC
(21,14),-0.219832 # DEPENDENCYPART_ARC
(21,15),-2.19126 # DEPENDENCYPART_ARC
(21,16),-1.16024 # DEPENDENCYPART_ARC
(21,17),-1.05511 # DEPENDENCYPART_ARC
(21,18),0.141923 # DEPENDENCYPART_ARC
(21,19),-0.732703 # DEPENDENCYPART_ARC
(21,20),2.9149 # DEPENDENCYPART_ARC
(21,22),-0.432696 # DEPENDENCYPART_ARC
(21,23),-1.04489 # DEPENDENCYPART_ARC
(21,24),-1.31242 # DEPENDENCYPART_ARC
(21,25),-1.5806 # DEPENDENCYPART_ARC
(21,26),-1.56863 # DEPENDENCYPART_ARC
(21,27),-1.29632 # DEPENDENCYPART_ARC
(21,28),-0.308317 # DEPENDENCYPART_ARC
(21,29),-1.6317 # DEPENDENCYPART_ARC
(21,30),-1.91302 # DEPENDENCYPART_ARC
(21,31),-1.8325 # DEPENDENCYPART_ARC
(21,32),-2.21806 # DEPENDENCYPART_ARC
(21,33),-0.542364 # DEPENDENCYPART_ARC
(23,1),-0.624178 # DEPENDENCYPART_ARC
(23,2),-0.157319 # DEPENDENCYPART_ARC
(23,3),-0.332927 # DEPENDENCYPART_ARC
(23,4),-1.00366 # DEPENDENCYPART_ARC
(23,5),0.345434 # DEPENDENCYPART_ARC
(23,7),0.255154 # DEPENDENCYPART_ARC
(23,8),-0.722173 # DEPENDENCYPART_ARC
(23,9),0.672193 # DEPENDENCYPART_ARC
(23,10),0.650425 # DEPENDENCYPART_ARC
(23,11),0.689974 # DEPENDENCYPART_ARC
(23,12),0.0591174 # DEPENDENCYPART_ARC
(23,13),-0.0121565 # DEPENDENCYPART_ARC
(23,14),-1.07077 # DEPENDENCYPART_ARC
(23,15),0.0307978 # DEPENDENCYPART_ARC
(23,16),0.523455 # DEPENDENCYPART_ARC
(23,17),-0.00561065 # DEPENDENCYPART_ARC
(23,18),0.37494 # DEPENDENCYPART_ARC
(23,19),0.399683 # DEPENDENCYPART_ARC
(23,20),0.253727 # DEPENDENCYPART_ARC
(23,21),-0.129469 # DEPENDENCYPART_ARC
(23,22),1.33763 # DEPENDENCYPART_ARC
(23,24),-0.166847 # DEPENDENCYPART_ARC
(23,25),0.260462 # DEPENDENCYPART_ARC
(23,26),0.173442 # DEPENDENCYPART_ARC
(23,27),0.266038 # DEPENDENCYPART_ARC
(23,28),0.411356 # DEPENDENCYPART_ARC
(23,29),-0.54621 # DEPENDENCYPART_ARC
(23,30),-0.444567 # DEPENDENCYPART_ARC
(23,31),-0.282844 # DEPENDENCYPART_ARC
(23,32),-0.353202 # DEPENDENCYPART_ARC
(23,33),2.02062 # DEPENDENCYPART_ARC
(24,4),-3.65261 # DEPENDENCYPART_ARC
(24,5),-2.13825 # DEPENDENCYPART_ARC
(24,9),-1.09261 # DEPENDENCYPART_ARC
(24,13),-1.93529 # DEPENDENCYPART_ARC
(24,15),-3.02104 # DEPENDENCYPART_ARC
(24,17),-1.61574 # DEPENDENCYPART_ARC
(24,18),-1.27787 # DEPENDENCYPART_ARC
(24,19),-1.61612 # DEPENDENCYPART_ARC
(24,21),-2.33666 # DEPENDENCYPART_ARC
(24,22),-0.878929 # DEPENDENCYPART_ARC
(24,23),-0.401644 # DEPENDENCYPART_ARC
(24,25),-0.405208 # DEPENDENCYPART_ARC
(24,26),-0.163005 # DEPENDENCYPART_ARC
(24,27),-1.07893 # DEPENDENCYPART_ARC
(24,28),-0.507928 # DEPENDENCYPART_ARC
(24,30),-1.55952 # DEPENDENCYPART_ARC
(24,31),-1.1753 # DEPENDENCYPART_ARC
(24,32),-2.07632 # DEPENDENCYPART_ARC
(25,1),-6.13515 # DEPENDENCYPART_ARC
(25,2),-2.85314 # DEPENDENCYPART_ARC
(25,3),-3.45079 # DEPENDENCYPART_ARC
(25,4),-7.86967 # DEPENDENCYPART_ARC
(25,5),-3.76927 # DEPENDENCYPART_ARC
(25,6),-2.78843 # DEPENDENCYPART_ARC
(25,7),-3.70309 # DEPENDENCYPART_ARC
(25,8),-1.71571 # DEPENDENCYPART_ARC
(25,9),-2.56168 # DEPENDENCYPART_ARC
(25,10),-2.82194 # DEPENDENCYPART_ARC
(25,11),-1.86933 # DEPENDENCYPART_ARC
(25,12),-2.61837 # DEPENDENCYPART_ARC
(25,13),-1.63805 # DEPENDENCYPART_ARC
(25,14),-1.73775 # DEPENDENCYPART_ARC
(25,15),-2.98691 # DEPENDENCYPART_ARC
(25,16),-1.92354 # DEPENDENCYPART_ARC
(25,17),-2.69887 # DEPENDENCYPART_ARC
(25,18),-1.08818 # DEPENDENCYPART_ARC
(25,19),-3.02829 # DEPENDENCYPART_ARC
(25,20),-0.380301 # DEPENDENCYPART_ARC
(25,21),-2.7904 # DEPENDENCYPART_ARC
(25,22),-0.858868 # DEPENDENCYPART_ARC
(25,23),-1.0224 # DEPENDENCYPART_ARC
(25,24),2.81764 # DEPENDENCYPART_ARC
(25,26),-0.852584 # DEPENDENCYPART_ARC
(25,27),-0.00275603 # DEPENDENCYPART_ARC
(25,28),-0.0479567 # DEPENDENCYPART_ARC
(25,29),-1.31779 # DEPENDENCYPART_ARC
(25,30),-0.782071 # DEPENDENCYPART_ARC
(25,31),-1.52228 # DEPENDENCYPART_ARC
(25,32),-1.08293 # DEPENDENCYPART_ARC
(25,33),-0.483638 # DEPENDENCYPART_ARC
(26,1),-1.42293 # DEPENDENCYPART_ARC
(26,2),-0.996572 # DEPENDENCYPART_ARC
(26,3),-1.65765 # DEPENDENCYPART_ARC
(26,4),-2.01673 # DEPENDENCYPART_ARC
(26,5),-0.967851 # DEPENDENCYPART_ARC
(26,6),-1.01811 # DEPENDENCYPART_ARC
(26,7),-0.868139 # DEPENDENCYPART_ARC
(26,8),-0.162198 # DEPENDENCYPART_ARC
(26,9),-0.510056 # DEPENDENCYPART_ARC
(26,10),-0.270533 # DEPENDENCYPART_ARC
(26,11),-0.526738 # DEPENDENCYPART_ARC
(26,12),-0.724545 # DEPENDENCYPART_ARC
(26,13),-0.885588 # DEPENDENCYPART_ARC
(26,14),-0.82161 # DEPENDENCYPART_ARC
(26,15),-0.715099 # DEPENDENCYPART_ARC
(26,16),0.443223 # DEPENDENCYPART_ARC
(26,17),-0.868925 # DEPENDENCYPART_ARC
(26,18),0.410936 # DEPENDENCYPART_ARC
(26,19),-0.932132 # DEPENDENCYPART_ARC
(26,20),0.0932047 # DEPENDENCYPART_ARC
(26,21),1.01955 # DEPENDENCYPART_ARC
(26,22),0.635545 # DEPENDENCYPART_ARC
(26,23),0.564536 # DEPENDENCYPART_ARC
(26,24),1.16355 # DEPENDENCYPART_ARC
(26,25),2.52387 # DEPENDENCYPART_ARC
(26,27),-0.552913 # DEPENDENCYPART_ARC
(26,28),-0.518231 # DEPENDENCYPART_ARC
(26,29),-1.52476 # DEPENDENCYPART_ARC
(26,30),-1.52773 # DEPENDENCYPART_ARC
(26,31),-1.59198 # DEPENDENCYPART_ARC
(26,32),-2.03412 # DEPENDENCYPART_ARC
(26,33),-0.826795 # DEPENDENCYPART_ARC
(27,1),-4.57591 # DEPENDENCYPART_ARC
(27,2),-1.13932 # DEPENDENCYPART_ARC
(27,3),-1.62411 # DEPENDENCYPART_ARC
(27,4),-5.92233 # DEPENDENCYPART_ARC
(27,5),-2.12565 # DEPENDENCYPART_ARC
(27,6),-1.30994 # DEPENDENCYPART_ARC
(27,7),-1.82842 # DEPENDENCYPART_ARC
(27,8),0.08731 # DEPENDENCYPART_ARC
(27,9),-0.775408 # DEPENDENCYPART_ARC
(27,10),-0.787314 # DEPENDENCYPART_ARC
(27,11),-0.227361 # DEPENDENCYPART_ARC
(27,12),-1.27136 # DEPENDENCYPART_ARC
(27,13),0.284625 # DEPENDENCYPART_ARC
(27,14),-0.0847607 # DEPENDENCYPART_ARC
(27,15),-1.06096 # DEPENDENCYPART_ARC
(27,16),-0.365644 # DEPENDENCYPART_ARC
(27,17),-0.0637988 # DEPENDENCYPART_ARC
(27,18),1.17893 # DEPENDENCYPART_ARC
(27,19),-0.834096 # DEPENDENCYPART_ARC
(27,20),1.0786 # DEPENDENCYPART_ARC
(27,21),-1.62971 # DEPENDENCYPART_ARC
(27,22),0.197661 # DEPENDENCYPART_ARC
(27,23),0.219021 # DEPENDENCYPART_ARC
(27,24),2.52298 # DEPENDENCYPART_ARC
(27,25),1.9128 # DEPENDENCYPART_ARC
(27,26),4.14204 # DEPENDENCYPART_ARC
(27,28),0.693468 # DEPENDENCYPART_ARC
(27,29),-0.544112 # DEPENDENCYPART_ARC
(27,30),0.0614385 # DEPENDENCYPART_ARC
(27,31),-0.570595 # DEPENDENCYPART_ARC
(27,32),-0.0948476 # DEPENDENCYPART_ARC
(27,33),0.513178 # DEPENDENCYPART_ARC
(29,4),-4.56889 # DEPENDENCYPART_ARC
(29,5),-3.09853 # DEPENDENCYPART_ARC
(29,9),-2.03429 # DEPENDENCYPART_ARC
(29,13),-2.84067 # DEPENDENCYPART_ARC
(29,15),-3.99376 # DEPENDENCYPART_ARC
(29,17),-2.47675 # DEPENDENCYPART_ARC
(29,18),-2.28564 # DEPENDENCYPART_ARC
(29,19),-2.54235 # DEPENDENCYPART_ARC
(29,21),-3.63751 # DEPENDENCYPART_ARC
(29,22),-1.9235 # DEPENDENCYPART_ARC
(29,23),-2.03609 # DEPENDENCYPART_ARC
(29,25),-3.35417 # DEPENDENCYPART_ARC
(29,26),-2.04543 # DEPENDENCYPART_ARC
(29,27),-2.96073 # DEPENDENCYPART_ARC
(29,28),-1.43935 # DEPENDENCYPART_ARC
(29,30),-0.652886 # DEPENDENCYPART_ARC
(29,31),-0.430739 # DEPENDENCYPART_ARC
(29,32),-1.64714 # DEPENDENCYPART_ARC
(30,1),-6.41032 # DEPENDENCYPART_ARC
(30,2),-2.85637 # DEPENDENCYPART_ARC
(30,3),-3.62966 # DEPENDENCYPART_ARC
(30,4),-8.29145 # DEPENDENCYPART_ARC
(30,5),-4.23192 # DEPENDENCYPART_ARC
(30,6),-3.02084 # DEPENDENCYPART_ARC
(30,7),-3.9491 # DEPENDENCYPART_ARC
(30,8),-2.01657 # DEPENDENCYPART_ARC
(30,9),-2.98278 # DEPENDENCYPART_ARC
(30,10),-2.86793 # DEPENDENCYPART_ARC
(30,11),-1.87245 # DEPENDENCYPART_ARC
(30,12),-2.92898 # DEPENDENCYPART_ARC
(30,13),-1.98406 # DEPENDENCYPART_ARC
(30,14),-2.63207 # DEPENDENCYPART_ARC
(30,15),-3.56918 # DEPENDENCYPART_ARC
(30,16),-1.97428 # DEPENDENCYPART_ARC
(30,17),-3.33255 # DEPENDENCYPART_ARC
(30,18),-1.37246 # DEPENDENCYPART_ARC
(30,19),-3.72328 # DEPENDENCYPART_ARC
(30,20),-1.21905 # DEPENDENCYPART_ARC
(30,21),-3.69683 # DEPENDENCYPART_ARC
(30,22),-1.31577 # DEPENDENCYPART_ARC
(30,23),-1.78346 # DEPENDENCYPART_ARC
(30,24),-0.0650098 # DEPENDENCYPART_ARC
(30,25),-1.70009 # DEPENDENCYPART_ARC
(30,26),-0.89802 # DEPENDENCYPART_ARC
(30,27),-1.80221 # DEPENDENCYPART_ARC
(30,28),-1.22202 # DEPENDENCYPART_ARC
(30,29),2.84553 # DEPENDENCYPART_ARC
(30,31),-0.771347 # DEPENDENCYPART_ARC
(30,32),-0.480715 # DEPENDENCYPART_ARC
(30,33),-0.521158 # DEPENDENCYPART_ARC
(31,1),-2.0061 # DEPENDENCYPART_ARC
(31,2),-1.6785 # DEPENDENCYPART_ARC
(31,3),-2.28035 # DEPENDENCYPART_ARC
(31,4),-2.63901 # DEPENDENCYPART_ARC
(31,5),-1.52996 # DEPENDENCYPART_ARC
(31,6),-1.91501 # DEPENDENCYPART_ARC
(31,7),-1.41626 # DEPENDENCYPART_ARC
(31,8),-0.695075 # DEPENDENCYPART_ARC
(31,9),-1.38493 # DEPENDENCYPART_ARC
(31,10),-0.888052 # DEPENDENCYPART_ARC
(31,11),-1.17755 # DEPENDENCYPART_ARC
(31,12),-1.68289 # DEPENDENCYPART_ARC
(31,13),-1.55387 # DEPENDENCYPART_ARC
(31,14),-1.72291 # DEPENDENCYPART_ARC
(31,15),-1.48433 # DEPENDENCYPART_ARC
(31,16),-0.51806 # DEPENDENCYPART_ARC
(31,17),-1.83592 # DEPENDENCYPART_ARC
(31,18),-0.382153 # DEPENDENCYPART_ARC
(31,19),-1.93545 # DEPENDENCYPART_ARC
(31,20),-0.678388 # DEPENDENCYPART_ARC
(31,21),0.0332254 # DEPENDENCYPART_ARC
(31,22),-0.111355 # DEPENDENCYPART_ARC
(31,23),-0.272724 # DEPENDENCYPART_ARC
(31,24),-0.533023 # DEPENDENCYPART_ARC
(31,25),-0.0446196 # DEPENDENCYPART_ARC
(31,26),-1.07045 # DEPENDENCYPART_ARC
(31,27),-0.953359 # DEPENDENCYPART_ARC
(31,28),0.304008 # DEPENDENCYPART_ARC
(31,29),0.762549 # DEPENDENCYPART_ARC
(31,30),1.8374 # DEPENDENCYPART_ARC
(31,32),-1.05015 # DEPENDENCYPART_ARC
(31,33),-1.23057 # DEPENDENCYPART_ARC
(32,1),-6.27937 # DEPENDENCYPART_ARC
(32,2),-1.12517 # DEPENDENCYPART_ARC
(32,3),-2.52715 # DEPENDENCYPART_ARC
(32,4),-6.33444 # DEPENDENCYPART_ARC
(32,5),-2.10453 # DEPENDENCYPART_ARC
(32,6),-1.288 # DEPENDENCYPART_ARC
(32,7),-2.98517 # DEPENDENCYPART_ARC
(32,8),-0.311605 # DEPENDENCYPART_ARC
(32,9),-0.919172 # DEPENDENCYPART_ARC
(32,10),-0.904507 # DEPENDENCYPART_ARC
(32,11),-0.257986 # DEPENDENCYPART_ARC
(32,12),-1.40398 # DEPENDENCYPART_ARC
(32,13),-0.915621 # DEPENDENCYPART_ARC
(32,14),-2.1146 # DEPENDENCYPART_ARC
(32,15),0.191278 # DEPENDENCYPART_ARC
(32,16),-0.359321 # DEPENDENCYPART_ARC
(32,17),-1.32328 # DEPENDENCYPART_ARC
(32,18),0.974922 # DEPENDENCYPART_ARC
(32,19),-1.91426 # DEPENDENCYPART_ARC
(32,20),-0.841662 # DEPENDENCYPART_ARC
(32,21),-1.27858 # DEPENDENCYPART_ARC
(32,22),0.200698 # DEPENDENCYPART_ARC
(32,23),0.124525 # DEPENDENCYPART_ARC
(32,24),0.119436 # DEPENDENCYPART_ARC
(32,25),1.71431 # DEPENDENCYPART_ARC
(32,26),0.712796 # DEPENDENCYPART_ARC
(32,27),1.29252 # DEPENDENCYPART_ARC
(32,28),-0.1319 # DEPENDENCYPART_ARC
(32,29),1.29392 # DEPENDENCYPART_ARC
(32,30),3.59099 # DEPENDENCYPART_ARC
(32,31),3.38192 # DEPENDENCYPART_ARC
(32,33),-0.3081 # DEPENDENCYPART_ARC
