# _root_ Akkoriban a cég — átmeneti sikerrel — megszerezte a Magyar_Nemzet , az Esti_Hírlap és az Expressz kiadói jogát , 1997 végén pedig megindította a Napi_Magyarország című napilapot .
#goldHeads=8,3,8,8,6,8,8,0,10,18,18,13,18,18,16,18,18,8,8,21,23,23,8,27,26,27,23,8,
#predictedHeads=8,3,8,8,6,8,8,0,10,8,8,13,18,8,16,18,18,8,8,21,23,23,8,27,26,27,23,8,
(24,27),-1.19035 # DEPENDENCYPART_ARC
(25,2),-4.86317 # DEPENDENCYPART_ARC
(25,3),-6.5128 # DEPENDENCYPART_ARC
(25,4),-3.36713 # DEPENDENCYPART_ARC
(25,5),-5.83269 # DEPENDENCYPART_ARC
(25,6),-7.72789 # DEPENDENCYPART_ARC
(25,7),-3.38793 # DEPENDENCYPART_ARC
(25,8),-3.40817 # DEPENDENCYPART_ARC
(25,9),-3.93318 # DEPENDENCYPART_ARC
(25,10),-5.22357 # DEPENDENCYPART_ARC
(25,11),-3.06199 # DEPENDENCYPART_ARC
(25,12),-2.98188 # DEPENDENCYPART_ARC
(25,13),-4.32422 # DEPENDENCYPART_ARC
(25,14),-2.52604 # DEPENDENCYPART_ARC
(25,15),-2.01812 # DEPENDENCYPART_ARC
(25,16),-3.72923 # DEPENDENCYPART_ARC
(25,17),-3.31627 # DEPENDENCYPART_ARC
(25,18),-6.54327 # DEPENDENCYPART_ARC
(25,19),-2.28629 # DEPENDENCYPART_ARC
(25,20),-2.7849 # DEPENDENCYPART_ARC
(25,21),-4.98761 # DEPENDENCYPART_ARC
(25,22),-1.94881 # DEPENDENCYPART_ARC
(25,23),-0.948637 # DEPENDENCYPART_ARC
(25,24),1.96286 # DEPENDENCYPART_ARC
(25,26),-0.720406 # DEPENDENCYPART_ARC
(25,27),-0.876892 # DEPENDENCYPART_ARC
(25,28),-0.776319 # DEPENDENCYPART_ARC
(26,1),-3.21354 # DEPENDENCYPART_ARC
(26,2),-2.15657 # DEPENDENCYPART_ARC
(26,3),-3.57153 # DEPENDENCYPART_ARC
(26,4),-1.98396 # DEPENDENCYPART_ARC
(26,5),-2.39796 # DEPENDENCYPART_ARC
(26,6),-2.76795 # DEPENDENCYPART_ARC
(26,7),-1.58513 # DEPENDENCYPART_ARC
(26,8),-1.0202 # DEPENDENCYPART_ARC
(26,9),-1.38488 # DEPENDENCYPART_ARC
(26,10),-2.27032 # DEPENDENCYPART_ARC
(26,11),-1.20731 # DEPENDENCYPART_ARC
(26,12),-0.544143 # DEPENDENCYPART_ARC
(26,13),-1.10943 # DEPENDENCYPART_ARC
(26,14),0.014827 # DEPENDENCYPART_ARC
(26,15),-0.396077 # DEPENDENCYPART_ARC
(26,16),-0.331628 # DEPENDENCYPART_ARC
(26,17),-1.18052 # DEPENDENCYPART_ARC
(26,18),-0.619809 # DEPENDENCYPART_ARC
(26,19),-0.182845 # DEPENDENCYPART_ARC
(26,20),-0.137369 # DEPENDENCYPART_ARC
(26,21),0.62752 # DEPENDENCYPART_ARC
(26,22),0.671975 # DEPENDENCYPART_ARC
(26,23),0.024499 # DEPENDENCYPART_ARC
(26,24),1.29355 # DEPENDENCYPART_ARC
(26,25),3.11312 # DEPENDENCYPART_ARC
(26,27),-1.30892 # DEPENDENCYPART_ARC
(26,28),-1.24628 # DEPENDENCYPART_ARC
(27,1),-1.28646 # DEPENDENCYPART_ARC
(27,2),-2.96724 # DEPENDENCYPART_ARC
(27,3),-3.93585 # DEPENDENCYPART_ARC
(27,4),-1.64511 # DEPENDENCYPART_ARC
(27,5),-2.62109 # DEPENDENCYPART_ARC
(27,6),-5.05155 # DEPENDENCYPART_ARC
(27,7),-1.73965 # DEPENDENCYPART_ARC
(27,8),-1.80712 # DEPENDENCYPART_ARC
(27,9),-1.86588 # DEPENDENCYPART_ARC
(27,10),-2.53422 # DEPENDENCYPART_ARC
(27,11),-1.30881 # DEPENDENCYPART_ARC
(27,12),-1.31753 # DEPENDENCYPART_ARC
(27,13),-1.50459 # DEPENDENCYPART_ARC
(27,14),-0.714894 # DEPENDENCYPART_ARC
(27,15),-0.166431 # DEPENDENCYPART_ARC
(27,16),-1.01473 # DEPENDENCYPART_ARC
(27,17),0.104329 # DEPENDENCYPART_ARC
(27,18),-3.89373 # DEPENDENCYPART_ARC
(27,19),-0.557782 # DEPENDENCYPART_ARC
(27,20),-0.0956588 # DEPENDENCYPART_ARC
(27,21),-3.06007 # DEPENDENCYPART_ARC
(27,22),-0.278937 # DEPENDENCYPART_ARC
(27,23),-0.0536279 # DEPENDENCYPART_ARC
(27,24),2.38508 # DEPENDENCYPART_ARC
(27,25),2.37941 # DEPENDENCYPART_ARC
(27,26),3.83736 # DEPENDENCYPART_ARC
(27,28),-0.205991 # DEPENDENCYPART_ARC
