# _root_ De hogy az átütemezést valóban megkapja -e gazda , arról a bankok egyedileg döntenek , azaz a termelőknek a pénzintézetekkel kell megállapodniuk .
#goldHeads=16,14,4,6,6,10,6,6,14,14,12,14,14,16,16,0,18,21,20,22,16,21,16,
#predictedHeads=21,21,4,6,6,0,6,6,6,14,12,14,14,6,14,21,18,22,20,22,10,21,6,
(23,2),-3.66952 # DEPENDENCYPART_ARC
(23,3),-3.55681 # DEPENDENCYPART_ARC
(23,4),-4.59604 # DEPENDENCYPART_ARC
(23,5),-3.63735 # DEPENDENCYPART_ARC
(23,6),-3.62114 # DEPENDENCYPART_ARC
(23,7),-3.50651 # DEPENDENCYPART_ARC
(23,8),-4.39176 # DEPENDENCYPART_ARC
(23,9),-3.09205 # DEPENDENCYPART_ARC
(23,10),-3.56298 # DEPENDENCYPART_ARC
(23,11),-3.26215 # DEPENDENCYPART_ARC
(23,12),-4.291 # DEPENDENCYPART_ARC
(23,13),-3.53431 # DEPENDENCYPART_ARC
(23,14),-3.44142 # DEPENDENCYPART_ARC
(23,15),-2.89771 # DEPENDENCYPART_ARC
(23,16),-2.93123 # DEPENDENCYPART_ARC
(23,17),-3.04248 # DEPENDENCYPART_ARC
(23,18),-3.87227 # DEPENDENCYPART_ARC
(23,19),-2.93843 # DEPENDENCYPART_ARC
(23,20),-3.52915 # DEPENDENCYPART_ARC
(23,21),-2.62474 # DEPENDENCYPART_ARC
(23,22),-1.68031 # DEPENDENCYPART_ARC
