# _root_ Az a kérdés , hogy sikerül -e az előtt tárgyalóasztalhoz ültetni Szlobodan_Milosevicset , hogy a jugoszláv hadsereg teljesen kiűzi az albánokat a tartományból .
#goldHeads=5,3,5,5,0,5,6,9,11,11,6,11,6,6,17,17,19,19,6,21,19,23,19,5,
#predictedHeads=3,3,5,5,0,19,6,10,11,11,6,11,6,6,17,17,19,19,1,21,19,23,19,5,
(21,24),0.0379074 # DEPENDENCYPART_ARC
(22,1),-3.13668 # DEPENDENCYPART_ARC
(22,2),-2.16948 # DEPENDENCYPART_ARC
(22,3),-3.51543 # DEPENDENCYPART_ARC
(22,4),-1.72281 # DEPENDENCYPART_ARC
(22,5),-1.95506 # DEPENDENCYPART_ARC
(22,6),-2.75844 # DEPENDENCYPART_ARC
(22,7),-2.3388 # DEPENDENCYPART_ARC
(22,8),-1.98415 # DEPENDENCYPART_ARC
(22,9),-2.07132 # DEPENDENCYPART_ARC
(22,10),-3.26079 # DEPENDENCYPART_ARC
(22,11),-2.26711 # DEPENDENCYPART_ARC
(22,12),-2.91528 # DEPENDENCYPART_ARC
(22,13),-1.48228 # DEPENDENCYPART_ARC
(22,14),-1.59422 # DEPENDENCYPART_ARC
(22,15),-1.72007 # DEPENDENCYPART_ARC
(22,16),-1.96703 # DEPENDENCYPART_ARC
(22,17),-2.85618 # DEPENDENCYPART_ARC
(22,18),-1.79045 # DEPENDENCYPART_ARC
(22,19),-1.61665 # DEPENDENCYPART_ARC
(22,20),-0.75644 # DEPENDENCYPART_ARC
(22,21),-1.26455 # DEPENDENCYPART_ARC
(22,23),-0.465778 # DEPENDENCYPART_ARC
(22,24),-1.13084 # DEPENDENCYPART_ARC
(23,1),-3.67996 # DEPENDENCYPART_ARC
(23,2),-3.92749 # DEPENDENCYPART_ARC
(23,3),-5.31456 # DEPENDENCYPART_ARC
(23,4),-3.00382 # DEPENDENCYPART_ARC
(23,5),-2.68507 # DEPENDENCYPART_ARC
(23,6),-3.48101 # DEPENDENCYPART_ARC
(23,7),-2.08279 # DEPENDENCYPART_ARC
(23,8),-2.49504 # DEPENDENCYPART_ARC
(23,9),-1.32491 # DEPENDENCYPART_ARC
(23,10),-4.95308 # DEPENDENCYPART_ARC
(23,11),-1.06934 # DEPENDENCYPART_ARC
(23,12),-4.24578 # DEPENDENCYPART_ARC
(23,13),-1.96902 # DEPENDENCYPART_ARC
(23,14),-2.16728 # DEPENDENCYPART_ARC
(23,15),-1.54584 # DEPENDENCYPART_ARC
(23,16),-1.87414 # DEPENDENCYPART_ARC
(23,17),-3.24373 # DEPENDENCYPART_ARC
(23,18),-3.67139 # DEPENDENCYPART_ARC
(23,19),-1.72644 # DEPENDENCYPART_ARC
(23,20),1.03201 # DEPENDENCYPART_ARC
(23,21),-2.27276 # DEPENDENCYPART_ARC
(23,22),3.32755 # DEPENDENCYPART_ARC
(23,24),-0.525119 # DEPENDENCYPART_ARC
(24,1),-3.77113 # DEPENDENCYPART_ARC
(24,2),-3.48259 # DEPENDENCYPART_ARC
(24,3),-4.5485 # DEPENDENCYPART_ARC
(24,4),-3.07399 # DEPENDENCYPART_ARC
(24,5),-3.16368 # DEPENDENCYPART_ARC
(24,6),-3.50814 # DEPENDENCYPART_ARC
(24,7),-3.31994 # DEPENDENCYPART_ARC
(24,8),-3.21646 # DEPENDENCYPART_ARC
(24,9),-3.22154 # DEPENDENCYPART_ARC
(24,10),-4.23109 # DEPENDENCYPART_ARC
(24,11),-3.27788 # DEPENDENCYPART_ARC
(24,12),-4.12104 # DEPENDENCYPART_ARC
(24,13),-2.79347 # DEPENDENCYPART_ARC
(24,14),-2.79979 # DEPENDENCYPART_ARC
(24,15),-2.96184 # DEPENDENCYPART_ARC
(24,16),-3.20768 # DEPENDENCYPART_ARC
(24,17),-3.91514 # DEPENDENCYPART_ARC
(24,18),-3.11856 # DEPENDENCYPART_ARC
(24,19),-2.72562 # DEPENDENCYPART_ARC
(24,20),-2.41766 # DEPENDENCYPART_ARC
(24,21),-3.16498 # DEPENDENCYPART_ARC
(24,22),-1.89926 # DEPENDENCYPART_ARC
(24,23),-2.56264 # DEPENDENCYPART_ARC
