# _root_ — Azt a határtalan boldogságot nem lehet leírni , amikor a bagi fiúk a második vonalba jutottak — mondja Lajtos_István , a RO-LA_Kft. egyik társtulajdonosa .
#goldHeads=19,5,5,5,8,7,19,7,7,17,13,13,17,16,16,17,2,19,0,19,19,23,25,25,19,19,
#predictedHeads=19,8,5,5,8,7,19,7,7,17,13,13,17,16,16,17,19,19,0,19,19,23,25,25,19,19,
(20,7),-2.43302 # DEPENDENCYPART_ARC
(20,8),-1.18244 # DEPENDENCYPART_ARC
(20,9),-2.21341 # DEPENDENCYPART_ARC
(20,10),-1.57067 # DEPENDENCYPART_ARC
(20,11),-1.12016 # DEPENDENCYPART_ARC
(20,12),-1.98194 # DEPENDENCYPART_ARC
(20,13),-3.9912 # DEPENDENCYPART_ARC
(20,14),-0.1478 # DEPENDENCYPART_ARC
(20,15),-0.999409 # DEPENDENCYPART_ARC
(20,16),-2.86666 # DEPENDENCYPART_ARC
(20,17),-0.977762 # DEPENDENCYPART_ARC
(20,18),-0.877609 # DEPENDENCYPART_ARC
(20,19),0.574372 # DEPENDENCYPART_ARC
(20,21),0.428799 # DEPENDENCYPART_ARC
(20,22),-0.766865 # DEPENDENCYPART_ARC
(20,23),-0.374737 # DEPENDENCYPART_ARC
(20,24),-0.907444 # DEPENDENCYPART_ARC
(20,25),-0.508251 # DEPENDENCYPART_ARC
(20,26),0.804 # DEPENDENCYPART_ARC
(21,1),-2.33095 # DEPENDENCYPART_ARC
(21,2),-2.7497 # DEPENDENCYPART_ARC
(21,3),-2.42152 # DEPENDENCYPART_ARC
(21,4),-2.79619 # DEPENDENCYPART_ARC
(21,5),-3.49907 # DEPENDENCYPART_ARC
(21,6),-2.55534 # DEPENDENCYPART_ARC
(21,7),-2.57081 # DEPENDENCYPART_ARC
(21,8),-2.54435 # DEPENDENCYPART_ARC
(21,9),-2.02877 # DEPENDENCYPART_ARC
(21,10),-2.30505 # DEPENDENCYPART_ARC
(21,11),-2.11243 # DEPENDENCYPART_ARC
(21,12),-2.50525 # DEPENDENCYPART_ARC
(21,13),-3.03545 # DEPENDENCYPART_ARC
(21,14),-2.00299 # DEPENDENCYPART_ARC
(21,15),-2.15441 # DEPENDENCYPART_ARC
(21,16),-2.78756 # DEPENDENCYPART_ARC
(21,17),-2.05748 # DEPENDENCYPART_ARC
(21,18),-1.47251 # DEPENDENCYPART_ARC
(21,19),-1.36505 # DEPENDENCYPART_ARC
(21,20),-1.43265 # DEPENDENCYPART_ARC
(21,22),-0.80251 # DEPENDENCYPART_ARC
(21,23),-1.29805 # DEPENDENCYPART_ARC
(21,24),-1.22176 # DEPENDENCYPART_ARC
(21,25),-1.86739 # DEPENDENCYPART_ARC
(21,26),-1.22198 # DEPENDENCYPART_ARC
(22,1),-2.08536 # DEPENDENCYPART_ARC
(22,2),-2.78514 # DEPENDENCYPART_ARC
(22,3),-1.95625 # DEPENDENCYPART_ARC
(22,4),-2.07019 # DEPENDENCYPART_ARC
(22,5),-3.21236 # DEPENDENCYPART_ARC
(22,6),-2.1396 # DEPENDENCYPART_ARC
(22,7),-2.50738 # DEPENDENCYPART_ARC
(22,8),-2.12699 # DEPENDENCYPART_ARC
(22,9),-1.54625 # DEPENDENCYPART_ARC
(22,10),-1.94411 # DEPENDENCYPART_ARC
(22,11),-1.64844 # DEPENDENCYPART_ARC
(22,12),-1.80957 # DEPENDENCYPART_ARC
(22,13),-2.78572 # DEPENDENCYPART_ARC
(22,14),-1.55294 # DEPENDENCYPART_ARC
(22,15),-1.82915 # DEPENDENCYPART_ARC
(22,16),-2.62378 # DEPENDENCYPART_ARC
(22,17),-1.93196 # DEPENDENCYPART_ARC
(22,18),-1.19492 # DEPENDENCYPART_ARC
(22,19),-1.3227 # DEPENDENCYPART_ARC
(22,20),-1.58769 # DEPENDENCYPART_ARC
(22,21),-0.349809 # DEPENDENCYPART_ARC
(22,23),-0.0281723 # DEPENDENCYPART_ARC
(22,24),-0.412492 # DEPENDENCYPART_ARC
(22,25),-1.00728 # DEPENDENCYPART_ARC
(22,26),-1.09079 # DEPENDENCYPART_ARC
(23,1),-3.98281 # DEPENDENCYPART_ARC
(23,2),-5.20795 # DEPENDENCYPART_ARC
(23,3),-3.74813 # DEPENDENCYPART_ARC
(23,4),-4.58555 # DEPENDENCYPART_ARC
(23,5),-7.69412 # DEPENDENCYPART_ARC
(23,6),-2.04468 # DEPENDENCYPART_ARC
(23,7),-3.17065 # DEPENDENCYPART_ARC
(23,8),-1.88534 # DEPENDENCYPART_ARC
(23,9),-3.04992 # DEPENDENCYPART_ARC
(23,10),-2.21171 # DEPENDENCYPART_ARC
(23,11),-2.09436 # DEPENDENCYPART_ARC
(23,12),-3.20773 # DEPENDENCYPART_ARC
(23,13),-4.81474 # DEPENDENCYPART_ARC
(23,14),-1.33567 # DEPENDENCYPART_ARC
(23,15),-2.24461 # DEPENDENCYPART_ARC
(23,16),-4.10761 # DEPENDENCYPART_ARC
(23,17),-2.09609 # DEPENDENCYPART_ARC
(23,18),-1.68607 # DEPENDENCYPART_ARC
(23,19),-1.47812 # DEPENDENCYPART_ARC
(23,20),-1.18585 # DEPENDENCYPART_ARC
(23,21),-0.891757 # DEPENDENCYPART_ARC
(23,22),2.92718 # DEPENDENCYPART_ARC
(23,24),-0.65686 # DEPENDENCYPART_ARC
(23,25),-0.053323 # DEPENDENCYPART_ARC
(23,26),0.202726 # DEPENDENCYPART_ARC
(24,1),-1.06365 # DEPENDENCYPART_ARC
(24,2),-1.89422 # DEPENDENCYPART_ARC
(24,3),-2.04929 # DEPENDENCYPART_ARC
(24,4),-1.61104 # DEPENDENCYPART_ARC
(24,5),-2.11506 # DEPENDENCYPART_ARC
(24,6),-0.740953 # DEPENDENCYPART_ARC
(24,7),-0.918357 # DEPENDENCYPART_ARC
(24,8),-1.04505 # DEPENDENCYPART_ARC
(24,9),-0.446828 # DEPENDENCYPART_ARC
(24,10),-0.600777 # DEPENDENCYPART_ARC
(24,11),-1.24737 # DEPENDENCYPART_ARC
(24,12),-1.36916 # DEPENDENCYPART_ARC
(24,13),-1.34257 # DEPENDENCYPART_ARC
(24,14),-0.997472 # DEPENDENCYPART_ARC
(24,15),-0.713748 # DEPENDENCYPART_ARC
(24,16),-1.33696 # DEPENDENCYPART_ARC
(24,17),-0.365628 # DEPENDENCYPART_ARC
(24,18),-0.136673 # DEPENDENCYPART_ARC
(24,19),-0.0402395 # DEPENDENCYPART_ARC
(24,20),-0.85823 # DEPENDENCYPART_ARC
(24,21),-0.0864053 # DEPENDENCYPART_ARC
(24,22),0.207225 # DEPENDENCYPART_ARC
(24,23),-0.142254 # DEPENDENCYPART_ARC
(24,25),0.0951496 # DEPENDENCYPART_ARC
(24,26),-0.321719 # DEPENDENCYPART_ARC
(25,1),-2.75029 # DEPENDENCYPART_ARC
(25,2),-4.72708 # DEPENDENCYPART_ARC
(25,3),-3.85283 # DEPENDENCYPART_ARC
(25,4),-3.15002 # DEPENDENCYPART_ARC
(25,5),-6.62939 # DEPENDENCYPART_ARC
(25,6),-0.824822 # DEPENDENCYPART_ARC
(25,7),-2.85119 # DEPENDENCYPART_ARC
(25,8),-0.541086 # DEPENDENCYPART_ARC
(25,9),-1.81525 # DEPENDENCYPART_ARC
(25,10),-1.07546 # DEPENDENCYPART_ARC
(25,11),-2.12489 # DEPENDENCYPART_ARC
(25,12),-1.67678 # DEPENDENCYPART_ARC
(25,13),-1.44005 # DEPENDENCYPART_ARC
(25,14),-1.07798 # DEPENDENCYPART_ARC
(25,15),-0.0791747 # DEPENDENCYPART_ARC
(25,16),-2.27646 # DEPENDENCYPART_ARC
(25,17),-1.35492 # DEPENDENCYPART_ARC
(25,18),-0.445707 # DEPENDENCYPART_ARC
(25,19),-0.987832 # DEPENDENCYPART_ARC
(25,20),1.29277 # DEPENDENCYPART_ARC
(25,21),0.38674 # DEPENDENCYPART_ARC
(25,22),0.753737 # DEPENDENCYPART_ARC
(25,23),3.12328 # DEPENDENCYPART_ARC
(25,24),3.51058 # DEPENDENCYPART_ARC
(25,26),0.371263 # DEPENDENCYPART_ARC
(26,1),-3.3549 # DEPENDENCYPART_ARC
(26,2),-3.77801 # DEPENDENCYPART_ARC
(26,3),-3.50499 # DEPENDENCYPART_ARC
(26,4),-3.72118 # DEPENDENCYPART_ARC
(26,5),-4.5887 # DEPENDENCYPART_ARC
(26,6),-3.4084 # DEPENDENCYPART_ARC
(26,7),-3.41378 # DEPENDENCYPART_ARC
(26,8),-3.42742 # DEPENDENCYPART_ARC
(26,9),-2.91759 # DEPENDENCYPART_ARC
(26,10),-3.24402 # DEPENDENCYPART_ARC
(26,11),-3.14851 # DEPENDENCYPART_ARC
(26,12),-3.35124 # DEPENDENCYPART_ARC
(26,13),-4.16495 # DEPENDENCYPART_ARC
(26,14),-3.02843 # DEPENDENCYPART_ARC
(26,15),-3.13554 # DEPENDENCYPART_ARC
(26,16),-3.93143 # DEPENDENCYPART_ARC
(26,17),-3.12394 # DEPENDENCYPART_ARC
(26,18),-2.57612 # DEPENDENCYPART_ARC
(26,19),-2.76387 # DEPENDENCYPART_ARC
(26,20),-3.47068 # DEPENDENCYPART_ARC
(26,21),-2.31634 # DEPENDENCYPART_ARC
(26,22),-2.3528 # DEPENDENCYPART_ARC
(26,23),-3.08425 # DEPENDENCYPART_ARC
(26,24),-1.95724 # DEPENDENCYPART_ARC
(26,25),-2.36839 # DEPENDENCYPART_ARC
