# _root_ Az ÖIAG-hoz csapták még — idegen testként — az állami nyomdát , a Staatsdruckereit_és_a_Dorotheum aukciósházat , amelyek privatizációja is a szervezetre vár .
#goldHeads=2,3,0,3,3,7,3,3,11,11,3,3,15,15,3,3,18,22,22,21,22,3,3,
#predictedHeads=2,3,0,3,3,7,3,22,11,11,3,22,14,15,3,3,22,22,22,21,22,3,3,
(22,23),1.95509 # DEPENDENCYPART_ARC
(23,1),-3.63997 # DEPENDENCYPART_ARC
(23,2),-4.66135 # DEPENDENCYPART_ARC
(23,3),-3.66674 # DEPENDENCYPART_ARC
(23,4),-3.48775 # DEPENDENCYPART_ARC
(23,5),-3.17244 # DEPENDENCYPART_ARC
(23,6),-3.62123 # DEPENDENCYPART_ARC
(23,7),-4.41538 # DEPENDENCYPART_ARC
(23,8),-3.11862 # DEPENDENCYPART_ARC
(23,9),-3.23801 # DEPENDENCYPART_ARC
(23,10),-3.50738 # DEPENDENCYPART_ARC
(23,11),-4.26697 # DEPENDENCYPART_ARC
(23,12),-2.97723 # DEPENDENCYPART_ARC
(23,13),-3.18543 # DEPENDENCYPART_ARC
(23,14),-4.06601 # DEPENDENCYPART_ARC
(23,15),-4.01069 # DEPENDENCYPART_ARC
(23,16),-2.80194 # DEPENDENCYPART_ARC
(23,17),-3.25594 # DEPENDENCYPART_ARC
(23,18),-3.77312 # DEPENDENCYPART_ARC
(23,19),-2.80361 # DEPENDENCYPART_ARC
(23,20),-2.68007 # DEPENDENCYPART_ARC
(23,21),-3.21727 # DEPENDENCYPART_ARC
(23,22),-1.71505 # DEPENDENCYPART_ARC
