# _root_ A Kreml 234 szobáját egy 180_millió dolláros megrendelés keretében rekordidő , nyolc hónap alatt varázsolta újjá , s ezért magától Jelcintől vehetett át kitüntetést .
#goldHeads=2,4,4,15,8,7,8,9,15,14,14,13,14,15,18,15,18,0,22,22,22,18,22,22,18,
#predictedHeads=2,4,4,15,8,7,8,9,15,15,15,13,14,15,18,15,18,0,22,21,22,18,22,22,18,
(21,3),-2.40749 # DEPENDENCYPART_ARC
(21,4),-6.70439 # DEPENDENCYPART_ARC
(21,5),-1.1577 # DEPENDENCYPART_ARC
(21,6),-2.06212 # DEPENDENCYPART_ARC
(21,7),-1.29627 # DEPENDENCYPART_ARC
(21,8),-3.57702 # DEPENDENCYPART_ARC
(21,9),-5.10759 # DEPENDENCYPART_ARC
(21,10),-4.16884 # DEPENDENCYPART_ARC
(21,11),-1.30492 # DEPENDENCYPART_ARC
(21,12),-1.02685 # DEPENDENCYPART_ARC
(21,13),-3.43204 # DEPENDENCYPART_ARC
(21,14),-0.750838 # DEPENDENCYPART_ARC
(21,15),-1.0032 # DEPENDENCYPART_ARC
(21,16),-0.365139 # DEPENDENCYPART_ARC
(21,17),-0.311435 # DEPENDENCYPART_ARC
(21,18),0.447501 # DEPENDENCYPART_ARC
(21,19),0.102726 # DEPENDENCYPART_ARC
(21,20),2.05584 # DEPENDENCYPART_ARC
(21,22),-0.838236 # DEPENDENCYPART_ARC
(21,23),-0.962717 # DEPENDENCYPART_ARC
(21,24),-1.14007 # DEPENDENCYPART_ARC
(21,25),-0.484872 # DEPENDENCYPART_ARC
(22,1),-1.61219 # DEPENDENCYPART_ARC
(22,2),-0.249811 # DEPENDENCYPART_ARC
(22,3),-1.33749 # DEPENDENCYPART_ARC
(22,4),-0.635005 # DEPENDENCYPART_ARC
(22,5),-0.664864 # DEPENDENCYPART_ARC
(22,6),-1.36303 # DEPENDENCYPART_ARC
(22,7),-1.66661 # DEPENDENCYPART_ARC
(22,8),-0.411578 # DEPENDENCYPART_ARC
(22,9),-0.216081 # DEPENDENCYPART_ARC
(22,10),-1.02632 # DEPENDENCYPART_ARC
(22,11),0.296103 # DEPENDENCYPART_ARC
(22,12),-0.831559 # DEPENDENCYPART_ARC
(22,13),-0.982349 # DEPENDENCYPART_ARC
(22,14),0.86238 # DEPENDENCYPART_ARC
(22,15),-0.543108 # DEPENDENCYPART_ARC
(22,16),0.264014 # DEPENDENCYPART_ARC
(22,17),0.599589 # DEPENDENCYPART_ARC
(22,18),0.748406 # DEPENDENCYPART_ARC
(22,19),2.04992 # DEPENDENCYPART_ARC
(22,20),0.938331 # DEPENDENCYPART_ARC
(22,21),3.51112 # DEPENDENCYPART_ARC
(22,23),3.06484 # DEPENDENCYPART_ARC
(22,24),2.49309 # DEPENDENCYPART_ARC
(22,25),1.82168 # DEPENDENCYPART_ARC
(23,1),-2.48869 # DEPENDENCYPART_ARC
(23,2),-2.25975 # DEPENDENCYPART_ARC
(23,3),-1.50185 # DEPENDENCYPART_ARC
(23,4),-2.0079 # DEPENDENCYPART_ARC
(23,5),-1.66858 # DEPENDENCYPART_ARC
(23,6),-1.4129 # DEPENDENCYPART_ARC
(23,7),-1.34259 # DEPENDENCYPART_ARC
(23,8),-2.02925 # DEPENDENCYPART_ARC
(23,9),-2.00257 # DEPENDENCYPART_ARC
(23,10),-2.18594 # DEPENDENCYPART_ARC
(23,11),-1.49311 # DEPENDENCYPART_ARC
(23,12),-1.21969 # DEPENDENCYPART_ARC
(23,13),-1.40882 # DEPENDENCYPART_ARC
(23,14),-0.703393 # DEPENDENCYPART_ARC
(23,15),-0.917276 # DEPENDENCYPART_ARC
(23,16),-0.803359 # DEPENDENCYPART_ARC
(23,17),-0.76476 # DEPENDENCYPART_ARC
(23,18),-0.530241 # DEPENDENCYPART_ARC
(23,19),-0.588423 # DEPENDENCYPART_ARC
(23,20),-0.332432 # DEPENDENCYPART_ARC
(23,21),-0.110674 # DEPENDENCYPART_ARC
(23,22),0.162941 # DEPENDENCYPART_ARC
(23,24),-0.59639 # DEPENDENCYPART_ARC
(23,25),-0.625949 # DEPENDENCYPART_ARC
(24,1),-2.38297 # DEPENDENCYPART_ARC
(24,2),-3.74682 # DEPENDENCYPART_ARC
(24,3),-2.02866 # DEPENDENCYPART_ARC
(24,4),-6.10518 # DEPENDENCYPART_ARC
(24,5),-0.234682 # DEPENDENCYPART_ARC
(24,6),-1.46377 # DEPENDENCYPART_ARC
(24,7),-0.844616 # DEPENDENCYPART_ARC
(24,8),-3.05248 # DEPENDENCYPART_ARC
(24,9),-5.03382 # DEPENDENCYPART_ARC
(24,10),-3.37062 # DEPENDENCYPART_ARC
(24,11),-1.54829 # DEPENDENCYPART_ARC
(24,12),-0.41745 # DEPENDENCYPART_ARC
(24,13),-3.02411 # DEPENDENCYPART_ARC
(24,14),-0.985621 # DEPENDENCYPART_ARC
(24,15),-1.35317 # DEPENDENCYPART_ARC
(24,16),-0.970261 # DEPENDENCYPART_ARC
(24,17),-0.946588 # DEPENDENCYPART_ARC
(24,18),0.00927636 # DEPENDENCYPART_ARC
(24,19),-1.41892 # DEPENDENCYPART_ARC
(24,20),-0.591909 # DEPENDENCYPART_ARC
(24,21),-1.87229 # DEPENDENCYPART_ARC
(24,22),-0.121574 # DEPENDENCYPART_ARC
(24,23),1.09768 # DEPENDENCYPART_ARC
(24,25),0.772521 # DEPENDENCYPART_ARC
(25,1),-3.46496 # DEPENDENCYPART_ARC
(25,2),-4.54217 # DEPENDENCYPART_ARC
(25,3),-3.54048 # DEPENDENCYPART_ARC
(25,4),-4.44654 # DEPENDENCYPART_ARC
(25,5),-3.24166 # DEPENDENCYPART_ARC
(25,6),-3.35834 # DEPENDENCYPART_ARC
(25,7),-3.5153 # DEPENDENCYPART_ARC
(25,8),-4.31737 # DEPENDENCYPART_ARC
(25,9),-4.30416 # DEPENDENCYPART_ARC
(25,10),-4.2831 # DEPENDENCYPART_ARC
(25,11),-2.87884 # DEPENDENCYPART_ARC
(25,12),-3.19329 # DEPENDENCYPART_ARC
(25,13),-4.11504 # DEPENDENCYPART_ARC
(25,14),-3.04259 # DEPENDENCYPART_ARC
(25,15),-3.17828 # DEPENDENCYPART_ARC
(25,16),-2.94903 # DEPENDENCYPART_ARC
(25,17),-2.61002 # DEPENDENCYPART_ARC
(25,18),-2.64353 # DEPENDENCYPART_ARC
(25,19),-3.02761 # DEPENDENCYPART_ARC
(25,20),-2.9568 # DEPENDENCYPART_ARC
(25,21),-3.46654 # DEPENDENCYPART_ARC
(25,22),-2.34354 # DEPENDENCYPART_ARC
(25,23),-1.99434 # DEPENDENCYPART_ARC
(25,24),-2.40229 # DEPENDENCYPART_ARC
