# _root_ Az új idők igényeihez igazodva ez a cég is szeretne a nagyok beszállítójává válni , hiszen a multiknak és a bankoknak is kellenek a jól zárható , biztonságos iratszekrények .
#goldHeads=3,3,4,5,10,8,8,10,10,16,12,13,14,10,16,0,18,23,23,21,23,23,16,29,26,29,29,29,23,16,
#predictedHeads=3,3,4,14,10,8,8,10,10,16,12,13,14,10,16,0,18,23,23,21,23,23,6,29,26,29,29,29,23,16,
(20,19),-0.576231 # DEPENDENCYPART_ARC
(20,21),-0.772784 # DEPENDENCYPART_ARC
(20,22),-1.0435 # DEPENDENCYPART_ARC
(20,26),-1.18981 # DEPENDENCYPART_ARC
(20,27),-0.765612 # DEPENDENCYPART_ARC
(20,28),-1.36486 # DEPENDENCYPART_ARC
(20,29),-2.01899 # DEPENDENCYPART_ARC
(21,1),-4.49597 # DEPENDENCYPART_ARC
(21,2),-4.56022 # DEPENDENCYPART_ARC
(21,3),-6.16608 # DEPENDENCYPART_ARC
(21,4),-7.7694 # DEPENDENCYPART_ARC
(21,5),-2.44856 # DEPENDENCYPART_ARC
(21,6),-2.60182 # DEPENDENCYPART_ARC
(21,7),-3.09118 # DEPENDENCYPART_ARC
(21,8),-4.36109 # DEPENDENCYPART_ARC
(21,9),-2.89145 # DEPENDENCYPART_ARC
(21,10),-4.18389 # DEPENDENCYPART_ARC
(21,11),-1.98537 # DEPENDENCYPART_ARC
(21,12),-3.85153 # DEPENDENCYPART_ARC
(21,13),-4.76938 # DEPENDENCYPART_ARC
(21,14),-1.10341 # DEPENDENCYPART_ARC
(21,15),-1.29196 # DEPENDENCYPART_ARC
(21,16),-1.32522 # DEPENDENCYPART_ARC
(21,17),0.283684 # DEPENDENCYPART_ARC
(21,18),-1.99396 # DEPENDENCYPART_ARC
(21,19),-0.0885351 # DEPENDENCYPART_ARC
(21,20),3.17976 # DEPENDENCYPART_ARC
(21,22),-1.26636 # DEPENDENCYPART_ARC
(21,23),-1.99035 # DEPENDENCYPART_ARC
(21,24),-1.63539 # DEPENDENCYPART_ARC
(21,25),-1.45121 # DEPENDENCYPART_ARC
(21,26),-1.76343 # DEPENDENCYPART_ARC
(21,27),-1.14485 # DEPENDENCYPART_ARC
(21,28),-1.81742 # DEPENDENCYPART_ARC
(21,29),-2.57251 # DEPENDENCYPART_ARC
(21,30),-1.16247 # DEPENDENCYPART_ARC
(22,1),-2.20828 # DEPENDENCYPART_ARC
(22,2),-1.29987 # DEPENDENCYPART_ARC
(22,3),-2.20455 # DEPENDENCYPART_ARC
(22,4),-1.97634 # DEPENDENCYPART_ARC
(22,5),-1.52951 # DEPENDENCYPART_ARC
(22,6),-1.81723 # DEPENDENCYPART_ARC
(22,7),-2.63321 # DEPENDENCYPART_ARC
(22,8),-2.41836 # DEPENDENCYPART_ARC
(22,9),-1.15124 # DEPENDENCYPART_ARC
(22,10),-0.999327 # DEPENDENCYPART_ARC
(22,11),-2.2734 # DEPENDENCYPART_ARC
(22,12),-1.89403 # DEPENDENCYPART_ARC
(22,13),-2.04933 # DEPENDENCYPART_ARC
(22,14),-2.10594 # DEPENDENCYPART_ARC
(22,15),-0.31754 # DEPENDENCYPART_ARC
(22,16),-0.0272437 # DEPENDENCYPART_ARC
(22,17),-1.49693 # DEPENDENCYPART_ARC
(22,18),-1.1285 # DEPENDENCYPART_ARC
(22,19),-0.293648 # DEPENDENCYPART_ARC
(22,20),-0.809911 # DEPENDENCYPART_ARC
(22,21),-0.334537 # DEPENDENCYPART_ARC
(22,23),-0.128605 # DEPENDENCYPART_ARC
(22,24),-1.21317 # DEPENDENCYPART_ARC
(22,25),-0.881475 # DEPENDENCYPART_ARC
(22,26),-0.777868 # DEPENDENCYPART_ARC
(22,27),-0.215736 # DEPENDENCYPART_ARC
(22,28),-1.15392 # DEPENDENCYPART_ARC
(22,29),-1.01208 # DEPENDENCYPART_ARC
(22,30),0.116104 # DEPENDENCYPART_ARC
(23,1),-0.673932 # DEPENDENCYPART_ARC
(23,2),-1.26795 # DEPENDENCYPART_ARC
(23,3),-0.406729 # DEPENDENCYPART_ARC
(23,4),-0.273729 # DEPENDENCYPART_ARC
(23,5),0.0702092 # DEPENDENCYPART_ARC
(23,6),-1.91221 # DEPENDENCYPART_ARC
(23,7),-0.748539 # DEPENDENCYPART_ARC
(23,8),-0.167723 # DEPENDENCYPART_ARC
(23,9),-0.60526 # DEPENDENCYPART_ARC
(23,10),-0.244162 # DEPENDENCYPART_ARC
(23,11),-0.551874 # DEPENDENCYPART_ARC
(23,12),0.465509 # DEPENDENCYPART_ARC
(23,13),0.386126 # DEPENDENCYPART_ARC
(23,14),0.233224 # DEPENDENCYPART_ARC
(23,15),0.839179 # DEPENDENCYPART_ARC
(23,16),0.873577 # DEPENDENCYPART_ARC
(23,17),0.042487 # DEPENDENCYPART_ARC
(23,18),2.48183 # DEPENDENCYPART_ARC
(23,19),1.25777 # DEPENDENCYPART_ARC
(23,20),0.30629 # DEPENDENCYPART_ARC
(23,21),3.1437 # DEPENDENCYPART_ARC
(23,22),3.03482 # DEPENDENCYPART_ARC
(23,24),-0.21706 # DEPENDENCYPART_ARC
(23,25),0.613309 # DEPENDENCYPART_ARC
(23,26),-0.43207 # DEPENDENCYPART_ARC
(23,27),0.458486 # DEPENDENCYPART_ARC
(23,28),-0.995094 # DEPENDENCYPART_ARC
(23,29),1.08138 # DEPENDENCYPART_ARC
(23,30),1.1009 # DEPENDENCYPART_ARC
(24,2),-2.35439 # DEPENDENCYPART_ARC
(24,3),-3.78642 # DEPENDENCYPART_ARC
(24,4),-4.06831 # DEPENDENCYPART_ARC
(24,8),-3.69608 # DEPENDENCYPART_ARC
(24,9),-2.12635 # DEPENDENCYPART_ARC
(24,12),-3.44836 # DEPENDENCYPART_ARC
(24,13),-3.92995 # DEPENDENCYPART_ARC
(24,15),-1.23576 # DEPENDENCYPART_ARC
(24,16),-1.69189 # DEPENDENCYPART_ARC
(24,18),-2.93765 # DEPENDENCYPART_ARC
(24,19),-1.72926 # DEPENDENCYPART_ARC
(24,21),-2.49779 # DEPENDENCYPART_ARC
(24,22),-1.38141 # DEPENDENCYPART_ARC
(24,26),0.336133 # DEPENDENCYPART_ARC
(24,27),0.17814 # DEPENDENCYPART_ARC
(24,28),-0.0815184 # DEPENDENCYPART_ARC
(24,29),-0.836912 # DEPENDENCYPART_ARC
(25,1),-2.91495 # DEPENDENCYPART_ARC
(25,2),-1.70255 # DEPENDENCYPART_ARC
(25,3),-2.01681 # DEPENDENCYPART_ARC
(25,4),-2.20484 # DEPENDENCYPART_ARC
(25,5),-1.51277 # DEPENDENCYPART_ARC
(25,6),-2.31601 # DEPENDENCYPART_ARC
(25,7),-2.29653 # DEPENDENCYPART_ARC
(25,8),-1.65194 # DEPENDENCYPART_ARC
(25,9),-1.52934 # DEPENDENCYPART_ARC
(25,10),-1.70985 # DEPENDENCYPART_ARC
(25,11),-1.93221 # DEPENDENCYPART_ARC
(25,12),-1.60069 # DEPENDENCYPART_ARC
(25,13),-1.74277 # DEPENDENCYPART_ARC
(25,14),-1.47733 # DEPENDENCYPART_ARC
(25,15),-0.919293 # DEPENDENCYPART_ARC
(25,16),-1.01923 # DEPENDENCYPART_ARC
(25,17),-1.58309 # DEPENDENCYPART_ARC
(25,18),-1.06136 # DEPENDENCYPART_ARC
(25,19),-0.685632 # DEPENDENCYPART_ARC
(25,20),-1.37664 # DEPENDENCYPART_ARC
(25,21),-0.825509 # DEPENDENCYPART_ARC
(25,22),-0.542897 # DEPENDENCYPART_ARC
(25,23),-0.689904 # DEPENDENCYPART_ARC
(25,24),0.632474 # DEPENDENCYPART_ARC
(25,26),-0.583201 # DEPENDENCYPART_ARC
(25,27),-0.804266 # DEPENDENCYPART_ARC
(25,28),-1.05892 # DEPENDENCYPART_ARC
(25,29),-0.982977 # DEPENDENCYPART_ARC
(25,30),-0.908842 # DEPENDENCYPART_ARC
(26,1),-2.43471 # DEPENDENCYPART_ARC
(26,2),-2.83178 # DEPENDENCYPART_ARC
(26,3),-3.3469 # DEPENDENCYPART_ARC
(26,4),-2.80828 # DEPENDENCYPART_ARC
(26,5),-2.18112 # DEPENDENCYPART_ARC
(26,6),-2.09198 # DEPENDENCYPART_ARC
(26,7),-2.5312 # DEPENDENCYPART_ARC
(26,8),-2.93894 # DEPENDENCYPART_ARC
(26,9),-0.99468 # DEPENDENCYPART_ARC
(26,10),-1.08839 # DEPENDENCYPART_ARC
(26,11),-2.15635 # DEPENDENCYPART_ARC
(26,12),-2.51298 # DEPENDENCYPART_ARC
(26,13),-2.23814 # DEPENDENCYPART_ARC
(26,14),-0.895533 # DEPENDENCYPART_ARC
(26,15),-0.602844 # DEPENDENCYPART_ARC
(26,16),-0.483665 # DEPENDENCYPART_ARC
(26,17),-1.51937 # DEPENDENCYPART_ARC
(26,18),-0.796044 # DEPENDENCYPART_ARC
(26,19),-0.183205 # DEPENDENCYPART_ARC
(26,20),-1.08558 # DEPENDENCYPART_ARC
(26,21),-0.358944 # DEPENDENCYPART_ARC
(26,22),0.0874531 # DEPENDENCYPART_ARC
(26,23),-0.310284 # DEPENDENCYPART_ARC
(26,24),0.464645 # DEPENDENCYPART_ARC
(26,25),2.56668 # DEPENDENCYPART_ARC
(26,27),0.826646 # DEPENDENCYPART_ARC
(26,28),-0.176205 # DEPENDENCYPART_ARC
(26,29),-0.544211 # DEPENDENCYPART_ARC
(26,30),0.381044 # DEPENDENCYPART_ARC
(28,1),-2.41453 # DEPENDENCYPART_ARC
(28,2),-3.06945 # DEPENDENCYPART_ARC
(28,3),-4.09806 # DEPENDENCYPART_ARC
(28,4),-3.4104 # DEPENDENCYPART_ARC
(28,5),-2.18343 # DEPENDENCYPART_ARC
(28,6),-2.55362 # DEPENDENCYPART_ARC
(28,7),-2.64324 # DEPENDENCYPART_ARC
(28,8),-3.31324 # DEPENDENCYPART_ARC
(28,9),-1.14586 # DEPENDENCYPART_ARC
(28,10),-1.09966 # DEPENDENCYPART_ARC
(28,11),-2.0467 # DEPENDENCYPART_ARC
(28,12),-3.05487 # DEPENDENCYPART_ARC
(28,13),-2.95446 # DEPENDENCYPART_ARC
(28,14),-0.881464 # DEPENDENCYPART_ARC
(28,15),-0.961168 # DEPENDENCYPART_ARC
(28,16),-0.80562 # DEPENDENCYPART_ARC
(28,17),-1.51324 # DEPENDENCYPART_ARC
(28,18),-1.21626 # DEPENDENCYPART_ARC
(28,19),-0.417005 # DEPENDENCYPART_ARC
(28,20),-1.06254 # DEPENDENCYPART_ARC
(28,21),-0.901015 # DEPENDENCYPART_ARC
(28,22),-0.127736 # DEPENDENCYPART_ARC
(28,23),-0.647433 # DEPENDENCYPART_ARC
(28,24),-0.14919 # DEPENDENCYPART_ARC
(28,25),1.34384 # DEPENDENCYPART_ARC
(28,26),0.22656 # DEPENDENCYPART_ARC
(28,27),0.737859 # DEPENDENCYPART_ARC
(28,29),-0.712413 # DEPENDENCYPART_ARC
(28,30),-1.02258 # DEPENDENCYPART_ARC
(29,1),-4.54639 # DEPENDENCYPART_ARC
(29,2),-3.97283 # DEPENDENCYPART_ARC
(29,3),-5.56273 # DEPENDENCYPART_ARC
(29,4),-7.63351 # DEPENDENCYPART_ARC
(29,5),-1.60973 # DEPENDENCYPART_ARC
(29,6),-2.28063 # DEPENDENCYPART_ARC
(29,7),-3.62414 # DEPENDENCYPART_ARC
(29,8),-3.90276 # DEPENDENCYPART_ARC
(29,9),-2.32499 # DEPENDENCYPART_ARC
(29,10),-2.70782 # DEPENDENCYPART_ARC
(29,11),-2.32171 # DEPENDENCYPART_ARC
(29,12),-2.9672 # DEPENDENCYPART_ARC
(29,13),-4.88001 # DEPENDENCYPART_ARC
(29,14),-0.0950783 # DEPENDENCYPART_ARC
(29,15),-1.4582 # DEPENDENCYPART_ARC
(29,16),-1.14221 # DEPENDENCYPART_ARC
(29,17),-1.09896 # DEPENDENCYPART_ARC
(29,18),-3.08813 # DEPENDENCYPART_ARC
(29,19),-0.732499 # DEPENDENCYPART_ARC
(29,20),-0.0867292 # DEPENDENCYPART_ARC
(29,21),-2.45855 # DEPENDENCYPART_ARC
(29,22),-0.784386 # DEPENDENCYPART_ARC
(29,23),-1.28228 # DEPENDENCYPART_ARC
(29,24),2.44742 # DEPENDENCYPART_ARC
(29,25),0.292387 # DEPENDENCYPART_ARC
(29,26),1.90897 # DEPENDENCYPART_ARC
(29,27),2.05898 # DEPENDENCYPART_ARC
(29,28),3.31328 # DEPENDENCYPART_ARC
(29,30),-0.0377859 # DEPENDENCYPART_ARC
