# _root_ ertzaintzaren_arabera , indar handiko suziri bat bota zioten , banketxearen eta goiko etxebizitza baten leihoak hautsiz .
#goldHeads=7,1,5,3,7,5,0,7,8,11,15,13,11,13,16,7,16,
#predictedHeads=7,1,5,3,7,5,0,7,8,11,13,11,15,13,16,7,16,
(5,11),(5,15),-0.00388583 # DEPENDENCYPART_SIBL
(5,11),(5,16),-0.0231777 # DEPENDENCYPART_SIBL
(5,11),(5,17),-0.0546885 # DEPENDENCYPART_SIBL
(5,13),(5,14),0.0115923 # DEPENDENCYPART_SIBL
(5,13),(5,15),-0.0073091 # DEPENDENCYPART_SIBL
(5,13),(5,16),-0.0358671 # DEPENDENCYPART_SIBL
(5,13),(5,17),-0.0887528 # DEPENDENCYPART_SIBL
(5,14),(5,15),0.00622564 # DEPENDENCYPART_SIBL
(5,14),(5,16),-0.0823247 # DEPENDENCYPART_SIBL
(5,14),(5,17),-0.123948 # DEPENDENCYPART_SIBL
(5,15),(5,16),-0.0358669 # DEPENDENCYPART_SIBL
(5,15),(5,17),-0.0887528 # DEPENDENCYPART_SIBL
(5,16),(5,17),-0.0694 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.00629329 # DEPENDENCYPART_SIBL
(7,1),(7,2),-0.0578965 # DEPENDENCYPART_SIBL
(7,1),(7,3),0.0111949 # DEPENDENCYPART_SIBL
(7,1),(7,4),-0.0011984 # DEPENDENCYPART_SIBL
(7,1),(7,5),0.00788889 # DEPENDENCYPART_SIBL
(7,1),(7,6),0.00781577 # DEPENDENCYPART_SIBL
(7,1),(7,8),0.0678026 # DEPENDENCYPART_SIBL
(7,1),(7,9),-0.00997499 # DEPENDENCYPART_SIBL
(7,1),(7,10),-0.00611446 # DEPENDENCYPART_SIBL
(7,1),(7,11),-0.0267501 # DEPENDENCYPART_SIBL
(7,1),(7,12),-0.00473455 # DEPENDENCYPART_SIBL
(7,1),(7,13),-0.000368821 # DEPENDENCYPART_SIBL
(7,1),(7,15),-0.00473455 # DEPENDENCYPART_SIBL
(7,1),(7,16),-0.0100799 # DEPENDENCYPART_SIBL
(7,2),(7,3),-0.160718 # DEPENDENCYPART_SIBL
(7,2),(7,4),-0.0941344 # DEPENDENCYPART_SIBL
(7,2),(7,5),-0.162852 # DEPENDENCYPART_SIBL
(7,2),(7,6),-0.10322 # DEPENDENCYPART_SIBL
(7,2),(7,8),0.0230185 # DEPENDENCYPART_SIBL
(7,2),(7,9),-0.0132414 # DEPENDENCYPART_SIBL
(7,2),(7,10),0.00538243 # DEPENDENCYPART_SIBL
(7,2),(7,11),-0.0473908 # DEPENDENCYPART_SIBL
(7,2),(7,12),0.00538243 # DEPENDENCYPART_SIBL
(7,2),(7,13),0.00538243 # DEPENDENCYPART_SIBL
(7,2),(7,15),0.00538243 # DEPENDENCYPART_SIBL
(7,2),(7,16),-0.0154038 # DEPENDENCYPART_SIBL
(7,3),(7,4),-0.00526848 # DEPENDENCYPART_SIBL
(7,3),(7,5),-0.0160318 # DEPENDENCYPART_SIBL
(7,3),(7,6),0.00132278 # DEPENDENCYPART_SIBL
(7,3),(7,8),0.0441969 # DEPENDENCYPART_SIBL
(7,3),(7,9),-0.0545897 # DEPENDENCYPART_SIBL
(7,3),(7,10),-0.0105947 # DEPENDENCYPART_SIBL
(7,3),(7,11),-0.0458311 # DEPENDENCYPART_SIBL
(7,3),(7,12),-0.00921475 # DEPENDENCYPART_SIBL
(7,3),(7,13),-0.00484903 # DEPENDENCYPART_SIBL
(7,3),(7,15),-0.00921475 # DEPENDENCYPART_SIBL
(7,3),(7,16),-0.0286573 # DEPENDENCYPART_SIBL
(7,4),(7,5),0.0160486 # DEPENDENCYPART_SIBL
(7,4),(7,6),-0.0254825 # DEPENDENCYPART_SIBL
(7,4),(7,8),0.0422842 # DEPENDENCYPART_SIBL
(7,4),(7,9),-0.00257371 # DEPENDENCYPART_SIBL
(7,4),(7,10),0.0018654 # DEPENDENCYPART_SIBL
(7,4),(7,11),-0.000679599 # DEPENDENCYPART_SIBL
(7,4),(7,12),0.0018654 # DEPENDENCYPART_SIBL
(7,4),(7,13),0.0018636 # DEPENDENCYPART_SIBL
(7,4),(7,15),0.0018654 # DEPENDENCYPART_SIBL
(7,4),(7,16),0.00256266 # DEPENDENCYPART_SIBL
(7,5),(7,6),0.00646447 # DEPENDENCYPART_SIBL
(7,5),(7,8),0.0451875 # DEPENDENCYPART_SIBL
(7,5),(7,9),-0.0203169 # DEPENDENCYPART_SIBL
(7,5),(7,10),-0.0234294 # DEPENDENCYPART_SIBL
(7,5),(7,11),-0.0367685 # DEPENDENCYPART_SIBL
(7,5),(7,12),-0.0220495 # DEPENDENCYPART_SIBL
(7,5),(7,13),-0.0176837 # DEPENDENCYPART_SIBL
(7,5),(7,15),-0.0220495 # DEPENDENCYPART_SIBL
(7,5),(7,16),-0.020287 # DEPENDENCYPART_SIBL
(7,6),(7,8),0.0284709 # DEPENDENCYPART_SIBL
(7,6),(7,9),-0.0160552 # DEPENDENCYPART_SIBL
(7,6),(7,10),-0.0130818 # DEPENDENCYPART_SIBL
(7,6),(7,11),-0.0446031 # DEPENDENCYPART_SIBL
(7,6),(7,12),-0.0130818 # DEPENDENCYPART_SIBL
(7,6),(7,13),-0.0130819 # DEPENDENCYPART_SIBL
(7,6),(7,15),-0.0130818 # DEPENDENCYPART_SIBL
(7,6),(7,16),-0.0120493 # DEPENDENCYPART_SIBL
(7,8),(7,9),-0.029405 # DEPENDENCYPART_SIBL
(7,8),(7,10),0.0210579 # DEPENDENCYPART_SIBL
(7,8),(7,11),0.0219801 # DEPENDENCYPART_SIBL
(7,8),(7,12),0.0210579 # DEPENDENCYPART_SIBL
(7,8),(7,13),0.0210579 # DEPENDENCYPART_SIBL
(7,8),(7,15),0.0210579 # DEPENDENCYPART_SIBL
(7,8),(7,16),0.0238969 # DEPENDENCYPART_SIBL
(7,9),(7,10),-0.116466 # DEPENDENCYPART_SIBL
(7,9),(7,11),-0.0483412 # DEPENDENCYPART_SIBL
(7,9),(7,12),-0.116466 # DEPENDENCYPART_SIBL
(7,9),(7,13),-0.116466 # DEPENDENCYPART_SIBL
(7,9),(7,15),-0.116466 # DEPENDENCYPART_SIBL
(7,9),(7,16),-0.0406263 # DEPENDENCYPART_SIBL
(7,10),(7,11),-0.0249888 # DEPENDENCYPART_SIBL
(7,10),(7,12),-0.0487716 # DEPENDENCYPART_SIBL
(7,10),(7,13),-0.0487716 # DEPENDENCYPART_SIBL
(7,10),(7,15),-0.0487716 # DEPENDENCYPART_SIBL
(7,10),(7,16),-0.0201797 # DEPENDENCYPART_SIBL
(7,11),(7,12),-0.0169117 # DEPENDENCYPART_SIBL
(7,11),(7,13),-0.0169117 # DEPENDENCYPART_SIBL
(7,11),(7,15),-0.0169117 # DEPENDENCYPART_SIBL
(7,11),(7,16),-0.0279021 # DEPENDENCYPART_SIBL
(7,12),(7,13),-0.048627 # DEPENDENCYPART_SIBL
(7,12),(7,15),-0.0486269 # DEPENDENCYPART_SIBL
(7,12),(7,16),-0.0201797 # DEPENDENCYPART_SIBL
(7,13),(7,15),-0.0486269 # DEPENDENCYPART_SIBL
(7,13),(7,16),-0.02018 # DEPENDENCYPART_SIBL
(7,15),(7,16),-0.0201797 # DEPENDENCYPART_SIBL
(8,1),(8,5),0.0305633 # DEPENDENCYPART_SIBL
(8,1),(8,6),0.0343486 # DEPENDENCYPART_SIBL
(8,1),(8,7),0.0853001 # DEPENDENCYPART_SIBL
(8,1),(8,9),0.0258088 # DEPENDENCYPART_SIBL
(8,1),(8,10),0.0644336 # DEPENDENCYPART_SIBL
(8,1),(8,11),0.0471296 # DEPENDENCYPART_SIBL
(8,1),(8,12),0.0658135 # DEPENDENCYPART_SIBL
(8,1),(8,13),0.0701793 # DEPENDENCYPART_SIBL
(8,1),(8,16),0.0420898 # DEPENDENCYPART_SIBL
(8,5),(8,6),0.0348125 # DEPENDENCYPART_SIBL
(8,5),(8,7),0.0853003 # DEPENDENCYPART_SIBL
(8,5),(8,9),0.0258088 # DEPENDENCYPART_SIBL
(8,5),(8,10),0.0618525 # DEPENDENCYPART_SIBL
(8,5),(8,11),0.0472914 # DEPENDENCYPART_SIBL
(8,5),(8,12),0.0632325 # DEPENDENCYPART_SIBL
(8,5),(8,13),0.0675982 # DEPENDENCYPART_SIBL
(8,5),(8,16),0.0421585 # DEPENDENCYPART_SIBL
(8,6),(8,7),0.0410745 # DEPENDENCYPART_SIBL
(8,6),(8,9),0.0375066 # DEPENDENCYPART_SIBL
(8,6),(8,10),0.0152525 # DEPENDENCYPART_SIBL
(8,6),(8,11),0.0111007 # DEPENDENCYPART_SIBL
(8,6),(8,12),0.0152525 # DEPENDENCYPART_SIBL
(8,6),(8,13),0.0152525 # DEPENDENCYPART_SIBL
(8,6),(8,16),0.0292691 # DEPENDENCYPART_SIBL
(8,7),(8,9),-0.0365437 # DEPENDENCYPART_SIBL
(8,7),(8,10),-0.00719481 # DEPENDENCYPART_SIBL
(8,7),(8,11),0.00190691 # DEPENDENCYPART_SIBL
(8,7),(8,12),-0.00719481 # DEPENDENCYPART_SIBL
(8,7),(8,13),-0.00719489 # DEPENDENCYPART_SIBL
(8,7),(8,16),0.0325427 # DEPENDENCYPART_SIBL
(8,9),(8,10),-0.0331266 # DEPENDENCYPART_SIBL
(8,9),(8,11),-0.0864439 # DEPENDENCYPART_SIBL
(8,9),(8,12),-0.0331266 # DEPENDENCYPART_SIBL
(8,9),(8,13),-0.0331266 # DEPENDENCYPART_SIBL
(8,9),(8,16),-0.0696919 # DEPENDENCYPART_SIBL
(8,10),(8,11),-0.00157285 # DEPENDENCYPART_SIBL
(8,10),(8,12),0.0540945 # DEPENDENCYPART_SIBL
(8,10),(8,13),0.0540944 # DEPENDENCYPART_SIBL
(8,10),(8,16),-0.0104577 # DEPENDENCYPART_SIBL
(8,11),(8,12),0.0171978 # DEPENDENCYPART_SIBL
(8,11),(8,13),0.0171978 # DEPENDENCYPART_SIBL
(8,11),(8,16),-0.0260054 # DEPENDENCYPART_SIBL
(8,12),(8,13),0.0542391 # DEPENDENCYPART_SIBL
(8,12),(8,16),-0.0104577 # DEPENDENCYPART_SIBL
(8,13),(8,16),-0.0104579 # DEPENDENCYPART_SIBL
(9,1),(9,7),0.0350694 # DEPENDENCYPART_SIBL
(9,1),(9,8),0.00768777 # DEPENDENCYPART_SIBL
(9,1),(9,10),0.290563 # DEPENDENCYPART_SIBL
(9,1),(9,11),0.0910612 # DEPENDENCYPART_SIBL
(9,1),(9,16),0.155049 # DEPENDENCYPART_SIBL
(9,7),(9,8),-0.0314039 # DEPENDENCYPART_SIBL
(9,7),(9,10),0.0923561 # DEPENDENCYPART_SIBL
(9,7),(9,11),0.183981 # DEPENDENCYPART_SIBL
(9,7),(9,16),0.372312 # DEPENDENCYPART_SIBL
(9,8),(9,10),0.0353825 # DEPENDENCYPART_SIBL
(9,8),(9,11),-0.0104942 # DEPENDENCYPART_SIBL
(9,8),(9,16),0.131997 # DEPENDENCYPART_SIBL
(9,10),(9,11),0.0215539 # DEPENDENCYPART_SIBL
(9,10),(9,16),-0.015725 # DEPENDENCYPART_SIBL
(9,11),(9,16),-0.0361411 # DEPENDENCYPART_SIBL
(10,4),(10,6),0.00855376 # DEPENDENCYPART_SIBL
(10,4),(10,7),-0.0691848 # DEPENDENCYPART_SIBL
(10,4),(10,8),-0.0123668 # DEPENDENCYPART_SIBL
(10,4),(10,9),-0.0260689 # DEPENDENCYPART_SIBL
(10,4),(10,12),-0.036471 # DEPENDENCYPART_SIBL
(10,4),(10,14),0.0570165 # DEPENDENCYPART_SIBL
(10,4),(10,17),-0.094253 # DEPENDENCYPART_SIBL
(10,6),(10,7),-0.0245339 # DEPENDENCYPART_SIBL
(10,6),(10,8),0.00463157 # DEPENDENCYPART_SIBL
(10,6),(10,9),-0.0356565 # DEPENDENCYPART_SIBL
(10,6),(10,12),-0.0879699 # DEPENDENCYPART_SIBL
(10,6),(10,14),-0.0121425 # DEPENDENCYPART_SIBL
(10,6),(10,17),-0.0540158 # DEPENDENCYPART_SIBL
(10,7),(10,8),-0.00813311 # DEPENDENCYPART_SIBL
(10,7),(10,9),-0.0127287 # DEPENDENCYPART_SIBL
(10,7),(10,12),-0.00396387 # DEPENDENCYPART_SIBL
(10,7),(10,14),0.0815211 # DEPENDENCYPART_SIBL
(10,7),(10,17),-0.0396838 # DEPENDENCYPART_SIBL
(10,8),(10,9),-0.0171764 # DEPENDENCYPART_SIBL
(10,8),(10,12),-0.0341094 # DEPENDENCYPART_SIBL
(10,8),(10,14),0.0197351 # DEPENDENCYPART_SIBL
(10,8),(10,17),-0.0291396 # DEPENDENCYPART_SIBL
(10,9),(10,12),-0.0562312 # DEPENDENCYPART_SIBL
(10,9),(10,14),0.0122209 # DEPENDENCYPART_SIBL
(10,9),(10,17),-0.0822575 # DEPENDENCYPART_SIBL
(10,12),(10,14),0.0115928 # DEPENDENCYPART_SIBL
(10,12),(10,17),-0.0887528 # DEPENDENCYPART_SIBL
(10,14),(10,17),-0.123948 # DEPENDENCYPART_SIBL
(11,1),(11,3),-0.0216922 # DEPENDENCYPART_SIBL
(11,1),(11,5),-0.0141256 # DEPENDENCYPART_SIBL
(11,1),(11,6),-0.0405188 # DEPENDENCYPART_SIBL
(11,1),(11,7),-0.0119467 # DEPENDENCYPART_SIBL
(11,1),(11,8),-0.0123524 # DEPENDENCYPART_SIBL
(11,1),(11,9),-0.055192 # DEPENDENCYPART_SIBL
(11,1),(11,10),-0.0127181 # DEPENDENCYPART_SIBL
(11,1),(11,12),0.0556794 # DEPENDENCYPART_SIBL
(11,1),(11,13),0.0775045 # DEPENDENCYPART_SIBL
(11,1),(11,14),0.00822074 # DEPENDENCYPART_SIBL
(11,1),(11,15),0.0556794 # DEPENDENCYPART_SIBL
(11,1),(11,16),-0.0819717 # DEPENDENCYPART_SIBL
(11,3),(11,5),-0.0244692 # DEPENDENCYPART_SIBL
(11,3),(11,6),-0.0441365 # DEPENDENCYPART_SIBL
(11,3),(11,7),-0.0198595 # DEPENDENCYPART_SIBL
(11,3),(11,8),-0.0164443 # DEPENDENCYPART_SIBL
(11,3),(11,9),-0.0592745 # DEPENDENCYPART_SIBL
(11,3),(11,10),-0.0230617 # DEPENDENCYPART_SIBL
(11,3),(11,12),0.129381 # DEPENDENCYPART_SIBL
(11,3),(11,13),0.151206 # DEPENDENCYPART_SIBL
(11,3),(11,14),0.0330242 # DEPENDENCYPART_SIBL
(11,3),(11,15),0.129381 # DEPENDENCYPART_SIBL
(11,3),(11,16),-0.0585617 # DEPENDENCYPART_SIBL
(11,5),(11,6),-0.0367049 # DEPENDENCYPART_SIBL
(11,5),(11,7),-0.00859655 # DEPENDENCYPART_SIBL
(11,5),(11,8),-0.00900234 # DEPENDENCYPART_SIBL
(11,5),(11,9),-0.0518421 # DEPENDENCYPART_SIBL
(11,5),(11,10),-0.00617816 # DEPENDENCYPART_SIBL
(11,5),(11,12),0.0603005 # DEPENDENCYPART_SIBL
(11,5),(11,13),0.0821257 # DEPENDENCYPART_SIBL
(11,5),(11,14),0.0118218 # DEPENDENCYPART_SIBL
(11,5),(11,15),0.0603005 # DEPENDENCYPART_SIBL
(11,5),(11,16),-0.0783019 # DEPENDENCYPART_SIBL
(11,6),(11,7),0.00605761 # DEPENDENCYPART_SIBL
(11,6),(11,8),-0.00786213 # DEPENDENCYPART_SIBL
(11,6),(11,9),-0.0676618 # DEPENDENCYPART_SIBL
(11,6),(11,10),-0.0285232 # DEPENDENCYPART_SIBL
(11,6),(11,12),-0.0145952 # DEPENDENCYPART_SIBL
(11,6),(11,13),-0.00586732 # DEPENDENCYPART_SIBL
(11,6),(11,14),0.099494 # DEPENDENCYPART_SIBL
(11,6),(11,15),-0.0145952 # DEPENDENCYPART_SIBL
(11,6),(11,16),-0.0207245 # DEPENDENCYPART_SIBL
(11,7),(11,8),-0.0877837 # DEPENDENCYPART_SIBL
(11,7),(11,9),-0.124477 # DEPENDENCYPART_SIBL
(11,7),(11,10),-0.222412 # DEPENDENCYPART_SIBL
(11,7),(11,12),-0.142428 # DEPENDENCYPART_SIBL
(11,7),(11,13),-0.1337 # DEPENDENCYPART_SIBL
(11,7),(11,14),-0.0672892 # DEPENDENCYPART_SIBL
(11,7),(11,15),-0.142428 # DEPENDENCYPART_SIBL
(11,7),(11,16),0.0731552 # DEPENDENCYPART_SIBL
(11,8),(11,9),-0.0230568 # DEPENDENCYPART_SIBL
(11,8),(11,10),-0.0301015 # DEPENDENCYPART_SIBL
(11,8),(11,12),-0.0533754 # DEPENDENCYPART_SIBL
(11,8),(11,13),-0.0446475 # DEPENDENCYPART_SIBL
(11,8),(11,14),-0.0173273 # DEPENDENCYPART_SIBL
(11,8),(11,15),-0.0533754 # DEPENDENCYPART_SIBL
(11,8),(11,16),-0.00748433 # DEPENDENCYPART_SIBL
(11,9),(11,10),-0.108298 # DEPENDENCYPART_SIBL
(11,9),(11,12),-0.0723837 # DEPENDENCYPART_SIBL
(11,9),(11,13),-0.0636558 # DEPENDENCYPART_SIBL
(11,9),(11,14),-0.0307641 # DEPENDENCYPART_SIBL
(11,9),(11,15),-0.0723837 # DEPENDENCYPART_SIBL
(11,9),(11,16),-0.0827801 # DEPENDENCYPART_SIBL
(11,10),(11,12),0.0594701 # DEPENDENCYPART_SIBL
(11,10),(11,13),0.0812953 # DEPENDENCYPART_SIBL
(11,10),(11,14),0.0149697 # DEPENDENCYPART_SIBL
(11,10),(11,15),0.0594701 # DEPENDENCYPART_SIBL
(11,10),(11,16),-0.0787753 # DEPENDENCYPART_SIBL
(11,12),(11,13),-0.217701 # DEPENDENCYPART_SIBL
(11,12),(11,14),0.0138174 # DEPENDENCYPART_SIBL
(11,12),(11,15),-0.217701 # DEPENDENCYPART_SIBL
(11,12),(11,16),-0.146655 # DEPENDENCYPART_SIBL
(11,13),(11,14),0.0130342 # DEPENDENCYPART_SIBL
(11,13),(11,15),-0.218482 # DEPENDENCYPART_SIBL
(11,13),(11,16),-0.147437 # DEPENDENCYPART_SIBL
(11,14),(11,15),-0.108674 # DEPENDENCYPART_SIBL
(11,14),(11,16),-0.146655 # DEPENDENCYPART_SIBL
(11,15),(11,16),-0.146655 # DEPENDENCYPART_SIBL
(12,4),(12,6),0.00855376 # DEPENDENCYPART_SIBL
(12,4),(12,9),-0.0260689 # DEPENDENCYPART_SIBL
(12,4),(12,10),0.0148013 # DEPENDENCYPART_SIBL
(12,4),(12,11),0.0127207 # DEPENDENCYPART_SIBL
(12,4),(12,13),-0.0364684 # DEPENDENCYPART_SIBL
(12,4),(12,14),0.0570165 # DEPENDENCYPART_SIBL
(12,4),(12,15),-0.0364666 # DEPENDENCYPART_SIBL
(12,4),(12,17),-0.094253 # DEPENDENCYPART_SIBL
(12,6),(12,9),-0.0356565 # DEPENDENCYPART_SIBL
(12,6),(12,10),0.031227 # DEPENDENCYPART_SIBL
(12,6),(12,11),0.0407509 # DEPENDENCYPART_SIBL
(12,6),(12,13),-0.0879656 # DEPENDENCYPART_SIBL
(12,6),(12,14),-0.0121425 # DEPENDENCYPART_SIBL
(12,6),(12,15),-0.0879656 # DEPENDENCYPART_SIBL
(12,6),(12,17),-0.0540158 # DEPENDENCYPART_SIBL
(12,9),(12,10),-0.116437 # DEPENDENCYPART_SIBL
(12,9),(12,11),-0.029213 # DEPENDENCYPART_SIBL
(12,9),(12,13),-0.0562268 # DEPENDENCYPART_SIBL
(12,9),(12,14),0.0122209 # DEPENDENCYPART_SIBL
(12,9),(12,15),-0.0562268 # DEPENDENCYPART_SIBL
(12,9),(12,17),-0.0822575 # DEPENDENCYPART_SIBL
(12,10),(12,11),0.0337037 # DEPENDENCYPART_SIBL
(12,10),(12,13),0.00037725 # DEPENDENCYPART_SIBL
(12,10),(12,14),0.0960764 # DEPENDENCYPART_SIBL
(12,10),(12,15),-0.00398848 # DEPENDENCYPART_SIBL
(12,10),(12,17),-0.0243588 # DEPENDENCYPART_SIBL
(12,11),(12,13),-0.022757 # DEPENDENCYPART_SIBL
(12,11),(12,14),0.122171 # DEPENDENCYPART_SIBL
(12,11),(12,15),-0.0227569 # DEPENDENCYPART_SIBL
(12,11),(12,17),-0.0591 # DEPENDENCYPART_SIBL
(12,13),(12,14),0.0115923 # DEPENDENCYPART_SIBL
(12,13),(12,15),-0.0073091 # DEPENDENCYPART_SIBL
(12,13),(12,17),-0.0887528 # DEPENDENCYPART_SIBL
(12,14),(12,15),0.00622564 # DEPENDENCYPART_SIBL
(12,14),(12,17),-0.123948 # DEPENDENCYPART_SIBL
(12,15),(12,17),-0.0887528 # DEPENDENCYPART_SIBL
(13,3),(13,4),0.00376518 # DEPENDENCYPART_SIBL
(13,3),(13,6),-0.00432915 # DEPENDENCYPART_SIBL
(13,3),(13,7),-0.0212485 # DEPENDENCYPART_SIBL
(13,3),(13,9),-0.0297495 # DEPENDENCYPART_SIBL
(13,3),(13,10),-0.024911 # DEPENDENCYPART_SIBL
(13,3),(13,11),0.0209029 # DEPENDENCYPART_SIBL
(13,3),(13,12),-0.0214842 # DEPENDENCYPART_SIBL
(13,3),(13,14),0.0861164 # DEPENDENCYPART_SIBL
(13,3),(13,15),0.0131033 # DEPENDENCYPART_SIBL
(13,3),(13,16),0.0185068 # DEPENDENCYPART_SIBL
(13,3),(13,17),-0.0430436 # DEPENDENCYPART_SIBL
(13,4),(13,6),0.00855376 # DEPENDENCYPART_SIBL
(13,4),(13,7),-0.0691848 # DEPENDENCYPART_SIBL
(13,4),(13,9),-0.0260689 # DEPENDENCYPART_SIBL
(13,4),(13,10),0.0148013 # DEPENDENCYPART_SIBL
(13,4),(13,11),0.0127207 # DEPENDENCYPART_SIBL
(13,4),(13,12),0.0156237 # DEPENDENCYPART_SIBL
(13,4),(13,14),0.0570165 # DEPENDENCYPART_SIBL
(13,4),(13,15),-0.0364666 # DEPENDENCYPART_SIBL
(13,4),(13,16),-0.0204987 # DEPENDENCYPART_SIBL
(13,4),(13,17),-0.094253 # DEPENDENCYPART_SIBL
(13,6),(13,7),-0.0245339 # DEPENDENCYPART_SIBL
(13,6),(13,9),-0.0356565 # DEPENDENCYPART_SIBL
(13,6),(13,10),0.031227 # DEPENDENCYPART_SIBL
(13,6),(13,11),0.0407509 # DEPENDENCYPART_SIBL
(13,6),(13,12),0.0324478 # DEPENDENCYPART_SIBL
(13,6),(13,14),-0.0121425 # DEPENDENCYPART_SIBL
(13,6),(13,15),-0.0879656 # DEPENDENCYPART_SIBL
(13,6),(13,16),-0.0485518 # DEPENDENCYPART_SIBL
(13,6),(13,17),-0.0540158 # DEPENDENCYPART_SIBL
(13,7),(13,9),-0.0127287 # DEPENDENCYPART_SIBL
(13,7),(13,10),0.0272381 # DEPENDENCYPART_SIBL
(13,7),(13,11),0.0700918 # DEPENDENCYPART_SIBL
(13,7),(13,12),0.0280606 # DEPENDENCYPART_SIBL
(13,7),(13,14),0.0815211 # DEPENDENCYPART_SIBL
(13,7),(13,15),-0.00395951 # DEPENDENCYPART_SIBL
(13,7),(13,16),0.0176689 # DEPENDENCYPART_SIBL
(13,7),(13,17),-0.0396838 # DEPENDENCYPART_SIBL
(13,9),(13,10),-0.116437 # DEPENDENCYPART_SIBL
(13,9),(13,11),-0.029213 # DEPENDENCYPART_SIBL
(13,9),(13,12),-0.115615 # DEPENDENCYPART_SIBL
(13,9),(13,14),0.0122209 # DEPENDENCYPART_SIBL
(13,9),(13,15),-0.0562268 # DEPENDENCYPART_SIBL
(13,9),(13,16),-0.0374452 # DEPENDENCYPART_SIBL
(13,9),(13,17),-0.0822575 # DEPENDENCYPART_SIBL
(13,10),(13,11),0.0337037 # DEPENDENCYPART_SIBL
(13,10),(13,12),-0.00823953 # DEPENDENCYPART_SIBL
(13,10),(13,14),0.0960764 # DEPENDENCYPART_SIBL
(13,10),(13,15),-0.00398848 # DEPENDENCYPART_SIBL
(13,10),(13,16),0.0231891 # DEPENDENCYPART_SIBL
(13,10),(13,17),-0.0243588 # DEPENDENCYPART_SIBL
(13,11),(13,12),-0.107484 # DEPENDENCYPART_SIBL
(13,11),(13,14),0.122171 # DEPENDENCYPART_SIBL
(13,11),(13,15),-0.0227569 # DEPENDENCYPART_SIBL
(13,11),(13,16),0.00370084 # DEPENDENCYPART_SIBL
(13,11),(13,17),-0.0591 # DEPENDENCYPART_SIBL
(13,12),(13,14),0.0867262 # DEPENDENCYPART_SIBL
(13,12),(13,15),-0.00621019 # DEPENDENCYPART_SIBL
(13,12),(13,16),0.0206767 # DEPENDENCYPART_SIBL
(13,12),(13,17),-0.0274133 # DEPENDENCYPART_SIBL
(13,14),(13,15),0.00622564 # DEPENDENCYPART_SIBL
(13,14),(13,16),-0.0824912 # DEPENDENCYPART_SIBL
(13,14),(13,17),-0.123948 # DEPENDENCYPART_SIBL
(13,15),(13,16),-0.0360333 # DEPENDENCYPART_SIBL
(13,15),(13,17),-0.0887528 # DEPENDENCYPART_SIBL
(13,16),(13,17),-0.0694 # DEPENDENCYPART_SIBL
(14,10),(14,12),0.00265593 # DEPENDENCYPART_SIBL
(14,10),(14,13),0.00244188 # DEPENDENCYPART_SIBL
(14,10),(14,15),0.0411801 # DEPENDENCYPART_SIBL
(14,12),(14,13),0.0028501 # DEPENDENCYPART_SIBL
(14,12),(14,15),0.0420105 # DEPENDENCYPART_SIBL
(14,13),(14,15),0.0420105 # DEPENDENCYPART_SIBL
(15,4),(15,5),0.0156237 # DEPENDENCYPART_SIBL
(15,4),(15,7),-0.0691848 # DEPENDENCYPART_SIBL
(15,4),(15,9),-0.0260689 # DEPENDENCYPART_SIBL
(15,4),(15,10),0.0148013 # DEPENDENCYPART_SIBL
(15,4),(15,11),0.0127207 # DEPENDENCYPART_SIBL
(15,4),(15,12),0.0156237 # DEPENDENCYPART_SIBL
(15,4),(15,13),0.0156237 # DEPENDENCYPART_SIBL
(15,4),(15,14),0.00161794 # DEPENDENCYPART_SIBL
(15,4),(15,16),-0.0204987 # DEPENDENCYPART_SIBL
(15,4),(15,17),-0.094253 # DEPENDENCYPART_SIBL
(15,5),(15,7),-0.0139196 # DEPENDENCYPART_SIBL
(15,5),(15,9),-0.0259473 # DEPENDENCYPART_SIBL
(15,5),(15,10),-0.0112581 # DEPENDENCYPART_SIBL
(15,5),(15,11),0.0337037 # DEPENDENCYPART_SIBL
(15,5),(15,12),-0.00783131 # DEPENDENCYPART_SIBL
(15,5),(15,13),-0.00804536 # DEPENDENCYPART_SIBL
(15,5),(15,14),-0.0468294 # DEPENDENCYPART_SIBL
(15,5),(15,16),0.0206767 # DEPENDENCYPART_SIBL
(15,5),(15,17),-0.0274133 # DEPENDENCYPART_SIBL
(15,7),(15,9),-0.0127287 # DEPENDENCYPART_SIBL
(15,7),(15,10),0.0272381 # DEPENDENCYPART_SIBL
(15,7),(15,11),0.0700918 # DEPENDENCYPART_SIBL
(15,7),(15,12),0.0280606 # DEPENDENCYPART_SIBL
(15,7),(15,13),0.0280606 # DEPENDENCYPART_SIBL
(15,7),(15,14),0.0350756 # DEPENDENCYPART_SIBL
(15,7),(15,16),0.0176689 # DEPENDENCYPART_SIBL
(15,7),(15,17),-0.0396838 # DEPENDENCYPART_SIBL
(15,9),(15,10),-0.116437 # DEPENDENCYPART_SIBL
(15,9),(15,11),-0.029213 # DEPENDENCYPART_SIBL
(15,9),(15,12),-0.115615 # DEPENDENCYPART_SIBL
(15,9),(15,13),-0.115615 # DEPENDENCYPART_SIBL
(15,9),(15,14),-0.067347 # DEPENDENCYPART_SIBL
(15,9),(15,16),-0.0374452 # DEPENDENCYPART_SIBL
(15,9),(15,17),-0.0822575 # DEPENDENCYPART_SIBL
(15,10),(15,11),0.0337037 # DEPENDENCYPART_SIBL
